LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA24250,10,84,564,1399,768,129,27,105,3077,0,3,33,14,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,3,33,14,0,0,0,0,48,0,4,14,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,3,0,0,0,0,17,3,5,8,3,0,0,5,8,37,0,0,3,12,3,0,0,3,25,12,97,616,1425,775,128,30,115,3207
LGA24330,25,161,3697,8037,2693,516,92,360,15576,15,476,1249,608,81,8,3,97,2543,13,78,1266,2590,704,108,28,94,4878,24,556,2517,3203,785,125,27,191,7422,30,986,1844,209,22,3,8,96,3203,28,399,955,144,3,0,0,39,1567,88,862,1228,106,4,0,23,63,2380,0,5,21,7,0,0,0,3,36,143,2253,4054,461,32,3,33,199,7182,3,31,62,55,15,0,4,4,174,7,19,49,28,3,6,3,25,131,208,3023,10375,11771,3523,643,155,779,30481
LGA24410,38,354,5931,16787,9774,1732,273,636,35525,15,268,1379,543,110,18,6,98,2445,0,27,326,505,50,7,0,12,929,16,297,1704,1049,162,28,6,111,3373,0,30,225,131,24,4,0,14,425,0,48,296,11,0,0,0,3,365,0,16,111,23,0,0,0,3,151,0,0,0,0,0,0,0,0,0,3,91,633,163,29,4,0,25,942,0,3,9,10,3,0,0,0,29,0,3,25,38,10,3,0,23,100,61,744,8302,18046,9975,1765,277,787,39962
LGA24600,4,67,451,693,272,85,33,50,1657,9,254,1184,702,137,27,5,65,2377,20,190,1425,2141,758,192,38,112,4875,28,446,2609,2839,894,220,45,173,7253,45,480,743,296,51,3,24,42,1689,141,1451,2506,544,46,4,9,100,4800,1544,13213,20907,3962,267,18,41,1087,41048,0,9,12,3,0,0,0,0,24,1734,15152,24164,4807,363,31,71,1236,47554,11,22,35,25,11,0,0,46,156,11,98,171,42,15,7,8,43,394,1794,15777,27435,8409,1553,335,151,1551,57012
LGA24650,46,135,1226,16283,15780,1901,305,826,36502,6,126,1017,1388,536,33,10,107,3223,8,7,139,973,215,41,6,35,1423,11,134,1156,2363,749,72,13,141,4643,0,30,59,92,12,0,0,10,203,0,3,34,8,0,0,0,0,47,0,0,80,5,0,0,0,3,89,0,4,0,0,0,0,0,0,4,0,36,173,113,12,0,0,14,347,20,81,9,19,0,0,0,3,125,0,3,14,39,24,6,0,3,85,80,389,2572,18808,16564,1978,321,989,41704
LGA24780,32,194,1790,9481,4090,498,90,450,16631,7,123,882,542,20,0,0,82,1650,0,0,22,33,3,0,0,0,61,7,124,904,576,26,0,0,81,1709,12,253,700,90,3,0,3,81,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,252,700,90,3,0,3,81,1146,24,98,57,26,4,0,0,15,224,0,6,20,36,23,0,3,14,106,74,677,3465,10210,4145,499,98,643,19817
LGA24850,28,104,1013,6039,4527,646,116,295,12761,4,50,197,133,9,0,0,20,408,0,0,13,33,0,0,0,0,47,4,50,205,168,9,0,0,20,454,0,82,204,56,0,0,0,17,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,204,57,4,0,0,17,364,8,46,21,3,0,0,0,5,87,0,3,6,28,8,0,3,4,51,37,292,1445,6296,4550,645,119,341,13725
LGA24900,19,109,1108,5404,2522,349,60,286,9853,0,24,198,54,5,0,0,22,310,0,0,10,14,0,0,0,0,25,0,24,209,64,9,3,0,22,329,3,116,293,39,3,0,0,38,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,115,299,39,4,0,0,38,496,13,34,25,16,8,3,0,5,105,8,16,32,31,13,0,0,10,108,40,302,1672,5548,2554,357,63,357,10899
LGA24970,43,226,3250,20544,15341,3626,743,829,44601,10,292,2377,1970,460,76,20,177,5380,14,44,568,2405,949,121,48,82,4225,22,340,2941,4374,1406,203,65,258,9602,28,364,2274,2284,474,43,14,113,5590,14,251,603,83,7,4,0,32,997,23,597,527,11,6,0,3,14,1176,0,0,3,3,0,0,0,0,8,61,1210,3403,2378,487,47,21,158,7768,0,0,15,11,3,0,0,3,41,3,23,43,56,38,11,3,34,206,133,1793,9659,27357,17285,3880,833,1282,62221
LGA25060,22,133,2724,13081,6894,1411,226,499,24992,9,166,1967,1703,209,19,8,102,4174,7,193,1167,2611,692,80,10,91,4853,15,355,3134,4313,898,102,18,193,9028,10,632,2031,669,24,4,0,89,3464,60,1046,1592,106,10,0,0,151,2968,20,542,1698,339,10,0,0,107,2718,0,5,3,0,0,0,0,0,6,90,2232,5325,1123,45,5,3,347,9160,9,27,71,58,22,3,0,3,188,0,20,35,49,22,0,0,23,151,121,2768,11294,18615,7879,1516,248,1067,43513
LGA25150,11,101,808,4954,3518,451,116,193,10156,3,72,282,175,99,7,0,30,661,0,5,20,41,3,0,0,5,75,3,80,304,210,99,7,0,32,735,3,61,41,12,4,0,0,13,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,41,12,3,0,0,13,131,7,19,18,18,12,3,0,6,77,0,3,3,11,9,0,0,17,52,19,262,1167,5211,3642,462,120,264,11145
LGA25250,30,335,6118,19221,6653,1050,231,815,34444,20,562,4658,1704,179,23,17,218,7382,29,277,3859,3762,518,48,22,195,8698,47,837,8512,5464,695,71,40,410,16083,67,1560,2661,406,27,0,11,140,4866,53,438,844,72,9,0,0,39,1456,79,1470,2038,148,12,5,0,76,3832,0,7,17,10,0,0,0,3,27,197,3470,5559,644,51,8,15,253,10188,8,45,115,68,24,6,3,12,275,3,33,62,73,30,5,3,23,231,280,4714,20366,25466,7447,1141,291,1512,61218
LGA25340,55,387,5248,24119,14441,2806,522,1101,48672,3,237,2246,1617,127,10,3,163,4403,0,19,301,834,175,16,0,26,1374,3,257,2548,2448,298,28,4,192,5776,6,236,1440,771,40,3,3,122,2622,0,20,33,9,0,0,0,0,52,0,0,3,12,0,3,0,0,23,0,0,0,0,0,0,0,0,8,6,257,1476,789,43,5,5,121,2706,23,172,196,34,9,0,0,41,472,4,14,43,55,23,4,0,12,167,92,1087,9502,27446,14812,2842,537,1467,57791
LGA25430,31,232,1584,3367,1331,208,53,160,6949,6,61,143,29,3,0,0,19,260,0,0,3,0,0,0,0,0,11,6,58,148,32,3,0,0,17,266,5,24,22,0,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,22,0,0,0,0,3,57,10,17,9,11,3,0,0,0,43,0,5,20,16,17,0,0,3,58,43,338,1775,3418,1346,209,53,186,7374
LGA25490,9,85,698,2785,1625,278,79,131,5687,0,20,30,14,0,0,0,8,72,0,0,0,13,0,0,0,0,17,0,20,30,24,3,3,0,8,85,0,4,14,3,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,6,0,0,0,3,26,0,13,18,11,3,0,4,0,46,0,0,11,18,7,3,0,3,46,13,125,771,2838,1639,284,80,143,5897
LGA25620,19,126,755,2422,1188,177,39,144,4870,0,7,72,17,0,0,0,25,127,0,0,0,0,0,0,0,0,0,0,7,72,17,6,0,0,25,134,0,10,39,7,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,14,39,7,0,0,0,4,54,18,40,33,13,4,0,0,47,152,0,3,15,17,11,0,0,3,48,41,195,911,2476,1208,176,40,218,5263
LGA25710,15,164,999,7611,7497,1684,291,234,18502,7,68,146,80,14,0,0,10,332,0,3,92,209,34,5,0,4,345,7,68,243,287,51,5,0,19,682,0,26,224,210,19,3,0,7,487,0,3,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,237,212,23,3,0,7,506,0,3,3,3,3,0,0,0,15,0,3,9,22,12,3,0,7,56,22,272,1488,8129,7590,1690,296,269,19759
LGA25810,16,92,656,2354,931,119,48,112,4333,0,42,27,7,0,0,0,4,87,0,0,0,0,0,0,0,0,0,0,42,27,13,0,0,0,4,87,0,40,99,9,3,0,0,9,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,99,9,3,0,0,9,163,7,20,7,14,3,0,0,4,56,0,0,5,29,5,0,3,3,52,22,201,800,2413,939,126,55,133,4695
LGA25900,5,79,858,1736,931,237,53,75,3974,10,305,2531,2299,444,79,9,105,5788,8,203,1231,2577,717,113,25,97,4974,21,506,3760,4874,1164,199,39,207,10764,180,1818,3714,617,51,5,6,192,6591,168,4027,5569,696,29,3,13,295,10800,145,4071,6102,1566,67,18,11,284,12262,4,22,15,4,0,0,0,4,49,504,9939,15404,2890,147,30,30,767,29702,11,202,205,46,6,0,0,11,484,4,39,71,33,8,3,4,33,183,536,10764,20298,9574,2256,466,124,1096,45110
LGA25990,10,69,477,1384,535,85,25,68,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,4,21,3,15,3,4,0,0,0,3,27,0,0,5,10,3,0,3,3,18,14,93,494,1397,534,85,26,79,2723
LGA26080,0,12,125,564,266,52,5,20,1048,0,5,38,15,0,0,0,3,63,0,0,7,8,0,0,0,0,20,0,6,44,26,0,0,0,3,80,0,7,10,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,0,0,0,0,32,0,0,3,6,3,0,0,0,13,0,0,0,6,0,0,3,0,11,0,27,186,605,274,52,12,26,1181
LGA26170,16,124,1257,5583,2505,350,74,240,10155,0,40,153,26,3,3,0,17,240,0,0,4,0,0,0,0,0,10,0,43,156,26,3,3,0,17,249,0,64,142,26,4,0,0,12,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,67,142,26,4,0,0,12,254,5,22,24,19,4,0,3,5,80,0,3,14,16,6,0,0,7,49,27,265,1596,5677,2523,354,78,274,10796
LGA26260,12,89,797,3216,1420,230,60,131,5936,0,57,78,16,10,0,0,7,166,0,0,4,3,0,0,0,0,8,0,57,82,17,10,0,0,7,177,0,47,50,3,3,3,0,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,50,3,3,3,0,5,106,4,3,5,8,7,3,3,0,38,0,8,16,28,6,0,3,3,71,14,203,946,3270,1444,234,66,149,6326
LGA26350,6,100,1450,4593,3964,1327,279,184,11898,3,220,2492,1865,241,27,7,102,4952,7,86,1138,2186,551,57,9,66,4106,9,301,3626,4052,791,88,22,168,9065,74,1340,3310,888,67,13,3,129,5822,98,2968,4213,613,19,16,4,194,8127,177,3389,3774,787,34,7,5,209,8381,0,4,4,0,0,0,0,0,9,346,7702,11301,2290,113,35,14,536,22347,19,92,93,39,6,0,0,5,257,7,30,45,37,13,4,6,16,159,389,8224,16519,11008,4892,1452,319,911,43724
LGA26430,13,92,664,2060,820,94,27,100,3866,0,61,40,4,0,0,0,9,119,0,0,0,0,0,0,0,0,5,0,62,46,4,3,0,0,9,120,3,30,53,9,4,0,0,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,53,9,4,0,0,3,94,6,27,9,7,0,0,0,7,61,0,0,3,13,3,0,0,3,24,26,209,769,2086,831,96,27,120,4174
LGA26490,11,99,870,4444,3117,536,100,174,9358,0,4,147,99,13,0,0,4,272,0,10,53,199,41,0,0,7,314,0,23,198,301,56,0,0,12,583,0,29,31,18,0,0,0,3,86,0,14,17,3,0,0,0,0,38,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,42,55,22,0,0,0,5,129,0,7,13,9,5,0,0,3,43,0,5,13,26,3,0,3,0,46,20,169,1152,4795,3180,543,103,196,10163
LGA26610,11,109,657,3452,1641,188,51,186,6294,0,45,173,34,3,0,0,18,272,0,3,5,0,0,0,0,0,11,0,48,177,34,3,0,0,18,276,3,112,220,39,0,0,0,28,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,110,220,39,0,0,0,30,412,20,35,17,21,3,0,0,14,113,0,9,14,41,25,0,0,8,103,37,311,1084,3588,1665,191,58,254,7198
LGA26670,7,45,320,1139,581,93,19,53,2259,0,13,3,3,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,0,4,24,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,3,3,8,3,0,0,0,3,24,0,3,3,3,3,0,0,0,15,7,72,339,1148,590,93,22,66,2333
LGA26700,13,101,1040,5181,2721,352,68,247,9726,3,170,647,122,10,3,3,52,1012,0,20,14,9,0,0,0,0,49,3,192,663,136,9,3,3,58,1066,0,16,48,10,0,0,0,4,75,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,48,13,0,0,0,4,78,11,26,19,11,8,0,0,5,71,0,3,9,9,6,5,0,3,35,33,338,1771,5341,2744,362,73,316,10980
LGA26730,10,71,1165,5671,2696,416,79,215,10316,11,137,831,163,19,4,0,48,1220,0,16,139,144,15,3,0,3,319,11,157,972,305,34,5,4,58,1537,3,89,347,49,3,0,0,62,565,0,51,10,6,3,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,140,350,57,11,0,0,75,645,3,10,35,25,3,0,0,3,79,0,3,19,17,4,0,0,8,60,32,385,2544,6076,2750,418,84,352,12637
LGA26810,23,237,1940,7447,4205,606,113,345,14918,3,104,272,60,0,0,0,27,466,0,30,25,12,0,0,0,8,81,3,137,293,74,0,0,0,37,541,0,59,230,57,5,0,0,15,364,0,0,24,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,252,60,5,0,0,14,399,12,62,31,23,9,0,0,10,152,0,7,18,22,23,7,3,5,77,47,500,2528,7623,4236,612,121,410,16082
LGA26890,0,23,224,817,344,55,14,37,1524,4,16,3,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,4,16,3,0,0,0,0,3,23,0,7,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,15,0,4,3,10,0,0,0,0,19,0,0,0,3,0,0,0,0,4,3,51,244,826,347,55,14,40,1586
LGA26980,35,248,3465,19441,12571,2648,520,688,39612,13,669,5019,3287,374,48,18,212,9638,12,85,790,2420,763,98,21,83,4265,24,752,5810,5708,1133,141,35,291,13902,117,357,1107,347,36,6,3,86,2053,59,511,692,64,0,3,3,32,1369,40,585,478,19,0,0,0,35,1162,0,0,8,6,0,0,0,0,13,219,1452,2281,436,42,12,9,153,4594,0,4,24,15,7,0,0,0,48,0,16,33,47,23,6,0,22,148,275,2476,11612,25642,13775,2806,567,1163,58308
LGA27070,80,214,2112,26697,20597,2195,367,1117,53377,9,150,1536,2135,845,55,6,105,4846,10,26,809,1793,504,58,3,55,3266,18,175,2344,3932,1352,111,13,165,8110,5,115,834,370,17,3,0,40,1384,6,145,233,25,0,0,0,24,438,19,94,69,10,45,0,0,3,238,0,0,0,0,0,0,0,0,0,30,357,1143,404,57,3,0,63,2062,0,5,5,13,5,3,0,3,25,0,5,25,39,22,3,0,17,108,128,744,5626,31082,22034,2319,378,1358,63678
LGA27170,8,66,1033,6435,4046,423,77,231,12316,0,187,910,224,10,0,0,51,1382,0,3,54,41,0,0,0,9,108,0,185,961,270,13,3,0,56,1492,0,60,222,26,3,0,0,18,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,223,26,3,0,0,18,333,5,15,9,7,11,0,0,3,46,0,0,18,19,22,9,3,4,78,15,325,2243,6753,4098,438,75,311,14260
LGA27260,83,170,1739,24743,25282,2509,293,1138,55956,14,145,1836,3047,1709,92,13,156,7013,4,10,332,1262,534,86,12,56,2285,18,154,2164,4308,2237,178,29,208,9298,0,51,678,527,44,14,0,39,1366,0,6,32,0,0,0,0,3,42,0,14,55,10,3,0,0,4,81,0,0,0,0,0,0,0,0,4,0,75,767,542,44,14,4,46,1486,17,55,29,11,7,0,0,4,123,0,4,14,27,18,3,0,19,82,119,450,4712,29631,27593,2701,331,1415,66946
LGA27350,5,244,1464,2164,866,166,47,118,5083,14,405,4279,2678,606,71,12,166,8224,10,205,1863,2787,685,135,26,156,5872,21,605,6144,5462,1284,213,44,324,14091,96,1276,1607,389,50,3,21,117,3564,60,1776,1886,449,22,3,5,117,4308,127,2656,4670,1044,33,0,4,250,8788,0,3,3,3,0,0,0,0,11,280,5712,8166,1881,104,4,26,488,16670,3,35,81,74,14,3,3,7,223,10,44,64,34,15,3,3,20,189,320,6648,15915,9615,2284,393,121,960,36254
LGA27450,60,709,4510,24190,14422,3104,689,860,48543,13,399,1130,452,39,5,0,96,2139,3,54,221,205,20,0,0,9,512,17,453,1355,656,57,5,0,101,2647,3,39,76,46,4,3,3,3,179,0,0,24,25,0,0,0,5,49,0,0,0,4,0,0,0,0,8,0,0,0,3,0,0,0,0,8,3,38,96,79,9,3,3,7,243,20,120,64,25,19,0,0,14,265,3,22,36,67,37,6,8,21,205,100,1343,6069,25015,14534,3130,699,1010,51905
LGA27630,3,36,399,1430,520,77,18,73,2555,0,0,9,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,3,15,0,38,14,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,0,0,0,0,0,50,0,4,0,13,4,0,0,3,29,0,3,3,15,3,0,0,5,32,8,81,423,1461,531,81,18,79,2679
LGA29399,3,3,15,14,6,0,5,0,46,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,0,8,14,9,0,0,3,3,34,7,0,6,4,0,0,0,0,13,0,6,16,9,3,0,0,0,35,0,0,0,0,0,0,0,0,0,6,13,30,19,3,0,0,6,86,0,0,4,0,0,0,0,3,8,0,6,0,0,0,0,0,0,5,5,25,49,38,10,3,7,10,151
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
