LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA23670,54043,..,..,..,..,54043,..,92,0,91,0,93,..,518,43,564,3,567,..,0,0,0,0,0,..,1782,494,2272,17,2284,..,2801,910,3713,20,3736,..,306,49,356,3,360,..,4889,1452,6341,39,6378,..,131,10,139,0,143,..,134,6,139,0,136,..,165,3,161,3,167,..,467,15,479,12,492,..,832,74,904,6,908,..,68,0,73,0,73,..,649,13,663,0,668,..,375,29,407,0,407,..,1015,30,1041,6,1055,..,92,3,97,3,98,..,526,22,549,5,555,..,2732,96,2829,20,2847,..,765,72,841,13,850,..,87,4,93,0,93,..,249,85,339,4,340,..,50,8,58,3,60,..,34,4,40,0,39,..,275,68,346,5,352,..,237,27,265,0,266,..,93,6,100,0,97,..,22,0,17,0,18,..,116,18,135,0,137,..,191,9,199,3,198,..,266,14,281,0,282,..,231,3,235,0,235,..,94
LGA23810,30643,..,..,..,..,30643,..,30,0,30,0,30,..,90,13,100,3,108,..,3,0,3,0,3,..,42,24,62,0,62,..,112,39,152,3,153,..,17,4,20,0,20,..,172,63,228,3,232,..,31,4,40,0,40,..,102,6,106,0,106,..,13,0,16,0,16,..,86,4,86,0,91,..,144,24,165,3,172,..,32,0,32,0,32,..,39,0,39,0,43,..,33,3,33,0,40,..,38,0,38,0,38,..,26,0,23,0,29,..,35,4,42,0,42,..,210,7,220,0,222,..,366,38,407,5,409,..,13,5,19,0,19,..,9,0,15,0,15,..,4,0,4,0,4,..,98,5,105,0,105,..,12,0,14,0,14,..,37,8,43,0,43,..,10,0,10,0,10,..,3,0,3,0,3,..,12,3,17,4,24,..,24,3,29,0,29,..,12,0,12,0,12,..,39,0,37,0,41,..,14
LGA23940,3309,..,..,..,..,3309,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,3,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,9,0,9,..,8,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,11,0,11,0,11,..,3
LGA24130,20241,..,..,..,..,20241,..,22,0,24,0,24,..,17,4,16,0,16,..,5,0,5,0,5,..,7,3,10,0,10,..,35,36,69,3,76,..,0,3,3,0,3,..,44,43,88,3,93,..,25,0,25,0,25,..,34,0,34,0,34,..,36,3,35,0,35,..,90,0,87,0,87,..,59,3,62,0,62,..,3,0,3,0,3,..,15,0,14,0,14,..,13,4,16,0,16,..,4,0,4,0,4,..,6,3,7,0,7,..,4,0,4,0,4,..,45,3,47,0,47,..,173,12,181,8,191,..,11,3,16,0,16,..,0,0,0,0,0,..,9,3,15,0,15,..,65,0,65,3,67,..,0,0,0,0,0,..,15,4,20,0,20,..,6,0,6,0,6,..,3,0,3,0,8,..,7,3,10,0,10,..,7,3,11,0,11,..,7,0,7,0,7,..,7,0,12,0,12,..,9
LGA24210,30858,..,..,..,..,30858,..,122,4,124,0,126,..,829,45,880,4,885,..,0,0,0,0,0,..,3533,925,4458,14,4471,..,4281,1459,5738,27,5760,..,309,85,398,0,397,..,8121,2469,10588,43,10633,..,162,15,176,0,179,..,54,3,62,0,63,..,86,7,90,4,95,..,202,3,200,0,200,..,2958,411,3360,29,3391,..,39,0,43,0,46,..,365,8,374,3,374,..,217,11,226,0,230,..,135,3,132,4,137,..,189,6,196,0,196,..,159,0,158,0,164,..,1106,33,1133,10,1144,..,2003,191,2191,23,2216,..,104,15,119,0,122,..,306,102,413,5,414,..,236,22,256,3,261,..,51,3,52,0,52,..,944,163,1112,7,1116,..,75,3,79,0,79,..,56,3,64,0,64,..,3,0,0,0,0,..,73,8,80,0,82,..,30,0,30,0,30,..,179,14,192,0,192,..,51,0,49,0,49,..,76
LGA24250,3768,..,..,..,..,3768,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,4,6,0,6,..,15,7,26,0,26,..,0,0,0,0,0,..,21,11,34,0,34,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,24,0,24,0,29,..,10,0,10,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,3,10,..,5,0,7,0,7,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
LGA24330,21164,..,..,..,..,21164,..,21,0,21,0,21,..,404,49,452,8,461,..,3,0,3,0,9,..,834,346,1176,0,1183,..,896,312,1213,7,1219,..,168,39,206,0,207,..,1899,700,2601,11,2607,..,180,39,225,3,229,..,35,0,35,0,35,..,125,4,134,0,139,..,94,0,94,5,93,..,633,175,814,4,817,..,353,31,383,0,383,..,463,24,487,8,495,..,211,7,223,3,224,..,107,9,117,0,117,..,393,32,420,9,429,..,592,36,628,0,629,..,2125,130,2254,16,2273,..,578,87,667,7,681,..,75,17,92,0,92,..,80,24,107,0,107,..,269,76,345,3,350,..,71,12,81,0,81,..,116,29,146,0,146,..,88,17,99,0,99,..,40,0,44,0,44,..,27,0,29,0,29,..,153,32,189,0,186,..,114,4,117,0,117,..,133,16,149,0,149,..,191,4,197,0,197,..,43
LGA24410,42250,..,..,..,..,42250,..,100,0,104,0,104,..,179,13,188,0,188,..,3,0,3,0,3,..,521,161,680,3,683,..,1164,453,1610,17,1628,..,73,15,92,0,92,..,1755,628,2380,19,2401,..,56,6,64,0,61,..,119,0,127,0,126,..,91,4,87,0,91,..,243,6,253,3,251,..,239,31,275,3,276,..,32,0,32,0,32,..,309,11,325,0,322,..,275,34,310,4,313,..,205,8,208,3,216,..,64,3,73,0,73,..,175,14,191,0,197,..,1066,73,1137,10,1152,..,367,33,396,3,398,..,53,8,63,0,61,..,100,43,142,0,142,..,28,3,25,0,25,..,18,0,18,0,18,..,217,67,280,4,283,..,104,21,122,0,122,..,52,7,67,0,67,..,16,0,16,0,16,..,52,9,60,0,60,..,70,0,71,0,72,..,87,7,94,0,100,..,70,0,70,0,70,..,28
LGA24600,28079,..,..,..,..,28079,..,51,0,51,0,54,..,833,108,944,10,947,..,3,0,3,0,3,..,2011,439,2447,16,2466,..,8802,1719,10518,48,10566,..,609,257,870,3,872,..,11418,2415,13836,67,13905,..,70,7,81,0,81,..,76,0,75,3,79,..,456,15,472,0,473,..,285,3,291,0,287,..,295,32,326,4,329,..,183,4,186,0,188,..,1276,30,1306,8,1317,..,110,0,107,0,111,..,182,4,191,0,191,..,166,6,174,0,174,..,403,13,420,0,418,..,2324,66,2382,10,2398,..,834,85,924,8,928,..,328,89,422,5,424,..,896,466,1366,13,1379,..,73,6,82,0,82,..,42,4,51,0,51,..,256,15,278,3,279,..,66,0,71,0,69,..,149,0,155,0,155,..,8,0,8,0,8,..,96,6,97,0,100,..,148,0,148,0,150,..,1278,39,1318,5,1327,..,152,3,156,3,156,..,295
LGA24650,41164,..,..,..,..,41164,..,48,0,48,0,48,..,1081,117,1199,12,1206,..,4,0,4,0,4,..,277,84,370,0,368,..,359,154,510,3,508,..,261,94,348,0,349,..,897,332,1226,3,1230,..,557,64,624,0,624,..,41,0,41,0,41,..,81,5,87,0,87,..,92,3,95,0,95,..,704,54,754,3,763,..,138,4,143,0,143,..,922,34,957,5,963,..,1254,152,1402,11,1419,..,444,28,471,3,473,..,472,25,500,7,504,..,234,35,266,3,270,..,3467,273,3739,35,3776,..,901,46,948,16,958,..,43,3,45,0,45,..,63,12,74,0,74,..,1031,108,1140,5,1144,..,1146,71,1215,18,1230,..,66,19,89,0,89,..,241,29,270,3,275,..,47,9,52,0,52,..,396,41,438,9,442,..,395,65,460,0,463,..,657,13,669,4,670,..,106,6,114,0,122,..,900,22,924,4,927,..,100
LGA24780,21652,..,..,..,..,21652,..,24,0,24,0,24,..,53,7,60,0,60,..,3,0,3,0,4,..,35,30,66,0,66,..,80,59,137,3,140,..,0,3,3,0,3,..,117,93,208,3,210,..,38,3,41,0,41,..,10,0,10,0,10,..,23,4,27,0,27,..,22,0,22,0,22,..,138,26,164,0,167,..,11,0,11,0,11,..,21,3,22,0,22,..,99,16,111,5,115,..,23,0,23,0,23,..,0,0,0,0,0,..,29,0,29,0,29,..,189,13,203,5,205,..,431,55,480,9,488,..,14,7,26,0,26,..,7,25,29,0,29,..,0,0,4,0,4,..,0,0,0,0,0,..,8,8,16,0,17,..,10,0,10,0,10,..,3,0,3,0,3,..,24,3,30,0,30,..,8,0,8,0,8,..,16,0,16,0,16,..,4,0,3,0,3,..,28,0,28,0,28,..,33
LGA24850,17450,..,..,..,..,17450,..,13,0,17,0,17,..,55,3,60,0,60,..,0,0,0,0,0,..,30,9,41,0,41,..,54,49,105,0,102,..,44,17,55,0,55,..,125,77,197,0,200,..,21,0,21,0,21,..,5,0,9,0,9,..,15,0,15,0,15,..,43,0,43,0,46,..,64,6,71,0,71,..,5,0,5,0,5,..,49,0,51,0,51,..,87,6,97,0,97,..,34,0,39,0,39,..,15,3,23,0,21,..,7,0,7,0,7,..,198,16,216,0,216,..,184,10,196,0,196,..,18,3,15,0,15,..,10,0,9,0,9,..,49,3,53,0,53,..,56,7,57,0,57,..,3,3,5,0,5,..,21,0,24,0,27,..,5,0,5,0,5,..,22,3,27,0,27,..,3,0,3,0,3,..,21,0,23,0,23,..,4,0,9,0,9,..,29,4,31,0,31,..,21
LGA24900,12705,..,..,..,..,12705,..,0,0,0,0,0,..,59,14,77,0,77,..,0,0,0,0,0,..,8,3,11,0,11,..,26,16,37,0,37,..,3,0,3,0,3,..,31,20,55,0,55,..,18,0,18,0,21,..,18,0,18,0,18,..,13,0,13,0,16,..,15,0,13,0,13,..,4,0,6,0,6,..,0,0,0,0,0,..,7,0,7,0,7,..,56,11,65,0,65,..,3,0,3,0,3,..,6,3,13,0,13,..,15,3,20,0,20,..,105,13,116,0,116,..,147,19,165,8,170,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,9,..,21,0,21,0,21,..,0,0,0,0,0,..,18,0,18,0,18,..,6
LGA24970,41500,..,..,..,..,41500,..,93,0,92,0,92,..,634,50,679,4,688,..,0,0,0,0,0,..,3354,795,4148,16,4162,..,9658,2780,12439,58,12494,..,706,229,929,3,935,..,13717,3800,17516,75,17590,..,196,23,223,5,226,..,79,3,86,7,89,..,358,11,372,6,375,..,309,9,325,4,323,..,4132,793,4924,44,4964,..,478,16,493,0,493,..,1569,42,1615,9,1628,..,862,58,917,7,922,..,2346,75,2421,21,2440,..,423,20,438,3,440,..,914,40,948,6,953,..,6596,236,6832,46,6883,..,1508,249,1757,28,1780,..,327,51,375,8,378,..,822,295,1118,6,1126,..,93,9,103,3,108,..,45,0,40,0,40,..,360,45,409,0,409,..,295,26,323,0,323,..,380,56,436,12,445,..,21,0,21,0,21,..,194,31,221,0,221,..,146,4,155,0,155,..,792,67,861,0,863,..,174,3,178,0,174,..,166
LGA25060,36940,..,..,..,..,36940,..,25,0,25,0,25,..,738,108,852,3,855,..,3,0,3,0,3,..,560,236,791,4,794,..,716,194,911,10,917,..,70,30,101,0,106,..,1339,465,1806,15,1816,..,435,47,477,4,480,..,43,0,43,0,43,..,140,6,148,0,148,..,140,0,147,0,145,..,1472,241,1710,20,1728,..,68,0,68,3,71,..,468,12,485,3,482,..,218,12,230,3,228,..,170,3,179,3,180,..,126,3,133,3,138,..,388,10,397,6,400,..,1448,45,1489,17,1506,..,3099,463,3563,60,3621,..,104,10,110,0,111,..,84,32,114,0,115,..,211,24,239,4,237,..,260,12,271,3,276,..,168,63,229,6,243,..,139,10,145,3,149,..,59,3,59,3,61,..,13,0,12,0,12,..,119,12,124,0,124,..,94,3,99,0,99,..,75,6,84,0,84,..,95,0,97,0,97,..,39
LGA25150,13931,..,..,..,..,13931,..,13,0,13,0,13,..,25,3,23,3,31,..,0,0,0,0,0,..,8,0,8,0,8,..,13,3,16,0,21,..,0,0,0,0,0,..,23,3,24,0,27,..,38,4,39,0,39,..,30,0,33,0,33,..,17,0,17,0,17,..,38,0,38,0,38,..,43,3,50,0,50,..,0,0,0,0,0,..,28,0,28,0,28,..,57,4,60,0,63,..,6,3,5,0,5,..,6,0,6,0,6,..,10,0,11,0,11,..,102,7,111,0,115,..,70,4,76,0,76,..,4,0,9,0,9,..,0,0,0,0,0,..,13,0,16,0,16,..,66,4,70,0,70,..,0,0,0,0,0,..,17,0,18,0,16,..,4,0,4,0,4,..,5,0,5,0,5,..,32,0,30,0,28,..,6,0,6,0,6,..,0,0,0,0,0,..,5,4,9,0,9,..,0
LGA25250,44447,..,..,..,..,44447,..,20,3,22,0,22,..,3456,517,3974,34,4010,..,12,0,12,0,12,..,359,102,464,3,463,..,1108,308,1414,6,1426,..,78,10,90,3,91,..,1542,425,1964,14,1980,..,206,31,236,0,236,..,62,0,62,0,65,..,260,15,278,0,282,..,262,10,273,3,275,..,2762,741,3506,33,3537,..,344,21,361,7,364,..,659,29,694,10,701,..,557,32,584,7,589,..,333,13,348,3,350,..,2185,138,2326,28,2357,..,1646,65,1715,10,1724,..,5734,294,6025,56,6088,..,4656,927,5584,85,5667,..,149,20,167,3,171,..,103,30,130,0,129,..,103,17,115,0,116,..,297,16,317,7,324,..,251,77,332,3,331,..,172,11,180,3,186,..,69,8,81,3,81,..,74,8,81,3,81,..,124,24,146,0,146,..,146,7,146,0,146,..,253,40,297,0,297,..,160,3,168,3,171,..,104
LGA25340,66706,..,..,..,..,66706,..,57,0,57,0,57,..,73,8,84,0,85,..,7,0,7,0,6,..,59,19,77,0,77,..,135,63,199,3,201,..,6,3,10,0,10,..,201,82,285,3,286,..,128,10,139,3,139,..,139,0,134,4,139,..,164,5,171,0,171,..,290,3,296,8,297,..,495,79,577,4,580,..,4,0,4,0,4,..,25,0,25,0,25,..,37,0,41,0,41,..,11,0,9,3,14,..,7,0,7,0,7,..,16,0,13,0,13,..,94,6,94,3,97,..,707,62,777,10,784,..,54,9,56,0,61,..,12,0,11,0,11,..,34,3,38,0,38,..,43,0,44,0,44,..,14,3,22,0,22,..,66,8,73,0,76,..,41,4,50,0,50,..,11,0,10,0,10,..,41,3,40,0,40,..,30,0,30,0,30,..,49,0,49,0,49,..,49,0,49,0,49,..,4
LGA25430,7709,..,..,..,..,7709,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,7,3,8,0,8,..,17,24,40,0,40,..,0,3,3,0,3,..,22,30,52,0,52,..,3,0,3,0,3,..,13,4,14,0,14,..,16,3,23,0,23,..,30,0,30,0,30,..,20,0,20,0,20,..,0,0,0,0,0,..,3,0,3,0,5,..,9,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,19,0,16,3,19,..,28,0,25,0,25,..,11,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,0
LGA25490,7463,..,..,..,..,7463,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,9,13,0,13,..,0,0,0,0,0,..,6,9,15,0,15,..,0,0,0,0,0,..,8,0,8,0,8,..,7,0,7,0,10,..,14,0,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,4,3,11,0,11,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,0,0,0,..,7,0,7,0,7,..,5
LGA25620,6164,..,..,..,..,6164,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,9,3,10,0,10,..,0,0,0,0,0,..,12,3,19,0,16,..,3,0,6,0,6,..,5,0,5,0,5,..,3,0,3,0,3,..,13,0,13,0,13,..,25,0,25,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,34,3,32,3,38,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,6,0,6,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3
LGA25710,26381,..,..,..,..,26381,..,62,0,62,0,62,..,75,9,82,0,83,..,0,0,0,0,0,..,68,13,76,0,76,..,179,46,225,0,228,..,17,9,23,0,23,..,261,64,325,0,325,..,59,4,64,0,64,..,58,0,56,0,60,..,75,8,76,0,81,..,137,3,141,3,142,..,241,14,252,3,252,..,0,0,0,0,0,..,48,0,47,0,52,..,29,3,34,0,34,..,34,0,34,0,35,..,18,3,18,0,18,..,13,0,18,0,18,..,141,10,155,3,156,..,512,17,535,3,534,..,39,6,44,0,44,..,12,0,11,0,11,..,134,3,135,4,139,..,32,0,32,0,32,..,52,3,53,0,53,..,34,3,39,3,38,..,20,3,25,0,25,..,0,0,0,0,0,..,46,0,48,0,48,..,7,0,7,0,7,..,15,0,16,0,16,..,7,0,8,0,8,..,6
LGA25810,5090,..,..,..,..,5090,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,9,18,0,18,..,3,0,6,0,6,..,15,10,28,0,28,..,7,0,7,0,7,..,12,0,12,0,12,..,0,0,0,0,0,..,3,0,10,0,10,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,14,0,14,..,4,0,4,0,4,..,4,0,4,0,4,..,0,3,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,0
LGA25900,34474,..,..,..,..,34474,..,68,0,68,0,68,..,174,17,186,0,190,..,8,0,8,0,8,..,270,34,298,3,304,..,745,158,904,0,904,..,45,10,55,3,56,..,1050,205,1255,6,1264,..,78,3,85,3,83,..,115,3,116,0,116,..,476,18,499,4,501,..,326,18,336,5,342,..,1033,214,1251,8,1261,..,62,0,62,0,62,..,411,19,431,0,433,..,70,4,75,0,81,..,49,3,57,0,57,..,56,0,59,0,59,..,285,12,300,3,300,..,944,36,977,3,986,..,672,37,709,4,720,..,145,23,169,0,166,..,76,26,100,3,106,..,53,5,54,0,54,..,22,0,22,0,22,..,108,9,119,0,119,..,155,10,166,0,167,..,348,176,522,5,526,..,12,0,12,0,12,..,100,5,106,0,109,..,60,0,60,0,60,..,153,4,154,0,159,..,52,0,54,0,58,..,50
LGA25990,3087,..,..,..,..,3087,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,4,3,8,0,8,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,7,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
