LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA21270,0,23,57,47,92,86,23,10,10,348,0,5,47,27,38,43,5,9,0,173,0,0,18,35,44,36,13,6,4,144,0,0,11,22,18,18,10,0,0,71,0,0,9,10,13,18,3,4,0,59,0,0,6,10,6,7,7,3,4,47,30,21,49,38,94,132,115,108,84,658,345,195,469,549,859,1034,827,580,336,5206
LGA21370,9,131,450,470,626,508,151,65,38,2446,0,43,287,279,320,305,71,11,3,1318,0,24,177,221,325,208,46,15,3,1022,0,10,84,156,194,127,35,3,3,620,0,8,90,164,199,140,29,11,8,643,6,5,30,69,76,86,37,23,12,347,308,141,280,348,451,479,514,474,303,3303,2334,1758,3520,3936,5053,5357,4554,2744,1164,30424
LGA21450,13,470,2070,1645,1543,1053,285,67,26,7179,7,174,1344,1248,1084,601,169,24,11,4652,0,62,870,1015,937,454,96,19,3,3460,0,26,419,669,631,329,60,15,0,2150,0,26,433,799,817,418,83,19,0,2593,4,13,99,278,347,221,69,22,5,1061,626,460,895,870,953,806,672,446,252,5977,6230,5937,13705,13196,12479,9638,6898,3127,1185,72402
LGA21610,55,1316,6228,5691,5038,3126,709,153,52,22371,13,452,3851,4021,3278,1952,318,55,29,13974,3,169,2369,3055,2571,1444,211,37,21,9887,3,66,1281,2042,1677,913,129,33,5,6146,5,61,1239,2540,2076,1133,203,27,12,7300,30,45,282,840,915,469,155,58,16,2810,1735,1513,2936,2713,2597,2072,1702,1203,712,17182,20950,20672,44427,44870,39747,30094,18295,8947,3450,231449
LGA21670,3,34,87,107,162,107,46,22,8,573,3,11,43,55,101,51,17,0,0,280,0,0,27,45,58,44,13,3,0,189,0,0,13,29,33,26,4,0,0,103,0,0,8,35,37,24,5,0,3,117,0,0,9,6,12,15,8,3,3,64,88,39,65,100,151,166,248,179,73,1104,693,619,1001,1229,1725,2038,2046,1173,448,10982
LGA21750,8,97,310,277,328,254,115,39,23,1450,0,29,160,196,196,151,62,14,6,811,0,7,81,103,149,119,39,13,4,512,0,3,36,88,79,95,16,12,3,340,0,0,42,73,96,78,39,8,0,332,0,0,20,36,56,49,31,23,8,217,160,104,183,174,248,305,259,191,81,1708,1191,1081,2202,2272,2823,3144,2567,1402,585,17277
LGA21830,13,50,172,204,241,211,75,28,7,1006,3,25,86,111,167,125,49,10,8,588,0,9,70,85,122,113,29,9,7,440,0,0,32,57,70,49,20,9,3,239,0,0,26,43,84,79,23,10,7,274,0,0,19,49,69,56,35,4,3,245,138,64,129,142,225,236,240,205,86,1467,1027,743,1367,1655,2303,2391,1985,1191,468,13125
LGA21890,11,569,3680,2443,1899,1167,337,113,56,10277,3,207,2732,1915,1414,823,185,36,19,7340,9,61,1990,1930,1346,710,133,22,14,6210,0,25,1000,1432,1008,565,82,18,16,4145,0,24,1320,2325,1689,708,100,21,8,6191,11,29,359,1386,1100,366,100,26,18,3400,712,923,2381,1788,1478,1152,1040,1079,876,11435,6937,11345,28467,22933,19113,13592,9410,7744,3736,123281
LGA22110,11,116,468,442,568,549,316,122,39,2630,0,34,264,273,327,327,138,43,17,1422,0,16,152,214,302,269,72,17,14,1047,0,3,74,113,182,157,58,7,6,592,0,7,60,146,225,165,49,24,9,681,9,5,42,82,110,107,50,30,8,440,342,206,387,394,575,719,886,616,376,4503,2292,1822,3817,4278,5771,7207,7505,3801,1391,37892
LGA22170,17,574,2657,2218,2358,1764,500,146,62,10293,4,198,1874,1689,1565,1037,269,52,25,6710,3,62,1191,1417,1264,866,171,37,7,5028,0,42,618,1001,925,527,102,21,8,3241,5,28,617,1183,1086,670,126,19,14,3744,6,18,136,420,515,293,98,25,9,1519,762,722,1445,1412,1471,1323,1175,944,669,9927,8009,8512,18484,18569,18833,16105,11710,6187,2713,109114
