LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA23430,141,820,11,136,112,25,3,8,7,1268,40,195,4,19,34,3,0,0,3,298,1093,5073,220,770,1492,568,46,147,79,9488,4,6,3,16,11,3,0,4,0,45,261,513,89,333,561,165,20,63,24,2031,366,521,179,764,820,312,17,71,26,3079,282,261,512,1022,914,363,49,160,53,3623,27,26,16,62,122,81,7,30,3,381,61,74,37,180,289,96,22,43,4,807,36,82,19,47,78,40,0,14,7,321,46,101,35,112,156,87,11,54,59,650,2783,9358,1167,3630,4925,1828,185,633,306,24818,24,80,0,0,15,0,0,0,0,120,90,555,10,20,21,0,0,3,15,716,905,2354,137,206,464,191,52,98,53,4461,57,140,13,8,24,9,0,6,0,261,293,1212,37,178,163,48,16,21,17,1973,84,246,11,27,43,5,3,6,6,424,2767,8681,793,1145,2126,1014,264,412,154,17353,13,14,8,21,15,6,0,6,3,77
LGA23670,92,628,12,164,104,23,3,14,9,1043,29,153,5,6,22,5,0,0,3,232,774,4420,247,753,1378,535,41,157,77,8383,0,7,0,22,14,4,0,0,0,56,224,499,79,381,526,168,15,63,20,1982,333,428,172,934,909,317,31,102,36,3259,317,260,582,1373,1154,483,106,249,58,4593,21,19,18,86,161,78,14,33,10,434,51,69,30,235,280,112,21,64,4,870,33,69,23,44,95,31,7,15,10,324,45,85,24,114,146,74,11,58,58,628,2189,8023,1241,4239,5119,1932,259,781,302,24092,17,67,0,7,8,3,0,0,0,102,71,516,17,15,30,4,4,7,5,658,702,2057,154,155,510,188,39,67,45,3909,29,116,0,5,11,13,0,4,0,181,214,968,36,193,151,30,12,29,12,1648,63,197,15,17,32,14,0,3,3,342,2204,7712,843,1041,2034,961,251,422,145,15619,8,7,4,21,10,10,3,4,0,75
LGA23810,20,253,3,55,21,10,0,0,0,374,10,64,0,10,7,0,0,0,0,91,164,1465,46,193,237,62,3,30,13,2209,3,5,4,8,3,3,0,0,0,25,61,174,20,116,124,32,6,19,7,558,105,215,53,433,305,84,3,22,17,1240,139,135,336,819,699,289,20,186,25,2643,20,17,17,57,87,56,7,28,4,288,21,12,17,129,101,45,4,25,3,360,8,16,3,13,19,5,0,7,0,75,27,59,11,110,67,40,5,57,30,411,627,2693,513,1984,1674,636,49,371,113,8654,4,12,0,0,0,0,0,0,0,24,11,109,3,3,3,0,0,0,0,127,100,331,12,41,33,14,4,4,0,537,7,23,0,3,0,0,0,0,0,34,48,342,7,71,26,12,3,3,3,525,18,93,3,8,9,0,0,0,0,138,405,2171,153,262,315,97,26,65,24,3520,6,9,7,9,4,4,0,0,0,38
LGA23940,13,28,0,10,0,0,0,0,0,52,3,5,0,0,0,0,0,0,0,5,50,106,4,13,14,4,0,11,0,196,0,0,0,0,0,0,0,0,0,3,19,20,3,13,11,3,0,0,0,80,22,7,0,23,22,4,0,5,3,87,27,14,14,63,45,10,4,19,4,204,6,4,0,7,5,3,0,9,0,32,7,0,0,9,4,3,0,3,0,35,0,0,0,0,3,0,0,0,0,3,15,7,0,9,6,3,0,4,4,56,166,213,29,141,110,35,8,52,18,780,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,10,11,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,15,33,0,10,3,0,0,0,0,62,3,5,0,0,0,0,0,0,0,5,90,144,14,18,10,4,6,16,3,302,0,0,0,0,0,0,0,0,0,3
LGA24130,67,323,12,49,42,0,0,0,4,502,13,62,0,6,8,0,0,0,0,86,307,1314,68,235,292,90,3,31,24,2362,3,3,0,3,0,0,0,0,0,16,95,178,29,127,115,39,3,22,4,604,97,139,47,236,212,54,5,30,12,824,80,85,191,388,294,140,12,90,10,1296,14,14,9,36,52,31,0,18,0,175,30,12,18,80,72,35,0,25,3,273,3,19,5,6,19,5,0,8,0,74,15,43,12,61,53,31,0,16,13,244,838,2615,395,1251,1195,422,35,255,76,7086,3,18,0,3,3,0,0,0,0,31,31,183,8,7,4,3,0,3,3,239,228,517,17,26,42,11,3,11,8,864,10,45,0,0,4,0,0,0,3,69,132,451,17,70,59,11,4,7,4,756,27,79,4,17,9,4,0,0,0,147,749,2147,157,341,389,152,30,84,36,4084,4,10,0,4,3,3,0,0,0,20
LGA24210,110,542,12,83,122,16,0,4,5,893,29,115,3,6,18,4,0,0,0,178,985,3899,208,590,1346,572,22,95,105,7825,0,4,4,8,4,7,0,3,0,25,135,371,62,230,367,144,10,36,12,1368,214,247,88,379,444,196,9,49,12,1644,157,138,271,493,407,209,10,78,19,1793,17,5,8,43,75,38,3,19,3,204,61,34,29,114,192,75,7,29,5,533,33,60,11,33,62,29,0,9,0,240,49,109,10,82,105,66,5,21,49,499,2160,7113,756,2168,3469,1466,67,361,256,17821,22,58,0,3,13,3,0,4,0,100,95,750,15,6,36,5,3,3,5,921,989,2426,134,144,495,209,33,55,77,4570,38,144,8,6,23,9,0,3,0,232,256,849,32,108,151,47,7,13,16,1475,61,147,8,16,32,12,0,0,0,267,2896,7426,692,876,1965,1083,174,302,225,15634,7,7,11,8,4,7,0,4,0,44
LGA24250,5,40,0,7,8,3,0,0,0,66,3,0,0,3,0,0,0,0,0,4,50,192,13,31,32,5,0,20,0,343,0,0,0,0,3,0,0,0,0,3,18,36,4,25,25,6,0,11,3,122,26,28,7,49,33,7,3,12,3,166,21,9,37,84,58,34,4,32,0,281,3,0,4,3,7,6,0,7,0,37,5,6,3,14,10,9,0,9,0,54,0,0,0,0,7,0,0,0,0,10,6,7,7,10,13,14,0,12,3,78,156,354,73,222,193,88,12,108,19,1225,0,0,0,0,0,0,0,0,0,6,3,7,0,0,3,0,0,0,0,14,20,45,3,13,3,3,0,3,0,89,4,3,0,0,0,0,0,0,0,9,12,55,0,18,8,3,0,0,0,99,3,7,0,3,0,0,0,0,0,10,102,285,19,45,40,10,4,28,4,537,0,0,0,0,3,0,0,0,0,4
LGA24330,139,608,12,68,81,26,0,0,7,938,44,137,3,17,27,6,0,3,0,228,934,3186,176,588,974,408,30,216,63,6576,0,4,0,10,4,4,0,3,3,32,133,176,63,147,154,74,12,33,9,803,171,211,118,399,302,146,14,64,17,1443,139,123,183,388,315,158,35,95,24,1459,18,10,4,38,38,31,8,18,0,164,25,38,16,92,78,42,0,32,5,317,21,33,9,29,35,13,0,6,4,152,16,45,18,45,27,27,4,28,31,241,1996,5978,644,1922,2292,1017,111,561,205,14720,9,47,0,3,7,0,0,0,0,73,68,480,14,5,12,3,0,7,5,581,635,1982,143,206,439,214,82,216,61,3977,49,112,7,7,9,6,8,3,3,206,220,939,28,90,119,36,6,13,5,1459,67,188,8,23,30,7,0,5,0,326,2054,5914,609,957,1534,804,252,598,157,12887,0,11,6,11,5,11,4,4,3,43
LGA24410,103,635,15,118,91,22,0,6,3,987,25,153,0,13,31,0,0,3,0,223,662,3571,153,572,975,345,23,102,39,6450,3,6,0,11,9,9,0,3,0,33,185,422,74,316,376,113,10,45,14,1563,240,378,124,634,564,196,19,51,25,2236,214,243,438,1008,870,341,44,165,33,3354,21,12,11,66,102,58,6,22,3,308,43,44,29,169,197,80,3,26,6,602,13,46,7,26,49,14,0,10,3,174,35,75,18,89,98,50,4,46,42,452,1771,6737,898,3099,3622,1292,115,495,175,18207,22,45,0,3,12,0,0,0,0,83,68,356,7,5,17,0,0,3,7,462,536,1660,83,109,352,108,25,35,42,2951,29,102,5,3,8,7,0,0,4,164,204,982,50,146,115,34,3,16,7,1559,70,203,12,28,48,3,4,3,0,369,1730,6116,521,822,1412,598,128,249,100,11682,3,10,8,18,10,13,0,3,0,61
LGA24600,177,676,16,84,122,32,0,8,9,1118,38,168,0,10,29,12,0,0,5,268,1567,5945,399,1406,1668,934,37,435,152,12533,0,3,6,16,5,0,0,3,0,36,173,237,72,174,213,120,3,36,12,1043,236,277,165,441,302,189,6,67,29,1716,121,109,209,345,278,195,6,52,24,1338,15,21,11,53,42,22,0,14,0,181,43,49,24,77,83,32,4,19,3,343,44,93,16,50,39,25,0,24,5,303,30,70,16,71,52,28,0,30,46,344,3296,11380,1043,2962,3532,1873,74,779,358,25296,21,103,3,0,14,3,0,0,0,148,209,1739,19,13,52,12,0,3,22,2061,1559,5478,283,382,1000,444,49,199,130,9524,60,200,6,13,25,11,5,6,4,339,326,1116,29,111,199,43,7,24,14,1875,73,259,0,13,50,14,0,3,3,415,3631,12923,1105,2152,2710,1598,209,1025,342,25698,7,7,12,20,8,5,0,5,0,69
LGA24650,58,368,7,124,52,18,4,6,4,638,9,76,0,6,20,0,0,0,0,124,464,2701,175,520,1056,331,51,120,53,5473,3,4,0,20,6,8,3,0,0,44,177,217,61,285,352,120,23,49,15,1291,258,312,140,840,668,207,24,67,32,2550,255,205,440,1213,1016,458,109,254,52,4008,24,19,21,79,131,85,12,39,0,411,61,43,32,214,209,91,20,55,10,740,18,48,11,26,44,19,3,10,0,190,44,72,27,124,113,73,13,60,48,578,1503,4707,936,3553,3855,1479,268,686,244,17228,3,36,3,3,5,3,0,0,0,57,19,157,4,10,11,0,0,0,4,206,358,1028,69,126,289,102,79,39,37,2134,14,67,3,11,18,4,3,3,3,116,110,521,14,139,82,32,13,17,5,928,24,100,0,13,30,0,3,0,0,176,1205,4375,534,733,1508,548,352,303,117,9660,7,12,7,20,6,6,3,6,0,67
LGA24780,22,209,3,42,20,3,0,0,0,300,11,32,0,6,4,0,0,0,0,51,147,1220,35,130,144,37,4,49,7,1763,0,0,3,4,3,3,0,0,0,14,63,158,13,110,70,30,3,26,6,471,92,139,43,302,199,61,0,32,15,876,118,116,210,556,453,225,20,147,23,1855,18,7,4,47,61,71,8,18,5,236,25,15,10,83,68,49,4,23,3,283,5,12,7,7,11,4,0,14,3,60,21,52,13,63,54,68,5,40,28,348,555,2142,337,1366,1087,536,52,358,89,6517,0,11,0,0,0,0,0,0,0,9,14,44,0,0,0,0,0,0,0,62,67,233,3,19,11,4,0,11,0,347,3,25,0,0,0,0,0,0,0,35,40,275,5,52,20,3,0,4,0,411,17,42,3,6,6,0,0,0,0,70,358,1786,69,189,186,61,22,89,16,2776,3,0,4,8,3,4,0,3,0,24
LGA24850,25,131,4,32,6,0,0,3,0,211,8,41,0,3,9,0,0,0,0,61,129,664,32,123,155,43,3,26,7,1187,0,0,3,5,3,3,0,0,0,20,43,97,22,88,108,29,5,4,3,402,76,120,43,297,201,55,12,34,8,848,83,88,190,421,337,151,24,111,12,1424,19,10,14,25,54,27,0,32,0,183,13,11,15,73,65,28,7,24,4,241,8,11,3,4,12,9,0,8,0,57,20,30,19,44,57,23,4,20,14,226,462,1349,345,1141,1034,378,57,267,56,5087,0,5,0,0,0,0,0,0,0,8,9,36,0,3,4,0,0,3,0,58,96,156,7,12,32,5,4,12,9,336,5,23,0,4,0,0,0,0,0,36,37,191,9,40,13,3,0,3,0,297,7,61,0,8,9,0,0,0,0,84,287,966,75,165,193,77,30,52,10,1856,0,0,3,5,3,3,0,6,0,21
LGA24900,12,89,0,20,10,0,0,0,0,138,3,22,0,0,0,0,0,0,0,34,87,486,16,49,72,17,0,31,9,762,0,0,0,9,0,0,0,0,3,15,57,78,6,56,44,10,3,25,0,277,58,81,15,152,91,21,3,28,3,448,89,65,124,286,186,101,17,116,17,997,12,6,0,30,32,12,0,20,0,120,21,4,3,54,31,17,0,14,0,148,3,6,3,3,8,3,0,4,0,31,28,21,8,41,20,29,3,45,8,190,390,936,190,706,493,211,27,283,38,3281,0,3,0,0,0,0,0,0,0,7,10,15,0,4,0,0,0,0,0,24,21,85,4,4,4,4,0,8,0,130,0,6,0,0,0,0,0,0,0,8,27,120,3,23,11,0,0,3,0,189,5,26,0,0,0,0,0,0,0,41,202,678,49,75,81,29,3,51,12,1179,0,0,3,9,0,3,0,0,3,19
LGA24970,163,785,31,140,146,30,4,12,4,1307,36,132,5,14,39,6,0,0,0,236,1264,6065,356,1005,2100,839,53,272,154,12112,4,8,0,13,10,4,3,3,0,40,256,467,112,331,488,158,17,91,18,1929,305,396,162,664,703,285,16,98,23,2656,172,180,389,762,566,262,43,141,25,2535,21,22,14,70,89,60,0,38,0,324,45,50,22,134,216,88,9,43,6,617,40,104,14,39,84,39,3,20,4,354,42,116,29,86,115,56,17,52,69,572,2975,11287,1243,3498,5316,2050,175,844,369,27759,30,95,3,0,12,4,0,3,3,154,193,1577,31,20,60,13,4,7,13,1927,1648,4626,349,350,1140,470,103,202,119,9002,71,216,8,16,42,17,4,7,5,388,299,1291,71,166,220,54,17,23,17,2164,82,194,14,17,52,7,3,0,5,379,3629,11914,1274,1481,3182,1625,384,846,342,24675,9,13,14,18,9,6,7,6,0,84
LGA25060,189,835,12,98,127,19,6,6,13,1296,34,157,0,10,28,9,0,0,3,240,1229,4754,199,678,1364,509,31,140,102,8999,10,5,3,13,9,0,0,0,0,45,169,376,70,210,345,97,3,23,16,1308,266,345,102,450,550,195,13,44,27,1999,157,153,258,552,579,237,31,102,26,2098,17,19,8,56,97,38,0,19,7,259,44,46,15,133,203,81,3,17,18,561,16,71,11,24,53,19,3,12,7,214,42,104,33,72,96,53,3,33,41,472,2609,8710,753,2389,3752,1326,94,427,283,20343,23,99,0,7,8,3,0,0,0,143,104,695,8,3,24,6,0,4,13,863,907,2492,96,153,442,140,30,89,60,4413,50,152,5,17,14,4,0,3,13,263,338,1208,38,129,169,33,9,23,16,1962,77,210,8,19,40,9,0,3,4,363,2923,8540,591,1016,2039,890,194,369,205,16777,10,9,7,19,16,7,3,3,0,69
LGA25150,16,138,4,38,19,3,0,0,0,220,5,24,0,10,4,0,0,0,0,42,131,745,26,75,140,48,3,13,17,1211,3,0,0,6,3,0,0,0,0,14,47,94,26,70,89,21,3,9,4,367,52,87,31,183,152,38,3,23,9,585,78,69,120,322,302,99,25,57,7,1082,15,3,5,11,38,21,0,9,0,108,15,18,13,71,55,17,3,10,0,198,5,4,0,7,13,3,0,0,0,31,16,25,3,29,30,23,0,12,7,158,430,1402,241,834,872,294,43,140,54,4305,3,8,0,0,0,0,0,0,0,16,14,67,3,0,3,0,0,0,0,96,94,211,5,14,34,8,4,3,7,382,4,17,0,0,0,0,0,0,0,23,45,186,3,39,24,7,0,0,4,313,7,33,3,11,8,0,0,0,0,58,282,1078,69,125,192,83,24,32,30,1907,3,0,3,4,3,0,0,0,0,20
LGA25250,231,1248,22,179,195,41,3,12,13,1941,69,283,7,17,51,6,0,0,6,426,1391,6529,417,1165,1811,767,35,307,136,12556,9,9,0,14,4,4,0,7,4,50,215,432,108,297,359,168,15,51,14,1658,285,478,215,678,618,261,13,102,30,2672,221,240,399,806,681,308,45,137,28,2867,22,30,15,66,109,45,3,20,3,306,46,59,38,158,201,76,7,32,14,620,19,87,20,46,51,28,6,17,7,274,38,119,20,113,119,70,7,58,81,627,3226,12857,1336,3829,4691,1881,137,814,394,29168,25,100,3,3,6,3,0,5,3,145,166,1546,26,15,55,19,6,8,14,1842,1231,4311,253,439,710,258,144,241,107,7695,41,202,13,19,36,9,9,12,14,341,402,1917,57,227,268,65,18,31,23,3007,102,381,16,31,70,12,0,4,5,632,3203,11960,1256,1811,2837,1370,427,833,281,23986,9,9,6,20,9,13,0,6,7,79
LGA25340,132,675,14,147,88,22,0,7,10,1097,36,124,0,16,17,3,0,4,6,207,653,3681,141,503,697,326,15,90,50,6165,8,4,0,12,5,4,0,3,0,41,265,534,106,397,462,171,4,57,18,2014,314,490,146,877,630,296,17,118,20,2914,366,270,679,1482,1012,566,52,315,45,4784,31,25,36,121,157,93,12,50,7,530,72,56,55,278,242,116,13,69,3,907,31,46,15,46,77,35,0,11,8,271,80,129,38,196,148,110,16,74,62,856,2224,7022,1253,4138,3628,1770,126,808,236,21193,9,59,0,4,5,0,0,0,0,81,53,332,4,11,10,6,0,0,3,419,505,1201,38,71,104,48,0,17,19,1989,38,80,3,8,6,11,0,0,0,146,254,968,29,186,113,39,13,21,19,1636,64,164,14,22,29,0,0,4,8,304,1819,5842,416,725,903,556,81,209,114,10667,15,16,6,18,11,8,0,4,0,74
LGA25430,34,135,9,25,21,8,0,6,0,227,4,22,0,4,3,0,0,0,0,31,117,459,27,84,80,33,3,34,8,835,0,0,0,0,0,0,0,0,0,0,13,92,14,43,31,23,0,6,0,214,34,51,25,77,50,15,3,18,0,270,34,23,73,145,82,39,3,43,5,445,3,0,3,18,15,8,0,4,0,59,7,4,7,29,12,10,3,5,0,75,6,10,0,3,0,3,0,3,0,28,10,22,9,21,20,8,4,14,6,104,313,1029,158,458,339,157,16,134,26,2623,0,10,0,0,0,0,0,0,0,10,17,97,4,0,6,0,0,4,0,122,77,234,15,10,32,3,0,8,3,378,5,9,0,0,0,0,0,0,0,18,58,198,14,38,26,9,0,6,0,351,5,19,7,4,5,0,0,0,0,48,223,759,77,127,99,50,8,63,20,1421,0,0,0,0,0,0,0,0,0,8
LGA25490,17,71,0,17,8,0,0,0,3,112,3,17,0,0,3,0,0,0,0,26,96,398,17,33,59,15,0,22,3,653,0,5,0,6,0,0,0,0,0,8,66,47,3,39,29,11,0,10,4,213,72,39,6,93,49,19,0,14,3,296,73,22,86,179,100,50,7,58,3,585,10,3,3,15,14,13,0,10,0,68,19,0,5,28,23,13,0,15,0,96,4,3,0,4,3,0,0,0,0,21,32,12,4,11,16,12,0,16,9,117,414,708,134,421,313,136,9,157,25,2326,0,3,0,0,0,0,0,0,0,7,9,30,0,0,0,0,0,0,0,31,45,98,5,11,0,0,0,4,6,162,5,6,0,0,0,0,0,0,0,13,19,84,8,19,9,0,0,0,3,146,6,17,0,0,0,0,0,0,0,28,200,567,26,54,75,24,3,50,10,1021,3,5,0,6,0,0,0,0,0,9
LGA25620,19,54,0,12,10,0,0,0,0,92,0,3,0,0,3,0,0,0,0,13,50,251,16,67,53,14,3,13,4,468,0,0,0,0,0,0,0,0,0,0,23,37,12,38,28,11,0,0,3,164,31,47,16,70,56,15,0,11,3,259,33,25,72,144,101,32,0,42,8,451,9,3,4,13,17,10,0,3,0,55,9,9,3,17,16,7,0,14,0,64,0,6,0,3,6,3,0,0,0,21,13,15,7,24,17,10,5,10,3,107,206,496,137,394,310,110,11,95,21,1779,0,4,0,0,0,0,0,0,0,3,4,19,0,0,0,0,0,0,0,27,40,63,0,11,5,0,0,0,0,119,0,3,0,0,0,0,0,0,0,8,28,69,3,22,13,0,0,3,3,143,3,6,0,0,3,0,0,0,0,16,124,362,34,87,66,25,10,25,4,734,0,0,0,0,0,0,0,0,0,7
LGA25710,65,513,9,80,64,12,0,4,7,758,21,83,0,14,17,3,0,0,3,139,472,2351,103,323,586,164,13,43,32,4088,0,0,0,3,0,0,0,0,0,11,121,281,40,200,250,79,5,12,8,995,125,202,68,289,309,99,13,20,13,1141,105,99,220,465,419,125,15,28,15,1487,12,14,14,25,70,29,5,5,0,168,26,14,15,110,98,40,3,16,0,322,11,31,0,12,34,13,0,6,3,107,25,31,9,56,83,38,0,10,15,270,1168,4463,507,1611,2043,619,46,151,102,10713,13,44,0,4,3,3,0,0,0,68,68,405,3,3,21,0,0,0,5,503,430,971,28,48,115,39,3,10,15,1656,20,77,3,5,10,3,0,0,0,120,185,734,32,104,89,20,0,6,14,1184,48,110,3,21,17,6,0,0,0,214,1331,3961,260,480,815,286,58,115,84,7385,4,3,4,3,3,0,0,3,0,19
LGA25810,10,35,0,6,3,0,0,0,0,50,3,4,0,0,0,0,0,0,0,9,46,226,12,32,30,5,0,16,0,357,0,0,0,0,0,0,0,0,0,4,30,34,3,26,21,7,0,4,0,131,19,21,7,83,35,9,0,7,0,181,37,16,37,156,58,29,5,37,3,373,10,3,0,17,8,10,0,5,0,52,7,0,3,29,15,10,0,8,0,72,0,4,4,0,3,0,0,0,0,17,6,9,3,29,7,5,0,18,5,90,179,384,64,374,172,82,15,95,16,1380,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,21,31,0,6,0,3,0,0,0,59,0,0,0,0,0,0,0,0,0,3,7,50,0,4,3,0,0,0,0,75,6,6,0,3,0,0,0,0,0,18,93,299,23,43,39,9,7,21,0,534,0,0,0,0,0,0,0,0,0,6
