LGA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA22620,1917,2868,5084,5057,5507,4125,719,68,25,25372,1382,813,1617,1422,1385,2714,4457,2854,1414,18053,206,207,431,382,408,460,416,372,321,3207,3504,3884,7129,6863,7304,7304,5595,3295,1755,46628,533,2566,6586,6052,6721,4518,593,63,14,27652,2227,2240,2840,3193,3266,3143,969,125,22,18021,122,194,516,377,363,417,129,15,0,2142,88,124,141,153,136,139,51,24,3,858,2968,5134,10093,9775,10494,8205,1745,218,41,48675,190,370,396,329,286,232,7,8,0,1817,463,289,216,202,151,147,32,3,0,1507,656,665,616,533,434,375,40,7,0,3328,3625,5793,10707,10313,10929,8583,1783,232,41,52001,3047,1363,2171,2046,2297,4529,8216,5177,2227,31074,392,428,854,744,865,926,856,658,479,6204,7066,7580,13739,13101,14091,14036,10859,6065,2743,89283
LGA22670,1458,3362,8092,6110,5293,3376,628,38,12,28356,2629,1724,4065,3286,2979,4236,5158,3421,1674,29169,188,292,763,543,445,434,409,343,226,3647,4274,5381,12913,9934,8717,8041,6196,3807,1907,61166,268,2753,11908,9186,7644,4782,759,33,10,37340,1656,3503,4839,3629,2976,2261,716,66,9,19657,57,122,462,304,203,220,64,6,0,1439,79,263,581,361,329,182,54,19,3,1875,2058,6647,17785,13487,11157,7441,1592,114,17,60306,177,688,1192,845,678,421,20,0,0,4033,710,623,543,371,317,241,48,5,0,2863,893,1316,1729,1219,993,663,73,10,4,6897,2946,7957,19514,14706,12152,8106,1666,124,23,67196,5652,3469,5982,4839,4704,6852,9413,6217,2658,49783,418,663,1670,1173,1002,883,825,654,333,7620,9021,12088,27166,20720,17859,15838,11906,6995,3008,124599
LGA22750,3826,5734,11047,11249,11813,8392,1520,121,35,53745,2960,1464,3241,3068,3027,5960,10137,6557,3528,39941,321,423,781,695,813,852,838,714,550,5980,7109,7628,15069,15016,15653,15207,12493,7390,4112,99671,865,4886,14540,13815,14389,9200,1190,96,19,58999,4606,5006,5900,7207,7073,6459,2096,252,31,38630,261,336,1028,788,676,762,222,18,8,4097,187,274,392,321,324,242,78,24,14,1852,5922,10501,21865,22128,22460,16664,3581,392,70,103580,323,685,877,675,727,535,14,10,0,3857,949,593,461,418,330,363,75,6,0,3199,1270,1284,1338,1096,1055,901,89,19,4,7057,7189,11782,23207,23225,23514,17563,3672,404,74,110631,6604,2956,4848,4590,4834,9686,18288,11677,5572,69055,656,864,1583,1438,1625,1634,1625,1234,817,11482,14447,15606,29642,29252,29972,28885,23587,13316,6460,191166
LGA22830,1096,1173,2621,2765,3180,2279,474,52,12,13641,862,447,1031,928,841,1430,2307,1600,766,10209,133,130,312,273,313,324,314,206,162,2167,2089,1751,3961,3970,4333,4027,3094,1859,941,26014,376,1389,3542,3457,4069,2832,537,65,13,16278,1223,701,1378,1681,1771,1547,586,84,14,8985,57,88,239,188,199,253,74,12,4,1100,84,69,106,99,104,77,46,13,9,615,1740,2253,5267,5426,6138,4703,1234,172,39,26976,118,202,270,204,195,101,3,0,0,1095,285,97,107,109,79,75,14,0,0,761,401,293,380,305,274,182,12,0,3,1857,2148,2545,5648,5732,6410,4886,1252,175,42,28828,1895,761,1570,1495,1483,2376,4293,2936,1221,18031,283,268,633,553,653,648,628,381,225,4272,4328,3571,7850,7777,8548,7911,6169,3497,1484,51131
LGA22910,124,198,380,645,874,797,195,19,7,3235,169,47,166,197,228,544,836,443,248,2860,27,25,42,74,98,127,104,65,63,633,320,269,587,916,1195,1458,1130,527,313,6723,64,198,452,711,878,756,164,22,4,3250,143,135,241,480,653,668,243,29,7,2603,12,14,53,52,73,100,24,3,0,335,17,26,28,18,36,28,16,6,0,161,233,377,767,1266,1636,1550,448,58,13,6346,20,28,41,29,45,37,7,0,0,210,21,8,20,22,26,25,13,0,0,136,41,38,55,58,72,62,15,0,0,345,278,411,829,1323,1710,1612,465,58,15,6696,333,84,223,272,390,942,1608,841,362,5060,67,53,84,129,195,244,202,121,94,1187,677,549,1136,1723,2297,2802,2265,1027,469,12934
LGA22980,52,83,156,176,293,265,48,18,4,1097,98,23,72,68,90,171,285,209,155,1168,7,4,13,11,35,27,30,23,28,192,159,112,239,256,413,469,363,248,190,2453,30,122,225,272,355,325,70,15,0,1410,54,62,87,110,172,180,62,18,4,741,3,3,16,15,14,29,10,7,0,95,3,3,5,3,4,14,4,5,6,52,95,187,331,401,545,539,148,42,6,2298,8,9,16,9,20,24,0,0,0,91,6,3,6,4,6,5,0,0,0,37,17,11,23,15,27,30,0,0,0,124,109,201,359,408,577,567,146,47,12,2429,197,37,99,89,149,314,553,391,243,2080,17,10,23,22,64,69,61,46,43,351,319,247,487,525,791,949,766,482,290,4859
LGA23110,966,1824,4898,5048,4959,2909,452,34,12,21086,1176,492,1279,1441,1229,2098,2916,2182,1085,13893,96,125,411,341,324,284,232,213,120,2152,2237,2439,6583,6828,6512,5284,3599,2432,1216,37135,188,1548,7083,7081,6683,3866,466,29,11,26968,1265,1697,2197,2703,2558,1839,540,56,9,12865,56,74,381,398,217,213,59,5,4,1402,34,106,210,127,150,80,32,3,0,744,1548,3428,9862,10308,9606,6000,1103,98,17,41978,92,253,448,329,355,234,8,0,0,1712,306,224,208,172,148,142,15,0,3,1215,399,470,650,493,500,383,25,0,3,2931,1949,3906,10518,10803,10109,6377,1128,97,23,44911,2529,1002,1797,1926,1889,3367,5281,3816,1736,23339,182,268,782,702,639,562,445,404,199,4186,4656,5173,13093,13433,12638,10308,6854,4320,1952,72429
LGA23190,328,419,859,873,1015,870,177,20,7,4578,214,113,258,234,200,422,806,653,360,3260,33,33,53,59,58,85,73,52,26,467,573,563,1169,1170,1268,1376,1059,727,402,8308,142,510,1146,1027,1260,995,176,27,7,5285,416,247,473,587,618,621,237,42,9,3252,16,28,93,58,65,99,36,6,0,390,20,22,28,23,28,33,18,8,4,186,587,805,1740,1686,1974,1749,458,96,19,9111,24,56,50,45,45,29,0,0,0,258,54,18,36,32,34,24,8,0,0,219,80,73,90,76,80,59,8,0,0,468,667,882,1829,1766,2052,1806,465,96,18,9585,455,171,332,316,332,716,1422,1124,551,5421,53,58,124,110,132,148,135,98,43,910,1182,1105,2291,2194,2512,2676,2028,1316,613,15913
LGA23270,2820,4736,9703,8584,8453,4710,698,40,6,39755,3844,1915,5059,4480,4320,4763,5353,2831,1035,33606,323,373,893,686,698,575,474,301,123,4442,6978,7023,15653,13755,13470,10042,6528,3178,1168,77799,692,4247,13807,12038,11782,6474,819,33,11,49915,3100,4011,5314,5201,4775,3173,876,57,15,26526,121,238,782,473,361,336,87,6,0,2405,132,343,600,434,411,192,52,13,4,2183,4054,8837,20501,18154,17326,10173,1838,119,27,81025,368,839,1235,890,697,391,21,0,0,4441,1093,595,505,460,355,253,35,9,0,3313,1459,1432,1738,1351,1056,653,59,9,0,7756,5513,10271,22238,19503,18386,10822,1893,122,30,88775,7871,3450,7022,6351,6530,7754,9794,5273,1662,55708,666,821,1819,1463,1424,1166,892,524,198,8979,14047,14538,31082,27319,26340,19741,12573,5924,1889,153462
LGA23350,251,209,474,795,1062,842,188,26,7,3855,212,51,118,167,147,418,729,385,202,2427,26,13,30,57,70,81,64,44,16,393,487,268,626,1018,1274,1343,977,461,224,6674,98,248,577,908,1266,958,197,27,10,4284,287,145,274,491,591,594,247,34,8,2668,10,22,62,55,65,110,34,6,4,372,13,18,27,35,38,21,13,7,0,164,412,435,931,1495,1956,1682,491,76,18,7492,16,29,30,43,39,43,0,0,0,197,33,23,10,17,26,20,7,0,0,135,53,48,36,61,66,64,10,0,0,333,461,479,971,1555,2026,1743,496,73,18,7821,432,77,222,280,300,725,1413,730,299,4475,46,29,62,98,147,164,129,96,30,807,939,589,1250,1928,2462,2633,2039,902,353,13104
LGA23430,2082,3206,7838,8979,8808,5480,1158,76,16,37648,1798,694,1771,2056,1897,3237,5709,4165,2102,23442,135,165,500,496,468,418,453,470,471,3583,4020,4068,10110,11527,11173,9142,7316,4706,2600,64673,389,2757,11135,12056,11746,6949,1109,55,5,46192,2641,3138,3438,5079,4773,3661,1418,185,25,24369,107,142,611,568,361,347,118,25,3,2287,70,138,281,268,246,156,65,11,14,1253,3212,6173,15465,17971,17121,11114,2712,280,49,74103,104,293,525,438,480,308,35,0,3,2192,657,370,247,263,242,212,58,3,0,2051,762,657,777,708,727,519,92,10,5,4247,3973,6836,16243,18673,17853,11629,2804,288,55,78347,3928,1572,2540,2768,2810,5137,9920,7341,3384,39402,274,403,1017,1033,940,844,833,800,705,6845,8174,8811,19800,22479,21604,17615,13553,8428,4139,124594
LGA23670,2515,4017,7965,8093,9059,6300,1057,76,18,39100,2179,818,1941,2197,2087,3666,5793,3519,1744,23956,135,132,414,361,386,358,326,299,241,2659,4831,4974,10316,10647,11536,10329,7184,3898,2008,65713,586,3719,11488,10790,12046,8102,1101,47,10,47880,3132,3380,3644,4857,4969,4281,1446,129,18,25844,136,179,673,482,336,435,140,17,3,2397,95,136,265,227,241,173,50,20,6,1223,3952,7416,16073,16353,17597,12981,2730,210,31,77348,145,423,536,424,466,344,24,0,0,2362,773,342,274,301,265,219,37,4,0,2223,914,771,813,724,733,563,61,3,0,4584,4863,8186,16883,17076,18326,13546,2791,216,36,81929,4771,1696,2633,2909,2985,5601,10241,6392,2710,39952,272,313,813,760,762,750,629,512,357,5170,9911,10200,20332,20753,22075,19896,13662,7112,3105,127047
LGA23810,1109,1677,3153,3051,3405,2546,462,55,10,15464,872,548,1196,966,1226,2227,3078,1989,925,13017,147,205,370,294,357,375,327,295,178,2544,2131,2428,4718,4307,4989,5139,3870,2340,1106,31021,330,1625,3899,3517,4085,2919,429,41,10,16856,1330,1103,1755,1957,2106,1824,574,78,10,10736,56,97,301,183,240,345,71,8,0,1311,58,98,103,90,93,105,36,12,7,588,1766,2921,6062,5755,6525,5187,1112,142,25,29490,204,384,463,377,349,320,12,3,0,2110,263,148,188,168,116,135,25,3,0,1044,460,534,656,545,467,451,36,5,0,3157,2234,3452,6711,6301,6996,5644,1146,142,23,32646,1880,927,1625,1457,1982,3677,5796,3587,1464,22395,300,416,719,578,737,778,665,495,273,4955,4409,4789,9057,8337,9718,10102,7609,4227,1761,59998
LGA23940,68,63,158,233,374,325,101,19,3,1347,117,36,79,79,128,233,353,250,119,1389,27,12,26,40,54,54,50,46,26,333,212,110,260,346,554,619,508,309,145,3074,25,84,215,304,419,454,135,29,3,1673,81,45,77,153,233,216,95,30,4,939,7,11,19,9,32,48,7,3,0,138,4,4,21,15,18,23,4,3,0,97,112,137,335,486,699,738,244,65,8,2838,11,11,21,12,28,29,0,0,0,116,11,3,3,3,9,8,0,0,0,42,22,18,22,19,38,35,4,0,0,158,133,155,358,504,740,775,251,65,8,2993,225,56,102,137,229,454,760,463,206,2629,56,22,59,85,106,123,128,86,42,695,413,230,518,717,1078,1356,1139,621,256,6322
LGA24130,642,801,1517,2503,2944,1941,450,27,16,10842,690,143,394,621,560,1101,1875,861,380,6636,74,57,128,199,220,200,206,116,115,1320,1408,1000,2048,3325,3727,3241,2533,1003,513,18796,192,835,2024,3071,3758,2295,461,40,6,12691,834,658,817,1608,1770,1437,603,67,13,7806,33,44,156,205,149,221,65,3,3,875,43,33,62,73,75,52,25,10,8,373,1100,1573,3061,4956,5756,4007,1146,117,27,21741,42,72,86,79,109,116,11,0,0,520,149,46,37,61,74,85,25,3,0,478,190,118,124,142,190,200,32,3,0,1002,1285,1696,3179,5095,5944,4213,1184,116,30,22739,1477,292,524,789,800,1738,3483,1679,637,11408,151,127,234,389,439,406,389,219,149,2513,2919,2114,3942,6277,7184,6356,5046,2012,811,36659
LGA24210,1609,2565,4935,5400,6599,4273,1139,136,9,26672,1915,754,1311,1792,1879,3057,5232,4158,1981,22078,97,100,248,238,307,297,315,332,258,2188,3620,3426,6496,7431,8785,7622,6690,4623,2249,50939,184,1875,6918,7196,8488,5425,1134,116,6,31346,2052,2639,2299,3097,4016,3199,1512,294,25,19130,56,124,362,260,215,230,116,27,3,1387,58,100,219,187,179,134,55,13,6,955,2344,4748,9798,10736,12896,8991,2818,446,42,52818,60,221,397,304,347,252,28,4,0,1616,620,360,206,214,236,162,39,6,0,1840,676,580,605,523,584,414,67,6,0,3452,3021,5328,10400,11257,13486,9400,2885,454,42,56269,4319,1678,1967,2320,2595,4497,8859,7688,3231,37151,202,218,518,467,603,559,544,600,397,4105,7542,7222,12885,14044,16681,14448,12292,8740,3668,97529
LGA24250,99,112,258,368,451,460,126,8,0,1885,125,20,53,85,83,207,459,240,111,1386,19,7,33,36,47,52,36,26,9,268,237,142,342,493,582,718,628,281,123,3538,48,163,319,414,520,475,113,18,5,2084,150,58,154,255,296,358,168,23,3,1460,3,4,29,25,28,38,22,5,0,155,6,5,12,17,15,15,6,0,0,88,213,226,513,713,863,889,313,43,12,3781,7,3,8,21,23,19,0,0,0,80,4,3,5,11,10,22,0,0,0,52,9,12,15,30,28,33,0,0,0,132,226,237,524,742,896,924,311,43,12,3913,249,36,73,114,156,395,904,457,181,2573,31,24,64,81,104,108,89,46,14,563,499,299,662,937,1156,1428,1311,551,207,7049
LGA24330,735,2326,7135,5216,3634,1903,264,26,10,21253,957,836,1522,1235,1028,1478,1657,1298,704,10702,97,234,641,451,330,249,168,160,138,2474,1784,3395,9302,6901,4992,3632,2084,1477,854,34435,110,1540,9672,7379,4912,2440,292,22,8,26372,853,2416,3835,2752,1882,1231,280,33,4,13283,38,105,453,394,145,114,34,5,0,1288,29,96,267,133,112,53,16,0,0,699,1025,4154,14220,10653,7057,3836,626,60,13,41648,43,283,640,415,375,226,5,0,0,1998,336,520,386,200,159,132,22,3,0,1762,382,800,1022,615,536,363,31,0,0,3760,1412,4958,15250,11270,7595,4198,656,60,19,45402,2005,1788,2460,1832,1643,2551,3051,2240,1139,18711,216,514,1299,949,670,493,321,288,224,4982,3635,7258,19006,14058,9900,7247,4024,2589,1379,69093
LGA24410,1778,2645,6124,6040,6309,4118,848,61,13,27931,1337,493,1473,1605,1336,2285,4181,2758,1464,16937,101,111,345,308,269,259,269,246,272,2181,3214,3253,7941,7947,7916,6665,5300,3063,1747,47052,388,2459,8576,8211,8120,5094,776,32,7,33660,2284,2288,2782,3644,3602,2827,1073,133,14,18650,94,124,513,382,252,307,97,13,0,1772,44,112,206,157,173,96,36,18,5,844,2816,4982,12074,12395,12150,8328,1983,189,23,54940,105,237,406,318,313,186,19,6,0,1588,517,208,179,216,153,128,27,7,0,1440,622,442,586,535,464,316,43,8,4,3025,3440,5426,12659,12927,12614,8639,2026,201,27,57961,3020,974,1988,2094,1965,3566,7159,4814,2252,27840,212,225,634,592,578,506,461,400,369,3965,6671,6629,15284,15617,15158,12710,9647,5414,2647,89771
LGA24600,1718,6880,15659,5362,3319,2123,637,69,22,35784,3809,7841,4195,1255,1012,1374,1647,938,521,22585,536,1502,2331,866,614,477,342,200,252,7116,6060,16228,22187,7484,4944,3967,2623,1206,795,65494,146,3386,21083,8612,4936,2870,722,81,25,41864,1293,5446,7610,2302,1384,1243,728,133,21,20153,88,330,745,394,190,146,63,13,4,1976,144,277,422,128,88,70,19,11,0,1165,1662,9441,29861,11437,6600,4336,1534,234,49,65156,47,589,1330,432,277,147,24,0,0,2852,1107,2486,1085,225,112,97,36,0,0,5153,1157,3077,2409,658,393,245,56,3,0,8006,2818,12522,32267,12099,6989,4579,1590,239,53,73154,6814,14402,7354,1982,1561,2234,2970,1693,837,39837,964,2835,4803,1957,1237,984,733,367,368,14237,10591,29756,44425,16035,9784,7798,5288,2299,1255,127232
LGA24650,2079,3028,7346,8056,5993,3188,394,18,6,30110,2039,979,3010,2927,2074,2915,3161,1351,514,18969,199,281,620,582,484,366,282,142,60,3015,4313,4287,10970,11564,8557,6473,3838,1509,578,52096,584,2896,10186,11540,8490,4342,508,20,3,38566,2366,2232,3442,4417,3127,2086,507,29,3,18201,100,133,646,465,295,271,44,9,3,1953,90,182,316,301,251,127,20,12,5,1306,3136,5439,14594,16727,12160,6828,1080,62,11,60028,246,532,719,599,467,283,17,0,3,2860,665,317,327,358,206,166,28,0,0,2081,915,850,1044,954,675,451,39,4,3,4943,4045,6289,15636,17685,12832,7281,1122,67,14,64968,4429,1800,4095,3992,3083,4460,6018,2523,800,31192,409,528,1222,1175,976,750,536,263,76,5934,8883,8616,20955,22853,16888,12486,7681,2847,887,102097
LGA24780,888,1115,2192,2277,2652,2033,407,42,8,11620,684,338,871,701,719,1224,2064,1508,739,8859,122,134,258,207,258,299,263,236,144,1921,1690,1590,3327,3184,3631,3559,2738,1781,889,22402,304,1207,2841,2820,3345,2575,427,45,11,13573,1017,676,1242,1352,1438,1284,468,59,15,7554,59,62,201,121,143,198,67,9,4,848,41,49,115,95,91,82,33,10,4,524,1416,1995,4405,4382,5013,4141,994,123,29,22501,106,195,264,193,173,128,13,3,0,1075,221,98,121,102,72,82,14,0,0,710,328,294,386,294,248,201,27,3,0,1784,1744,2291,4789,4671,5259,4342,1023,126,29,24286,1536,574,1183,1064,1254,2161,3908,2633,1175,15480,242,287,565,433,559,610,569,408,217,3877,3518,3153,6535,6168,7079,7111,5493,3169,1419,43642
LGA24850,626,816,1774,1879,2149,1405,262,28,4,8944,631,249,667,613,568,877,1369,710,276,5958,96,92,190,210,206,190,182,128,58,1354,1358,1158,2635,2704,2916,2462,1821,866,342,16260,280,989,2592,2476,2919,1846,296,25,5,11436,707,554,915,1090,1175,1011,310,43,9,5813,31,48,184,138,155,138,41,11,0,745,40,64,74,65,78,58,18,6,0,409,1069,1659,3774,3777,4323,3043,664,87,15,18406,84,97,150,130,138,87,7,0,0,695,121,47,62,64,60,57,5,0,0,414,205,145,214,190,196,140,10,0,0,1112,1272,1807,3981,3969,4521,3186,675,86,17,19512,1418,501,848,807,843,1467,2583,1327,462,10262,185,182,397,404,422,402,347,221,101,2670,2880,2487,5230,5178,5789,5056,3608,1633,581,32439
LGA24900,442,465,962,1087,1423,1131,271,42,8,5835,329,153,330,315,367,817,1527,1020,461,5310,42,39,101,90,130,163,201,135,85,984,808,656,1393,1486,1922,2107,2000,1203,547,12121,210,592,1260,1365,1813,1429,280,51,5,6997,501,277,549,673,776,776,298,47,10,3900,39,49,102,86,99,153,52,10,0,598,37,42,40,48,50,52,24,15,6,309,785,956,1953,2173,2742,2404,653,121,22,11806,36,59,74,63,71,74,5,0,0,386,52,31,40,25,45,38,4,0,0,236,92,92,113,88,115,110,10,0,0,629,879,1054,2064,2262,2858,2518,664,123,20,12432,741,234,436,472,630,1360,2911,1997,777,9557,94,95,198,193,271,351,386,264,132,1983,1711,1378,2699,2919,3764,4227,3960,2377,935,23981
LGA24970,2321,4653,9582,8842,8962,5316,1241,129,21,41069,3551,3499,2982,2776,2538,3958,6587,5513,2678,34081,205,358,644,467,453,382,395,425,411,3738,6071,8513,13211,12085,11957,9650,8221,6063,3113,78884,204,2712,13160,12222,12119,6838,1169,79,19,48525,2744,4969,5116,4937,4856,3685,1535,268,34,28147,126,235,657,425,318,310,132,23,4,2230,105,215,391,252,252,152,62,34,13,1477,3184,8134,19318,17837,17552,10980,2891,410,67,80373,90,407,953,571,559,365,29,0,0,2965,1035,1258,647,422,351,210,51,10,0,3985,1117,1668,1603,994,915,568,79,13,3,6956,4302,9800,20919,18835,18468,11551,2961,420,72,87328,7668,7280,4855,3648,3693,6063,11503,9949,4405,59066,431,769,1353,1014,919,751,715,747,611,7319,12399,17853,27136,23495,23081,18367,15185,11113,5088,153720
LGA25060,1498,3089,7579,6576,6454,3936,758,61,17,29962,1471,661,1458,1565,1320,2426,3928,3232,1573,17640,149,228,634,484,368,367,340,337,240,3152,3125,3974,9673,8624,8141,6729,5021,3634,1826,50750,207,2322,10435,8881,8660,4919,771,60,7,36259,1931,2932,3086,3557,3388,2670,935,120,13,18636,77,158,573,435,251,252,82,9,0,1830,50,119,261,193,194,144,42,13,5,1034,2268,5536,14358,13068,12494,7980,1825,207,21,57761,73,253,568,365,364,195,11,3,0,1837,437,355,299,177,182,138,35,3,0,1621,513,607,869,545,547,328,47,3,0,3462,2781,6142,15224,13616,13034,8312,1875,211,27,61219,3287,1398,2180,2093,2064,3767,6851,5600,2581,29834,276,444,1279,957,812,704,655,577,364,6061,6344,7987,18685,16665,15917,12788,9385,6384,2967,97118
LGA25150,545,631,1283,1603,1810,1157,214,15,4,7268,411,150,425,482,460,796,1275,584,276,4854,51,36,95,125,158,127,129,77,31,822,1014,811,1801,2205,2431,2076,1611,674,310,12943,227,717,1753,2119,2396,1472,247,30,8,8964,625,441,663,929,1030,796,280,29,8,4795,21,26,122,90,122,126,33,4,0,550,21,43,49,62,64,44,18,6,0,319,898,1235,2592,3192,3608,2436,578,74,13,14632,50,100,122,102,106,84,3,0,0,558,111,35,34,58,45,48,3,0,0,340,161,139,152,155,152,132,13,0,0,895,1058,1375,2744,3348,3757,2566,591,75,14,15523,930,250,559,644,694,1291,2383,1068,415,8224,97,91,190,244,309,256,254,125,53,1627,2082,1711,3488,4238,4754,4118,3226,1263,491,25373
LGA25250,1500,4748,13522,9597,7116,4006,665,67,11,41237,1773,1476,3051,2492,2080,2868,4178,4500,2427,24855,154,374,1090,731,536,420,353,378,213,4253,3431,6598,17661,12823,9730,7294,5192,4948,2653,70339,267,3174,18427,13020,9577,4838,681,42,14,50039,1750,4632,7023,5549,3941,2563,739,96,8,26309,58,176,873,664,334,250,62,14,3,2440,51,212,544,312,228,142,52,19,5,1564,2125,8199,26870,19552,14080,7784,1535,172,36,80352,163,470,1058,688,471,287,14,4,0,3155,587,694,634,341,267,197,36,5,0,2762,747,1166,1690,1027,740,489,51,6,0,5915,2876,9359,28562,20577,14816,8273,1586,182,35,86268,3887,2775,4628,3566,3316,4754,7305,7620,3923,41767,344,737,2233,1527,1068,827,662,662,351,8420,7115,12878,35425,25663,19207,13853,9556,8461,4311,136461
LGA25340,2365,2719,5182,7083,8557,6367,1665,139,17,34101,1717,535,1480,1899,1981,4160,8773,5657,2615,28822,189,185,373,484,550,620,739,620,387,4155,4271,3442,7034,9463,11090,11154,11175,6421,3022,67067,857,3077,6712,8455,10484,6925,1327,103,14,37951,2995,2262,2903,4719,5303,4960,2299,316,31,25796,144,125,482,422,438,592,251,31,0,2496,114,153,197,228,235,205,94,22,14,1261,4122,5612,10293,13831,16460,12675,3974,469,66,67498,169,269,298,339,380,342,26,5,0,1825,541,144,173,222,217,253,90,9,0,1662,714,411,471,564,599,591,119,12,0,3487,4830,6027,10767,14394,17065,13268,4089,478,66,70985,3715,986,1983,2592,3070,6546,15455,10561,4388,49302,401,393,740,933,1115,1190,1357,1134,606,7871,8945,7409,13493,17916,21250,21007,20899,12178,5059,128156
