LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA26700,4136,208,6,27,8,4382,3475,73,9,7,15,3580,855,369,34,0,3,1262,259,140,19,0,0,409,525,113,9,4,3,651,14,39,0,0,0,54,38,5,0,21,0,71,56,14,0,6,3,79,1748,684,60,27,11,2528,59,42,0,0,0,101,309,57,4,5,3,382,9726,1066,78,71,35,10980
LGA26730,3820,374,66,30,13,4305,3709,181,37,18,8,3959,1445,610,239,16,16,2320,385,126,81,0,0,594,549,114,36,4,16,723,27,23,57,0,0,107,58,15,16,6,0,87,33,7,6,0,0,50,2499,892,438,22,31,3878,47,32,29,3,0,110,249,57,71,3,8,388,10316,1537,645,79,60,12637
LGA26810,6059,100,78,79,29,6342,5291,45,22,20,25,5407,1532,185,199,6,6,1932,291,97,45,0,0,437,769,18,14,8,7,822,42,22,6,0,0,79,294,12,3,19,0,328,124,5,8,4,0,139,3058,339,275,40,22,3739,92,26,0,0,0,122,417,29,17,6,5,475,14918,541,399,152,77,16082
LGA26890,832,3,3,7,0,842,373,0,0,3,0,378,27,0,3,0,0,32,0,12,3,0,0,12,129,3,4,0,0,131,3,6,0,0,0,10,58,0,0,0,0,60,40,3,0,0,0,45,253,22,11,4,5,295,18,0,0,0,0,16,48,3,0,0,0,54,1524,23,15,19,4,1586
LGA26980,16945,3916,522,13,21,21413,14359,3593,644,14,36,18642,4713,3906,2383,14,37,11052,360,567,147,0,4,1076,1728,889,366,9,13,3003,87,150,138,0,0,377,171,95,85,4,3,354,145,65,42,0,0,258,7208,5662,3159,28,59,16120,277,391,118,0,0,782,826,339,155,0,23,1347,39612,13902,4594,48,148,58308
LGA27070,16535,1425,308,0,20,18288,24644,2820,275,10,33,27787,7604,2955,1013,3,26,11608,464,140,52,0,0,652,1899,369,117,6,16,2410,75,49,54,0,0,173,301,43,50,3,0,394,175,36,7,0,0,214,10505,3586,1293,14,42,15442,279,82,110,0,0,473,1407,188,71,3,17,1682,53377,8110,2062,25,108,63678
LGA27170,3545,219,31,13,26,3840,4705,131,24,5,29,4902,2208,682,165,9,6,3066,573,235,58,0,0,873,546,119,29,3,11,706,41,7,7,0,0,50,305,18,4,7,0,331,39,9,3,0,0,53,3710,1073,262,20,19,5085,81,3,0,0,0,90,270,61,17,3,4,354,12316,1492,333,46,78,14260
LGA27260,11571,1532,213,64,7,13387,28418,3675,289,9,20,32422,11240,3013,735,4,21,15017,444,125,41,0,0,603,2270,424,93,7,5,2806,82,38,7,0,0,124,288,58,7,32,3,389,149,29,5,3,0,183,14459,3688,894,46,30,19120,211,170,32,0,3,419,1289,226,57,6,14,1595,55956,9298,1486,123,82,66946
LGA27350,1904,3902,1295,23,25,7137,1415,3783,2802,25,31,8060,958,4152,7608,99,68,12884,105,417,2866,0,6,3399,372,1287,1089,45,27,2824,68,38,265,0,0,373,33,31,62,4,8,145,27,64,75,3,3,171,1560,5995,11972,155,107,19789,67,71,92,3,3,233,136,349,512,14,20,1023,5083,14091,16670,223,189,36254
LGA27450,16635,782,51,137,51,17654,24377,510,54,25,58,25023,3716,724,63,13,30,4543,277,130,9,0,0,422,1829,122,12,11,25,1996,77,60,8,0,6,150,152,9,3,63,5,230,162,13,3,0,3,188,6223,1058,92,88,73,7529,289,178,32,3,5,506,1026,124,10,17,25,1196,48543,2647,243,265,205,51905
LGA27630,1429,0,3,14,8,1454,634,0,0,3,7,648,140,0,16,0,5,163,14,0,13,0,0,31,157,0,5,3,6,178,3,3,5,0,0,9,39,0,3,0,4,44,26,0,3,0,0,31,387,8,45,7,13,453,16,5,0,0,0,22,92,3,5,3,3,101,2555,15,50,29,32,2679
LGA29399,32,0,25,3,0,61,5,0,12,0,0,19,0,0,6,0,0,6,0,0,0,0,0,0,4,0,15,0,0,17,0,0,0,0,0,0,0,0,16,0,0,25,0,0,0,0,0,5,4,5,38,0,3,50,3,0,11,0,0,14,0,0,6,3,0,10,46,6,86,8,5,151
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
