LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA22250,19,189,144,4366,117,4835,0,0,0,27,0,27,11,0,0,18,0,27,10,0,0,0,0,6,59,19,12,40,0,129,294,229,176,3764,120,4585,49,0,8,0,0,53,3,0,0,22,0,29,50,18,15,350,13,450,14,3,0,18,0,40,8,0,0,4,0,16,36,0,0,7,0,42,41,40,25,1043,16,1164,24,20,3,149,3,198,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,14,3,3,10,0,27,8,0,0,3,0,15,20,3,3,5,0,34,10,0,3,3,0,20,3,0,0,0,0,8,47,67,37,954,22,1135,4,0,0,0,0,4,13,0,0,0,0,11,3,3,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,26,97,30,10,65,3,210,11,3,8,144,630,791,716,394,291,8268,881,10549
LGA22310,1462,5470,3990,21839,327,33088,0,4,0,36,0,44,11432,162,275,234,79,12189,434,72,68,92,0,668,809,232,159,405,16,1618,8293,3807,2705,18331,371,33500,779,15,124,9,18,942,866,112,84,252,11,1323,1982,540,389,2054,37,4996,4832,644,348,1759,74,7662,1052,196,112,240,12,1612,6793,103,79,55,44,7068,2319,1130,702,8975,128,13261,2916,711,367,2159,54,6208,832,10,3,4,0,853,273,57,17,73,3,417,125,23,4,28,0,175,258,74,74,139,3,545,185,28,16,8,3,241,646,222,158,72,6,1093,4085,699,485,1000,34,6307,3748,227,202,286,26,4486,1895,914,657,5893,108,9469,415,37,27,37,0,513,2205,248,160,45,15,2674,462,34,35,76,9,608,937,81,87,56,9,1165,208,23,16,25,5,277,866,17,44,18,7,950,215,73,40,238,4,570,17607,2107,1865,2137,141,23861,738,124,99,438,6124,7526,68281,10855,7943,46463,7338,140875
LGA22410,64,441,314,7502,169,8488,0,10,4,80,3,93,35,3,7,35,0,82,18,0,0,9,0,25,180,50,31,90,11,357,768,432,310,6386,178,8077,87,3,25,4,0,115,8,3,0,25,4,43,107,59,39,824,12,1048,18,7,3,10,0,36,13,0,0,4,0,22,45,0,4,7,0,62,139,89,63,1809,28,2124,68,35,8,149,8,272,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,4,45,12,13,42,0,115,56,9,5,3,0,82,55,15,13,9,3,96,20,7,3,24,3,58,5,0,0,13,0,16,220,121,100,1813,41,2301,0,0,0,0,0,4,27,6,3,4,0,37,28,0,3,14,0,46,20,0,0,0,0,25,3,0,0,0,0,3,15,0,0,0,0,15,28,4,8,27,0,64,247,58,35,167,9,506,18,4,12,251,1411,1702,1903,823,590,14428,1801,19557
LGA22490,94,689,504,8242,129,9659,0,3,0,34,0,38,40,8,3,55,3,102,93,21,8,60,0,181,263,85,72,213,8,644,1180,647,510,6409,125,8871,33,0,9,0,0,42,26,7,15,51,0,96,252,92,72,643,11,1068,46,10,9,35,0,97,49,14,5,23,0,95,29,9,4,7,3,51,223,143,84,2063,35,2551,165,62,30,354,3,617,5,0,0,0,0,10,11,0,0,0,0,16,20,7,4,5,0,34,82,40,18,70,6,208,14,3,0,4,0,27,54,23,11,4,0,87,54,28,13,49,0,145,18,4,0,19,0,39,317,174,130,1902,25,2543,23,3,4,3,0,35,17,3,0,4,0,20,33,11,4,21,0,66,6,0,0,4,0,16,5,0,0,3,0,10,15,4,0,0,0,13,33,4,8,61,0,106,370,71,73,201,9,722,48,11,8,296,1037,1399,2942,1258,951,15217,1312,21688
LGA22620,282,2697,1765,40721,845,46310,0,9,0,212,3,230,690,43,64,559,21,1379,77,21,13,58,0,173,511,280,157,587,17,1549,3317,2580,1735,38096,868,46597,385,7,95,22,16,526,86,27,19,281,8,425,528,283,141,3904,78,4934,157,62,26,187,8,441,77,25,9,37,0,154,773,29,28,31,9,871,708,648,378,13713,255,15704,457,272,115,2166,60,3062,53,0,3,4,0,63,40,5,3,28,0,88,26,0,6,19,0,45,128,59,21,129,11,335,135,42,15,38,0,229,167,120,92,90,4,473,130,43,23,142,3,350,69,10,10,52,0,140,895,658,459,10157,170,12340,32,4,4,15,0,61,111,32,10,24,3,187,85,14,11,102,9,218,178,20,11,15,0,226,24,7,3,10,0,44,103,10,10,0,0,123,108,57,29,348,8,558,2754,390,294,1048,56,4537,134,48,43,1186,6842,8253,11115,5013,3248,82409,8695,110477
LGA22670,3125,1806,1407,8728,345,15415,3,7,3,80,0,90,16552,101,211,117,221,17201,974,59,24,62,19,1143,929,94,87,164,16,1297,7128,1408,983,7589,371,17481,2276,30,130,14,21,2469,716,32,18,69,21,858,1054,153,114,611,35,1960,3178,375,170,616,63,4388,630,29,28,38,19,744,12233,75,84,31,86,12517,948,324,247,2672,58,4248,3234,423,238,860,87,4845,438,3,5,0,0,455,945,107,61,53,29,1192,533,49,31,19,9,632,445,59,37,104,5,659,585,35,34,12,8,677,409,72,49,24,3,552,1008,58,41,89,18,1216,579,24,11,16,30,660,1069,352,267,1967,63,3722,2037,53,44,42,39,2215,274,32,23,16,5,345,729,33,26,25,14,824,4976,104,60,36,31,5213,1460,109,47,75,22,1723,16382,102,217,75,172,16940,105,11,11,100,0,229,43402,890,814,653,587,46356,2266,77,85,224,7785,10433,116120,4441,3522,18080,9888,152050
LGA22750,1162,7965,5592,67257,1379,83363,3,18,10,284,15,329,2757,84,171,432,24,3472,2590,335,190,729,42,3888,2710,913,565,1996,71,6256,12618,7405,5316,62752,1433,89527,1367,31,232,45,30,1700,342,89,72,519,10,1027,2492,877,525,6389,143,10421,1028,226,86,640,30,2007,594,104,66,243,23,1023,2629,79,38,79,18,2849,2889,2018,1287,24120,383,30698,3885,1120,445,4273,172,9895,168,0,11,8,0,193,182,58,24,86,0,353,1110,150,67,271,18,1617,762,201,121,537,17,1637,333,71,42,52,14,519,593,354,253,133,7,1341,1360,270,165,623,33,2448,405,60,53,116,12,648,3428,2064,1501,19251,390,26642,876,92,62,112,20,1157,395,77,71,65,9,615,598,80,94,257,15,1039,360,32,24,34,4,454,314,61,21,57,4,451,699,19,42,13,8,783,536,185,121,735,13,1587,10166,1428,1028,2630,219,15477,536,125,98,1589,13050,15402,50837,15604,10757,139665,16561,233429
LGA22830,544,1367,968,19070,430,22381,0,17,0,303,6,324,525,8,28,137,18,716,51,26,5,42,0,122,416,134,79,366,5,1003,1907,1321,844,17811,459,22343,402,3,72,3,11,489,45,19,5,148,0,226,297,118,84,1518,40,2059,340,59,17,230,7,646,36,10,10,17,0,73,1182,22,9,20,10,1237,408,329,216,6381,101,7437,2030,423,182,2198,93,4928,31,0,3,0,0,32,17,4,0,5,0,25,163,20,9,105,3,298,37,22,8,69,3,148,85,13,9,39,0,158,143,58,50,43,0,299,79,19,5,71,0,175,33,0,3,19,0,59,477,339,218,4934,106,6071,35,0,8,15,0,53,64,3,7,14,0,86,93,18,10,56,0,177,124,0,3,11,0,142,436,58,29,16,5,537,45,3,3,0,0,52,59,10,20,132,0,227,4904,274,224,637,85,6126,263,32,23,627,4853,5801,13490,2854,1923,39604,5968,63837
LGA22910,52,486,341,4595,83,5547,0,0,0,12,0,15,65,6,8,33,7,114,73,4,0,6,0,89,202,66,48,97,3,414,1042,487,322,4234,137,6221,37,0,4,4,0,50,47,6,4,39,4,102,180,61,31,471,9,756,67,3,5,32,0,113,40,8,0,3,0,52,42,6,0,3,0,58,204,148,72,1879,24,2329,131,72,33,379,5,611,6,0,0,0,0,6,3,0,0,8,0,9,21,0,4,11,3,29,70,10,13,24,0,118,17,0,0,5,0,22,49,20,33,3,0,104,60,13,4,25,0,102,27,4,3,7,5,37,261,126,86,1447,31,1950,37,0,3,0,0,44,19,3,3,0,0,27,21,7,3,10,0,43,9,0,0,3,0,18,7,4,0,0,0,10,5,0,0,0,0,5,43,22,7,74,0,143,385,76,54,189,12,720,22,6,3,129,1248,1406,2609,932,645,9635,1506,15330
LGA22980,16,96,74,2133,58,2372,0,0,0,9,0,9,14,0,0,9,0,21,4,0,0,0,0,6,33,6,11,11,0,63,177,109,74,1840,65,2271,24,0,11,4,0,42,7,0,0,18,0,33,16,19,14,796,11,855,16,0,0,4,0,26,3,0,0,0,0,5,38,0,0,0,0,34,26,12,8,393,8,453,17,4,0,32,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,14,0,0,0,0,0,3,4,7,3,3,0,12,10,0,0,8,0,21,0,0,0,0,0,3,34,25,12,473,11,552,7,0,0,0,0,7,7,0,0,0,0,9,4,0,0,0,0,6,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,7,9,3,0,12,0,21,189,8,11,45,7,253,8,0,3,66,335,417,573,182,140,4366,461,5721
LGA23110,1039,3037,2170,15696,276,22221,3,4,4,70,0,83,2872,74,120,130,31,3221,1007,121,70,219,19,1440,477,179,118,312,5,1089,5910,2540,1903,13697,295,24345,1179,18,123,32,15,1373,241,40,21,135,9,446,925,239,193,1319,37,2715,2381,307,148,821,51,3708,239,32,37,61,4,373,2837,56,40,31,40,3012,1745,795,504,6201,92,9331,3442,647,301,1859,59,6319,85,0,3,9,0,91,1886,446,167,197,34,2727,1120,122,38,176,10,1460,2416,330,177,880,31,3830,509,56,40,19,12,637,565,156,110,42,0,868,771,77,64,221,13,1145,202,26,15,50,3,290,1677,659,498,4159,64,7053,619,78,48,66,14,822,200,45,33,14,3,297,315,28,18,44,3,412,230,20,24,20,0,300,147,29,5,21,3,207,1810,18,61,30,27,1950,212,57,33,192,0,495,7938,760,600,804,129,10228,491,62,57,325,4417,5350,38950,6625,4588,33137,5478,88778
LGA23190,42,360,264,7312,137,8115,0,3,0,32,0,41,83,3,4,32,0,124,3,3,0,4,0,16,91,42,29,122,0,278,398,345,262,6869,178,8047,93,3,34,3,0,133,12,0,0,60,3,80,87,49,32,1899,30,2099,23,12,0,25,0,59,13,0,0,8,0,21,147,3,0,5,0,152,84,76,43,1836,37,2085,138,44,28,325,10,540,6,0,0,0,0,6,12,0,0,9,0,20,0,0,3,3,0,8,7,9,0,17,0,35,10,0,4,3,0,18,4,13,18,3,0,41,30,5,5,30,0,70,7,0,3,5,0,13,120,92,59,2029,43,2350,0,0,0,0,0,0,17,12,0,0,0,30,13,3,0,13,0,30,20,0,3,0,0,24,29,0,0,0,0,34,3,0,3,0,0,12,11,16,6,57,3,91,304,57,48,117,3,530,28,6,4,276,951,1261,1521,684,499,15638,1304,19642
LGA23270,3999,4797,3040,28122,649,40597,8,15,6,187,3,222,2498,59,104,188,10,2856,1272,163,71,242,16,1759,651,196,109,359,6,1320,8625,3382,2378,23078,635,38097,3142,43,230,38,32,3482,299,40,28,165,10,539,1324,319,228,1987,38,3896,2830,525,252,1123,62,4802,277,47,21,98,7,451,10061,116,80,49,62,10369,1553,914,527,8906,155,12053,8426,1874,956,5315,209,16779,102,0,12,7,0,114,6407,1355,549,686,141,9129,744,152,51,212,13,1177,2775,519,355,1329,39,5019,644,68,73,33,20,834,604,179,149,56,21,1018,778,129,81,309,7,1315,225,23,29,37,0,313,1740,759,606,5956,142,9206,598,58,22,56,3,737,225,45,22,14,0,311,798,59,42,127,17,1046,3141,68,32,32,19,3289,11468,1266,644,747,131,14258,1929,23,52,16,27,2044,162,36,30,188,3,421,41614,1721,1093,1382,431,46236,1835,156,116,677,9924,12712,107451,12274,7621,57733,12298,197376
LGA23350,40,422,333,5930,123,6845,0,0,0,17,0,15,18,4,9,34,7,73,29,3,5,4,3,42,151,41,28,77,4,304,738,418,340,5059,114,6662,26,0,8,0,3,37,32,8,6,55,0,93,192,45,49,668,28,981,9,0,0,10,0,19,22,3,0,3,0,28,28,5,0,8,0,42,104,78,61,1926,43,2210,89,36,15,201,13,355,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,3,14,4,9,13,0,37,3,0,7,6,0,22,34,11,25,3,0,74,43,7,3,27,0,78,6,3,0,10,0,20,171,101,56,1520,23,1872,11,0,0,0,0,10,10,5,0,0,0,19,17,0,6,14,0,43,3,4,0,0,0,9,0,0,0,3,0,4,0,0,0,0,0,0,39,4,5,44,5,98,243,56,56,157,12,524,6,7,3,158,1045,1225,1664,756,599,11601,1327,15952
LGA23430,1338,5258,4146,29245,521,40502,3,7,6,74,0,90,8621,132,253,272,88,9368,707,84,47,156,10,1004,1170,329,214,497,15,2232,11385,4546,3400,26523,568,46414,1605,33,177,21,15,1849,671,73,57,325,13,1142,1729,429,319,2347,58,4886,6003,696,419,1682,94,8894,536,86,40,121,5,779,5743,119,94,68,45,6068,2954,1278,858,11221,207,16518,3923,927,437,2777,70,8135,357,4,17,6,0,387,509,97,38,118,8,769,152,34,23,40,0,258,457,111,81,268,7,930,396,46,40,21,7,515,738,215,195,58,10,1208,1190,162,130,233,17,1726,1638,65,60,68,12,1843,2951,1098,816,7829,144,12838,502,35,26,59,4,630,745,86,62,39,4,937,555,63,36,75,9,736,1466,110,96,67,5,1750,710,84,24,33,3,856,1669,23,65,6,10,1773,377,85,62,344,9,875,13751,1345,1107,1423,156,17790,612,88,46,559,7051,8346,63640,10424,7817,60792,8715,151389
LGA23670,1202,5495,3910,33791,540,44939,0,14,12,74,0,92,16229,132,337,329,116,17149,482,76,40,115,7,725,1946,474,310,936,28,3692,10302,4880,3626,29092,632,48530,1571,34,143,16,6,1773,449,58,35,237,6,779,2319,591,341,2883,61,6201,1844,410,177,1014,28,3476,687,111,61,152,13,1018,5426,105,81,80,23,5711,2185,1144,814,9915,152,14218,3234,894,459,2822,70,7476,732,0,14,9,0,757,330,57,36,71,4,491,167,22,14,72,4,284,436,137,85,293,5,961,258,42,31,32,4,367,486,198,172,108,5,976,998,102,99,239,6,1453,338,22,28,48,0,430,2383,1118,842,8067,121,12531,364,31,32,34,3,467,690,86,70,37,4,895,506,33,24,99,7,666,3071,153,87,75,13,3384,181,25,11,35,0,248,1255,15,61,12,12,1364,377,79,62,331,8,854,12147,1106,868,1361,137,15622,526,73,41,679,5418,6739,63416,10300,7516,65776,7101,154110
LGA23810,466,2358,1614,24341,623,29407,0,11,3,120,10,140,526,24,22,82,9,660,141,24,11,43,6,221,1267,375,244,807,37,2723,3588,2147,1548,20265,578,28123,428,22,114,14,6,584,80,17,14,128,3,249,812,272,191,1909,57,3249,312,54,25,197,8,598,120,23,4,47,3,198,398,14,6,19,3,440,800,528,317,5806,132,7578,1354,317,118,1342,51,3186,29,0,0,0,0,29,13,0,0,7,0,27,17,3,0,7,0,23,743,168,84,560,23,1560,134,37,22,23,0,221,144,96,69,55,9,360,411,59,27,196,10,705,84,16,3,38,5,147,1324,607,489,5222,126,7772,61,10,3,14,0,93,69,16,6,15,4,112,133,17,10,75,7,242,116,15,4,10,0,146,20,0,4,7,3,36,86,0,8,0,5,99,126,45,25,162,9,364,2130,316,236,725,56,3464,171,60,27,744,5231,6231,13520,4549,3094,45468,6628,73257
LGA23940,20,143,112,2796,74,3140,0,0,0,11,0,13,11,0,0,25,0,39,8,4,0,5,0,12,60,6,5,18,0,95,272,144,94,2464,71,3042,62,0,3,0,3,71,8,0,0,16,0,25,68,7,11,180,6,272,22,5,3,15,0,39,17,4,0,10,0,33,24,0,0,3,0,28,51,26,16,646,12,756,32,13,4,66,0,112,0,0,0,0,0,0,5,0,0,0,0,3,3,3,0,0,0,8,20,3,0,6,0,36,7,3,0,0,0,13,12,4,3,7,4,31,8,3,0,5,0,18,3,0,0,0,0,3,86,56,40,712,22,908,0,0,0,0,0,0,11,0,0,0,0,11,9,0,0,5,0,10,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,3,0,25,0,40,78,19,8,55,7,167,17,5,3,94,735,850,760,277,189,5401,886,7516
LGA24130,225,1875,1284,15045,268,18699,0,0,7,21,0,29,209,14,26,110,10,369,141,30,11,48,3,236,379,132,91,235,15,842,3156,1684,1205,12568,254,18870,99,0,12,3,0,117,89,18,13,143,3,262,552,224,120,1274,39,2211,163,38,38,134,3,378,88,22,8,29,0,144,129,19,12,12,3,183,729,488,307,5242,102,6867,712,218,99,868,27,1934,7,0,0,0,0,6,28,12,3,25,0,73,51,4,3,32,0,88,436,111,63,284,11,908,44,14,12,18,3,94,150,80,67,28,4,334,225,51,31,131,7,435,57,12,9,29,0,101,846,439,316,3881,71,5547,39,6,8,19,0,65,98,20,7,17,0,142,66,15,5,44,0,135,58,18,10,11,0,99,34,6,0,7,0,47,27,4,9,0,0,38,149,36,26,152,8,363,1020,303,230,493,23,2075,47,25,19,341,2726,3163,7990,3398,2335,29029,3352,46100
LGA24210,903,2630,2039,15600,284,21454,0,8,0,28,0,42,25149,268,476,296,157,26348,573,69,49,143,10,840,693,198,97,291,10,1286,5232,2347,1707,14949,309,24540,486,15,80,6,7,606,251,31,25,143,3,453,1026,256,184,1342,23,2835,6195,765,436,2121,86,9595,276,21,13,60,3,375,2709,85,90,45,18,2947,1017,607,395,5767,87,7875,6842,1149,526,3500,136,12156,965,0,15,4,3,989,777,97,86,115,11,1081,621,57,49,149,7,884,420,84,55,170,5,740,65,12,7,0,0,84,289,84,80,37,0,490,508,67,64,106,8,761,226,23,26,39,4,312,1118,580,454,4611,71,6829,211,32,11,38,4,292,637,42,29,19,3,722,257,23,21,64,0,368,691,46,39,21,9,806,283,20,19,18,0,341,887,17,38,7,4,959,175,36,24,205,3,446,10394,686,655,972,103,12814,394,30,23,301,4190,4945,63784,6384,4742,36025,5322,116255
LGA24250,33,288,239,2808,66,3428,0,0,0,12,0,15,72,3,0,12,0,85,8,0,0,3,0,7,79,40,18,52,0,186,465,295,228,2524,68,3577,8,0,4,0,0,9,21,5,8,22,0,53,143,43,27,224,4,437,19,9,0,17,0,51,9,4,0,3,0,23,19,0,0,0,0,18,94,73,41,1029,22,1256,54,25,15,109,0,200,3,0,3,0,0,8,0,7,0,8,0,13,3,3,0,0,0,4,11,7,3,10,0,28,9,0,3,0,0,18,17,15,12,3,0,45,29,3,3,15,0,59,6,3,0,10,0,21,119,76,63,775,18,1058,4,0,0,0,0,6,4,7,4,0,0,17,3,0,0,13,0,17,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,13,4,6,30,0,50,187,54,28,99,0,367,21,4,0,74,592,694,1186,559,415,5683,737,8584
LGA24330,847,2166,1626,10467,207,15312,27,16,3,68,0,113,7248,109,183,170,66,7785,683,76,35,123,14,927,314,146,101,247,9,819,4279,1917,1391,10134,214,17940,1271,19,124,23,11,1449,212,47,32,140,3,441,627,258,158,1177,21,2244,1724,215,113,470,37,2562,124,40,15,41,4,224,3496,59,51,33,19,3659,1232,687,458,5324,63,7764,2184,510,272,1284,57,4311,235,4,8,9,0,255,246,37,21,47,0,356,772,53,49,115,9,995,449,130,83,246,9,913,235,28,26,14,0,296,483,113,92,33,6,731,478,106,63,179,3,828,159,21,9,43,3,234,1074,540,395,3432,50,5486,454,29,20,49,9,562,111,21,15,12,0,161,455,19,19,48,7,553,370,16,15,14,9,422,342,44,25,24,11,441,9485,65,147,74,97,9859,136,49,42,193,3,422,9874,665,533,721,143,11938,581,44,25,198,5469,6316,43963,4809,3548,23596,6367,82288
LGA24410,698,4547,3190,28558,490,37481,0,6,9,77,8,100,5927,98,176,210,43,6457,289,74,17,87,0,472,1421,448,263,904,24,3060,7622,4109,3013,26108,473,41324,640,19,95,17,9,778,261,63,53,232,5,607,1388,498,333,2646,54,4924,714,203,96,476,18,1497,331,47,26,89,3,489,2479,80,56,36,13,2663,1580,999,611,9303,121,12621,1739,696,277,2074,54,4841,303,6,6,6,0,327,153,34,13,56,0,260,105,14,14,80,0,215,276,122,56,170,11,637,152,25,21,19,3,212,406,192,160,66,6,826,546,84,79,203,6,919,187,26,28,72,0,312,1924,1018,724,7569,111,11345,162,30,3,29,4,223,488,60,63,29,4,644,254,23,18,89,7,394,638,62,55,66,3,822,80,17,3,15,0,117,478,3,32,6,10,538,270,100,51,328,6,749,7963,861,589,1248,76,10735,308,39,45,482,4187,5069,34016,8410,5906,56638,5406,110376
LGA24600,670,2389,1995,11105,203,16358,8,9,3,79,4,93,37270,202,326,190,205,38195,345,53,34,62,6,499,575,200,124,367,16,1280,7042,2256,1771,12240,288,23597,1199,9,115,11,4,1339,747,65,49,164,0,1025,1274,269,228,1468,36,3282,779,197,111,315,19,1414,198,36,26,74,3,328,6917,47,44,31,41,7085,2039,734,513,6666,110,10071,2721,572,296,1343,35,4964,3124,10,17,15,21,3190,242,45,25,63,4,383,197,18,26,53,3,300,264,82,43,134,3,525,267,8,12,10,9,305,702,102,81,34,7,924,588,88,75,204,3,946,486,39,25,59,3,621,1784,637,532,4606,77,7636,297,10,17,32,7,364,232,19,27,10,0,293,863,29,26,44,12,969,739,26,29,25,6,821,364,20,18,9,3,412,2207,21,60,19,35,2344,201,51,29,203,3,492,18488,703,777,863,222,21055,579,27,26,190,15077,15905,83436,5209,4316,26815,16185,135959
LGA24650,2002,3879,2638,23635,508,32662,11,9,3,126,3,152,3577,78,114,143,37,3947,1655,229,116,476,18,2494,586,220,118,398,6,1331,6587,2783,2171,18372,517,30431,5067,101,289,52,28,5535,279,43,23,150,6,498,1099,336,240,1817,41,3527,1621,387,207,1068,40,3314,292,36,37,85,7,465,6520,135,73,69,37,6832,1251,686,421,5695,100,8158,3759,1108,599,3418,92,8974,181,3,0,4,0,189,744,166,62,153,8,1136,2268,322,200,611,38,3440,5206,1133,738,3119,77,10274,639,65,46,31,8,783,554,142,94,55,8,848,1023,166,106,350,10,1656,192,17,28,53,3,288,1490,607,481,4184,87,6851,1002,81,59,127,16,1285,238,24,9,10,0,284,1086,94,58,80,12,1327,1287,53,24,30,9,1400,984,171,99,159,8,1417,2706,70,85,23,29,2912,152,37,33,167,3,397,18437,1248,944,1211,225,22062,986,99,69,526,8074,9747,63735,8938,6225,46862,9682,135443
LGA24780,265,1134,714,18445,510,21069,0,14,3,210,10,242,470,9,11,86,3,588,157,24,6,113,3,310,183,54,36,149,9,429,1492,1017,700,16610,479,20296,245,5,46,10,5,304,45,11,3,134,0,189,254,112,66,2461,48,2943,319,81,28,234,15,672,103,16,6,38,10,166,418,5,11,7,4,445,224,215,129,4320,93,4977,1460,349,168,1879,87,3937,64,0,0,3,0,67,11,4,5,6,0,26,12,0,4,3,0,19,27,25,9,53,0,110,63,18,25,32,0,141,96,34,46,26,0,208,76,28,20,93,0,216,14,3,4,8,3,40,379,261,162,4249,92,5136,26,6,0,9,0,40,65,4,3,7,0,81,33,5,5,35,0,77,59,0,3,0,0,66,428,36,21,33,8,525,165,0,3,0,7,167,56,18,9,144,3,230,2108,222,161,422,55,2966,151,21,28,508,4026,4733,8232,2319,1494,36642,5183,53878
