LGA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA22750,..,1421,871,188,281,292,189,74,23,3340,..,418,1098,1015,1496,2638,3090,2652,1640,14040,325,569,385,188,187,314,303,171,71,2530,19470,13213,14101,14158,14655,13854,10974,6337,2620,109393,..,435,10062,16065,16220,16232,13119,6340,1447,79920,..,2014,5853,3451,2630,1624,676,172,29,16449,..,360,1362,2593,3106,1558,622,489,355,10451,39339,..,..,..,..,..,..,..,..,39339,..,10918,..,..,..,..,..,..,..,10918,..,6608,3442,1265,814,407,65,3,0,12604,..,1056,620,232,326,483,415,319,171,3625,..,732,562,183,179,96,38,11,9,1807,..,2967,2221,540,611,555,399,147,32,7468,..,835,2302,2331,3422,4744,4711,3637,2210,24186,674,1080,863,491,422,559,465,278,110,4943,40017,27001,27296,27157,27733,26255,20498,11392,4359,211709
LGA22830,..,144,227,60,100,73,46,24,10,677,..,87,253,225,358,670,669,642,358,3265,118,156,122,69,71,83,72,39,19,743,5734,3471,3603,3668,3969,3598,2609,1537,592,28777,..,247,2879,4094,4628,4424,3306,1569,373,21516,..,563,1312,821,695,419,188,41,12,4055,..,136,428,743,792,362,152,119,68,2803,11620,..,..,..,..,..,..,..,..,11620,..,2945,..,..,..,..,..,..,..,2945,..,1979,762,322,191,86,12,3,0,3359,..,309,158,63,104,129,124,79,41,1008,..,180,132,64,59,22,12,9,0,484,..,349,501,189,208,174,112,40,11,1587,..,192,599,600,952,1277,1139,921,464,6134,260,282,265,186,149,150,137,77,21,1527,11883,7175,7026,7084,7778,7043,5176,2867,998,57040
LGA22910,..,20,22,11,32,44,30,4,3,158,..,12,33,82,125,286,275,185,109,1106,15,23,23,20,24,33,20,16,6,178,1122,534,528,831,1059,1262,966,430,191,6910,..,19,348,752,1012,1282,1142,441,67,5060,..,67,238,371,374,286,102,18,7,1453,..,20,55,132,165,95,49,34,32,591,2180,..,..,..,..,..,..,..,..,2180,..,430,..,..,..,..,..,..,..,430,..,392,183,64,56,35,8,0,0,739,..,22,11,8,13,29,26,29,22,171,..,31,24,11,16,13,11,5,0,104,..,36,41,36,66,79,66,12,3,337,..,31,65,148,286,509,472,285,159,1953,27,50,48,41,52,71,51,25,6,362,2204,1088,1010,1565,2041,2398,1932,840,293,13379
LGA22980,..,18,10,5,7,9,9,3,0,56,..,14,13,12,36,68,80,83,68,383,10,5,9,3,3,13,15,8,0,65,395,253,224,237,366,421,324,218,116,2548,..,14,193,299,447,543,406,243,71,2218,..,53,87,53,55,46,19,4,0,321,..,3,17,38,48,18,18,14,16,175,802,..,..,..,..,..,..,..,..,802,..,227,..,..,..,..,..,..,..,227,..,124,49,19,20,17,3,0,0,232,..,18,6,4,8,10,10,8,4,74,..,10,12,3,4,4,3,0,0,33,..,30,18,12,20,14,23,0,0,127,..,30,53,51,90,160,168,135,93,775,14,17,19,9,14,20,22,15,5,133,816,530,452,487,705,841,670,412,190,5115
LGA23110,..,164,345,111,132,128,57,27,10,969,..,79,395,442,648,804,868,857,463,4553,95,96,144,92,62,94,73,69,29,757,7641,4445,6159,6440,6159,4945,3291,2168,880,42128,..,242,4744,7672,6861,5636,3774,1959,443,31326,..,382,2334,1749,1289,659,229,41,8,6683,..,60,313,776,1149,746,329,304,171,3833,15370,..,..,..,..,..,..,..,..,15370,..,4549,..,..,..,..,..,..,..,4549,..,2459,1981,638,465,234,53,3,0,5831,..,512,471,196,187,289,239,174,126,2191,..,252,335,83,87,58,21,6,0,841,..,507,973,298,318,270,129,52,22,2579,..,179,828,986,1376,1553,1359,1176,639,8096,195,223,301,205,160,173,126,104,48,1538,15562,9367,12283,12604,11889,9611,6249,3823,1455,82846
LGA23190,..,97,59,7,17,15,11,0,0,199,..,57,117,75,140,257,254,323,183,1402,32,42,33,13,11,39,35,21,12,233,1678,1036,1107,1079,1189,1213,929,654,281,9162,..,38,801,1232,1469,1478,1157,636,156,6969,..,252,502,236,187,142,35,9,3,1362,..,50,135,216,200,99,26,39,33,807,3497,..,..,..,..,..,..,..,..,3497,..,703,..,..,..,..,..,..,..,703,..,540,176,64,58,37,7,0,0,884,..,75,42,19,18,29,21,25,10,246,..,54,16,14,14,4,0,0,3,110,..,162,120,19,30,31,22,4,3,395,..,113,247,194,304,490,409,430,232,2427,67,94,79,41,40,64,51,33,12,470,3563,2086,2120,2028,2314,2381,1744,1174,453,17863
LGA23270,..,186,298,127,158,164,86,27,4,1038,..,138,427,458,625,1036,1155,877,333,5048,262,310,300,141,149,159,151,93,33,1584,20285,13354,14794,13045,12779,9430,5987,2818,860,93348,..,1054,14036,17347,16657,12450,7573,2898,453,72461,..,887,3047,1963,1576,753,236,59,16,8528,..,248,1204,2106,2722,1525,685,437,210,9139,41289,..,..,..,..,..,..,..,..,41289,..,13159,..,..,..,..,..,..,..,13159,..,8455,6198,1657,851,314,45,0,0,17521,..,1273,1134,402,491,718,671,466,227,5379,..,526,621,237,212,126,33,11,3,1776,..,678,1119,395,393,362,200,53,18,3203,..,337,1181,1323,1684,1932,1812,1227,467,9965,529,586,695,404,341,286,252,152,54,3298,41813,27208,29237,25822,24927,18473,11512,5299,1439,185725
LGA23350,..,11,19,7,27,35,25,4,5,138,..,8,23,57,100,215,165,165,85,832,34,42,21,17,18,32,33,11,3,210,1353,687,568,939,1178,1205,857,389,146,7326,..,22,442,1067,1353,1467,1147,413,77,5986,..,85,256,271,309,211,93,23,3,1252,..,8,64,146,190,75,37,27,19,564,2653,..,..,..,..,..,..,..,..,2653,..,641,..,..,..,..,..,..,..,641,..,451,134,66,41,24,6,3,0,724,..,30,17,13,18,23,36,21,10,164,..,28,16,9,12,7,3,0,0,91,..,28,53,15,47,72,45,15,9,273,..,26,55,121,226,390,323,248,112,1496,52,71,49,41,23,65,61,18,11,379,2704,1384,1089,1736,2232,2337,1747,766,239,14233
LGA23430,..,352,491,196,191,195,133,58,21,1633,..,155,674,764,919,1442,1833,1582,995,8370,160,193,206,142,138,134,141,96,69,1274,12568,7733,9554,10947,10592,8561,6671,4076,1759,72466,..,246,7212,13618,12743,10112,7626,4039,949,56549,..,661,3547,2507,1804,931,363,95,22,9931,..,56,381,1228,1990,1294,555,416,255,6181,25424,..,..,..,..,..,..,..,..,25424,..,8088,..,..,..,..,..,..,..,8088,..,4206,3310,1075,726,323,53,3,0,9704,..,774,639,168,263,427,405,316,197,3191,..,523,444,125,105,81,25,12,3,1315,..,874,1248,487,418,423,270,112,36,3869,..,340,1438,1682,2056,2568,2755,2152,1338,14339,311,382,434,326,254,249,249,145,105,2462,25732,16146,18649,21230,20355,16417,12303,7300,2919,141051
LGA23670,..,219,365,119,146,173,97,47,14,1176,..,112,471,484,625,1175,1479,1218,666,6237,149,266,230,94,96,146,130,83,30,1224,12672,9477,9828,10218,11075,9768,6542,3356,1229,74170,..,205,7834,13270,13997,13166,8585,3562,703,61315,..,753,3088,1926,1723,904,303,57,8,8762,..,120,569,1299,2179,1239,507,312,164,6383,25908,..,..,..,..,..,..,..,..,25908,..,10087,..,..,..,..,..,..,..,10087,..,5871,4407,1120,587,219,33,0,0,12239,..,729,608,217,278,482,440,353,198,3295,..,447,541,197,156,80,54,14,4,1496,..,481,862,351,361,356,197,89,19,2721,..,261,1031,1209,1580,2056,2153,1678,883,10860,313,497,455,239,211,236,223,128,42,2348,26220,19450,19390,19832,21078,18739,12480,6190,2020,145399
LGA23810,..,249,161,48,82,130,65,19,6,752,..,175,397,291,522,945,958,848,434,4565,166,216,154,71,84,106,97,52,22,960,6077,4120,4304,3987,4563,4607,3342,1925,674,33597,..,156,2867,4019,4752,5428,4004,1873,378,23474,..,975,1768,1051,949,561,222,57,10,5596,..,216,698,955,984,431,216,152,91,3742,12178,..,..,..,..,..,..,..,..,12178,..,2947,..,..,..,..,..,..,..,2947,..,2316,915,358,224,118,19,3,0,3944,..,273,173,52,122,133,113,87,50,1008,..,189,125,63,54,27,16,8,0,491,..,492,402,129,209,223,127,42,12,1645,..,370,956,836,1302,1891,1634,1220,569,8778,292,421,326,189,193,203,174,84,26,1902,12467,8349,8229,7651,8801,9010,6528,3516,1142,65699
LGA23940,..,12,3,9,15,18,20,5,0,78,..,10,10,11,49,77,102,112,52,418,10,26,12,8,15,19,15,6,3,114,542,281,225,308,495,545,432,259,94,3193,..,7,178,388,534,722,573,269,44,2712,..,34,98,82,91,95,33,13,3,444,..,13,24,38,66,38,27,20,22,238,1051,..,..,..,..,..,..,..,..,1051,..,258,..,..,..,..,..,..,..,258,..,144,67,31,37,23,3,0,0,305,..,16,3,3,14,14,22,13,11,93,..,9,3,3,5,5,6,0,0,35,..,18,15,7,37,37,43,19,4,178,..,18,45,62,139,218,252,187,86,1017,25,39,22,15,35,48,33,13,5,236,1076,558,452,639,960,1196,992,517,180,6561
LGA24130,..,37,62,23,48,50,38,7,7,264,..,28,70,115,207,422,498,279,137,1745,51,97,67,30,33,45,62,15,10,410,4332,2263,1893,3085,3467,2932,2207,823,285,21285,..,44,1488,3909,4414,3861,2979,984,178,17850,..,188,805,895,840,476,175,29,3,3409,..,26,108,330,521,255,117,71,55,1478,8794,..,..,..,..,..,..,..,..,8794,..,2472,..,..,..,..,..,..,..,2472,..,1465,678,213,115,57,16,0,0,2545,..,101,50,21,35,102,102,71,45,532,..,85,78,30,30,29,15,9,3,274,..,84,138,55,93,115,79,26,9,597,..,60,160,249,496,745,823,431,196,3175,84,166,137,74,69,95,105,33,12,775,8880,4694,3652,5778,6611,5740,4416,1650,503,41902
LGA24210,..,211,292,89,77,81,63,41,17,872,..,103,312,278,357,614,1058,1283,690,4699,83,133,125,80,68,101,100,93,41,823,8700,6809,6179,7144,8433,7210,6161,4065,1369,56067,..,111,4685,9575,11694,10261,8624,5021,1011,50975,..,288,1322,869,807,481,190,56,19,4037,..,32,207,751,1312,854,383,363,197,4090,17959,..,..,..,..,..,..,..,..,17959,..,8485,..,..,..,..,..,..,..,8485,..,3143,3485,932,710,255,40,3,0,8569,..,673,481,161,184,377,323,338,203,2750,..,516,427,122,94,59,31,14,3,1274,..,529,724,220,164,181,131,68,17,2039,..,262,665,648,819,1022,1456,1679,911,7464,152,243,250,161,149,159,148,143,58,1482,18110,14285,12244,13439,15938,13641,11332,7700,2425,109112
LGA24250,..,23,11,0,9,22,4,4,0,79,..,11,26,26,56,94,128,99,51,486,6,8,18,8,9,23,29,13,4,109,642,277,307,440,508,615,533,243,86,3648,..,7,196,469,542,739,664,242,46,2910,..,55,158,125,136,100,79,12,3,668,..,4,17,82,88,39,16,17,8,268,1297,..,..,..,..,..,..,..,..,1297,..,236,..,..,..,..,..,..,..,236,..,163,66,27,20,16,0,0,0,290,..,11,8,3,13,20,16,10,16,88,..,12,9,3,7,3,7,0,0,45,..,41,35,8,20,34,14,12,0,168,..,24,58,75,151,221,254,156,71,1016,29,32,30,21,32,53,50,21,5,273,1323,582,574,826,1008,1216,1100,472,147,7243
LGA24330,..,997,1188,236,160,112,63,21,3,2783,..,255,749,657,647,691,554,420,296,4271,84,178,195,111,73,64,55,59,22,849,6051,4846,8615,6414,4619,3350,1909,1286,584,37668,..,317,5780,6888,4450,3253,1845,1028,284,23842,..,607,3419,2118,1196,526,106,14,3,7987,..,54,255,719,856,566,249,231,136,3070,12241,..,..,..,..,..,..,..,..,12241,..,3227,..,..,..,..,..,..,..,3227,..,1322,1461,503,375,181,26,0,0,3865,..,822,812,210,202,302,196,172,92,2802,..,619,755,178,101,81,19,10,4,1758,..,2352,3173,739,445,279,128,42,9,7174,..,520,1543,1386,1313,1328,973,649,408,8122,153,309,435,219,180,133,105,88,37,1661,12397,10151,17641,12959,9111,6645,3649,2226,972,75752
LGA24410,..,199,349,144,113,143,75,32,15,1066,..,91,450,540,614,1061,1363,1076,615,5821,104,192,178,76,85,99,78,82,29,913,9591,6218,7520,7542,7565,6249,4779,2642,1027,53129,..,209,6352,9783,8949,7639,5529,2592,542,41593,..,568,2574,1511,1236,615,253,45,3,6803,..,88,419,985,1577,859,364,232,146,4667,19600,..,..,..,..,..,..,..,..,19600,..,6409,..,..,..,..,..,..,..,6409,..,3652,2310,582,397,168,35,3,0,7154,..,564,444,157,176,294,261,185,99,2176,..,315,324,100,98,72,25,8,0,933,..,445,776,344,285,295,166,69,17,2398,..,200,938,1149,1416,1784,1924,1434,803,9639,244,358,369,181,199,176,120,120,47,1804,19840,12807,14493,14784,14344,11894,8680,4681,1656,103174
LGA24600,..,9082,5327,543,169,83,55,14,10,15283,..,3045,2911,1473,969,906,759,397,184,10647,46,420,418,127,71,80,51,31,10,1249,3822,18016,19247,6416,4216,3353,2172,887,305,58432,..,437,8754,5480,3408,3098,2231,798,153,24366,..,2706,7677,2252,1036,581,252,49,18,14576,..,33,245,524,868,479,168,86,45,2450,7628,..,..,..,..,..,..,..,..,7628,..,2193,..,..,..,..,..,..,..,2193,..,701,807,217,86,56,4,0,0,1876,..,2896,1454,233,128,149,89,73,21,5046,..,1190,1375,119,38,24,5,3,0,2753,..,16058,11198,1266,394,191,136,37,18,29295,..,5599,5833,3145,2093,1745,1321,628,283,20650,87,753,843,264,151,153,95,44,23,2408,7714,32571,38179,13506,8215,6475,4300,1722,559,113236
LGA24650,..,169,208,117,139,141,71,25,3,872,..,90,377,405,419,699,697,446,175,3302,195,202,220,108,92,110,80,39,8,1051,15661,8094,10231,10858,8025,6059,3546,1339,402,64208,..,401,9184,14641,10490,7728,4612,1328,182,48576,..,839,3001,2002,1230,573,191,40,12,7890,..,233,1015,1750,1657,894,357,160,70,6129,31308,..,..,..,..,..,..,..,..,31308,..,7763,..,..,..,..,..,..,..,7763,..,5034,3108,791,336,93,23,5,0,9380,..,834,654,238,297,512,409,260,118,3320,..,363,377,176,139,92,39,11,3,1197,..,328,542,276,322,279,169,46,8,1976,..,216,978,1147,1100,1314,1105,618,238,6717,378,416,469,281,193,179,148,66,22,2141,31687,16430,19324,21296,15767,11652,7061,2538,647,126400
LGA24780,..,169,179,46,63,77,52,19,3,604,..,95,225,167,328,603,626,642,359,3044,95,132,82,50,57,79,99,54,24,677,4685,2948,3018,2956,3346,3195,2417,1500,580,24649,..,131,2094,3144,3675,3906,2998,1439,330,17722,..,600,1286,795,600,389,182,54,7,3913,..,131,458,615,684,272,125,108,71,2463,9369,..,..,..,..,..,..,..,..,9369,..,2244,..,..,..,..,..,..,..,2244,..,1638,611,221,180,94,9,0,0,2749,..,271,114,50,99,131,128,81,49,914,..,202,122,70,56,34,8,0,0,493,..,350,426,136,168,183,116,20,4,1401,..,181,499,493,831,1191,1081,902,509,5678,198,247,214,140,123,150,172,94,32,1360,9575,5987,5827,5661,6413,6352,4813,2699,988,48311
LGA24850,..,44,61,13,54,49,34,11,0,266,..,36,117,96,189,300,355,273,101,1453,63,89,75,33,42,42,44,8,13,413,3794,2235,2429,2490,2698,2223,1577,718,233,18385,..,74,1931,2823,3181,2828,1986,750,152,13721,..,351,1084,772,655,358,118,21,3,3368,..,70,273,439,549,251,114,67,51,1805,7773,..,..,..,..,..,..,..,..,7773,..,1965,..,..,..,..,..,..,..,1965,..,1487,661,203,129,65,13,0,0,2557,..,147,101,36,53,106,112,87,35,680,..,136,97,48,42,45,11,3,0,380,..,192,147,48,114,125,69,26,3,721,..,68,295,305,500,680,619,389,151,3002,128,178,156,81,86,77,85,32,13,830,7903,4665,4740,4745,5321,4524,3125,1362,415,36798
LGA24900,..,55,39,11,34,56,34,15,3,251,..,28,77,56,152,305,381,408,205,1604,43,77,40,16,31,52,56,40,12,368,2301,1346,1275,1378,1752,1844,1672,1025,343,12938,..,65,980,1530,2080,2349,2085,1122,252,10465,..,263,560,373,342,239,121,30,3,1932,..,64,189,300,288,138,89,67,36,1166,4709,..,..,..,..,..,..,..,..,4709,..,1086,..,..,..,..,..,..,..,1086,..,856,274,138,113,62,8,0,0,1448,..,71,37,22,52,49,63,59,18,368,..,70,34,15,23,15,11,0,4,180,..,140,91,34,69,102,84,34,8,562,..,82,201,207,407,636,723,626,283,3160,83,135,94,53,55,103,118,69,18,731,4793,2836,2461,2677,3431,3684,3293,2009,627,25806
LGA24970,..,2829,1460,240,161,181,118,49,19,5050,..,366,581,494,615,987,1414,1723,1061,7245,121,258,225,106,107,123,152,142,77,1311,13414,12822,12417,11518,11411,9115,7584,5387,2064,85732,..,360,10028,15714,15145,12022,9903,6121,1403,70706,..,786,2677,1343,1140,688,265,50,3,6950,..,63,370,1302,2070,1193,585,551,329,6452,27462,..,..,..,..,..,..,..,..,27462,..,11367,..,..,..,..,..,..,..,11367,..,3742,4182,1268,1014,404,60,0,0,10666,..,1538,1188,266,365,563,572,489,260,5231,..,1603,1412,260,137,89,29,8,11,3553,..,6016,3809,689,395,348,233,95,37,11615,..,790,1310,1159,1403,1723,2116,2332,1455,12286,251,496,507,272,240,220,226,216,101,2534,27710,26744,25480,22278,21916,17251,13984,9871,3591,168825
LGA25060,..,721,967,164,128,131,62,38,9,2209,..,195,926,815,788,1051,1158,1183,696,6817,119,186,238,115,96,94,96,106,43,1087,9102,6683,8986,8075,7743,6251,4601,3187,1300,55935,..,178,5732,9589,9422,7367,5543,3164,740,41737,..,581,3298,1660,1146,649,195,47,3,7580,..,40,309,825,1344,837,373,394,266,4389,18427,..,..,..,..,..,..,..,..,18427,..,6659,..,..,..,..,..,..,..,6659,..,2778,2584,810,669,328,53,0,0,7230,..,707,631,223,222,301,290,216,164,2749,..,344,439,126,49,47,21,9,3,1036,..,1553,2094,425,279,261,143,70,22,4845,..,376,1717,1600,1668,1849,1761,1556,947,11475,225,357,465,264,205,181,159,147,76,2073,18652,13578,17271,15524,15010,11823,8518,5599,2222,108205
LGA25150,..,32,27,23,40,39,29,6,0,200,..,34,90,105,172,241,333,240,115,1319,42,82,47,28,38,48,26,21,13,345,2974,1724,1698,2069,2264,1911,1446,595,230,14914,..,49,1323,2405,2722,2487,1882,584,112,11563,..,204,773,591,534,268,100,20,4,2497,..,36,172,339,378,195,93,61,42,1321,6020,..,..,..,..,..,..,..,..,6020,..,1627,..,..,..,..,..,..,..,1627,..,1211,498,174,118,47,14,0,0,2069,..,109,53,29,37,103,75,60,27,495,..,78,63,27,28,18,9,0,0,220,..,68,77,50,72,84,62,18,0,430,..,69,222,265,415,490,580,348,152,2549,97,147,95,75,90,80,55,27,15,682,6121,3593,3281,3961,4399,3771,2867,1122,368,29482
LGA25250,..,2214,2953,630,247,191,100,43,15,6398,..,313,1397,1335,1095,1424,1283,1691,1019,9553,161,292,412,181,142,128,126,148,86,1674,12053,9486,16500,11989,9146,6783,4783,4384,1887,77009,..,605,10258,12948,9758,6736,4986,3914,1073,50282,..,1040,6575,3746,1989,955,272,61,9,14643,..,76,407,1105,1608,994,520,648,353,5708,24381,..,..,..,..,..,..,..,..,24381,..,6487,..,..,..,..,..,..,..,6487,..,3294,2969,1115,976,467,71,5,0,8892,..,1083,1217,333,333,403,376,304,207,4260,..,813,1330,221,113,67,25,6,3,2576,..,4379,6657,1449,568,401,201,101,29,13789,..,572,2791,2578,2292,2576,2071,2235,1408,16517,342,527,839,394,349,235,201,232,125,3241,24730,18869,33033,23888,17993,12820,8723,7503,3206,150767
LGA25340,..,148,180,102,189,237,192,76,12,1139,..,145,369,405,862,1744,2473,2120,1172,9289,199,295,217,140,145,239,282,152,61,1730,12409,7042,6562,8867,10359,10064,9650,5479,2023,72459,..,180,4455,10001,11846,11845,11732,5950,1349,57358,..,832,2893,2454,2331,1542,807,226,43,11119,..,155,632,1512,2051,972,441,358,234,6374,25104,..,..,..,..,..,..,..,..,25104,..,6952,..,..,..,..,..,..,..,6952,..,4563,2223,796,563,291,40,3,0,8488,..,425,267,113,181,285,313,285,199,2060,..,365,250,116,130,83,35,19,11,995,..,295,427,246,372,482,370,162,29,2372,..,302,816,1102,1941,2994,3735,3012,1657,15561,440,595,510,330,322,437,494,263,85,3480,25540,14666,12469,16666,19731,18926,17968,10277,3608,139864
LGA25430,..,23,46,27,48,51,42,15,3,257,..,15,28,62,147,332,385,251,138,1350,24,30,27,21,25,49,41,8,10,232,1290,685,616,971,1312,1425,1214,610,236,8362,..,19,358,861,1202,1400,1239,613,152,5833,..,108,301,407,396,347,173,32,0,1760,..,10,59,158,266,143,57,37,33,767,2590,..,..,..,..,..,..,..,..,2590,..,665,..,..,..,..,..,..,..,665,..,422,204,82,71,21,12,0,0,806,..,50,18,12,18,48,44,37,19,249,..,38,38,26,16,11,10,0,0,131,..,52,90,69,92,109,81,29,3,524,..,25,62,149,341,638,630,382,198,2424,50,63,43,43,46,87,78,18,10,438,2634,1457,1184,1803,2434,2806,2321,1147,415,16201
LGA25490,..,23,36,21,20,23,12,3,0,134,..,11,41,34,82,158,165,131,88,712,18,29,14,12,8,25,21,14,9,150,1539,754,711,902,1124,1064,754,369,161,7382,..,28,569,1153,1381,1470,1060,420,88,6174,..,133,362,282,255,163,49,6,4,1255,..,25,47,114,125,65,43,44,26,495,3083,..,..,..,..,..,..,..,..,3083,..,675,..,..,..,..,..,..,..,675,..,456,145,80,65,40,4,0,0,795,..,34,20,6,23,33,30,19,9,178,..,31,21,6,5,4,4,0,0,77,..,43,82,31,37,54,23,8,0,272,..,44,115,100,227,337,320,208,116,1472,38,62,40,24,33,36,40,16,11,301,3120,1534,1404,1803,2157,2201,1581,728,265,14779
LGA25620,..,17,17,7,18,35,17,10,0,116,..,9,22,34,87,172,155,146,73,707,14,39,28,12,28,27,33,13,8,199,980,533,508,720,894,1014,804,357,123,5937,..,3,343,751,1005,1194,1104,375,66,4846,..,82,276,336,290,205,86,7,0,1283,..,15,43,82,133,62,23,29,15,417,1983,..,..,..,..,..,..,..,..,1983,..,440,..,..,..,..,..,..,..,440,..,355,154,56,38,25,7,0,0,627,..,34,3,3,10,38,41,17,18,168,..,17,14,9,9,3,4,0,0,52,..,29,42,20,38,62,45,23,0,263,..,32,75,125,230,400,384,240,107,1597,34,79,53,28,55,68,58,23,15,413,2022,1086,1004,1414,1816,2055,1749,714,224,12086
LGA25710,..,35,59,28,39,58,30,9,3,251,..,45,82,90,163,372,436,293,141,1619,52,94,69,34,35,58,40,30,16,433,5668,3917,2657,4036,5007,4210,2429,868,295,29094,..,49,1847,5436,7075,6187,3619,1052,149,25404,..,156,954,1006,885,567,179,27,4,3774,..,19,94,392,725,462,153,69,43,1948,11465,..,..,..,..,..,..,..,..,11465,..,4696,..,..,..,..,..,..,..,4696,..,2636,1720,332,153,61,8,0,0,4914,..,185,119,38,60,96,102,86,72,756,..,116,102,42,40,39,17,0,0,352,..,68,119,61,87,105,55,12,3,506,..,102,220,231,406,636,659,389,191,2831,103,192,143,74,83,109,82,51,24,861,11566,8211,5313,7609,9511,8253,4868,1681,482,57501
LGA25810,..,34,31,15,20,28,16,3,0,148,..,15,52,42,88,158,192,174,121,839,14,17,16,9,25,24,24,10,4,134,774,504,475,572,783,811,691,379,173,5163,..,29,309,586,865,1017,866,376,93,4141,..,119,209,141,141,93,67,10,3,782,..,21,60,95,119,45,39,20,13,406,1568,..,..,..,..,..,..,..,..,1568,..,422,..,..,..,..,..,..,..,422,..,244,119,66,38,25,0,0,0,500,..,46,17,12,19,22,20,10,6,154,..,24,26,8,4,3,3,0,0,72,..,84,86,31,45,57,33,9,0,346,..,49,112,131,217,327,355,257,149,1602,33,37,34,13,34,49,34,26,9,267,1603,1075,972,1089,1489,1637,1418,718,273,10268
