LGA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA23350,4,22,0,27,367,59,451,14,13,0,29,269,27,325,199,31,4,236,297,97,626,491,25,19,539,267,106,914,327,51,16,389,681,118,1192,68,120,0,184,992,113,1297,15,94,0,110,862,91,1064,3,24,0,31,338,71,441,3,0,0,6,106,24,131,1118,395,34,1543,4175,712,6436,5,24,0,26,402,49,487,26,23,3,48,209,11,268,309,42,19,367,215,39,626,631,35,43,711,246,60,1018,308,116,15,436,766,76,1274,23,273,3,301,935,102,1343,3,152,0,151,744,86,977,0,24,0,27,359,73,461,5,0,0,9,182,37,224,1311,695,80,2086,4061,527,6674,4,51,0,51,770,113,939,36,40,3,80,475,37,589,512,73,26,606,517,133,1250,1125,62,58,1243,515,166,1928,633,172,25,828,1445,188,2462,90,393,3,490,1932,218,2633,19,246,0,263,1605,177,2039,3,49,0,55,702,146,902,8,3,0,15
LGA23430,14,159,3,175,3715,267,4154,45,120,3,164,4273,301,4741,1849,234,29,2111,6984,594,9687,5817,174,110,6098,4230,615,10948,3640,160,76,3878,5982,563,10426,518,613,13,1146,6815,508,8469,92,1042,7,1146,4599,492,6238,20,333,3,358,2902,458,3723,6,26,0,29,1233,274,1542,12002,2867,245,15114,40733,4075,59923,20,224,8,247,3532,243,4020,94,209,7,316,3557,206,4068,2990,429,108,3531,6020,558,10110,6976,357,369,7705,3281,548,11527,3419,494,134,4044,6568,555,11173,282,1750,19,2052,6586,502,9142,92,1892,19,2000,4739,579,7316,25,365,3,391,3664,653,4706,10,27,0,37,1967,591,2600,13906,5744,667,20319,39918,4436,64673,34,379,6,427,7244,507,8174,135,327,9,479,7828,498,8811,4840,665,132,5642,13005,1153,19800,12795,536,480,13802,7509,1165,22479,7060,650,216,7927,12554,1121,21604,803,2364,33,3198,13396,1013,17615,184,2936,22,3143,9342,1072,13553,43,699,6,750,6569,1111,8428,15,52,0,64
LGA23670,13,182,0,197,4634,253,5083,97,161,0,253,4752,221,5223,2351,274,46,2673,6874,470,10020,5528,170,138,5834,3778,488,10102,3273,246,67,3586,6505,450,10538,552,844,12,1408,7689,470,9564,80,1170,5,1256,4825,401,6483,22,228,3,247,2615,351,3213,5,6,0,16,929,154,1102,11926,3275,266,15466,42595,3270,61338,21,285,8,314,4257,259,4831,217,307,10,530,4278,162,4974,3557,480,158,4197,5651,471,10316,6711,343,320,7375,2859,421,10647,3247,628,143,4013,7064,455,11536,321,2330,32,2679,7199,456,10329,83,1838,7,1928,4792,464,7184,28,212,0,247,3197,459,3898,4,15,0,18,1673,312,2008,14194,6436,673,21292,40967,3450,65713,35,467,5,511,8894,506,9911,310,467,10,790,9022,386,10200,5916,748,207,6864,12525,946,20332,12242,511,451,13207,6634,910,20753,6525,871,209,7601,13570,905,22075,868,3172,44,4087,14886,926,19896,159,3012,11,3178,9615,869,13662,48,437,3,493,5813,806,7112,9,28,0,31
LGA23810,14,104,0,118,1893,274,2279,152,90,6,251,1874,234,2360,1346,148,53,1548,2426,370,4340,1990,101,78,2172,1534,321,4032,1088,197,28,1317,2986,429,4728,177,534,5,718,3772,468,4956,29,373,3,404,2894,439,3738,13,66,0,73,1490,324,1887,8,4,0,13,510,130,654,4818,1625,168,6613,19386,2981,28975,35,187,0,229,1649,248,2131,312,220,20,551,1642,237,2428,2073,257,153,2487,1832,401,4718,2404,203,145,2746,1240,320,4307,958,562,53,1566,3014,407,4989,101,1203,5,1309,3402,432,5139,26,550,4,583,2839,448,3870,7,90,3,104,1805,431,2340,4,12,0,16,854,235,1106,5929,3277,379,9581,18287,3153,31021,51,294,3,341,3545,526,4409,470,310,25,802,3519,469,4789,3423,407,198,4035,4258,767,9057,4395,302,220,4913,2774,647,8337,2047,759,81,2884,5998,833,9718,283,1732,11,2027,7174,899,10102,59,923,9,989,5740,886,7609,17,161,3,181,3296,753,4227,13,16,0,24
LGA23940,0,6,0,9,154,39,198,6,0,0,13,100,11,120,76,8,0,88,141,32,252,183,10,8,193,127,51,370,136,13,4,145,309,65,520,19,53,0,76,588,74,737,0,48,0,48,488,98,632,0,4,0,4,238,60,307,0,0,0,0,85,27,110,421,140,14,570,2228,455,3252,5,19,0,16,149,45,212,18,12,0,28,74,13,110,135,19,3,159,77,26,260,192,13,10,218,88,41,346,110,47,7,165,330,65,554,5,113,0,123,435,53,619,3,67,0,68,373,64,508,0,9,0,14,237,63,309,0,0,0,0,114,32,145,473,302,22,797,1873,404,3074,3,23,0,28,302,83,413,20,13,0,36,174,18,230,214,21,6,241,214,61,518,369,23,23,412,216,91,717,245,55,10,311,637,133,1078,24,170,0,200,1026,131,1356,3,111,0,117,855,166,1139,0,13,0,15,477,122,621,0,0,0,0
LGA24130,5,69,0,72,1273,164,1509,30,38,0,73,964,84,1116,609,56,7,669,1097,120,1891,1796,47,70,1911,825,213,2952,1226,95,28,1351,1871,236,3459,217,244,8,470,2399,245,3109,21,348,3,362,1912,234,2516,4,68,3,74,773,156,1008,0,7,0,8,253,35,296,3898,967,117,4992,11378,1500,17861,6,103,0,115,1147,150,1408,67,64,0,125,812,64,1000,888,102,44,1039,875,137,2048,2116,106,172,2397,710,218,3325,1176,212,63,1453,2030,240,3727,88,673,7,768,2246,233,3241,20,576,0,599,1659,274,2533,11,83,0,88,749,161,1003,7,5,3,10,364,133,513,4377,1924,296,6597,10592,1609,18796,14,170,0,185,2419,314,2919,96,104,0,199,1777,145,2114,1498,153,55,1707,1974,262,3942,3919,148,245,4308,1530,436,6277,2395,308,91,2805,3901,475,7184,301,917,12,1236,4643,477,6356,37,922,3,965,3577,511,5046,14,149,3,166,1524,326,2012,5,10,3,16
LGA24210,13,118,7,141,3590,189,3919,22,87,0,111,3542,149,3800,1137,141,16,1291,4784,313,6388,3669,99,55,3824,2507,288,6615,2962,111,37,3109,4440,346,7899,552,507,9,1073,5428,327,6827,91,1178,12,1285,4015,302,5601,28,454,0,487,3257,380,4114,0,26,0,26,1214,185,1423,8483,2731,132,11341,32774,2477,46588,5,182,5,189,3255,171,3620,58,144,3,202,3089,131,3426,1879,267,40,2184,4023,290,6496,4872,190,183,5248,1902,275,7431,3039,314,87,3436,5000,347,8785,322,1489,28,1836,5439,346,7622,119,2046,16,2183,4098,413,6690,33,501,8,542,3630,455,4623,4,19,0,25,1905,322,2249,10337,5147,366,15853,32328,2756,50939,26,296,6,330,6849,361,7542,72,229,7,309,6633,279,7222,3015,409,55,3472,8806,603,12885,8546,292,237,9076,4405,567,14044,5998,422,124,6546,9440,695,16681,873,1998,38,2913,10866,669,14448,218,3221,27,3463,8108,715,12292,64,951,11,1026,6884,834,8740,7,43,0,48
LGA24250,3,4,0,12,215,38,266,5,10,0,12,130,15,160,100,5,0,106,179,33,319,253,12,6,270,131,42,442,167,24,10,199,317,58,572,32,55,3,85,561,65,711,5,60,0,67,551,60,680,0,15,0,15,214,39,267,4,0,0,7,64,11,81,559,184,21,763,2375,369,3508,3,7,0,15,198,30,237,9,10,0,23,106,8,142,146,14,7,171,141,35,342,306,12,25,344,101,45,493,145,44,9,198,326,58,582,11,122,0,138,528,58,718,3,108,0,110,458,59,628,0,10,0,10,217,47,281,3,0,0,5,102,16,123,627,325,43,1007,2180,361,3538,6,18,0,25,413,68,499,19,12,0,31,243,31,299,248,22,10,281,317,66,662,555,23,35,612,236,90,937,308,68,16,391,644,121,1156,39,175,0,217,1086,118,1428,7,167,3,174,1008,119,1311,0,26,0,26,432,88,551,4,3,0,8
LGA24330,3,54,0,57,1612,179,1847,25,87,0,113,3401,341,3860,1145,205,19,1368,7538,796,9704,2888,103,71,3060,3510,579,7154,1496,79,33,1603,2915,386,4908,321,187,13,519,2800,293,3613,36,203,3,244,1505,195,1939,3,62,0,66,887,157,1109,0,8,0,10,415,97,522,5917,993,139,7049,24579,3033,34661,5,94,0,100,1531,150,1784,100,140,6,240,2866,284,3395,1911,371,47,2328,6269,710,9302,3426,249,180,3856,2553,492,6901,1342,207,77,1624,2992,378,4992,142,482,14,641,2706,286,3632,25,372,3,400,1491,195,2084,9,85,3,96,1179,206,1477,3,5,0,7,684,166,854,6961,2007,329,9296,22267,2872,34435,11,145,3,163,3144,331,3635,124,230,6,354,6273,625,7258,3054,571,64,3699,13803,1508,19006,6311,357,254,6918,6063,1071,14058,2837,288,105,3234,5905,763,9900,465,671,25,1157,5504,581,7247,57,578,6,642,2989,393,4024,8,146,3,155,2068,361,2589,5,10,0,18
LGA24410,5,124,0,133,3113,209,3461,63,91,4,159,3051,158,3372,1861,218,36,2113,4883,347,7339,4232,135,117,4475,2848,343,7665,2447,170,50,2673,4188,382,7239,338,571,10,916,4839,292,6048,48,878,3,932,3159,254,4344,12,200,0,211,1919,219,2344,4,9,0,15,750,135,900,9015,2394,215,11624,28749,2344,42715,26,230,9,259,2779,176,3214,168,217,6,391,2717,144,3253,2872,421,120,3407,4150,386,7941,4829,294,352,5474,2142,335,7947,2387,456,91,2936,4644,337,7916,186,1531,25,1742,4626,298,6665,60,1480,8,1543,3377,377,5300,20,231,3,244,2430,386,3063,3,5,0,13,1408,330,1747,10537,4867,612,16014,28278,2759,47052,34,351,5,391,5895,385,6671,234,309,10,549,5771,303,6629,4728,637,150,5520,9031,738,15284,9056,429,464,9954,4984,678,15617,4835,631,147,5606,8829,718,15158,524,2100,31,2659,9467,593,12710,105,2357,11,2479,6536,629,9647,27,430,3,463,4349,606,5414,9,13,0,22
LGA24600,3,76,0,82,3938,511,4534,25,110,3,144,11941,1453,13530,1104,244,9,1357,18154,2723,22234,1914,144,21,2075,5228,1248,8555,956,69,26,1055,3083,697,4840,232,215,14,457,2819,548,3832,38,346,3,387,1849,431,2657,3,96,0,100,793,202,1091,3,3,0,6,321,134,459,4284,1315,71,5665,48130,7949,61741,10,141,0,144,5306,609,6060,71,241,10,325,14285,1620,16228,1770,522,27,2312,17427,2438,22187,2143,253,47,2445,4127,919,7484,869,183,36,1088,3220,636,4944,117,514,0,641,2827,505,3967,36,597,3,635,1622,376,2623,12,91,0,99,872,232,1206,11,8,0,17,507,267,795,5031,2554,117,7704,50194,7597,65494,11,215,0,226,9247,1119,10591,97,358,11,461,26225,3072,29756,2874,768,29,3673,35589,5161,44425,4058,400,64,4523,9357,2165,16035,1821,257,63,2144,6306,1337,9784,353,731,10,1091,5646,1060,7798,66,942,6,1021,3465,802,5288,15,188,0,201,1658,434,2299,9,16,0,23
LGA24650,29,185,3,221,3957,393,4574,184,166,7,355,3562,419,4334,2915,247,46,3203,5779,1002,9980,6045,174,106,6331,4042,914,11286,2403,246,33,2687,4981,663,8331,366,552,13,935,4603,476,6018,64,521,6,593,2888,353,3834,12,80,0,93,1066,178,1332,3,5,0,5,260,47,310,12016,2184,217,14413,31147,4442,50001,33,306,4,345,3623,347,4313,409,325,25,756,3159,370,4287,5001,480,156,5642,4494,842,10970,7114,334,253,7698,3101,766,11564,2145,657,78,2881,5065,611,8557,173,1546,23,1737,4267,460,6473,46,785,5,835,2591,415,3838,14,93,0,106,1207,199,1509,6,6,0,15,478,87,578,14941,4528,546,20019,27982,4096,52096,68,496,9,570,7577,738,8883,586,487,35,1114,6721,789,8616,7909,725,203,8842,10269,1844,20955,13160,514,359,14028,7146,1679,22853,4552,907,107,5570,10045,1271,16888,539,2098,35,2670,8876,942,12486,108,1307,9,1428,5480,769,7681,25,173,0,199,2272,372,2847,10,11,0,19
LGA24780,9,78,0,94,1514,226,1828,101,57,0,160,1240,160,1560,918,113,19,1053,1812,343,3213,1426,73,51,1555,1173,261,2987,800,128,21,941,2156,348,3447,139,327,9,471,2717,355,3548,30,248,0,280,2105,370,2751,7,48,0,54,1081,253,1382,6,4,0,6,419,103,531,3442,1079,100,4615,14212,2417,21243,28,134,3,162,1321,211,1690,182,142,10,337,1100,155,1590,1484,188,84,1753,1280,288,3327,1777,114,113,2008,929,248,3184,776,359,30,1165,2169,293,3631,68,733,0,798,2425,333,3559,20,428,0,444,1931,360,2738,12,72,0,80,1349,356,1781,6,7,0,10,700,177,889,4339,2177,250,6761,13204,2428,22402,36,218,3,259,2829,437,3518,278,206,10,493,2341,316,3153,2399,301,108,2809,3096,638,6535,3209,189,161,3564,2102,510,6168,1574,487,50,2111,4318,647,7079,203,1058,9,1270,5146,692,7111,51,677,3,729,4036,732,5493,17,115,0,134,2431,605,3169,7,11,0,19
LGA24850,3,64,0,62,1270,191,1523,65,42,0,111,1115,103,1330,861,73,18,951,1409,234,2599,1318,58,29,1395,852,224,2481,824,99,15,936,1685,249,2870,131,213,0,344,1992,259,2594,25,203,0,221,1348,213,1784,3,33,0,37,594,128,760,3,3,0,7,179,54,237,3231,781,59,4075,10452,1658,16185,15,98,0,115,1062,179,1358,161,83,4,244,804,107,1158,1261,136,53,1454,965,211,2635,1595,109,86,1791,689,221,2704,707,233,31,975,1699,249,2916,71,504,0,573,1672,218,2462,15,318,0,330,1242,243,1821,6,30,0,35,670,170,866,3,0,0,3,259,82,342,3823,1520,177,5519,9062,1681,16260,15,165,0,181,2330,373,2880,227,124,4,354,1926,210,2487,2128,210,70,2410,2373,450,5230,2914,163,112,3189,1538,449,5178,1530,332,49,1909,3384,492,5789,201,717,3,922,3667,478,5056,34,518,0,557,2590,459,3608,8,64,0,71,1266,298,1633,8,3,0,12
LGA24900,5,40,0,50,729,126,902,51,28,3,84,577,70,730,440,45,12,504,683,125,1309,745,34,21,801,513,117,1432,458,82,12,552,1120,166,1841,59,199,3,258,1644,214,2123,10,136,0,148,1560,250,1962,3,37,0,43,926,206,1175,0,0,0,4,295,87,387,1780,612,50,2442,8052,1362,11854,16,70,0,83,634,94,808,94,67,3,168,439,46,656,692,75,35,801,471,112,1393,931,57,49,1035,356,94,1486,402,206,10,620,1150,145,1922,43,433,6,487,1437,185,2107,13,221,3,236,1508,259,2000,3,47,0,50,928,220,1203,0,4,0,5,419,119,547,2192,1194,106,3494,7346,1286,12121,19,111,0,134,1365,217,1711,152,100,6,259,1011,115,1378,1133,127,48,1305,1157,236,2699,1672,92,64,1836,874,209,2919,856,288,26,1172,2277,312,3764,101,635,10,743,3083,407,4227,24,353,3,383,3068,516,3960,8,88,0,95,1853,428,2377,5,6,0,14
LGA24970,30,153,4,182,5787,357,6330,34,178,3,213,8632,491,9337,2196,256,21,2465,10636,818,13923,5944,155,71,6173,4628,615,11414,3923,124,78,4122,6460,549,11126,635,578,12,1232,7037,451,8714,140,1352,9,1500,5062,396,6959,29,522,3,550,4045,447,5046,6,32,0,44,1689,244,1977,12935,3347,198,16481,53984,4367,74831,26,245,0,273,5480,320,6071,104,331,10,445,7646,421,8513,3636,406,71,4106,8380,728,13211,7539,296,252,8093,3464,527,12085,3897,406,131,4431,6998,527,11957,424,1703,28,2150,7031,461,9650,133,2303,16,2452,5264,506,8221,40,557,4,598,4873,592,6063,7,18,0,29,2583,499,3113,15798,6268,518,22582,51726,4580,78884,54,397,5,455,11276,677,12399,140,512,12,662,16280,912,17853,5824,656,90,6574,19018,1542,27136,13485,453,329,14258,8091,1141,23495,7821,525,206,8551,13458,1076,23081,1057,2278,42,3384,14068,915,18367,272,3653,22,3949,10325,902,15185,68,1076,7,1154,8919,1039,11113,15,56,0,70
LGA25060,9,98,0,103,2883,235,3222,16,73,3,91,3656,263,4010,1294,196,3,1493,6798,719,9008,3902,131,67,4101,3415,525,8040,2730,111,39,2891,4384,499,7772,381,424,7,820,4848,390,6053,65,780,9,850,3115,393,4363,24,227,0,252,2167,331,2753,0,14,0,18,963,162,1140,8427,2058,131,10620,32230,3518,46365,11,145,3,163,2708,248,3125,66,193,3,262,3446,265,3974,2107,441,43,2593,6387,696,9673,4914,288,164,5366,2741,517,8624,2675,336,85,3099,4607,442,8141,216,1233,17,1467,4825,443,6729,53,1316,4,1377,3215,433,5021,21,261,0,279,2891,461,3634,10,23,0,24,1509,287,1826,10078,4237,319,14628,32338,3784,50750,19,242,3,262,5595,485,6344,80,265,7,354,7103,527,7987,3405,635,48,4086,13187,1408,18685,8818,425,228,9471,6154,1041,16665,5412,452,125,5987,8989,941,15917,604,1662,27,2287,9670,828,12788,113,2101,16,2233,6332,819,9385,43,492,0,531,5059,794,6384,10,32,0,44
LGA25150,7,48,0,56,924,94,1073,30,26,0,60,775,65,897,580,41,13,634,945,102,1686,1139,41,30,1202,692,139,2033,639,76,9,727,1424,170,2322,111,213,0,329,1564,149,2041,16,173,0,189,1259,165,1611,0,22,0,22,482,84,590,6,0,0,5,141,34,178,2531,641,58,3230,8201,1002,12433,12,102,3,111,810,96,1014,67,59,0,126,648,36,811,842,109,42,992,699,110,1801,1334,76,84,1496,573,140,2205,601,206,24,830,1428,173,2431,52,465,8,534,1402,146,2076,23,298,0,319,1126,172,1611,3,38,0,42,521,115,674,6,0,0,12,258,42,310,2945,1352,163,4457,7459,1024,12943,16,147,4,166,1729,193,2082,94,87,3,193,1424,101,1711,1428,149,56,1633,1648,210,3488,2476,118,110,2696,1265,272,4238,1239,289,30,1558,2849,346,4754,170,681,10,860,2962,294,4118,36,464,3,507,2382,336,3226,3,61,0,62,1002,203,1263,13,3,0,16
LGA25250,15,134,0,152,3198,335,3678,51,160,7,217,5625,441,6278,2196,330,21,2554,13869,1339,17758,5393,231,104,5731,6209,900,12843,2891,139,74,3105,5751,625,9481,483,324,5,813,5254,484,6550,79,524,3,599,3368,396,4362,28,269,4,302,2838,376,3510,3,27,0,27,1439,187,1661,11138,2134,229,13504,47538,5079,66119,19,191,10,214,2942,278,3431,218,308,7,531,5636,426,6598,3483,677,98,4259,12214,1194,17661,6279,484,285,7052,4976,797,12823,2797,465,142,3406,5737,589,9730,237,1118,15,1372,5418,512,7294,69,1052,7,1132,3630,441,5192,31,324,3,354,4112,480,4948,8,23,0,29,2329,289,2653,13140,4635,564,18338,46994,5010,70339,36,324,5,367,6138,614,7115,264,470,11,743,11264,862,12878,5675,1007,124,6807,26078,2539,35425,11674,717,394,12785,11182,1700,25663,5691,601,215,6511,11489,1214,19207,721,1439,23,2184,10672,993,13853,146,1574,11,1732,6992,828,9556,58,593,4,651,6952,859,8461,13,46,0,59
LGA25340,20,175,4,198,4065,418,4680,150,121,3,274,3451,241,3969,1922,189,36,2152,3889,418,6465,4932,180,148,5258,2700,495,8452,3483,324,87,3887,5621,652,10160,547,963,17,1520,7653,679,9847,92,1451,9,1544,7341,842,9726,13,357,0,370,4616,775,5753,12,19,0,24,1668,349,2036,11164,3778,297,15234,40995,4863,61091,32,290,0,318,3587,363,4271,294,239,19,556,2680,208,3442,3031,387,173,3591,3024,411,7034,6069,348,402,6820,2113,533,9463,3436,793,163,4389,6074,628,11090,251,2524,18,2791,7605,758,11154,99,2615,13,2726,7432,1018,11175,25,403,4,433,4996,990,6421,8,26,0,30,2427,568,3022,13255,7616,788,21663,39935,5474,67067,49,466,4,521,7648,778,8945,448,356,24,824,6127,450,7409,4957,575,208,5745,6912,836,13493,11003,524,545,12074,4816,1028,17916,6919,1115,244,8280,11690,1279,21250,790,3487,34,4315,15255,1431,21007,192,4064,18,4271,14775,1857,20899,42,755,4,801,9610,1767,12178,18,37,0,62
LGA25430,8,29,0,33,395,73,502,18,14,0,31,299,80,407,177,26,3,201,347,307,863,475,19,22,518,314,245,1081,393,46,27,469,650,232,1357,85,120,6,214,1200,203,1612,18,124,0,137,987,146,1277,4,30,0,32,492,103,631,0,3,0,7,168,52,226,1170,410,59,1640,4857,1446,7943,3,31,0,37,353,47,433,35,16,0,54,242,21,314,285,35,22,340,287,61,687,595,38,68,702,271,102,1079,383,108,36,528,802,127,1460,39,298,3,337,1135,154,1627,7,225,0,236,990,138,1365,4,45,0,44,526,120,693,3,0,0,3,240,97,338,1352,805,136,2291,4844,874,8004,10,53,0,62,750,120,933,47,31,0,81,534,106,723,462,56,19,544,637,373,1544,1065,58,99,1227,589,353,2161,776,159,62,999,1459,364,2815,127,420,11,553,2331,358,3239,22,353,0,376,1974,288,2638,11,71,0,79,1023,227,1325,0,7,0,8
LGA25490,6,15,0,15,401,88,500,24,14,0,38,291,41,370,268,23,6,301,399,62,768,578,24,19,616,291,85,994,313,40,3,357,679,98,1139,75,128,3,202,957,112,1270,14,88,0,100,738,111,948,0,15,0,18,343,67,428,0,0,0,0,104,28,130,1270,349,30,1652,4205,698,6556,5,42,0,43,365,63,477,52,31,5,87,231,34,352,358,39,27,424,298,56,772,650,45,31,727,180,70,983,323,105,8,435,714,83,1236,28,258,0,288,820,104,1209,6,158,3,167,621,96,878,0,24,0,26,331,72,430,0,0,0,0,200,42,236,1426,698,77,2194,3757,624,6579,11,52,0,64,770,152,978,76,44,5,127,522,73,717,629,65,32,724,694,114,1537,1225,67,54,1348,478,153,1974,634,146,14,791,1396,187,2372,104,386,3,495,1775,217,2483,18,245,3,261,1355,209,1833,5,37,0,39,675,145,863,0,0,0,3
LGA25620,6,18,0,26,272,58,350,11,11,0,24,206,30,263,168,15,4,183,318,41,549,393,20,11,426,281,82,782,252,33,3,293,627,85,1000,56,88,0,142,943,128,1206,8,114,0,117,855,153,1129,0,13,0,13,340,75,428,0,3,0,3,106,23,133,891,315,21,1227,3947,671,5843,0,17,0,18,263,61,344,29,23,0,50,184,23,254,252,31,7,283,234,55,574,467,34,33,539,199,76,814,200,76,15,289,614,80,981,23,200,0,226,836,111,1171,7,161,0,162,681,115,961,0,16,0,20,329,77,420,0,3,0,3,157,26,182,977,562,54,1590,3490,622,5704,7,32,0,40,538,113,697,39,35,0,75,387,55,513,414,43,8,466,551,101,1118,864,56,44,960,478,163,1603,452,108,23,575,1246,157,1982,74,291,3,362,1774,235,2376,11,269,0,286,1535,270,2090,3,33,0,35,666,147,854,0,3,0,4
