LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA24970,4170,2639,1519,777,294,55,14741,88,681,881,996,774,383,110,17,3934,4076,10258,7787,5723,3712,2026,921,261,34765,1533,2653,2605,2822,2125,1493,870,267,14369,1300,2062,2078,2709,1952,1441,1139,370,13049,188,124,135,169,114,83,34,16,863,146,200,297,439,383,359,208,95,2124,1638,2388,2508,3319,2449,1885,1378,478,16036,160,259,237,262,244,171,151,68,1554,1612,1552,1259,1259,1183,1289,1451,1229,10837,9419,22753,19443,17021,12009,8032,5187,2369,96233
LGA25060,1719,1178,804,352,59,9,6516,47,693,788,712,643,232,46,9,3169,1829,6460,5163,3522,2355,889,251,84,20557,639,1882,1888,1851,1365,747,298,95,8772,985,2259,1965,2231,1497,1033,651,225,10842,132,122,124,135,86,39,11,4,660,99,223,276,335,252,172,96,39,1485,1215,2606,2367,2707,1833,1241,754,265,12984,46,143,122,99,118,92,46,24,677,967,1490,1152,1053,1010,1090,946,570,8281,4898,15505,13200,11119,8124,4641,2406,1062,60956
LGA25150,159,146,125,69,12,0,618,9,86,133,110,124,56,10,0,525,122,536,649,491,353,223,48,17,2447,148,414,479,511,418,258,72,18,2318,507,1065,1024,1148,826,475,148,35,5222,44,59,50,61,38,14,3,0,266,40,79,97,81,100,70,16,8,486,595,1200,1167,1289,960,559,168,41,5974,4,14,18,28,33,26,10,8,142,295,241,321,403,392,435,230,138,2454,1187,2587,2926,2974,2407,1625,552,220,14473
LGA25250,3585,1687,966,362,76,16,11680,113,1328,1362,976,690,194,49,5,4708,2997,12300,7601,3645,1910,759,199,82,29491,1013,3705,2790,1979,1167,479,203,90,11425,1506,3551,2624,2460,1721,894,636,303,13692,197,208,181,144,80,45,21,7,878,140,340,357,385,262,128,78,53,1743,1843,4097,3169,2987,2061,1065,730,363,16313,100,264,183,130,120,74,47,33,950,1496,2630,1852,1389,1183,1040,1171,783,11542,7820,29066,20542,12792,8085,3976,2458,1368,86119
LGA25340,686,817,742,603,229,45,3524,42,312,609,692,718,493,127,20,3009,586,2342,3489,2968,2566,2333,990,263,15553,656,1607,2435,2766,2598,2228,1014,324,13621,1988,4079,4188,4947,4070,2885,1606,468,24222,240,202,225,240,202,163,49,14,1330,170,238,373,492,535,538,215,96,2666,2396,4517,4786,5685,4807,3591,1868,574,28221,38,65,125,149,182,273,170,76,1074,1225,959,1244,1598,1834,2394,2129,1184,12579,4983,10174,13369,14673,13444,11926,6526,2483,77580
LGA25430,144,179,166,144,45,7,754,6,38,122,156,176,116,15,0,625,44,235,455,463,486,357,133,26,2199,30,115,215,289,336,297,118,31,1433,202,327,353,487,545,312,164,33,2430,24,14,26,27,28,22,8,3,145,7,15,34,47,74,61,14,10,264,237,361,410,562,647,392,182,43,2840,10,3,6,13,29,29,13,7,115,244,392,372,394,413,349,245,166,2575,569,1201,1729,2055,2252,1682,759,287,10540
LGA25490,54,59,65,43,8,0,258,0,36,68,48,60,35,7,0,260,43,259,359,256,252,129,35,10,1340,48,170,212,280,240,173,54,15,1191,255,485,514,527,441,188,64,20,2493,34,18,33,33,18,12,0,0,157,14,30,46,59,54,44,13,0,257,307,530,592,613,518,244,76,20,2909,0,6,4,11,15,14,11,5,62,212,133,188,224,268,261,171,96,1554,617,1163,1476,1494,1421,894,354,155,7583
LGA25620,35,37,66,38,13,0,216,13,41,38,41,57,40,12,0,232,26,160,225,198,207,168,49,13,1050,31,121,182,223,256,199,56,26,1093,161,338,435,515,501,346,125,24,2438,22,17,23,21,18,11,0,0,124,9,27,30,51,49,40,21,9,234,186,385,489,589,567,404,144,28,2801,7,4,10,10,11,30,8,3,78,161,101,184,198,302,323,146,67,1485,429,842,1153,1284,1477,1202,429,134,6949
LGA25710,720,682,550,303,82,6,2761,21,186,433,496,530,198,48,0,1917,631,1600,2381,2036,1606,770,214,62,9307,366,673,1030,1327,1106,691,167,27,5386,777,1208,1407,1999,1508,806,305,79,8087,73,47,59,86,74,22,7,0,367,59,72,124,215,208,151,37,6,876,914,1333,1594,2298,1793,981,345,85,9333,16,40,46,71,61,64,26,11,333,444,295,374,542,497,464,251,127,2999,2429,4506,6588,7451,6140,3471,1123,312,32028
LGA25810,14,17,23,20,9,0,107,0,16,25,27,37,17,4,0,123,28,152,154,118,138,104,28,10,720,23,105,118,150,150,106,35,13,700,168,273,264,352,338,246,91,19,1739,25,14,33,29,22,17,4,0,144,12,27,33,42,38,29,10,0,187,200,315,330,422,398,286,97,23,2074,3,16,8,11,18,19,7,0,64,140,95,95,166,204,218,173,80,1176,399,711,744,908,965,761,350,126,4963
LGA25900,2649,1709,1154,685,137,31,9781,38,905,898,742,585,252,47,9,3472,1606,9931,6204,3530,2370,1320,445,150,25567,608,2453,1840,1436,1077,722,252,106,8494,705,2341,1390,1193,793,478,206,91,7197,109,124,107,72,49,41,11,7,521,72,249,254,233,225,133,63,23,1245,891,2714,1750,1502,1063,652,282,117,8967,40,209,139,111,86,121,44,18,769,1046,3146,1970,1517,1265,965,554,280,10744,4366,22635,15456,10536,7609,4712,1766,712,67794
LGA25990,17,13,18,11,0,0,74,0,14,13,14,33,11,3,0,85,17,65,82,75,104,56,15,4,422,22,53,87,95,102,90,20,11,479,51,152,172,208,245,154,45,12,1037,19,14,14,13,14,3,0,0,78,4,5,24,28,30,20,3,4,117,73,168,210,247,283,179,47,13,1224,0,0,0,4,9,14,0,3,40,71,104,144,187,217,227,103,54,1113,189,420,549,639,763,599,196,85,3436
LGA26080,25,25,45,40,12,3,163,0,7,12,26,31,27,8,0,105,11,48,75,76,118,119,65,11,521,3,15,21,42,83,115,48,13,333,11,27,31,42,53,52,17,14,247,3,0,0,3,3,7,3,0,12,0,0,4,9,12,15,8,4,53,12,27,32,55,60,79,32,12,306,0,0,0,4,3,4,10,4,27,21,16,15,25,46,77,70,34,306,55,107,177,250,390,453,239,85,1759
LGA26170,67,80,116,89,24,3,408,5,54,103,86,137,61,9,0,457,65,354,407,369,464,326,118,28,2126,49,239,335,407,438,328,116,29,1949,403,854,847,1018,852,547,208,63,4797,48,47,51,50,57,23,5,0,282,31,48,70,63,110,100,33,4,461,485,956,973,1128,1017,667,243,69,5541,8,9,10,20,35,40,13,6,141,311,235,260,400,483,587,346,158,2789,926,1879,2158,2492,2693,2101,865,296,13415
LGA26260,50,48,44,32,10,0,233,5,33,48,68,56,20,3,3,236,52,273,278,224,249,154,41,23,1296,38,135,203,222,250,142,70,19,1080,295,426,387,533,464,293,80,37,2511,59,42,33,33,25,16,3,0,206,19,29,22,45,58,42,18,7,242,368,493,450,611,544,347,100,48,2962,3,8,10,13,20,8,4,3,77,163,103,120,171,249,255,217,147,1416,634,1083,1158,1356,1411,960,453,242,7296
LGA26350,2394,1667,1218,830,276,78,10373,62,854,677,712,563,325,97,21,3313,2921,10690,5436,4012,2937,1964,884,311,29156,720,1977,1395,1291,1151,985,544,200,8257,667,1672,880,785,571,386,272,126,5353,81,95,67,65,42,37,15,6,408,91,207,155,207,202,180,107,54,1202,838,1968,1103,1061,817,601,386,191,6962,67,188,116,105,97,125,78,35,811,1085,2307,1189,954,881,870,768,447,8500,5930,21650,12312,9807,7665,5702,3030,1274,67371
LGA26430,16,33,38,32,7,0,138,3,21,32,36,35,32,5,0,158,28,106,154,125,189,130,43,10,788,25,116,112,148,181,139,58,15,794,122,259,264,284,357,224,92,26,1621,12,8,10,17,19,13,0,0,87,10,14,26,26,29,45,11,3,161,150,278,301,326,407,279,104,26,1870,0,0,10,13,13,12,12,6,65,110,74,84,139,214,230,181,105,1139,308,612,698,814,1079,854,410,169,4952
LGA26490,300,233,192,160,31,3,1071,3,105,171,157,196,91,23,3,761,134,879,1178,865,754,495,138,39,4472,84,356,513,565,537,444,161,52,2715,281,651,812,910,703,395,164,43,3966,24,23,36,41,42,27,4,6,211,13,45,70,82,79,80,35,8,414,320,718,923,1039,820,504,206,56,4588,9,14,20,20,26,28,23,6,155,244,212,267,305,337,345,233,108,2044,801,2428,3377,3188,2873,2066,808,268,15810
LGA26610,37,14,20,11,0,0,129,4,32,49,46,50,20,3,4,205,84,366,261,173,154,87,32,12,1167,68,199,225,208,212,130,48,10,1103,326,601,464,539,467,238,82,26,2751,41,34,43,31,28,10,0,5,189,31,44,57,46,46,24,10,3,257,396,690,564,613,534,272,93,31,3193,3,13,12,13,10,12,9,5,83,400,362,319,432,452,406,285,158,2810,962,1688,1468,1504,1444,937,470,217,8690
LGA26670,8,20,15,14,3,0,70,0,7,17,19,23,19,0,0,88,15,62,80,83,90,49,20,8,408,4,48,67,103,111,80,30,3,450,81,171,164,231,231,153,49,13,1100,14,13,14,12,19,10,3,0,77,3,10,9,19,25,29,7,3,106,100,194,190,260,271,192,60,20,1288,3,7,0,3,12,3,8,0,30,73,43,72,85,94,119,71,34,581,197,362,433,574,622,475,190,63,2920
LGA26700,105,94,85,46,3,3,421,4,62,90,142,133,70,24,0,522,114,474,537,386,452,247,93,25,2334,95,275,418,458,457,289,130,32,2149,468,805,830,904,787,467,172,60,4499,61,49,52,46,48,22,3,3,283,25,60,93,75,82,59,22,10,431,554,913,978,1025,917,547,197,75,5211,4,15,25,26,28,22,16,8,152,333,184,271,326,392,480,380,343,2694,1111,2009,2425,2451,2469,1693,850,475,13482
LGA26730,143,123,110,73,14,0,567,0,114,136,155,122,55,9,7,595,202,798,724,563,467,249,89,31,3128,133,413,403,471,429,275,111,31,2275,626,1074,1018,933,723,429,181,59,5052,67,93,60,47,48,24,3,0,347,48,71,90,72,85,46,16,12,440,738,1247,1167,1057,855,500,202,73,5838,13,20,17,22,25,35,15,7,157,409,300,299,426,460,489,440,253,3068,1505,2976,2891,2809,2474,1670,884,402,15618
LGA26810,105,102,87,67,9,5,503,10,103,130,151,128,72,13,4,621,156,716,674,432,535,299,84,30,2930,107,433,498,546,591,383,137,45,2739,693,1426,1224,1481,1336,778,308,81,7325,75,91,78,64,77,38,5,4,434,49,82,109,111,150,77,33,6,625,817,1598,1415,1656,1564,890,349,93,8381,8,36,25,35,39,39,26,13,230,629,680,698,655,788,743,539,219,4964,1731,3690,3555,3578,3740,2492,1165,412,20366
LGA26890,11,5,0,5,0,0,37,0,12,6,12,17,3,0,0,46,12,70,44,37,44,25,7,0,254,7,38,44,59,57,33,17,8,262,61,98,84,118,106,62,20,3,546,4,7,8,17,3,10,0,0,54,4,5,8,20,16,11,0,0,59,70,111,99,149,122,72,24,3,657,0,0,3,7,3,7,4,0,17,28,21,22,42,49,68,52,33,316,125,259,230,308,298,217,101,55,1593
LGA26980,3432,2149,1328,736,242,66,12049,82,705,1094,1152,953,459,161,46,4649,2871,8573,7732,5586,3597,2015,982,323,31686,1324,2350,2418,2678,2128,1595,897,345,13729,1263,1785,1804,2579,1949,1330,975,408,12082,165,128,127,157,99,82,32,7,803,122,203,259,393,361,312,212,117,1988,1549,2121,2196,3121,2415,1732,1220,531,14879,81,178,186,184,165,177,143,76,1198,1125,1141,920,999,949,1103,1237,944,8419,7258,18944,17975,15869,11531,7815,4890,2326,86615
LGA27070,1937,750,375,141,40,6,6077,87,720,683,414,275,99,8,5,2291,1865,7476,5258,2481,1572,682,173,38,19539,1343,4613,3878,2505,1477,665,206,54,14732,2574,6219,5200,4548,3078,1557,618,155,23955,287,372,369,261,169,55,13,6,1538,234,562,599,568,432,213,58,17,2686,3099,7150,6168,5381,3679,1820,696,179,28173,95,302,274,178,168,115,40,17,1192,1803,2276,1873,1655,1593,1468,940,328,11928,8448,25206,20070,13367,9135,4987,2101,625,83939
LGA27170,138,151,93,49,9,0,605,16,118,131,149,125,57,21,3,620,147,804,769,447,418,227,54,25,2888,205,623,610,638,527,309,93,30,3031,885,1686,1253,1238,943,507,187,64,6760,145,103,83,83,47,25,3,5,497,53,103,115,120,118,96,21,13,639,1083,1896,1445,1439,1115,625,215,76,7897,13,32,20,31,27,31,30,6,183,501,412,378,393,464,413,301,139,2994,1966,4030,3500,3247,2771,1710,712,283,18217
LGA27260,4565,1151,543,219,45,4,11693,67,792,993,505,340,116,23,3,2846,1675,9702,7944,3332,1786,714,172,42,25378,1277,5141,4394,2988,1707,681,182,48,16407,2695,6008,5380,4705,2945,1446,487,112,23771,341,351,345,256,140,66,11,0,1516,233,558,687,553,402,209,47,13,2697,3277,6916,6409,5511,3488,1719,541,126,27982,89,396,369,210,175,110,48,8,1415,2086,3176,2536,1903,1500,1232,713,347,13489,8629,31134,27217,15605,9530,4788,1731,577,99216
LGA27350,2318,1541,1088,698,155,29,9631,57,1114,799,591,548,276,42,5,3440,2080,11336,4867,2545,1729,1078,297,86,24009,486,2043,1187,858,633,484,153,45,5891,604,1789,979,735,456,251,136,44,4993,85,107,71,56,35,19,7,4,388,78,229,156,142,116,89,27,13,842,765,2124,1211,933,606,351,170,61,6224,48,132,94,71,60,45,30,10,476,1046,2580,1324,1038,889,670,406,189,8141,4643,22954,11798,7575,5554,3608,1256,426,57818
LGA27450,843,722,623,387,108,17,3346,54,442,676,643,684,333,60,16,2908,864,3179,3650,2612,2282,1403,390,92,14472,871,2337,2586,2684,2273,1502,434,133,12823,2408,5395,4795,5358,4147,2307,898,239,25551,260,235,245,235,193,106,33,11,1326,138,273,403,466,506,399,109,30,2325,2804,5907,5447,6061,4849,2815,1036,282,29201,48,78,108,146,143,189,70,36,810,1193,1076,1199,1479,1477,1498,1015,554,9487,5885,13607,14508,14331,12338,8121,3121,1127,73041
LGA27630,6,3,11,6,0,0,42,0,16,9,14,17,9,3,0,62,29,77,68,69,64,43,12,4,361,13,55,67,88,90,61,26,6,414,81,174,144,217,216,111,45,13,1003,13,10,8,16,14,8,0,0,75,4,13,12,15,31,10,5,3,101,103,197,172,248,260,133,52,16,1176,0,0,3,0,5,4,8,0,22,79,63,50,87,126,143,109,124,775,224,405,381,518,568,399,207,150,2854
LGA29399,9,6,7,3,0,0,22,0,0,3,3,0,3,0,0,14,5,40,29,8,10,10,5,0,102,8,11,9,3,15,12,0,0,64,15,25,18,18,8,3,4,0,97,8,0,3,0,0,0,0,0,6,4,3,6,0,0,4,3,0,19,25,26,23,18,14,8,10,0,126,3,6,0,0,0,0,0,0,17,37,64,45,23,18,15,3,0,207,87,152,118,70,59,43,15,0,545
LGA29499,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
