LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA26610,118,3,0,3,3,132,88,0,0,0,0,92,65,0,0,0,0,72,199,3,5,0,3,209,285,5,7,0,4,296,487,8,3,0,8,509,328,6,3,0,5,341,232,0,0,3,3,235,45,0,0,0,0,50,46,0,0,0,0,48,39,0,0,0,0,36,124,4,0,0,3,129,2067,26,18,14,31,2154
LGA26670,47,0,0,0,0,46,46,0,0,0,0,50,31,0,0,0,0,31,79,0,0,0,0,78,89,0,0,0,0,89,152,0,0,0,0,159,83,0,0,0,0,83,71,0,0,0,0,69,21,0,0,0,0,21,24,0,0,0,0,24,16,0,0,0,0,16,44,0,0,0,0,46,700,0,0,0,7,704
LGA26700,159,3,0,0,0,164,126,0,0,0,0,126,102,0,0,0,0,101,214,13,3,0,0,234,341,16,0,0,0,356,892,25,5,3,0,923,682,12,0,0,5,699,488,0,0,0,0,489,159,0,0,0,0,164,104,3,0,0,0,105,46,0,0,0,0,50,160,3,0,0,0,169,3475,73,9,7,15,3580
LGA26730,167,13,7,0,0,189,110,10,0,0,0,115,82,3,0,0,0,89,171,17,3,0,0,192,269,12,7,3,0,295,846,60,17,6,0,927,873,24,3,4,3,909,681,19,3,3,0,704,182,12,0,0,0,199,106,4,0,0,0,117,68,3,0,0,0,74,143,12,3,0,0,154,3709,181,37,18,8,3959
LGA26810,314,4,5,3,6,331,215,4,0,3,3,224,196,3,4,0,3,203,385,3,0,3,0,393,552,14,5,0,0,572,1236,10,3,0,4,1262,968,5,7,3,3,980,674,0,0,4,6,683,240,0,0,0,0,238,161,0,0,0,4,172,106,0,0,0,0,104,247,0,0,0,4,252,5291,45,22,20,25,5407
LGA26890,58,0,0,0,0,56,42,0,0,0,0,42,40,0,0,0,0,39,60,0,0,0,0,59,45,0,0,0,0,45,38,0,0,0,0,38,20,0,0,0,0,20,11,0,0,0,0,10,10,0,0,0,0,7,6,0,0,0,0,6,13,0,0,0,0,13,29,0,0,0,0,29,373,0,0,3,0,378
LGA26980,1068,241,38,0,3,1350,328,91,17,0,0,435,301,68,8,0,0,376,392,107,31,0,0,531,563,150,34,0,0,748,1505,443,107,0,3,2060,1548,488,146,3,0,2185,2660,857,144,3,9,3674,1725,461,49,4,4,2239,2169,388,45,0,13,2617,1474,193,18,0,0,1692,628,100,9,3,0,741,14359,3593,644,14,36,18642
LGA27070,959,121,11,0,0,1088,414,48,6,0,0,469,385,55,7,0,0,451,667,75,14,0,0,754,934,124,19,0,0,1073,3112,521,72,0,3,3714,4903,753,76,0,7,5747,7305,646,44,5,8,8006,2567,191,15,0,5,2773,1524,112,5,3,0,1644,772,67,0,0,0,839,1104,117,10,0,0,1236,24644,2820,275,10,33,27787
LGA27170,188,11,0,0,0,199,110,5,0,0,0,121,104,3,0,0,0,113,233,15,3,0,0,250,339,23,5,0,3,369,1144,53,9,3,3,1212,1143,17,0,0,0,1162,808,3,3,0,4,825,230,0,0,0,4,243,147,0,0,0,4,152,79,0,0,0,0,82,184,7,3,0,0,190,4705,131,24,5,29,4902
LGA27260,1069,122,12,0,0,1201,409,57,3,0,0,464,417,45,3,0,0,469,712,91,17,0,0,818,1174,153,22,0,3,1354,4365,640,94,4,0,5101,6355,921,71,0,5,7357,7617,981,27,0,10,8636,2664,301,4,4,0,2970,1604,165,12,0,0,1789,824,79,12,0,0,916,1209,124,14,0,0,1336,28418,3675,289,9,20,32422
LGA27350,101,271,113,0,3,498,32,66,40,0,0,128,21,76,31,0,0,130,39,77,57,0,0,170,42,102,86,3,0,226,114,278,331,4,0,730,106,330,398,0,3,836,217,575,696,3,9,1509,130,461,420,3,5,1018,230,682,346,0,3,1264,317,725,191,5,4,1243,71,141,89,5,0,307,1415,3783,2802,25,31,8060
LGA27450,1106,31,0,4,8,1147,559,9,0,0,0,573,552,14,3,0,0,577,869,16,0,4,0,890,1291,25,6,3,4,1332,3737,95,14,3,5,3849,4380,125,17,3,13,4537,5961,135,12,0,12,6128,2485,28,0,0,0,2520,1535,14,0,0,9,1560,713,0,0,0,4,721,1176,15,3,3,4,1199,24377,510,54,25,58,25023
LGA27630,83,0,0,0,3,91,89,0,0,3,0,90,65,0,0,0,0,67,115,0,0,0,0,117,68,0,0,0,0,66,105,0,0,0,0,108,26,0,0,0,0,26,19,0,0,0,0,19,6,0,0,0,0,6,11,0,0,0,0,11,7,0,0,0,0,7,41,0,0,0,0,42,634,0,0,3,7,648
LGA29399,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,19
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
