LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA22910,2340,1145,1049,1626,2159,2520,2047,949,440,14276,4,4,4,3,8,0,0,6,3,27,3,3,4,10,8,12,14,3,0,63,93,94,104,85,96,129,90,55,32,787,0,5,3,0,7,6,5,0,0,26,0,0,0,0,3,0,0,0,0,6,3,0,0,4,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,10,4,0,3,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,103,115,109,121,158,115,63,32,914,101,108,118,111,130,160,119,65,33,940,2438,1255,1174,1743,2289,2673,2165,1011,470,15216
LGA22980,849,535,464,500,728,864,698,445,280,5355,3,0,3,4,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,4,16,24,26,9,17,21,15,7,7,155,3,3,3,0,0,0,3,0,0,17,0,0,0,0,3,0,8,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,32,9,27,28,32,11,7,196,23,32,34,9,29,29,33,11,8,207,868,569,495,505,758,895,724,455,287,5565
LGA23110,16007,9491,12559,12929,12225,9895,6479,4076,1862,85521,7,24,8,9,12,6,8,9,3,89,9,10,27,20,26,27,22,8,0,145,209,263,302,224,197,214,164,108,80,1757,3,3,15,10,14,22,22,0,0,91,3,4,10,11,8,9,3,3,0,50,4,3,7,14,0,4,3,0,0,40,3,0,3,0,4,0,10,0,0,27,0,0,0,4,0,0,0,0,0,10,0,3,0,0,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,233,292,362,289,253,286,218,122,82,2135,243,309,376,295,261,293,232,126,88,2224,16248,9806,12933,13223,12484,10186,6710,4206,1946,87746
LGA23190,3621,2088,2142,2076,2353,2426,1763,1224,586,18287,3,10,3,0,0,3,6,6,0,32,3,5,4,4,8,4,0,0,0,22,66,140,122,90,79,89,57,38,28,701,0,3,3,0,8,3,3,0,0,23,9,3,5,10,11,16,17,7,0,83,0,0,0,0,0,5,0,0,0,14,6,0,0,0,3,0,4,0,0,8,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,77,151,143,112,107,121,88,46,28,856,83,154,148,110,108,120,92,49,26,891,3699,2246,2285,2189,2462,2549,1859,1276,614,19183
LGA23270,43143,27786,29975,26599,25658,19052,11951,5612,1790,191570,53,37,47,34,27,23,12,7,4,241,20,36,70,62,57,70,41,12,3,361,645,644,879,554,428,426,350,214,97,4244,14,24,42,41,50,44,21,0,0,232,3,6,20,4,27,22,8,3,0,98,0,8,13,21,22,27,9,5,0,103,3,13,11,15,13,8,20,9,0,87,0,5,3,8,4,0,5,0,0,21,5,0,4,0,5,3,15,0,0,32,0,0,0,0,0,0,0,0,0,0,697,720,1042,705,618,599,466,240,106,5192,747,763,1086,740,645,618,482,251,107,5432,43887,28543,31062,27339,26296,19667,12433,5863,1901,197004
LGA23350,2768,1375,1148,1838,2357,2407,1783,841,334,14838,3,0,5,4,0,8,12,5,0,29,13,30,11,3,20,26,16,5,8,124,36,60,40,34,54,69,60,22,8,384,3,0,0,3,6,6,9,0,0,27,0,0,0,0,0,5,7,0,0,14,0,3,4,0,3,0,4,0,0,12,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,53,100,56,41,87,119,90,26,13,586,51,96,64,49,87,121,94,32,19,619,2822,1475,1210,1884,2440,2531,1879,867,349,15454
LGA23430,26198,16409,18988,21686,20829,16864,12711,7857,3840,145375,22,15,10,17,17,13,18,18,5,131,14,14,30,13,40,30,23,4,6,174,362,457,535,385,357,299,281,204,153,3039,7,9,12,22,20,34,15,9,3,127,3,0,3,4,6,13,8,0,0,36,7,7,9,12,8,11,8,3,3,69,0,3,6,6,0,13,6,3,0,43,0,3,3,0,0,3,0,0,0,5,0,4,3,0,0,7,5,0,0,13,0,0,0,0,0,0,0,0,0,0,396,497,606,443,426,404,351,227,166,3505,411,506,613,459,450,418,363,236,175,3641,26608,16917,19603,22140,21280,17282,13076,8096,4022,149017
LGA23670,26577,19404,19529,20208,21431,19071,12738,6620,2956,148538,12,16,12,11,11,10,7,8,3,85,23,13,24,23,18,30,30,18,3,167,393,532,615,356,311,258,283,288,204,3245,15,7,25,23,14,17,16,0,0,117,0,3,0,14,5,3,12,9,0,55,3,3,9,9,8,11,6,0,3,48,0,0,3,3,0,3,5,7,0,26,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,436,559,684,425,349,328,350,323,214,3671,445,576,696,440,360,333,360,330,218,3752,27019,19978,20226,20648,21793,19405,13095,6949,3172,152294
LGA23810,12869,8580,8486,7936,9204,9390,6833,3925,1670,68890,15,15,6,6,13,5,10,5,3,95,6,6,14,10,22,13,13,3,0,84,306,579,473,276,257,269,185,152,101,2611,10,14,15,6,15,9,6,0,0,81,0,0,0,5,3,13,0,4,0,27,0,3,3,3,4,3,7,0,0,28,0,3,0,0,4,3,4,0,0,12,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,317,613,519,305,307,312,219,164,104,2858,337,624,526,318,323,320,231,172,110,2958,13203,9211,9010,8250,9526,9705,7059,4099,1777,71843
LGA23940,1167,579,471,690,1008,1255,1041,568,233,7018,7,0,8,0,8,9,0,0,0,29,3,4,4,3,0,7,10,0,0,31,16,35,33,20,21,44,44,12,4,233,0,0,0,0,0,0,10,4,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,15,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,44,24,31,58,66,12,4,303,29,36,49,27,37,65,70,17,4,337,1200,623,515,714,1043,1317,1115,585,241,7355
LGA24130,9227,4756,3697,5996,6880,5972,4589,1836,762,43708,3,6,3,3,7,3,7,3,0,30,0,5,14,22,11,19,16,3,0,95,105,235,165,125,131,124,166,75,32,1159,0,9,3,3,12,8,7,0,3,50,3,0,5,3,6,8,13,0,3,51,0,0,0,5,4,6,10,0,3,31,0,0,0,0,0,0,3,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,115,255,191,160,174,171,209,81,41,1403,119,261,192,160,181,179,216,84,41,1434,9342,5016,3891,6154,7056,6143,4806,1919,802,45143
LGA24210,18416,14366,12356,13617,16191,13857,11545,8154,3474,111986,4,7,10,5,3,9,6,12,5,61,8,10,9,11,16,19,12,6,3,93,240,273,409,232,197,213,197,188,120,2074,9,14,17,8,8,23,11,3,3,92,0,3,5,0,3,0,3,0,0,21,6,0,6,8,3,5,3,3,0,39,0,3,3,0,3,3,3,0,0,20,0,0,0,0,4,0,0,0,0,4,0,4,3,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,263,308,453,267,232,266,231,208,131,2360,269,316,463,272,237,274,239,215,136,2421,18688,14681,12818,13892,16426,14131,11787,8368,3611,114402
LGA24250,1477,713,599,852,1046,1245,1106,479,190,7699,0,9,0,5,0,0,0,0,0,15,22,8,11,14,4,6,0,3,0,73,153,126,105,97,79,90,80,20,8,753,17,15,10,14,11,11,3,3,0,82,9,4,10,0,3,3,4,0,0,44,4,0,3,3,3,4,0,0,0,23,0,0,10,0,0,0,3,0,0,22,0,4,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,166,144,137,105,120,95,29,7,1003,198,172,145,140,107,120,96,30,12,1021,1678,882,745,991,1151,1362,1198,509,197,8719
LGA24330,12898,10450,18282,13572,9500,6978,3837,2446,1304,79263,11,16,10,3,23,9,8,5,8,82,10,14,16,22,15,24,21,3,0,126,212,352,460,290,201,209,198,123,75,2126,10,27,18,16,25,11,22,6,0,137,14,7,18,12,11,15,8,0,0,86,0,3,12,3,4,7,10,0,0,40,0,9,4,0,5,16,15,3,0,50,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,257,407,527,349,271,283,280,134,78,2586,267,419,534,350,296,289,288,143,88,2668,13164,10870,18818,13923,9787,7266,4120,2585,1393,81930
LGA24410,20158,12815,14649,15105,14629,12167,8934,5046,2490,105992,13,5,17,3,12,17,7,11,9,92,9,8,10,14,13,10,15,0,0,77,250,410,474,247,248,224,187,151,96,2297,4,6,9,5,9,9,10,3,0,67,3,10,3,0,7,0,5,3,0,36,3,0,0,6,4,3,3,3,0,25,0,0,4,4,0,5,5,0,0,20,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,266,431,509,276,276,264,227,168,104,2527,277,439,525,278,288,273,239,179,109,2619,20430,13252,15179,15389,14918,12441,9170,5228,2596,108612
LGA24600,8552,39079,42640,15398,9351,7318,4932,2107,1190,130564,10,85,36,17,11,7,4,0,3,171,140,487,1244,1476,1733,1204,454,93,12,6842,741,2010,2234,1485,1370,1254,803,423,216,10531,120,291,529,579,854,654,262,56,3,3354,73,167,257,322,436,361,156,39,4,1820,62,210,304,394,511,390,201,43,3,2116,59,201,87,168,211,262,149,30,3,1177,3,47,33,30,26,34,21,0,0,181,3,38,113,109,108,79,38,0,0,491,0,6,0,0,0,0,0,0,0,10,1207,3454,4793,4567,5248,4236,2083,689,242,26516,1219,3531,4830,4584,5253,4244,2089,685,248,26685,9774,42615,47473,19980,14602,11560,7020,2797,1432,157254
LGA24650,32786,16923,20277,22285,16480,12096,7296,2697,844,131679,19,31,15,17,12,5,7,7,0,105,5,11,15,23,23,8,5,0,0,96,431,414,506,341,235,230,171,107,47,2481,3,11,18,11,19,22,7,3,0,87,3,7,0,5,5,7,6,5,0,37,3,8,7,12,7,10,4,0,0,44,3,0,9,3,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,450,449,553,395,290,283,192,118,47,2777,470,480,564,412,300,291,196,126,46,2885,33251,17400,20838,22696,16784,12387,7491,2822,892,134565
LGA24780,9895,6200,6085,5839,6703,6652,5046,2954,1356,50736,11,11,8,6,4,6,7,12,3,70,18,50,46,35,65,70,44,10,15,352,191,322,327,202,214,272,236,125,53,1931,7,10,8,8,16,25,20,3,0,96,16,40,50,48,54,72,79,40,3,405,0,3,0,3,10,18,8,6,0,47,0,5,0,4,6,4,8,7,0,36,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,7,3,0,0,13,0,0,0,0,0,0,0,0,0,0,239,428,438,308,361,458,396,196,68,2895,248,439,444,318,362,470,402,207,68,2963,10144,6636,6525,6158,7066,7122,5448,3163,1432,53697
LGA24850,8265,5092,4978,5005,5601,4796,3289,1510,543,39073,13,9,6,3,3,10,5,6,0,53,9,36,20,11,12,21,10,4,3,123,118,228,155,93,101,122,76,50,30,975,6,61,53,15,15,23,8,0,0,175,3,14,7,9,3,0,4,0,0,42,3,3,0,3,3,5,0,3,0,29,3,0,5,0,3,10,7,3,0,37,0,7,12,0,3,0,0,0,0,20,0,0,0,3,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,138,346,257,138,148,184,111,56,32,1413,155,353,264,142,149,191,114,62,36,1464,8426,5446,5243,5146,5750,4987,3396,1572,577,40537
LGA24900,4960,2839,2521,2773,3567,3834,3418,2135,875,26921,3,3,6,6,4,3,4,5,5,46,3,13,11,12,12,25,15,12,4,117,97,128,124,70,101,145,177,103,34,986,3,0,3,0,7,23,5,3,0,52,0,9,4,16,8,3,4,3,0,46,0,0,3,3,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,5,0,0,4,3,0,0,0,13,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,109,159,147,111,134,199,212,125,35,1235,112,167,157,120,139,204,211,128,39,1283,5078,3009,2676,2892,3705,4033,3628,2267,923,28202
LGA24970,28399,29453,26180,22836,22432,17687,14299,10403,4803,176485,7,30,20,14,17,8,11,12,3,129,14,65,46,52,52,59,14,10,4,326,468,845,849,527,448,367,329,328,219,4380,3,32,29,26,42,24,23,3,0,186,6,13,6,6,12,9,3,3,0,65,6,36,20,21,14,13,18,3,0,131,0,26,4,3,4,7,5,6,0,58,3,12,0,0,4,8,0,0,0,25,0,18,18,5,0,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,509,1048,976,638,577,485,405,358,228,5221,513,1083,996,654,598,493,418,369,231,5349,28905,30535,27175,23496,23031,18181,14716,10770,5034,181838
LGA25060,19166,13815,17868,15990,15436,12190,8867,6011,2799,112146,13,3,18,16,12,7,12,9,4,96,0,11,23,14,20,25,13,3,0,114,263,388,553,363,283,204,184,141,68,2449,3,7,22,19,33,20,27,4,0,137,3,10,4,8,10,18,11,4,3,70,3,18,13,19,6,13,9,3,0,82,0,0,0,3,4,11,3,0,0,25,6,0,4,0,0,0,0,0,0,11,0,0,7,0,3,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,278,442,631,428,357,279,244,160,75,2911,297,448,655,440,371,287,253,170,77,3005,19468,14266,18521,16432,15809,12480,9121,6178,2878,115153
LGA25150,6286,3605,3348,4098,4550,3889,2999,1185,457,30423,0,0,3,10,5,3,4,4,3,33,4,3,0,3,0,9,3,5,0,22,106,160,145,94,90,104,71,52,18,834,3,4,7,6,5,3,5,0,0,34,0,0,0,0,3,0,0,0,0,8,0,4,3,0,0,3,0,0,0,10,0,0,0,0,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,164,157,101,105,117,81,52,19,919,116,172,155,108,113,123,91,56,17,953,6403,3774,3505,4210,4658,4012,3094,1248,479,31378
LGA25250,25526,19249,34031,24709,18516,13327,9086,8046,4083,156575,20,18,24,19,20,10,24,18,5,158,10,20,33,29,27,35,28,7,5,198,353,532,766,405,428,365,260,244,138,3492,4,21,19,15,15,28,15,7,0,125,5,13,22,9,7,13,11,0,0,88,8,13,18,0,11,22,20,3,0,94,0,7,5,0,10,17,9,3,0,53,0,3,6,5,0,0,3,0,0,20,5,3,11,0,3,0,12,0,0,34,0,0,0,0,0,0,0,0,0,0,395,609,879,473,502,476,361,268,139,4099,415,629,903,486,523,481,386,282,146,4255,25936,19872,34934,25196,19035,13816,9472,8324,4233,160825
LGA25340,26076,15365,12619,17068,20272,19347,18315,10824,4707,144597,19,25,22,19,19,25,30,20,8,191,13,42,72,34,27,34,57,8,3,295,530,674,654,504,524,642,658,359,188,4737,14,47,44,33,37,40,42,11,5,270,12,9,3,4,11,14,16,3,0,78,11,21,20,6,18,19,13,6,0,103,5,5,3,13,6,10,11,3,0,66,6,8,5,0,3,3,0,0,0,28,0,9,12,0,0,3,3,0,3,34,0,0,0,0,0,0,0,0,0,0,583,818,821,598,626,762,805,395,201,5610,605,849,841,615,644,785,842,413,211,5808,26686,16216,13457,17683,20917,20139,19154,11237,4918,150401
LGA25430,2737,1537,1471,2063,2678,2975,2390,1222,529,17604,4,4,0,3,4,4,3,0,0,31,0,3,3,3,7,6,4,3,0,32,44,96,69,72,73,87,100,44,24,604,0,3,3,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,12,0,0,0,0,3,6,0,7,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,101,73,77,84,118,111,53,21,690,53,105,75,79,85,122,117,53,23,717,2787,1640,1544,2147,2767,3097,2506,1276,555,18317
LGA25490,3275,1573,1448,1884,2245,2296,1640,768,340,15468,8,6,3,0,8,3,5,4,3,34,0,0,6,0,0,12,3,0,0,28,43,65,77,57,58,89,61,27,15,478,5,7,4,4,5,4,0,0,3,31,3,0,4,7,8,10,6,0,0,33,5,0,3,3,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,73,92,70,73,117,77,26,16,596,60,79,95,68,77,117,85,27,18,626,3331,1649,1544,1957,2321,2417,1722,802,360,16096
LGA25620,2118,1082,1032,1505,1872,2130,1842,771,287,12633,10,4,0,3,3,0,3,3,0,26,0,0,0,4,3,4,3,0,0,22,53,81,82,58,77,78,83,16,10,543,0,0,3,3,8,3,0,0,0,17,3,0,0,6,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,52,85,84,78,89,95,86,16,15,606,60,88,85,77,94,99,91,17,14,640,2178,1175,1119,1580,1968,2233,1933,785,302,13271
LGA25710,11807,8257,5307,7759,9726,8368,4965,1789,647,58631,7,7,0,3,10,5,4,4,0,32,4,3,8,3,3,11,7,3,4,39,136,170,217,105,88,106,95,51,28,986,0,5,8,5,4,6,9,0,0,41,0,0,6,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,3,0,15,3,0,4,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,146,179,239,121,93,130,120,58,33,1118,154,185,244,119,99,134,121,55,41,1157,11963,8444,5552,7880,9829,8499,5091,1852,687,59786
LGA25810,1651,1100,1001,1135,1540,1695,1481,775,375,10746,3,0,4,0,0,4,3,3,0,18,0,0,3,0,3,11,9,0,0,25,55,79,79,54,64,72,57,27,13,486,0,3,3,0,3,0,0,0,0,12,5,3,7,6,6,37,18,3,3,87,0,0,3,0,0,3,8,0,0,14,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,85,96,65,78,123,88,33,12,636,59,86,97,65,78,131,92,34,13,657,1708,1183,1091,1196,1619,1826,1572,812,388,11403
LGA25900,11417,8971,24935,17201,12812,9561,6473,2990,1328,95682,0,9,17,6,5,8,4,3,4,63,21,34,99,135,140,113,43,10,3,600,248,434,740,477,420,345,252,101,44,3064,12,34,85,60,94,64,39,11,3,405,3,6,25,37,23,40,20,4,0,164,4,20,24,17,40,55,20,16,0,197,0,13,16,13,23,35,5,4,0,112,0,8,4,0,8,0,0,0,0,16,0,4,10,6,7,9,0,0,0,36,0,0,0,0,0,0,0,0,0,0,298,547,992,749,752,659,390,142,52,4596,300,556,1007,762,761,670,396,146,57,4650,11719,9527,25939,17957,13574,10233,6867,3134,1382,100332
LGA25990,1105,539,534,747,991,1234,1067,426,164,6811,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,11,28,34,33,29,22,21,50,18,7,231,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,37,31,24,26,52,15,7,253,31,36,37,32,25,27,52,15,7,261,1134,571,566,783,1012,1267,1120,448,174,7068
LGA26080,309,185,115,187,297,417,517,334,133,2486,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,14,4,18,16,18,16,31,32,9,11,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,18,18,22,39,36,12,11,174,4,21,18,18,22,34,36,12,11,175,321,203,124,205,320,456,549,344,140,2657
LGA26170,4954,2553,2372,2843,3735,4116,3543,1757,758,26627,0,3,0,3,8,3,5,10,3,35,3,9,3,0,6,3,7,3,0,31,77,151,141,79,90,145,138,50,36,911,3,3,3,3,0,10,3,0,0,30,3,0,3,3,0,0,6,0,0,18,4,0,5,4,0,5,0,0,0,17,0,3,3,0,7,3,0,0,0,17,0,0,4,0,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,94,167,158,88,105,165,158,63,40,1032,93,171,159,94,108,176,160,73,41,1071,5046,2723,2525,2936,3848,4290,3707,1823,797,27697
LGA26260,2669,1605,1357,1569,2040,2217,1777,1024,536,14792,5,0,7,0,4,3,3,5,0,34,0,3,0,0,3,8,3,0,0,18,43,115,87,54,79,72,44,25,18,541,0,0,0,3,5,3,3,0,0,17,6,14,3,3,7,11,3,0,0,39,0,0,0,0,0,3,3,0,0,12,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,132,98,62,100,93,61,29,19,640,60,128,104,66,108,100,60,32,20,672,2726,1734,1460,1637,2144,2317,1835,1055,555,15462
LGA26350,12469,13571,23433,13450,11539,9446,7590,4669,2274,98437,3,12,6,12,3,10,11,3,0,63,11,34,121,85,92,65,42,7,3,464,225,447,677,399,325,332,299,220,147,3068,3,16,49,20,36,33,17,3,0,174,0,8,34,16,22,24,13,3,0,124,3,6,29,23,22,27,22,3,0,144,0,4,8,5,8,14,10,3,0,47,4,3,4,0,4,8,0,0,0,19,0,5,5,4,3,5,3,0,0,34,0,0,0,0,0,0,0,0,0,0,250,529,925,551,520,507,400,236,152,4068,256,537,934,560,525,518,409,237,154,4133,12724,14111,24367,14009,12068,9959,7996,4907,2429,102571
LGA26430,1469,774,756,917,1285,1680,1487,799,354,9530,3,4,3,4,3,0,0,3,0,22,0,4,0,3,6,4,3,0,0,15,43,51,49,25,43,68,55,29,10,381,0,0,0,0,3,0,5,0,0,12,0,0,3,0,0,4,0,4,0,11,0,0,0,0,3,0,3,0,0,13,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,64,53,35,56,81,67,29,14,438,52,69,54,34,58,86,62,38,14,459,1516,841,816,953,1346,1763,1548,840,369,9992
