LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA22170,50862,53412,104271,1473,1584,3051,130,130,263,5719,6084,11801,149,149,295,21,30,50,60,57,118,21,27,52,21,25,42,12,16,29,0,0,0,6136,6518,12661,400,505,903,150,134,279,8158,8738,16894,5470,5738,11212,64485,67890,132377
LGA22250,4280,4315,8594,214,234,445,32,40,70,153,173,322,25,21,45,3,0,5,6,6,13,0,0,0,4,3,7,0,3,3,0,0,0,222,246,465,3,3,10,11,12,21,451,491,944,474,445,916,5196,5246,10449
LGA22310,51914,55784,107702,1515,1547,3065,230,225,461,6677,6926,13602,154,165,323,78,73,153,117,99,223,33,37,70,13,13,26,33,30,63,0,0,4,7330,7584,14914,1830,2189,4015,122,113,232,10798,11434,22233,4617,4694,9313,67333,71920,139251
LGA22410,7825,7816,15639,451,493,940,29,29,50,328,340,675,27,29,51,32,57,89,12,17,36,3,6,16,3,3,7,3,0,3,0,0,0,440,485,926,10,20,34,15,18,37,919,1011,1938,905,868,1774,9652,9699,19350
LGA22490,9130,8791,17927,192,195,383,24,21,40,771,750,1513,20,17,34,12,8,17,9,13,19,0,0,3,8,9,10,0,0,0,0,0,0,837,810,1644,18,19,32,25,17,44,1069,1036,2107,701,704,1404,10902,10532,21432
LGA22620,41117,43151,84267,1485,1719,3211,215,218,428,4814,5464,10280,157,146,303,78,88,171,72,72,144,39,48,86,36,43,80,15,11,24,0,0,0,5429,6092,11520,252,330,581,105,78,174,7266,8217,15484,4596,4840,9430,52983,56206,109187
LGA22670,58488,57603,116089,2480,2047,4528,221,177,397,6568,5579,12147,172,141,316,137,91,229,99,70,170,30,36,67,33,27,61,19,19,36,0,0,0,7280,6134,13421,2103,2380,4475,202,134,337,12066,10696,22766,5900,5192,11093,76452,73491,149949
LGA22750,85747,91551,177291,4278,4726,9008,318,348,667,9608,10658,20270,325,335,658,116,124,240,169,168,331,54,73,124,72,66,140,44,57,107,0,0,0,10708,11831,22539,1119,1064,2188,195,206,402,16301,17836,34133,9834,9530,19368,111882,118911,230791
LGA22830,24034,24357,48393,1324,1432,2755,125,121,252,1935,2060,3997,108,109,221,36,35,68,39,27,63,19,28,47,30,21,50,7,5,11,0,0,0,2298,2414,4704,279,338,613,54,53,111,3948,4236,8187,3315,3135,6448,31287,31732,63026
LGA22910,5869,6142,12004,233,290,526,21,28,47,424,491,910,19,20,38,3,3,5,5,14,23,3,0,0,3,3,10,0,0,0,0,0,0,484,558,1041,23,35,60,9,15,23,746,903,1654,714,828,1542,7324,7873,15196
LGA22980,2346,2351,4691,102,126,225,10,11,21,98,95,193,8,5,11,19,10,28,3,0,8,0,0,0,6,7,8,0,0,3,0,0,0,135,131,267,11,11,18,4,10,12,251,271,520,230,234,463,2819,2848,5674
LGA23110,33890,35257,69145,1182,1245,2425,158,168,333,3430,3435,6864,116,128,239,42,45,86,80,78,155,18,26,42,18,11,30,18,22,35,0,0,0,3865,3922,7790,665,709,1371,65,86,147,5777,5963,11738,3308,3353,6664,42976,44573,87547
