LGA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
LGA22310,0,0,3,11,9,17,12,13,5,76,0,3,32,194,65,75,58,25,13,469,0,5,11,69,6,3,0,0,0,92,5,7,20,73,9,7,0,0,0,115,0,0,3,3,8,5,5,0,0,25,0,4,0,21,14,8,11,4,0,58,18,78,51,159,79,55,29,5,8,483,0,15,65,151,52,39,16,3,0,332,0,0,0,20,8,3,7,3,3,47,0,0,3,23,15,18,10,4,0,74,51,244,266,1500,758,751,757,415,201,4941,177,310,383,1122,484,370,294,207,138,3488,4311,8902,8838,20552,9069,7298,4954,2670,1545,68140,0,0,3,3,0,0,0,0,0,8,3812,6854,5571,10564,5849,4386,2291,1495,1207,42026,4,0,6,48,4,3,0,0,0,61,0,0,0,14,10,4,11,4,0,46,0,0,4,24,4,6,3,0,0,38,7,14,20,76,32,11,9,3,0,166,0,0,0,26,15,4,12,3,0,68
LGA22410,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,3,0,0,0,0,10,0,6,0,8,6,15,8,3,4,52,31,75,94,185,149,164,138,94,30,957,465,1143,1132,1814,1496,1581,1260,642,210,9749,0,0,0,0,0,0,0,0,0,0,474,978,856,1649,1191,1271,908,490,276,8095,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA22490,0,0,0,0,8,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,9,8,25,15,10,8,72,39,60,66,160,131,128,102,35,10,729,710,1815,1308,2539,1631,1484,1086,365,83,11019,0,0,0,0,0,0,0,0,0,0,688,1568,1064,2318,1323,1047,643,209,93,8942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA22620,0,0,0,0,3,0,3,3,0,13,0,15,6,30,16,11,5,5,3,89,0,0,0,16,0,0,0,0,0,17,11,73,65,28,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,5,11,16,11,17,16,0,0,80,0,6,4,18,4,0,0,0,0,33,0,4,3,3,8,5,6,6,0,36,0,3,3,10,4,0,3,0,0,15,3,29,52,74,45,51,44,24,9,319,203,410,429,910,599,581,500,303,131,4068,3597,7342,7257,12849,6780,6734,5270,2768,988,53587,0,6,5,14,0,0,0,0,0,28,3222,6129,6557,11583,6088,6067,4463,2578,1399,48081,0,3,0,15,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,3,7,23,7,3,3,0,0,54,0,0,0,3,0,0,0,0,0,9
LGA22670,0,0,8,63,50,70,64,51,11,320,21,167,314,1715,425,355,290,126,32,3457,0,6,9,51,8,9,0,0,0,81,15,83,67,254,5,11,0,0,0,442,0,0,13,168,110,107,56,33,9,489,0,4,22,85,109,74,52,25,8,376,7,19,9,19,14,10,4,3,0,90,32,117,431,1942,1534,1295,432,170,81,6045,0,0,0,4,5,3,7,6,0,25,0,0,5,39,0,0,0,0,0,55,42,197,384,1193,638,578,398,212,80,3714,322,505,653,1539,664,555,444,289,97,5078,5379,8735,11449,25033,9147,7796,5712,3189,1106,77550,30,157,395,720,144,53,29,9,4,1533,4297,5687,4844,4949,1832,1790,1586,853,542,26388,3,25,25,165,28,13,0,0,0,263,0,5,54,240,209,158,79,48,9,804,18,87,414,1611,643,499,276,99,35,3671,0,0,9,12,0,4,0,0,4,28,0,0,0,36,51,60,86,28,12,283
LGA22750,0,0,0,15,48,55,66,52,8,246,3,8,47,96,27,18,13,5,0,220,0,7,6,11,4,0,0,0,0,27,7,86,60,42,6,3,0,0,0,210,0,3,4,30,57,96,78,49,7,316,0,3,4,26,23,11,8,9,0,87,12,33,28,87,44,42,39,5,4,283,3,9,41,110,61,34,6,5,0,278,0,3,3,34,23,23,36,13,4,144,0,10,3,43,10,12,3,0,0,79,26,103,186,443,189,264,246,217,99,1781,349,679,817,1756,1047,1031,940,576,270,7473,7427,14283,15311,28809,14323,13682,11092,5929,2351,113214,4,29,60,87,28,8,5,0,0,222,6422,12085,12571,23482,11962,11096,8185,4452,2617,92873,0,3,4,26,3,0,0,0,0,42,0,0,13,50,65,45,27,21,3,222,0,0,3,13,7,12,0,0,0,35,7,15,21,71,25,21,7,6,0,166,0,0,0,6,6,10,6,0,0,30
LGA22830,0,0,0,0,7,0,8,0,0,14,4,11,3,34,13,7,0,0,0,73,0,0,6,25,0,0,0,0,0,35,0,0,3,10,0,0,3,0,0,17,0,0,0,0,0,12,15,9,0,35,0,7,9,36,48,18,15,6,0,132,0,3,6,17,3,3,3,0,0,33,0,0,0,18,7,3,0,0,0,25,0,0,0,0,0,3,3,0,3,14,0,3,3,3,4,0,0,0,0,15,5,63,103,219,94,74,38,23,13,639,165,287,291,692,430,408,356,206,74,2912,2162,4439,4064,7699,4216,3881,3074,1633,543,31713,0,27,115,124,30,3,6,0,0,298,1858,3486,3031,5522,3361,3069,2190,1297,644,24464,0,0,0,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,10,9,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0
LGA22910,0,0,0,0,4,0,0,0,3,14,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,6,5,11,8,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,10,0,0,0,3,0,3,0,0,0,7,0,6,3,16,29,20,22,10,3,101,25,57,72,130,118,159,121,68,34,774,343,824,632,1353,1099,1342,1134,501,151,7382,0,0,0,0,0,0,0,0,0,0,320,781,504,1176,917,1049,750,320,185,6007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,4,0,3,3,7,0,4,0,14,10,19,13,40,30,46,47,12,8,221,139,310,296,515,372,488,399,226,103,2848,0,0,0,0,0,0,0,0,0,0,114,262,239,379,342,375,286,214,143,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23110,0,0,0,7,33,49,26,36,4,160,0,3,11,64,18,13,11,3,0,128,0,0,0,6,0,3,0,0,0,15,14,50,27,44,6,0,3,0,0,138,0,0,3,35,89,69,100,46,6,352,0,0,6,18,6,8,0,3,0,30,8,18,17,53,27,19,5,0,0,146,11,14,21,179,161,158,56,12,5,620,0,3,0,9,9,11,3,0,0,38,0,0,0,10,10,0,0,0,0,20,19,77,87,513,238,194,160,112,48,1448,155,240,253,789,394,355,257,200,79,2714,3137,5200,5155,13117,6127,5022,3248,1893,733,43631,0,0,0,7,0,0,0,0,0,7,2618,4369,3742,7866,4096,2836,1480,881,537,28426,0,0,3,46,4,0,0,0,0,61,0,0,7,22,13,16,3,9,3,77,0,0,3,17,15,17,12,6,0,73,0,3,9,47,20,12,4,3,0,93,0,0,3,20,15,15,13,7,0,66
LGA23190,0,0,0,0,0,0,0,5,0,7,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,3,5,9,9,5,6,5,0,42,29,48,45,149,94,86,70,50,21,600,663,1305,1150,2143,1242,1299,967,588,215,9576,0,0,0,0,0,0,0,0,0,0,525,1115,1022,1983,1128,1172,875,609,340,8769,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
LGA23270,0,0,3,6,17,37,28,21,0,116,17,115,141,619,365,178,90,31,3,1557,0,0,0,10,0,0,0,0,0,19,3,19,22,79,15,3,3,0,0,146,0,4,9,42,49,39,24,11,0,177,16,53,150,948,940,565,277,98,12,3073,9,24,19,51,13,16,10,4,0,139,3,6,23,175,167,130,42,13,7,564,0,0,3,4,7,7,10,5,0,31,0,5,11,29,8,0,0,0,0,58,78,350,385,1436,822,651,366,201,47,4326,489,793,850,1911,903,723,528,251,73,6533,8067,14541,14582,29000,12872,9702,6046,2746,727,98273,0,13,42,48,15,3,4,0,0,126,6657,10926,10060,14665,6366,4579,2505,1163,473,57397,0,6,10,87,16,5,0,0,0,136,0,0,9,53,34,26,15,9,3,149,0,0,0,16,4,3,0,0,0,24,3,8,14,31,16,9,3,0,0,88,0,0,0,15,24,18,16,4,3,83
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,16,0,0,0,7,0,0,0,0,0,6,0,3,0,0,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3,12,11,18,16,13,0,71,22,46,40,84,103,110,95,43,14,566,394,1038,771,1542,1192,1297,1064,441,131,7859,0,0,0,0,0,0,0,0,0,0,368,970,704,1396,1051,1064,768,341,166,6817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA23430,0,0,0,11,22,26,25,14,3,100,0,8,45,248,112,125,122,62,8,730,0,3,3,45,7,3,0,0,0,54,5,20,18,52,11,7,0,0,0,109,0,0,0,7,6,7,6,4,3,33,4,6,14,50,68,44,51,17,5,263,8,30,27,83,36,41,13,3,3,247,5,20,32,180,147,150,80,25,9,645,0,5,3,18,17,13,14,5,5,77,0,4,0,34,20,4,3,0,0,64,50,174,189,1019,508,405,345,235,64,2998,189,326,391,1138,543,545,448,329,193,4100,4598,9114,8896,20632,10426,8469,6238,3723,1542,73637,0,0,6,19,7,3,0,3,0,31,4093,7279,6087,12698,6466,4961,3536,2200,1498,48816,4,3,10,35,21,13,0,0,0,89,0,0,7,33,32,11,5,7,0,102,0,10,19,175,130,108,49,8,18,521,5,14,11,81,26,16,5,3,5,160,0,3,3,42,27,24,22,10,0,136
LGA23670,0,0,0,7,27,26,26,22,5,101,16,64,159,535,302,290,188,51,7,1608,4,3,7,61,9,20,7,0,0,113,3,8,17,60,3,0,0,0,0,104,0,0,0,5,10,4,6,4,0,31,0,0,3,12,13,16,9,6,0,63,7,26,20,49,37,24,20,6,3,181,3,11,22,160,166,146,44,7,6,565,0,0,3,13,23,18,15,13,5,88,0,0,4,23,8,6,6,4,0,56,12,51,111,421,275,288,246,202,90,1689,147,271,342,859,462,459,377,224,95,3237,4605,9374,10312,20116,10538,9564,6483,3213,1102,75317,0,0,6,46,28,16,7,0,0,108,4112,7482,7837,12504,6783,5611,3716,1846,976,50867,0,0,0,16,13,6,0,0,0,36,0,0,0,29,18,11,7,3,0,64,0,0,8,101,80,54,20,15,8,294,4,4,9,27,16,17,8,0,5,90,0,0,0,24,30,26,20,5,3,101
LGA23810,0,0,0,4,0,5,6,11,0,26,0,3,3,25,5,11,3,0,0,59,0,3,0,0,0,0,0,0,0,8,0,6,3,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,4,5,15,18,7,3,3,0,56,0,0,0,12,5,3,0,0,0,26,0,0,0,3,7,8,8,3,3,24,0,0,0,4,5,0,0,0,0,14,4,44,52,99,64,68,95,56,24,499,139,303,390,722,467,496,422,245,96,3279,2266,4547,4641,8368,4728,4956,3738,1887,654,35788,0,0,0,0,0,0,0,0,0,0,1937,3939,3955,7325,3901,3829,2393,1336,589,29210,0,4,0,15,0,0,0,0,0,24,0,0,0,3,0,4,0,3,0,13,0,0,6,5,0,0,0,0,0,16,0,3,4,8,13,6,3,3,0,41,0,0,0,4,3,3,0,0,0,9
LGA23940,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,5,3,30,9,56,41,87,66,87,88,40,19,488,160,431,318,627,520,737,632,307,110,3848,0,0,0,0,0,0,0,0,0,0,158,375,282,475,428,481,377,236,123,2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA24130,0,0,0,0,0,3,3,3,0,14,0,0,0,4,3,7,3,0,0,24,0,3,8,27,0,0,0,0,0,36,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,11,0,0,0,4,3,0,0,0,0,8,0,4,7,14,17,18,14,5,0,69,0,0,0,4,3,0,0,0,0,5,0,0,0,9,7,6,6,4,0,36,0,0,0,0,6,3,0,0,0,11,3,6,10,41,48,31,38,24,6,208,83,153,157,345,298,278,230,117,35,1711,1477,3348,2625,4842,3459,3109,2516,1008,296,22685,0,0,0,0,0,0,0,0,0,0,1330,2931,2181,4362,2848,2380,1713,645,311,18694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,20,4,8,3,0,0,39,0,0,0,3,0,4,0,0,0,7
LGA24210,0,0,0,4,12,14,12,13,4,55,0,16,18,91,53,56,59,16,9,327,5,20,38,153,26,36,37,5,0,321,3,5,15,21,7,3,7,3,0,63,0,0,0,11,18,28,31,17,4,119,0,3,0,11,20,22,12,7,3,83,9,35,39,35,25,13,22,3,4,180,0,0,31,120,117,123,41,15,0,453,0,0,0,7,5,9,7,3,0,31,0,0,0,15,13,9,6,0,0,45,12,64,86,325,225,241,215,173,88,1431,81,208,239,537,339,328,267,267,142,2416,2882,6834,7721,13003,7899,6827,5601,4114,1423,56306,0,0,0,7,5,0,0,0,0,19,2415,5133,4993,6348,4516,3262,2996,2022,1072,32760,0,0,0,11,3,4,0,0,0,29,0,0,0,4,9,4,0,0,0,19,0,0,0,13,17,11,5,0,0,52,0,7,11,26,10,13,5,7,3,75,0,3,0,5,10,7,3,0,3,36
LGA24250,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,5,10,9,3,43,19,41,34,92,66,71,73,27,5,429,220,548,425,763,572,711,680,267,81,4272,0,0,0,0,0,0,0,0,0,0,196,502,315,658,450,538,455,207,93,3417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3
LGA24330,0,0,3,10,16,14,13,10,9,71,0,7,60,145,20,9,8,0,0,260,0,0,7,43,0,3,0,0,0,55,5,11,14,49,11,0,3,0,0,91,0,0,3,25,35,52,62,41,7,220,0,0,0,39,24,15,5,4,0,91,6,5,13,78,27,11,3,0,0,149,18,56,326,1171,716,735,284,114,46,3458,0,0,0,15,7,3,3,0,0,30,0,0,0,28,3,3,0,0,0,35,31,53,283,934,306,180,116,78,19,2004,187,222,417,1210,376,294,197,132,77,3101,2945,3803,5710,16855,4908,3613,1939,1109,522,41405,0,0,0,3,0,0,0,0,0,10,2381,3084,3163,7781,2428,1411,561,376,350,21540,4,13,31,160,10,3,0,0,0,210,0,3,6,30,16,24,16,7,0,102,0,4,0,18,16,19,6,3,0,61,0,3,11,53,8,4,3,0,0,89,0,0,3,23,17,16,20,6,4,92
LGA24410,0,0,0,0,6,15,10,9,3,39,0,14,19,146,39,48,36,10,3,306,0,4,3,41,5,8,3,0,0,62,7,47,43,41,4,0,0,0,0,147,0,0,0,0,3,3,3,0,0,11,0,3,0,13,11,0,0,0,0,23,4,22,22,51,34,20,22,4,0,182,3,3,10,64,44,41,21,9,0,192,0,0,0,5,15,13,11,4,5,64,0,0,5,23,8,5,0,0,0,46,8,57,76,258,137,126,120,93,33,904,134,235,235,655,361,317,233,182,90,2429,3802,6877,6834,15004,7239,6048,4344,2344,900,53398,0,0,0,12,0,4,0,0,0,23,3275,5568,5327,10451,5573,4469,3332,1803,1031,40832,0,4,0,19,5,0,0,0,0,33,0,0,3,6,3,7,0,0,0,30,0,0,8,37,25,17,10,6,0,99,0,6,11,37,19,10,4,4,0,85,0,0,0,9,16,14,8,4,0,52
LGA24600,0,0,0,14,6,9,3,3,0,40,0,5,92,203,17,16,5,3,0,349,4,0,190,444,11,7,3,3,0,663,3,6,210,403,12,0,0,0,0,638,0,5,0,29,11,4,3,0,0,59,0,0,12,85,14,14,6,5,0,140,7,37,102,274,62,32,21,7,0,542,3,23,195,301,91,88,35,20,5,762,0,0,12,20,8,4,5,6,0,46,0,0,8,32,8,3,0,0,0,50,61,78,873,2176,246,144,111,84,9,3786,257,258,1810,3647,666,548,419,166,111,7888,2174,2219,18066,30792,4840,3832,2657,1091,459,66137,0,3,3,11,3,0,0,0,0,17,1560,1401,4454,8312,2081,1853,1248,526,292,21721,0,0,24,32,0,5,0,0,0,67,0,0,0,25,5,11,3,0,0,48,0,0,27,21,3,0,3,0,0,64,8,3,64,178,15,16,0,0,3,287,0,0,9,100,9,6,4,3,3,131
LGA24650,0,0,0,30,33,40,29,19,3,157,0,46,45,277,134,70,38,6,3,620,0,0,6,15,0,0,0,0,0,27,4,20,20,35,3,0,3,0,0,82,3,3,10,151,149,139,97,15,3,567,0,0,3,39,44,26,14,6,0,132,8,26,12,46,15,11,6,0,0,124,6,27,44,378,196,117,36,11,9,816,0,0,0,5,7,11,6,3,0,35,0,3,8,31,18,0,0,0,0,64,19,255,415,1220,653,451,281,87,21,3402,334,628,490,1339,601,463,315,139,23,4333,5817,11072,8906,21265,8331,6018,3834,1332,310,66890,0,0,6,43,15,6,3,0,0,68,5171,8875,6334,13121,4394,3012,1576,610,259,43350,0,8,3,64,5,7,0,0,0,91,0,0,12,113,68,38,18,3,0,257,0,0,0,16,7,8,0,0,0,33,0,4,4,30,3,3,3,0,0,46,0,3,10,95,66,47,36,9,4,271
LGA24780,0,0,0,0,0,12,5,3,3,24,0,3,3,24,9,0,4,0,0,45,0,0,6,36,0,0,0,0,0,49,4,7,4,11,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,5,28,52,23,24,8,0,143,0,0,3,5,8,4,0,0,0,17,0,0,3,21,14,21,10,0,0,75,0,0,0,0,3,0,3,0,0,7,0,0,0,4,3,0,0,0,0,8,5,20,30,111,48,49,36,23,10,336,101,248,278,608,384,416,340,208,72,2663,1698,3536,3385,6197,3447,3548,2751,1382,531,26481,0,16,19,38,12,5,3,0,0,94,1522,2988,2747,5018,2862,2811,2000,1222,643,21820,0,0,0,7,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,6,10,3,3,0,0,0,23,0,0,0,3,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,3
LGA24850,0,0,0,0,0,4,0,0,0,8,0,3,3,27,3,3,4,0,0,36,0,0,0,3,0,0,0,0,0,4,0,0,10,8,0,0,0,0,0,15,0,0,3,3,11,6,3,0,0,26,0,0,3,7,12,0,0,0,0,16,5,9,10,11,0,0,0,3,0,32,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,4,0,0,15,0,0,4,3,8,0,0,0,0,14,0,8,14,34,39,42,32,28,10,211,89,172,193,466,301,308,196,101,45,1866,1509,2879,2858,5076,2870,2594,1784,760,237,20570,0,0,0,0,0,0,0,0,0,0,1234,2443,2145,4173,2237,1801,1214,557,223,16026,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,10,0,0,3,12,8,3,3,0,0,26,0,0,0,3,0,0,3,0,0,6
LGA24900,0,0,0,0,0,0,5,7,0,9,0,0,0,5,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,3,5,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,14,11,15,0,67,51,105,120,239,169,237,227,132,50,1341,834,1822,1634,2737,1841,2123,1962,1175,387,14514,0,0,0,0,0,0,0,0,0,0,705,1566,1275,2314,1558,1671,1465,911,436,11909,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,4,0,0,0,6,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,4
