LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA24650,1465,1597,3059,155,217,367,9,4,15,8,15,27,69,20,83,24080,17787,41869,1305,1629,2931,525,7,530,126,6,140,43,32,69,198,94,292,219,244,462,28202,21651,49853,231,218,454,0,0,0,52,59,111,567,483,1045,56,128,185,25,9,37,934,900,1834,0,0,0,0,0,0,22,19,36,21,32,55,3,4,9,45,49,94,242,122,361,1216,1072,2295,250,298,546,3,3,4,15,3,19,267,304,568,549,1093,1642,1844,3241,5082,316,266,588,32402,27631,60028
LGA24780,4,3,9,78,39,119,7,0,6,4,0,3,13,13,24,8430,7511,15945,657,749,1406,150,5,159,76,8,86,93,32,128,102,42,148,460,382,841,10087,8778,18864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,4,11,15,0,0,0,7,13,17,47,46,90,56,51,115,0,0,0,0,0,0,12,3,17,14,3,21,525,556,1082,810,1304,2111,181,135,312,11669,10835,22501
LGA24850,257,266,523,21,18,40,0,0,0,0,4,4,4,5,7,7211,5480,12693,420,359,780,213,3,218,31,3,36,45,0,52,45,27,76,318,189,512,8575,6356,14933,17,17,36,0,0,0,3,11,19,97,86,182,17,20,32,5,0,7,145,129,275,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,4,3,9,77,27,105,225,162,385,49,40,93,0,0,0,3,0,3,50,40,94,313,458,773,745,1229,1972,144,106,246,10052,8355,18406
LGA24900,0,0,6,16,14,28,0,0,0,0,0,0,3,4,3,4122,3476,7600,269,250,520,105,5,107,65,12,74,79,24,104,54,34,93,320,289,613,5044,4113,9159,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,3,0,5,35,23,60,43,24,68,0,0,3,0,0,0,4,0,4,5,0,8,551,456,1012,547,836,1389,93,84,178,6281,5522,11806
LGA24970,4193,3243,7432,580,860,1441,15,0,17,50,40,95,90,38,128,27009,21585,48594,1169,2015,3183,285,5,291,222,16,234,499,97,595,262,126,382,914,945,1861,35289,28975,64262,707,555,1258,0,0,0,245,238,478,919,605,1519,99,197,302,91,31,122,2056,1622,3677,0,0,0,14,19,37,31,19,46,36,78,113,18,13,28,95,126,225,252,178,427,2403,1930,4331,522,468,991,14,13,25,11,0,12,547,481,1028,1634,1834,3467,2531,4137,6667,338,274,610,42741,37635,80373
LGA25060,2611,2619,5229,148,220,360,9,3,13,789,1300,2086,61,59,119,18023,14790,32816,755,1365,2120,207,3,212,257,34,292,812,255,1073,188,124,316,590,708,1293,24452,21473,45929,432,417,849,0,3,3,514,511,1023,311,306,618,53,88,146,55,25,77,1363,1346,2711,0,0,0,53,69,124,24,33,54,9,14,24,0,5,8,85,128,214,229,242,466,1677,1713,3393,283,327,607,4,15,17,14,7,22,302,353,655,915,1224,2145,1822,3347,5165,245,233,477,29417,28346,57761
LGA25150,255,272,523,19,33,49,0,0,0,3,4,6,9,3,11,5435,4406,9832,302,320,622,189,8,196,30,0,33,21,0,23,44,21,66,164,125,289,6468,5186,11660,25,10,38,0,0,0,12,17,33,100,60,157,12,19,34,15,0,15,156,116,274,0,0,0,0,0,0,3,0,3,4,0,8,0,0,0,8,0,13,79,19,97,239,138,377,50,58,107,3,0,3,3,0,4,55,57,116,348,417,765,587,966,1553,90,77,169,7782,6843,14632
LGA25250,4111,3758,7874,253,374,620,9,4,11,3149,4199,7350,140,70,210,21715,16548,38257,968,1500,2470,282,8,291,407,61,469,2783,1729,4509,288,143,438,919,1102,2025,35026,29495,64513,349,336,679,0,0,0,671,709,1376,314,288,605,59,105,160,149,75,227,1538,1514,3057,0,0,0,155,298,447,13,23,40,8,20,24,10,12,19,185,342,530,486,456,942,2211,2317,4524,375,377,752,26,31,56,40,33,68,439,439,878,1236,1580,2815,2412,4426,6838,459,316,778,41781,38570,80352
LGA25340,301,146,454,211,148,361,15,13,21,15,10,24,18,15,35,25586,21803,47394,1354,1402,2752,590,11,600,104,12,112,172,49,221,251,134,390,1033,704,1744,29654,24450,54101,57,27,92,0,0,0,10,3,14,319,164,479,14,30,47,5,0,5,405,225,629,0,0,0,0,3,3,7,11,20,25,29,59,9,3,11,36,49,89,259,112,372,699,391,1088,97,70,163,4,5,10,8,9,17,108,84,193,1772,2584,4352,2520,4549,7070,344,341,690,35097,32401,67498
LGA25430,121,114,230,8,11,16,0,0,0,5,0,7,3,4,4,2359,2141,4496,158,155,308,44,0,45,17,0,17,51,29,80,26,9,35,163,148,313,2953,2603,5560,7,4,12,0,0,0,5,5,14,39,14,57,9,8,16,20,5,26,79,43,115,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,5,29,16,47,109,60,171,33,27,55,0,0,0,0,0,3,35,24,60,329,347,680,367,621,984,55,60,110,3845,3714,7558
LGA25490,4,0,4,12,7,21,0,0,0,0,0,4,0,0,0,2488,2136,4627,101,133,238,95,3,100,73,7,84,28,10,37,62,21,86,271,164,437,3140,2490,5633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,7,9,32,11,40,32,15,48,0,0,0,0,0,0,3,0,3,6,0,6,616,466,1084,323,525,851,63,55,120,4183,3543,7730
LGA25620,12,9,17,23,15,36,0,0,0,3,3,3,0,0,0,2115,1690,3804,105,101,206,60,3,60,24,3,27,25,0,24,33,23,52,153,144,295,2539,1989,4530,0,0,0,0,0,0,0,0,0,23,18,35,0,0,4,0,0,0,24,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,4,27,45,20,71,3,0,3,0,0,0,3,0,3,6,0,6,288,257,542,279,441,721,44,38,81,3204,2746,5954
LGA25710,980,751,1727,93,98,189,5,0,4,3,7,15,17,3,17,11651,10019,21665,492,605,1100,268,5,273,96,5,107,107,18,120,103,48,155,195,193,389,14010,11767,25773,90,51,145,0,0,0,37,32,68,353,255,608,45,61,107,36,3,37,561,412,970,0,0,0,0,0,0,23,20,39,9,22,30,0,0,0,32,39,67,86,52,138,676,504,1180,105,80,179,3,0,4,10,0,11,117,81,197,796,1150,1942,1117,2134,3250,114,123,241,16825,15755,32575
LGA25810,5,4,10,7,9,14,0,0,0,0,3,3,0,0,0,1699,1423,3127,116,125,242,55,4,60,6,0,7,23,3,29,39,17,56,145,139,288,2105,1728,3831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,9,7,20,9,5,19,0,0,0,3,0,3,0,0,0,3,0,3,193,181,370,215,358,575,39,26,61,2561,2292,4859
LGA25900,1641,1698,3346,349,462,808,17,3,21,4114,4872,8986,113,103,218,12911,11142,24052,524,930,1451,66,7,75,404,72,482,1711,890,2603,242,173,413,2091,2338,4436,24191,22690,46882,102,124,227,0,0,0,536,554,1091,51,58,116,8,15,30,49,44,94,749,801,1547,0,0,0,105,170,273,9,8,19,6,6,13,14,16,26,131,209,333,390,367,759,1263,1374,2640,196,187,382,13,23,38,36,35,70,247,244,486,1503,1723,3231,1549,2553,4104,196,170,365,28954,28756,57705
LGA25990,0,5,5,3,5,4,0,0,0,0,0,0,0,0,0,899,745,1648,41,68,110,46,8,55,3,0,8,3,0,10,18,4,21,68,37,111,1086,876,1955,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,16,17,6,21,0,0,4,0,0,0,0,0,0,3,0,6,176,141,318,124,190,320,27,21,47,1427,1235,2664
LGA26080,12,5,13,0,3,3,0,0,0,0,0,0,0,0,0,310,286,594,8,17,26,9,0,9,3,0,3,8,5,16,7,0,6,30,28,62,390,343,732,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,12,4,15,8,3,14,0,0,0,0,0,0,9,3,14,51,59,109,64,97,163,3,7,11,534,514,1046
LGA26170,5,5,10,31,18,44,0,0,0,3,4,3,4,0,4,4060,3445,7503,218,235,454,109,9,118,57,9,71,29,9,34,68,30,99,380,284,665,4963,4045,9007,0,4,4,0,0,0,0,0,0,16,5,19,0,0,0,0,0,0,15,8,18,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,4,9,43,23,64,62,33,93,8,6,11,0,0,0,3,0,6,10,8,12,717,701,1417,578,908,1486,81,90,171,6414,5775,12184
LGA26260,4,0,4,14,4,18,0,0,0,0,3,4,6,7,11,2400,2136,4540,132,141,272,58,3,63,16,11,30,18,9,27,50,20,68,275,199,474,2983,2524,5506,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,18,10,23,20,10,27,3,0,0,0,0,0,0,0,0,3,0,0,437,365,804,284,518,796,55,53,105,3783,3461,7250
LGA26350,4887,4486,9374,192,242,435,7,3,15,1268,1769,3034,78,59,138,13391,11314,24704,420,892,1313,48,5,54,219,24,247,1126,420,1540,185,136,322,1850,2254,4102,23675,21602,45281,207,180,391,0,0,0,721,811,1534,160,151,315,38,41,86,100,64,162,1237,1245,2480,0,0,0,46,49,100,0,10,18,3,3,4,4,3,8,55,67,122,238,180,425,1527,1501,3027,201,200,401,4,5,10,21,12,32,223,216,444,1431,1690,3123,1613,2644,4256,212,190,406,28684,27850,56530
LGA26430,7,9,15,6,7,15,0,0,0,3,0,3,0,0,0,1435,1264,2699,89,88,172,56,0,52,14,3,12,11,15,31,23,11,30,136,112,245,1774,1498,3270,0,0,0,0,0,0,0,0,3,6,3,8,0,0,0,0,0,3,10,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,27,30,18,45,0,5,8,0,0,0,0,0,0,0,7,5,277,248,532,181,275,454,40,29,62,2292,2075,4369
LGA26490,108,75,183,45,31,76,0,0,0,7,6,18,3,0,9,5016,4211,9228,255,238,487,94,0,94,25,3,22,58,29,92,52,29,83,215,210,425,5870,4834,10703,0,0,3,0,0,0,4,3,6,89,41,128,0,6,5,3,0,0,89,56,148,0,0,0,0,0,0,0,4,3,3,9,10,3,0,4,8,8,18,38,20,58,141,86,225,39,29,60,0,3,3,0,0,0,36,27,66,567,680,1241,634,1061,1693,71,77,147,7313,6770,14079
LGA26610,4,0,5,12,18,30,3,0,3,0,0,0,7,3,13,3277,2480,5756,245,252,496,48,0,48,18,3,18,44,12,59,43,12,57,272,283,551,3972,3067,7040,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,24,8,27,27,13,35,0,0,0,0,0,0,4,0,4,9,0,9,279,285,568,262,495,761,92,74,164,4637,3934,8568
LGA26670,0,0,0,5,8,10,0,0,0,0,0,0,0,0,0,852,691,1549,37,51,86,24,5,32,29,5,35,7,6,7,20,10,27,96,92,189,1067,866,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,20,10,8,24,0,0,0,0,0,0,3,0,3,3,0,5,218,155,378,124,166,288,27,24,44,1451,1223,2673
LGA26700,5,0,5,21,20,41,3,0,3,0,4,4,8,12,19,4531,4003,8533,254,302,552,109,0,110,38,12,53,100,42,147,36,17,53,286,285,574,5405,4695,10097,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,3,7,49,23,72,56,33,88,0,3,5,0,0,0,0,0,0,0,3,5,400,422,819,503,911,1415,93,93,190,6453,6165,12616
LGA26730,3,5,6,39,23,67,0,0,0,4,4,9,22,16,35,5766,5225,10992,510,525,1034,82,0,82,40,0,43,111,36,142,54,19,74,368,294,660,6994,6149,13141,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0,5,3,5,7,3,0,3,13,6,20,55,29,79,64,32,99,0,0,3,0,0,4,3,0,3,3,4,8,174,279,455,628,1111,1741,71,77,154,7943,7656,15601
LGA26810,14,11,22,48,13,64,3,0,3,0,0,0,11,10,25,6181,5459,11645,406,421,830,131,8,140,104,29,131,120,40,162,179,46,225,465,380,849,7668,6420,14090,0,0,3,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,6,0,6,85,29,111,92,32,125,5,5,11,0,0,0,12,0,12,21,7,24,622,645,1270,874,1290,2157,140,137,280,9416,8528,17944
LGA26890,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,522,455,973,17,31,45,19,0,19,9,3,7,4,0,4,42,8,50,95,62,163,704,565,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,14,8,3,14,0,0,0,0,0,0,5,0,5,5,0,5,217,168,384,54,99,155,15,13,29,1016,848,1860
LGA26980,4011,3151,7163,615,757,1375,3,0,3,313,312,625,53,45,99,23183,19626,42812,964,1853,2818,258,4,265,227,17,242,441,74,516,215,115,334,864,954,1817,31158,26900,58063,951,685,1634,0,0,0,284,230,519,763,514,1277,114,218,325,106,33,140,2213,1678,3893,0,0,0,72,88,158,31,27,58,25,49,73,11,11,18,133,178,308,258,172,426,2605,2025,4627,503,450,954,10,20,37,17,10,28,529,482,1017,1598,1870,3466,2482,4555,7042,272,218,490,38649,36057,74705
LGA27070,2322,2270,4593,324,393,721,26,3,26,125,126,256,185,32,221,35152,26151,61301,1615,2142,3760,716,9,724,199,11,204,137,24,167,254,107,363,324,381,702,41383,31655,73039,468,443,913,0,0,0,104,101,197,846,659,1505,93,176,268,29,14,37,1536,1384,2917,0,0,0,18,25,44,27,25,55,28,58,85,9,10,18,83,118,204,325,194,515,1938,1696,3640,376,432,804,5,14,16,17,8,23,394,454,843,822,1524,2347,2646,5004,7652,573,462,1038,47753,40805,88550
LGA27170,9,7,18,39,41,78,3,3,6,0,3,0,15,14,25,7291,6126,13422,444,481,922,122,7,127,65,0,66,131,22,154,67,34,102,451,240,689,8623,6977,15598,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,3,5,4,3,0,3,6,5,12,70,38,108,86,41,127,3,3,4,0,0,0,3,0,7,7,3,10,178,346,528,595,1158,1753,101,71,177,9597,8604,18199
LGA27260,4187,3671,7854,227,351,573,14,6,21,23,28,49,180,49,230,37531,25114,62652,2020,2923,4943,562,3,565,308,18,328,233,39,274,365,159,524,445,492,945,46100,32859,78962,864,738,1603,0,0,0,186,189,371,1226,822,2046,176,344,523,118,36,153,2562,2134,4693,0,0,3,3,0,4,17,19,41,18,54,70,5,5,17,48,82,130,406,220,622,3017,2435,5451,817,866,1678,4,13,18,17,9,24,837,884,1723,1186,2329,3513,2953,4877,7828,539,398,936,54628,43775,98411
LGA27350,2054,1995,4044,300,344,642,12,7,14,3397,3971,7365,80,81,163,9024,7651,16676,342,676,1016,51,0,53,275,47,323,2683,1686,4369,171,126,294,2871,3406,6282,21253,19988,41244,131,115,245,0,0,0,458,580,1040,56,49,101,18,23,42,104,65,172,766,833,1599,0,0,0,75,118,190,10,5,11,0,7,11,8,9,19,88,143,231,305,317,615,1157,1294,2450,154,169,329,7,12,21,37,31,66,198,214,412,1179,1279,2455,1363,2493,3860,187,168,358,25336,25443,50781
LGA27450,1261,961,2221,228,202,436,9,3,15,8,8,13,29,6,37,28321,23411,51726,1379,1351,2730,787,7,801,205,10,215,120,24,148,170,94,263,560,516,1073,33082,26597,59674,210,147,360,0,0,0,50,34,82,578,413,989,69,86,153,28,3,32,937,685,1625,0,0,0,0,0,0,12,11,25,31,29,63,3,3,3,42,48,91,286,124,416,1266,857,2126,196,160,361,4,0,4,12,0,18,217,167,384,1567,2323,3889,2658,5002,7661,367,316,681,39160,35256,74415
LGA27630,0,0,0,6,4,11,0,0,3,0,0,0,0,0,0,833,699,1529,39,47,93,19,0,23,4,0,9,19,6,23,41,5,47,131,89,223,1094,858,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,3,10,10,8,17,0,0,0,0,0,0,0,0,0,0,0,0,203,144,346,86,182,271,20,15,33,1419,1206,2626
LGA29399,0,0,0,7,3,13,4,0,4,0,3,0,0,0,0,30,23,56,5,7,12,0,0,0,0,0,0,3,0,3,42,14,59,97,81,177,192,125,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,3,7,0,0,0,0,0,0,0,0,0,0,0,3,23,17,44,29,34,62,3,3,6,251,186,440
LGA29499,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
