LGA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA23430,8,27,0,0,3,0,0,0,0,35,46,319,7,8,9,0,0,0,7,391,545,1051,99,68,177,112,47,50,27,2178,36,46,8,0,7,5,0,0,0,112,155,392,21,39,44,20,14,20,4,708,41,51,7,10,13,3,3,6,3,128,1678,3604,575,379,633,444,220,265,69,7864,7,6,6,3,0,0,0,4,3,32,434,454,350,150,161,144,108,96,20,1914,569,456,523,247,232,200,138,144,44,2561,1250,428,4695,400,410,456,622,734,139,9128,26,24,34,26,26,37,26,46,8,260,108,65,84,58,46,75,79,53,12,568,43,76,61,22,25,28,34,29,18,330,67,80,106,42,58,49,65,73,81,621,5030,7072,6578,1439,1833,1580,1356,1512,425,26835,12,55,0,0,8,0,0,0,0,81,41,241,5,9,12,0,0,0,7,322,354,1307,41,140,286,83,3,43,28,2287,15,92,4,4,17,3,0,7,0,141
LGA23670,11,23,0,0,0,0,0,0,0,38,43,303,6,3,14,4,0,3,3,387,475,1011,111,52,216,103,31,43,28,2069,21,35,0,0,3,0,0,4,0,71,122,346,25,31,46,8,9,15,8,603,33,45,8,9,9,3,0,3,0,111,1426,3295,599,295,659,423,212,256,70,7231,3,3,4,0,0,3,4,3,0,23,409,452,349,125,143,147,99,95,26,1842,533,429,493,269,208,205,125,142,39,2440,1232,491,5794,401,456,492,899,910,157,10812,42,19,61,34,20,24,29,51,5,287,82,76,89,53,60,67,56,56,5,547,43,71,46,12,22,23,18,25,7,280,73,78,129,51,32,48,85,87,81,660,4552,6673,7721,1332,1882,1561,1568,1688,428,27413,8,44,0,3,5,0,0,0,0,63,23,214,12,12,14,0,3,3,0,275,224,1047,36,103,299,89,3,22,17,1843,7,83,0,3,11,4,0,0,0,111
LGA23810,0,4,0,0,0,0,0,0,0,5,5,57,0,0,3,0,0,0,0,71,61,127,10,15,13,3,4,3,0,246,3,9,3,0,0,0,0,0,0,17,27,88,6,16,7,3,3,6,3,154,11,26,4,3,0,0,0,0,0,40,238,703,111,68,80,32,22,34,15,1308,3,0,0,3,0,4,0,0,0,12,77,98,123,49,31,16,23,26,6,452,135,144,161,102,68,50,38,44,25,767,557,154,3153,237,210,181,797,699,111,6098,20,4,18,17,8,14,20,44,10,162,28,10,48,28,13,15,45,41,5,231,8,13,17,4,3,3,10,21,0,90,53,24,86,27,16,21,70,86,43,423,1228,1475,3746,577,450,348,1033,1010,212,10074,3,12,0,0,0,0,0,0,0,12,4,53,0,0,0,0,0,0,0,60,32,198,3,26,18,10,0,0,0,288,5,12,0,0,0,0,0,0,0,23
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,3,41,33,8,0,0,0,3,5,0,103,0,0,0,0,0,0,0,0,0,0,37,4,0,5,0,0,3,7,0,52,27,8,3,6,0,9,0,4,0,65,222,12,119,9,4,12,60,87,5,535,6,0,3,0,0,0,0,8,0,15,15,0,0,0,0,0,4,7,0,23,8,0,0,0,0,0,0,0,0,9,19,0,3,4,3,7,6,7,4,54,381,71,144,31,19,25,78,125,11,879,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,5,10,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
LGA24130,0,10,0,0,3,0,0,0,0,9,12,90,8,0,0,0,0,3,0,119,139,226,12,16,15,7,3,3,3,423,6,15,0,0,3,0,0,0,0,24,60,130,7,12,14,10,4,4,3,252,12,23,3,9,4,0,0,0,0,57,435,831,93,106,97,60,25,49,13,1723,0,6,0,0,3,0,0,0,0,5,144,160,82,42,35,33,15,17,4,536,141,124,89,105,53,41,23,39,11,632,499,144,1930,149,130,121,327,320,51,3675,10,3,7,4,8,6,9,14,0,67,30,28,24,17,21,10,24,27,5,187,13,29,17,5,0,6,7,9,0,91,24,31,59,17,9,17,30,51,23,259,1539,1840,2341,499,391,312,476,536,111,8059,3,9,0,3,0,0,0,0,0,21,15,92,3,5,4,3,0,0,0,119,93,289,4,16,25,3,0,6,3,441,6,36,0,0,6,0,0,0,0,48
LGA24210,13,23,0,0,3,0,0,4,0,52,69,461,6,3,20,4,3,0,6,560,667,1245,95,55,207,106,35,42,38,2490,24,57,8,4,4,3,0,3,0,106,147,309,26,21,28,23,7,13,9,580,35,29,3,4,10,9,0,0,0,89,1913,3529,478,288,620,515,148,203,118,7816,3,0,3,0,0,6,0,0,0,16,383,357,222,104,105,116,41,65,17,1407,343,282,257,124,125,117,54,77,22,1413,753,238,2115,211,182,270,247,382,56,4445,22,12,27,13,16,16,7,13,0,127,95,52,47,33,29,48,22,37,5,363,47,76,28,25,18,25,12,12,3,249,75,67,74,25,29,30,37,34,50,416,4587,6732,3387,907,1401,1290,604,882,329,20125,6,30,0,3,5,3,0,0,0,49,35,291,11,4,14,4,0,4,0,362,323,1177,42,92,289,98,3,12,34,2077,18,89,0,0,19,3,0,3,0,129
LGA24250,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,10,14,18,0,6,0,3,0,3,0,39,0,3,0,0,0,0,0,0,0,0,7,19,0,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,51,95,9,12,3,7,4,15,4,198,0,0,0,0,0,0,0,0,0,0,24,9,8,10,3,3,4,3,3,68,25,10,13,11,3,4,4,6,0,76,146,18,366,23,18,37,70,89,14,777,3,0,3,0,3,4,4,4,0,24,7,4,7,7,3,5,5,8,0,45,0,0,0,3,4,0,0,0,0,11,8,0,11,3,0,4,4,3,7,40,289,174,423,78,45,57,94,131,22,1316,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,7,8,30,0,6,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,3
LGA24330,6,21,0,3,3,0,0,0,0,38,36,235,7,3,7,0,0,3,0,297,328,907,105,99,197,142,73,161,28,2047,26,46,0,3,6,7,5,4,0,99,88,327,18,24,35,8,6,10,3,520,24,48,4,8,7,5,0,3,0,97,1119,2726,438,368,557,400,221,386,95,6317,0,0,6,0,3,4,4,0,0,14,162,222,217,97,96,71,74,78,15,1033,225,248,290,179,140,104,94,121,16,1426,353,196,1309,243,188,166,290,309,40,3084,17,14,20,14,8,17,30,33,0,146,34,46,28,28,32,27,37,32,3,261,27,45,27,20,19,12,20,22,0,198,33,56,49,29,13,19,45,58,47,334,2482,5136,2516,1120,1310,973,900,1214,260,15909,4,23,0,0,4,0,0,0,0,42,29,244,0,3,8,3,0,0,5,287,307,1071,34,111,242,72,9,56,33,1927,20,66,7,7,9,4,0,3,0,107
LGA24410,15,9,0,3,3,0,0,0,0,33,46,203,3,4,5,0,0,0,0,269,344,766,63,38,122,53,24,23,22,1457,18,43,5,3,3,0,0,0,4,75,104,344,37,31,21,18,0,7,7,572,37,55,8,14,19,3,4,0,0,140,1068,2545,369,252,440,255,105,142,56,5235,0,3,5,8,0,3,0,0,0,26,278,316,248,130,109,89,52,70,24,1311,362,363,380,215,141,141,86,81,16,1776,963,339,4031,336,330,334,484,646,94,7562,23,14,41,17,20,29,31,25,3,200,70,58,66,51,28,47,39,61,6,423,27,48,38,10,16,8,14,19,3,184,56,45,88,30,20,45,44,68,47,447,3412,5159,5376,1143,1289,1025,887,1142,288,19719,4,29,0,3,3,0,0,0,0,45,21,153,0,4,10,0,0,0,3,199,191,896,20,72,233,50,0,17,12,1500,13,61,0,0,7,4,0,0,0,87
LGA24600,12,39,3,0,5,3,0,0,0,64,109,940,9,6,17,9,0,0,16,1103,854,2714,182,152,360,185,39,119,67,4674,28,92,3,3,8,7,5,0,3,149,151,441,15,23,71,14,7,15,5,756,29,94,0,0,12,3,0,0,4,146,2066,6974,702,746,1051,665,172,588,191,13161,3,4,3,7,0,0,0,8,0,37,269,315,195,137,92,92,26,70,25,1219,305,337,417,257,131,132,38,154,23,1792,334,211,890,247,195,169,101,184,43,2372,18,7,15,24,19,21,9,23,0,134,60,55,45,45,29,36,16,40,7,327,53,115,33,25,29,16,11,14,10,302,68,102,55,33,26,26,15,61,54,435,4372,12447,2575,1703,2042,1370,446,1283,438,26673,8,65,0,0,7,0,0,0,0,80,99,796,8,6,33,3,0,3,4,951,701,2760,108,233,640,256,5,83,66,4845,34,111,0,8,24,10,0,3,0,189
LGA24650,0,8,3,0,0,0,0,0,0,12,12,95,5,7,4,0,0,0,4,121,253,517,56,38,119,48,72,18,19,1141,9,24,3,7,7,3,3,3,0,56,46,152,13,16,27,16,3,9,3,287,15,26,0,3,11,0,3,0,0,52,737,1676,354,213,452,210,301,178,67,4185,3,3,6,3,3,0,0,8,0,21,242,192,256,91,138,84,139,84,12,1237,328,265,370,196,244,138,228,142,30,1946,853,255,4460,408,427,321,1248,977,160,9126,22,12,33,20,27,28,74,49,8,279,60,37,76,91,53,43,144,88,6,607,26,34,40,15,27,15,41,22,10,231,55,48,147,49,41,66,159,91,86,744,2670,3338,5820,1159,1571,972,2419,1680,412,20045,0,28,0,3,5,0,0,0,0,43,6,67,3,3,3,0,0,0,0,86,102,515,15,92,167,56,4,23,17,996,12,38,0,3,9,0,0,0,0,63
LGA24780,0,3,0,0,0,0,0,0,0,3,8,22,0,0,0,0,0,0,0,35,37,84,3,3,5,4,0,0,0,132,0,14,0,0,0,0,0,0,0,14,20,66,3,5,7,0,0,6,0,106,8,9,0,0,0,0,0,0,0,17,217,570,34,62,41,23,17,40,11,1015,0,0,0,0,0,0,0,0,0,10,75,91,43,49,14,9,14,23,3,328,139,105,78,87,37,26,22,40,9,543,656,136,1651,170,110,187,387,409,70,3775,18,9,7,20,7,25,19,36,6,146,44,15,29,28,13,15,39,38,0,217,6,13,8,3,3,3,9,15,3,66,67,22,65,20,4,18,66,70,39,371,1286,1150,1934,456,237,314,579,681,145,6774,0,4,0,0,0,0,0,0,0,4,4,22,0,0,0,0,0,0,0,23,36,149,0,15,10,0,0,5,0,211,0,12,0,0,0,0,0,0,0,19
LGA24850,0,0,0,0,0,0,0,0,0,4,9,22,0,0,0,0,0,0,0,26,62,58,5,9,15,7,4,7,6,171,3,6,0,0,0,0,0,0,0,8,7,55,5,7,3,3,0,0,0,89,3,17,0,3,0,0,0,0,0,26,151,299,43,45,39,32,25,33,5,667,0,0,0,0,0,0,0,3,0,7,99,55,47,32,25,23,20,18,10,334,132,65,96,97,44,15,34,23,4,507,422,107,1816,183,142,126,503,365,60,3726,9,4,20,16,3,3,19,31,3,114,26,10,28,15,7,15,29,24,3,161,8,6,13,6,6,4,11,5,3,62,34,17,79,15,13,15,55,64,19,306,966,714,2151,427,307,246,693,582,115,6202,0,3,0,0,0,0,0,0,0,3,3,21,0,0,3,0,0,0,0,32,30,102,3,5,20,0,0,5,3,168,0,16,0,0,0,0,0,0,0,25
LGA24900,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,9,8,27,0,3,0,0,0,5,0,39,0,0,0,0,0,0,0,0,0,5,10,25,3,3,6,0,0,0,0,52,4,0,0,0,0,0,0,0,0,13,122,194,34,22,10,6,3,25,3,412,0,0,3,0,0,0,0,0,0,5,87,19,31,9,8,5,15,15,0,192,78,26,42,26,11,8,9,27,3,244,441,33,871,52,44,70,279,351,39,2184,12,4,3,8,3,10,10,23,0,71,32,8,14,8,7,12,13,15,0,102,3,4,0,0,0,3,8,7,0,25,46,8,38,15,3,14,27,48,18,222,845,367,1037,153,95,130,367,521,65,3585,0,3,0,0,0,0,0,0,0,7,3,8,0,4,0,0,0,0,0,13,16,59,3,0,3,5,0,3,0,89,0,4,0,0,0,0,0,0,0,4
LGA24970,16,33,0,0,7,4,0,0,3,69,118,943,17,9,27,12,4,7,10,1155,1123,2457,260,126,453,251,91,135,71,4971,45,107,9,4,13,15,4,8,3,203,137,509,43,27,74,24,12,10,10,848,44,56,11,4,20,4,3,0,3,147,2363,5853,915,480,1076,782,336,578,184,12562,3,7,14,6,3,0,5,0,0,45,400,400,372,134,164,155,112,150,32,1921,449,382,540,225,230,178,149,206,29,2391,760,301,2744,303,309,298,442,535,98,5793,34,12,32,34,15,22,18,36,3,206,93,48,72,50,51,43,41,48,14,458,88,147,69,17,32,41,30,39,7,466,88,90,101,32,40,43,67,62,83,595,5759,11354,5192,1439,2511,1881,1315,1807,558,31817,11,61,3,0,13,0,0,0,0,85,70,631,10,12,32,4,0,4,3,771,522,2167,87,221,685,214,14,67,51,4027,23,110,3,6,32,7,0,0,3,191
LGA25060,11,40,0,0,0,4,0,0,0,63,67,384,0,0,9,3,0,0,5,477,532,1119,63,62,180,79,26,62,41,2161,28,65,3,5,8,4,0,3,7,128,157,377,25,31,48,12,9,14,11,670,41,52,10,8,7,3,0,3,3,124,1696,3791,392,337,671,380,164,230,102,7778,0,0,3,4,0,7,3,0,0,26,277,370,208,142,122,87,54,66,22,1357,405,322,312,169,174,119,86,106,21,1716,777,270,2700,308,312,273,393,449,84,5568,28,15,23,27,11,34,19,32,4,190,65,47,40,55,39,64,30,36,3,386,31,66,22,25,15,12,11,14,9,207,53,63,85,25,39,29,57,46,56,447,4169,6985,3895,1211,1637,1109,860,1068,367,21298,13,59,0,7,7,0,0,0,0,86,39,311,5,0,16,5,0,0,3,390,372,1375,31,96,268,63,4,28,20,2257,27,90,0,9,9,3,0,0,7,141
LGA25150,0,3,0,0,0,0,0,0,0,3,9,32,3,0,0,0,0,0,0,48,52,73,4,0,15,8,4,3,3,166,0,0,0,0,0,0,0,0,0,6,23,52,0,7,5,0,0,0,4,90,5,13,3,0,0,0,0,0,0,19,147,328,40,44,48,36,25,21,10,699,0,0,4,0,0,0,0,0,0,4,71,72,44,26,18,14,16,17,4,284,96,65,66,44,33,15,23,16,7,359,343,83,1339,113,102,76,390,292,58,2800,10,0,8,3,0,5,9,10,0,57,15,8,22,15,10,12,25,21,3,133,3,3,7,0,0,0,11,3,3,41,45,5,47,9,7,3,31,32,12,189,824,740,1590,272,247,169,534,425,109,4898,3,10,0,0,0,0,0,0,0,12,7,33,0,0,3,0,0,0,0,44,42,138,0,11,19,7,0,0,0,221,3,12,0,0,0,0,0,0,0,17
LGA25250,7,43,3,0,0,0,0,0,0,53,88,793,13,10,22,6,6,7,3,949,676,1886,188,171,279,151,135,169,55,3718,16,78,9,6,13,3,3,12,3,142,169,670,36,46,72,23,15,13,9,1066,40,99,16,21,19,3,0,0,0,205,1811,5435,842,644,1021,604,389,529,154,11427,4,3,7,3,3,7,0,3,0,29,279,417,390,176,159,138,117,114,19,1812,399,463,606,241,244,163,149,196,30,2504,710,337,3433,457,350,285,489,637,127,6822,25,26,42,40,22,14,26,43,3,241,74,55,79,60,59,53,47,52,3,481,51,109,54,25,21,21,42,19,12,336,66,90,124,44,46,49,84,81,105,684,4411,10503,5842,1936,2323,1534,1521,1880,529,30471,13,60,3,3,10,0,0,5,3,95,83,752,14,4,31,9,0,4,11,898,557,2425,70,266,431,106,5,72,51,3977,22,127,7,13,28,4,0,3,8,198
LGA25340,11,13,0,0,0,0,0,0,0,28,32,174,7,4,7,3,0,0,3,225,317,475,30,28,27,22,0,4,11,912,21,20,0,0,0,3,0,0,0,57,125,294,18,38,19,19,10,9,9,536,24,37,10,8,7,0,0,3,4,98,1164,2162,271,227,209,233,70,120,55,4506,6,7,7,3,0,0,0,3,0,32,425,421,296,163,112,96,56,92,27,1678,479,351,377,224,133,136,75,115,31,1930,1676,412,6382,502,356,503,739,1097,157,11824,42,22,63,25,16,48,22,54,3,284,106,58,100,84,31,70,65,66,4,593,37,41,44,22,13,17,19,18,5,211,82,90,199,58,26,67,74,114,67,756,4534,4576,7800,1375,968,1209,1121,1708,368,23669,0,40,0,4,5,0,0,0,0,50,21,156,0,3,5,0,0,0,0,196,181,730,11,43,69,25,0,6,12,1073,11,52,0,8,10,6,0,0,0,88
LGA25430,0,0,0,0,0,0,0,0,0,0,5,52,4,0,0,0,0,0,0,56,37,85,11,3,7,3,0,5,0,146,0,4,0,0,0,0,0,0,0,6,28,69,7,14,3,3,0,3,3,127,0,3,3,0,3,0,0,0,0,9,110,300,49,45,24,14,9,30,9,583,0,0,0,0,0,0,0,0,0,3,32,49,20,23,13,9,6,11,0,154,36,38,31,18,11,4,6,13,0,168,166,33,502,79,28,46,102,145,23,1117,6,3,0,4,0,0,10,4,0,26,12,10,13,9,3,5,8,6,0,65,3,7,6,0,0,0,3,3,3,19,27,10,11,8,5,3,21,22,5,104,457,654,649,204,92,82,156,249,41,2586,0,9,0,0,0,0,0,0,0,11,10,49,0,0,6,0,0,0,0,63,37,150,7,11,18,3,0,8,3,233,5,6,0,0,0,0,0,0,0,10
LGA25490,0,0,0,0,0,0,0,0,0,5,4,12,0,0,0,0,0,0,0,20,22,31,0,4,0,0,0,4,0,63,0,3,0,0,0,0,0,0,0,3,5,15,3,3,0,0,0,0,0,36,0,3,0,0,0,0,0,0,0,3,107,170,12,17,13,9,3,26,6,368,3,0,0,0,0,0,0,0,0,3,79,27,14,15,5,6,3,8,3,156,73,24,29,22,12,5,0,17,3,183,387,24,497,37,29,31,145,199,20,1364,12,3,4,5,0,0,3,11,0,38,32,3,10,8,3,4,8,10,3,77,3,0,5,0,0,0,0,3,0,14,47,3,28,4,3,5,15,25,14,146,776,317,603,109,61,70,190,298,51,2479,0,3,0,0,0,0,0,0,0,3,3,14,0,0,0,0,0,0,0,18,23,67,4,4,0,3,0,0,0,104,4,4,0,0,0,0,0,0,0,7
LGA25620,0,0,0,0,0,0,0,0,0,0,4,8,0,3,0,0,0,0,0,18,19,18,0,0,0,0,0,0,0,42,0,4,0,0,0,0,0,0,0,5,10,17,3,10,3,0,0,3,0,51,0,3,0,0,0,0,0,0,0,3,74,108,19,24,15,5,4,15,3,268,0,0,0,0,0,0,0,0,0,0,42,31,14,13,3,6,3,11,0,136,43,21,22,29,4,4,10,20,4,151,187,38,561,53,33,37,129,146,24,1203,3,0,3,3,0,3,4,4,0,29,11,3,11,3,9,4,10,4,0,59,4,3,4,3,0,4,3,0,0,24,30,3,18,8,5,3,23,21,17,117,428,263,671,152,73,62,184,222,50,2102,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,11,21,42,0,11,4,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
LGA25710,8,17,0,0,0,0,0,0,0,27,46,201,0,0,0,0,0,0,5,258,274,401,13,14,41,23,3,5,13,792,14,27,3,6,0,0,0,3,0,52,120,224,16,22,23,6,0,5,5,426,30,26,3,9,3,0,0,0,0,77,861,1613,162,155,227,128,43,71,49,3301,3,3,3,0,0,0,0,0,0,10,257,231,134,74,62,56,26,25,10,877,260,223,169,122,84,49,29,38,7,979,744,218,2560,165,183,205,269,338,46,4728,16,10,9,8,11,10,15,10,0,91,58,43,35,21,14,23,17,31,8,251,25,24,18,6,4,7,3,4,3,99,40,34,57,16,14,18,15,23,23,247,2757,3295,3185,618,673,529,420,562,169,12214,3,27,0,0,3,0,0,0,0,44,19,197,3,3,13,0,0,0,0,246,151,568,9,26,71,19,0,5,5,860,9,45,0,4,7,0,0,0,0,69
LGA25810,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,13,10,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,14,0,3,3,0,0,0,0,21,3,3,0,3,0,0,0,0,0,8,50,73,7,10,11,8,3,10,3,173,0,0,0,0,0,0,0,0,0,3,40,17,8,12,0,4,3,6,0,91,26,7,18,17,4,0,3,11,3,83,198,22,285,71,13,32,77,125,11,835,4,0,3,5,0,9,10,6,0,36,18,0,4,10,0,3,6,9,0,49,7,0,0,0,0,0,0,7,0,22,26,4,19,3,0,7,7,27,10,95,375,157,354,133,33,62,116,204,21,1447,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,12,21,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3
