LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA24780,237,231,153,81,137,31,9,885,87,81,45,29,66,17,0,324,114,82,46,21,49,11,6,320,1961,1996,1157,713,1024,259,56,7160,26,20,17,6,4,0,0,72,2425,2409,1404,851,1284,317,63,8755,31,53,25,27,37,6,3,176,26,36,27,23,21,3,0,146,32,27,11,20,21,3,0,114,550,664,391,267,364,93,20,2341,21,27,14,14,10,3,0,87,653,805,468,349,448,104,20,2861,3080,3217,1876,1201,1731,420,89,11614
LGA24850,184,157,108,60,79,57,17,661,112,131,63,47,61,28,9,453,163,148,49,43,39,20,4,465,1703,1719,955,606,829,267,77,6148,18,8,6,5,7,0,0,56,2180,2164,1179,754,1021,376,105,7777,10,14,3,12,4,5,3,55,22,25,24,23,34,13,0,144,7,13,11,8,15,5,3,65,360,425,270,214,268,76,27,1637,11,14,16,13,7,5,0,66,417,494,321,265,332,103,33,1956,2594,2658,1499,1024,1352,475,137,9740
LGA24900,84,84,45,27,41,6,3,287,42,29,25,7,32,3,0,134,44,36,24,12,23,7,0,145,978,1073,671,434,555,122,25,3864,6,14,3,6,3,0,0,32,1155,1230,766,488,647,138,32,4464,3,10,11,8,15,3,0,61,20,14,10,12,14,4,0,75,10,28,5,0,7,0,0,56,240,330,186,145,166,29,8,1106,6,12,9,3,6,0,0,44,284,391,226,164,222,42,6,1332,1440,1626,997,654,865,182,35,5798
LGA24970,4657,4491,2421,1539,2258,1895,1087,18346,561,562,343,197,278,201,122,2260,723,673,351,206,281,199,98,2529,2144,2649,1633,1067,1373,808,426,10101,26,20,5,12,9,7,4,78,8110,8393,4756,3013,4202,3109,1730,33312,293,486,345,287,544,482,293,2732,80,123,79,66,81,75,42,537,36,84,80,68,75,60,29,431,197,350,321,222,323,193,105,1714,20,25,12,11,18,5,3,97,629,1062,842,651,1043,816,465,5509,8743,9456,5595,3668,5242,3923,2195,38827
LGA25060,1298,1045,528,356,504,386,213,4329,500,524,326,204,300,175,101,2129,608,465,217,167,212,140,84,1894,3214,3405,1937,1221,1647,1049,547,13019,36,20,19,7,5,3,0,88,5652,5455,3021,1959,2673,1748,948,21458,161,211,178,130,156,124,82,1037,53,88,66,40,64,44,28,379,30,66,42,28,50,25,14,251,225,399,269,219,344,199,132,1786,55,49,27,21,11,6,3,170,513,815,572,431,631,400,264,3626,6162,6271,3598,2394,3301,2153,1211,25089
LGA25150,84,103,43,30,58,21,12,350,120,129,76,44,70,34,14,485,88,107,79,41,48,27,14,403,1315,1404,752,467,679,237,79,4933,7,6,3,8,4,4,0,29,1616,1752,948,591,857,324,112,6206,5,8,10,9,11,0,0,46,32,44,24,10,25,5,8,148,9,18,13,7,11,4,3,67,229,302,198,146,169,63,23,1133,3,12,11,3,4,5,0,45,283,398,257,175,224,77,31,1443,1898,2150,1210,773,1082,404,150,7651
LGA25250,2827,2113,930,579,740,579,327,8103,1051,890,432,254,367,208,102,3311,916,655,317,171,236,131,65,2495,3976,3422,1724,972,1258,638,330,12317,51,38,19,13,18,10,3,150,8824,7122,3425,1996,2622,1562,834,26385,148,248,195,128,241,139,90,1184,127,161,118,96,112,80,30,731,93,115,68,34,67,50,29,448,296,470,369,245,325,195,89,1998,34,26,16,16,14,6,4,122,702,1025,768,528,757,466,235,4482,9526,8145,4194,2517,3377,2031,1075,30865
LGA25340,464,648,419,315,390,221,74,2536,611,826,479,263,357,143,61,2739,590,694,344,221,315,128,69,2356,4754,5203,2932,1726,2340,878,374,18208,28,27,24,12,21,4,8,123,6440,7395,4200,2544,3426,1367,579,25954,27,60,82,57,104,27,10,365,97,185,127,96,154,42,15,717,53,100,82,49,94,26,20,432,769,1230,808,578,735,228,88,4438,37,36,38,24,15,8,3,156,982,1615,1127,805,1099,342,140,6100,7422,9008,5322,3348,4530,1707,721,32058
LGA25430,27,20,25,11,9,3,0,102,56,67,41,29,32,3,3,236,39,43,24,13,24,11,3,151,537,570,353,213,273,81,23,2052,4,9,0,0,5,0,0,15,665,709,434,267,341,99,30,2552,5,7,6,3,4,4,0,29,0,23,11,13,13,4,0,64,3,16,11,11,11,4,0,47,85,134,108,71,103,36,3,543,4,3,5,3,3,0,0,19,101,177,136,92,139,49,4,701,766,890,569,356,479,147,39,3253
LGA25490,29,44,28,20,27,0,0,151,34,50,14,13,14,4,0,131,43,52,30,8,22,4,0,163,694,798,516,299,378,94,28,2801,8,3,7,0,3,3,0,20,804,946,595,345,441,102,32,3267,3,0,4,3,3,0,0,13,4,11,3,4,3,3,0,24,7,11,0,0,0,0,0,16,71,111,84,68,72,13,3,418,7,7,3,3,0,0,0,17,82,135,99,77,81,22,3,497,889,1084,691,421,524,121,31,3762
LGA25620,17,17,14,5,9,3,0,66,33,28,29,6,19,6,0,123,20,37,20,5,7,3,0,95,427,503,319,169,217,67,13,1719,5,6,6,3,0,0,0,19,505,589,384,192,259,71,19,2021,0,0,3,0,3,0,0,9,5,13,4,4,3,3,0,35,0,8,8,3,6,3,0,26,42,112,61,44,50,17,3,333,3,4,0,0,0,0,0,12,53,132,74,53,64,19,3,404,558,726,457,249,325,93,18,2426
LGA25710,260,336,208,164,217,139,76,1403,318,404,226,121,162,135,60,1414,283,289,172,146,176,114,62,1237,2074,2559,1639,1106,1560,896,439,10274,5,15,12,6,11,0,0,49,2944,3600,2255,1545,2125,1283,631,14378,5,31,24,25,38,21,10,152,19,54,43,27,34,19,19,213,15,32,21,16,23,18,7,139,114,287,212,175,236,140,76,1248,12,12,4,7,3,3,0,33,164,417,299,251,341,200,115,1778,3106,4017,2553,1791,2461,1485,745,16159
LGA25810,23,25,8,4,7,3,0,67,6,14,8,6,3,0,0,46,16,19,10,6,9,0,0,52,350,350,240,157,250,34,8,1392,3,0,0,3,0,0,0,11,403,401,268,178,272,34,11,1568,0,0,0,3,7,0,0,14,0,12,5,6,9,0,0,35,3,3,0,0,5,0,0,8,68,96,65,54,70,15,0,363,0,0,0,0,0,0,0,10,74,108,79,65,89,15,0,430,476,516,339,245,358,53,10,1993
LGA25900,1052,615,237,130,159,108,59,2364,581,427,181,116,119,67,35,1521,542,374,171,89,110,51,31,1358,1834,1499,772,450,563,301,172,5595,13,16,4,0,0,3,0,37,4023,2926,1372,785,956,531,293,10880,66,132,73,57,90,68,33,522,59,81,58,53,61,36,16,358,49,66,48,20,42,28,19,264,148,243,161,115,168,93,59,989,17,19,5,6,5,0,0,57,334,536,348,253,366,231,134,2194,4353,3462,1714,1041,1316,760,427,13079
LGA25990,11,7,4,0,8,0,0,31,8,6,13,10,5,3,0,45,6,18,17,15,3,0,0,58,239,261,155,95,127,34,5,922,0,4,0,0,0,0,0,4,268,298,184,116,144,40,5,1063,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,12,0,0,0,0,0,0,0,4,39,53,39,26,18,4,0,184,0,4,0,0,0,0,0,6,39,60,41,26,28,4,0,207,312,357,224,144,175,51,9,1261
LGA26080,10,11,3,0,3,0,0,22,5,3,4,3,6,5,0,25,15,10,0,5,3,0,0,25,31,58,48,33,47,22,8,255,0,0,0,0,0,0,0,0,59,83,55,40,55,30,7,326,0,0,0,0,3,3,0,3,4,5,4,0,0,0,0,12,0,0,6,0,0,0,0,4,3,18,10,15,8,0,3,52,0,3,0,0,0,0,0,4,4,24,14,12,19,4,3,77,64,103,73,51,72,32,7,405
LGA26170,54,55,24,20,15,7,4,177,68,67,54,21,40,3,0,257,51,69,54,25,37,13,0,258,1088,1112,654,461,567,141,45,4066,7,8,7,4,0,0,0,33,1278,1312,788,531,673,156,51,4789,10,4,3,7,4,3,0,24,11,15,5,4,18,7,0,55,11,19,13,3,14,3,0,61,152,245,145,108,161,31,12,855,5,5,8,0,0,0,0,24,176,295,166,129,195,44,13,1015,1454,1605,956,662,863,204,57,5801
LGA26260,40,37,14,7,10,3,0,117,19,25,9,12,9,0,0,70,35,29,30,17,17,0,0,129,602,649,387,233,331,71,6,2279,3,3,0,0,5,0,0,11,701,744,445,274,368,69,6,2614,3,3,0,3,4,3,0,14,4,8,8,8,12,0,0,39,0,3,5,9,3,3,0,24,79,105,100,59,93,17,0,452,3,5,3,3,6,0,0,21,90,127,114,78,113,25,0,554,794,875,561,349,482,94,10,3163
LGA26350,931,589,299,186,268,243,141,2657,422,367,204,124,185,121,79,1506,417,374,187,125,167,111,67,1450,1922,2150,1373,828,1145,777,461,8655,14,3,3,0,0,3,0,26,3701,3479,2068,1263,1778,1254,741,14287,59,128,76,60,90,84,55,561,56,47,38,41,88,44,23,342,30,40,31,15,36,16,20,192,97,271,180,129,190,152,120,1140,23,18,7,5,4,5,0,59,271,504,342,259,404,295,221,2298,3978,3979,2406,1523,2181,1552,966,16589
LGA26430,14,10,3,3,8,3,3,43,16,17,11,7,9,0,0,52,21,15,12,3,8,0,0,70,274,348,193,130,173,25,9,1150,0,0,0,0,0,0,0,5,326,398,216,143,193,32,9,1317,4,0,3,4,3,0,0,13,3,16,8,3,3,0,0,39,3,3,4,3,10,0,0,24,64,81,65,35,54,7,3,300,3,3,0,0,3,0,0,12,81,102,84,48,69,10,3,386,407,495,297,186,263,38,9,1708
LGA26490,87,84,49,35,47,3,3,316,138,137,77,52,60,20,12,494,149,129,62,32,56,10,11,445,1255,1417,814,512,628,214,93,4936,0,11,5,6,0,0,0,24,1628,1778,1001,634,796,247,123,6210,3,5,4,5,12,3,0,35,14,38,27,20,19,8,4,133,5,20,11,4,11,3,4,64,79,151,126,73,119,38,25,611,5,3,0,8,0,0,0,16,100,214,171,113,169,53,30,852,1730,1997,1175,745,964,298,156,7067
LGA26610,120,102,60,35,68,13,3,403,31,22,5,10,17,3,0,86,58,35,20,3,0,3,0,122,747,754,412,307,399,80,18,2709,5,13,3,10,3,0,0,28,956,925,501,359,486,100,23,3354,14,28,15,11,12,3,3,80,14,17,3,9,8,0,0,55,3,8,3,3,9,0,0,22,146,204,123,98,107,20,7,707,17,15,5,4,4,4,0,50,199,268,151,123,140,28,7,908,1152,1195,653,481,624,131,33,4263
LGA26670,4,8,7,3,6,0,0,29,0,6,11,4,3,0,0,28,16,11,4,4,5,0,0,49,197,222,136,95,129,28,6,819,0,0,3,0,3,0,0,6,216,249,159,112,152,27,6,924,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,12,0,0,0,0,0,0,0,0,19,35,24,13,37,4,3,142,3,3,3,5,0,0,0,15,27,45,37,12,43,4,3,164,245,296,194,125,196,34,6,1090
LGA26700,40,35,24,14,9,3,0,127,52,58,31,25,24,9,0,193,57,55,17,12,23,3,0,173,1041,1179,683,468,587,123,31,4111,10,6,3,3,3,3,0,33,1193,1332,751,523,647,147,28,4631,5,7,14,5,6,0,0,42,10,20,8,12,14,3,0,66,3,3,6,8,0,0,0,26,205,298,178,140,166,40,6,1034,10,5,11,6,10,0,0,43,234,336,216,169,196,47,10,1215,1432,1671,971,690,851,194,38,5840
LGA26730,80,74,60,34,46,8,0,292,95,74,29,26,27,10,0,260,81,79,33,16,28,9,4,255,1215,1287,713,489,677,172,54,4616,10,6,6,3,4,0,0,24,1479,1525,844,571,773,193,59,5449,17,11,18,7,7,0,0,60,34,33,21,14,17,10,5,123,7,21,14,8,13,3,0,69,254,368,220,158,263,70,13,1336,16,13,10,6,0,0,0,48,323,442,274,191,299,84,15,1637,1807,1971,1115,764,1074,280,73,7087
LGA26810,109,96,66,45,43,14,0,372,77,84,51,36,48,11,3,308,96,75,42,38,35,14,0,295,1564,1669,934,603,829,202,35,5843,20,12,6,5,3,3,0,57,1866,1942,1096,725,965,247,40,6876,10,10,15,9,7,6,0,52,18,36,11,10,25,5,0,109,16,11,9,9,14,4,0,59,341,414,234,200,266,64,9,1529,18,16,9,5,7,0,0,55,400,484,279,238,323,79,9,1808,2261,2427,1376,958,1291,321,52,8685
LGA26890,6,5,4,0,0,0,0,10,7,3,3,0,4,0,0,18,10,5,7,4,3,0,0,33,149,166,86,73,72,17,0,569,3,3,0,0,0,0,0,7,169,184,102,82,84,18,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,0,10,14,24,18,22,24,4,0,102,3,0,0,0,0,0,0,3,18,32,19,22,26,4,0,122,192,214,119,101,109,21,0,753
LGA26980,3451,2716,1370,845,1290,977,562,11207,608,707,430,257,342,219,113,2679,703,706,354,224,326,211,94,2615,3078,3874,2402,1481,2062,1162,602,14656,25,25,11,9,9,16,0,100,7864,8025,4563,2819,4031,2582,1369,31259,229,322,246,229,436,285,189,1930,43,107,84,58,102,56,39,484,27,87,62,49,84,46,27,385,196,391,353,258,399,257,149,1990,11,23,15,17,10,10,3,93,512,932,747,603,1032,651,408,4881,8377,8955,5312,3420,5068,3231,1774,36143
LGA27070,5627,4417,2221,1227,1874,1339,735,17457,1112,934,498,287,460,228,102,3621,914,669,345,200,306,145,81,2653,5893,4946,2621,1588,1977,883,367,18277,86,83,39,32,30,11,6,292,13636,11055,5731,3336,4639,2609,1293,42299,334,487,342,275,312,259,183,2191,183,231,157,117,154,67,41,946,104,139,112,69,98,42,24,590,978,1278,815,523,673,274,117,4657,80,68,45,47,23,17,3,287,1678,2205,1471,1023,1270,659,363,8672,15309,13266,7202,4361,5913,3266,1659,50973
LGA27170,170,127,77,37,75,27,6,515,98,100,44,31,43,3,3,328,98,100,40,17,36,14,6,308,1736,1562,873,541,776,166,43,5703,4,5,7,4,3,0,0,31,2111,1902,1044,631,936,213,59,6888,15,20,18,12,13,6,6,90,25,23,20,21,30,8,0,133,11,19,17,13,14,3,0,73,427,612,349,240,287,71,19,2000,19,15,10,3,3,3,0,48,498,687,414,287,345,91,25,2343,2608,2585,1451,916,1277,308,81,9231
LGA27260,11107,8407,3609,1961,2517,1411,658,29663,1199,960,506,281,382,174,98,3596,1079,872,434,255,327,154,65,3180,4472,4308,2109,1310,1780,812,334,15122,81,95,39,22,21,12,3,273,17938,14644,6697,3821,5021,2555,1152,51837,771,926,571,385,556,328,155,3693,229,291,172,107,160,64,31,1049,135,207,110,77,129,64,29,737,971,1285,792,519,664,261,112,4602,118,93,55,34,27,11,8,350,2230,2795,1701,1128,1535,726,330,10439,20163,17445,8392,4945,6558,3282,1488,62275
LGA27350,694,462,235,151,165,148,76,1928,376,298,129,62,76,52,29,1023,421,261,93,60,79,46,29,983,1584,1241,611,355,425,264,138,4613,23,19,15,3,6,3,0,78,3100,2289,1073,632,751,512,272,8617,239,262,159,145,184,117,79,1185,56,61,37,18,38,27,11,256,49,57,22,10,29,22,12,203,110,141,113,62,117,71,51,676,32,44,21,8,4,5,5,130,497,569,346,256,371,242,165,2447,3598,2858,1420,887,1119,758,433,11064
LGA27450,593,655,383,280,385,258,120,2672,588,682,427,290,418,188,104,2705,596,589,374,217,330,183,79,2357,5812,5768,3222,2046,2721,1168,484,21221,35,39,24,10,9,4,0,119,7623,7736,4429,2845,3862,1798,786,29073,42,61,50,40,76,48,23,329,103,180,108,69,133,71,25,686,25,96,82,45,89,51,15,401,718,1078,794,548,811,311,108,4371,31,28,21,18,21,0,3,122,916,1440,1049,725,1129,476,182,5908,8535,9178,5478,3567,4993,2272,965,34982
LGA27630,12,11,6,4,4,0,0,31,3,7,0,0,0,0,0,13,3,13,3,10,6,0,0,32,203,265,146,86,147,28,3,875,3,0,0,0,0,0,0,3,218,293,154,101,159,28,6,961,0,0,0,0,0,0,0,0,4,5,4,4,6,0,0,25,0,0,4,5,3,0,0,10,40,62,46,25,36,11,0,213,4,3,4,0,0,0,0,10,47,76,58,31,45,12,0,269,263,366,216,129,205,38,7,1228
LGA29399,3,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,6,13,9,0,0,0,3,32,0,0,0,0,0,0,0,0,10,14,14,3,0,0,3,45,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,15,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,15,18,18,23,3,0,0,3,60
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
