LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA26430,87,62,26,35,21,7,0,10,0,252,57,53,24,62,36,7,0,25,0,277,196,34,338,129,99,50,87,141,12,1093,10,0,11,4,9,10,3,10,0,55,16,8,12,26,10,9,0,18,3,100,5,3,6,0,4,0,0,7,0,27,33,18,19,13,4,6,11,35,21,156,574,579,461,317,231,108,116,286,50,2730
LGA26490,149,235,80,119,109,65,17,41,6,819,176,191,106,192,144,76,15,38,14,967,438,136,1241,309,225,186,149,233,33,2952,15,7,11,22,36,20,3,18,0,138,27,23,31,40,49,36,4,26,3,239,10,21,6,9,14,11,0,3,0,79,44,61,39,36,28,28,15,31,30,314,1740,3323,1687,1074,972,600,235,486,153,10263
LGA26610,70,89,23,60,28,10,7,14,3,301,92,85,43,112,68,35,15,37,4,490,385,83,698,232,187,120,144,233,37,2117,20,3,16,24,22,21,6,16,0,124,22,11,14,36,23,23,9,29,3,170,7,4,3,3,4,3,3,14,0,46,57,31,20,26,18,26,24,61,26,289,836,1094,837,578,422,276,213,443,89,4782
LGA26670,48,28,7,13,18,7,5,3,0,130,42,30,20,37,28,5,0,11,0,171,163,35,245,73,55,31,55,94,13,764,12,0,3,7,8,4,3,11,0,46,13,3,9,6,10,4,5,5,0,60,3,4,4,3,0,0,0,0,0,16,25,4,12,10,9,9,10,12,10,105,400,352,308,180,154,68,91,146,31,1728
LGA26700,117,146,45,116,74,26,7,20,3,560,143,163,80,256,149,74,29,40,14,942,448,116,1133,448,298,226,250,313,35,3263,22,8,20,25,38,24,12,34,0,182,41,17,22,69,42,29,25,33,0,287,15,25,7,4,9,5,3,16,0,91,37,30,35,35,19,30,28,51,27,293,1216,2107,1409,1149,811,466,374,555,99,8191
LGA26730,87,170,64,111,73,38,7,24,5,580,120,160,98,263,170,82,23,55,6,977,398,135,1410,494,352,283,258,387,37,3766,15,6,20,46,47,33,12,33,0,216,21,9,25,85,39,45,16,36,0,286,11,16,15,5,8,6,4,12,3,79,27,48,43,62,30,28,31,66,36,369,1057,2761,1760,1286,975,618,362,712,111,9640
LGA26810,171,193,72,112,63,26,17,23,3,688,209,216,125,275,160,47,28,64,12,1146,709,191,1913,604,402,257,418,506,75,5075,31,15,19,39,57,42,17,43,0,259,51,14,42,93,47,34,20,44,4,357,30,13,14,17,12,8,7,24,4,133,86,50,57,60,28,46,49,77,41,501,1781,2596,2357,1449,975,510,580,848,169,11270
LGA26890,55,22,0,5,4,7,3,5,0,106,32,20,3,23,15,4,0,8,0,98,147,11,79,50,23,13,29,64,4,419,5,0,3,3,7,7,3,4,0,31,19,3,3,11,3,0,0,3,0,47,4,0,0,0,0,0,0,0,0,9,13,5,3,10,5,3,5,8,0,53,344,207,93,115,69,36,45,110,10,1033
LGA26980,585,993,396,448,592,297,100,179,43,3639,694,864,630,896,834,482,127,274,55,4843,961,489,2936,1057,864,572,365,596,117,7963,48,37,60,72,114,66,26,50,10,481,125,117,90,181,238,133,44,71,14,1013,81,190,68,58,77,44,22,31,13,588,85,178,100,129,116,96,35,74,108,922,8439,22046,5750,4895,7079,3532,1063,2084,757,55639
LGA27070,604,766,558,645,684,360,260,245,35,4162,776,836,866,1574,1195,602,367,370,80,6658,1426,654,7069,2412,1785,1176,1469,1567,266,17823,65,65,78,160,262,151,89,123,13,1003,156,112,184,377,364,194,171,190,28,1776,81,123,106,83,109,69,80,69,15,750,151,188,258,285,259,223,228,268,198,2062,5840,13029,10179,7511,7444,4148,3434,3740,913,56235
LGA27170,108,171,71,139,128,30,19,21,7,690,219,218,155,474,249,104,40,63,21,1535,449,258,1804,697,562,374,427,462,65,5110,20,9,26,56,66,47,22,49,3,303,23,12,22,75,84,49,45,53,4,364,4,17,14,11,14,9,8,3,4,93,29,33,37,47,48,47,41,58,39,383,1319,2728,2234,1765,1420,753,639,755,181,11794
LGA27260,642,781,652,667,699,308,354,221,59,4383,989,947,959,1850,1393,609,632,437,95,7909,1472,769,5941,2304,1956,1069,1968,1718,257,17450,68,38,80,144,193,130,106,151,0,921,180,122,144,354,329,166,266,176,25,1760,123,173,98,114,142,78,97,86,29,931,158,159,238,226,225,150,282,190,222,1848,7758,16736,9753,8268,9319,4496,4946,4111,1119,66508
LGA27350,388,599,168,223,244,173,25,62,21,1896,428,589,288,401,388,250,49,103,33,2533,482,318,1349,541,426,294,105,212,56,3773,22,26,13,47,47,39,13,30,0,232,82,90,58,97,89,73,21,27,6,544,51,137,31,28,30,21,3,19,5,323,70,118,48,67,49,40,16,40,71,511,7108,20392,2798,3011,4013,2225,370,827,594,41343
LGA27450,617,928,384,625,619,227,80,141,43,3659,876,899,628,1320,987,396,122,254,55,5539,2257,832,8381,2138,1697,1085,1176,1618,298,19472,83,41,89,140,212,117,50,115,10,853,160,123,149,309,295,158,78,120,10,1405,61,105,64,56,73,34,30,27,5,449,172,157,234,233,158,134,120,192,155,1555,6739,11973,10531,6073,5564,2735,1802,2859,724,48992
LGA27630,52,32,8,29,9,6,0,6,0,147,27,17,7,49,16,0,0,12,0,128,192,32,169,106,42,27,48,72,15,694,11,0,8,7,8,7,4,3,0,44,15,3,0,14,10,7,0,0,0,51,0,3,4,0,0,0,0,0,0,12,29,7,14,14,4,8,8,13,5,96,388,324,210,252,117,53,63,110,22,1536
LGA29399,4,5,0,3,0,3,0,0,0,15,6,6,0,7,3,0,5,3,0,28,17,0,21,10,7,4,12,8,3,84,0,0,0,0,0,0,0,4,0,8,4,0,0,3,0,0,3,0,0,12,7,0,0,0,0,0,0,4,0,11,0,0,0,3,0,0,0,0,3,7,63,36,35,37,13,15,19,32,9,270
LGA29499,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
