LGA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA22490,0,0,0,3,0,0,0,0,0,9,0,0,3,13,4,5,0,0,0,32,0,0,0,6,0,3,0,0,0,12,0,3,0,11,19,20,28,12,4,99,0,0,4,3,5,3,0,0,0,10,0,0,0,11,7,8,8,0,0,34,0,0,0,0,9,10,4,0,0,24,0,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,7,5,3,0,0,0,26,0,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,11,8,3,0,32,0,4,0,3,3,0,0,0,0,9,0,0,0,0,3,5,3,0,0,11,0,0,0,6,0,4,0,0,0,10,0,4,0,29,16,39,23,22,18,157,62,137,127,320,250,273,189,67,18,1440,1429,3491,2459,5207,3281,2912,2002,687,225,21688
LGA22620,0,0,0,30,15,6,0,0,0,57,6,36,42,179,70,41,21,8,0,403,0,0,0,3,0,3,4,9,6,28,0,0,4,26,35,77,88,56,16,308,0,0,5,16,3,9,10,3,0,48,0,15,39,78,38,24,29,3,3,228,0,0,0,0,3,0,9,5,0,24,0,19,15,65,25,21,15,12,5,178,0,3,6,35,3,3,0,0,0,46,22,151,135,79,13,4,0,0,0,408,0,0,0,0,0,0,4,0,0,10,0,0,3,3,3,0,4,0,0,12,3,23,19,48,24,29,31,0,3,176,0,11,8,43,7,3,0,0,0,78,0,4,4,7,7,10,18,5,0,53,0,3,8,17,4,0,7,0,0,43,9,40,79,168,81,85,86,51,20,620,404,774,868,1917,1167,1171,1007,689,334,8335,7075,14123,14649,26843,14091,14036,10859,6065,2743,110477
LGA22670,0,4,3,19,6,0,3,0,0,36,30,114,276,832,409,280,103,33,18,2095,0,0,12,93,90,196,151,85,70,693,0,6,3,21,37,60,126,85,40,384,5,23,31,112,30,49,21,10,4,279,0,19,27,97,61,64,87,44,10,412,0,0,5,114,115,165,144,120,33,697,55,324,552,2922,808,697,602,280,130,6364,3,11,20,115,16,22,3,0,0,192,29,219,170,610,92,46,13,0,0,1178,0,3,33,304,208,206,122,65,20,967,5,10,26,181,230,144,106,41,12,745,8,34,27,42,25,17,14,3,3,177,67,230,1006,4744,3130,2600,910,390,203,13286,0,3,0,9,5,5,12,12,3,45,3,10,15,95,6,0,0,0,0,133,84,392,793,2501,1281,1200,802,502,195,7750,640,982,1204,2927,1199,1082,901,614,264,9807,10490,16961,21107,47885,17859,15838,11906,6995,3008,152050
LGA22750,0,4,0,45,28,20,4,4,0,105,15,95,197,451,248,160,88,14,9,1267,0,0,3,74,39,83,77,67,76,417,4,34,33,143,192,315,349,242,61,1380,0,28,45,61,51,38,25,0,0,258,3,38,69,210,126,82,56,39,14,635,0,0,0,26,78,110,129,104,24,471,3,25,67,185,42,38,31,9,8,403,4,7,14,34,12,4,4,0,0,70,12,174,132,162,47,19,4,3,0,550,0,3,9,62,102,185,156,106,21,641,0,6,10,42,37,18,18,17,0,148,18,70,63,206,94,73,76,7,8,611,3,13,70,238,107,62,16,3,3,525,0,6,5,51,51,51,73,36,12,283,0,12,7,82,20,12,5,3,0,148,51,196,333,924,422,531,542,467,244,3693,682,1311,1646,3536,2148,2171,1933,1342,740,15504,14347,27911,30052,58892,29972,28885,23587,13316,6460,233429
LGA22830,0,0,0,4,10,4,0,0,0,15,8,36,39,172,58,51,26,7,0,394,0,0,0,4,3,9,3,0,5,24,0,0,8,7,17,36,47,19,3,133,0,0,3,5,10,0,0,0,0,24,0,16,23,40,26,9,5,6,0,120,0,0,0,0,6,3,9,3,3,26,5,21,6,61,26,8,8,0,0,139,0,0,35,157,6,3,3,0,0,196,0,3,11,33,18,9,5,0,0,79,0,0,3,7,5,22,20,18,0,76,0,5,12,75,82,43,27,5,0,247,4,15,11,25,10,7,3,0,0,82,0,0,0,26,9,5,0,0,0,40,0,0,0,3,4,3,4,5,3,22,0,3,11,13,8,0,0,0,0,37,21,129,214,433,169,139,62,50,26,1245,305,547,566,1386,843,809,729,429,226,5845,4218,8489,7900,15628,8548,7911,6169,3497,1484,63837
LGA22910,0,0,0,0,0,0,0,0,0,0,0,7,3,20,7,6,0,0,0,35,0,0,0,4,0,3,4,0,0,12,0,0,0,9,8,13,25,14,3,73,0,0,0,0,0,5,0,0,0,12,0,4,3,10,5,11,5,0,0,34,0,0,0,0,5,4,3,8,3,22,0,0,0,0,3,0,8,0,0,15,0,0,0,0,0,0,0,0,0,4,0,4,0,8,4,0,0,0,0,19,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,0,0,0,8,0,0,6,12,8,26,6,0,0,65,0,0,3,4,0,0,0,0,0,5,0,0,0,0,4,7,5,0,0,18,0,0,0,3,0,3,0,0,0,9,0,5,3,39,40,37,41,30,13,209,44,130,133,277,252,320,262,140,92,1659,695,1703,1221,2861,2297,2802,2265,1027,469,15330
LGA22980,0,0,0,0,0,0,0,0,0,3,0,0,3,11,3,3,3,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,7,3,3,7,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,8,19,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,3,0,0,0,8,0,4,0,10,3,10,0,8,0,32,19,30,25,79,73,86,89,35,42,478,260,610,569,1015,791,949,766,482,290,5721
LGA23110,0,0,0,14,13,4,0,0,0,36,13,40,93,420,161,170,100,13,11,1024,0,0,4,75,24,66,57,42,48,312,3,11,8,82,98,128,107,72,36,547,3,15,16,60,21,26,4,3,0,158,3,12,22,169,54,33,21,8,8,332,0,0,0,17,63,94,58,73,18,324,0,5,19,109,32,30,20,7,3,223,0,3,3,20,4,3,0,0,0,38,28,93,46,149,37,10,4,0,0,368,0,0,3,85,145,167,196,85,14,687,0,0,6,20,17,9,3,4,3,57,3,33,25,130,57,53,20,5,0,328,9,19,61,488,331,350,111,32,9,1419,0,3,3,22,15,19,7,4,3,84,0,0,3,25,11,0,3,0,0,44,37,133,181,1045,494,423,298,256,119,2981,309,480,488,1584,795,707,539,408,203,5511,6062,10291,9832,26530,12638,10308,6854,4320,1952,88778
LGA23190,0,0,0,3,3,3,0,3,0,18,7,12,12,46,8,8,0,0,0,108,0,0,0,0,0,0,3,3,0,13,0,0,0,3,11,13,9,7,4,50,0,0,0,4,0,0,0,0,0,6,0,3,4,10,3,3,7,0,0,31,0,0,0,0,0,0,0,5,0,7,0,3,3,7,3,0,0,0,0,21,0,0,0,5,0,0,0,0,0,8,0,8,11,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,3,7,3,0,0,0,0,20,0,0,3,15,4,0,0,3,0,24,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,5,4,0,0,0,0,11,3,7,9,21,17,11,8,13,4,85,52,89,110,291,165,204,165,110,56,1244,1218,2510,2289,4478,2512,2676,2028,1316,613,19642
LGA23270,0,4,13,33,27,6,7,0,0,92,22,153,304,983,554,422,138,35,14,2630,0,0,3,74,39,95,62,24,19,320,0,7,13,64,94,130,142,99,22,575,10,47,71,92,58,42,19,6,0,353,4,33,39,107,73,44,31,9,0,350,0,0,7,15,49,60,67,44,4,240,33,226,269,1246,736,326,188,65,19,3104,0,3,4,42,9,6,3,0,0,72,8,34,46,232,57,20,12,0,0,397,0,4,7,86,88,92,51,16,3,354,31,111,301,1904,1964,1072,574,214,36,6204,12,49,52,105,33,33,12,7,3,306,4,27,74,464,350,248,90,41,19,1322,0,0,4,8,8,12,15,10,3,61,0,11,32,66,22,4,3,0,0,133,154,724,872,2971,1696,1281,735,407,116,8960,918,1581,1609,3771,1805,1472,1120,537,191,13008,15542,28371,28583,58404,26340,19741,12573,5924,1889,197376
LGA23350,0,0,0,0,9,3,0,0,0,10,0,3,0,8,8,8,6,0,0,28,0,0,0,3,0,3,0,0,0,5,0,0,0,5,6,20,15,4,0,50,0,0,0,0,3,0,0,0,0,10,0,0,0,3,4,4,4,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,14,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,7,14,0,0,34,0,0,0,7,0,0,0,0,0,6,0,3,0,0,10,4,3,0,0,22,0,0,0,0,3,0,0,0,0,3,0,8,3,20,26,23,22,24,6,136,35,98,85,204,200,219,176,89,40,1136,780,2072,1530,3186,2462,2633,2039,902,353,15952
LGA23430,0,0,3,23,33,13,0,0,0,75,9,72,128,530,280,238,94,24,5,1380,3,3,7,158,91,139,126,43,31,601,4,35,41,198,173,179,192,134,59,1014,0,23,28,102,43,34,24,6,0,269,11,103,125,458,244,144,111,38,13,1254,0,0,0,25,40,47,57,34,3,207,4,23,72,491,239,288,265,128,47,1554,0,3,10,105,13,16,0,0,0,151,8,27,35,226,45,24,10,0,0,385,0,0,0,17,19,15,13,12,8,73,3,10,20,78,140,91,95,47,12,495,18,76,58,170,84,65,28,4,3,516,12,26,83,470,329,342,130,51,18,1460,3,8,7,43,24,23,25,11,8,158,0,4,3,69,29,12,6,4,0,132,95,350,374,2167,1079,860,718,485,164,6288,369,608,716,2227,1126,1056,957,780,518,8355,9110,17684,16983,42273,21604,17615,13553,8428,4139,151389
LGA23670,0,0,6,28,27,10,0,0,0,73,6,71,132,508,254,231,114,15,11,1331,0,7,4,114,66,167,82,25,62,526,0,12,18,77,119,207,216,123,48,812,13,115,166,223,167,151,67,20,7,916,4,51,120,311,199,204,141,45,11,1079,0,0,0,22,46,55,52,32,12,213,14,125,279,1085,636,572,333,99,29,3178,8,9,12,143,30,46,16,0,0,275,3,22,39,195,54,26,5,0,0,346,0,0,0,10,17,9,15,6,0,61,0,0,4,23,29,29,20,13,0,117,7,51,54,117,71,47,38,7,3,395,6,24,52,416,343,297,91,26,11,1252,0,0,3,17,44,38,35,27,14,182,0,3,9,53,13,20,14,4,0,115,15,102,219,907,587,598,503,414,252,3593,324,497,632,1715,945,948,806,541,286,6687,9014,18049,20107,41089,22075,19896,13662,7112,3105,154110
LGA23810,0,0,3,8,8,5,0,0,0,23,3,23,39,139,82,74,48,5,3,420,0,0,0,7,13,22,15,16,23,101,0,3,11,24,46,119,202,100,41,545,0,0,6,12,0,3,0,0,0,26,0,13,20,51,35,17,15,5,0,154,0,0,0,4,3,8,15,14,3,46,0,12,9,49,13,12,8,0,3,108,0,0,0,10,3,0,0,0,0,12,5,16,9,45,5,0,0,0,0,87,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,4,0,7,0,5,14,31,23,25,8,8,0,106,0,6,3,39,11,7,0,0,0,64,0,0,0,4,6,14,13,9,7,50,0,3,0,12,9,0,0,0,0,32,5,84,86,222,130,120,157,104,55,959,273,571,790,1520,954,982,824,557,286,6753,4362,8897,9199,17394,9718,10102,7609,4227,1761,73257
LGA23940,0,0,0,0,3,0,0,0,0,3,0,15,10,24,10,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,3,0,27,0,0,0,4,0,0,0,0,0,4,0,4,3,7,3,3,0,0,0,20,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,9,14,3,45,31,90,71,170,145,154,146,84,36,922,335,857,641,1238,1078,1356,1139,621,256,7516
LGA24130,0,0,0,12,6,4,0,0,0,22,4,15,11,44,9,16,7,0,0,105,0,0,0,17,6,11,5,3,7,41,0,8,4,39,55,53,78,15,14,261,0,0,6,8,11,0,3,0,0,33,0,7,15,51,38,15,13,11,0,148,0,0,0,0,0,9,4,9,0,21,0,0,0,16,8,16,6,0,0,51,0,4,8,53,3,3,0,0,0,68,0,3,0,13,9,3,0,0,0,31,0,0,0,0,0,3,8,0,0,17,0,0,0,3,5,0,0,0,0,11,0,11,18,28,30,34,26,5,0,151,0,0,0,13,8,0,3,0,0,22,0,0,0,16,11,15,10,10,3,75,0,0,0,0,6,7,0,0,0,16,7,22,14,95,80,73,81,46,13,427,165,315,279,739,604,565,499,262,147,3574,2902,6538,5032,10221,7184,6356,5046,2012,811,46100
LGA24210,0,0,4,21,11,15,3,0,0,59,3,27,33,180,64,67,47,9,0,434,0,0,0,35,10,50,43,39,19,197,0,4,9,37,45,59,88,62,29,338,9,92,133,253,145,131,97,34,3,902,9,87,221,280,274,174,99,46,16,1208,0,0,0,9,16,22,24,27,13,110,3,22,35,187,118,134,118,46,28,682,4,19,66,331,83,111,82,12,10,716,6,13,23,96,23,8,7,3,0,182,0,0,0,31,46,59,66,44,8,257,0,3,4,31,51,41,17,17,3,173,20,72,70,74,56,29,34,14,4,364,0,5,55,296,264,245,107,34,20,1024,0,4,3,11,13,10,12,8,3,65,0,3,3,36,34,22,11,3,0,107,25,135,176,738,475,478,458,395,189,3070,167,414,462,1092,704,692,639,586,359,5113,5538,13190,14764,26931,16681,14448,12292,8740,3668,116255
LGA24250,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,11,0,0,0,5,3,7,18,3,3,42,0,3,4,0,0,0,0,0,0,11,0,3,0,3,3,9,0,0,0,21,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,3,0,0,7,0,0,5,12,0,0,0,0,0,24,0,4,4,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,9,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,5,19,3,7,18,18,7,94,31,79,69,173,133,149,135,55,20,842,433,1106,805,1598,1156,1428,1311,551,207,8584
LGA24330,3,0,7,28,14,8,0,0,0,59,9,43,98,508,150,129,87,23,11,1066,0,0,3,62,18,25,34,32,30,215,0,9,4,96,53,47,23,20,4,258,8,7,21,145,33,20,10,0,0,231,0,3,7,136,27,6,4,0,0,189,0,0,3,22,39,40,27,26,14,166,4,11,80,229,40,17,9,6,8,411,4,0,12,124,4,9,0,0,0,151,12,9,40,169,31,10,4,0,0,280,0,3,4,55,93,105,125,83,21,482,0,3,0,58,48,28,11,8,0,167,8,17,29,170,47,17,11,0,0,310,35,110,745,2708,1552,1528,611,283,107,7675,0,0,0,19,12,8,5,0,0,46,0,0,0,48,3,6,0,0,0,50,48,108,520,1795,555,342,249,168,55,3839,378,432,763,2370,758,579,392,300,203,6168,5675,7518,10888,33066,9900,7247,4024,2589,1379,82288
LGA24410,0,0,0,20,26,16,10,0,0,68,3,28,36,235,108,75,33,12,4,546,0,0,3,56,27,66,30,26,23,237,0,16,17,88,100,131,161,102,36,658,5,27,22,72,46,41,11,8,3,234,0,31,91,247,150,107,57,37,7,737,0,0,0,7,14,21,20,10,5,83,3,18,31,289,69,102,62,30,15,621,0,10,3,99,22,20,5,0,0,162,14,75,82,159,23,16,7,3,0,384,0,0,0,4,7,10,9,3,0,28,0,3,0,16,15,0,4,0,0,38,9,39,39,124,66,41,33,4,0,366,3,3,25,161,89,93,50,13,0,439,0,3,0,14,30,34,26,12,3,122,0,0,9,47,23,15,5,0,0,100,13,98,131,566,281,267,249,179,93,1880,252,407,465,1392,718,614,557,420,295,5118,7334,13269,13301,30896,15158,12710,9647,5414,2647,110376
LGA24600,0,0,8,32,12,5,0,0,0,61,12,26,189,748,90,38,23,0,3,1124,0,0,11,108,14,31,29,13,16,224,0,3,46,183,54,53,45,9,3,396,22,30,962,809,71,42,27,0,3,1964,0,6,101,248,61,45,21,3,0,483,0,0,0,23,9,21,13,5,3,75,0,7,175,383,37,44,11,8,0,672,6,9,403,1097,41,28,14,3,0,1598,10,12,499,1152,45,13,0,0,0,1738,0,7,5,57,24,9,9,3,0,106,0,0,20,140,40,30,15,5,0,248,26,60,224,538,114,71,47,7,3,1090,3,35,560,689,220,228,94,48,17,1899,0,0,14,38,6,11,4,8,0,91,0,0,20,55,9,5,0,0,0,92,122,156,1759,4308,529,329,259,162,44,7666,529,463,3901,6970,1310,1057,792,349,346,15727,4386,4342,40352,60457,9784,7798,5288,2299,1255,135959
LGA24650,0,3,8,8,5,3,0,0,0,31,19,266,529,1640,830,451,164,31,8,3948,0,4,12,132,80,106,52,12,15,415,3,14,20,56,79,143,124,46,17,498,9,40,40,73,51,33,9,3,0,247,3,26,55,155,89,45,26,4,0,413,0,0,0,47,78,76,63,34,12,311,4,92,83,571,237,120,73,15,5,1206,0,3,4,42,12,11,4,0,0,74,9,28,34,164,43,11,8,3,0,296,3,8,34,322,294,269,169,32,9,1134,0,0,3,79,82,43,26,6,0,247,8,49,28,93,28,13,6,0,0,227,16,44,114,931,407,244,72,26,13,1868,0,8,3,13,16,18,13,8,7,85,0,4,25,87,23,3,0,0,0,147,46,462,827,2615,1315,890,533,181,53,6918,656,1239,1004,2732,1189,946,661,286,87,8802,11473,21867,17502,43807,16888,12486,7681,2847,887,135443
LGA24780,0,0,0,0,3,3,0,0,0,8,3,20,27,91,32,33,18,3,0,216,0,0,0,0,0,5,3,3,4,13,0,0,3,10,21,13,27,22,9,115,0,0,3,0,0,3,0,0,0,9,0,8,24,23,24,5,3,0,0,91,0,0,0,0,3,15,12,11,7,52,0,3,3,36,14,4,8,0,0,75,0,0,23,90,0,0,0,0,0,118,12,12,3,26,8,5,0,0,0,61,0,0,0,3,0,0,3,0,0,7,0,7,9,71,96,44,38,14,0,282,0,0,3,16,8,11,7,0,0,45,0,0,8,56,25,35,10,3,0,150,0,0,0,5,7,8,4,4,0,24,0,0,0,4,9,3,3,0,0,22,6,49,62,235,98,86,80,42,25,680,217,456,569,1174,747,808,664,482,211,5332,3363,6867,6672,12704,7079,7111,5493,3169,1419,53878
LGA24850,0,0,3,9,3,0,3,0,0,14,4,25,20,91,29,20,4,0,0,200,0,0,3,6,8,8,9,11,0,44,0,3,3,19,17,39,41,17,3,146,0,3,9,20,8,5,0,0,0,44,0,13,18,30,22,7,10,3,0,103,0,0,0,0,0,6,0,0,4,15,0,5,4,46,9,7,11,0,0,75,0,0,8,14,0,0,0,0,0,19,0,6,18,24,6,3,0,0,0,57,0,0,3,13,16,7,13,0,0,46,0,0,6,12,18,0,0,0,0,37,3,9,8,30,3,3,3,4,0,69,0,0,3,16,0,0,0,0,0,20,0,0,0,3,0,4,12,0,0,27,0,0,5,9,11,3,0,0,0,31,0,21,17,96,79,68,67,52,15,416,190,369,408,970,591,575,418,226,100,3848,2858,5614,5365,10409,5789,5056,3608,1633,581,40918
LGA24900,0,0,0,3,3,4,0,0,0,10,4,12,16,64,12,15,8,0,0,134,0,0,0,0,0,3,3,3,0,8,0,0,0,11,10,31,45,21,4,125,0,0,0,5,0,6,0,0,0,7,0,0,9,6,9,3,6,0,0,28,0,0,0,0,0,0,8,10,0,15,0,0,0,10,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,9,5,3,0,11,9,0,0,0,0,28,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,13,5,9,9,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,7,0,18,0,0,0,0,0,0,0,0,0,0,0,5,8,29,23,25,26,23,5,138,89,218,229,472,353,467,461,276,128,2689,1585,3548,3097,5616,3764,4227,3960,2377,935,29112
LGA24970,4,5,7,32,10,11,3,0,0,66,8,53,148,509,213,151,59,19,0,1163,3,11,11,120,83,187,150,91,51,700,0,14,20,70,79,86,138,108,54,563,26,213,599,438,184,169,106,28,3,1769,11,56,141,286,181,134,86,26,14,939,0,0,0,25,42,47,55,51,22,239,64,460,838,2448,1118,817,550,248,98,6638,6,19,99,412,93,93,35,6,7,781,8,27,97,268,86,37,16,6,0,541,0,0,0,21,16,30,21,16,5,104,0,0,11,64,84,70,71,51,23,388,27,89,118,141,81,46,29,11,7,548,21,52,257,942,670,558,195,72,41,2808,0,0,12,12,13,11,13,23,9,95,0,5,34,62,16,7,9,0,0,131,95,339,597,1716,795,726,750,567,234,5818,432,706,1274,2477,1037,888,837,770,522,8958,9283,19610,30253,50633,23081,18367,15185,11113,5088,182618
LGA25060,0,0,0,26,7,3,3,3,0,48,10,38,53,319,104,79,58,13,6,683,0,0,0,51,34,69,41,42,44,272,0,15,11,85,53,78,72,27,16,354,4,25,30,109,21,16,14,3,6,223,3,3,30,124,38,22,13,3,6,237,0,0,0,16,28,39,35,30,12,159,0,32,25,234,87,78,54,20,15,541,0,0,10,107,10,11,4,0,0,140,3,12,30,172,24,11,3,0,0,270,0,0,0,48,64,52,54,33,6,253,0,3,3,104,108,50,21,13,3,303,14,44,44,163,53,36,21,4,0,375,10,61,129,732,482,510,195,131,68,2325,0,0,0,20,14,3,8,3,3,53,0,0,0,31,9,0,4,0,0,46,77,197,441,1861,614,430,402,292,161,4454,363,573,730,2456,925,830,734,602,284,7506,6617,12944,14326,35348,15917,12788,9385,6384,2967,116671
LGA25150,0,0,3,3,0,3,0,0,0,9,0,3,10,29,11,9,3,0,0,66,0,0,0,12,0,4,8,0,3,28,0,3,7,29,27,51,70,16,7,200,0,3,3,9,8,3,0,0,0,24,0,11,9,31,14,10,13,3,0,96,0,0,0,0,5,17,5,5,3,42,3,3,0,16,0,3,10,0,0,35,0,0,0,3,0,0,0,0,0,6,0,0,3,15,3,3,0,0,0,23,0,0,0,0,11,7,6,6,0,23,0,0,0,0,3,0,0,0,0,0,3,6,4,14,13,19,9,0,0,65,0,3,3,23,11,3,3,0,0,40,0,0,0,7,11,3,12,10,3,39,0,0,9,11,3,4,0,0,0,28,3,11,14,88,77,76,63,29,12,367,82,217,192,516,380,345,310,155,59,2266,2023,4417,3802,7729,4754,4118,3226,1263,491,31818
LGA25250,0,0,0,36,18,0,3,0,0,68,25,66,95,568,161,136,65,21,5,1141,0,0,4,116,42,70,49,58,65,407,3,6,24,184,89,49,49,41,24,467,4,17,47,167,38,28,7,3,0,311,3,10,37,201,31,24,18,8,0,337,0,0,3,25,28,22,26,34,17,155,24,61,79,459,181,118,50,19,9,997,7,0,27,153,8,11,0,0,0,211,6,28,69,255,47,11,7,0,0,435,0,0,0,45,25,30,19,14,8,152,9,14,36,519,577,263,172,85,10,1676,16,57,83,424,90,41,34,9,6,755,9,39,97,494,184,235,79,23,14,1172,0,0,5,41,14,6,12,4,4,86,0,0,16,65,3,9,0,0,0,87,104,252,410,2392,644,451,446,320,167,5187,605,854,1172,4126,1329,970,804,783,401,11043,10264,15833,19992,61091,19207,13853,9556,8461,4311,162558
