LGA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA23430,0,12,3926,3940,64,268,3944,4279,3065,1736,4069,8872,6501,1297,2295,10091,6249,986,2409,9642,5134,555,2049,7743,3927,245,1356,5523,2305,81,786,3171,654,15,452,1125,27894,5188,21301,54387,4,25,3791,3819,168,365,3191,3725,4105,1850,3388,9342,7002,1328,2477,10807,6350,966,3143,10462,4873,482,3073,8427,3630,193,2708,6528,1694,55,2230,3983,287,14,1384,1689,28113,5281,25385,58780,4,38,7720,7759,230,633,7138,8003,7165,3593,7458,18213,13505,2625,4776,20899,12595,1948,5552,20099,10007,1036,5123,16169,7555,435,4064,12054,3998,132,3023,7157,943,32,1836,2808,56012,10470,46687,113166
LGA23670,4,18,4842,4859,47,275,4556,4887,3368,1549,4417,9334,6320,1004,2138,9468,6740,943,2209,9889,6634,565,1673,8873,4591,207,1049,5849,2088,55,650,2790,472,12,301,779,30252,4634,21833,56720,4,29,4549,4579,139,441,4051,4632,4399,1596,3604,9598,6832,1038,2257,10130,7116,929,2933,10974,6388,480,2758,9624,3914,171,2325,6414,1447,31,1794,3274,230,4,973,1199,30466,4719,25239,60425,9,47,9388,9435,190,721,8610,9521,7770,3146,8022,18938,13153,2040,4392,19589,13852,1874,5139,20867,13024,1047,4433,18495,8504,378,3376,12258,3534,85,2446,6058,696,17,1265,1980,60720,9355,47069,117143
LGA23810,0,18,2008,2032,61,383,1555,1989,1206,909,1634,3752,1886,546,1123,3546,2243,500,1385,4133,2678,316,1311,4307,2099,153,855,3102,1079,41,445,1570,269,4,182,456,11521,2871,10497,24886,3,63,1813,1876,86,524,1423,2033,1609,907,1627,4150,2086,556,1271,3920,2451,506,1518,4477,2705,291,1509,4502,1864,109,1275,3250,776,28,1064,1870,105,6,545,655,11687,2993,12046,26727,4,81,3823,3906,146,904,2973,4024,2820,1811,3264,7895,3969,1100,2393,7467,4697,1010,2903,8609,5381,607,2819,8808,3966,263,2126,6351,1852,75,1506,3437,376,13,728,1113,23210,5861,22545,51614
LGA23940,0,3,163,160,3,9,85,101,62,51,102,215,189,47,91,323,234,41,161,442,360,56,202,625,311,24,205,535,148,11,98,254,34,0,49,80,1343,237,1153,2732,0,3,163,165,3,19,67,89,109,52,56,219,200,41,59,298,294,49,134,474,353,49,128,525,258,17,144,423,118,5,132,258,16,0,76,90,1346,237,960,2546,0,7,329,333,7,29,150,189,175,103,158,428,385,88,150,622,529,97,293,922,712,100,338,1149,568,39,349,954,269,13,229,506,44,3,122,174,2687,471,2120,5274
LGA24130,0,0,1380,1384,6,73,898,975,619,397,663,1681,1834,434,379,2643,2090,465,555,3106,1929,276,553,2754,1591,110,448,2154,589,22,201,813,114,3,93,213,8781,1777,5171,15732,0,3,1282,1289,28,110,736,872,846,424,557,1831,2054,493,517,3056,2279,417,736,3431,1904,224,757,2889,1353,91,700,2152,389,11,406,804,62,0,216,274,8918,1775,5901,16597,0,4,2665,2674,35,183,1633,1851,1467,820,1226,3513,3883,918,895,5701,4371,884,1287,6535,3834,502,1310,5646,2946,205,1151,4308,983,28,606,1617,176,6,310,492,17702,3556,11076,32336
LGA24210,0,3,3782,3783,31,109,3440,3583,1985,654,3307,5945,4436,464,1314,6208,5618,458,1343,7425,5079,327,974,6376,4323,139,653,5117,2940,64,574,3577,706,20,312,1041,25113,2234,15697,43047,0,6,3452,3466,75,173,2966,3212,2660,708,2679,6051,5077,468,1519,7065,5967,461,1944,8368,5083,260,1770,7109,4229,128,1711,6064,2043,36,1898,3974,293,4,1030,1328,25424,2238,18967,46630,0,10,7234,7249,102,284,6403,6791,4642,1363,5987,11993,9513,929,2833,13273,11587,917,3292,15791,10158,583,2743,13482,8554,264,2361,11181,4979,99,2469,7548,998,29,1345,2369,50541,4474,34667,89681
LGA24250,0,0,163,168,0,23,89,115,81,72,105,251,223,60,80,371,255,67,151,474,352,58,164,570,342,44,148,537,147,13,68,228,35,0,25,60,1428,347,1001,2782,0,3,145,152,3,30,82,116,118,87,87,291,245,71,114,431,280,73,152,507,381,47,155,590,317,34,156,509,95,4,126,232,14,0,67,82,1456,347,1094,2904,0,12,309,316,3,51,173,235,193,161,189,544,471,130,203,797,539,143,301,978,732,106,319,1162,660,80,306,1050,243,15,197,457,46,3,96,143,2883,698,2096,5677
LGA24330,0,10,1675,1684,87,239,3163,3490,2480,1709,4593,8781,3463,1131,1838,6439,2240,678,1478,4393,1673,353,1200,3231,979,87,626,1697,577,17,324,917,204,3,170,379,11706,4234,15056,30997,6,16,1603,1629,217,347,2473,3039,3260,1744,3412,8421,3356,1055,1893,6300,2133,598,1812,4541,1491,258,1535,3281,831,56,967,1855,433,9,781,1227,73,4,481,562,11797,4094,14963,30857,8,28,3275,3313,305,582,5638,6529,5740,3455,8009,17205,6817,2186,3734,12738,4375,1274,3287,8931,3165,614,2737,6511,1808,143,1594,3546,1012,27,1105,2143,279,12,651,940,23503,8327,30023,61853
LGA24410,0,10,3277,3291,63,202,2870,3133,2698,1303,2784,6779,4857,789,1490,7132,4337,648,1671,6658,3859,393,1326,5575,2876,163,812,3857,1462,39,499,2002,363,3,247,613,20511,3557,14976,39045,0,28,3007,3042,139,335,2515,2988,3600,1326,2419,7346,4866,782,1823,7473,4531,668,2277,7480,3693,307,2152,6148,2604,140,1953,4704,1117,15,1432,2568,173,3,823,997,20722,3602,18406,42735,4,39,6285,6333,205,531,5380,6122,6299,2625,5203,14126,9717,1575,3313,14606,8869,1316,3954,14141,7550,701,3473,11723,5486,305,2771,8558,2575,59,1932,4564,537,7,1065,1614,41236,7162,33378,81779
LGA24600,0,84,3179,3259,129,1101,9731,10956,3977,3914,10614,18505,2887,1327,2745,6960,1696,624,1596,3913,1571,360,1118,3049,1206,182,700,2086,486,35,294,817,109,14,114,243,12065,7645,30088,49795,3,115,4236,4349,285,1427,11532,13246,4725,3811,10294,18828,2561,962,2763,6286,1695,435,2014,4152,1503,248,1519,3274,1017,80,1017,2121,308,18,529,860,45,0,251,297,12137,7098,34169,53403,6,197,7413,7611,416,2528,21260,24201,8702,7723,20909,37335,5449,2286,5509,13247,3389,1058,3609,8058,3074,613,2640,6323,2222,264,1724,4208,794,52,824,1676,149,16,370,539,24203,14740,64255,103197
LGA24650,0,22,4264,4285,99,324,3416,3836,3793,1514,3535,8842,7225,1098,1939,10269,5280,721,1633,7634,3911,375,1243,5527,2551,162,729,3444,825,35,314,1168,123,8,112,242,23810,4259,17185,45253,3,44,3994,4046,280,468,3094,3844,5261,1618,3137,10013,7228,1084,2431,10752,5041,676,2217,7939,3683,337,1932,5949,1981,113,1373,3472,488,26,794,1300,64,3,327,389,24032,4370,19298,47692,5,62,8261,8332,380,795,6508,7682,9056,3131,6672,18854,14455,2187,4373,21014,10323,1393,3852,15568,7594,708,3176,11476,4529,280,2103,6913,1313,56,1100,2472,181,11,439,632,47839,8623,36485,92947
LGA24780,0,21,1638,1659,40,230,996,1271,908,643,1135,2679,1456,406,751,2614,1725,309,963,3000,1940,227,924,3092,1583,128,613,2323,806,36,320,1167,227,3,164,400,8688,2005,7505,18197,0,44,1445,1486,89,315,926,1325,1170,661,1101,2934,1662,413,828,2901,1908,329,1051,3289,1924,206,988,3118,1391,79,849,2324,626,25,799,1446,100,3,461,562,8866,2074,8446,19385,0,65,3081,3147,128,547,1927,2595,2077,1300,2231,5616,3120,820,1577,5516,3633,639,2009,6284,3864,435,1910,6204,2972,206,1467,4640,1429,59,1116,2607,331,12,624,963,17556,4078,15943,37576
LGA24850,0,0,1251,1250,16,122,952,1091,833,551,857,2238,1313,405,482,2203,1562,348,674,2582,1422,219,631,2267,1039,88,379,1512,428,22,176,627,107,3,73,181,6727,1757,5475,13954,3,10,1142,1156,54,213,724,991,1066,564,715,2353,1480,402,580,2460,1563,369,725,2649,1376,176,629,2177,904,70,554,1529,311,6,393,707,46,3,170,219,6793,1814,5636,14243,3,13,2390,2410,72,338,1675,2079,1899,1118,1574,4590,2793,803,1066,4663,3128,716,1393,5237,2794,393,1262,4447,1948,156,937,3042,741,28,568,1337,153,4,241,397,13517,3570,11108,28195
LGA24900,0,5,810,815,15,95,504,619,423,283,427,1135,717,192,350,1257,968,187,490,1646,1158,136,497,1789,1039,76,444,1561,656,25,272,953,171,4,106,277,5157,1007,3898,10056,0,18,701,718,43,144,365,547,550,276,399,1229,799,202,362,1367,1082,178,460,1725,1172,123,499,1791,1022,64,526,1611,461,15,513,988,86,3,250,332,5214,1024,4074,10311,0,28,1513,1539,61,234,868,1163,981,559,829,2367,1520,387,718,2626,2055,373,949,3370,2326,255,996,3582,2064,142,965,3174,1121,37,783,1942,251,4,352,608,10371,2023,7969,20367
LGA24970,3,28,5564,5592,99,307,7687,8092,4336,1338,7101,12781,7513,713,2368,10595,7479,629,2267,10371,5988,448,1605,8041,5018,186,1121,6329,3502,59,845,4406,966,5,535,1508,34899,3719,29090,67712,9,35,5202,5246,244,415,6653,7315,5630,1400,5160,12194,8107,726,2582,11407,7534,651,3117,11306,5915,362,2713,8989,4802,155,2471,7429,2580,31,2632,5246,432,5,1551,1989,35254,3786,32087,71125,11,68,10767,10840,341,726,14343,15410,9969,2741,12268,24968,15620,1443,4947,22007,15008,1276,5383,21674,11903,813,4317,17035,9828,344,3591,13763,6081,89,3476,9647,1393,12,2082,3498,70153,7511,61172,138839
LGA25060,0,11,3040,3059,44,210,3411,3663,2493,1655,3917,8061,4575,867,1856,7296,4655,672,1832,7161,3664,385,1441,5494,2823,146,891,3859,1797,51,518,2370,516,6,365,890,20563,4011,17274,41848,3,17,2902,2931,123,348,3105,3570,3205,1680,3858,8749,4933,868,2154,7959,4668,576,2406,7648,3633,335,2181,6155,2660,107,1738,4511,1330,27,1719,3080,213,7,1039,1259,20775,3965,21115,45859,6,35,5946,5987,165,554,6514,7233,5694,3337,7776,16813,9512,1743,4009,15260,9321,1248,4236,14808,7294,723,3627,11644,5485,247,2633,8365,3124,85,2244,5451,734,11,1405,2150,41339,7977,38388,87707
LGA25150,0,3,993,1000,12,80,704,799,554,392,579,1531,1136,308,400,1845,1305,295,486,2083,1231,160,434,1827,985,65,342,1393,352,15,159,525,79,3,55,138,5660,1317,4154,11136,0,8,912,921,32,117,573,723,738,404,509,1653,1235,317,487,2038,1393,274,565,2232,1208,150,509,1868,871,53,495,1420,228,7,333,567,39,3,178,212,5747,1327,4563,11640,0,12,1912,1925,42,200,1279,1522,1300,801,1090,3185,2374,625,884,3886,2694,565,1053,4313,2440,310,939,3690,1859,117,837,2816,578,23,489,1094,112,4,227,348,11409,2650,8717,22772
LGA25250,4,19,3418,3447,127,396,5180,5696,4499,3239,8366,16107,6478,1949,3261,11688,4892,1104,2642,8639,3329,555,2045,5930,2481,216,1174,3868,2194,62,781,3039,753,6,516,1282,24764,7553,27379,59693,13,36,3157,3210,448,595,4942,5985,5678,3411,7000,16089,6342,1926,3543,11812,4730,1018,3261,9011,3288,518,2849,6660,2426,132,2092,4654,1678,41,2512,4234,312,6,1481,1804,24928,7684,30837,63450,20,58,6579,6652,575,990,10123,11686,10183,6658,15364,32199,12817,3877,6800,23494,9624,2121,5899,17645,6614,1072,4899,12590,4916,348,3265,8524,3874,100,3293,7269,1065,15,2001,3080,49689,15235,58220,123140
LGA25340,0,17,4076,4099,50,315,2864,3227,1841,1402,2373,5617,4647,1243,1720,7606,5717,1223,2261,9195,5739,867,2067,8672,5940,506,1662,8106,3378,166,1150,4689,913,33,615,1560,28221,5780,18774,52766,0,48,3759,3806,111,461,2369,2940,2557,1545,2247,6346,5243,1326,2168,8731,6000,1243,2975,10207,5974,810,3039,9824,5689,409,3271,9369,2527,101,2695,5326,432,13,1523,1965,28536,5948,24033,58518,4,63,7829,7903,167,779,5228,6170,4398,2946,4618,11957,9892,2564,3883,16338,11712,2464,5232,19408,11707,1675,5105,18490,11625,915,4934,17475,5906,264,3841,10015,1339,46,2136,3524,56754,11721,42808,111283
LGA25430,0,3,437,444,4,33,254,297,154,143,251,545,386,183,238,807,545,204,349,1094,704,184,466,1355,636,107,325,1071,353,18,162,537,96,0,75,170,2883,880,2551,6312,0,3,384,385,11,71,191,271,213,162,227,597,466,231,260,954,638,205,449,1290,684,174,510,1371,584,82,503,1170,261,20,318,597,47,0,180,230,2903,942,3018,6862,0,6,823,833,15,104,447,563,358,301,476,1135,849,410,493,1758,1186,404,800,2390,1390,356,977,2723,1219,193,830,2238,610,36,480,1130,152,0,247,401,5782,1814,5572,13170
LGA25490,0,0,450,449,6,45,249,303,237,182,249,668,560,143,180,885,629,130,243,1005,757,92,274,1127,558,31,213,800,245,6,99,353,57,0,34,97,3052,639,1992,5687,0,3,419,427,18,84,189,291,332,180,182,699,584,142,160,896,737,140,238,1114,705,76,256,1044,492,26,216,733,170,3,176,356,32,0,123,157,3080,657,1974,5710,0,7,875,880,23,132,440,594,572,364,436,1367,1142,291,342,1775,1368,266,482,2118,1466,166,535,2165,1051,63,426,1537,420,7,278,708,88,4,157,252,6129,1298,3965,11394
LGA25620,0,5,306,309,0,26,184,212,146,133,195,471,333,175,162,676,495,156,245,889,579,103,317,1001,571,61,285,916,219,8,122,346,53,0,44,96,2398,673,1846,4915,0,6,291,296,0,42,153,199,195,146,143,478,402,173,131,710,497,146,222,866,610,104,276,987,522,36,217,775,145,6,192,344,18,0,93,111,2394,663,1719,4774,0,6,591,602,4,74,334,410,337,281,334,947,741,348,295,1386,998,300,467,1758,1189,209,595,1986,1094,102,501,1690,372,14,309,689,66,0,140,216,4792,1330,3563,9691
LGA25710,0,3,2297,2302,14,58,1815,1891,745,469,1362,2583,2527,482,521,3530,3408,456,588,4451,3147,321,525,3993,1956,120,325,2395,632,21,142,797,107,3,76,182,12524,1934,7670,22128,3,4,2042,2044,27,94,1658,1777,1083,501,1008,2588,2873,558,566,4004,3595,496,883,4975,3010,269,866,4148,1639,87,665,2392,408,7,418,836,45,3,232,281,12689,2031,8330,23047,3,12,4338,4349,36,150,3475,3664,1827,975,2373,5171,5397,1048,1092,7532,7005,950,1468,9424,6158,590,1398,8145,3593,204,991,4788,1040,30,559,1632,146,4,312,466,25214,3967,15998,45180
LGA25810,0,3,316,324,11,39,192,237,135,111,224,470,265,65,182,508,389,71,227,686,499,55,239,800,458,46,205,711,223,7,87,326,52,0,41,97,2044,401,1713,4158,0,9,264,276,14,67,120,203,169,101,187,461,317,81,164,567,471,73,218,764,501,48,242,789,400,28,243,669,152,7,208,364,37,3,130,173,2057,424,1786,4272,0,18,583,599,25,106,312,437,309,210,411,930,584,148,347,1075,857,150,447,1453,999,106,488,1594,860,76,448,1376,375,15,299,691,91,4,172,266,4096,830,3501,8425
LGA25900,4,12,1211,1230,61,389,2034,2485,2112,3401,5087,10599,3171,1788,2701,7659,2326,1038,2222,5588,1885,597,1696,4181,1529,265,1039,2833,706,49,431,1194,194,14,203,406,11985,7564,16627,36169,8,26,1277,1308,117,606,2279,3008,2806,3514,5275,11593,3090,1412,3372,7866,2393,864,2656,5910,1845,395,2095,4337,1297,163,1468,2927,463,25,902,1385,96,10,428,535,12118,7012,19752,38879,10,43,2484,2538,180,998,4311,5491,4920,6915,10365,22193,6262,3201,6075,15534,4719,1901,4876,11500,3732,997,3791,8522,2824,430,2504,5763,1172,77,1336,2581,286,23,628,941,24104,14575,36375,75053
LGA25990,0,0,147,149,4,15,85,104,68,44,79,193,170,50,95,317,215,64,119,401,312,57,189,556,311,30,145,485,122,3,88,211,25,0,23,51,1227,264,972,2464,0,4,145,148,8,20,80,107,111,55,83,243,187,49,68,307,252,61,129,437,330,47,162,545,274,19,152,453,70,4,96,166,16,0,52,66,1246,264,968,2474,0,5,288,293,10,35,168,213,176,103,161,443,363,107,161,630,463,123,246,836,638,104,350,1097,592,44,301,936,190,4,178,373,38,3,76,117,2476,533,1939,4940
LGA26080,0,0,55,55,0,3,30,31,17,7,24,46,40,13,28,82,83,17,18,124,133,12,38,184,176,3,48,229,112,6,17,131,21,3,17,40,584,66,268,914,0,0,68,68,0,0,22,21,21,18,22,58,61,18,20,100,101,15,43,162,140,11,65,212,163,4,85,260,88,0,87,178,16,0,65,76,590,67,475,1128,0,0,121,121,0,4,47,53,33,27,44,101,100,30,49,176,185,34,65,284,267,21,102,395,338,9,139,483,203,6,97,309,41,0,75,120,1167,137,745,2047
LGA26170,0,8,784,796,7,79,397,485,378,267,400,1037,778,199,302,1284,1010,254,453,1718,1164,179,491,1832,1173,80,389,1643,539,16,190,741,137,3,94,237,5176,1092,3499,9769,3,17,643,666,37,121,331,483,533,281,370,1181,856,244,322,1421,1080,240,474,1796,1240,174,598,2014,1051,64,528,1647,374,16,447,838,57,0,244,298,5224,1161,3958,10345,4,27,1432,1464,42,197,727,965,905,544,765,2219,1632,445,621,2701,2089,495,925,3509,2403,356,1091,3851,2225,146,918,3287,906,28,637,1579,193,4,335,538,10397,2249,7464,20109
LGA26260,0,3,453,455,4,59,274,334,228,154,227,613,467,94,170,734,613,80,216,909,694,65,276,1029,607,34,199,837,287,4,118,409,62,3,73,140,2961,494,2003,5463,0,12,374,388,11,79,199,287,329,152,210,694,516,85,180,777,666,95,284,1046,714,61,307,1081,526,21,299,845,199,4,319,529,31,0,202,237,2999,517,2376,5889,0,20,822,841,12,140,474,626,560,308,436,1306,982,178,348,1511,1281,175,499,1954,1402,129,582,2112,1133,58,495,1686,484,14,440,945,95,5,281,374,5962,1018,4380,11356
LGA26350,0,22,2025,2051,43,432,3243,3720,2205,2989,5171,10356,3190,1048,1906,6149,3122,632,1479,5231,2573,359,1163,4096,2228,192,836,3265,1322,56,464,1846,394,7,280,684,15079,5745,16577,37397,0,33,2154,2190,115,629,3898,4651,2804,2823,5526,11152,3335,740,2344,6414,3279,455,1920,5653,2578,255,1930,4764,2094,119,1632,3846,957,30,1399,2384,164,4,858,1025,15332,5082,21665,42085,3,58,4179,4244,162,1061,7146,8374,5002,5803,10702,21510,6528,1787,4245,12565,6401,1085,3401,10886,5155,613,3092,8861,4326,313,2469,7105,2278,84,1866,4231,563,15,1137,1716,30411,10823,38241,79483
LGA26430,0,3,232,236,5,23,125,148,92,101,150,343,217,81,103,396,307,71,187,568,455,74,228,756,456,50,217,723,254,7,108,365,44,9,48,100,1828,411,1393,3635,0,4,190,195,3,29,117,152,143,98,140,377,235,97,141,472,356,76,206,636,514,65,227,804,421,36,218,670,165,9,183,353,17,0,112,132,1840,412,1540,3793,0,6,417,428,8,52,241,303,233,194,287,719,450,176,241,865,660,147,394,1203,963,137,453,1562,877,79,436,1390,415,20,293,721,64,9,167,233,3669,825,2934,7427
LGA26490,0,3,791,791,0,35,515,554,395,305,467,1165,1213,285,301,1795,1246,230,346,1817,1150,185,376,1706,993,69,233,1295,411,13,100,525,85,0,53,140,5480,1130,3183,9797,0,0,695,694,16,57,379,449,592,347,455,1393,1313,309,320,1951,1295,250,413,1955,1163,156,485,1806,879,45,370,1287,305,7,281,586,44,0,165,206,5596,1175,3557,10332,0,5,1482,1487,17,91,896,1003,979,655,921,2557,2522,597,623,3747,2537,481,759,3774,2313,343,859,3512,1868,114,601,2584,712,26,375,1110,128,0,217,353,11076,2306,6743,20124
LGA26610,0,4,535,540,17,79,405,507,388,203,459,1051,580,98,265,945,684,108,345,1141,766,82,335,1188,535,30,238,807,332,13,130,474,91,3,56,149,3409,620,2780,6810,4,18,515,529,49,107,287,447,476,192,374,1045,671,98,269,1033,709,107,315,1130,749,66,289,1109,499,26,293,819,230,7,316,555,48,0,169,220,3433,619,2830,6883,3,18,1054,1077,73,187,692,948,870,396,836,2099,1254,195,533,1976,1397,213,664,2272,1521,154,627,2294,1032,63,530,1629,565,23,449,1031,139,3,232,369,6843,1247,5607,13695
LGA26670,0,4,161,168,3,11,73,90,60,53,84,191,136,43,70,244,229,40,107,377,296,37,138,469,288,23,91,398,119,5,55,180,22,0,25,45,1160,213,796,2160,0,4,126,125,11,18,50,76,81,50,64,197,162,48,41,256,275,42,88,402,303,32,97,433,240,9,95,346,83,4,86,173,18,0,61,76,1168,209,710,2087,0,9,288,290,13,36,126,170,143,98,148,393,298,88,108,500,509,82,191,782,596,72,234,902,533,30,184,748,204,12,139,348,37,0,88,120,2327,419,1499,4251
LGA26700,0,6,759,760,19,111,417,550,381,293,452,1124,849,196,356,1397,1038,202,454,1693,1126,136,471,1733,924,54,384,1368,528,26,181,737,154,0,98,253,5017,1019,3571,9610,0,13,703,718,21,158,356,539,534,285,437,1250,951,202,431,1589,1066,194,545,1802,1157,138,602,1898,885,55,526,1462,407,3,472,889,62,3,303,371,5084,1057,4377,10511,0,19,1460,1479,37,274,777,1092,912,576,885,2374,1797,395,785,2983,2101,392,1000,3496,2283,271,1073,3622,1808,112,912,2835,934,30,658,1620,210,7,400,619,10098,2075,7946,20121
LGA26730,0,10,995,1008,17,149,810,974,535,437,791,1767,964,268,458,1685,1148,195,502,1837,1136,138,443,1719,981,55,276,1313,480,15,166,668,149,7,87,235,5416,1273,4529,11215,4,23,958,989,36,214,643,895,694,431,736,1858,1033,244,593,1878,1251,197,722,2168,1141,129,674,1946,886,33,563,1484,382,14,555,946,75,3,316,388,5489,1298,5759,12546,4,34,1956,1994,50,366,1453,1871,1229,868,1524,3623,2001,510,1048,3563,2392,390,1215,4004,2278,269,1123,3665,1861,88,843,2794,859,28,721,1617,220,12,396,624,10908,2570,10283,23758
LGA26810,0,11,1150,1161,23,149,743,911,702,456,705,1864,1144,313,506,1967,1349,298,659,2306,1732,251,745,2731,1469,113,580,2164,666,21,307,998,158,3,136,297,7243,1626,5537,14401,0,32,1055,1081,43,234,521,800,940,478,675,2087,1265,340,560,2170,1565,301,751,2613,1788,223,835,2847,1265,81,714,2064,461,19,606,1083,81,0,347,430,7409,1700,6069,15181,0,41,2205,2243,65,380,1264,1709,1642,933,1378,3954,2410,651,1073,4134,2910,603,1415,4921,3517,479,1581,5575,2739,192,1298,4223,1128,38,913,2083,242,3,485,730,14654,3321,11604,29580
LGA26890,0,0,98,98,4,10,63,70,67,41,43,145,96,24,43,162,157,27,69,256,187,26,93,303,136,9,66,215,84,0,43,128,15,0,20,36,752,143,532,1424,0,0,89,87,7,16,39,56,93,41,38,173,95,25,39,158,187,29,51,275,164,16,66,244,129,7,82,212,66,0,69,137,9,0,40,48,744,132,506,1381,0,0,187,189,4,24,96,132,160,78,81,322,190,55,75,317,347,58,121,526,352,41,153,548,264,21,150,426,151,0,114,267,28,0,60,87,1496,277,1037,2802
LGA26980,3,24,4876,4900,81,336,5888,6314,3784,1426,5255,10468,6856,775,2059,9691,6762,626,2049,9440,5327,429,1736,7497,4217,209,1099,5523,2771,70,749,3588,821,16,569,1411,30629,3912,24289,58835,3,40,4664,4709,182,464,5023,5663,4813,1442,4420,10679,7484,764,2410,10666,6902,632,3037,10571,5110,380,3065,8555,3984,156,2602,6742,2085,49,2657,4787,419,3,1721,2147,30988,3928,29600,64521,12,67,9539,9613,263,799,10910,11979,8599,2869,9682,21148,14341,1544,4473,20358,13667,1259,5085,20012,10438,811,4799,16050,8199,368,3699,12264,4856,113,3409,8381,1245,21,2293,3559,61618,7841,53893,123356
LGA27070,3,15,5641,5658,176,332,5848,6346,6805,1947,6482,15232,9423,1318,3006,13743,7653,919,2541,11117,6280,579,1707,8560,4743,187,985,5912,2302,56,583,2941,382,5,277,663,37758,5353,27064,70180,14,29,5321,5365,564,527,5070,6157,8980,2013,5053,16050,9267,1295,3388,13953,7402,936,3533,11875,6134,464,2971,9569,3972,144,2246,6360,1504,35,1780,3325,158,7,713,874,38002,5452,30078,73529,18,42,10966,11023,743,851,10914,12505,15789,3962,11537,31286,18686,2618,6397,27697,15054,1853,6082,22987,12413,1044,4678,18133,8716,334,3233,12278,3809,94,2359,6266,534,15,989,1539,75764,10803,57148,143715
