LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA25810,4766,4961,9724,1828,965,2794,570,1147,1712,159,190,351,174,93,266,2731,2384,5121,1703,2211,3914,6.4,3.9,5.2,57.3,48.1,52.7,53.7,46.4,49.9,46,56,107,41,82,123,235,485,720,253,442,700,1207,530,1739,57,89,144,67,118,187,1335,737,2074,4583,4559,9137,570,688,1259,3468,3462,6922,1480,1626,3110
LGA25900,43303,45774,89077,22625,18203,40825,5335,9130,14466,1000,1414,2416,1607,1471,3075,30563,30225,60782,8112,10913,19028,5.3,4.9,5.1,70.6,66,68.2,66.9,62.8,64.8,4598,5183,9781,1207,2263,3472,11936,13628,25567,3810,4683,8494,4719,2475,7197,235,290,521,512,738,1245,5464,3506,8967,32047,33478,65530,10516,11201,21715,16992,17941,34938,24674,26034,50708
LGA25990,3258,2845,6105,1019,466,1483,308,677,981,105,97,207,100,77,176,1529,1314,2844,1490,1281,2772,6.5,5.9,6.2,46.9,46.2,46.6,44,43.6,43.8,28,46,74,26,62,85,141,277,422,165,315,479,736,298,1037,33,44,78,37,81,117,806,422,1224,2787,2734,5520,295,338,630,2049,2016,4065,890,915,1806
LGA26080,1152,1367,2523,320,192,506,185,290,468,29,37,70,13,19,34,544,538,1083,505,725,1230,2.4,3.5,3.1,47.2,39.4,42.9,46.4,38,41.4,84,77,163,34,71,105,222,298,521,141,195,333,180,66,247,3,11,12,24,25,53,208,101,306,1051,1215,2265,131,154,280,767,908,1670,406,442,850
LGA26170,11457,12127,23581,4527,2124,6653,1451,3216,4671,426,435,866,339,285,626,6751,6063,12810,3811,5114,8927,5,4.7,4.9,58.9,50,54.3,55.9,47.6,51.7,170,241,408,128,324,457,770,1360,2126,719,1223,1949,3339,1458,4797,93,183,282,187,276,461,3618,1923,5541,11099,11468,22567,1539,1727,3262,7960,8077,16038,4084,4573,8653
LGA26260,6340,6862,13199,2782,1349,4127,785,1858,2643,221,258,479,187,142,335,3974,3605,7581,1964,2810,4774,4.7,3.9,4.4,62.7,52.5,57.4,59.7,50.5,54.9,120,115,233,75,160,236,432,863,1296,422,651,1080,1712,800,2511,65,143,206,97,146,242,1875,1087,2962,6291,6578,12872,869,946,1814,4722,4900,9623,2102,2318,4416
LGA26350,42902,48063,90965,21804,16348,38154,5934,10239,16178,941,1265,2204,1533,1579,3112,30217,29429,59646,9321,15056,24380,5.1,5.4,5.2,70.4,61.2,65.6,66.8,57.9,62.2,5299,5074,10373,1232,2085,3313,13690,15466,29156,3475,4787,8257,3469,1882,5353,138,266,408,431,774,1202,4036,2931,6962,34041,37310,71345,10132,11578,21701,19538,21909,41451,23827,26378,50206
LGA26430,4303,4466,8763,1617,859,2480,505,1067,1580,168,146,317,102,105,210,2395,2188,4578,1536,1896,3430,4.3,4.8,4.6,55.7,49,52.2,53.2,46.4,49.9,69,68,138,40,115,158,283,504,788,300,493,794,1120,496,1621,24,67,87,52,115,161,1197,676,1870,4015,4079,8092,546,614,1159,2889,2899,5792,1498,1623,3127
LGA26490,11429,11914,23345,5268,2531,7796,1667,3791,5457,372,454,829,276,277,558,7588,7051,14637,3167,4210,7375,3.6,3.9,3.8,66.4,59.2,62.7,63.9,56.9,60.3,505,567,1071,260,502,761,1926,2548,4472,1172,1544,2715,2857,1113,3966,65,143,211,160,252,414,3080,1510,4588,11185,11444,22632,2107,2126,4234,7392,7458,14854,5321,5633,10946
LGA26610,8284,8364,16646,3525,1728,5256,799,1907,2705,312,295,610,256,203,462,4894,4132,9032,2320,3222,5544,5.2,4.9,5.1,59.1,49.4,54.3,56,47,51.5,48,85,129,57,147,205,397,773,1167,446,661,1103,1862,888,2751,56,127,189,99,158,257,2021,1170,3193,7713,7659,15371,1122,1151,2273,5420,5358,10777,2895,2989,5889
LGA26670,2572,2453,5023,1047,506,1551,284,617,899,117,101,216,79,55,129,1531,1270,2805,844,999,1846,5.2,4.3,4.6,59.5,51.8,55.8,56.3,49.9,53.1,35,38,70,27,56,88,140,265,408,157,293,450,781,325,1100,21,60,77,46,61,106,841,448,1288,2451,2344,4793,319,295,611,1864,1762,3628,797,797,1595
LGA26700,11041,12165,23209,4730,2432,7163,1351,3294,4645,377,433,812,318,297,615,6775,6458,13229,3440,4698,8140,4.7,4.6,4.6,61.4,53.1,57,58.5,50.6,54.4,181,242,421,181,346,522,829,1500,2334,820,1329,2149,3024,1470,4499,101,178,283,169,262,431,3300,1909,5211,10852,11567,22426,1517,1678,3195,7839,8257,16091,4023,4487,8511
LGA26730,13017,14531,27546,5684,2964,8643,1830,4161,5990,432,534,966,447,413,863,8394,8068,16460,3665,5361,9029,5.3,5.1,5.2,64.5,55.5,59.8,61,52.7,56.6,257,306,567,193,403,595,1193,1930,3128,848,1425,2275,3275,1778,5052,106,238,347,160,285,440,3538,2303,5838,12175,13199,25378,2308,2526,4830,8173,8831,17009,5725,6341,12064
LGA26810,17769,17585,35358,7001,3425,10425,1802,4468,6264,621,635,1254,706,491,1196,10126,9017,19141,6270,7206,13474,7,5.4,6.2,57,51.3,54.1,53,48.5,50.7,212,295,503,186,433,621,1008,1919,2930,1067,1669,2739,5134,2187,7325,146,290,434,220,400,625,5504,2877,8381,16239,16512,32746,2496,2661,5153,11475,11500,22979,6437,6840,13275
LGA26890,1625,1604,3234,787,353,1134,161,435,596,68,66,130,41,30,72,1058,879,1933,475,626,1101,3.9,3.4,3.7,65.1,54.8,59.8,62.5,53.2,57.5,12,23,37,10,29,46,70,190,254,101,164,262,364,185,546,23,28,54,17,40,59,402,252,657,1668,1614,3280,166,170,337,1314,1239,2554,435,478,913
LGA26980,64170,70660,134835,27743,16204,43946,9513,17987,27500,1391,1863,3251,2995,2607,5603,41648,38666,80308,19857,28897,48748,7.2,6.7,7,64.9,54.7,59.6,60.2,51,55.4,6228,5822,12049,1720,2927,4649,14610,17074,31686,6212,7521,13729,8304,3782,12082,316,490,803,778,1212,1988,9396,5484,14879,60524,65814,126343,12193,12562,24753,41409,45634,87044,28909,30358,59267
LGA27070,75780,79530,155311,36084,18872,54957,9434,19215,28649,2241,2710,4951,3577,3294,6868,51331,44090,95424,20697,31385,52079,7,7.5,7.2,67.7,55.4,61.4,63,51.3,57,3135,2938,6077,748,1544,2291,8416,11125,19539,6296,8436,14732,15876,8075,23955,543,998,1538,1029,1656,2686,17449,10727,28173,75819,77814,153635,13887,14099,27989,47826,49119,96943,36487,37697,74181
LGA27170,15197,16050,31242,7436,3776,11212,1712,4266,5977,452,563,1010,577,589,1160,10168,9186,19357,4016,5856,9878,5.7,6.4,6,66.9,57.2,62,63.2,53.6,58.3,272,334,605,207,412,620,1057,1831,2888,1254,1776,3031,4314,2450,6760,162,331,497,227,410,639,4703,3192,7897,14174,14823,28994,3279,3366,6649,8747,9205,17947,7826,8101,15920
LGA27260,80948,82364,163311,42341,22235,64576,9878,18906,28789,2409,2639,5049,4157,4669,8831,58791,48447,107237,17686,29406,47091,7.1,9.6,8.2,72.6,58.8,65.7,67.5,53.2,60.3,6263,5424,11693,1136,1712,2846,11283,14094,25378,7373,9036,16407,15364,8406,23771,590,925,1516,1128,1576,2697,17075,10906,27982,80939,81721,162659,17239,17557,34795,46188,46615,92801,44778,45716,90488
LGA27350,37204,39777,76983,19413,15942,35363,5011,8262,13272,917,1232,2145,1468,1349,2814,26812,26790,53597,6877,9389,16269,5.5,5,5.3,72.1,67.4,69.6,68.1,63.9,66,4512,5121,9631,1255,2184,3440,11370,12643,24009,2709,3178,5891,3207,1788,4993,160,226,388,370,474,842,3734,2486,6224,27593,29377,56975,9202,9938,19138,14945,16188,31133,21088,22405,43492
LGA27450,59178,61903,121080,29758,14326,44084,7485,18683,26167,1910,2251,4162,1827,1743,3572,40986,37000,77988,15223,21809,37029,4.5,4.7,4.6,69.3,59.8,64.4,66.2,57,61.5,1538,1807,3346,951,1949,2908,5769,8699,14472,4963,7859,12823,17925,7624,25551,435,883,1326,861,1473,2325,19222,9982,29201,60804,62062,122871,7258,7797,15058,43893,44404,88301,21439,22972,44408
LGA27630,2799,2815,5618,1072,457,1528,260,654,911,88,104,188,81,53,136,1496,1262,2762,1077,1297,2371,5.4,4.2,4.9,53.4,44.8,49.2,50.7,43.2,46.8,16,20,42,18,46,62,117,248,361,143,267,414,672,329,1003,27,49,75,36,60,101,732,444,1176,2757,2683,5439,282,292,571,2135,2026,4156,773,850,1627
LGA29399,406,339,746,191,120,310,48,56,107,10,13,18,9,3,13,263,194,451,43,48,91,3.4,1.5,2.9,64.8,57.2,60.5,61.3,55.8,58.3,10,15,22,3,11,14,47,54,102,28,30,64,65,33,97,3,3,6,10,3,19,82,43,126,263,202,470,81,78,156,168,127,293,158,149,310
LGA29499,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
LGA29799,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
