SED_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED24606,558,392,205,131,206,195,108,1788,277,281,169,94,149,99,62,1120,257,289,146,106,139,93,59,1086,1333,1778,1169,698,976,668,380,6994,9,3,3,0,0,3,0,20,2429,2742,1692,1018,1471,1050,604,11012,23,63,49,41,54,44,35,301,35,32,29,25,54,34,20,230,18,26,15,13,22,9,12,112,59,182,128,97,132,107,81,785,13,6,6,3,3,3,0,28,136,313,226,171,266,193,151,1464,2566,3054,1919,1194,1735,1241,762,12472
SED24703,1396,721,301,187,255,181,94,3137,242,164,68,38,51,29,17,609,337,171,74,41,67,29,22,742,899,560,288,177,222,141,86,2379,37,21,14,4,0,0,0,76,2912,1634,751,446,597,386,215,6942,211,243,133,120,197,200,138,1243,29,37,19,14,27,15,17,158,28,33,26,5,23,21,18,149,75,101,46,42,65,38,27,393,39,22,12,10,3,8,0,92,386,441,236,192,315,280,195,2036,3300,2076,988,634,905,664,405,8980
SED24808,1119,1093,524,314,402,194,78,3725,350,305,164,73,122,59,32,1107,361,286,140,82,108,48,21,1041,2983,2637,1303,816,1063,368,134,9304,28,36,18,18,8,3,4,110,4849,4361,2146,1297,1700,672,268,15286,214,241,147,98,138,49,36,924,108,130,76,47,86,24,15,492,43,70,47,27,47,18,15,259,860,1016,549,330,422,144,44,3365,74,69,32,21,15,10,0,220,1295,1522,858,519,711,245,114,5257,6137,5882,3003,1816,2413,912,381,20550
SED24904,274,282,184,94,167,38,10,1051,103,97,46,37,72,17,0,378,138,104,54,25,52,11,6,398,2258,2348,1371,835,1228,290,59,8390,28,22,15,12,4,0,0,83,2806,2857,1673,1006,1528,359,71,10300,32,62,31,32,45,9,6,217,34,45,30,26,30,3,0,170,31,32,16,20,26,3,0,126,590,739,437,304,394,97,17,2576,28,32,16,13,10,5,0,106,715,917,531,389,504,116,28,3194,3519,3775,2205,1401,2031,478,95,13494
SED25003,1746,1478,728,431,663,504,291,5849,351,301,186,135,217,110,58,1349,328,233,134,84,135,73,47,1027,1714,1772,1075,690,904,454,196,6806,32,28,12,14,12,0,5,98,4176,3806,2137,1352,1931,1146,592,15134,86,128,105,74,97,85,57,626,53,58,49,39,59,26,24,308,27,37,37,15,32,15,3,177,298,423,277,201,245,102,45,1593,28,23,14,18,12,5,0,92,499,671,481,348,441,223,126,2797,4667,4483,2619,1699,2371,1372,722,17931
SED25102,209,244,156,117,144,82,42,996,264,344,217,137,198,88,48,1286,298,300,170,106,146,95,46,1167,2126,2227,1253,788,1083,509,249,8231,9,17,8,0,3,0,0,36,2906,3131,1797,1149,1566,777,387,11717,13,23,22,15,23,16,9,107,41,85,42,28,45,28,8,271,9,26,38,18,36,23,7,162,220,323,255,174,250,108,51,1383,6,8,11,3,16,0,0,44,294,464,355,239,364,168,80,1969,3196,3595,2155,1386,1938,951,461,13685
SED25205,629,679,350,240,319,226,124,2570,401,403,199,133,149,78,40,1410,362,377,185,120,163,97,50,1351,2032,2129,1124,699,849,463,226,7526,9,10,3,4,3,3,0,35,3433,3605,1864,1196,1483,866,441,12893,34,57,39,35,71,42,28,308,42,76,46,47,59,35,13,313,21,44,48,29,36,13,17,211,160,255,194,148,218,122,55,1150,11,9,3,4,3,3,0,42,269,445,330,261,388,216,116,2022,3703,4052,2190,1462,1875,1080,558,14915
SED25302,289,451,290,215,271,152,53,1724,338,473,257,143,204,75,34,1518,305,362,187,131,161,60,38,1253,1872,2306,1295,758,1050,440,207,7932,0,9,7,3,16,0,6,32,2802,3604,2041,1256,1700,731,335,12464,19,34,42,28,66,21,6,215,27,65,56,40,51,27,6,273,21,36,39,21,46,14,7,179,177,360,250,170,231,86,34,1306,11,13,15,6,4,3,0,54,252,507,396,265,396,152,63,2035,3059,4108,2438,1524,2099,879,400,14497
SED25402,202,186,116,62,79,30,14,691,98,122,82,41,71,24,5,442,92,102,64,42,61,26,10,406,2322,2325,1275,824,1092,324,101,8271,19,27,12,15,9,0,0,82,2734,2761,1553,979,1318,404,133,9891,30,42,29,27,43,12,4,189,40,42,33,21,31,6,3,172,19,31,22,34,32,13,8,151,719,857,487,369,463,113,35,3033,48,34,24,14,12,0,0,128,851,997,590,456,580,147,46,3675,3592,3764,2142,1439,1896,554,179,13567
SED25501,1647,2050,1267,853,1162,998,545,8521,135,148,83,58,82,64,49,612,182,211,129,80,110,84,36,827,468,723,502,353,482,299,174,3007,12,5,3,3,6,0,4,28,2444,3136,1992,1339,1842,1443,801,12994,105,212,173,156,306,252,141,1344,16,27,16,14,22,26,14,138,21,28,29,32,23,25,11,165,41,83,81,73,92,60,38,471,3,0,4,3,4,3,3,21,184,356,301,276,456,361,205,2130,2630,3486,2291,1618,2294,1803,1003,15130
SED25605,1846,1643,842,530,824,631,387,6699,190,186,106,65,107,61,33,756,276,208,98,45,83,58,22,787,716,728,449,281,383,211,112,2884,7,11,6,9,4,3,0,39,3040,2765,1506,925,1397,970,557,11161,171,238,163,117,184,157,110,1134,41,49,27,31,36,26,19,237,21,35,40,29,24,15,3,167,101,146,123,81,118,61,31,658,16,13,7,4,14,5,0,61,353,489,357,262,375,255,163,2259,3384,3259,1867,1191,1774,1228,723,13425
SED25704,164,136,82,43,59,13,4,497,71,57,32,33,35,15,3,255,107,95,41,25,36,12,5,316,2344,2502,1439,1036,1453,311,58,9142,16,22,6,15,4,0,0,73,2706,2814,1610,1150,1589,348,64,10284,10,21,18,8,12,4,0,75,27,39,18,17,20,5,3,129,15,17,12,9,10,3,0,68,472,604,396,269,380,82,9,2202,26,23,11,6,4,0,0,78,539,698,453,316,428,95,12,2549,3240,3515,2066,1473,2011,446,83,12833
SED25802,134,144,84,71,83,38,13,566,175,209,110,64,103,27,10,694,125,161,99,77,106,38,11,615,2517,2772,1501,965,1302,457,161,9673,12,17,11,9,8,0,0,52,2955,3296,1807,1181,1608,561,195,11610,13,25,20,10,37,13,3,125,35,59,28,22,25,9,5,195,21,26,25,14,24,14,3,129,486,698,425,297,439,116,27,2490,30,21,14,4,7,0,4,72,592,829,510,359,536,151,40,3012,3547,4133,2313,1535,2147,711,239,14617
SED25905,1727,1846,994,634,1008,804,446,7455,274,285,174,104,180,84,37,1143,268,227,136,87,117,63,29,931,1205,1140,691,451,649,327,113,4564,23,30,13,4,11,8,3,86,3495,3527,2007,1280,1970,1283,624,14177,144,189,126,87,180,97,78,903,58,72,38,38,48,29,19,303,33,36,31,18,40,23,8,183,218,298,197,170,233,77,32,1226,25,16,15,9,9,3,0,79,477,611,412,324,516,229,135,2697,3971,4131,2418,1602,2481,1513,761,16872
SED26005,2942,3201,1782,1100,1579,1042,506,12152,438,430,265,164,223,100,35,1647,384,375,216,95,152,76,41,1341,1630,1958,1130,666,921,363,132,6815,40,49,17,11,8,6,0,128,5432,6015,3410,2035,2887,1593,717,22083,190,295,203,158,246,144,93,1330,77,90,88,41,82,32,11,414,37,58,44,37,59,20,12,257,315,371,251,220,309,107,52,1630,28,27,20,13,9,0,0,98,644,851,606,468,697,306,170,3735,6073,6859,4018,2502,3582,1891,887,25816
SED26102,93,119,69,50,61,42,10,442,167,220,129,70,102,36,18,741,177,195,91,55,83,33,8,640,1628,1709,975,556,776,258,104,6000,21,21,6,4,4,0,0,59,2084,2264,1264,740,1021,369,134,7879,0,10,20,19,16,4,9,86,40,67,38,32,67,11,9,259,23,42,21,13,22,9,4,141,316,467,318,239,277,79,33,1725,11,16,17,11,10,7,0,66,393,608,418,314,388,112,54,2279,2478,2868,1686,1052,1413,477,186,10161
SED26207,523,488,290,194,334,272,156,2257,285,307,170,117,153,102,67,1194,317,245,125,80,125,72,46,1004,1767,1822,1036,626,853,533,270,6905,9,4,4,4,6,4,3,37,2897,2864,1625,1016,1470,978,541,11387,23,45,51,54,60,49,31,319,22,54,36,23,35,24,15,209,14,22,31,17,31,21,15,158,148,257,170,169,233,124,81,1188,13,14,7,7,9,3,3,50,221,395,305,262,366,220,151,1920,3119,3255,1932,1279,1843,1191,688,13305
SED26303,426,326,151,97,158,125,57,1344,464,404,211,118,182,112,54,1546,409,358,160,90,103,72,49,1239,1858,1875,1071,592,694,385,187,6664,13,8,4,6,7,0,3,42,3173,2978,1601,903,1138,688,351,10835,40,52,31,37,52,38,30,282,29,72,48,29,44,28,24,270,26,34,17,22,24,13,7,149,114,197,149,95,150,75,53,833,11,5,3,6,0,3,3,31,226,363,250,189,270,151,114,1568,3403,3337,1851,1090,1411,844,467,12400
SED26406,1600,1084,399,221,358,288,169,4120,298,294,187,99,133,83,45,1143,419,325,153,94,120,78,36,1223,1238,1357,769,457,606,350,185,4961,10,7,5,0,6,0,0,30,3563,3074,1506,879,1224,799,433,11484,75,109,57,46,86,83,57,520,28,43,42,25,34,26,19,213,20,34,18,20,18,15,9,135,63,159,128,92,125,72,50,679,11,8,3,5,7,0,0,27,191,358,252,181,265,194,138,1578,3750,3429,1754,1060,1492,996,572,13053
SED26504,136,127,64,36,44,11,3,417,97,116,64,45,64,8,0,396,103,105,52,33,58,14,3,373,1913,2126,1273,833,1058,221,51,7466,20,15,6,6,7,3,0,52,2269,2495,1460,950,1229,263,56,8710,11,22,20,15,26,5,0,103,35,42,27,20,25,6,3,162,11,23,17,9,10,0,0,70,404,589,339,272,315,65,15,1993,27,16,20,6,14,0,0,88,492,696,417,325,383,79,21,2421,2760,3190,1878,1275,1613,344,76,11131
SED26603,1455,1011,430,282,363,303,188,4035,508,437,199,130,188,91,55,1610,440,308,143,89,112,69,31,1189,2005,1649,878,519,650,335,175,6211,28,16,9,9,9,3,3,76,4439,3421,1665,1034,1321,790,447,13122,61,108,95,55,114,65,39,540,69,86,48,54,56,50,20,375,44,76,36,24,37,24,11,238,149,242,214,136,185,108,43,1083,12,15,8,7,11,7,0,63,338,526,401,275,394,245,114,2298,4774,3943,2069,1311,1722,1042,563,15415
SED26708,116,117,74,50,60,12,3,432,137,111,84,49,68,23,3,483,145,122,80,40,64,16,3,463,2335,2677,1621,1023,1286,332,94,9373,11,17,13,8,5,0,0,55,2742,3047,1879,1170,1493,380,101,10808,7,9,11,0,10,3,0,35,17,34,34,15,21,6,0,126,18,19,23,13,12,0,6,88,375,484,321,235,321,70,21,1821,19,27,12,14,9,0,0,73,440,565,394,272,371,82,27,2155,3180,3611,2276,1448,1863,462,128,12961
SED26806,696,393,149,83,106,78,46,1555,259,163,67,53,62,37,23,670,279,156,80,43,60,28,20,665,908,576,306,188,269,162,107,2516,5,0,0,0,0,0,0,4,2149,1286,603,369,500,316,194,5413,60,89,44,40,71,63,38,403,33,36,24,26,43,24,9,196,24,23,28,7,16,11,12,129,65,144,77,56,84,73,59,556,15,11,0,3,3,3,0,39,209,304,175,139,214,175,115,1327,2353,1592,778,505,717,490,312,6744
SED26903,1591,978,437,233,332,267,150,3990,340,282,148,77,119,70,47,1072,346,231,96,54,73,45,18,865,1442,1344,660,376,458,227,109,4620,34,18,12,3,11,5,0,83,3748,2860,1350,741,985,613,333,10628,132,128,83,67,112,83,75,674,57,82,65,36,39,24,11,327,25,48,27,25,40,26,13,196,222,287,194,129,173,82,42,1130,36,22,14,10,4,6,0,94,471,568,394,265,363,218,141,2417,4220,3431,1745,1009,1349,827,468,13045
SED27003,632,408,215,137,145,129,70,1741,298,232,88,50,52,32,22,775,342,203,70,41,46,31,22,751,1289,947,437,256,298,188,96,3514,19,21,10,3,6,0,0,63,2580,1816,819,486,552,385,210,6843,234,249,149,134,166,108,76,1117,46,49,25,15,28,22,9,199,39,49,19,11,28,15,12,168,99,117,89,52,91,62,44,553,32,45,18,7,4,5,5,119,452,505,296,229,315,206,140,2150,3023,2320,1120,713,872,597,350,8996
SED27101,1411,990,405,237,324,244,153,3757,273,287,160,103,132,89,34,1074,327,279,110,82,122,61,22,1005,1750,1783,980,548,730,397,188,6373,17,3,0,3,0,0,0,22,3777,3346,1654,973,1308,786,391,12229,72,90,75,69,98,76,45,522,36,65,56,34,48,28,14,273,20,34,26,21,15,14,14,146,128,214,165,157,221,105,70,1056,13,10,3,4,6,7,0,40,273,405,324,282,388,235,144,2046,4048,3747,1978,1252,1699,1019,533,14271
SED27208,126,108,64,32,43,12,0,394,76,86,69,42,37,11,3,323,98,104,57,45,36,9,9,353,2124,2271,1386,849,1193,245,59,8131,9,18,6,9,5,0,0,57,2442,2588,1585,978,1317,280,72,9253,3,10,5,6,13,0,0,44,16,38,31,26,23,7,0,137,4,23,11,7,18,6,0,71,449,593,373,300,352,84,25,2171,16,30,17,18,11,4,0,90,492,689,433,354,412,97,29,2504,2927,3275,2014,1334,1729,374,97,11759
SED27305,868,854,560,392,581,553,331,4138,231,273,151,111,168,115,59,1108,218,235,136,94,151,75,36,944,1339,1633,1012,717,1032,548,214,6494,6,8,5,9,7,3,3,41,2655,3008,1860,1317,1944,1287,646,12718,26,63,44,35,82,57,55,360,20,26,30,30,38,23,13,178,12,35,15,16,31,19,12,144,135,227,182,137,217,107,41,1044,6,5,3,0,3,6,0,22,204,355,274,218,375,205,119,1748,2867,3361,2135,1540,2314,1491,765,14471
SED27406,556,680,367,240,350,202,100,2488,359,369,235,133,150,98,56,1392,380,402,214,111,158,93,51,1410,1454,1689,1079,688,936,615,348,6803,10,13,10,6,3,0,0,41,2755,3149,1898,1180,1595,1006,552,12131,23,55,41,36,75,45,21,300,23,55,38,28,56,30,16,248,26,27,27,31,28,15,19,169,78,189,142,126,153,108,56,851,4,7,7,0,6,0,0,22,150,335,254,225,310,191,114,1587,2905,3480,2157,1404,1907,1197,664,13721
SED27504,761,687,359,218,344,115,39,2513,124,106,65,35,76,11,6,416,139,129,69,39,51,17,3,443,2261,2399,1352,879,1323,317,67,8607,20,23,11,12,11,6,3,91,3305,3348,1852,1191,1807,472,113,12077,66,65,51,45,60,32,16,337,49,50,32,23,34,7,3,200,22,47,26,7,20,8,0,133,616,804,476,333,487,99,26,2843,30,37,31,19,10,3,0,134,781,1003,620,430,618,150,42,3648,4086,4351,2472,1624,2424,614,150,15720
SED27608,399,368,196,171,208,94,50,1477,314,315,188,127,154,67,28,1190,310,271,154,88,128,56,34,1029,3118,2986,1589,1000,1306,569,252,10831,14,13,9,3,0,3,0,44,4147,3955,2135,1388,1801,789,361,14576,16,22,20,11,24,27,5,127,43,75,36,36,40,16,13,259,29,48,24,12,30,8,8,150,259,391,317,230,312,128,65,1704,5,11,9,9,5,3,4,48,353,554,406,297,415,176,88,2286,4502,4506,2541,1690,2216,968,446,16863
SED27708,117,144,95,63,81,10,3,515,139,136,60,56,51,9,0,455,137,153,70,39,51,16,4,468,2319,2479,1458,972,1312,306,88,8936,19,9,11,8,4,7,0,59,2736,2920,1701,1133,1502,349,99,10440,17,18,27,10,16,0,0,91,45,45,37,23,17,13,5,186,14,30,18,16,17,9,0,103,435,604,384,280,424,104,17,2250,20,24,10,6,8,4,0,73,532,726,474,339,483,119,26,2700,3263,3643,2177,1468,1984,471,120,13134
SED27807,2476,1888,1023,685,965,725,426,8191,221,152,107,43,73,67,37,701,254,194,84,47,67,43,19,703,609,446,223,166,218,116,52,1823,51,49,21,12,5,7,0,147,3615,2725,1467,953,1330,950,535,11572,471,632,390,349,463,285,189,2780,87,75,41,35,33,24,14,307,70,60,38,20,20,6,10,230,184,240,139,97,111,45,21,832,68,62,35,31,30,14,3,241,881,1069,642,530,666,371,246,4390,4495,3787,2105,1476,1996,1323,778,15959
SED27907,357,404,256,182,281,196,103,1779,287,255,173,106,144,76,32,1069,256,207,99,87,112,60,26,842,2212,1959,1053,665,886,437,194,7411,13,19,3,4,0,3,3,46,3127,2837,1587,1041,1425,772,354,11159,35,67,38,28,59,33,21,277,56,76,40,32,51,27,15,292,19,30,32,26,31,15,8,163,381,468,312,241,305,114,67,1885,10,18,18,10,9,3,3,72,497,657,435,334,451,199,110,2684,3630,3494,2019,1376,1880,971,468,13841
SED28007,1652,1798,997,653,1038,779,440,7357,397,477,323,188,274,143,63,1862,311,383,208,129,185,127,55,1397,2038,2255,1283,858,954,506,172,8058,17,19,17,8,9,5,0,63,4413,4928,2820,1837,2454,1557,729,18738,148,189,161,103,196,137,84,1017,52,70,49,49,55,29,15,322,34,79,35,17,47,22,4,239,200,328,216,159,240,99,45,1291,20,30,19,10,12,3,0,88,450,702,481,339,539,291,157,2955,4864,5623,3301,2170,2994,1847,891,21693
SED28107,6065,4517,1893,993,1290,741,335,15830,548,390,195,109,155,72,35,1504,442,373,176,93,153,67,23,1330,1531,1348,672,480,690,316,147,5187,52,45,26,11,7,6,5,151,8634,6671,2959,1693,2295,1199,541,23997,431,467,286,202,284,161,67,1901,90,104,62,34,46,18,9,372,49,84,38,30,56,31,14,297,342,480,284,191,236,112,49,1691,54,46,25,12,15,4,6,156,965,1183,699,477,635,315,145,4427,9602,7856,3656,2172,2935,1518,686,28422
SED28203,2634,2046,1072,561,880,614,327,8136,400,355,160,80,124,56,31,1210,292,211,90,51,66,38,17,765,1150,806,377,224,290,128,49,3014,40,40,22,18,8,6,3,137,4511,3457,1718,936,1366,845,428,13257,190,286,192,168,181,135,87,1242,77,82,54,39,52,21,9,336,44,52,45,30,35,17,14,228,241,298,174,117,150,62,19,1052,26,30,23,25,14,8,3,120,569,746,480,378,438,241,135,2981,5084,4198,2197,1306,1802,1087,557,16237
SED28301,1044,1132,598,392,634,542,316,4647,177,239,175,108,174,133,65,1070,220,275,151,116,174,97,65,1099,1150,1628,1099,757,1064,686,348,6730,5,15,3,4,3,0,5,39,2590,3285,2029,1374,2057,1460,789,13585,65,122,86,67,125,119,69,659,26,48,36,21,35,26,12,198,15,28,12,17,17,22,4,112,68,135,134,103,138,93,54,719,4,9,10,0,4,0,0,25,176,329,277,206,314,267,151,1712,2767,3614,2304,1582,2374,1724,940,15301
SED28408,242,216,113,69,80,31,9,767,130,122,71,47,68,28,6,466,128,140,66,44,53,22,5,453,2087,2025,1175,694,1022,363,145,7515,13,10,6,7,9,3,0,46,2607,2514,1428,864,1234,444,168,9259,23,37,20,15,27,4,5,126,48,43,28,27,43,8,5,204,8,28,19,8,12,8,4,87,488,710,457,299,430,148,39,2576,22,22,22,7,12,0,0,86,585,849,543,360,520,165,54,3079,3192,3367,1972,1223,1759,607,218,12337
SED28507,2063,1588,734,451,572,308,143,5860,323,245,135,77,115,62,29,984,271,210,124,88,103,56,24,872,1740,1701,875,539,731,327,129,6037,20,27,7,11,9,3,0,78,4411,3770,1885,1162,1517,753,329,13835,191,243,163,116,152,99,50,1017,91,127,76,45,62,32,12,433,52,80,42,31,51,25,6,291,487,616,385,246,323,122,40,2222,39,38,27,18,10,0,0,142,863,1105,691,455,598,281,114,4109,5273,4872,2567,1622,2114,1041,440,17940
SED28607,851,694,306,158,274,227,128,2634,638,596,264,138,189,97,56,1980,580,429,178,115,138,89,47,1584,2533,2208,1020,579,776,444,212,7774,20,6,4,8,3,0,0,46,4629,3940,1767,997,1388,851,443,14014,70,110,85,52,90,48,34,489,66,84,54,47,68,30,15,363,23,56,25,31,41,21,7,208,162,289,155,117,199,112,48,1085,13,21,13,4,7,0,0,58,331,563,341,248,405,215,115,2209,4962,4497,2109,1243,1790,1067,554,16223
SED28704,989,797,404,226,343,195,99,3053,437,410,235,106,157,91,33,1460,399,350,156,125,150,77,33,1299,4181,3588,1948,1187,1553,643,255,13350,26,21,8,9,12,3,0,81,6033,5158,2753,1652,2214,1010,422,19243,52,68,46,29,33,35,21,288,59,89,78,55,61,28,15,382,26,68,36,28,34,17,3,210,596,744,497,311,417,157,67,2792,33,26,13,10,6,4,0,89,767,997,665,435,548,233,107,3754,6797,6150,3420,2086,2769,1246,527,22994
SED28803,3705,3372,1746,1035,1493,980,524,12849,624,561,290,173,251,115,52,2066,389,315,191,129,132,81,40,1278,2029,1773,901,591,836,426,193,6742,48,39,14,10,8,3,0,125,6798,6061,3148,1935,2717,1607,810,23067,234,291,217,157,251,161,76,1381,100,122,77,65,97,30,15,503,57,64,41,24,35,23,8,252,379,471,311,207,269,103,57,1803,28,38,20,18,9,10,3,117,794,980,669,474,658,320,162,4056,7586,7044,3811,2406,3379,1928,973,27123
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
