SED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SED23308,0,15,1561,1575,44,256,1659,1961,1241,929,1755,3930,2008,491,942,3437,1920,379,1257,3549,1921,269,1075,3261,1473,104,658,2236,854,31,351,1234,275,8,240,522,9736,2475,9499,21710,3,25,1490,1520,86,333,1601,2023,1553,968,1697,4217,2076,474,1212,3768,2078,374,1523,3980,1868,233,1593,3693,1329,76,1299,2702,702,13,1059,1777,136,0,687,821,9837,2502,12165,24499,3,44,3054,3102,131,588,3268,3986,2794,1894,3449,8141,4084,965,2159,7204,3995,752,2777,7531,3789,501,2667,6953,2807,178,1959,4936,1556,46,1416,3015,413,8,924,1339,19572,4972,21664,46203
SED23402,0,13,2330,2341,50,236,1710,2002,1628,905,1422,3955,2797,577,759,4133,3033,458,830,4318,2483,254,638,3374,1638,123,415,2169,822,35,235,1094,192,5,139,333,12648,2596,8480,23719,0,23,2110,2124,108,364,1599,2071,2142,931,1320,4399,2945,564,954,4467,3078,459,1100,4630,2352,233,942,3530,1468,84,784,2341,571,18,624,1209,97,4,391,490,12753,2679,9831,25259,0,28,4434,4464,162,600,3314,4073,3771,1835,2744,8351,5743,1143,1711,8594,6106,913,1932,8951,4831,488,1581,6907,3104,205,1196,4510,1391,48,857,2298,288,8,532,828,25394,5275,18315,48980
SED23502,3,14,1463,1478,33,204,857,1091,779,550,846,2176,1246,470,705,2420,1762,402,891,3061,2376,404,1085,3863,2570,236,999,3808,1301,62,512,1880,257,13,204,469,10326,2353,7557,20235,3,43,1288,1329,63,275,652,982,1021,608,818,2445,1508,449,766,2723,2025,458,1052,3539,2552,391,1197,4141,2353,175,1074,3591,907,40,998,1942,100,0,536,639,10530,2430,8375,21337,3,56,2753,2806,91,470,1507,2072,1800,1157,1664,4621,2750,918,1475,5142,3791,858,1945,6595,4933,792,2279,8004,4925,409,2068,7399,2206,106,1509,3823,359,14,735,1105,20860,4781,15934,41574
SED23602,0,20,1511,1525,25,163,867,1049,853,562,862,2269,1522,403,636,2562,1861,447,921,3233,2240,332,990,3571,2124,163,774,3063,946,23,403,1372,248,5,186,446,9816,2111,7148,19083,3,33,1316,1358,59,269,666,1000,1147,582,800,2529,1662,464,720,2845,2078,437,999,3514,2363,311,1171,3840,1864,118,1010,2991,662,30,846,1539,127,3,476,608,9962,2243,8006,20216,4,55,2827,2888,82,431,1536,2047,1993,1141,1663,4801,3181,863,1362,5404,3940,886,1920,6747,4603,644,2162,7409,3987,279,1780,6050,1605,56,1245,2908,373,9,666,1051,19779,4357,15156,39298
SED23702,0,10,2151,2165,32,206,1721,1959,1156,956,1495,3603,2230,650,870,3754,2699,601,1069,4373,2585,356,918,3854,1906,155,614,2677,838,44,322,1201,156,7,125,292,11601,2987,9288,23868,0,25,1972,1998,71,324,1549,1950,1573,1026,1405,4005,2346,681,1051,4083,2931,573,1408,4911,2521,324,1289,4134,1658,113,1047,2813,568,28,728,1322,77,3,309,388,11750,3100,10754,25605,3,31,4122,4161,107,529,3271,3903,2730,1981,2901,7609,4574,1337,1925,7830,5631,1175,2483,9287,5103,688,2204,7991,3561,272,1660,5492,1409,70,1049,2528,235,9,435,683,23351,6088,20047,49474
SED23806,0,10,1798,1813,33,220,2402,2649,1399,1284,2533,5213,2384,489,840,3713,2566,296,650,3510,2146,182,518,2850,1602,88,411,2096,782,27,242,1055,204,7,128,339,11113,2613,9511,23231,0,10,1807,1818,62,334,2232,2625,1731,1239,2525,5497,2636,410,1112,4160,2721,278,1098,4098,2099,135,997,3229,1443,60,986,2485,544,14,718,1278,92,7,506,604,11330,2496,11977,25804,3,24,3605,3631,91,556,4630,5275,3126,2530,5053,10710,5021,897,1957,7873,5284,581,1749,7609,4243,322,1509,6081,3044,144,1394,4578,1334,45,955,2336,298,10,635,944,22442,5109,21484,49030
SED23901,0,6,1668,1678,19,99,1663,1778,1249,793,1864,3906,2625,505,873,4004,2466,371,949,3787,2133,247,917,3298,1664,115,556,2336,946,18,326,1292,329,11,216,547,11427,2164,9026,22617,0,14,1656,1675,70,151,1507,1728,1641,862,1589,4094,2830,503,999,4335,2558,344,1324,4229,2086,207,1258,3552,1516,74,1042,2630,718,17,951,1679,159,3,670,834,11577,2171,10995,24750,3,23,3327,3347,86,249,3173,3507,2895,1650,3459,8003,5455,1011,1869,8336,5023,718,2266,8012,4223,455,2167,6848,3177,184,1606,4966,1661,36,1274,2969,487,7,888,1380,23004,4340,20021,47367
SED24006,3,4,2363,2370,17,80,2145,2237,758,510,1781,3046,2102,281,554,2940,3222,277,642,4146,2664,174,529,3361,1794,97,371,2257,942,34,274,1253,362,16,199,575,11858,1469,8868,22198,0,0,2274,2277,36,110,1956,2101,1054,526,1557,3134,2563,300,857,3721,3492,274,1156,4923,2495,161,1021,3674,1618,70,873,2569,707,20,845,1576,179,6,638,824,12142,1465,11181,24790,3,6,4631,4641,50,187,4107,4338,1814,1028,3334,6183,4665,585,1414,6655,6718,549,1804,9072,5150,332,1548,7034,3407,164,1247,4826,1647,57,1126,2827,542,24,840,1403,23998,2933,20047,46983
SED24105,3,7,2287,2299,79,67,2367,2511,2004,404,2516,4926,2798,343,1199,4344,2951,267,1001,4223,2522,193,872,3586,1979,79,564,2621,893,24,284,1202,199,0,130,329,13419,1395,11224,26041,3,13,2073,2095,272,108,1927,2304,2619,457,1888,4965,3183,359,1230,4768,2787,256,1269,4308,2324,164,1249,3734,1670,61,1064,2795,559,9,769,1339,83,4,433,524,13493,1438,11902,26831,7,18,4367,4392,347,176,4288,4812,4618,863,4405,9890,5981,701,2426,9113,5737,523,2269,8531,4843,361,2116,7321,3645,145,1633,5419,1449,39,1057,2545,285,3,561,850,26915,2826,23129,52870
SED24207,0,6,2583,2589,98,89,2329,2512,2242,618,2719,5583,4371,541,1468,6387,3222,409,1074,4709,2574,216,786,3586,1774,97,438,2310,594,13,202,802,89,4,68,166,14966,2000,11671,28639,11,13,2504,2527,218,115,2060,2392,3289,682,2098,6067,4372,593,1640,6604,3039,353,1515,4908,2373,175,1254,3799,1351,57,841,2255,342,9,541,884,56,0,217,273,15036,2006,12663,29705,14,25,5086,5117,309,202,4383,4898,5531,1301,4818,11644,8744,1137,3107,12987,6257,757,2593,9613,4949,394,2046,7383,3121,158,1277,4561,931,24,735,1691,144,5,290,444,30002,4009,24334,58343
SED24308,0,8,1873,1881,46,263,1650,1965,1158,752,1731,3641,1831,541,1168,3537,2039,391,1269,3699,2042,237,1045,3328,1713,122,681,2512,879,29,395,1302,224,6,159,390,9941,2346,9958,22251,3,40,1767,1815,114,336,1497,1943,1511,810,1610,3932,1984,484,1328,3802,2105,404,1497,4007,2008,207,1329,3543,1568,83,1115,2761,674,17,937,1623,99,4,512,618,10065,2391,11589,24044,3,48,3643,3693,160,596,3146,3908,2669,1567,3335,7572,3819,1022,2495,7341,4148,796,2765,7712,4048,445,2378,6872,3273,207,1797,5275,1555,45,1328,2929,322,8,669,1004,20001,4740,21551,46297
SED24408,0,15,1498,1513,23,213,952,1193,839,598,894,2334,1552,311,624,2492,2096,312,856,3270,2396,247,1085,3725,1983,121,784,2890,1124,27,481,1628,291,5,247,548,10318,1848,7422,19588,3,42,1294,1338,61,314,715,1092,1153,552,823,2529,1722,325,682,2733,2280,333,954,3565,2414,215,1051,3685,1815,73,1015,2911,824,18,1038,1883,156,4,671,833,10426,1885,8261,20566,3,62,2789,2856,80,524,1671,2280,1997,1157,1721,4863,3276,640,1311,5226,4380,648,1811,6834,4813,457,2139,7409,3801,189,1800,5799,1948,45,1517,3512,448,11,923,1375,20741,3730,15689,40153
SED24504,0,3,1619,1624,10,88,1053,1153,709,470,813,1994,2088,576,496,3157,2475,634,773,3886,2432,398,813,3649,2073,177,657,2905,764,33,295,1093,157,4,128,285,10708,2393,6655,19757,0,3,1509,1512,39,138,866,1034,966,517,685,2178,2375,645,695,3717,2718,593,974,4287,2420,356,1081,3853,1751,125,973,2855,514,10,549,1074,80,4,322,403,10864,2401,7655,20916,0,7,3130,3139,48,224,1919,2192,1679,992,1496,4170,4461,1223,1193,6881,5190,1229,1754,8175,4856,758,1895,7501,3829,300,1632,5761,1274,43,843,2167,239,12,443,691,21574,4793,14312,40672
SED24606,0,5,1544,1546,27,143,1918,2091,1118,935,2016,4073,2116,385,711,3211,2358,285,648,3287,1935,189,584,2706,1587,114,473,2174,892,40,261,1194,271,9,178,458,10304,2105,8330,20745,0,12,1550,1564,72,228,2169,2471,1450,858,2084,4385,2309,338,963,3611,2527,269,1023,3813,1898,137,1048,3090,1495,72,957,2522,635,12,848,1496,118,4,594,721,10506,1932,11225,23665,0,24,3088,3112,97,374,4090,4561,2569,1796,4098,8458,4420,725,1671,6822,4879,552,1664,7100,3838,325,1629,5795,3085,180,1430,4696,1531,52,1106,2686,393,13,773,1182,20809,4041,19560,44404
SED24703,0,71,2913,2983,107,922,8674,9702,3085,3129,8924,15141,2353,1123,2181,5652,1458,533,1274,3262,1247,316,958,2527,950,152,634,1733,381,35,269,679,94,15,105,214,9669,6298,25926,41895,3,98,3816,3914,239,1179,10436,11854,3617,3092,8817,15522,2156,835,2294,5283,1423,415,1691,3535,1179,206,1322,2712,804,79,926,1805,259,20,481,767,30,0,239,269,9718,5925,30018,45661,6,174,6725,6906,347,2100,19112,21554,6702,6220,17740,30662,4506,1955,4472,10941,2884,945,2963,6794,2427,530,2281,5235,1753,234,1559,3540,637,57,749,1444,121,15,343,482,19388,12228,55948,87556
SED24808,0,21,2348,2370,58,284,1936,2272,1933,1151,2076,5156,2948,757,1316,5023,2564,484,1236,4278,2425,282,949,3655,1883,133,649,2663,611,29,268,908,110,3,104,221,12543,3136,10874,26556,3,31,2170,2206,155,407,1730,2290,2591,1201,1972,5766,2959,738,1558,5248,2539,464,1516,4517,2478,257,1417,4156,1524,98,1160,2784,387,20,640,1041,48,3,292,340,12688,3217,12448,28353,0,51,4520,4579,209,689,3663,4561,4530,2351,4043,10927,5906,1496,2869,10271,5103,948,2748,8797,4903,541,2363,7812,3411,229,1814,5455,1003,45,908,1949,164,7,393,560,25229,6358,23320,54906
SED24904,0,21,1868,1895,47,251,1157,1455,1068,708,1346,3115,1681,452,875,3007,2072,354,1157,3576,2359,258,1136,3753,1899,142,776,2824,962,45,402,1418,275,9,197,478,10377,2238,8910,21524,0,41,1650,1691,110,336,1010,1454,1384,718,1263,3362,1915,460,928,3313,2281,386,1169,3828,2323,230,1132,3688,1679,91,980,2752,723,29,950,1705,124,3,559,689,10537,2303,9632,22479,0,69,3514,3583,157,587,2164,2909,2446,1423,2602,6482,3598,914,1809,6319,4353,733,2320,7408,4682,488,2271,7446,3585,238,1749,5573,1692,79,1352,3119,405,14,753,1166,20918,4538,18544,44006
SED25003,0,3,2240,2247,51,109,2203,2353,2059,573,2220,4857,3252,421,935,4609,3288,347,749,4386,2598,236,564,3397,1482,70,314,1860,611,21,159,790,86,0,56,141,13422,1774,9446,24649,0,14,2081,2089,172,147,1959,2285,2706,601,1739,5051,3365,427,1062,4855,3317,351,1248,4913,2396,190,1055,3631,1170,53,726,1951,361,10,496,865,40,0,182,221,13529,1796,10544,25862,6,15,4318,4336,224,255,4160,4641,4771,1171,3964,9905,6624,849,1995,9464,6602,694,2001,9303,4994,419,1620,7034,2648,125,1040,3812,970,32,651,1650,122,3,241,366,26951,3562,19994,50512
SED25102,0,6,1791,1799,16,90,1498,1611,905,636,1241,2775,2268,601,670,3539,2495,578,790,3861,2507,379,712,3600,1739,127,453,2322,585,31,204,816,116,5,112,235,10633,2453,7464,20552,0,13,1670,1683,31,148,1243,1430,1245,687,947,2875,2478,650,741,3871,2717,542,884,4142,2373,324,1000,3702,1472,92,763,2328,365,14,455,839,59,4,246,306,10747,2473,7957,21177,0,20,3462,3486,49,238,2749,3035,2147,1319,2179,5651,4752,1248,1411,7414,5209,1116,1671,8001,4882,703,1714,7305,3211,219,1220,4644,953,44,658,1654,169,9,357,541,21381,4928,15425,41728
SED25205,0,6,1675,1684,17,94,1472,1581,1094,751,1377,3222,2844,585,827,4253,2874,437,978,4292,2164,249,798,3213,1414,88,517,2017,860,40,325,1217,246,16,187,449,11507,2260,8149,21919,0,4,1662,1667,40,136,1256,1426,1495,819,1223,3540,3124,633,1018,4771,2848,444,1335,4629,1993,213,1251,3455,1335,73,1106,2524,646,34,897,1576,108,9,553,670,11601,2353,10300,24255,3,14,3341,3349,58,223,2727,3007,2590,1575,2596,6756,5966,1214,1841,9022,5725,883,2313,8918,4159,458,2051,6666,2750,165,1628,4537,1506,67,1216,2793,362,18,737,1113,23110,4615,18446,46173
SED25302,0,3,1775,1779,12,77,1167,1253,626,398,860,1877,2315,438,546,3302,2858,450,700,4010,2315,297,551,3156,2289,181,475,2941,1328,58,341,1738,344,16,208,568,12090,1916,6614,20623,0,10,1741,1749,21,104,948,1074,921,436,730,2094,2689,504,744,3935,2891,442,1064,4400,2337,274,1040,3650,2248,151,1239,3642,995,43,1075,2110,161,7,591,753,12273,1953,9178,23412,0,6,3518,3527,31,185,2116,2331,1545,834,1589,3971,5010,939,1286,7236,5755,890,1760,8406,4649,568,1593,6805,4538,329,1714,6580,2324,99,1419,3846,506,19,802,1324,24360,3871,15795,44030
SED25402,0,18,1779,1798,48,317,1372,1741,1093,818,1414,3325,1732,481,935,3147,2037,445,1165,3652,2413,273,1070,3759,1842,129,675,2647,933,36,349,1317,225,4,162,391,10315,2526,8932,21769,3,53,1610,1668,73,447,1251,1772,1451,823,1430,3706,1915,488,1085,3490,2217,445,1280,3946,2424,252,1236,3909,1615,94,1030,2731,660,24,880,1565,90,6,446,542,10458,2634,10241,23333,4,68,3395,3465,127,767,2621,3510,2544,1635,2843,7030,3646,966,2020,6637,4250,896,2450,7598,4838,524,2306,7669,3454,223,1703,5384,1590,59,1226,2878,316,13,609,933,20775,5155,19169,45101
SED25501,0,5,2286,2293,29,61,2201,2294,1087,294,2016,3406,2602,168,630,3408,3147,189,713,4045,2402,148,501,3057,1787,59,357,2204,1478,18,312,1803,452,4,212,668,12990,947,9237,23171,3,8,2025,2035,53,73,1827,1956,1508,307,1453,3265,3037,195,863,4094,3158,213,1078,4448,2268,121,942,3330,1775,41,853,2675,1183,7,1012,2203,197,0,574,773,13187,963,10621,24775,3,11,4316,4328,84,137,4025,4244,2597,598,3470,6668,5637,366,1494,7494,6306,398,1788,8492,4670,274,1441,6385,3564,105,1211,4872,2666,25,1317,4010,650,3,787,1446,26174,1915,19854,47947
SED25605,0,0,1732,1738,48,55,2066,2167,1666,384,2383,4434,2458,213,1056,3726,2448,223,996,3669,2285,156,681,3121,2213,75,465,2760,1274,25,316,1610,268,4,137,414,12660,1147,9827,23636,4,11,1565,1577,156,90,1554,1801,2197,416,1588,4197,2578,219,955,3755,2459,215,1117,3787,2367,142,1062,3576,2029,60,993,3083,819,18,852,1689,121,4,457,579,12724,1178,10140,24042,5,9,3295,3310,201,145,3622,3971,3865,799,3971,8632,5036,439,2008,7485,4907,434,2111,7456,4648,300,1745,6699,4242,138,1457,5838,2090,46,1167,3304,390,6,594,989,25388,2320,19970,47682
SED25704,4,12,1819,1833,40,230,1086,1362,932,611,1034,2575,1670,397,734,2807,2164,403,1006,3576,2518,298,1021,3836,2100,152,791,3042,1240,41,461,1751,317,12,204,535,10989,2158,8167,21316,3,38,1638,1671,80,318,788,1189,1199,652,940,2792,1929,377,805,3111,2378,413,1022,3818,2511,265,1022,3799,1923,126,1017,3056,924,24,1045,1995,161,6,587,753,11097,2217,8869,22187,9,42,3456,3511,127,550,1879,2546,2127,1259,1974,5367,3598,774,1544,5917,4547,818,2030,7390,5025,565,2042,7631,4022,280,1807,6104,2168,67,1507,3740,476,13,794,1291,22090,4373,17032,43503
SED25802,0,16,1970,1985,47,239,1287,1573,1141,721,1147,3009,1881,479,826,3182,2387,483,1032,3908,2576,344,1067,3993,2338,144,718,3204,1112,41,450,1600,251,0,166,416,11731,2475,8665,22869,3,34,1823,1859,92,315,1159,1565,1459,778,1092,3320,2105,512,939,3560,2597,493,1216,4309,2616,296,1293,4208,2130,122,1124,3373,747,22,944,1717,109,4,510,629,11862,2579,10109,24550,3,49,3793,3839,142,554,2448,3140,2598,1501,2235,6331,3987,991,1768,6745,4988,983,2251,8217,5189,648,2364,8199,4463,268,1842,6573,1861,68,1395,3320,361,7,679,1047,23588,5054,18776,47418
SED25905,0,3,2430,2435,62,129,2249,2440,1558,592,2085,4236,2674,379,880,3925,3151,342,858,4350,2844,203,677,3718,1673,72,386,2131,698,21,201,924,123,4,85,211,12770,1745,9847,24361,9,14,2158,2183,173,197,1882,2249,2126,632,1518,4267,2883,371,902,4163,3228,325,1211,4765,2655,169,1112,3936,1293,56,791,2141,443,14,575,1031,54,0,284,338,12854,1789,10430,25070,9,19,4586,4614,233,324,4135,4691,3679,1220,3599,8505,5556,748,1782,8089,6374,668,2072,9109,5493,375,1790,7657,2965,130,1173,4272,1143,39,772,1953,170,7,368,550,25626,3531,20279,49436
SED26005,3,14,3324,3343,75,143,2676,2896,2027,559,2086,4671,4583,507,992,6086,4209,470,881,5561,2705,237,637,3583,1358,87,352,1802,500,22,160,683,75,0,52,128,15535,2041,11168,28738,12,19,3046,3072,225,204,2158,2591,2971,605,1574,5150,4867,547,1113,6535,3858,458,1287,5606,2285,183,1053,3522,1093,68,721,1883,296,12,423,735,25,0,160,189,15634,2097,11544,29272,10,31,6365,6409,299,345,4839,5485,4999,1160,3657,9817,9453,1060,2104,12618,8065,925,2169,11162,4992,416,1691,7101,2445,156,1077,3683,795,34,588,1421,103,0,211,316,31171,4135,22705,58017
SED26102,0,18,1252,1270,22,111,887,1018,642,495,823,1956,1379,453,727,2562,1689,487,1003,3174,2200,381,990,3573,2665,252,871,3787,1578,77,622,2271,468,14,336,822,10638,2283,7514,20435,0,27,1134,1160,44,161,746,949,870,565,797,2229,1549,465,847,2863,1803,516,1176,3496,2425,368,1290,4086,2558,198,1418,4178,1201,46,1174,2427,227,3,745,976,10676,2361,9328,22364,0,42,2382,2428,65,273,1633,1972,1506,1059,1621,4190,2927,920,1578,5427,3490,1004,2173,6666,4624,753,2284,7660,5225,447,2296,7968,2779,124,1799,4697,697,23,1079,1795,21315,4647,16842,42802
SED26207,0,0,1754,1755,11,57,1618,1693,1054,573,1569,3195,2368,376,859,3603,2538,310,966,3813,2068,179,632,2875,2081,82,400,2567,1386,35,329,1744,346,4,224,567,11859,1613,8345,21823,6,3,1499,1506,39,106,1372,1517,1400,592,1363,3356,2593,373,914,3878,2599,279,1201,4082,2170,152,1028,3354,2048,64,1007,3118,969,18,1061,2048,142,0,637,783,11964,1589,10085,23634,5,3,3258,3264,50,162,2994,3212,2454,1168,2924,6549,4961,749,1774,7478,5136,593,2169,7897,4242,328,1658,6232,4131,150,1402,5689,2357,47,1393,3791,492,3,858,1350,23821,3205,18429,45460
SED26303,0,4,1303,1309,14,120,1652,1793,1149,1449,2755,5354,2373,984,1303,4660,2143,625,1130,3901,1343,380,860,2588,928,114,483,1520,717,32,325,1071,187,10,154,341,8858,3715,9972,22542,0,3,1223,1227,55,236,1780,2070,1487,1589,3081,6161,2493,1086,1669,5248,2197,719,1492,4411,1263,373,1190,2824,863,97,791,1751,509,25,831,1362,77,3,433,516,8943,4122,12495,25561,0,9,2524,2535,77,355,3427,3858,2640,3038,5840,11515,4866,2075,2976,9912,4341,1341,2625,8309,2603,750,2050,5407,1794,208,1273,3277,1220,53,1155,2430,262,9,589,855,17803,7838,22462,48101
SED26406,0,17,1759,1778,44,257,3304,3602,2337,899,3137,6369,2975,493,1165,4633,2323,321,1003,3645,1682,221,786,2688,1220,77,518,1812,841,27,324,1192,247,4,180,436,11665,2325,12175,26159,0,28,1720,1752,142,336,3246,3726,2872,947,2602,6425,2900,413,1139,4455,2305,325,1282,3916,1621,181,1094,2893,1146,82,922,2149,618,19,914,1542,108,0,494,602,11705,2327,13416,27456,3,46,3482,3525,181,595,6547,7323,5209,1846,5734,12792,5877,914,2302,9091,4624,645,2290,7559,3299,399,1883,5580,2362,160,1437,3961,1454,43,1239,2736,352,3,678,1037,23369,4655,25586,53609
SED26504,0,10,1469,1480,26,197,854,1081,743,535,862,2145,1519,390,692,2602,1992,410,921,3326,2288,281,932,3498,1988,133,797,2916,1190,46,428,1664,310,7,195,511,10050,2009,7158,19211,3,39,1328,1363,54,275,683,1016,1014,542,813,2366,1747,427,787,2958,2102,389,995,3485,2331,270,1083,3685,1913,119,1043,3077,867,24,981,1866,139,6,548,699,10174,2078,8264,20517,4,49,2793,2841,83,465,1544,2093,1758,1072,1679,4509,3260,815,1474,5554,4093,798,1919,6812,4618,554,2013,7176,3898,249,1845,5996,2055,70,1407,3532,450,18,745,1206,20220,4091,15420,39723
SED26603,0,7,1687,1695,69,149,2236,2452,2356,1100,3179,6631,3306,716,1326,5348,2488,481,1211,4175,1641,232,964,2835,1224,79,534,1835,1046,28,349,1426,393,5,281,679,12532,2787,11767,27085,8,12,1547,1562,236,212,1882,2332,2952,1191,2323,6464,3203,755,1438,5397,2436,445,1491,4362,1634,199,1339,3167,1164,54,923,2141,819,20,1207,2043,175,3,800,977,12618,2880,12952,28444,11,19,3230,3256,304,358,4123,4776,5305,2289,5506,13096,6513,1472,2762,10747,4923,922,2702,8546,3271,426,2301,6001,2395,126,1456,3978,1866,45,1558,3468,565,8,1077,1660,25150,5665,24713,55528
SED26708,0,16,1709,1726,40,192,1057,1287,860,622,1041,2530,1796,477,742,3016,2235,466,990,3693,2402,353,1063,3813,2040,134,720,2896,961,36,396,1399,203,7,180,394,10545,2303,7893,20745,0,20,1445,1473,65,281,748,1093,1182,652,772,2604,1990,492,666,3151,2410,451,956,3819,2383,301,1089,3772,1795,97,895,2792,722,29,884,1631,98,5,484,585,10646,2332,7941,20921,0,42,3157,3194,103,468,1809,2381,2043,1273,1813,5131,3785,978,1402,6166,4649,917,1942,7514,4792,652,2147,7588,3840,231,1618,5688,1684,68,1278,3031,301,16,667,982,21190,4639,15835,41663
SED26806,0,17,773,791,39,446,2030,2518,1840,3174,4919,9940,1842,1121,2031,5000,1186,608,1428,3224,1063,298,1038,2396,1023,160,666,1849,621,33,319,975,180,4,182,368,7803,5866,13382,27048,0,32,922,952,100,612,2551,3263,2310,3062,5338,10709,1692,714,2301,4703,1218,339,1618,3171,1098,211,1422,2728,950,95,1070,2115,430,20,800,1246,80,0,386,467,7884,5064,16411,29356,3,49,1693,1745,141,1055,4579,5775,4152,6231,10261,20648,3530,1838,4330,9698,2405,948,3048,6401,2155,508,2463,5126,1974,252,1731,3959,1051,50,1120,2219,256,5,570,835,15681,10937,29788,56410
SED26903,0,3,1396,1400,47,139,1984,2171,2028,945,3053,6023,2561,710,1399,4670,1892,404,1418,3719,1478,199,1166,2848,1083,81,665,1829,1041,32,409,1485,310,7,254,577,10445,2525,11753,24718,9,13,1277,1302,188,239,1707,2130,2543,1028,2312,5889,2465,767,1573,4813,1851,390,1720,3963,1424,156,1456,3036,1111,55,1092,2264,733,25,1135,1893,137,7,784,931,10475,2682,13063,26215,9,19,2677,2701,242,374,3695,4308,4573,1969,5366,11916,5031,1477,2975,9477,3751,788,3144,7677,2902,355,2622,5879,2195,136,1757,4090,1778,58,1547,3377,451,16,1034,1509,20919,5202,24812,50932
SED27003,3,6,872,890,27,291,1812,2125,1342,2984,5281,9602,1963,1390,1966,5309,1455,713,1433,3605,1143,423,975,2537,918,159,555,1634,455,24,297,782,132,6,108,252,7430,5998,13305,26733,3,12,948,963,70,454,2195,2714,1792,3056,5404,10252,1966,1010,2110,5089,1406,513,1484,3397,1135,303,1377,2820,767,91,1020,1879,307,15,717,1043,58,4,300,363,7506,5461,15557,28523,5,24,1823,1850,94,743,4005,4840,3133,6042,10683,19855,3925,2397,4075,10399,2858,1226,2919,6999,2278,724,2354,5361,1684,248,1581,3514,765,41,1015,1823,190,8,412,612,14936,11461,28861,55257
