SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED22802,128,27,358,160,159,130,36,81,10,1091,0,8,3,3,0,3,0,6,0,20,40,42,34,39,42,9,16,20,3,244,60,43,102,44,55,49,39,51,73,510,2485,4029,4253,2341,2297,1159,712,1107,250,18633
SED22901,91,30,322,151,128,102,35,86,13,958,0,3,0,3,0,3,3,3,0,19,40,45,28,26,44,16,12,15,11,242,43,34,60,34,45,47,25,43,74,404,2523,5804,3051,2012,2647,1277,650,898,288,19150
SED23007,151,47,553,277,118,164,73,145,19,1544,4,6,4,11,6,3,3,12,3,45,67,118,37,52,94,38,40,46,9,508,57,62,93,81,50,52,72,110,112,690,3046,8152,2997,2932,3184,1847,1230,1932,445,25755
SED23101,94,22,240,107,82,76,17,64,7,703,13,4,3,3,8,3,0,5,0,35,49,90,17,29,64,31,7,16,6,306,36,51,40,17,48,21,18,22,57,311,2836,7351,2137,1705,2632,1253,404,803,262,19383
SED23205,96,32,382,156,115,108,38,103,9,1043,3,0,3,3,4,3,0,3,3,19,45,56,25,43,28,12,19,14,12,253,44,47,81,64,36,52,51,77,78,537,2056,4582,3313,2454,1952,1231,755,1102,256,17700
SED23308,116,37,451,192,115,105,47,113,7,1189,6,3,0,6,0,0,0,3,0,27,39,81,25,33,47,18,17,12,12,284,40,47,78,46,44,44,48,68,77,487,2511,6769,3179,2693,2191,1229,677,1120,281,20646
SED23402,143,44,417,172,197,139,77,96,11,1290,0,0,4,0,0,0,3,4,0,12,47,63,44,35,45,24,23,25,14,314,70,42,119,42,56,61,41,65,60,552,3006,5257,4537,2434,2802,1469,971,1252,281,22014
SED23502,135,17,381,155,113,116,33,142,8,1100,0,0,0,0,0,0,0,8,3,13,30,40,26,27,15,6,20,21,8,194,103,29,97,75,44,75,74,115,61,663,2164,3084,2806,2069,1398,783,746,1236,221,14513
SED23602,135,19,348,115,82,86,48,123,7,957,4,7,3,0,0,4,0,3,0,21,48,33,30,19,18,14,16,18,9,208,126,39,94,44,47,69,61,103,64,662,2600,3293,2858,1793,1287,770,769,1208,217,14791
SED23702,139,42,488,227,166,142,56,151,12,1428,0,0,3,3,0,3,5,5,0,25,39,44,39,48,29,19,23,15,11,259,57,43,128,68,74,53,50,92,83,646,2486,3908,5310,2878,2478,1338,955,1480,304,21136
SED23806,139,39,216,124,92,83,15,26,10,743,0,0,0,0,0,0,0,0,0,9,108,166,24,38,62,51,0,10,5,468,45,72,9,27,27,28,6,17,53,288,5208,13103,1485,1712,3080,1601,205,596,375,27368
SED23901,95,31,276,122,90,80,25,58,0,774,0,0,3,0,3,3,0,3,0,19,78,132,20,45,76,35,11,13,18,419,40,57,44,35,34,36,28,35,71,373,3479,9804,2422,1976,2733,1172,421,741,298,23046
SED24006,116,27,186,106,70,56,11,27,3,607,11,0,7,8,4,3,3,0,3,35,98,121,19,28,77,32,3,11,14,402,51,84,26,19,32,29,3,19,59,325,4619,10679,1378,1409,2658,1367,195,452,367,23116
SED24105,105,24,419,187,112,110,74,141,14,1194,3,3,10,0,0,7,3,8,0,39,34,34,25,33,41,35,42,33,9,285,38,30,84,56,54,50,75,104,105,593,1973,4416,2768,2065,2465,1306,1198,1422,311,17924
SED24207,124,18,409,188,145,135,120,143,22,1304,5,0,0,4,6,5,10,9,0,41,35,48,39,36,58,32,44,38,13,348,50,40,121,87,80,79,123,124,116,815,2231,5026,3295,2580,3143,1498,1761,1617,397,21552
SED24308,94,22,356,164,100,109,68,144,16,1071,0,0,3,0,0,0,9,3,0,20,20,38,28,34,25,20,31,25,13,226,42,23,103,72,49,72,106,142,92,707,1513,3432,3088,2444,1743,1008,1021,1367,310,15924
SED24408,133,27,322,149,105,103,36,115,3,992,3,0,0,3,0,0,0,8,0,16,27,25,21,24,20,11,13,12,4,155,141,32,86,54,36,45,40,85,65,591,3267,3562,2349,1979,1437,783,645,1102,191,15321
SED24504,118,34,312,133,96,82,36,105,5,913,3,3,0,3,0,0,0,7,0,16,82,97,30,60,49,20,14,25,5,373,65,79,105,64,64,49,37,94,57,609,2991,5422,3288,2214,1930,896,635,1058,249,18685
SED24606,117,33,205,104,74,61,6,32,4,638,3,4,0,3,3,0,0,5,0,21,98,122,33,46,91,54,0,13,14,466,42,59,24,27,37,39,8,16,52,306,4683,10691,1339,1359,2700,1596,186,521,389,23466
SED24703,201,46,823,345,140,144,16,118,17,1852,8,13,8,26,10,12,0,17,0,96,158,302,43,89,121,74,8,39,25,868,81,149,68,105,68,30,23,74,106,711,5870,20068,2946,3956,4536,2622,446,1751,618,42826
SED24808,126,29,370,178,165,132,107,131,15,1252,3,0,3,0,7,3,7,3,3,36,32,40,35,50,41,17,55,21,16,307,47,38,117,89,72,63,92,95,100,727,2047,3767,4035,2938,2671,1212,1613,1382,355,20006
SED24904,149,20,345,131,110,123,41,133,12,1060,10,0,3,3,3,4,5,10,0,30,17,27,21,25,13,8,14,13,9,157,93,49,108,68,55,81,82,126,90,755,2382,3685,2511,2030,1460,934,741,1226,265,15240
SED25003,129,27,441,181,167,153,91,131,8,1340,3,0,4,3,3,3,4,8,4,42,32,47,41,50,43,40,45,29,6,346,42,42,106,85,84,80,79,96,86,696,2144,4823,3595,2647,2818,1545,1230,1300,315,20410
SED25102,107,28,276,150,124,103,25,80,12,893,0,3,0,0,0,0,0,0,0,12,66,79,31,58,49,16,13,11,10,337,48,32,93,47,41,23,30,44,72,437,3006,5982,3907,2321,2231,991,585,953,288,20268
SED25205,133,42,327,173,143,110,31,60,17,1036,0,5,0,0,4,3,0,6,0,20,67,84,36,42,57,39,14,20,14,376,43,43,69,38,57,40,27,31,79,425,3585,7359,3315,2189,2861,1373,535,746,289,22255
SED25302,146,38,318,172,113,124,26,72,8,1014,0,5,3,3,0,3,0,3,3,20,51,62,22,37,42,20,9,14,4,265,52,59,72,47,38,41,22,50,56,447,3337,5955,3051,2054,2084,1232,350,747,241,19054
SED25402,77,21,366,142,146,128,42,123,11,1047,0,0,3,0,0,3,0,10,0,15,33,33,31,20,38,12,12,16,13,199,60,43,116,79,59,51,65,122,73,655,1740,3842,3797,2217,1938,887,1002,1200,277,16895
SED25501,88,13,222,98,74,75,25,68,4,671,4,0,3,3,0,4,3,7,3,25,51,84,32,34,55,28,8,19,5,317,42,54,40,25,27,17,23,41,66,327,3250,8339,1922,1576,2689,1291,410,830,340,20660
SED25605,94,24,381,153,112,82,79,108,16,1059,7,0,3,0,3,0,0,5,0,25,46,41,39,31,31,17,23,23,16,265,54,49,60,39,57,37,47,47,95,473,2390,5764,2460,1861,2540,1258,874,1196,349,18689
SED25704,158,25,396,147,97,128,52,162,26,1191,5,0,0,0,7,3,0,4,0,18,38,18,20,14,14,15,12,11,3,155,143,48,102,89,40,62,70,166,71,790,2861,3328,2825,1962,1335,902,759,1458,221,15653
SED25802,121,23,347,142,116,109,50,139,11,1055,3,3,0,3,6,0,3,3,0,22,42,31,27,32,31,10,14,25,8,226,100,34,143,78,54,63,62,98,70,709,2589,4130,3846,2334,1897,918,949,1475,282,18427
