SED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED24606,513,782,1297,3423,4205,7626,0,0,0,159,192,352,0,0,0,5414,6571,11981,12,23,34,1442,1583,3025,26,45,69,11,16,26,73,100,168,40,38,81,81,74,155,76,119,198,456,507,963,10,10,18,11,18,27,717,994,1711,325,421,745,12,13,32,12284,14926,27214,866,752,1623,230,192,426,1379,1517,2895,0,0,0,69,53,118,81,76,160,142,127,275,9599,9706,19302,112,82,191,37,46,80,9745,9830,19573,2668,2840,5509,27834,30966,58802
SED24703,3501,4626,8127,1636,2027,3659,8,8,16,353,412,762,5,0,3,6837,7769,14611,30,42,70,641,705,1347,25,29,55,14,34,45,105,129,239,116,125,237,207,262,472,390,535,927,526,613,1142,17,26,39,28,28,54,624,790,1414,907,1212,2117,23,34,56,12495,14771,27259,2600,1935,4537,2396,2315,4713,151,161,306,4,3,10,102,99,195,186,226,415,290,319,617,25675,27205,52876,269,228,502,70,75,153,26019,27510,53527,8322,7740,16065,55777,59374,115150
SED24808,371,508,880,3691,4465,8154,4,5,10,469,552,1019,91,73,162,10677,11776,22451,24,28,51,724,681,1405,169,217,387,201,220,420,175,212,386,94,89,181,167,178,341,392,468,864,635,805,1440,59,85,144,96,122,221,1079,1394,2473,1157,1290,2451,34,40,69,19939,22687,42620,566,537,1103,607,578,1184,11,11,23,6,9,18,414,374,788,92,151,239,509,531,1040,12616,11575,24191,140,101,237,52,87,142,12810,11758,24568,3683,3509,7198,38496,40129,78622
SED24904,381,466,849,3356,3982,7341,0,0,0,201,198,396,7,4,13,6938,7432,14373,135,178,311,322,297,623,74,122,199,89,102,191,346,441,786,9,8,22,182,152,335,321,400,723,732,772,1503,95,134,231,149,200,353,2121,2658,4771,569,669,1238,45,39,88,15704,17793,33498,162,107,275,569,417,985,12,6,20,17,8,24,115,104,225,30,68,106,165,191,351,10694,9525,20214,71,51,121,23,27,47,10786,9605,20386,3540,3394,6936,31313,31987,63296
SED25003,784,910,1689,1613,1938,3558,14,14,28,252,293,551,0,0,0,10423,11552,21980,11,21,24,3684,3826,7511,94,101,192,65,73,142,47,57,103,263,242,505,99,140,242,331,390,722,436,451,890,39,70,111,51,59,107,416,533,948,1444,1470,2917,19,12,34,19307,21257,40567,1503,1343,2850,2043,1958,4000,13,9,18,0,0,3,915,782,1696,116,118,236,1034,901,1935,6570,5918,12483,66,43,111,31,52,83,6662,6017,12676,2447,2394,4837,33800,34782,68583
SED25102,244,354,602,2660,3099,5763,0,0,0,479,529,1004,29,31,66,4599,5162,9764,82,103,186,234,231,469,110,123,225,61,59,123,161,166,329,8,3,11,76,81,157,230,295,526,474,605,1079,36,61,94,121,126,243,788,1051,1837,941,1124,2066,78,83,157,11173,12931,24105,63,54,121,50,47,96,60,55,112,3,3,8,19,15,41,94,205,302,122,226,344,13771,12202,25975,178,128,307,57,103,163,14007,12435,26444,2689,2545,5235,28413,28652,57063
SED25205,368,620,984,2918,3665,6587,0,0,0,253,311,566,3,3,5,8112,9195,17308,44,80,126,1381,1464,2841,74,79,153,52,64,115,95,109,203,44,50,91,57,79,142,125,166,288,540,658,1198,21,36,65,15,22,39,760,991,1748,511,604,1120,20,22,35,15027,17593,32618,405,384,794,240,241,480,162,202,361,0,0,3,59,59,117,86,113,198,145,177,321,11324,10590,21909,77,67,142,40,75,117,11438,10731,22172,2581,2641,5220,30369,32592,62960
SED25302,168,283,452,4625,5827,10453,0,0,0,398,523,921,3,4,4,6100,7208,13307,60,63,123,363,353,717,44,66,107,88,92,177,92,144,234,20,14,32,58,101,158,79,103,187,709,814,1531,24,39,60,10,13,24,1081,1487,2568,530,656,1192,22,36,57,14307,17544,31851,67,81,148,40,37,78,49,44,96,0,0,0,18,12,33,50,74,123,66,88,159,12236,11400,23633,61,70,135,34,73,107,12325,11550,23873,2344,2540,4878,29378,32155,61529
SED25402,215,275,492,4286,5182,9467,0,0,0,267,299,567,23,24,44,7053,7948,15004,14,27,40,300,279,580,102,152,256,77,81,157,121,156,279,10,12,23,75,100,172,265,311,572,981,1129,2113,94,132,220,44,56,100,996,1346,2337,610,740,1349,20,26,45,15331,18004,33332,127,115,241,158,135,298,4,10,14,5,4,10,34,19,49,55,112,167,91,134,223,12061,10726,22787,115,104,220,36,69,103,12212,10897,23109,3342,3358,6704,31488,32928,64414
SED25501,2685,2871,5553,1805,2232,4038,0,0,3,643,810,1453,3,6,11,4619,5174,9797,86,78,156,1300,1354,2652,29,36,64,28,30,56,106,130,239,114,132,243,141,183,328,331,412,746,526,660,1182,14,27,49,21,30,48,1029,1510,2533,753,905,1653,31,44,77,11592,13737,25324,1978,1959,3933,604,537,1145,57,64,117,0,0,0,204,171,372,116,136,255,323,308,629,10675,9765,20441,82,47,133,36,37,69,10789,9854,20646,2328,2419,4753,30352,31752,62096
SED25605,2392,2817,5208,1540,1970,3510,6,4,13,391,502,898,9,8,17,7030,7546,14572,52,86,143,2428,2510,4937,46,73,117,56,59,118,79,105,181,303,339,638,122,154,277,305,359,658,471,518,991,37,47,84,79,67,145,621,874,1495,854,917,1768,28,18,47,14456,16168,30624,1323,1170,2497,1604,1418,3022,63,57,123,0,0,0,986,685,1672,151,154,306,1141,843,1980,7471,6501,13966,57,40,97,32,30,65,7554,6575,14130,2464,2331,4793,30997,31379,62373
SED25704,129,164,299,4683,5188,9873,0,0,0,405,468,875,121,122,246,6909,7505,14412,126,182,307,74,86,154,30,41,65,36,44,84,113,132,242,7,5,9,51,73,121,283,281,562,1187,1268,2455,93,155,250,16,19,41,2652,3209,5858,563,646,1213,9,16,25,17355,19442,36799,95,80,167,235,125,361,0,6,11,4,9,12,107,76,186,35,56,88,145,140,283,9485,8316,17803,69,59,128,25,32,59,9585,8408,17990,3366,3239,6610,30907,31600,62512
SED25802,180,259,437,4639,5551,10189,0,0,0,402,451,854,75,104,175,6715,7346,14061,66,78,148,184,203,384,163,183,346,66,59,120,81,115,193,3,0,5,226,243,471,222,281,502,1172,1454,2625,110,158,271,90,100,188,1332,1739,3070,903,1009,1909,24,28,49,16461,19100,35566,63,58,125,64,54,116,9,7,15,0,0,3,28,37,67,72,137,209,101,170,276,12067,10968,23040,115,94,203,45,75,112,12228,11132,23357,3374,3340,6715,32478,34126,66601
SED25905,1356,1536,2895,2115,2472,4586,0,0,0,608,687,1295,12,9,18,8018,8702,16714,59,69,124,1383,1371,2759,108,144,253,152,164,321,94,112,205,296,290,589,157,175,331,651,686,1333,549,658,1208,38,64,105,132,156,281,607,794,1400,1215,1319,2537,27,34,59,16217,17912,34132,1065,956,2025,3179,2960,6142,20,26,46,0,0,3,534,438,972,152,154,311,691,599,1283,7734,6668,14401,89,64,150,39,54,89,7866,6775,14648,2530,2525,5049,32932,33291,66222
SED26005,2144,2253,4403,2812,3232,6042,0,0,3,507,618,1124,28,22,44,10101,10591,20690,92,84,173,875,924,1798,74,97,167,232,256,487,72,99,172,253,261,514,230,225,460,769,907,1671,645,789,1438,47,46,92,243,258,499,759,963,1723,1555,1635,3187,39,55,96,19321,21046,40370,1708,1624,3332,3903,3495,7405,26,25,48,0,0,0,738,641,1379,136,149,285,874,791,1666,9902,8739,18640,89,77,164,44,51,92,10030,8865,18894,3302,3125,6423,41311,41235,82547
SED26102,157,287,445,4058,5176,9231,0,0,0,281,344,623,0,0,0,5562,6281,11846,61,81,146,538,489,1032,173,219,396,59,66,120,101,95,194,11,10,24,64,69,131,81,109,190,864,1008,1875,59,97,155,7,16,26,921,1367,2288,458,575,1034,19,23,41,13324,16021,29344,45,48,96,44,38,84,36,38,71,3,0,3,16,19,36,58,97,155,75,118,191,11775,10885,22659,88,92,182,54,92,150,11912,11078,22989,2966,2942,5908,28560,30560,59120
SED26207,548,814,1358,1588,1935,3520,22,20,43,195,273,469,0,0,3,12900,14097,26990,19,37,53,2005,2161,4162,63,78,138,9,12,18,49,102,149,131,135,263,74,91,164,183,215,400,341,423,760,16,23,41,22,27,51,578,807,1384,522,596,1120,8,9,22,18712,21035,39750,417,368,788,531,452,986,17,14,34,0,0,0,141,113,250,57,58,118,200,167,368,6218,5408,11627,65,41,111,22,27,49,6301,5480,11785,2208,2323,4531,28937,30655,59594
SED26303,496,761,1257,1111,1411,2518,3,0,3,103,149,251,0,0,0,5530,6763,12295,15,38,49,2927,3198,6125,32,58,91,21,19,34,56,87,151,24,33,56,68,70,140,69,94,162,184,207,390,19,38,59,5,9,17,357,499,855,423,490,913,19,14,28,10972,13169,24146,520,406,928,611,503,1113,80,103,180,0,4,0,84,58,148,104,116,220,192,180,373,14493,15311,29803,198,203,403,58,103,158,14753,15614,30361,3187,3238,6430,30810,33981,64788
SED26406,1442,1721,3161,1551,1939,3493,0,0,0,294,331,621,3,3,3,6310,7322,13634,27,39,67,3074,3334,6402,72,75,150,18,22,38,79,130,210,118,115,237,116,123,239,174,233,407,405,442,853,17,20,39,31,50,76,591,756,1342,593,738,1336,26,30,57,13502,15706,29208,2242,1885,4129,826,685,1512,853,947,1798,0,0,3,283,183,464,141,136,276,423,318,742,12529,12078,24606,123,98,224,46,67,112,12697,12244,24940,3189,3080,6274,35180,36583,71764
SED26504,156,204,354,3988,4618,8599,0,0,0,183,209,395,51,40,86,7547,8201,15753,41,64,107,120,93,211,101,129,231,24,38,58,124,151,274,0,5,7,122,155,283,157,196,357,914,1005,1915,52,66,118,24,46,67,1604,2011,3616,448,484,939,12,12,20,15509,17523,33030,97,92,192,134,112,241,11,18,26,0,0,3,78,61,142,57,61,117,136,126,259,8590,7724,16317,64,43,106,17,34,59,8675,7801,16477,3161,3227,6389,27868,29103,56972
SED26603,744,956,1699,1342,1780,3119,31,19,49,184,250,440,3,5,6,10487,11882,22369,24,25,51,2336,2498,4838,97,125,224,69,52,119,86,98,176,90,66,151,74,103,181,129,180,311,291,379,667,37,39,80,12,17,31,481,647,1126,516,658,1176,21,11,26,16301,18845,35147,1684,1297,2985,3911,3225,7129,22,25,49,4,3,9,365,227,592,85,115,192,449,343,793,9859,9618,19478,120,116,237,29,64,92,10014,9799,19814,3468,3441,6906,36594,37931,74522
SED26708,118,147,270,3260,3851,7113,0,0,0,359,409,765,0,0,0,7041,7373,14411,24,36,62,133,128,264,73,81,151,12,13,22,175,193,364,6,0,5,42,52,92,139,151,292,1461,1492,2954,46,64,116,37,48,87,2136,2657,4799,528,545,1070,12,14,26,15491,17106,32603,44,34,82,118,60,180,10,15,24,3,6,9,14,16,29,59,75,136,78,91,167,11006,9432,20440,70,61,138,30,42,73,11109,9540,20651,3144,2857,5998,30118,29853,59969
SED26806,806,1121,1926,2469,3130,5605,0,0,0,148,186,337,0,0,4,5266,6562,11833,16,10,27,1215,1378,2598,29,39,64,20,22,48,74,128,205,38,37,71,119,122,239,127,175,306,380,432,805,3,14,19,14,19,36,472,628,1103,385,571,954,15,21,40,10799,13483,24286,918,785,1704,479,487,966,1327,1469,2796,3,0,3,63,45,115,114,109,227,181,160,339,15442,15119,30554,196,175,366,75,102,179,15706,15391,31103,5065,5085,10150,35282,37987,73274
SED26903,1093,1314,2405,1008,1478,2485,25,27,51,184,213,399,3,3,8,8281,9505,17783,32,49,86,3086,3224,6307,58,104,165,26,22,46,42,62,101,57,63,125,65,88,158,111,144,255,256,338,589,48,60,110,16,29,45,292,434,726,694,811,1503,13,19,34,14278,16689,30972,1524,1131,2652,2383,2105,4483,21,26,46,6,14,18,522,393,917,91,125,218,619,536,1154,9681,9261,18945,146,97,237,55,97,149,9883,9453,19331,3569,3533,7107,33364,34787,68149
SED27003,1286,1886,3171,1687,1983,3669,0,0,0,170,194,369,3,3,7,5239,6244,11488,9,20,32,1217,1401,2623,24,24,43,15,13,30,74,113,189,64,66,132,66,95,155,119,154,277,251,286,543,16,41,55,15,14,29,347,508,852,419,567,985,17,29,47,9765,11764,21533,272,232,503,869,920,1790,187,201,383,0,0,7,25,21,50,115,98,208,139,116,258,17808,17164,34966,258,202,463,70,95,162,18139,17458,35593,4688,4620,9307,35342,37208,72548
SED27101,874,1113,1991,2246,2934,5181,3,0,3,1135,1204,2335,4,9,12,5457,6277,11734,168,215,384,547,588,1134,51,68,113,53,46,99,191,231,425,83,69,148,165,175,340,383,458,841,580,634,1214,96,139,235,103,145,251,987,1275,2263,1051,1301,2355,89,134,227,13391,15911,29301,761,666,1424,419,348,764,29,31,58,0,0,0,287,245,527,163,205,372,452,449,905,11762,10811,22565,137,98,235,48,79,127,11942,10983,22930,2329,2383,4711,30196,31879,62070
SED27208,158,207,361,4249,4845,9093,0,0,3,269,295,563,40,33,70,5959,6491,12454,147,177,319,112,90,205,91,118,206,26,36,65,169,209,377,15,13,23,64,76,137,150,169,323,1100,1084,2187,122,178,304,61,71,130,2740,3219,5958,454,494,951,23,21,47,15788,17630,33419,86,83,170,81,66,143,17,17,33,4,9,11,33,30,63,99,131,226,131,164,298,11069,9544,20618,71,67,137,29,49,77,11175,9657,20830,4264,3033,7292,31700,30847,62546
SED27305,1076,1221,2296,2305,2730,5036,0,0,0,493,587,1082,40,39,85,6894,7528,14421,57,75,133,949,917,1860,41,60,97,46,50,101,108,112,223,253,246,496,147,154,302,462,492,960,519,580,1100,58,69,131,66,53,117,766,981,1747,822,937,1761,24,36,53,14053,15640,29697,689,700,1387,463,470,928,30,35,60,3,0,3,138,136,275,110,112,215,251,251,498,8643,7717,16357,71,60,131,29,42,69,8747,7812,16563,1991,1802,3794,27303,27922,55229
SED27406,270,400,676,3325,4403,7728,0,0,4,190,241,427,4,4,7,6161,7257,13422,19,26,46,1071,1177,2248,23,37,63,24,32,58,96,150,248,28,32,66,81,84,168,101,142,238,554,644,1197,13,20,25,12,21,33,859,1175,2036,365,497,862,27,22,49,12955,15960,28917,219,193,409,169,181,349,248,247,491,0,3,3,58,45,106,63,80,149,122,133,257,11202,10810,22019,102,70,174,41,77,120,11352,10961,22314,2555,2632,5192,27891,30704,58593
SED27504,212,307,513,3809,4420,8227,0,0,0,204,235,445,95,83,181,8353,8973,17322,97,114,210,388,385,771,88,126,218,60,82,140,79,127,206,32,19,51,77,79,152,379,452,835,1138,1296,2429,54,81,133,46,51,104,2027,2485,4514,643,725,1362,13,14,31,17572,19751,37319,272,245,515,1862,1662,3524,8,6,14,8,3,13,440,368,805,53,114,171,510,486,991,9977,8901,18885,73,61,132,39,50,89,10092,9014,19106,3662,3508,7168,34181,34979,69152
SED27608,299,349,647,3350,4211,7563,0,0,0,749,828,1576,36,36,76,7694,8648,16338,50,64,120,272,297,571,89,107,197,26,25,50,317,386,700,12,16,31,53,98,150,292,308,599,807,913,1721,81,99,178,29,34,62,1743,2452,4198,776,959,1740,22,34,57,16408,19507,35916,322,196,520,309,204,507,14,22,33,0,0,3,116,105,218,88,86,174,204,188,394,13271,12037,25311,106,104,208,45,71,113,13428,12207,25637,2915,2833,5746,33900,35508,69402
SED27708,162,246,413,2811,3479,6283,0,0,0,457,505,959,23,44,67,7636,8660,16300,82,85,172,81,76,154,60,97,154,18,17,34,452,522,975,11,6,17,48,75,120,175,222,396,1675,1914,3592,90,119,210,31,62,93,1668,2071,3735,634,700,1337,4,9,10,15944,18661,34601,74,77,148,69,56,120,8,10,24,4,7,16,10,12,25,64,80,143,77,103,180,10797,9526,20326,94,66,160,51,48,94,10941,9639,20584,3334,3303,6631,30613,32095,62713
SED27807,4612,5509,10123,850,946,1793,18,15,32,722,639,1365,0,4,3,10271,11330,21601,27,30,51,2068,2115,4184,127,148,276,144,125,266,86,126,205,228,246,468,190,205,395,438,502,936,265,304,566,19,26,50,67,68,138,288,316,608,1218,1324,2538,23,15,39,17052,18476,35523,1462,931,2390,2608,1692,4300,7,16,21,3,3,3,1495,995,2491,94,96,191,1596,1096,2693,6858,5954,12819,45,35,81,32,40,74,6938,6035,12969,3743,3450,7197,38027,37194,75221
SED27907,363,479,834,2789,3443,6235,64,76,141,238,264,508,66,77,145,9662,10597,20257,37,51,87,930,934,1863,87,110,199,95,120,217,124,145,270,83,78,162,90,81,174,240,268,510,500,580,1075,40,70,112,21,28,49,864,1167,2028,684,802,1487,8,18,24,16628,18910,35540,265,263,524,558,511,1066,12,13,23,0,3,5,109,87,190,66,72,137,177,159,329,8911,7922,16829,74,72,142,28,41,67,9011,8031,17042,2625,2577,5195,29639,30928,60566
SED28007,1387,1639,3025,1270,1587,2859,23,28,51,297,349,651,0,0,0,14149,14916,29067,31,35,66,3097,3119,6220,157,210,365,51,60,102,65,100,162,530,542,1064,140,169,313,482,529,1011,259,310,567,37,58,92,111,121,239,344,467,809,1401,1512,2915,5,13,24,22451,24118,46571,1280,1215,2490,1876,1853,3727,6,10,17,0,0,0,1273,965,2238,67,78,151,1345,1049,2392,5899,5389,11286,41,37,74,19,18,36,5960,5437,11396,2915,2910,5824,37217,38231,75444
SED28107,1188,1315,2501,2285,2753,5040,0,0,0,849,905,1758,4,0,9,10327,11014,21339,87,97,187,1037,1032,2067,129,173,307,191,219,410,164,183,347,293,283,580,391,391,781,714,838,1553,537,642,1177,52,82,128,81,88,166,705,748,1457,1584,1720,3311,51,72,124,19484,21254,40741,5532,5108,10636,5552,5439,10996,16,13,34,0,0,0,2810,2287,5099,166,197,361,2979,2482,5462,9187,8255,17442,81,51,135,39,36,78,9305,8343,17653,4896,3682,8577,48959,47644,96602
SED28203,1580,1863,3440,695,833,1523,54,53,105,159,161,315,0,0,0,8827,9585,18413,11,23,32,4366,4441,8806,82,94,182,51,54,103,33,29,65,194,179,372,76,89,158,246,287,538,216,276,494,18,35,52,38,65,103,194,228,426,1389,1480,2871,4,8,19,16672,17912,34582,1983,1660,3641,4574,4310,8889,10,9,17,0,4,5,1860,1587,3449,83,97,176,1947,1688,3634,4582,4024,8606,37,22,60,19,27,45,4635,4069,8710,2851,2867,5715,34246,34387,68632
SED28301,885,1133,2019,2280,2851,5133,0,0,0,827,957,1784,6,7,9,5938,6531,12474,84,95,184,1716,1795,3512,36,65,104,28,36,61,150,192,345,144,162,308,246,272,517,452,461,913,570,672,1241,46,52,100,70,69,133,840,1095,1935,832,946,1778,26,34,61,14282,16298,30581,388,389,784,577,530,1104,50,79,127,0,0,0,143,140,288,136,154,287,278,294,581,10610,9723,20331,82,48,132,40,50,97,10735,9821,20559,2274,2248,4523,29480,30799,60281
SED28408,177,247,419,2710,3518,6229,0,0,0,242,281,528,57,42,101,6696,7834,14525,215,302,520,109,134,245,49,71,118,26,44,74,131,153,280,9,11,26,66,78,148,143,176,317,747,896,1641,100,145,245,26,50,82,1677,2331,4008,458,509,967,11,3,18,13486,16581,30072,201,182,381,127,95,224,12,19,31,0,3,0,70,72,136,73,83,152,146,153,293,10493,9996,20487,99,77,170,28,55,88,10616,10131,20752,2577,2545,5120,27348,29952,57294
SED28507,650,774,1422,3060,3615,6678,4,3,5,992,1050,2044,78,85,161,8929,10037,18968,34,41,77,762,775,1540,125,144,269,116,156,276,162,188,346,71,89,165,199,248,447,418,486,899,580,716,1297,63,87,155,87,102,185,727,943,1666,950,1015,1969,29,35,68,17374,19823,37196,1594,1451,3042,1414,1320,2729,18,10,30,3,4,5,766,680,1442,124,165,290,894,845,1739,9641,8375,18015,88,75,162,48,57,107,9775,8508,18281,3101,3023,6120,34811,35756,70567
SED28607,718,1004,1719,1927,2551,4477,0,0,0,248,280,530,0,0,0,7682,8989,16672,25,22,53,2201,2340,4539,49,55,103,23,41,66,115,153,268,66,63,131,98,136,237,133,140,270,410,505,918,21,29,51,33,38,74,632,825,1457,677,800,1475,9,18,30,14352,16995,31348,483,318,802,1666,1470,3132,43,49,91,0,0,3,85,50,138,66,99,170,153,157,315,14071,12978,27047,138,107,244,51,69,114,14259,13149,27408,3160,3097,6254,34829,36236,71068
SED28704,446,592,1042,3700,4438,8133,3,9,14,375,439,817,122,136,256,10473,11320,21796,24,40,61,1420,1434,2852,87,117,203,92,98,186,118,130,244,82,88,170,120,128,248,438,465,899,666,744,1405,59,84,143,58,82,141,918,1196,2117,1108,1168,2274,18,22,39,19862,22130,41992,730,623,1358,622,601,1229,24,22,43,3,3,3,366,301,671,95,163,252,460,467,922,13789,12702,26489,96,90,188,45,64,106,13937,12852,26787,3282,3237,6516,39363,40517,79880
SED28803,1401,1517,2924,1647,2075,3727,458,446,900,214,247,460,3,0,6,15077,15521,30599,36,53,83,1568,1547,3115,149,139,289,217,249,460,41,51,95,300,311,614,172,165,332,438,461,892,373,413,787,48,62,114,93,116,208,536,684,1225,1216,1295,2518,19,18,41,22615,23850,46459,2125,1899,4024,6060,6090,12148,10,16,28,3,8,9,2144,1838,3983,143,151,299,2293,2002,4297,6604,5884,12489,49,42,92,33,44,80,6691,5967,12653,3334,3294,6631,44534,44630,89162
SED29494,77,76,156,216,206,416,0,0,3,29,32,62,3,0,3,508,440,947,3,4,11,44,42,90,10,8,14,12,9,20,10,16,23,8,0,8,22,12,27,30,38,69,64,56,122,7,3,9,11,10,19,66,58,125,82,73,149,0,0,0,1125,999,2129,66,35,99,137,113,247,10,6,15,3,0,4,13,6,19,13,20,35,24,28,54,1410,1106,2512,23,17,46,9,18,34,1441,1142,2591,1451,838,2289,4331,3238,7565
SED29797,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,3,28,4,29
