SED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SED22404,0,3,3,13,10,12,16,9,3,64,0,3,0,10,4,20,52,20,4,113,0,3,3,3,4,0,3,0,0,16,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,4,3,0,0,7,0,3,3,13,5,8,3,3,0,36,0,0,0,3,0,15,13,7,0,32,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,15,22,53,92,38,9,236,0,3,27,88,87,76,54,16,4,363,0,3,0,3,0,10,11,3,3,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,13,0,3,3,6,0,0,0,0,0,14,0,0,3,0,0,13,10,4,4,38,0,3,0,6,27,42,43,8,6,143,0,3,3,0,3,3,0,0,0,12,0,0,3,25,23,15,17,6,0,86
SED22501,0,3,0,29,25,9,24,4,3,104,0,0,7,15,28,127,155,65,23,411,0,3,5,0,3,3,0,0,0,17,0,3,6,7,0,0,3,0,0,22,0,0,0,9,5,5,5,0,0,28,0,7,4,36,14,32,32,6,0,132,0,0,0,3,0,18,19,9,3,50,0,0,0,7,8,4,3,0,0,18,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,15,10,10,28,18,9,97,5,23,26,90,72,47,18,8,3,289,0,3,0,7,6,3,10,0,0,28,0,0,0,11,5,4,0,0,0,17,0,0,0,6,3,4,0,0,0,13,0,0,0,18,3,3,7,0,0,35,0,0,0,7,0,9,0,0,0,24,0,11,8,19,29,48,42,18,3,175,3,6,3,12,3,3,7,0,0,46,0,15,15,65,32,18,7,5,0,157
SED22607,3,10,4,104,14,15,14,5,3,168,0,4,11,70,62,153,193,206,122,812,3,8,3,30,6,3,0,0,0,61,0,4,11,54,5,0,0,0,0,80,0,0,0,13,20,4,14,5,3,65,3,0,31,100,14,25,8,3,3,183,0,0,0,5,16,18,26,17,4,91,0,0,3,34,3,6,3,3,0,55,0,0,0,7,0,3,0,0,0,10,0,3,53,134,0,0,0,0,0,187,0,0,0,8,4,14,15,4,3,52,7,21,43,284,80,32,20,9,0,500,0,0,0,3,7,5,5,0,0,25,0,3,13,57,3,3,3,0,0,81,0,0,0,5,3,0,0,3,0,12,4,4,8,63,16,5,7,0,0,116,0,0,0,14,4,20,7,4,9,52,0,4,7,33,22,23,19,4,3,109,0,4,3,30,7,3,7,0,0,57,3,3,10,52,10,4,3,0,0,91
SED22704,0,3,0,15,9,12,20,7,0,74,0,0,0,3,14,30,56,33,13,146,0,3,3,0,0,3,0,0,0,10,0,0,3,9,3,0,0,0,0,15,0,0,0,0,0,0,3,0,0,12,0,0,5,4,7,4,0,3,0,29,0,0,0,0,4,14,24,10,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,8,8,25,65,25,8,147,0,13,15,60,58,65,57,10,3,284,0,0,0,4,0,8,11,3,0,32,0,0,0,5,0,0,0,0,0,8,0,0,0,4,4,0,3,0,0,14,5,20,14,37,4,7,0,0,0,88,0,0,0,0,0,3,6,3,3,18,0,0,0,8,16,27,36,12,4,110,0,0,3,3,0,0,0,0,0,10,0,0,3,9,3,3,3,4,0,26
SED22802,0,7,0,14,11,11,18,7,0,72,0,0,0,11,17,47,108,81,35,302,0,3,3,0,0,0,3,0,0,11,0,0,0,7,0,0,0,0,0,5,0,0,3,4,3,7,8,0,0,28,3,7,4,4,9,10,4,3,0,50,0,0,0,0,3,6,15,0,0,19,0,0,0,7,7,3,5,0,0,22,0,14,42,51,21,8,7,0,0,139,0,0,3,7,0,0,0,0,0,17,0,9,3,13,19,61,85,63,16,271,3,18,30,111,66,51,19,8,0,312,0,3,3,3,8,9,17,4,0,42,0,0,3,0,0,0,0,0,0,7,0,0,0,8,4,3,3,0,0,16,0,4,18,33,21,0,3,0,0,80,0,0,0,3,10,13,11,0,3,45,0,0,4,19,31,52,45,23,8,177,0,4,9,3,3,3,3,0,0,28,0,5,22,35,30,24,12,3,0,141
SED22901,3,0,0,13,11,11,18,19,10,82,0,0,0,8,18,45,58,37,14,182,0,6,5,3,4,3,0,0,0,26,0,15,20,63,28,4,5,0,0,129,0,0,0,3,3,3,6,0,4,20,10,45,98,233,120,152,89,18,4,765,0,0,0,0,0,13,16,0,3,36,0,0,0,7,6,9,6,5,0,32,0,0,3,6,5,3,0,0,0,19,0,0,9,16,8,0,0,0,0,28,0,3,0,4,10,27,49,41,21,152,8,46,46,98,67,49,27,12,0,355,0,0,4,6,10,6,6,8,4,43,0,3,5,22,8,0,0,0,0,47,0,0,0,3,8,3,0,0,0,17,0,17,14,61,34,30,21,3,0,184,0,0,0,16,6,23,12,3,3,59,0,0,3,19,15,37,48,25,9,155,3,39,57,52,39,34,18,3,3,249,0,13,20,60,44,30,34,13,0,204
SED23007,3,3,4,55,7,8,14,3,0,90,0,3,8,46,32,64,113,147,68,488,3,3,7,28,3,0,0,0,0,49,3,3,16,81,3,3,3,0,0,110,0,0,0,21,12,10,5,0,0,55,19,31,57,227,28,31,18,3,0,416,0,0,0,7,11,46,176,112,18,371,0,0,10,43,10,11,4,0,0,69,3,30,44,158,29,11,4,3,0,281,0,3,100,242,6,8,0,0,0,366,0,0,3,16,6,4,11,5,3,46,10,64,107,412,88,44,25,8,0,762,0,0,0,4,0,3,4,5,0,17,12,12,130,339,8,9,0,0,0,507,0,0,3,8,3,3,0,0,0,17,4,22,47,273,80,74,36,9,9,552,0,0,0,32,16,30,20,8,15,125,0,4,3,35,18,26,12,17,4,119,0,6,7,50,8,10,3,0,0,83,0,3,6,46,8,3,3,0,0,66
SED23101,0,7,0,20,7,5,11,5,5,70,0,0,3,11,10,46,104,88,36,302,0,12,14,15,7,3,5,0,0,52,0,25,32,68,40,15,3,5,0,190,0,0,0,9,12,13,0,3,0,30,4,64,100,292,126,142,126,35,11,884,0,0,0,0,0,3,7,9,4,31,0,3,11,13,3,7,7,3,0,51,0,0,0,11,0,3,4,3,0,18,0,0,10,16,0,0,0,0,0,20,0,5,0,5,10,9,21,19,13,80,3,39,41,93,63,47,23,21,9,348,0,0,0,3,3,4,6,3,0,26,0,9,18,48,9,4,3,0,0,88,0,0,0,9,0,0,0,0,0,11,6,9,21,71,28,21,12,0,0,167,0,0,0,13,3,25,14,10,3,66,0,0,0,18,11,19,32,24,8,112,3,48,45,45,30,26,21,12,0,229,0,9,20,41,35,24,11,10,3,147
SED23205,0,7,0,29,18,16,24,13,12,114,0,0,3,14,17,20,52,45,8,161,0,0,0,3,0,3,0,0,0,12,0,0,0,13,3,0,0,0,0,17,0,0,0,5,13,10,13,0,0,38,0,3,6,12,4,12,5,0,0,53,0,0,0,0,3,7,9,10,3,32,0,3,7,21,7,10,10,3,0,54,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,10,0,3,3,6,11,29,47,28,14,131,9,52,87,218,136,107,50,19,4,678,0,0,0,8,4,6,14,10,4,57,0,0,4,20,3,0,3,4,0,34,0,0,0,9,4,3,0,0,0,19,8,10,19,26,18,8,7,0,0,99,0,0,0,14,20,28,13,9,3,88,0,9,4,38,45,63,66,35,17,279,0,0,10,14,3,3,3,0,0,34,0,12,17,48,25,19,7,4,0,134
SED23308,0,12,0,32,13,9,3,5,3,90,0,3,7,14,12,43,75,83,47,284,0,3,0,6,0,0,0,0,0,13,3,3,10,14,0,3,0,0,0,27,0,0,0,3,0,3,0,0,0,10,0,0,19,47,6,3,3,3,0,82,0,0,0,0,0,6,15,3,0,29,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,4,32,0,0,0,0,0,38,0,4,0,3,6,30,73,33,13,162,4,12,31,112,55,55,22,11,0,302,0,4,0,9,3,11,7,4,4,39,3,3,6,46,7,0,0,0,0,63,0,0,0,5,3,0,0,0,0,13,0,14,17,42,8,5,0,0,0,91,0,0,0,7,3,6,6,7,5,35,0,0,0,23,33,45,37,26,7,168,0,0,4,3,3,4,3,0,0,23,0,4,3,29,9,12,5,3,0,72
SED23402,0,7,3,25,21,18,9,10,0,88,0,0,3,15,25,39,54,43,16,192,0,0,0,0,0,0,0,0,0,10,0,5,4,12,8,0,0,0,0,28,0,0,0,5,11,0,0,0,0,18,0,6,6,18,14,3,8,3,0,63,0,0,0,0,6,10,12,4,0,38,0,0,5,56,29,32,13,4,0,146,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,5,3,14,14,57,81,57,11,238,17,53,71,175,122,85,36,16,0,574,0,0,0,10,12,9,17,8,0,52,0,8,11,29,6,10,0,0,0,62,0,0,0,4,3,0,0,0,0,11,5,13,20,55,30,5,3,0,0,129,0,0,0,14,9,18,5,5,0,53,3,6,14,42,53,68,64,26,8,290,3,12,12,12,15,5,0,0,0,65,0,21,28,66,58,28,14,9,0,225
SED23502,0,0,0,6,4,9,7,7,0,41,0,0,0,3,5,6,28,34,18,98,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,4,5,0,0,0,29,0,0,0,0,0,15,14,9,3,30,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,33,99,60,15,222,3,9,12,70,38,75,51,19,3,276,0,0,0,5,3,10,15,4,0,34,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,7,5,13,8,21,3,3,0,0,0,58,0,0,0,3,0,4,4,0,4,26,0,3,0,13,11,30,46,32,5,137,0,7,0,0,0,0,0,0,0,13,0,5,5,10,10,7,10,3,0,49
SED23602,0,0,3,11,7,5,8,7,0,56,0,3,5,11,8,23,64,45,19,169,0,0,0,3,0,0,0,0,0,5,0,0,4,8,0,0,0,0,0,15,0,0,0,3,0,0,4,0,0,11,0,0,0,27,12,3,5,0,0,54,0,0,0,0,0,7,11,6,0,22,0,0,3,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,3,0,0,10,10,50,95,51,17,240,3,11,32,105,64,76,41,18,7,355,0,0,0,3,9,4,12,7,0,32,0,0,0,3,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,10,3,17,10,35,14,7,0,0,0,85,0,0,0,11,3,11,6,0,0,29,0,0,0,11,17,22,41,16,4,108,0,7,0,8,3,0,0,0,0,17,0,3,6,20,16,10,10,6,0,64
SED23702,0,4,3,24,18,13,13,13,3,90,0,0,0,4,14,27,57,38,11,148,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,10,6,3,0,0,22,0,3,0,6,5,8,6,0,0,27,0,0,0,0,3,7,12,11,0,37,0,0,0,3,9,8,3,3,0,30,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,3,16,46,90,55,8,230,3,21,44,150,86,106,43,17,0,472,0,3,0,6,13,17,17,7,3,60,0,0,0,3,0,0,0,0,0,3,0,0,0,3,8,3,0,0,0,12,3,17,12,46,5,4,0,0,0,84,0,0,3,10,0,17,9,4,4,50,0,9,9,47,61,75,55,36,11,309,0,0,3,4,0,4,0,0,0,10,0,8,18,28,16,12,17,3,0,102
SED23806,0,3,4,62,14,11,16,8,0,119,0,3,0,37,19,32,59,59,30,229,0,0,9,15,0,3,5,0,0,42,0,7,19,59,13,6,0,0,0,106,0,0,5,3,8,0,0,0,3,16,0,7,116,166,64,74,41,24,0,495,0,0,0,0,0,5,10,4,0,23,0,0,4,17,0,4,4,0,0,31,0,0,0,4,3,3,0,3,0,10,0,0,18,29,0,3,0,0,0,49,0,3,0,14,19,13,17,5,3,71,7,26,71,260,78,85,33,8,7,575,0,0,4,7,3,5,3,3,4,24,0,0,16,38,0,3,0,0,0,58,0,0,0,11,4,3,0,0,0,18,0,4,11,50,14,7,0,0,0,84,0,0,0,16,0,15,12,4,9,59,0,3,4,37,24,21,26,6,4,118,5,17,25,60,17,10,9,6,0,145,0,9,27,71,44,29,19,7,0,208
SED23901,0,4,4,58,21,14,14,4,3,123,0,8,3,29,40,100,216,148,97,633,0,7,10,11,3,5,5,0,0,40,0,5,8,32,8,7,0,0,0,56,0,0,0,22,38,32,27,14,6,128,3,14,25,112,33,38,30,12,0,271,0,0,0,0,3,14,22,10,0,50,0,0,0,13,7,7,3,4,3,32,0,0,7,12,0,4,0,0,0,22,0,0,4,26,0,0,0,0,0,35,0,9,0,14,9,3,21,8,3,71,6,34,39,162,73,51,30,5,3,409,0,0,0,7,3,6,6,4,4,32,0,3,18,47,6,8,3,0,0,77,0,0,3,6,3,0,0,0,0,11,4,6,10,71,16,14,3,3,0,127,0,0,0,17,10,18,10,4,6,62,0,0,6,38,22,24,21,10,8,125,7,4,11,27,9,7,7,0,0,72,0,0,11,44,25,9,4,3,3,104
SED24006,0,4,6,30,13,14,13,4,3,85,0,0,3,22,41,48,116,105,52,390,0,6,8,10,6,3,0,3,0,44,0,15,31,43,20,5,3,3,0,128,0,0,0,6,11,3,3,3,0,31,4,42,84,192,117,151,99,27,7,721,0,0,0,0,0,4,5,3,0,15,0,0,0,3,4,5,0,3,0,18,0,0,0,3,3,0,0,0,0,7,0,0,10,12,0,3,0,0,0,17,0,6,3,12,4,13,13,9,3,61,3,41,71,114,90,55,40,19,4,430,0,3,0,5,3,3,0,3,0,19,5,7,10,12,7,9,3,0,0,56,0,0,0,3,7,7,0,0,0,20,0,7,9,30,6,4,5,0,0,63,0,0,6,3,3,13,10,9,11,56,0,0,0,20,19,17,26,8,8,90,5,39,35,50,18,20,12,10,0,184,0,4,15,60,32,23,15,8,0,169
SED24105,0,7,3,13,11,6,19,13,3,72,0,0,0,11,25,44,82,84,40,283,0,3,5,9,4,3,7,0,0,29,0,6,7,27,6,3,0,0,0,49,0,3,0,20,22,18,8,8,0,72,17,31,49,148,35,33,23,5,0,347,0,0,0,0,0,13,30,22,0,65,0,5,6,72,45,51,68,29,10,280,0,9,41,160,36,10,9,5,0,269,0,3,6,35,4,0,3,0,0,49,0,0,0,0,3,10,25,15,6,64,9,100,112,165,60,44,25,8,0,530,0,0,0,3,0,0,11,10,0,28,3,18,26,105,19,4,7,0,0,180,0,0,0,4,0,0,0,0,0,13,3,22,56,139,61,46,14,7,0,346,0,0,0,19,12,30,32,3,6,101,0,5,3,8,16,15,28,14,12,94,0,13,12,30,12,5,4,3,0,78,0,20,22,51,37,15,18,4,0,156
SED24207,3,9,0,14,3,6,5,3,0,39,3,7,6,29,37,90,109,53,13,346,0,3,4,3,3,0,0,0,0,16,0,3,4,27,3,0,3,0,0,38,0,5,7,49,28,13,9,0,0,121,9,33,26,117,31,10,9,0,0,240,6,3,19,44,64,244,334,125,13,840,0,3,9,26,17,8,3,0,0,62,3,17,55,101,20,9,3,0,0,207,0,3,10,44,6,4,0,0,0,64,0,5,0,10,3,13,5,6,0,42,25,201,199,286,82,48,10,3,0,855,0,0,0,0,0,0,4,4,0,18,17,29,70,322,31,16,4,3,0,495,0,0,0,0,0,0,0,0,0,6,14,115,291,763,399,272,115,16,3,1981,0,0,3,54,45,46,27,10,7,186,0,5,3,15,10,15,24,14,3,92,3,17,10,22,16,10,3,0,0,75,0,3,11,30,12,7,3,0,0,66
SED24308,0,3,0,15,10,16,14,5,3,68,0,0,12,8,27,47,81,61,36,271,0,0,3,0,0,0,0,0,0,8,0,3,3,10,0,3,0,0,0,19,0,0,0,11,10,3,0,4,0,31,0,5,3,20,11,6,0,3,0,49,0,0,0,0,0,17,24,10,0,59,0,0,0,7,0,0,0,0,0,11,3,6,38,65,20,16,11,0,0,160,0,0,0,4,0,0,0,0,0,4,0,0,0,5,3,50,84,40,30,216,3,16,41,130,48,39,26,10,0,308,0,0,0,3,12,10,16,8,3,58,8,29,25,63,5,3,3,0,0,142,0,0,0,3,8,0,0,0,0,6,0,30,62,72,57,19,12,3,0,248,0,0,0,15,14,23,17,14,15,91,0,3,8,21,32,55,52,29,4,202,0,10,8,8,12,5,3,0,0,37,0,0,3,25,3,8,0,0,0,42
SED24408,0,4,0,7,3,3,0,4,3,18,0,4,0,0,3,13,15,7,8,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,40,13,3,3,0,0,62,0,0,0,9,0,0,0,0,0,7,0,3,0,3,6,21,37,17,4,95,3,20,20,60,47,45,27,8,5,233,0,0,0,0,0,4,0,0,0,10,0,0,0,3,0,0,0,0,0,9,0,0,3,3,7,0,0,0,0,9,5,14,12,29,6,3,0,0,0,67,0,0,0,3,0,3,5,0,0,16,0,0,0,8,10,16,17,12,4,63,0,0,0,3,0,0,0,0,0,7,0,5,8,19,10,3,7,0,0,60
SED24504,0,0,0,26,15,8,5,11,4,71,0,0,0,11,13,43,53,22,10,162,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,3,12,11,10,0,0,0,32,0,0,0,4,8,47,57,14,0,130,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,16,18,15,46,22,9,132,3,19,9,91,100,78,39,16,0,356,0,0,0,9,3,6,17,8,0,44,0,0,0,3,0,4,0,0,0,3,0,0,0,0,7,0,0,0,0,11,4,11,4,17,3,0,0,0,0,37,0,0,0,9,0,3,6,0,3,25,0,3,3,26,26,31,49,17,8,161,0,3,0,4,7,4,0,0,0,20,0,3,8,27,18,14,12,6,0,80
SED24606,0,4,3,54,14,12,11,3,5,107,0,0,0,28,15,27,52,47,23,193,3,4,10,32,6,6,0,0,0,60,0,5,18,41,7,3,0,0,0,73,0,0,0,3,6,4,4,0,0,18,0,8,41,123,28,41,28,16,4,287,0,0,0,0,0,3,3,3,0,7,0,0,4,16,4,4,6,0,0,36,0,0,3,3,0,0,0,0,0,16,3,0,12,47,0,0,0,0,0,63,0,0,0,7,7,4,16,3,12,55,3,14,47,188,92,73,37,16,12,468,0,0,0,12,5,0,7,0,0,36,0,0,9,28,3,0,0,0,0,42,0,0,0,8,7,0,3,0,0,14,0,4,12,71,7,10,0,3,0,106,0,0,0,11,7,13,23,24,26,106,0,4,0,17,16,20,22,13,9,102,5,12,29,48,15,10,14,4,0,142,0,0,13,90,36,45,40,10,3,232
SED24703,4,3,8,131,18,11,6,4,3,183,0,10,71,298,28,54,67,68,60,647,0,8,104,125,17,6,5,0,0,268,0,7,407,808,31,9,0,0,0,1261,0,0,4,19,11,10,6,5,0,50,3,25,1474,1086,84,55,26,8,4,2761,0,0,0,3,3,12,18,9,4,54,0,0,42,68,3,3,3,0,0,120,0,0,70,21,0,0,0,3,0,93,0,0,17,39,0,0,0,0,0,55,5,0,14,30,7,12,19,6,0,99,5,11,205,631,115,85,41,17,3,1122,3,0,0,21,3,3,0,0,0,35,0,3,52,78,5,0,0,0,0,141,0,0,0,15,5,3,0,0,0,19,3,8,73,244,20,17,6,0,0,366,0,0,3,30,4,3,7,0,0,59,0,0,17,81,26,24,10,5,0,152,8,11,379,321,22,10,11,0,0,767,0,0,41,104,16,14,8,0,0,185
SED24808,0,4,0,16,9,17,33,5,5,91,0,0,4,11,18,64,65,32,4,196,0,0,0,3,0,0,0,0,0,9,0,4,3,9,3,0,0,0,0,20,0,0,7,12,10,4,12,0,0,47,5,10,3,23,10,9,3,3,0,70,3,13,11,34,53,123,135,44,8,418,0,0,0,17,4,5,3,0,0,35,0,13,27,28,10,5,0,0,0,83,0,0,13,9,0,0,0,0,0,22,0,0,0,15,6,27,49,16,6,117,42,137,157,314,121,71,52,7,3,910,0,0,0,4,8,7,15,4,3,48,0,9,4,49,9,10,0,0,0,81,0,0,0,3,3,0,0,0,0,8,4,45,55,155,74,15,12,0,0,362,0,0,0,23,9,20,11,8,0,71,3,3,9,25,34,60,66,23,3,221,3,3,3,12,4,10,7,0,0,42,3,7,18,50,20,12,12,0,0,116
SED24904,0,0,0,8,5,0,6,0,5,25,0,3,4,19,15,59,100,98,50,350,0,0,5,9,0,0,0,0,0,14,0,4,12,16,0,0,0,0,0,38,0,0,0,0,0,3,0,0,0,4,4,3,53,112,17,7,3,0,0,197,0,0,0,0,0,3,8,0,0,5,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,15,0,0,0,5,9,17,31,8,0,62,3,20,41,73,50,31,29,10,0,252,0,0,0,3,3,0,4,0,0,16,0,3,3,8,3,0,0,0,0,26,0,0,0,0,3,0,0,0,0,3,0,12,17,36,8,4,0,0,0,79,0,0,0,3,0,3,0,0,0,15,0,0,0,12,11,12,22,10,4,64,0,0,0,0,0,3,0,0,0,3,0,3,14,11,10,4,4,0,0,51
SED25003,0,8,0,22,11,14,7,4,0,67,0,6,19,46,121,264,263,162,72,960,0,4,3,3,3,0,3,0,0,16,0,3,10,20,9,3,0,0,0,45,0,11,6,83,83,49,24,5,0,266,0,9,37,56,21,38,19,5,4,188,0,0,0,6,21,58,64,22,12,179,0,3,6,34,11,25,6,5,0,88,0,0,4,9,0,0,0,0,0,20,0,3,14,55,7,5,0,0,0,85,0,3,0,0,0,11,12,10,0,37,13,63,65,152,50,45,16,0,0,401,0,0,0,0,3,6,7,4,0,20,9,15,13,97,21,8,3,3,0,169,0,0,0,5,0,0,0,0,0,11,0,26,64,135,73,51,23,3,0,378,0,0,0,13,3,15,9,0,3,48,0,5,3,6,11,31,11,16,3,85,7,8,5,24,11,8,0,3,0,58,3,10,10,35,13,7,0,0,0,76
SED25102,0,7,0,18,12,14,11,9,0,73,0,3,0,12,11,22,51,21,17,135,0,3,3,4,3,0,0,0,0,13,0,7,3,5,3,3,0,0,0,23,0,0,0,6,3,0,0,0,0,8,0,8,3,14,7,8,0,0,0,50,0,0,0,0,0,10,8,5,0,25,0,0,0,0,0,7,4,0,0,13,0,4,3,17,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,3,22,42,71,119,50,40,345,0,14,24,119,78,69,38,10,0,353,0,3,0,12,6,3,6,3,0,29,0,0,0,5,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,15,0,8,9,14,0,6,0,0,0,31,0,0,0,12,4,12,4,4,7,46,0,0,5,15,30,29,40,17,6,145,0,4,3,7,5,3,0,0,0,26,0,11,15,52,47,20,21,3,0,165
