SED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED26806,78,110,202,0,0,396,16,23,57,0,0,92,9,22,66,0,0,94,15,23,109,0,0,149,19,34,139,0,0,194,62,99,547,3,0,715,55,89,689,3,0,837,101,205,1041,4,0,1356,59,140,513,0,8,718,119,260,430,3,4,806,278,370,312,0,7,960,60,78,145,0,0,275,867,1450,4246,17,16,6600
SED26903,255,78,6,0,0,335,104,40,5,0,0,151,88,29,3,0,0,117,137,73,10,0,0,226,217,84,20,0,0,320,586,279,52,4,3,927,665,420,71,4,4,1155,1028,446,73,6,3,1555,526,165,15,7,3,715,515,85,12,0,0,613,211,51,3,3,0,266,239,66,14,0,3,322,4566,1808,285,28,15,6706
SED27003,81,219,100,0,0,400,27,55,31,0,0,108,17,60,27,0,0,106,24,63,45,0,0,133,30,80,70,3,0,187,77,233,298,4,0,615,85,269,352,0,0,702,188,480,631,4,8,1310,116,395,390,3,5,906,175,576,325,0,4,1085,234,605,185,3,4,1026,56,116,80,5,0,255,1098,3151,2545,23,26,6853
SED27101,408,57,5,0,0,468,167,32,0,0,0,199,151,22,4,0,0,181,224,28,9,0,0,261,284,54,11,0,0,352,833,160,33,0,0,1024,989,188,31,0,3,1212,1611,252,28,0,4,1896,924,147,8,0,3,1079,820,92,10,0,4,917,371,39,5,0,4,418,235,32,0,0,3,274,7014,1098,141,3,20,8283
SED27208,472,0,0,8,5,485,440,3,0,9,4,458,407,11,0,4,0,426,802,4,0,16,3,823,978,0,0,9,12,999,1695,9,3,28,7,1738,1139,3,3,13,11,1170,709,0,0,15,3,726,184,0,0,4,3,189,139,0,0,5,0,152,101,0,0,4,0,104,405,3,4,6,4,420,7467,33,12,124,51,7696
SED27305,395,7,4,0,0,410,172,5,0,0,0,179,181,3,0,0,0,180,275,0,0,0,0,274,366,13,0,3,0,381,1152,30,5,3,0,1187,1208,46,12,3,0,1271,1925,57,0,13,3,2001,1001,23,0,8,0,1033,859,17,3,3,0,880,406,0,0,3,0,410,408,8,4,4,0,429,8348,213,24,48,3,8637
SED27406,291,95,23,3,0,415,115,38,11,0,0,158,66,25,9,0,0,98,113,53,19,0,0,183,157,73,25,0,0,253,403,185,92,3,4,685,378,218,112,7,3,722,707,345,159,19,5,1230,519,285,66,9,3,884,841,273,52,4,3,1175,1041,196,27,3,3,1273,250,71,19,0,0,342,4889,1860,605,53,22,7433
SED27504,368,11,0,0,0,378,220,9,0,0,0,235,243,9,0,3,0,256,532,27,3,3,5,566,836,34,0,6,0,872,2086,43,0,3,0,2134,1596,28,0,0,3,1629,1079,17,0,0,0,1095,289,3,0,0,0,292,191,4,0,0,3,196,148,0,0,0,0,154,374,10,0,6,3,388,7958,187,16,27,20,8197
SED27608,392,16,0,0,0,404,204,8,0,0,0,215,169,15,0,0,0,184,309,15,0,3,0,331,421,31,0,3,0,448,1349,78,3,8,3,1440,1814,99,4,7,0,1926,2230,63,4,15,3,2316,903,26,3,3,4,947,671,12,3,3,0,690,317,7,0,0,0,329,364,8,0,4,0,377,9145,377,17,48,18,9603
SED27708,409,12,4,0,0,426,236,10,0,3,0,249,216,3,0,3,3,228,429,17,3,0,3,454,587,14,9,3,0,615,1728,63,14,5,3,1813,1468,31,5,5,3,1511,1172,19,3,3,5,1198,343,14,4,0,0,356,234,5,0,0,3,245,145,4,0,0,3,154,354,12,3,3,0,369,7318,204,50,33,25,7632
SED27807,352,45,17,4,0,420,157,18,10,0,0,187,159,12,3,0,0,184,255,27,14,0,0,297,328,58,30,0,0,417,935,231,100,3,0,1268,1084,201,68,0,0,1353,1090,176,37,0,0,1297,312,30,7,0,0,349,223,37,12,0,0,276,123,25,0,0,0,151,323,43,17,0,3,387,5330,914,310,10,6,6576
SED27907,366,22,8,0,0,390,205,12,0,0,0,215,164,5,3,0,0,173,306,18,12,0,0,343,447,38,13,0,0,498,1464,107,43,0,4,1620,1769,134,51,3,3,1967,1917,114,20,0,0,2052,677,21,0,0,3,703,432,17,3,0,0,451,215,3,0,0,0,223,379,13,3,0,0,391,8351,500,162,9,9,9032
SED28007,471,61,3,0,0,534,198,23,0,0,0,221,162,29,0,0,0,186,313,47,0,0,0,360,440,76,0,0,0,519,1386,207,17,0,3,1618,1748,312,23,0,7,2092,2733,246,6,0,6,2997,1182,66,3,0,4,1255,751,54,0,0,0,808,368,23,0,0,0,396,568,50,3,0,0,622,10321,1191,56,3,24,11595
SED28107,459,75,10,0,0,545,155,26,3,0,0,186,148,19,0,0,0,171,258,53,7,0,0,321,444,71,9,0,0,527,1732,341,53,3,0,2122,2908,612,34,0,3,3557,3675,605,10,0,0,4290,1077,173,3,4,0,1249,625,84,6,0,0,710,325,46,0,0,0,377,506,76,9,0,0,597,12301,2188,141,3,6,14640
SED28203,311,30,4,3,0,341,114,10,0,0,0,123,129,12,5,0,0,139,184,20,4,0,0,206,268,24,9,0,0,305,903,131,46,0,0,1080,1336,184,46,0,9,1579,1943,123,31,3,4,2107,659,20,3,0,0,681,395,19,3,0,0,415,219,9,0,0,0,231,339,17,5,0,0,357,6786,594,176,5,17,7580
SED28301,436,57,8,0,4,504,120,16,5,0,0,147,107,16,5,0,0,122,163,22,6,0,0,194,224,27,13,0,0,262,649,74,32,0,0,756,638,91,40,0,0,771,1184,151,59,0,4,1398,815,105,28,0,0,951,961,98,21,0,0,1086,813,69,15,0,0,894,336,29,6,0,3,374,6459,745,231,0,16,7452
SED28408,281,17,4,0,0,308,204,17,4,0,0,226,197,15,7,0,0,213,349,26,9,3,0,391,568,34,3,0,0,609,1551,102,9,3,7,1681,1298,82,12,0,6,1398,981,41,3,0,5,1038,316,13,0,3,0,334,216,10,0,0,0,228,143,3,0,0,0,147,221,12,0,0,0,229,6320,383,53,15,25,6793
SED28507,352,21,3,0,0,380,199,14,0,0,0,217,184,14,3,0,0,203,339,27,7,0,0,375,543,60,7,0,0,609,1900,201,22,0,0,2119,2377,144,15,0,0,2539,1826,93,5,0,5,1936,479,26,0,0,0,507,317,12,0,0,0,331,173,3,5,0,0,179,440,27,0,0,0,464,9140,641,66,7,6,9852
SED28607,313,88,17,3,4,417,147,27,7,0,0,180,91,15,9,0,0,122,156,46,20,0,0,218,221,50,22,0,0,291,627,214,65,3,4,921,682,291,103,0,6,1086,1189,535,93,3,3,1829,919,367,35,3,10,1326,1096,367,25,5,3,1487,759,188,8,3,0,954,284,87,13,0,0,383,6472,2272,417,21,30,9211
SED28704,408,13,0,0,0,419,207,7,3,0,0,214,148,14,0,0,0,163,295,16,0,0,0,310,443,38,5,0,0,480,1503,105,14,0,4,1632,2593,186,10,0,3,2791,4101,168,9,3,3,4285,1607,60,3,0,0,1673,991,33,0,0,0,1023,487,6,0,0,0,494,561,28,0,0,0,594,13342,662,49,3,16,14078
SED28803,457,18,0,0,0,473,183,11,3,0,0,194,181,6,0,0,0,187,301,17,3,0,0,316,484,21,0,0,0,509,1775,128,9,0,3,1913,2916,247,15,0,0,3177,3769,206,8,0,8,3987,1251,33,0,0,0,1285,783,27,0,0,3,818,440,16,3,0,0,462,608,38,0,0,0,649,13151,756,44,4,13,13965
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
