SED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED22404,736,1013,1943,2626,3244,2619,651,69,18,12919,854,238,617,703,798,1630,2610,1357,605,9413,110,75,186,267,281,322,259,158,60,1709,1700,1331,2742,3595,4324,4569,3521,1579,679,24041,364,1187,2597,3109,4022,2879,626,97,28,14905,900,678,1092,1781,2088,2140,847,125,18,9674,32,58,215,198,227,284,92,14,4,1123,57,66,87,110,144,102,37,14,7,633,1357,1992,3994,5198,6478,5405,1612,247,54,26341,72,118,126,134,136,125,5,0,0,714,130,66,73,92,98,84,16,0,0,564,197,185,197,226,229,210,24,0,0,1272,1555,2173,4195,5421,6711,5610,1635,247,54,27617,1721,402,798,982,1332,2785,5061,2543,973,16600,206,167,389,529,596,660,573,286,104,3508,3479,2745,5380,6937,8640,9052,7270,3088,1127,47717
SED22501,988,1474,2469,3432,3835,2977,571,35,6,15782,796,221,500,666,666,1413,2195,1176,553,8192,37,38,104,117,140,143,131,85,69,868,1827,1735,3069,4211,4644,4538,2900,1301,621,24843,212,1259,3441,4225,4894,3543,577,23,3,18180,1289,1348,1148,2167,2283,2133,778,64,5,11218,47,62,242,237,148,231,63,3,0,1027,29,47,86,80,89,71,22,10,0,425,1581,2712,4917,6711,7412,5976,1437,99,10,30852,57,116,124,121,112,106,9,0,0,644,313,127,64,89,69,71,25,3,0,749,366,237,191,209,180,172,33,3,0,1396,1940,2950,5104,6919,7595,6150,1472,99,15,32246,1764,499,737,861,900,2135,4062,2100,836,13896,79,93,195,235,302,280,235,137,98,1660,3787,3543,6044,8017,8796,8570,5765,2335,949,47805
SED22607,866,1972,5096,3914,3592,2290,409,29,14,18178,869,471,941,874,728,1300,1696,1396,806,9082,98,171,469,330,243,225,155,151,103,1944,1833,2610,6502,5119,4561,3817,2265,1574,919,29197,100,1429,6912,5317,4812,2847,411,32,7,21861,1064,1883,2122,2023,1894,1553,508,60,8,11111,45,100,315,267,128,136,43,4,0,1045,20,63,163,107,99,61,24,0,0,540,1233,3470,9509,7711,6927,4591,985,102,16,34553,40,164,396,229,215,114,10,0,0,1176,267,242,225,105,104,75,22,3,0,1044,308,410,619,334,318,192,31,3,0,2220,1544,3881,10135,8041,7251,4785,1019,107,16,36773,1817,957,1425,1189,1145,2112,3059,2311,1284,15299,178,317,954,656,528,444,299,244,154,3769,3536,5157,12508,9881,8918,7344,4380,2659,1457,55839
SED22704,870,1025,2026,2472,3380,2757,640,99,15,13282,850,341,770,812,960,1846,3047,1844,835,11298,131,111,203,257,323,385,367,275,155,2210,1849,1479,3001,3544,4658,4984,4055,2214,1007,26791,406,1267,2802,3080,4224,3329,752,112,35,15993,993,697,1145,1514,1943,2021,750,166,31,9262,56,76,205,191,234,310,106,18,4,1205,57,77,91,95,129,119,51,24,0,652,1516,2118,4245,4881,6535,5785,1655,316,72,27117,94,142,183,158,187,174,12,0,0,958,145,57,79,86,92,119,18,0,0,598,243,201,265,246,282,292,30,0,0,1558,1755,2326,4503,5121,6814,6073,1684,321,73,28673,1904,651,1113,1254,1561,3122,5866,3475,1386,20336,282,221,441,509,649,797,744,510,250,4399,3944,3191,6054,6885,9026,9996,8296,4307,1706,53409
SED22802,1139,1435,2923,2908,3378,2231,443,41,0,14489,782,234,744,760,677,1218,2120,1165,422,8122,51,75,146,134,191,149,152,104,86,1082,1975,1738,3816,3800,4241,3594,2715,1311,510,23695,407,1570,4206,3826,4381,2690,477,34,0,17589,1302,1114,1408,1839,1961,1637,577,67,3,9921,70,61,280,178,179,208,68,5,0,1057,51,42,106,104,117,71,15,10,0,510,1825,2796,5993,5950,6639,4612,1140,117,7,29075,72,126,136,121,108,87,12,7,0,659,298,94,86,88,66,48,19,0,0,704,370,221,214,213,174,139,30,7,0,1362,2195,3017,6212,6163,6813,4749,1175,119,7,30442,1711,442,995,988,997,1878,3855,2143,723,13742,127,160,291,283,351,297,278,193,127,2106,4040,3617,7499,7436,8163,6920,5306,2456,851,46292
SED22901,844,1399,2983,2878,3162,2532,457,22,10,14287,834,330,708,810,741,1545,2387,1473,943,9775,42,43,127,117,108,117,139,119,101,907,1720,1772,3822,3807,4008,4199,2978,1623,1051,24973,189,1278,4323,3864,4119,3133,467,17,7,17391,1049,1204,1363,1701,1765,1728,620,51,13,9491,43,61,231,163,119,151,61,7,0,842,31,53,92,72,96,71,17,6,3,445,1309,2601,6009,5804,6106,5077,1164,79,19,28169,46,151,210,165,164,127,5,0,0,868,288,138,109,120,106,92,20,0,0,874,329,284,311,283,275,224,25,0,0,1744,1643,2892,6322,6082,6377,5304,1194,76,18,29909,1799,692,992,1109,1080,2341,4225,2623,1394,16259,83,98,237,261,221,241,249,189,161,1743,3524,3679,7553,7455,7677,7883,5664,2891,1579,47914
SED23007,765,2356,6448,4186,3082,1760,231,27,8,18865,1157,970,1761,1330,1222,1810,2098,1442,715,12506,117,241,625,400,327,273,211,160,112,2465,2031,3569,8841,5919,4642,3840,2544,1630,830,33837,110,1583,8730,5998,4106,2266,281,19,11,23099,838,2415,3765,2348,1704,1155,271,33,8,12532,39,97,381,281,129,98,28,3,0,1054,33,127,295,169,137,73,23,3,0,855,1014,4216,13171,8797,6068,3595,602,62,16,37541,62,349,738,478,424,257,7,3,0,2325,353,563,413,227,189,151,25,3,0,1932,420,920,1153,704,611,413,37,5,0,4256,1433,5132,14321,9498,6684,4008,634,67,13,41791,2334,2012,2834,2011,1945,3050,3920,2586,1138,21834,252,547,1322,864,646,518,399,321,186,5057,4025,7689,18480,12372,9275,7571,4952,2971,1342,68684
SED23101,818,1298,2538,3106,3133,2086,544,34,3,13563,940,464,703,943,854,1450,2788,2215,1020,11367,39,50,105,103,116,117,117,154,162,967,1795,1812,3351,4154,4098,3650,3445,2406,1190,25902,87,902,3441,4100,4121,2577,436,27,0,15695,1071,1400,1384,1832,1810,1434,729,101,4,9777,48,55,167,163,113,96,53,10,0,705,25,48,89,74,78,47,21,6,0,390,1233,2408,5086,6173,6118,4167,1236,147,7,26563,35,100,226,176,186,125,12,0,0,865,321,227,133,129,111,87,19,5,0,1020,354,324,359,300,296,208,29,5,0,1881,1585,2734,5440,6473,6417,4378,1263,151,7,28451,2054,1031,1069,1203,1182,2209,4829,3981,1635,19188,65,109,245,220,224,223,224,254,226,1798,3705,3876,6758,7895,7827,6807,6316,4385,1865,49431
SED23205,888,1427,2889,2821,3033,2232,489,31,5,13823,741,389,938,911,933,1524,2575,1766,944,10722,104,150,310,251,278,255,232,193,121,1884,1729,1967,4136,3983,4250,4010,3297,1989,1075,26422,226,1300,3902,3597,3846,2666,382,28,3,15956,1028,1110,1508,1730,1733,1533,614,56,10,9328,38,58,267,189,121,202,62,4,0,945,38,81,114,97,84,56,16,3,5,497,1327,2550,5795,5614,5785,4460,1077,91,16,26724,96,212,268,230,252,199,10,0,0,1266,254,131,127,130,115,104,32,5,0,905,348,347,395,362,365,307,41,3,0,2166,1678,2891,6185,5977,6148,4766,1121,95,16,28886,1593,708,1299,1341,1520,2392,4586,3122,1497,18065,220,291,632,515,544,512,424,319,175,3633,3491,3890,8119,7833,8213,7676,6131,3534,1696,50587
SED23308,941,1802,3550,3087,3325,2402,399,46,7,15546,690,415,877,783,808,1498,2502,1878,1102,10549,77,155,260,213,258,221,203,189,139,1711,1702,2370,4679,4083,4389,4124,3104,2105,1244,27803,195,1427,4618,3799,4026,2596,334,41,6,17047,1210,1579,1873,1908,1950,1781,555,65,8,10938,48,90,322,228,177,196,52,6,0,1126,47,77,120,93,76,69,17,9,5,509,1500,3179,6936,6038,6230,4645,963,120,23,29625,73,196,254,177,217,136,4,3,0,1071,210,161,140,116,88,111,24,0,0,846,278,362,390,290,307,244,28,8,3,1911,1780,3542,7327,6325,6533,4890,992,124,22,31538,1519,801,1274,1141,1314,2470,4326,3131,1730,17710,152,284,539,429,508,415,386,299,213,3234,3454,4622,9141,7894,8358,7777,5708,3562,1966,52486
SED23402,1199,1837,3502,3636,3900,2360,407,31,12,16879,989,369,1016,909,828,1327,2136,1253,600,9431,107,115,241,220,231,197,154,116,69,1436,2290,2317,4754,4756,4953,3888,2695,1402,685,27742,388,1870,4902,4830,5394,3016,437,37,12,20883,1467,1372,1730,2235,2089,1703,560,60,11,11226,67,74,306,194,171,173,56,7,0,1054,48,84,118,102,118,83,22,6,3,581,1971,3396,7060,7363,7773,4975,1070,111,23,33748,121,166,185,151,160,136,12,0,0,933,339,121,126,112,87,76,23,3,0,884,464,286,310,264,252,211,28,3,0,1816,2433,3684,7373,7627,8028,5188,1105,115,23,35570,2148,628,1248,1180,1151,2029,3781,2370,960,15491,224,233,451,437,488,387,290,215,118,2838,4802,4542,9073,9237,9661,7606,5175,2691,1104,53900
SED23502,744,854,1846,2199,2955,2619,610,81,13,11915,674,253,723,617,743,1904,3460,1961,809,11144,103,101,194,228,297,354,383,319,213,2193,1522,1205,2767,3041,4002,4873,4450,2368,1029,25248,294,1023,2234,2429,3131,2684,566,94,17,12475,874,560,1208,1493,1888,1989,783,126,13,8928,59,67,222,180,259,346,124,19,0,1277,55,46,59,96,110,99,49,30,3,546,1284,1692,3718,4199,5389,5119,1520,265,32,23221,82,147,149,149,207,204,7,0,4,957,114,62,78,74,79,123,15,0,0,549,195,208,228,223,294,335,21,0,4,1504,1482,1900,3946,4418,5678,5450,1548,265,38,24727,1481,393,962,970,1310,3262,6841,3841,1337,20399,211,230,395,448,603,699,820,544,320,4272,3174,2527,5299,5839,7590,9409,9200,4653,1701,49403
SED23602,774,844,1948,2243,2854,2491,582,98,19,11843,656,242,710,671,817,1664,2754,1567,819,9892,73,99,206,216,283,353,313,222,108,1878,1513,1182,2859,3129,3952,4502,3648,1885,945,23614,301,980,2508,2766,3410,2621,639,99,13,13329,917,586,1131,1447,1806,1953,680,120,18,8654,41,58,219,158,217,247,112,17,4,1066,52,46,73,96,104,96,47,21,16,552,1308,1671,3934,4464,5532,4911,1476,258,49,23604,78,129,157,160,186,156,13,3,0,875,144,60,95,63,81,104,21,0,3,582,223,197,249,226,267,262,32,3,3,1461,1530,1865,4181,4688,5796,5170,1509,265,53,25059,1503,491,1230,1199,1400,2870,5240,2930,1318,18177,176,191,426,428,584,686,630,435,156,3712,3209,2549,5841,6318,7781,8728,7378,3624,1529,46948
SED23702,1304,1842,3330,3272,4102,2726,452,30,7,17057,811,302,841,884,917,1595,2545,1339,481,9707,99,114,228,221,270,241,218,138,61,1595,2220,2259,4398,4382,5289,4565,3212,1502,541,28365,699,2280,4516,4235,5231,3326,479,31,6,20805,1523,1288,1693,2079,2344,1926,624,62,5,11549,64,73,321,181,216,242,51,4,0,1145,64,78,120,119,137,82,39,4,3,634,2358,3717,6646,6612,7922,5577,1197,94,12,34140,118,183,190,147,167,157,4,0,0,963,305,87,117,104,107,82,24,3,0,830,426,270,313,256,268,238,24,3,0,1795,2781,3983,6962,6870,8195,5819,1223,100,12,35939,1744,527,1107,1204,1344,2525,4613,2527,796,16379,199,245,440,439,540,482,414,266,97,3123,4721,4757,8505,8502,10074,8828,6244,2887,911,55432
SED23806,805,2170,4918,3478,3372,2225,719,68,6,17762,1171,685,795,814,845,1159,1943,1335,860,9603,76,154,350,222,190,154,147,124,107,1535,2057,3009,6069,4519,4406,3543,2809,1522,978,28902,61,1356,6899,4867,4533,2777,648,46,7,21194,1045,2227,2027,1646,1801,1484,924,125,20,11297,59,117,293,213,110,135,70,14,3,1010,25,74,133,81,60,50,21,10,3,452,1190,3767,9348,6802,6507,4442,1670,196,29,33955,16,101,278,157,159,96,12,0,0,821,295,387,210,115,105,77,24,3,0,1211,311,489,488,272,264,171,36,5,0,2029,1497,4254,9833,7077,6771,4614,1700,204,33,35983,2467,1484,1332,1077,1100,1751,3212,2328,1254,15998,166,322,721,426,383,288,255,227,142,2927,4130,6055,11886,8586,8252,6654,5162,2764,1424,54912
SED23901,830,1422,3474,3516,3472,2348,530,65,3,15666,889,380,787,926,848,1321,2227,1715,1048,10138,80,104,242,199,206,179,189,188,221,1612,1800,1904,4508,4640,4528,3847,2949,1965,1271,27412,130,1063,4753,4578,4508,2890,529,37,9,18488,1010,1444,1615,2123,1978,1633,671,114,8,10593,38,73,289,237,122,160,45,10,0,967,27,36,109,91,81,57,26,16,0,439,1200,2613,6765,7032,6689,4739,1271,174,15,30489,45,132,285,186,191,134,14,0,3,993,290,194,142,124,115,87,21,0,0,975,336,331,426,305,305,223,36,0,3,1964,1536,2946,7186,7337,6995,4959,1309,175,22,32457,1924,773,1171,1253,1277,2144,3916,2977,1660,17103,164,206,501,441,417,359,350,318,332,3085,3621,3919,8864,9035,8692,7462,5571,3471,2014,52645
SED24006,904,1654,2741,2921,3889,2416,684,81,18,15310,1512,529,545,889,1131,1387,2059,1640,1155,10857,78,85,185,180,214,197,177,126,95,1339,2494,2276,3471,3987,5239,4005,2923,1846,1271,27512,65,1038,3786,3662,5149,3216,665,76,7,17672,1214,1938,1280,1634,2140,1620,922,176,26,10954,48,79,184,161,139,137,52,9,3,807,29,67,97,76,102,43,37,14,3,469,1366,3120,5342,5534,7536,5018,1677,274,40,29903,11,101,190,141,203,133,16,0,0,804,316,228,98,98,99,88,23,4,3,958,327,336,283,239,304,218,39,7,3,1761,1691,3450,5629,5770,7838,5237,1718,281,43,31665,3198,1077,866,1108,1513,2088,3465,2809,1820,17936,150,181,381,348,448,408,329,216,157,2623,5042,4703,6873,7231,9800,7731,5517,3306,2018,52229
SED24105,867,1739,3666,3412,3098,1913,363,24,4,15087,1244,618,1390,1417,1256,1903,2536,1427,677,12472,65,106,217,198,154,157,162,124,147,1334,2179,2463,5275,5028,4513,3976,3063,1579,826,28900,144,1280,5249,4791,4465,2782,432,16,5,19162,1002,1673,1858,1808,1672,1249,432,49,0,9743,38,69,213,156,110,123,39,3,0,746,40,116,198,153,144,73,24,8,0,762,1224,3137,7518,6904,6387,4231,928,82,7,30412,63,241,385,323,268,185,4,0,0,1472,392,281,183,147,137,112,27,3,0,1296,460,524,570,477,403,304,35,3,0,2770,1687,3658,8088,7376,6797,4531,962,83,7,33184,2742,1254,2028,1905,1876,2964,4663,2640,1075,21148,146,230,460,372,340,327,326,234,187,2623,4573,5146,10581,9647,9010,7820,5951,2960,1267,56953
SED24207,1033,1774,4353,4825,3506,1854,223,19,4,17598,1526,712,2000,1968,1477,2027,2072,892,302,12989,121,187,346,361,310,249,207,96,29,1911,2685,2674,6704,7164,5292,4127,2508,1005,336,32493,208,1391,5924,6887,4875,2544,296,22,5,22152,1161,1602,2237,2629,1839,1238,282,15,3,11005,41,82,347,244,156,139,27,4,0,1043,42,128,273,234,210,95,13,3,3,1004,1458,3201,8774,9989,7085,4012,615,49,13,35195,135,291,470,471,372,216,8,0,0,1967,421,264,199,230,186,134,19,0,0,1469,558,550,672,703,560,355,29,0,0,3432,2020,3756,9446,10692,7640,4369,647,45,13,38624,3184,1424,2941,2822,2224,3149,4001,1679,478,21894,240,344,741,741,607,509,393,181,48,3796,5441,5514,13126,14249,10469,8032,5041,1909,539,64320
SED24308,998,1514,2865,2878,2971,1946,347,20,11,13552,1089,542,1197,1008,1114,1746,2546,1690,782,11710,111,142,250,214,267,257,231,214,224,1917,2198,2202,4315,4097,4348,3946,3124,1930,1012,27173,283,1465,3858,3550,3691,2324,294,17,4,15484,1072,1137,1520,1823,1761,1413,421,39,10,9194,75,87,242,207,183,175,43,0,0,1022,67,72,133,93,113,73,27,11,8,587,1496,2763,5750,5680,5746,3979,783,65,15,26280,125,276,371,259,271,183,4,0,0,1485,258,150,154,137,107,88,17,3,0,910,380,426,524,400,376,271,22,4,0,2400,1877,3188,6277,6076,6120,4252,802,69,16,28681,2383,1017,1961,1770,1932,2925,4747,2998,1212,20930,246,285,497,444,519,519,456,386,321,3674,4506,4495,8732,8286,8579,7694,6003,3451,1545,53287
SED24408,756,946,1999,2241,3023,2610,649,114,26,12370,732,248,664,594,710,1398,2563,1884,1114,9908,89,76,145,160,227,262,270,234,182,1643,1575,1267,2803,3001,3955,4269,3483,2232,1328,23916,353,1179,2668,2708,3633,3120,793,174,25,14649,911,612,1131,1518,1852,1900,737,169,25,8849,59,71,218,145,202,277,113,22,7,1120,46,46,74,72,77,99,62,32,13,524,1372,1909,4099,4446,5763,5399,1701,395,64,25145,83,129,136,111,145,122,0,0,3,729,103,58,76,66,81,83,18,3,0,488,185,189,209,178,230,204,17,4,3,1221,1562,2093,4309,4623,5990,5606,1724,395,64,26364,1573,437,876,834,1213,2401,4712,3357,1718,17127,161,142,329,331,472,532,533,419,282,3200,3292,2678,5521,5784,7678,8531,6960,4179,2067,46690
SED24504,740,938,1784,3043,3677,2554,625,49,18,13431,828,179,502,777,727,1533,2480,1140,538,8698,89,67,153,259,293,291,273,148,158,1727,1655,1185,2437,4083,4696,4380,3370,1335,714,23857,233,988,2348,3626,4511,2892,599,65,16,15271,949,775,998,2002,2342,1998,827,93,16,10001,35,54,188,228,212,302,85,6,4,1107,55,52,73,91,100,68,27,12,8,492,1278,1865,3609,5951,7157,5262,1536,178,37,26875,55,94,95,102,137,150,12,0,0,640,168,52,51,80,102,98,28,3,0,589,216,149,149,183,235,250,42,3,0,1230,1492,2012,3756,6129,7391,5514,1579,186,44,28104,1748,343,658,1003,1071,2461,4680,2210,864,15052,198,156,276,495,577,604,523,284,208,3326,3435,2515,4692,7628,9044,8577,6788,2679,1118,46479
SED24606,595,1751,3881,2979,3060,2095,750,89,22,15221,1015,830,665,742,858,1134,1940,1554,934,9668,74,126,302,203,184,174,146,163,114,1480,1684,2710,4850,3924,4102,3397,2837,1802,1068,26365,42,1046,5437,4236,4218,2627,744,89,15,18448,775,1720,1602,1458,1608,1426,987,198,33,9797,23,85,202,162,103,107,62,9,6,763,22,64,118,61,72,41,32,18,4,445,871,2910,7358,5925,6000,4198,1827,305,57,29451,21,87,259,156,132,109,12,6,0,777,193,300,160,78,85,55,30,5,0,913,216,389,419,232,214,160,40,13,0,1690,1085,3302,7774,6154,6217,4355,1875,321,57,31138,2107,1446,1023,907,1132,1690,3141,2626,1475,15548,129,239,573,397,382,328,288,281,173,2794,3320,4990,9369,7460,7734,6383,5304,3227,1697,49492
SED24703,1567,6110,12837,4468,2834,1758,535,60,15,30181,3452,7144,3590,1092,849,1121,1391,806,404,19855,460,1261,1815,675,481,363,243,111,57,5469,5476,14519,18242,6236,4160,3248,2173,977,472,55502,101,2698,16698,6859,3999,2317,573,68,22,33330,1165,4968,6593,2062,1269,1059,590,86,17,17812,79,302,618,362,150,116,54,6,0,1695,139,242,354,108,82,47,18,9,0,994,1493,8206,24270,9380,5500,3542,1237,169,38,53839,46,500,1090,320,248,127,19,3,0,2355,1039,2304,931,202,100,79,27,0,0,4682,1085,2806,2022,522,347,210,41,9,0,7030,2577,11011,26291,9903,5841,3750,1282,176,39,60871,6218,13116,6379,1736,1349,1882,2534,1438,662,35313,806,2392,3774,1489,960,765,520,236,102,11035,9601,26519,36440,13124,8150,6394,4340,1848,807,107222
SED24808,1213,1794,4087,3768,3337,2278,304,17,5,16810,1053,603,1791,1558,1242,2020,2567,1082,483,12403,115,161,393,313,299,267,229,142,67,1981,2377,2552,6270,5641,4884,4560,3102,1243,553,31190,452,1908,5719,5379,4627,2848,377,17,3,21337,1309,1134,1989,2054,1732,1506,394,19,3,10148,52,81,356,242,196,212,41,6,0,1190,55,111,163,142,125,77,24,6,0,698,1872,3237,8222,7817,6688,4643,837,47,10,33372,173,364,469,355,276,186,7,0,0,1837,297,160,200,194,109,132,14,0,0,1106,469,532,666,545,385,313,28,0,3,2946,2344,3769,8887,8361,7075,4962,868,50,9,36321,2342,990,2298,2126,1899,3095,4827,2002,752,20317,248,317,776,661,590,527,432,238,87,3875,4930,5076,11961,11151,9565,8582,6121,2284,849,60511
SED24904,962,1215,2482,2578,3073,2426,519,60,7,13335,838,382,1032,809,859,1437,2411,1770,890,10428,139,160,320,253,338,391,320,288,203,2410,1942,1758,3828,3644,4277,4259,3249,2116,1095,26170,335,1375,3295,3194,3922,3130,588,74,14,15933,1127,737,1385,1531,1686,1548,582,78,17,8691,59,69,227,146,173,232,83,12,4,1009,47,63,137,117,116,108,40,14,3,647,1567,2244,5038,4983,5900,5025,1293,180,45,26279,116,210,295,216,197,147,13,3,0,1188,227,105,135,112,92,93,17,0,0,777,340,316,427,328,282,241,29,3,0,1968,1908,2559,5471,5313,6185,5262,1322,181,45,28246,1855,652,1405,1234,1494,2543,4580,3130,1410,18301,283,341,700,523,726,788,690,496,293,4846,4042,3558,7580,7072,8399,8592,6597,3811,1752,51397
SED25003,1093,1860,3798,3627,3776,2092,245,10,4,16505,1028,483,1340,1273,1182,1601,1810,1044,534,10297,80,109,250,189,193,179,100,84,31,1207,2196,2450,5389,5096,5148,3881,2149,1138,572,28016,257,1653,5270,5065,5061,2850,308,13,3,20480,1285,1555,1964,2126,2055,1416,276,26,0,10712,55,89,324,197,140,154,25,0,3,986,47,97,204,138,159,83,21,4,0,751,1640,3395,7756,7528,7419,4512,633,46,8,32927,102,256,393,237,208,131,3,0,0,1328,364,191,182,148,112,82,14,0,0,1087,468,441,569,387,322,209,18,3,3,2418,2109,3840,8326,7912,7734,4715,647,50,11,35346,2284,905,1779,1678,1670,2436,3351,1933,834,16867,138,221,504,395,359,321,196,126,49,2305,4533,4969,10607,9984,9767,7473,4189,2110,892,54525
SED25102,1001,1326,2423,3158,3545,2673,525,36,4,14693,731,202,581,789,686,1224,1988,915,491,7617,57,65,142,162,189,191,142,89,48,1087,1789,1604,3138,4114,4425,4089,2655,1042,544,23393,266,1312,3351,4019,4605,3218,503,27,9,17305,1269,1132,1242,2076,2132,2003,695,74,3,10638,48,67,249,223,190,220,88,12,0,1100,41,50,81,83,93,59,22,3,0,438,1632,2562,4925,6404,7021,5501,1306,114,16,29478,59,136,137,114,128,108,13,0,0,696,253,97,64,83,81,80,13,0,0,685,310,238,199,198,209,190,27,0,0,1380,1944,2804,5125,6599,7235,5692,1330,116,16,30857,1619,423,815,1032,989,1993,3693,1734,794,13100,122,143,287,334,373,362,308,150,78,2148,3682,3370,6229,7960,8598,8051,5332,1999,880,46096
SED25205,970,1307,3060,4043,4002,2338,490,26,6,16243,736,187,591,822,756,1245,2187,1660,865,9053,54,70,198,217,209,166,165,176,168,1416,1761,1568,3850,5078,4965,3750,2844,1862,1033,26712,180,1106,4342,5202,5329,2967,417,29,3,19572,1220,1271,1229,2305,2207,1562,572,73,12,10461,43,60,273,282,166,137,43,12,0,1021,31,55,93,114,105,56,27,3,8,486,1477,2490,5941,7911,7802,4728,1061,111,20,31541,49,107,157,159,182,126,12,0,0,798,299,124,71,120,85,92,21,6,0,809,349,230,233,275,270,215,26,5,0,1611,1821,2726,6168,8189,8073,4941,1088,112,20,33151,1599,481,826,1083,1091,1977,3741,2890,1373,15064,110,152,395,438,420,341,293,312,249,2701,3538,3362,7391,9705,9582,7266,5127,3312,1644,50918
