POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3699,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,19,0,22,0,3,0,5,3,74
POA3700,0,0,0,0,0,0,0,6,0,3,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,37,9,29,3,3,0,7,8,119
POA3701,0,0,0,6,3,0,0,5,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,3,24,7,0,39,6,11,3,4,0,4,4,101
POA3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,3,0,3,0,20
POA3707,0,0,0,7,3,0,0,3,0,3,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,41,3,3,50,3,19,0,12,3,11,12,159
POA3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
POA3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,3,0,3,0,22
POA3711,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14,0,7,0,7,0,0,3,43
POA3712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,0,0,5,0,0,27
POA3713,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,22,3,10,0,3,0,9,3,59
POA3714,0,0,0,15,7,0,0,3,0,4,0,0,0,3,18,35,0,0,0,3,0,0,0,0,0,0,0,5,53,26,4,126,11,46,3,14,10,25,21,324
POA3715,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,5,0,0,0,3,0,21
POA3717,0,0,0,4,4,3,0,11,0,3,0,0,0,0,13,43,0,0,0,0,0,0,0,0,0,0,0,3,43,17,4,78,9,35,4,11,3,15,15,238
POA3718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
POA3719,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,3,0,29
POA3720,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,12,3,7,0,0,0,3,9,43
POA3722,0,0,0,19,18,3,3,17,0,6,0,4,0,3,35,86,0,0,0,0,0,0,0,0,0,0,0,3,104,32,9,195,13,76,8,22,3,20,39,512
POA3723,0,0,0,13,3,0,0,5,0,0,0,3,0,3,16,37,0,0,0,0,0,0,0,0,0,4,3,3,26,22,0,61,7,23,3,18,3,17,17,199
POA3725,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,22,4,7,4,4,0,11,0,70
POA3726,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,13,0,3,3,4,0,0,0,37
POA3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,9,3,3,0,6,0,3,0,37
POA3728,0,0,0,5,3,0,0,4,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,7,0,0,0,10,3,52
