POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3121,..,466,1274,161,45,45,19,14,3,2027,..,88,587,467,291,341,301,197,67,2339,23,72,141,47,23,27,25,24,15,400,1470,1653,4606,2183,1462,1214,819,485,169,14057,..,41,1488,1769,1281,979,753,364,84,6764,..,368,2585,856,406,234,73,15,3,4536,..,11,77,180,274,196,83,99,58,980,2831,..,..,..,..,..,..,..,..,2831,..,800,..,..,..,..,..,..,..,800,..,294,355,127,163,51,7,0,0,996,..,211,262,91,44,47,42,43,20,755,..,155,255,41,8,12,4,0,0,474,..,855,2647,376,145,83,47,17,8,4172,..,160,1162,921,654,608,467,302,99,4375,53,124,306,104,61,50,35,33,19,782,2887,3022,9133,4468,3038,2256,1510,867,287,27466
POA3122,..,422,544,66,11,19,17,4,0,1090,..,207,457,357,224,202,250,146,106,1946,28,66,69,26,19,17,15,14,10,259,1389,1710,2773,1522,1229,913,749,348,172,10802,..,51,1409,1567,1343,1057,790,358,72,6643,..,314,1323,389,195,118,56,7,7,2416,..,6,22,64,177,117,37,34,11,474,2819,..,..,..,..,..,..,..,..,2819,..,1013,..,..,..,..,..,..,..,1013,..,238,242,56,46,12,4,0,0,600,..,256,197,25,21,25,29,12,15,580,..,131,117,20,6,0,4,0,0,280,..,889,1117,158,45,35,33,11,3,2291,..,466,864,601,396,323,384,213,135,3378,44,135,140,48,37,26,21,19,13,489,2862,3499,5432,2919,2267,1717,1355,662,257,20974
POA3123,..,229,257,45,15,7,8,9,0,578,..,65,187,140,92,150,183,121,92,1027,10,29,34,10,4,13,10,3,4,119,1055,993,1419,1013,815,682,495,280,143,6899,..,18,817,1174,999,807,551,248,58,4677,..,153,632,229,121,60,23,12,0,1238,..,0,19,81,132,76,40,20,16,389,2146,..,..,..,..,..,..,..,..,2146,..,763,..,..,..,..,..,..,..,763,..,166,188,38,39,14,3,0,0,451,..,127,105,18,15,18,15,19,8,314,..,57,80,8,3,5,0,0,0,157,..,467,526,97,38,27,20,13,0,1183,..,159,347,256,176,228,242,155,112,1672,18,50,56,31,13,17,12,4,4,201,2161,1959,2762,1931,1543,1246,904,474,211,13196
POA3124,..,169,155,27,16,16,12,11,4,414,..,37,72,87,91,157,259,216,169,1093,25,30,30,11,10,21,13,4,8,151,1859,1591,1149,1318,1645,1277,979,559,265,10635,..,19,704,1683,2284,1771,1276,607,140,8480,..,83,414,220,189,92,43,14,0,1057,..,4,27,114,256,137,57,41,27,666,3704,..,..,..,..,..,..,..,..,3704,..,1812,..,..,..,..,..,..,..,1812,..,443,402,85,61,22,9,0,0,1016,..,154,78,27,14,41,36,40,29,412,..,105,77,15,9,12,3,0,0,219,..,286,321,72,35,33,25,13,6,798,..,96,155,157,172,253,350,285,217,1688,36,62,65,21,20,24,24,13,9,279,3748,3066,2241,2397,3040,2403,1817,1008,427,20135
POA3125,..,606,270,23,21,13,12,3,3,953,..,116,99,46,46,93,147,191,177,910,12,44,26,12,7,6,12,12,10,139,946,1597,1156,761,798,596,504,420,281,7051,..,39,690,954,958,655,520,372,137,4322,..,141,284,113,84,65,28,9,0,720,..,4,26,87,182,110,39,30,32,503,1824,..,..,..,..,..,..,..,..,1824,..,719,..,..,..,..,..,..,..,719,..,216,263,60,61,38,4,0,0,639,..,167,86,20,25,44,33,15,17,405,..,300,147,20,15,3,0,4,0,492,..,1360,663,63,44,23,19,4,0,2183,..,226,165,96,116,165,204,233,220,1432,23,79,52,23,17,11,18,15,13,254,1855,3245,2377,1428,1496,1113,864,695,429,13494
POA3126,..,32,25,7,3,0,3,4,0,75,..,6,21,17,25,58,88,74,50,341,0,5,15,3,3,5,6,3,0,49,669,591,338,429,640,529,409,178,85,3867,..,12,203,592,920,837,555,204,60,3393,..,20,106,36,50,34,15,8,0,280,..,0,3,44,92,41,11,8,10,206,1332,..,..,..,..,..,..,..,..,1332,..,797,..,..,..,..,..,..,..,797,..,178,174,17,15,10,3,0,0,392,..,38,25,3,9,19,23,11,7,138,..,43,18,3,3,3,4,0,0,76,..,66,50,7,10,3,9,7,3,150,..,16,36,43,48,87,118,111,67,525,4,16,24,7,3,5,5,3,10,84,1337,1189,639,752,1152,1046,753,351,153,7375
POA3127,..,88,72,21,19,12,11,6,0,225,..,27,64,71,112,155,206,182,149,965,14,15,14,12,5,13,16,10,10,111,1593,1269,929,1175,1447,1184,741,415,230,8983,..,19,673,1629,2029,1645,952,394,110,7448,..,53,321,168,138,108,58,9,0,853,..,4,14,94,191,130,36,25,24,526,3205,..,..,..,..,..,..,..,..,3205,..,1539,..,..,..,..,..,..,..,1539,..,430,380,61,50,25,3,0,0,948,..,88,75,14,16,31,32,20,19,301,..,72,61,15,6,8,0,0,0,165,..,208,163,41,34,25,18,7,0,496,..,57,132,136,191,238,288,226,177,1446,26,37,34,25,18,25,23,18,10,226,3233,2493,1850,2186,2679,2233,1418,701,348,17148
POA3128,..,417,317,44,28,27,14,11,0,854,..,133,190,97,97,172,196,228,159,1269,13,49,45,16,14,13,11,6,3,173,1315,1704,1863,1177,1192,929,593,485,258,9520,..,81,1281,1429,1379,1031,586,391,124,6302,..,240,462,169,116,92,32,5,0,1113,..,4,36,149,266,160,50,42,44,753,2620,..,..,..,..,..,..,..,..,2620,..,1069,..,..,..,..,..,..,..,1069,..,343,350,83,53,49,7,0,0,886,..,219,162,36,36,75,53,30,19,637,..,277,234,39,20,8,10,0,0,587,..,890,690,118,82,55,28,23,3,1887,..,284,374,204,220,286,286,277,197,2124,29,91,74,29,24,24,18,11,8,316,2648,3495,3663,2263,2202,1781,1064,782,393,18289
POA3129,..,135,146,28,26,18,21,6,3,382,..,23,58,50,93,145,165,188,127,854,16,35,24,10,10,11,18,17,11,157,1464,1109,1160,1185,1247,995,694,514,233,8594,..,19,960,1596,1570,1167,806,495,130,6738,..,78,289,134,139,81,28,17,5,765,..,4,31,142,215,161,62,57,37,698,2952,..,..,..,..,..,..,..,..,2952,..,1112,..,..,..,..,..,..,..,1112,..,384,336,121,80,53,7,0,0,978,..,105,94,32,39,68,52,42,26,465,..,151,108,29,19,12,5,5,0,331,..,310,314,83,58,39,33,11,4,846,..,62,128,113,202,263,229,217,179,1382,41,55,55,23,29,20,28,21,11,279,2992,2272,2315,2270,2341,1860,1245,862,392,16549
POA3130,..,132,185,58,32,26,29,9,10,462,..,29,108,109,147,263,339,412,279,1683,22,43,38,29,20,26,20,24,20,241,2744,1844,1868,2244,2242,1702,1275,1056,524,15506,..,30,1506,3057,3053,2102,1514,1038,316,12615,..,128,524,292,251,149,71,17,0,1424,..,7,58,230,345,252,92,103,91,1170,5728,..,..,..,..,..,..,..,..,5728,..,2179,..,..,..,..,..,..,..,2179,..,676,611,186,156,88,10,0,0,1732,..,158,134,29,42,96,69,75,43,654,..,165,136,30,25,18,13,0,0,389,..,329,387,111,72,55,46,13,12,1030,..,85,226,232,309,438,462,546,393,2684,44,80,73,59,46,40,30,35,28,427,5768,3842,3651,4229,4291,3243,2314,1819,884,30039
POA3131,..,77,89,29,32,35,15,16,4,287,..,22,65,102,115,184,287,335,192,1310,20,22,29,25,13,20,12,20,14,177,1949,1135,1531,1632,1437,1140,981,776,316,10903,..,46,1450,2183,1777,1297,1088,730,210,8789,..,116,395,252,168,85,33,5,3,1053,..,10,46,166,257,179,78,68,46,857,3804,..,..,..,..,..,..,..,..,3804,..,1233,..,..,..,..,..,..,..,1233,..,470,452,154,133,50,7,0,0,1266,..,157,141,39,48,93,54,43,19,589,..,109,116,30,17,13,7,0,0,295,..,202,271,86,80,61,25,18,5,749,..,37,150,223,250,329,411,421,262,2086,33,60,61,50,29,31,33,24,14,336,3834,2440,3084,3188,2759,2148,1739,1314,556,21065
POA3132,..,38,76,23,22,23,15,3,4,205,..,24,79,89,133,166,192,171,91,940,16,19,30,17,11,18,6,12,3,121,1418,783,1257,1259,1073,850,674,425,168,7902,..,25,1152,1695,1319,959,790,435,82,6458,..,73,401,207,144,87,25,6,3,945,..,5,28,115,182,116,54,39,34,578,2877,..,..,..,..,..,..,..,..,2877,..,822,..,..,..,..,..,..,..,822,..,400,293,111,69,33,4,3,0,907,..,63,51,29,26,53,33,25,23,313,..,52,46,10,5,8,4,0,0,134,..,101,194,53,40,41,37,12,4,483,..,37,182,206,251,257,262,224,125,1546,24,36,60,24,17,24,13,16,8,225,2905,1622,2416,2440,2060,1584,1226,758,275,15289
POA3133,..,28,51,22,14,16,15,8,0,151,..,9,41,43,57,148,231,234,110,873,7,13,26,9,4,19,17,7,7,108,1871,1273,1081,1506,1502,1385,1287,658,208,10777,..,15,914,2147,2154,1889,1852,813,118,9904,..,33,203,162,141,75,30,6,0,654,..,4,36,146,251,161,79,63,28,761,3839,..,..,..,..,..,..,..,..,3839,..,1669,..,..,..,..,..,..,..,1669,..,571,544,187,98,34,9,0,0,1440,..,139,62,25,28,71,70,53,34,480,..,87,66,30,8,7,3,3,0,200,..,90,136,50,38,35,25,13,3,380,..,29,80,106,132,234,331,304,153,1369,21,40,62,17,19,25,26,18,7,236,3863,2675,2096,2871,2874,2531,2428,1271,340,20932
POA3134,..,61,108,46,30,31,27,8,4,319,..,29,114,139,172,278,350,304,174,1562,22,59,49,19,20,26,19,23,11,250,2813,1850,2150,2260,2244,1845,1363,746,303,15584,..,54,1845,3037,2842,2398,1698,749,167,12797,..,156,677,409,355,154,50,15,0,1815,..,12,101,251,420,237,87,70,38,1218,5847,..,..,..,..,..,..,..,..,5847,..,2075,..,..,..,..,..,..,..,2075,..,1012,707,168,116,49,10,0,0,2063,..,174,139,48,44,101,84,45,26,663,..,106,105,28,14,25,12,0,0,294,..,153,270,108,69,72,48,23,9,754,..,56,236,316,404,484,503,400,223,2608,51,99,104,49,51,46,32,33,22,496,5903,3892,4191,4426,4325,3560,2520,1333,485,30636
POA3135,..,35,75,38,24,29,15,8,0,224,..,9,61,104,125,193,236,189,108,1020,10,30,27,12,11,12,17,17,3,132,1795,1074,1292,1454,1347,1051,898,498,197,9602,..,40,1170,1953,1617,1252,1024,523,100,7673,..,88,418,285,215,94,44,5,0,1159,..,15,54,175,256,144,81,45,34,807,3651,..,..,..,..,..,..,..,..,3651,..,1109,..,..,..,..,..,..,..,1109,..,590,343,105,83,35,8,3,0,1169,..,106,87,26,37,58,58,42,21,434,..,71,61,14,18,11,3,3,0,184,..,90,153,81,64,59,31,17,0,501,..,24,142,201,278,322,345,265,161,1742,33,58,50,28,37,26,26,25,3,282,3680,2188,2467,2880,2613,2001,1631,920,321,18707
POA3136,..,80,139,50,38,60,36,10,7,410,..,32,213,226,243,465,613,500,286,2581,51,81,83,26,40,41,36,34,13,407,3839,2524,3087,2925,3033,2588,2042,1190,450,21676,..,95,2480,3659,3453,3097,2325,1137,234,16481,..,235,1130,619,486,277,125,20,3,2890,..,44,201,421,685,366,140,93,54,2009,7731,..,..,..,..,..,..,..,..,7731,..,2507,..,..,..,..,..,..,..,2507,..,1551,914,237,162,65,16,0,0,2943,..,221,155,58,68,106,74,82,46,808,..,104,111,37,51,26,11,0,0,337,..,153,279,123,95,119,72,25,7,884,..,83,426,459,540,744,841,654,367,4109,118,147,165,72,86,76,51,57,22,786,7851,5145,5865,5689,5628,4875,3652,2063,728,41494
POA3137,..,19,28,11,11,19,9,3,0,106,..,19,50,51,72,122,172,145,98,724,18,23,25,9,13,8,18,14,5,132,1192,801,946,841,925,797,611,334,154,6601,..,25,740,1018,1084,971,735,310,64,4944,..,116,396,215,184,92,30,5,0,1035,..,10,59,149,182,127,51,30,15,629,2417,..,..,..,..,..,..,..,..,2417,..,717,..,..,..,..,..,..,..,717,..,564,309,73,46,29,0,0,0,1017,..,60,60,22,23,32,14,30,16,258,..,41,31,11,16,9,3,3,0,106,..,41,62,27,34,30,22,4,0,226,..,31,107,108,175,214,246,187,134,1198,36,53,59,24,27,16,20,15,5,262,2453,1643,1828,1642,1764,1526,1119,579,244,12801
POA3138,..,28,49,14,25,25,21,3,0,164,..,14,66,60,70,150,206,129,48,749,37,46,28,12,10,13,16,12,10,182,2048,1381,1588,1394,1428,1246,884,406,122,10506,..,54,1283,1796,1724,1676,1134,430,68,8179,..,143,690,307,228,107,44,8,3,1530,..,18,91,239,320,186,75,50,27,1006,4129,..,..,..,..,..,..,..,..,4129,..,1325,..,..,..,..,..,..,..,1325,..,931,571,146,93,34,4,0,0,1784,..,113,100,22,34,44,66,43,24,451,..,75,65,37,19,6,7,3,0,218,..,59,126,31,59,45,32,8,6,366,..,45,172,160,196,249,297,177,80,1377,68,80,57,42,28,24,34,17,13,371,4200,2848,3157,2790,2700,2379,1699,741,220,20725
POA3139,..,12,9,11,14,21,11,3,0,95,..,8,24,26,53,85,116,81,42,422,15,44,18,8,4,12,17,8,3,133,1288,833,794,891,986,832,531,229,77,6455,..,25,675,1026,1228,1149,737,246,46,5128,..,102,369,303,237,129,45,11,3,1184,..,21,62,140,173,74,32,19,13,534,2649,..,..,..,..,..,..,..,..,2649,..,700,..,..,..,..,..,..,..,700,..,635,276,65,31,19,3,0,0,1028,..,45,16,13,14,31,37,32,24,201,..,45,27,20,16,11,5,3,0,137,..,27,28,32,35,41,22,9,0,189,..,23,53,92,141,175,185,113,46,842,35,78,53,24,25,23,27,10,9,279,2684,1705,1553,1728,1902,1658,1082,444,132,12884
POA3140,..,15,32,19,15,7,15,4,0,102,..,16,63,60,90,127,184,182,91,815,20,33,24,16,5,13,13,20,6,140,1505,1044,992,1109,1193,899,720,433,151,8043,..,30,801,1280,1532,1173,888,421,92,6231,..,129,413,220,186,110,45,13,0,1122,..,18,60,204,249,126,49,27,11,742,2928,..,..,..,..,..,..,..,..,2928,..,939,..,..,..,..,..,..,..,939,..,739,299,91,37,19,0,0,0,1187,..,65,49,22,19,45,45,27,20,289,..,60,30,21,18,11,4,3,0,143,..,38,56,35,30,29,23,3,0,225,..,33,128,149,216,232,277,235,125,1390,38,58,62,37,22,22,17,27,3,291,2966,2115,1905,2051,2309,1771,1346,762,253,15482
POA3141,..,666,851,122,40,29,17,9,3,1732,..,268,854,500,290,307,296,200,91,2812,8,82,134,32,19,23,15,13,0,320,799,1882,4110,1518,1017,931,771,432,144,11598,..,47,1484,1062,801,753,703,382,82,5305,..,490,2324,563,238,136,81,13,0,3849,..,4,39,110,190,126,47,32,15,567,1576,..,..,..,..,..,..,..,..,1576,..,557,..,..,..,..,..,..,..,557,..,175,172,48,45,28,3,0,0,474,..,254,196,36,24,27,27,19,7,589,..,77,156,13,9,3,4,0,0,267,..,1054,1652,245,99,55,30,18,12,3163,..,484,1567,947,618,545,444,272,141,5020,12,126,227,72,28,44,32,19,3,571,1590,3275,7817,3099,2061,1717,1360,769,262,21952
POA3142,..,125,193,37,16,8,7,3,0,388,..,37,143,144,98,152,215,233,157,1183,3,27,27,20,6,11,17,11,3,122,691,777,977,700,799,799,818,466,235,6255,..,10,400,645,910,992,1064,467,143,4638,..,73,415,162,132,80,55,26,8,944,..,5,11,68,121,94,32,19,8,363,1323,..,..,..,..,..,..,..,..,1323,..,759,..,..,..,..,..,..,..,759,..,170,222,40,28,10,3,0,0,482,..,71,63,14,8,16,15,14,16,210,..,27,50,6,11,0,0,0,3,102,..,214,380,70,34,16,17,6,3,743,..,58,264,228,191,242,323,289,202,1803,6,37,54,27,15,21,24,13,4,206,1335,1430,1859,1261,1446,1478,1525,839,397,11570
POA3143,..,121,206,34,14,3,5,0,0,388,..,30,147,126,101,136,158,117,81,900,12,14,21,13,3,12,11,7,4,89,588,555,943,649,534,443,416,231,114,4466,..,13,500,631,563,437,416,199,39,2802,..,70,397,162,110,47,33,6,0,825,..,0,11,60,73,54,18,14,9,253,1142,..,..,..,..,..,..,..,..,1142,..,429,..,..,..,..,..,..,..,429,..,94,75,26,13,14,3,0,0,227,..,60,60,15,8,15,7,12,10,191,..,29,36,10,3,0,3,0,0,77,..,197,368,73,24,12,22,9,3,698,..,45,236,210,172,210,237,156,101,1362,19,24,47,24,13,14,22,10,8,178,1155,975,1735,1204,988,798,760,409,168,8187
POA3144,..,66,100,11,3,7,3,7,0,205,..,16,89,86,73,106,153,145,107,782,0,14,21,12,7,3,12,6,4,85,832,593,724,684,722,606,524,352,161,5206,..,23,389,858,905,762,651,375,97,4056,..,49,290,123,87,45,29,10,0,638,..,4,14,43,111,89,20,19,10,309,1761,..,..,..,..,..,..,..,..,1761,..,677,..,..,..,..,..,..,..,677,..,150,200,39,27,14,0,0,0,443,..,53,48,10,11,12,18,14,9,183,..,33,49,9,6,7,0,0,0,100,..,130,202,30,14,17,21,12,0,423,..,39,167,138,134,165,207,192,141,1187,6,22,40,18,15,14,17,13,3,157,1770,1188,1405,1267,1317,1123,958,639,265,9931
POA3145,..,653,267,41,18,27,13,7,0,1027,..,152,144,108,94,168,213,187,134,1200,13,44,35,12,16,20,7,12,3,151,1867,2106,1528,1413,1584,1190,822,475,225,11219,..,33,898,1961,2184,1528,1034,488,136,8257,..,183,531,241,211,129,61,9,0,1366,..,0,22,85,214,153,61,54,41,633,3783,..,..,..,..,..,..,..,..,3783,..,1525,..,..,..,..,..,..,..,1525,..,417,375,112,88,32,8,0,0,1040,..,158,141,23,18,39,35,36,16,466,..,148,139,13,8,6,0,0,0,324,..,1102,601,90,49,47,43,17,0,1954,..,264,278,188,205,301,319,241,186,1990,37,74,83,19,34,27,21,19,3,311,3819,3912,3073,2737,3018,2281,1573,863,380,21659
POA3146,..,183,186,29,15,33,15,7,3,466,..,44,171,157,116,205,277,236,166,1364,14,33,45,18,11,19,17,13,0,168,2223,1645,1692,1702,1860,1378,975,536,262,12277,..,47,1223,2297,2674,1855,1214,515,100,9925,..,121,666,280,213,110,47,7,0,1451,..,9,18,108,232,165,59,43,38,672,4556,..,..,..,..,..,..,..,..,4556,..,1953,..,..,..,..,..,..,..,1953,..,418,422,88,66,33,3,0,0,1031,..,144,114,17,20,43,31,48,38,454,..,91,94,15,15,10,3,0,4,226,..,346,382,83,40,45,31,12,3,942,..,89,330,279,249,331,403,303,211,2188,33,66,95,37,22,33,33,15,6,344,4592,3273,3349,3214,3527,2623,1828,946,400,23751
POA3147,..,83,77,21,4,17,9,3,3,225,..,6,50,40,79,127,165,130,106,708,18,19,21,7,10,9,7,13,5,113,1342,792,858,1033,1045,803,523,326,188,6916,..,17,662,1379,1340,993,605,298,84,5382,..,36,237,181,151,82,20,0,0,708,..,12,42,117,191,106,40,38,32,586,2732,..,..,..,..,..,..,..,..,2732,..,911,..,..,..,..,..,..,..,911,..,296,276,82,64,41,10,0,0,754,..,77,61,16,25,38,32,25,16,291,..,80,84,15,13,4,3,3,0,213,..,196,205,50,24,31,17,7,6,540,..,20,102,92,167,214,244,183,141,1166,43,43,37,25,30,13,13,15,5,229,2776,1694,1703,1961,1998,1529,983,572,291,13508
POA3148,..,154,140,17,11,10,5,0,0,338,..,10,46,45,37,65,79,64,29,380,4,20,19,8,4,4,13,14,4,85,627,534,878,611,483,372,301,211,60,4084,..,27,667,768,502,414,303,214,44,2943,..,44,269,95,64,28,9,3,0,511,..,3,21,76,114,65,43,31,10,365,1258,..,..,..,..,..,..,..,..,1258,..,368,..,..,..,..,..,..,..,368,..,159,173,67,53,23,3,0,0,478,..,56,66,16,17,32,31,25,12,260,..,65,93,18,6,5,3,3,0,190,..,363,349,50,32,24,15,3,0,835,..,26,106,91,102,113,117,91,42,686,15,31,39,17,8,12,13,14,5,151,1275,1147,1786,1197,908,712,531,377,116,8047
POA3149,..,189,149,34,22,34,30,12,3,462,..,34,70,72,112,202,303,402,243,1434,25,38,36,25,13,14,26,18,12,208,2665,2098,1877,2170,2411,1779,1474,1275,467,16214,..,52,1497,3024,3365,2405,1872,1481,421,14113,..,82,411,226,237,136,45,9,0,1155,..,12,48,237,424,242,103,98,69,1228,5433,..,..,..,..,..,..,..,..,5433,..,2465,..,..,..,..,..,..,..,2465,..,753,805,168,200,96,9,0,0,2033,..,278,183,38,47,89,95,89,44,877,..,217,215,34,21,19,4,3,3,514,..,463,404,103,60,61,42,24,7,1157,..,83,171,161,264,347,433,537,337,2331,49,82,77,44,41,23,44,31,14,406,5475,4478,3814,4041,4657,3426,2656,2275,895,31715
POA3150,..,177,223,53,51,48,41,15,4,614,..,57,84,85,142,275,462,622,409,2126,28,61,59,21,33,47,48,41,20,368,4548,3784,2980,3869,4247,3552,3167,2057,759,28964,..,78,2304,5283,6081,5185,4530,2529,500,26490,..,115,431,310,300,189,89,19,4,1462,..,14,104,491,709,390,192,182,92,2166,9454,..,..,..,..,..,..,..,..,9454,..,4970,..,..,..,..,..,..,..,4970,..,1383,1672,464,303,113,22,0,0,3954,..,461,301,77,119,201,233,209,120,1717,..,388,336,89,50,31,8,0,8,904,..,510,614,130,102,95,76,24,10,1562,..,128,210,235,309,440,679,823,555,3380,66,112,129,68,71,80,74,65,27,698,9523,8158,6106,7144,8042,6731,5903,3850,1306,56761
POA3151,..,142,94,21,9,16,9,6,0,293,..,9,26,22,33,41,87,144,71,429,9,13,8,8,9,7,12,7,9,76,686,708,658,623,638,561,560,418,134,4975,..,19,487,836,808,719,739,505,91,4208,..,48,122,79,52,37,19,3,0,361,..,0,17,52,114,94,44,41,21,389,1406,..,..,..,..,..,..,..,..,1406,..,617,..,..,..,..,..,..,..,617,..,227,275,107,83,31,3,0,0,720,..,49,62,16,25,38,35,26,16,262,..,129,92,21,9,6,3,0,0,256,..,353,241,35,17,17,18,15,6,702,..,31,59,54,68,84,127,191,96,708,20,28,24,11,8,10,13,15,9,140,1424,1501,1370,1213,1185,1043,1007,800,232,9772
POA3152,..,48,83,15,26,32,18,9,3,229,..,24,70,73,85,234,305,310,236,1334,17,45,44,23,16,35,25,22,9,246,2470,2054,2003,2052,2229,2471,1547,807,430,16060,..,50,1513,2734,3103,3547,2205,824,243,14225,..,92,436,266,227,143,47,4,6,1224,..,15,112,254,352,277,102,62,46,1211,5061,..,..,..,..,..,..,..,..,5061,..,2359,..,..,..,..,..,..,..,2359,..,1129,1211,274,118,44,12,0,0,2790,..,193,132,42,62,126,112,93,65,829,..,128,126,54,20,12,6,0,3,356,..,112,187,47,56,59,45,16,7,530,..,55,154,174,200,365,437,405,304,2093,39,90,82,42,43,55,42,30,17,436,5097,4233,3964,3881,4184,4630,3011,1436,683,31116
POA3153,..,58,70,29,32,23,14,3,0,230,..,23,122,146,131,207,288,181,87,1179,26,35,32,15,12,27,22,8,4,183,1672,1070,1656,1376,1266,1123,905,441,142,9650,..,46,1415,1620,1290,1203,971,413,70,7032,..,150,574,274,227,129,43,13,0,1418,..,23,125,205,352,171,88,63,18,1046,3411,..,..,..,..,..,..,..,..,3411,..,910,..,..,..,..,..,..,..,910,..,628,495,140,86,37,0,0,0,1388,..,107,112,26,39,65,67,37,12,473,..,62,91,27,20,13,8,0,0,225,..,131,168,80,68,58,24,11,3,551,..,50,249,321,335,378,425,255,117,2137,65,67,74,43,43,47,27,16,4,383,3477,2178,3303,2742,2463,2101,1660,819,233,18974
POA3154,..,6,6,3,6,3,0,4,0,31,..,4,6,12,21,31,38,20,24,156,8,7,5,4,6,0,3,0,0,36,411,232,258,295,317,268,162,65,35,2051,..,5,189,379,375,327,215,69,14,1567,..,24,132,105,103,47,15,4,0,429,..,7,12,22,54,44,15,6,4,174,819,..,..,..,..,..,..,..,..,819,..,235,..,..,..,..,..,..,..,235,..,140,107,35,10,8,0,0,0,296,..,12,12,6,4,11,9,9,3,58,..,11,10,9,9,3,0,0,0,48,..,17,12,7,12,14,0,3,0,74,..,4,17,27,52,65,61,34,28,295,9,16,15,7,6,7,6,3,0,75,829,475,515,605,622,519,317,133,54,4058
