POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3163,103,10,30,14,155,34,6,10,7,61,26,13,19,7,67,19,5,18,3,46,107,22,47,4,175,67,36,53,4,162,267,64,57,20,407,181,103,81,24,395,268,182,95,22,563,305,170,74,24,573,183,197,61,10,445,218,216,57,12,508,435,493,91,22,1047,329,394,33,12,766,183,347,13,7,548,165,276,12,5,459,222,798,20,4,1045,184,350,89,7,634,31,27,17,3,78,3325,3713,869,219,8132
POA3165,50,15,34,0,100,34,10,5,6,52,17,13,26,0,51,12,9,30,0,55,103,20,43,5,165,51,33,99,3,188,281,61,88,4,440,164,93,95,17,372,201,167,118,9,499,180,179,110,14,477,113,219,84,8,420,117,266,84,8,480,243,549,110,12,914,175,496,38,6,719,100,385,22,4,515,79,312,26,6,422,159,759,18,4,938,121,439,120,5,687,64,34,26,6,120,2263,4055,1170,121,7610
POA3166,61,19,23,13,112,26,9,8,4,46,22,13,18,3,57,10,3,34,3,49,109,9,32,4,151,42,35,61,4,139,249,48,62,8,373,136,86,88,13,320,164,170,91,30,452,141,176,84,23,428,104,169,67,17,353,94,192,62,15,364,257,452,82,16,802,172,335,33,15,557,118,264,10,14,408,77,202,4,5,290,121,440,16,3,583,118,326,86,4,538,33,22,15,0,72,2048,2975,864,195,6080
POA3167,28,3,5,3,39,17,4,0,0,24,10,3,14,4,32,4,3,8,0,16,66,11,17,4,97,21,15,21,0,58,146,41,35,4,227,67,41,29,10,148,56,70,43,7,174,42,95,27,9,175,40,100,28,4,168,48,80,25,0,159,82,196,29,3,309,53,155,13,3,219,37,123,9,0,164,18,80,4,0,96,47,133,3,3,183,48,148,33,0,233,32,18,8,0,63,854,1304,358,63,2572
POA3168,126,14,29,42,207,24,9,9,7,46,26,14,19,4,65,21,12,16,3,54,77,17,30,8,139,53,49,44,13,163,159,62,45,4,272,131,113,47,12,302,154,148,47,17,370,111,144,40,11,314,100,130,31,14,268,94,138,21,9,261,175,251,31,19,478,100,146,14,9,265,64,78,3,6,143,27,48,0,0,71,27,79,7,3,120,92,131,27,3,252,22,7,15,3,40,1579,1576,492,181,3824
POA3169,88,21,21,8,139,36,3,10,0,52,24,22,24,3,78,18,15,37,5,69,135,27,32,9,201,62,56,63,3,184,315,84,64,8,482,145,165,84,20,413,168,221,94,25,499,128,250,73,26,482,95,208,68,6,372,88,224,50,12,367,195,387,53,16,656,94,271,30,4,397,41,143,13,0,203,20,76,5,0,107,23,127,10,3,160,109,263,92,5,467,37,25,18,4,81,1816,2591,830,156,5391
POA3170,68,14,24,3,104,19,9,12,0,43,26,3,18,8,56,18,11,22,0,45,115,21,36,3,173,48,37,54,5,142,277,49,55,0,386,141,83,62,5,296,163,170,79,12,428,155,182,70,9,415,91,199,68,3,364,80,197,34,6,322,185,471,53,14,721,122,331,29,7,491,81,219,13,4,328,38,137,10,0,186,78,272,15,0,363,102,272,86,6,462,28,25,13,7,68,1839,2696,748,106,5390
POA3171,78,78,62,8,224,24,7,9,3,48,31,38,63,9,135,12,26,46,6,87,137,84,49,13,285,86,105,97,8,296,300,148,111,14,580,114,215,114,18,460,150,282,104,23,557,106,258,78,23,462,86,218,54,11,365,76,189,33,4,306,103,294,60,13,471,48,157,24,9,232,25,69,6,4,106,14,54,5,0,75,14,79,3,0,97,92,239,73,10,419,38,22,24,3,87,1548,2550,1015,189,5297
POA3172,56,31,37,5,125,23,9,6,0,43,27,21,28,3,80,16,17,38,0,78,125,46,65,3,240,60,56,76,4,194,287,120,107,5,514,171,163,117,10,460,204,245,120,19,587,175,247,106,9,542,96,236,80,6,418,86,239,48,5,384,189,462,67,17,724,88,349,35,3,480,57,199,18,4,271,21,148,10,0,181,48,221,6,0,277,109,327,81,4,531,44,38,20,0,106,1884,3180,1072,93,6229
POA3173,69,30,41,4,150,22,13,17,0,53,24,21,41,0,89,10,12,37,3,65,110,47,47,9,211,59,64,85,0,210,299,121,91,6,517,150,179,115,9,452,180,316,111,19,620,152,345,94,13,602,107,290,73,3,470,120,307,55,7,493,222,598,73,13,910,134,469,33,4,635,71,235,18,9,332,42,174,14,4,235,48,279,13,0,340,105,376,74,3,562,53,44,11,3,110,1988,3929,1037,118,7072
POA3174,116,61,86,12,277,36,16,27,3,76,27,30,86,3,152,17,35,77,3,132,195,99,114,13,424,120,135,194,8,458,500,284,216,28,1032,272,333,232,29,868,328,493,237,54,1121,301,487,157,25,974,182,435,120,26,762,200,327,90,20,640,314,597,99,32,1041,147,327,39,9,523,55,138,18,6,216,33,81,9,0,126,25,98,17,3,146,175,397,183,22,780,71,49,50,10,174,3128,4433,2047,302,9905
POA3175,118,105,76,9,309,55,32,28,3,115,59,59,99,8,213,29,37,100,7,170,275,194,181,19,671,135,225,227,17,609,706,365,252,33,1354,332,535,286,38,1188,411,677,246,49,1383,362,642,175,37,1213,211,505,132,27,881,215,464,100,16,799,346,724,116,31,1219,141,435,48,12,635,63,223,12,7,302,30,126,12,0,168,49,173,21,3,241,240,663,217,12,1130,104,90,62,12,266,3868,6259,2392,342,12866
POA3177,18,20,12,0,48,16,8,14,0,35,8,18,37,0,59,6,9,39,3,46,68,39,42,0,146,33,49,75,3,156,181,74,94,9,361,68,111,76,19,268,75,165,71,8,324,74,118,43,17,257,40,96,38,7,175,31,80,24,3,138,76,108,28,6,218,25,54,5,0,83,6,34,5,3,45,0,20,7,0,26,7,14,5,0,24,45,133,53,9,242,41,16,10,3,64,802,1147,669,92,2706
POA3178,66,19,25,0,106,33,4,9,0,52,23,16,29,0,60,10,3,29,0,46,104,24,51,4,186,59,44,69,6,182,307,87,91,7,478,177,140,118,8,449,261,270,106,12,652,241,321,119,18,696,152,360,85,11,602,142,413,61,9,619,364,892,112,20,1381,234,753,43,10,1036,151,458,20,3,634,69,372,15,0,453,121,691,22,0,843,151,626,108,6,886,54,52,16,0,127,2706,5551,1127,111,9491
POA3179,12,3,4,0,24,5,0,0,0,10,3,0,4,0,12,0,3,9,0,8,16,11,19,0,48,23,15,20,0,53,61,22,16,3,104,40,36,26,0,109,45,54,25,0,119,45,63,22,3,128,28,66,24,3,122,35,69,12,4,128,58,161,27,4,253,34,103,9,4,147,20,75,0,0,96,11,36,0,0,46,12,63,0,0,76,33,114,34,3,185,15,11,3,0,28,513,892,264,31,1703
POA3180,14,3,7,0,30,10,0,3,0,10,6,4,3,0,10,4,3,10,0,17,24,5,8,0,43,25,18,26,0,65,98,14,38,3,152,79,38,30,0,147,104,72,38,0,217,55,81,27,0,161,46,74,22,3,141,52,92,16,0,164,95,184,24,7,311,47,108,9,0,165,34,75,8,3,114,16,51,5,0,70,24,80,5,0,112,50,93,24,0,172,19,5,10,0,38,785,1002,320,26,2131
POA3181,24,3,12,5,47,10,3,3,0,20,3,3,17,6,33,11,0,6,4,16,51,8,18,0,80,22,9,22,3,60,126,15,26,6,178,66,28,37,15,142,110,38,48,23,216,126,40,17,16,204,121,44,21,10,195,145,47,26,18,238,303,101,39,26,472,315,85,21,19,445,245,64,0,9,324,178,83,20,11,298,467,381,16,3,861,210,141,60,0,415,19,10,10,0,47,2544,1117,439,179,4280
POA3182,20,5,6,0,36,4,3,5,3,16,14,5,12,6,34,12,3,12,0,25,37,7,18,3,63,19,10,44,3,76,85,12,45,7,142,90,17,41,8,155,156,53,56,15,278,202,49,48,12,313,148,42,27,4,227,207,54,29,9,298,476,122,41,31,662,383,121,10,9,522,267,76,9,0,349,188,98,14,5,303,381,339,16,10,741,238,126,55,4,426,29,8,6,0,45,2952,1139,492,135,4719
POA3183,17,6,3,3,25,4,5,4,0,10,9,10,6,3,33,3,3,17,0,24,33,8,28,3,73,17,16,30,4,67,92,35,46,6,176,57,47,36,8,150,82,89,32,10,214,123,80,31,12,241,116,90,33,18,253,108,79,29,12,230,303,166,41,9,531,254,152,17,9,432,161,103,3,6,273,121,93,21,3,238,264,352,4,4,631,136,155,43,5,343,17,22,4,0,48,1915,1530,433,120,3998
POA3184,7,4,8,0,18,4,0,0,3,9,5,3,8,3,18,0,0,14,3,18,21,3,15,0,41,20,7,47,0,69,40,13,33,3,90,49,16,32,5,102,74,28,44,14,158,82,38,28,9,154,89,38,28,8,161,104,51,39,8,209,297,143,37,14,496,243,102,14,17,377,178,87,5,3,278,138,114,26,3,280,303,490,12,3,803,139,130,46,4,324,16,7,11,0,39,1811,1288,447,105,3652
POA3185,5,14,11,4,33,13,0,4,3,22,3,0,8,0,11,3,3,4,3,14,26,5,15,0,44,20,16,20,0,53,71,21,23,3,116,39,26,31,6,104,79,37,25,5,151,100,45,31,9,186,70,37,18,6,131,90,55,22,0,168,199,130,40,13,382,140,124,13,4,279,83,114,9,4,209,81,122,22,6,225,178,512,6,0,699,95,166,44,0,305,16,20,8,4,48,1318,1443,353,70,3189
POA3186,28,9,47,0,83,13,3,6,0,24,3,8,29,0,40,3,3,24,0,27,38,11,18,0,68,27,12,33,0,79,85,17,35,12,153,74,16,56,7,149,139,41,42,5,227,127,45,49,11,227,93,57,54,3,206,117,71,34,5,232,281,182,59,9,529,176,202,16,10,400,135,158,11,3,306,157,320,50,0,532,631,1330,61,5,2029,192,468,96,3,756,39,43,15,0,99,2367,3003,732,72,6175
POA3187,18,5,14,0,46,19,8,5,7,33,4,5,13,3,24,3,5,9,0,17,40,3,18,5,63,20,12,32,4,67,100,17,20,5,135,73,23,39,3,144,110,43,49,9,206,86,64,51,7,200,79,70,37,3,184,60,72,30,0,170,163,198,57,0,418,124,197,12,4,339,64,173,16,3,257,56,233,32,0,322,211,828,16,3,1061,100,300,57,0,465,33,33,7,0,65,1361,2291,506,43,4212
POA3188,16,14,19,0,50,7,3,10,0,18,9,0,15,3,31,3,3,20,0,24,38,3,47,3,90,25,14,52,0,89,114,22,52,3,196,90,25,53,7,174,121,52,82,9,259,103,65,38,3,209,67,74,31,4,171,69,83,37,3,187,179,233,60,4,480,120,195,29,0,346,94,199,13,0,301,83,259,21,0,367,221,934,18,0,1178,98,337,65,0,501,26,30,20,3,86,1479,2542,674,54,4755
POA3189,10,5,7,3,21,7,0,0,0,13,0,0,3,0,5,3,4,3,0,10,35,9,10,0,51,11,0,17,0,30,49,12,19,4,84,42,19,28,0,87,47,35,30,3,120,45,48,37,10,134,20,44,16,3,87,37,58,14,0,104,58,104,23,0,183,47,99,3,6,148,31,69,7,3,108,18,48,4,0,68,28,125,5,0,161,51,73,29,0,153,8,8,4,0,25,547,744,256,37,1586
POA3190,8,3,11,0,24,8,0,5,0,11,3,3,13,0,20,3,0,20,0,28,42,9,23,3,74,16,8,27,0,53,96,17,42,3,157,53,28,38,3,124,71,49,52,8,181,70,57,36,4,175,35,60,37,3,135,53,68,26,6,147,116,187,52,8,357,102,173,17,0,295,63,129,3,0,195,49,119,3,0,174,89,270,4,0,366,55,145,41,3,246,20,6,11,0,33,955,1342,458,50,2808
POA3191,14,4,5,0,28,3,0,0,0,3,5,0,6,0,7,3,0,3,0,9,16,3,5,0,27,10,3,18,0,35,43,3,19,4,70,41,15,28,3,84,70,21,23,3,117,63,34,28,0,117,52,33,14,3,103,62,45,15,0,125,112,121,27,3,266,103,114,13,4,227,59,90,0,0,153,59,130,12,0,200,162,558,14,0,735,76,179,39,4,301,20,11,3,0,31,967,1365,283,34,2642
POA3192,39,6,22,3,72,17,12,10,3,36,14,10,27,4,56,5,3,25,0,39,81,18,47,4,142,48,21,73,4,138,247,32,71,6,353,162,83,101,14,361,181,133,104,11,425,148,153,94,10,408,94,144,79,4,319,96,189,58,0,348,263,407,95,15,779,191,393,32,7,619,104,287,15,5,411,83,189,17,0,286,126,464,9,3,605,147,326,85,3,560,42,28,14,3,89,2089,2887,962,105,6047
POA3193,32,9,12,4,57,8,3,3,3,18,8,5,4,3,15,7,3,10,0,14,42,8,19,0,68,38,9,34,0,83,130,21,37,0,185,105,18,50,6,179,157,55,45,10,270,190,57,44,9,301,98,71,56,4,224,119,90,25,0,233,238,240,53,3,540,171,274,20,3,464,105,222,13,3,334,114,292,20,0,422,306,1048,26,0,1373,107,392,68,0,570,38,14,7,0,64,2018,2827,527,55,5429
POA3194,22,3,15,0,37,12,4,0,3,21,7,4,11,0,25,3,0,7,3,15,37,5,24,3,71,21,12,31,0,72,111,17,40,11,179,75,29,58,3,161,123,61,57,4,249,119,71,44,10,239,75,62,36,6,180,81,78,34,3,196,179,226,62,10,470,143,172,21,7,338,91,153,10,3,252,48,131,10,0,192,90,302,8,0,398,95,166,62,3,326,31,20,7,0,57,1368,1524,526,61,3473
POA3195,32,19,21,5,79,28,6,7,0,39,16,12,20,5,53,9,7,22,0,37,94,10,48,6,164,43,28,69,8,145,316,57,92,12,478,190,84,147,11,434,249,153,129,11,539,243,267,106,11,632,155,271,104,9,537,175,293,97,17,577,381,785,125,12,1300,301,682,48,7,1038,198,541,20,4,763,134,407,29,0,567,240,966,15,0,1230,198,576,117,10,897,48,35,15,4,102,3058,5200,1229,124,9614
POA3196,31,7,6,0,49,14,3,8,0,23,14,5,25,0,45,12,7,26,0,44,84,6,52,5,149,49,18,90,4,169,250,43,110,3,414,179,83,130,14,401,221,137,106,19,487,172,180,97,9,457,143,200,111,6,453,173,238,73,4,484,348,527,84,15,973,257,436,21,7,729,143,277,13,3,442,96,175,13,0,295,124,300,11,0,434,139,286,121,4,558,43,22,17,9,94,2499,2967,1128,103,6699
POA3197,14,0,7,0,27,10,5,7,0,23,8,5,10,0,19,4,8,20,0,30,48,7,33,3,91,25,11,38,3,73,123,12,35,0,178,82,28,41,3,152,75,63,80,4,230,111,81,38,9,243,60,62,37,5,160,65,107,34,7,206,162,221,38,7,427,136,181,14,0,333,65,125,6,0,199,42,110,7,3,160,86,182,5,0,278,77,173,56,3,314,31,17,10,0,61,1227,1385,538,46,3195
POA3198,19,3,14,0,40,11,3,9,0,20,8,5,30,0,44,3,3,27,0,29,61,11,48,5,133,39,14,82,0,139,177,38,86,12,309,136,61,102,11,307,164,116,130,5,415,129,132,79,11,351,80,161,78,3,319,81,156,47,9,299,228,319,57,7,607,166,207,12,4,392,71,123,14,3,204,46,64,7,0,119,45,75,7,0,127,95,167,101,0,372,40,24,26,3,88,1604,1688,945,75,4305
POA3199,77,24,34,0,144,44,5,23,0,74,25,21,70,0,122,22,6,100,3,139,211,28,191,14,442,112,54,303,9,487,666,99,306,24,1095,430,213,333,35,1004,490,375,348,26,1241,479,437,282,39,1238,320,450,191,17,985,328,451,125,18,911,666,936,173,23,1796,406,713,75,14,1202,215,416,28,3,663,91,259,21,0,384,173,516,21,4,715,361,658,322,8,1348,129,63,82,5,283,5251,5732,3029,250,14262
POA3200,3,3,10,0,16,3,0,0,0,4,3,3,16,0,22,3,3,26,0,35,20,6,41,3,70,11,5,55,0,75,81,24,68,7,189,38,42,56,5,135,42,64,51,12,163,31,50,43,6,123,27,42,20,9,96,19,35,14,3,74,40,46,17,3,102,13,21,3,0,47,9,10,0,0,22,0,3,0,0,9,0,3,3,0,5,26,51,41,4,123,9,12,10,0,39,383,431,493,53,1352
POA3201,13,7,11,3,36,10,3,6,0,19,17,8,17,0,42,5,7,35,0,49,55,17,70,0,146,45,29,122,0,198,212,65,138,6,417,93,113,131,12,349,157,217,165,10,545,159,262,118,11,544,120,266,95,19,496,114,263,46,8,422,272,433,60,8,774,141,263,22,0,427,48,123,14,0,180,17,59,11,3,88,12,60,9,3,80,103,258,110,10,479,33,22,32,0,86,1618,2473,1208,90,5393
POA3202,13,4,0,0,20,3,0,0,0,3,0,3,0,0,6,0,0,3,0,3,7,4,3,0,8,6,0,8,0,18,20,6,5,0,35,14,7,15,0,35,21,22,19,0,55,22,22,11,0,55,13,25,8,0,47,4,34,10,0,47,27,65,6,0,99,22,44,3,0,74,9,36,0,0,40,19,24,3,0,40,9,68,3,0,80,18,43,12,0,78,3,9,0,0,9,222,420,119,4,769
POA3204,59,26,61,7,148,33,10,17,7,63,20,8,24,4,58,10,4,35,3,48,78,13,46,0,136,51,38,68,3,159,245,56,72,11,387,153,85,97,3,334,193,158,120,9,483,198,162,82,14,463,117,191,75,9,389,115,213,54,8,397,287,494,90,17,893,211,460,27,13,706,143,455,10,8,612,105,361,39,0,508,192,1141,30,0,1357,131,518,117,8,779,30,43,18,4,88,2372,4438,1080,133,8023
POA3205,20,7,13,5,43,8,3,5,0,19,3,4,18,0,33,3,0,27,0,33,30,0,25,5,66,14,6,21,8,49,49,8,24,9,96,42,23,22,3,85,55,33,27,11,129,55,28,9,7,102,54,21,16,7,98,63,18,17,7,101,156,56,22,11,244,190,51,8,11,257,128,64,7,4,208,119,71,18,0,200,294,285,3,3,592,119,83,37,4,250,13,13,4,0,33,1426,760,344,104,2629
POA3206,16,8,5,0,29,4,0,7,0,11,3,3,4,0,9,0,0,8,0,14,27,0,4,3,40,6,9,10,0,32,67,8,18,3,92,29,14,21,3,64,47,22,22,4,99,57,29,28,3,111,33,27,24,4,92,54,25,15,3,91,117,81,31,8,225,91,66,7,0,168,75,69,3,0,147,82,123,21,3,232,347,529,17,6,890,99,187,30,0,317,19,10,5,0,39,1178,1206,282,41,2711
POA3207,11,7,12,4,28,7,0,7,0,15,4,9,19,0,31,0,0,20,0,19,52,7,25,3,93,26,9,32,7,71,83,20,45,6,148,49,18,51,6,125,73,36,59,10,174,87,44,35,4,175,63,43,29,6,141,80,69,33,5,178,221,142,46,11,413,243,140,13,6,404,202,110,3,9,326,192,135,29,0,350,561,513,12,10,1097,189,166,56,0,411,23,13,14,0,47,2168,1465,527,91,4247
POA3211,3,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,3,0,9,9,5,6,0,20,8,5,10,0,20,14,10,4,0,23,9,11,4,0,28,12,11,0,0,21,9,8,0,0,12,10,27,0,0,41,10,23,0,0,34,3,21,0,0,22,3,13,0,0,16,4,20,0,0,23,14,19,9,0,46,4,0,3,0,9,120,169,51,0,342
POA3212,21,0,14,4,41,7,0,3,0,16,14,5,13,0,30,4,0,23,0,26,62,7,35,0,110,32,13,70,0,117,185,31,74,4,293,122,52,72,7,253,124,118,83,3,326,128,160,69,4,368,88,164,37,3,295,110,195,25,5,336,203,386,47,6,648,137,277,11,0,424,65,164,9,3,239,25,90,3,0,119,52,166,10,0,226,103,255,32,5,404,25,19,8,0,60,1512,2127,649,47,4336
POA3213,4,0,0,0,9,0,0,0,0,0,0,0,9,0,14,3,0,3,0,5,18,4,11,0,31,6,5,6,0,21,67,11,11,0,92,28,18,11,0,58,39,25,12,0,76,28,49,10,4,91,19,36,5,0,60,18,41,3,3,69,40,99,6,0,145,21,56,7,0,82,12,51,3,0,58,9,26,4,0,37,19,71,0,0,89,17,91,14,0,127,8,10,0,0,17,358,595,119,10,1083
POA3214,30,15,32,0,81,6,8,17,4,36,20,13,88,0,127,8,12,111,0,132,142,49,194,8,394,66,71,292,5,433,389,136,256,19,796,183,169,213,21,586,176,241,205,19,637,171,236,123,21,554,90,202,78,4,384,107,155,47,3,307,142,217,48,3,410,55,105,15,3,181,15,50,3,0,73,11,27,10,0,48,18,33,9,0,58,109,235,141,6,497,59,36,63,4,165,1807,2014,1950,120,5897
POA3215,29,11,12,3,56,18,0,4,3,22,10,4,36,4,49,11,7,25,0,48,148,21,58,7,238,46,22,111,3,186,367,50,109,10,536,180,85,138,16,426,185,146,103,18,458,178,178,81,10,446,108,180,58,10,354,117,206,54,4,383,193,339,61,6,600,119,237,22,4,377,52,146,13,3,217,36,98,7,0,141,70,152,9,4,238,118,243,87,9,454,70,27,29,3,129,2057,2169,1032,103,5358
POA3216,70,12,25,7,118,39,14,21,0,72,43,17,35,4,103,17,11,61,7,94,211,34,100,7,353,137,48,209,7,400,741,111,222,18,1093,499,180,244,21,947,605,351,269,26,1253,539,433,186,33,1186,336,478,153,13,978,345,526,110,19,1000,724,1176,121,17,2040,416,833,43,11,1302,215,568,18,0,804,106,309,20,3,442,211,660,24,7,889,321,720,199,7,1256,107,55,29,0,198,5681,6546,2089,197,14507
POA3217,6,4,3,0,13,3,0,3,0,5,0,3,3,0,4,0,0,0,0,3,12,6,14,0,35,8,4,21,0,34,31,13,18,0,60,21,25,23,0,79,42,31,26,3,110,56,81,19,7,155,39,84,14,3,140,59,109,7,9,183,136,185,17,3,341,99,109,4,3,211,34,70,0,0,106,18,44,3,0,63,29,56,0,0,85,37,98,22,0,160,3,3,3,0,10,640,917,201,27,1788
POA3218,6,0,3,3,10,6,0,5,0,18,8,0,14,0,25,3,3,17,3,25,48,12,32,0,92,29,19,47,4,104,124,28,68,4,229,101,33,63,6,202,119,71,60,3,256,119,87,50,3,256,72,94,32,0,205,74,115,34,3,223,175,244,49,6,475,133,191,10,0,336,72,122,7,0,200,44,74,5,0,123,64,172,7,0,242,100,150,53,3,303,22,11,20,3,58,1323,1433,565,57,3375
POA3219,19,6,18,0,45,24,3,7,0,42,15,3,31,0,44,5,0,51,3,62,104,21,100,9,231,49,31,150,4,234,310,53,133,12,504,183,83,145,16,423,219,156,133,16,527,166,166,100,13,442,100,179,64,4,352,120,158,39,3,320,214,288,48,12,555,124,173,25,4,328,49,102,0,4,157,22,57,7,0,89,40,81,3,0,120,128,206,104,5,438,59,29,33,3,123,1941,1800,1177,114,5025
POA3220,24,3,3,0,35,3,0,3,0,10,4,7,18,0,26,3,0,10,3,18,56,4,17,7,84,34,10,37,0,81,125,22,43,6,195,81,31,49,10,167,115,58,70,7,264,152,72,50,7,283,92,70,30,3,197,99,100,32,4,238,226,239,41,7,522,168,196,12,3,375,104,165,6,0,279,73,115,16,0,203,175,387,17,0,579,126,213,55,0,399,27,23,5,4,58,1696,1729,524,65,4005
POA3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,3,0,0,0,8,7,0,0,0,11,6,0,0,0,12,5,0,3,0,11,9,8,0,0,15,3,6,0,0,7,0,3,0,0,4,8,18,0,0,34,3,11,0,0,14,0,11,0,0,11,3,11,0,0,10,8,23,0,0,31,3,16,0,0,24,0,0,0,0,0,73,110,22,0,201
POA3222,39,10,11,0,55,20,3,6,0,30,10,4,10,0,20,13,3,21,0,36,90,13,40,3,142,45,20,70,0,132,304,26,81,0,413,185,69,72,3,328,213,108,62,8,388,165,143,55,9,373,85,175,39,4,308,104,131,26,0,264,184,261,34,7,475,91,180,7,0,284,51,95,3,0,147,21,54,0,0,77,62,134,3,0,204,101,233,49,3,384,50,19,12,0,82,1827,1686,614,36,4162
POA3223,18,0,0,0,22,16,0,7,0,23,7,0,9,0,17,6,0,15,0,24,82,5,23,0,105,39,7,30,0,80,225,21,32,3,281,109,27,29,0,165,157,45,26,3,236,118,55,14,0,191,58,46,10,7,110,57,38,8,0,102,89,84,11,0,184,32,51,7,0,87,24,30,0,0,55,6,15,0,0,25,29,25,0,0,53,65,72,20,0,161,40,8,15,4,62,1181,524,269,24,1995
POA3224,17,0,10,0,26,20,0,9,3,28,10,10,20,0,35,6,0,18,0,22,86,8,42,0,137,39,15,66,0,121,215,32,66,3,308,165,53,76,3,295,190,105,69,8,368,150,159,56,7,365,73,173,26,0,269,84,173,30,3,299,196,328,31,10,562,95,214,9,4,332,51,110,3,0,164,18,71,3,0,89,30,79,3,0,114,85,173,51,0,315,53,23,5,0,85,1592,1719,584,34,3931
POA3225,6,0,3,0,13,9,0,0,0,9,3,0,4,0,8,3,0,7,0,7,21,0,3,0,24,13,0,12,0,24,67,4,9,0,82,64,6,19,0,90,68,24,11,0,100,67,16,11,0,92,37,16,6,0,59,41,18,5,0,67,55,41,15,0,105,45,41,0,0,91,24,36,0,0,54,14,20,0,0,40,36,31,0,0,67,40,66,11,0,119,6,0,5,0,8,625,325,107,8,1066
POA3226,12,4,8,0,26,13,0,3,0,19,14,0,12,0,29,7,0,8,0,20,53,3,38,0,89,37,12,60,0,114,173,22,53,0,241,131,37,61,3,234,170,78,74,4,328,143,117,29,4,293,84,159,30,0,275,92,172,22,0,288,178,302,29,0,512,120,233,11,0,362,59,154,4,3,221,32,79,9,0,119,72,169,5,0,243,89,199,56,3,351,29,16,10,0,54,1505,1765,510,30,3805
POA3227,7,0,0,0,7,0,3,3,0,5,3,0,0,0,8,0,0,3,0,3,13,3,7,0,21,7,0,10,0,17,46,6,16,0,72,32,9,13,0,47,48,12,22,0,84,48,33,13,0,101,22,36,9,0,75,29,42,12,0,80,66,88,8,0,165,43,78,5,0,122,25,40,3,0,73,20,48,8,0,72,43,103,0,0,145,44,90,24,0,163,3,0,0,0,7,507,596,146,16,1267
