POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3129,1496,3002,18,81,226,980,17,90,1310,4942,1568,6092,115,482,287,1012,369,1191,782,2686,2346,8778,4,18,49,153,5,20,193,490,246,678,45,134,126,282,284,614,452,1024,699,1702,106,223,4651,13705
POA3130,2796,5562,34,172,445,2008,49,221,2395,9268,2924,11669,261,1074,551,1973,662,2084,1466,5131,4389,16800,3,16,82,285,18,63,312,800,418,1158,68,199,199,463,489,1034,759,1701,1168,2858,137,285,8489,25506
POA3131,2090,4188,25,128,260,1169,28,124,1717,6459,2033,7880,152,635,294,1052,459,1448,908,3136,2933,11022,15,60,50,163,12,52,226,584,309,861,54,159,122,277,378,821,552,1259,861,2123,124,264,6009,17593
POA3132,1635,3243,17,108,167,758,23,111,1321,4986,1527,5962,117,469,184,643,324,1043,620,2146,2147,8109,4,23,31,95,9,35,153,385,198,540,33,100,82,196,265,575,377,864,578,1402,64,142,4423,12901
POA3133,2149,4307,21,130,358,1643,33,149,1596,6132,2017,8052,209,878,415,1491,625,1951,1249,4317,3266,12373,8,25,57,196,9,43,193,515,273,779,46,155,123,303,322,697,491,1150,760,1931,67,141,6237,18746
POA3134,2999,5969,50,290,443,2075,59,252,2378,9225,2930,11845,310,1292,440,1547,782,2516,1532,5350,4463,17194,8,47,88,313,24,87,354,895,475,1345,58,186,199,455,487,1062,743,1705,1219,3045,129,277,8809,26489
POA3135,1897,3767,32,201,272,1265,38,163,1487,5749,1833,7378,134,553,216,790,418,1335,772,2678,2599,10052,6,24,52,197,17,59,240,601,317,883,52,158,102,225,343,711,492,1098,808,1979,92,203,5398,16001
POA3136,4252,8463,90,501,520,2411,93,450,3006,11597,3716,14957,355,1500,489,1730,1066,3421,1909,6644,5620,21603,23,93,133,437,51,151,668,1691,868,2375,123,389,241,548,776,1646,1139,2583,2008,4955,164,354,12046,35378
POA3137,1322,2625,22,128,156,749,36,165,896,3507,1117,4551,124,525,121,424,364,1171,605,2116,1723,6667,13,49,43,143,23,66,195,530,275,793,37,130,63,138,255,552,353,817,623,1607,56,114,3725,11014
POA3138,1952,3908,45,286,269,1316,57,273,1510,5959,1883,7827,203,879,250,874,655,2157,1110,3910,2997,11736,16,68,70,246,38,123,302,809,420,1241,77,230,122,269,392,838,587,1337,1003,2581,81,167,6032,18391
POA3139,1348,2674,42,238,161,768,69,330,925,3671,1204,5010,120,504,138,455,414,1323,676,2277,1879,7290,7,34,47,147,16,63,199,551,264,790,33,109,48,110,189,397,273,621,535,1408,30,67,3792,11440
POA3140,1621,3244,39,213,210,991,58,230,1041,4082,1348,5513,161,661,161,561,446,1432,769,2650,2117,8169,6,38,57,180,20,66,254,687,336,973,48,149,96,213,265,568,408,931,746,1905,56,119,4541,13441
POA3141,3519,6882,5,11,79,334,12,55,763,2640,857,3048,45,183,167,539,145,447,362,1165,1214,4207,0,4,35,112,13,40,171,437,222,587,25,70,114,254,212,441,347,764,565,1355,230,483,5535,12925
POA3142,1675,3267,9,27,134,606,14,52,529,1969,685,2661,91,379,229,764,217,644,536,1782,1216,4446,3,7,28,88,3,12,108,271,142,379,19,53,79,183,126,249,220,485,362,867,72,141,3326,8715
POA3143,1025,2019,8,36,86,373,3,9,515,1885,608,2315,42,168,118,407,77,221,228,797,838,3104,0,3,12,45,0,0,93,219,102,265,14,44,40,102,85,181,143,326,253,592,70,143,2184,5869
POA3144,1115,2168,14,60,139,627,11,47,709,2793,875,3526,87,349,167,575,190,582,445,1501,1319,5022,0,0,33,100,0,3,100,247,130,348,16,59,60,126,106,218,181,402,311,749,62,131,2800,8064
POA3145,1986,3912,17,96,350,1573,27,95,1576,6120,1969,7888,191,761,387,1404,407,1276,984,3447,2960,11330,4,17,44,136,10,27,163,420,222,604,32,106,91,220,290,603,415,930,637,1527,142,305,5724,17075
POA3146,2300,4547,10,66,447,1994,26,129,1909,7400,2395,9587,195,808,553,1993,408,1247,1159,4045,3558,13636,3,27,46,158,4,25,173,434,235,640,37,121,122,278,275,575,435,978,671,1621,116,248,6646,20045
POA3147,1131,2241,22,104,187,832,21,88,1151,4442,1376,5472,102,416,227,803,279,885,609,2103,1989,7573,7,37,39,123,9,27,186,434,235,626,32,98,90,218,226,465,346,781,580,1408,67,150,3769,11371
POA3148,811,1631,8,43,60,279,7,29,573,2141,649,2484,39,169,97,340,162,514,304,1020,947,3512,3,15,20,77,18,48,87,227,126,371,16,57,55,120,171,378,245,555,369,924,56,116,2187,6178
POA3149,3118,6199,40,198,489,2166,52,235,2362,8933,2940,11535,303,1280,648,2250,841,2626,1793,6156,4734,17686,10,27,98,334,16,64,302,764,432,1188,62,201,245,570,496,1077,805,1845,1228,3036,177,384,9257,27307
POA3150,5598,11155,69,385,993,4375,98,427,3873,14858,5035,20044,652,2682,1397,4854,1687,5337,3731,12880,8770,32921,19,74,205,689,41,144,542,1439,805,2349,130,428,413,984,812,1755,1364,3168,2171,5519,287,624,16820,50223
POA3151,1000,2013,11,66,120,546,15,76,627,2358,780,3049,84,347,156,557,303,950,548,1851,1325,4896,8,27,19,71,7,24,78,191,108,317,21,65,59,150,199,410,282,630,384,944,51,109,2765,7964
POA3152,3160,6332,62,325,448,1978,80,351,1987,7694,2572,10340,387,1636,594,2128,1190,3832,2173,7599,4744,17941,12,41,72,258,34,118,342,921,452,1342,88,291,165,377,512,1147,760,1821,1211,3159,128,268,9240,27703
POA3153,1854,3706,29,169,167,776,44,198,1421,5316,1666,6462,121,522,169,570,488,1565,776,2662,2445,9124,12,74,64,239,26,100,319,852,428,1256,44,159,134,302,432,928,618,1384,1045,2641,101,209,5444,15677
POA3154,418,819,12,58,52,239,13,58,326,1264,402,1620,42,178,45,166,112,341,200,692,605,2311,6,24,11,39,3,15,49,114,69,188,14,40,16,38,78,167,106,236,173,419,9,18,1203,3575
POA3155,2253,4482,30,144,167,786,51,227,1453,5489,1704,6654,128,539,205,713,527,1709,862,2957,2561,9616,4,31,65,213,24,90,372,954,466,1282,64,211,120,273,492,1056,682,1545,1156,2827,98,205,6067,17124
POA3156,3348,6695,89,492,507,2322,108,480,2484,9552,3195,12854,409,1752,480,1700,1136,3687,2024,7132,5216,19983,22,98,109,368,55,174,479,1271,667,1914,83,257,183,425,644,1423,913,2111,1575,4022,123,262,10266,30966
POA3158,607,1210,14,70,87,426,19,78,456,1778,578,2350,74,307,88,296,201,639,360,1236,936,3587,3,8,16,58,9,35,74,200,104,295,20,63,37,88,114,243,173,389,280,688,28,57,1853,5543
POA3159,230,441,4,30,41,171,5,32,201,776,253,1011,26,128,46,156,67,209,137,490,390,1506,0,3,8,24,5,18,33,76,42,120,8,18,13,32,29,71,51,126,96,238,6,15,720,2201
POA3160,858,1694,18,112,131,598,23,104,636,2478,811,3288,83,343,101,362,254,803,445,1510,1257,4798,6,27,28,91,13,47,122,336,166,498,21,67,49,105,142,299,211,475,378,967,26,58,2509,7518
POA3161,1615,3185,25,125,183,874,14,54,915,3615,1131,4666,96,398,225,799,268,827,588,2021,1714,6688,3,11,15,51,0,0,122,302,144,367,27,75,72,183,127,254,220,508,367,882,68,135,3765,10882
POA3162,1686,3349,15,83,225,1046,14,52,1241,4766,1497,5950,148,597,296,1031,327,1038,768,2666,2264,8616,7,27,36,123,6,19,140,360,190,526,40,102,94,207,192,383,320,699,512,1226,80,160,4537,13353
POA3163,3325,6625,18,82,261,1158,23,104,2409,8727,2713,10078,173,719,383,1353,442,1393,1006,3464,3713,13551,0,10,38,131,13,51,260,618,313,808,40,132,146,330,367,777,555,1243,869,2050,219,454,8132,22683
POA3165,2263,4516,32,150,368,1631,43,190,2309,8901,2756,10878,231,960,409,1434,660,2108,1297,4509,4055,15386,3,25,82,276,21,63,364,936,475,1306,65,204,170,393,462,984,696,1585,1170,2894,121,259,7610,23050
POA3166,2048,4118,30,141,243,1077,37,151,1745,6447,2055,7825,156,647,306,1070,466,1470,921,3193,2975,11018,8,35,46,145,15,63,216,555,285,802,32,99,123,278,427,944,578,1326,864,2126,195,418,6080,17677
POA3167,854,1720,12,76,109,487,16,70,636,2380,780,3012,89,374,120,415,319,1046,526,1832,1304,4841,3,5,16,66,9,18,93,242,115,337,13,54,38,102,186,430,241,574,358,912,63,127,2572,7600
POA3168,1579,3192,3,19,92,431,14,62,1044,3721,1150,4240,55,232,128,434,246,774,424,1433,1576,5675,0,3,21,90,3,17,141,340,167,453,25,72,78,169,222,478,318,724,492,1172,181,403,3824,10437
POA3169,1816,3718,26,172,191,890,34,162,1293,4880,1550,6095,166,719,232,825,643,2102,1044,3650,2591,9745,3,27,44,148,15,69,192,498,254,743,43,147,94,215,432,978,578,1338,830,2081,156,335,5391,15881
POA3170,1839,3704,18,110,248,1086,35,150,1371,5201,1668,6552,164,696,271,941,591,1895,1026,3526,2696,10084,6,44,43,158,23,64,190,521,261,783,45,142,91,209,350,771,483,1126,748,1906,106,221,5390,15912
POA3171,1548,3210,32,219,230,1125,64,317,1284,4988,1614,6655,159,710,238,904,535,1801,939,3417,2550,10068,14,72,74,293,35,135,278,793,400,1300,56,210,114,272,442,1015,615,1500,1015,2796,189,420,5297,16492
POA3172,1884,3817,47,285,306,1414,60,295,1481,5817,1900,7814,241,1032,325,1160,716,2370,1275,4562,3180,12377,20,84,95,346,36,130,336,925,483,1488,67,225,126,305,398,897,589,1429,1072,2916,93,210,6229,19318
POA3173,1988,4085,66,384,393,1837,69,329,1934,7569,2467,10109,267,1159,401,1412,784,2641,1456,5213,3929,15321,19,98,73,286,20,75,345,1002,462,1469,60,194,130,323,390,901,573,1423,1037,2886,118,261,7072,22555
POA3174,3128,6418,80,500,391,1912,111,547,2422,9220,3009,12171,220,956,325,1145,882,2867,1426,4965,4433,17135,32,146,127,494,61,218,670,1835,886,2698,108,359,216,508,839,1844,1160,2719,2047,5410,302,658,9905,29615
POA3175,3868,7822,135,841,612,3129,148,721,3458,13376,4353,18073,335,1480,454,1599,1120,3642,1911,6718,6259,24791,53,278,167,647,80,294,744,2023,1045,3239,118,397,244,573,995,2245,1352,3216,2392,6452,342,746,12866,39811
POA3177,802,1626,25,168,133,702,21,97,628,2509,810,3472,56,262,58,204,225,749,338,1216,1147,4688,14,73,42,174,33,107,221,643,311,1005,23,86,47,103,283,640,357,832,669,1834,92,189,2706,8344
POA3178,2706,5428,81,453,597,2743,92,412,2406,9310,3183,12917,479,2005,666,2353,1224,4030,2366,8385,5551,21300,9,53,88,283,24,90,296,773,417,1191,112,339,159,392,439,1011,711,1747,1127,2944,111,232,9491,29904
POA3179,513,1042,9,50,111,507,23,93,406,1589,547,2236,47,190,103,371,192,613,349,1171,892,3413,7,17,27,72,7,25,75,195,110,307,18,56,35,80,106,229,155,363,264,667,31,66,1703,5179
POA3180,785,1563,15,96,85,397,13,62,502,1937,621,2496,74,305,112,400,194,621,383,1325,1002,3821,3,10,25,75,8,33,87,254,122,380,23,73,46,102,125,285,194,461,320,840,26,48,2131,6270
POA3181,2544,4952,6,27,69,313,7,30,747,2637,832,3015,38,161,94,302,146,458,280,914,1117,3931,0,6,16,55,10,17,142,331,166,413,11,39,67,139,193,402,270,578,439,989,179,370,4280,10242
POA3182,2952,5749,0,13,73,303,11,49,802,2765,887,3124,42,154,112,370,103,295,253,822,1139,3951,0,0,19,47,6,11,183,388,202,446,15,39,102,214,177,356,291,604,492,1057,135,276,4719,11031
POA3183,1915,3778,34,259,139,777,11,64,1044,4092,1233,5201,53,199,102,353,139,434,294,978,1530,6178,5,14,18,60,0,3,166,394,191,475,23,58,83,185,146,284,247,525,433,1006,120,247,3998,11201
POA3184,1811,3528,0,6,87,396,3,23,920,3308,1013,3732,38,167,128,440,100,311,270,915,1288,4651,0,4,21,61,3,4,216,471,239,546,13,41,72,142,125,245,211,431,447,969,105,212,3652,9366
POA3185,1318,2613,14,98,155,738,11,56,905,3517,1088,4417,68,282,153,527,134,417,359,1225,1443,5642,0,4,23,83,4,15,128,287,158,400,11,39,59,121,132,258,201,409,353,813,70,142,3189,9210
POA3186,2367,4623,34,164,346,1542,17,74,1528,5853,1925,7639,209,840,452,1576,419,1300,1078,3716,3003,11357,3,22,66,226,4,21,226,555,300,820,39,112,146,338,243,505,428,950,732,1763,72,151,6175,17899
POA3187,1361,2687,10,52,269,1198,26,112,1219,4727,1521,6089,150,575,316,1096,308,963,770,2633,2291,8716,3,5,41,119,7,14,161,426,210,562,24,92,89,207,181,388,294,679,506,1245,43,90,4212,12741
POA3188,1479,2903,21,104,283,1249,23,104,1354,5260,1685,6722,179,726,371,1294,319,1002,862,3018,2542,9743,3,23,45,148,13,48,194,491,258,706,44,125,98,208,286,594,423,929,674,1634,54,110,4755,14392
POA3189,547,1084,3,28,67,284,9,42,447,1671,521,2018,36,133,48,175,142,441,222,743,744,2763,3,12,10,29,7,14,73,188,91,235,7,30,33,69,127,263,167,362,256,602,37,79,1586,4534
POA3190,955,1893,11,64,128,569,16,56,847,3193,1002,3881,52,218,129,439,158,502,344,1155,1342,5034,0,3,27,92,20,51,134,319,179,471,18,49,76,167,192,398,282,608,458,1076,50,101,2808,8110
POA3191,967,1897,10,40,149,678,9,39,730,2777,900,3535,88,369,191,668,185,578,467,1618,1365,5158,5,13,22,61,0,4,82,194,104,268,12,42,55,121,106,218,175,385,283,651,34,71,2642,7766
POA3192,2089,4124,20,105,242,1080,36,158,1652,6241,1946,7581,155,633,264,894,522,1620,945,3150,2887,10725,3,20,50,159,20,60,301,722,371,957,54,166,135,316,398,872,587,1355,962,2312,105,221,6047,17385
POA3193,2018,3971,25,138,330,1466,30,116,1377,5408,1759,7133,213,878,396,1392,461,1407,1071,3681,2827,10816,0,0,45,149,6,13,141,348,195,505,25,82,80,186,232,474,334,744,527,1249,55,117,5429,16155
POA3194,1368,2700,17,69,137,634,17,69,847,3185,1019,3962,77,326,168,593,258,819,502,1738,1524,5700,0,0,37,120,8,28,156,371,200,509,27,71,86,184,211,438,329,700,526,1208,61,126,3473,9729
POA3195,3058,6066,62,325,546,2393,78,338,2788,10785,3465,13841,338,1441,572,2031,824,2649,1738,6117,5200,19963,7,32,86,285,15,42,375,947,482,1313,79,259,174,404,491,1059,752,1719,1229,3028,124,244,9614,29299
POA3196,2499,4997,30,157,191,842,48,210,1878,7059,2150,8266,139,564,201,706,468,1481,816,2754,2967,11022,9,32,71,220,32,105,344,827,451,1179,55,174,149,321,480,1013,679,1508,1128,2686,103,206,6699,18911
POA3197,1227,2427,15,75,109,504,33,145,719,2695,881,3419,79,328,132,427,297,918,506,1679,1385,5098,10,30,32,120,10,34,183,443,225,631,38,116,71,161,202,408,306,689,538,1317,46,94,3195,8935
POA3198,1604,3170,13,66,113,520,37,163,1028,3795,1192,4543,67,274,92,296,339,1092,493,1660,1688,6209,8,31,53,197,30,109,287,736,382,1072,51,143,102,223,412,878,559,1246,945,2321,75,156,4305,11852
POA3199,5251,10377,74,414,516,2330,151,668,3071,11783,3813,15196,308,1259,484,1645,1130,3575,1924,6480,5732,21675,30,137,214,738,85,290,1047,2713,1375,3880,159,496,328,739,1156,2444,1650,3676,3029,7558,250,513,14262,40129
POA3200,383,775,5,38,15,93,27,114,223,861,270,1110,13,65,15,48,130,417,159,533,431,1640,13,56,20,87,20,78,197,585,252,804,18,74,32,64,186,427,242,557,493,1366,53,111,1352,3887
POA3201,1618,3241,48,276,203,996,74,346,1387,5264,1707,6873,126,536,163,550,474,1534,762,2614,2473,9487,17,77,78,258,47,163,489,1285,628,1780,58,198,99,222,416,928,579,1354,1208,3130,90,197,5393,16060
POA3202,222,442,7,21,44,204,5,19,250,1000,306,1241,20,85,44,143,49,158,114,379,420,1617,0,9,7,26,3,8,39,103,52,145,7,16,18,31,42,99,68,148,119,292,4,15,769,2362
POA3204,2372,4726,42,208,504,2222,52,207,2399,9203,2987,11835,237,974,565,1998,647,2009,1449,4982,4438,16816,6,20,90,286,7,33,347,846,449,1180,53,163,208,470,364,777,625,1406,1080,2591,133,281,8023,24419
POA3205,1426,2767,0,4,42,185,3,16,536,1922,583,2124,26,83,76,254,75,234,176,579,760,2699,0,3,22,76,5,18,127,322,155,414,13,38,58,113,125,258,191,411,344,828,104,224,2629,6518
POA3206,1178,2308,4,9,102,439,6,22,770,2857,883,3329,40,155,142,466,138,419,323,1044,1206,4369,0,6,22,60,3,8,93,220,121,295,5,24,50,107,104,214,162,345,282,647,41,89,2711,7412
POA3207,2168,4206,0,18,79,346,10,50,971,3493,1061,3908,50,205,130,412,223,682,402,1300,1465,5205,0,4,29,93,10,17,198,476,233,591,14,51,68,142,213,430,291,618,527,1211,91,181,4247,10798
POA3211,120,242,3,21,11,58,5,14,76,305,97,400,14,69,17,67,38,129,78,262,169,667,0,0,3,16,0,6,19,57,25,79,4,8,3,9,16,35,22,56,51,127,0,0,342,1042
POA3212,1512,3000,32,188,200,908,48,221,1153,4485,1432,5799,127,532,181,625,382,1213,694,2367,2127,8165,9,43,54,195,24,89,245,656,335,982,43,132,63,133,212,470,316,738,649,1717,47,107,4336,12984
POA3213,358,717,11,79,78,394,14,65,262,1050,371,1586,48,185,59,207,128,409,231,800,595,2378,0,8,12,42,5,23,34,96,56,169,6,26,21,37,40,79,65,144,119,313,10,23,1083,3432
POA3214,1807,3642,45,267,190,960,69,343,951,3742,1252,5306,103,429,119,394,547,1732,762,2554,2014,7859,36,172,143,571,94,336,837,2301,1102,3378,69,235,135,298,643,1415,844,1946,1950,5324,120,264,5897,17095
POA3215,2057,4083,28,172,188,856,44,193,1122,4272,1381,5489,119,502,178,626,483,1539,784,2667,2169,8154,13,48,69,245,20,90,362,976,463,1357,45,147,108,247,415,910,568,1299,1032,2657,103,209,5358,15109
POA3216,5681,11263,72,407,661,3000,113,507,3639,14218,4491,18133,370,1514,649,2203,1035,3180,2056,6890,6546,25021,21,77,168,574,54,180,719,1858,964,2693,110,355,297,656,711,1504,1125,2515,2089,5211,197,407,14507,41901
POA3217,640,1274,10,68,79,358,10,52,634,2414,736,2890,36,155,52,189,90,276,183,620,917,3509,3,9,19,57,5,17,89,239,110,329,19,43,24,51,51,98,92,201,201,528,27,49,1788,5368
POA3218,1323,2599,14,54,103,470,18,73,933,3596,1073,4192,68,267,134,452,158,499,358,1218,1433,5408,7,18,33,107,7,18,208,515,252,659,31,93,69,144,214,448,315,680,565,1346,57,119,3375,9473
POA3219,1941,3859,25,130,150,668,52,221,958,3598,1172,4615,94,400,136,456,391,1228,623,2086,1800,6700,22,90,68,244,42,147,426,1132,559,1610,45,157,120,240,446,945,612,1352,1177,2962,114,231,5025,13758
POA3220,1696,3313,16,103,183,838,9,36,971,3820,1187,4793,94,397,218,751,229,678,541,1830,1729,6619,8,24,40,131,4,21,159,393,208,565,13,50,91,206,205,421,317,676,524,1237,65,133,4005,11309
POA3221,73,142,0,0,10,43,0,4,55,240,69,287,8,38,15,44,20,67,44,152,110,438,0,3,0,0,0,3,7,15,12,22,3,12,3,4,7,13,7,28,22,50,0,0,201,632
POA3222,1827,3606,26,159,169,769,39,191,837,3310,1071,4433,98,420,152,515,360,1103,610,2036,1686,6469,8,34,45,182,21,68,228,622,303,907,25,78,74,174,208,440,304,693,614,1604,36,76,4162,11749
POA3223,1181,2339,6,36,46,220,20,75,261,1041,329,1370,21,71,36,124,141,443,196,636,524,2011,4,15,12,40,5,31,103,284,129,358,11,46,27,59,99,207,137,313,269,669,24,44,1995,5061
POA3224,1592,3157,26,139,165,760,30,156,951,3678,1179,4727,86,359,150,526,307,948,547,1829,1719,6556,10,49,45,163,22,69,226,634,307,918,28,81,69,163,184,396,279,639,584,1549,34,77,3931,11344
POA3225,625,1221,4,19,36,178,8,34,163,617,212,858,15,68,42,145,53,151,115,362,325,1216,4,15,9,21,5,16,41,100,50,149,7,16,14,26,44,79,61,119,107,276,8,14,1066,2721
POA3226,1505,2953,21,104,162,719,24,115,1038,4097,1243,5035,83,339,169,566,271,827,522,1740,1765,6770,3,31,36,128,13,42,220,569,277,766,22,70,52,109,155,329,232,509,510,1276,30,61,3805,11063
POA3227,507,980,6,18,66,302,9,59,371,1484,449,1860,29,120,52,173,65,188,152,478,596,2338,5,15,15,52,3,7,56,141,78,210,11,32,18,36,47,90,72,152,146,365,16,29,1267,3712
POA3228,1797,3506,33,159,256,1154,27,121,1530,6056,1847,7491,106,424,216,722,264,818,588,1961,2436,9451,3,20,46,169,4,23,190,525,253,730,18,65,72,154,163,315,254,536,502,1263,35,70,4773,14294
POA3230,334,655,3,11,32,142,5,25,136,529,174,708,9,27,23,68,44,137,78,232,248,946,0,0,3,14,0,3,27,57,32,76,3,13,8,23,32,54,45,86,75,160,3,9,658,1765
POA3231,180,348,0,4,13,57,0,12,52,208,72,282,7,25,16,49,14,51,38,125,108,400,0,0,3,12,0,0,19,45,25,55,0,3,14,27,11,18,22,42,43,99,0,3,333,858
POA3232,134,262,0,8,8,41,0,11,42,170,53,233,0,3,3,9,23,56,25,70,81,299,0,0,3,11,3,9,3,11,13,34,0,0,3,13,13,26,16,37,29,70,5,13,248,645
POA3233,259,509,4,10,11,62,0,0,92,357,107,427,3,7,20,55,30,82,50,143,158,574,0,4,3,7,0,0,21,57,23,71,0,0,11,11,29,56,42,73,68,148,6,9,487,1235
POA3234,26,48,0,0,0,0,0,0,7,33,7,33,0,0,0,3,0,0,0,3,10,34,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,3,3,3,0,9,0,3,35,91
POA3235,54,106,0,4,0,0,3,9,22,97,26,109,0,0,3,3,3,20,7,25,34,135,0,0,0,0,0,0,10,17,10,17,0,0,0,0,5,13,11,15,18,33,0,0,106,282
POA3236,30,53,0,0,0,0,0,0,11,34,11,34,0,0,0,0,4,11,3,9,15,51,0,0,3,11,0,6,0,3,3,17,0,0,0,7,6,13,9,20,11,29,0,3,55,137
POA3237,28,52,0,0,3,10,0,0,12,34,12,46,0,3,3,8,8,19,11,28,22,77,0,3,0,0,0,3,0,0,4,13,0,0,3,5,3,5,7,12,8,23,0,3,57,146
POA3238,29,61,0,5,0,7,0,0,11,30,9,42,0,3,4,10,3,7,8,15,20,60,0,0,0,0,0,6,3,3,3,7,0,0,0,3,0,0,0,3,3,13,0,0,56,133
POA3239,48,91,0,0,3,31,3,18,21,71,24,114,0,8,4,19,10,30,16,58,42,169,0,0,3,5,0,0,6,18,8,26,0,0,0,3,7,10,6,17,19,45,0,0,108,305
POA3240,209,421,3,25,40,176,4,21,154,614,199,832,34,127,24,81,54,176,111,383,306,1214,0,0,3,5,3,5,10,27,16,42,3,7,5,7,11,23,17,46,31,89,9,17,559,1737
POA3241,319,621,4,25,28,148,6,47,125,490,167,707,15,83,12,46,49,161,88,293,255,995,0,3,4,25,0,4,47,116,53,154,3,6,14,26,45,90,56,125,114,280,7,17,690,1908
POA3242,111,221,0,0,14,60,3,16,54,211,71,286,0,3,7,25,10,31,17,66,89,350,0,0,3,13,0,4,4,10,7,24,0,0,3,6,15,35,20,37,26,69,3,7,235,647
POA3243,39,82,0,11,6,20,0,0,24,91,28,120,0,13,3,13,6,18,11,42,38,160,0,4,0,3,0,0,3,9,7,18,0,0,0,0,0,3,0,3,7,17,4,7,90,270
POA3249,402,778,4,18,33,160,13,48,195,846,246,1072,26,96,22,72,73,225,115,389,362,1467,3,14,5,23,5,11,31,81,42,128,5,15,12,17,33,67,48,97,84,228,16,30,862,2496
POA3250,1221,2433,24,112,124,602,35,149,630,2582,814,3438,51,206,85,269,236,723,366,1196,1180,4637,14,68,36,123,18,59,233,655,302,908,23,69,46,89,181,387,248,542,547,1452,56,119,3008,8637
POA3251,53,103,0,12,5,27,3,6,23,99,34,147,3,15,4,15,9,42,20,71,53,218,0,0,0,0,0,3,3,13,4,18,0,0,0,0,19,37,19,37,25,52,3,6,132,383
POA3254,31,62,0,6,3,18,3,9,24,89,26,122,0,4,0,12,3,10,6,23,37,147,0,0,3,13,0,0,10,20,11,33,0,3,0,0,3,3,7,7,16,44,0,0,80,252
POA3260,607,1191,4,27,51,251,10,46,241,973,303,1302,17,76,33,102,93,300,147,476,450,1775,3,9,10,35,12,34,65,191,85,269,9,17,16,35,75,155,103,213,188,475,14,22,1251,3470
POA3264,221,432,0,3,20,109,3,30,107,441,138,585,14,62,27,81,34,104,72,251,215,835,0,3,4,37,4,17,38,109,45,168,8,27,6,15,42,81,58,127,102,290,9,24,544,1588
POA3265,281,556,13,95,51,254,10,37,175,698,244,1092,12,52,35,117,36,117,84,289,333,1382,0,3,3,10,3,9,23,58,28,74,3,16,3,11,32,73,41,89,70,168,7,21,691,2129
POA3266,359,715,7,54,43,204,4,30,166,680,223,970,16,72,30,97,69,215,119,391,338,1357,0,5,3,22,3,10,33,101,44,139,5,18,7,12,36,76,49,106,96,247,9,17,804,2334
POA3267,32,60,0,5,0,9,0,0,13,58,17,75,0,10,3,11,8,20,9,39,33,118,0,0,0,6,0,0,3,10,3,12,0,0,0,0,3,3,3,3,3,15,0,0,68,199
POA3268,288,561,4,30,43,193,3,18,143,585,189,825,10,55,29,105,43,140,91,294,282,1118,0,3,5,29,3,11,35,98,50,146,3,16,15,33,39,80,55,127,108,272,16,29,691,1986
POA3269,75,144,3,11,8,52,0,0,50,195,61,254,3,11,5,24,11,35,16,69,81,319,0,0,0,5,0,6,7,25,13,29,0,3,3,7,5,7,5,16,17,51,4,7,174,517
POA3270,28,54,0,0,0,5,0,0,16,58,17,57,4,10,0,0,3,3,4,15,22,70,0,0,0,0,0,4,3,5,4,11,0,0,0,0,0,3,0,3,9,15,0,3,51,138
POA3271,24,43,0,3,3,9,0,3,9,36,13,56,0,5,0,7,6,14,7,25,23,84,0,0,0,0,0,3,3,9,4,9,0,0,0,0,0,0,0,0,4,16,0,0,53,141
POA3272,197,389,3,16,16,66,6,39,78,324,101,442,8,22,4,16,21,57,34,101,136,539,0,0,3,12,0,5,29,76,30,95,5,14,6,4,24,46,30,68,59,162,6,17,403,1109
