POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA3216,20,165,87,113,155,140,72,98,13,874,26,110,61,71,92,129,43,96,153,782,1050,4112,3109,3098,4432,4600,2383,3236,405,26413
POA3217,4,20,8,10,30,36,11,16,0,132,0,14,11,5,14,21,8,19,26,118,169,386,353,368,651,727,371,476,42,3537
POA3218,8,20,34,25,45,45,16,28,4,220,11,24,16,19,37,38,12,28,53,240,288,900,748,778,1161,1249,708,908,105,6846
POA3219,12,44,42,43,86,71,33,35,11,363,11,32,22,35,64,57,16,26,83,352,316,1141,954,1088,1710,1461,796,852,181,8501
POA3220,4,47,30,23,34,48,18,41,4,249,9,36,21,18,30,45,20,38,54,265,285,1135,915,923,1178,1433,767,1353,127,8107
POA3221,0,4,5,0,0,3,0,0,0,16,0,3,5,0,3,0,0,0,3,12,11,70,48,35,44,59,28,77,7,371
POA3222,6,38,32,29,61,50,17,32,6,273,12,36,19,21,30,37,17,25,63,262,228,916,792,800,1094,1097,520,815,118,6397
POA3223,3,19,6,6,11,15,4,14,0,74,7,13,10,13,11,14,4,9,20,111,122,356,303,324,366,421,156,277,43,2377
POA3224,9,36,37,27,61,51,14,44,0,282,15,24,19,6,37,47,16,31,52,238,278,837,775,803,1190,1196,568,747,106,6503
POA3225,0,13,3,3,4,11,3,3,0,41,0,9,4,3,4,11,3,10,14,48,72,272,161,207,173,237,119,192,26,1455
POA3226,3,39,22,29,37,39,17,26,3,215,10,23,15,16,30,37,6,31,41,220,249,927,866,839,963,1218,555,878,103,6604
POA3227,0,12,11,10,11,3,3,4,0,59,3,9,6,8,4,8,5,8,17,76,96,343,274,304,278,326,196,316,34,2159
POA3228,7,36,33,42,46,49,18,41,0,279,11,52,28,23,27,56,21,39,53,312,351,1256,980,1030,1200,1576,750,1381,129,8649
POA3230,3,4,10,0,3,4,0,12,0,36,0,12,5,0,9,11,0,6,6,45,51,167,138,161,165,206,91,151,23,1153
POA3231,0,7,3,0,0,0,0,0,0,5,0,4,3,3,3,3,6,3,3,28,16,103,97,81,65,82,40,73,5,563
POA3232,0,4,0,0,3,0,0,0,0,7,0,3,3,3,0,4,0,3,4,24,33,71,62,75,67,73,32,85,11,504
POA3233,0,0,3,5,3,0,0,0,0,14,0,3,8,0,0,7,3,3,0,25,69,157,139,132,109,126,48,122,9,916
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,17,14,7,18,4,15,4,97
POA3235,0,0,0,0,3,0,0,3,0,11,0,0,0,3,0,0,0,0,0,10,11,17,39,22,30,31,12,32,3,207
POA3236,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,15,17,17,14,15,5,14,0,110
POA3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,3,22,14,12,11,17,6,22,6,115
POA3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,22,13,17,14,18,4,24,4,111
POA3239,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,9,11,28,11,22,31,23,17,36,9,189
POA3240,3,3,6,5,6,8,5,13,0,51,3,6,4,0,0,3,7,4,9,44,48,151,137,128,132,204,87,181,23,1078
POA3241,0,3,3,6,5,8,3,3,0,39,9,11,4,6,7,4,3,0,13,53,55,148,144,137,143,183,102,189,23,1110
POA3242,0,5,0,0,0,4,0,3,0,13,0,3,0,0,0,7,0,4,0,18,20,52,42,52,56,61,26,77,7,398
POA3243,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,12,12,29,24,25,14,29,13,52,0,203
POA3249,4,10,4,6,8,5,0,7,0,47,10,9,8,3,9,10,3,17,16,76,80,204,160,201,224,177,112,402,30,1588
POA3250,0,26,17,20,43,28,17,29,0,176,4,31,16,21,38,28,7,18,70,239,205,747,566,688,1089,721,500,657,128,5312
POA3251,0,3,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,14,30,19,22,34,33,13,70,4,250
POA3254,0,0,0,3,3,0,0,3,0,10,0,3,0,3,0,0,0,0,0,14,13,15,11,12,23,16,7,39,7,146
POA3260,0,16,7,0,8,15,6,10,0,67,3,14,7,4,9,13,7,9,22,85,91,282,230,245,258,302,188,447,49,2086
POA3264,0,4,3,3,9,9,0,6,0,35,5,5,0,4,3,3,4,3,9,41,34,119,104,89,114,148,109,173,26,916
POA3265,0,8,0,0,3,5,3,4,0,29,0,4,3,6,4,8,4,12,16,60,39,169,110,131,134,178,124,447,27,1357
POA3266,0,3,3,3,4,15,3,4,0,39,6,5,4,3,6,12,5,14,17,74,59,164,111,167,149,199,155,384,30,1422
POA3267,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,3,5,9,14,8,18,8,11,13,53,3,130
POA3268,3,9,4,0,4,5,0,3,0,27,7,11,4,0,3,3,0,9,17,45,69,171,113,133,116,160,80,391,28,1259
POA3269,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,3,17,27,44,29,31,28,50,20,122,9,352
POA3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,12,11,18,10,13,7,25,3,108
POA3271,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,10,8,7,10,10,48,3,98
POA3272,0,0,0,0,0,5,0,0,0,13,0,3,0,0,0,5,3,4,8,26,17,58,77,77,87,116,42,126,15,616
POA3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,3,3,12,7,21,3,56
POA3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,6,10,8,20,4,41,3,98
POA3275,0,0,0,0,3,3,7,0,0,13,0,0,0,0,0,0,0,0,3,9,16,36,18,24,43,34,24,42,3,235
POA3276,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,10,22,25,15,19,31,42,22,70,0,238
POA3277,3,5,12,10,12,6,3,8,0,47,3,7,4,10,9,4,4,7,9,51,65,106,95,121,126,151,78,209,28,974
POA3278,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,8,16,16,20,18,20,12,34,3,146
POA3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,25,16,13,8,10,11,46,7,142
POA3280,12,107,49,50,110,97,29,55,3,512,17,49,37,31,87,75,32,40,115,485,614,2166,1535,1916,2668,2387,1339,1676,260,14553
POA3281,0,6,3,3,0,8,0,8,0,29,0,0,0,3,3,6,4,6,5,32,41,124,87,103,117,128,82,168,29,883
POA3282,0,8,8,3,10,8,4,15,0,55,3,3,3,4,8,9,0,0,9,39,45,150,134,140,185,197,90,148,31,1118
POA3283,0,5,0,0,3,13,4,3,0,27,0,0,0,4,3,4,0,13,9,37,37,84,72,88,78,98,50,171,21,697
POA3284,0,9,3,4,4,4,3,0,0,34,0,8,3,3,8,10,3,6,4,50,98,179,170,183,197,230,114,207,21,1399
POA3285,0,0,4,0,3,0,0,0,0,10,3,3,3,5,3,3,3,0,6,32,26,75,71,63,67,82,53,133,13,590
POA3286,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,4,0,0,0,10,16,29,30,27,29,38,16,67,7,251
POA3287,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,9,16,5,24,16,19,12,36,30,80,6,245
POA3289,3,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,5,21,27,33,34,46,47,18,97,4,332
POA3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,9,7,6,0,18,0,73
POA3293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,20,11,16,6,15,14,41,3,133
POA3294,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,16,19,58,55,42,42,71,45,126,9,470
POA3300,7,27,17,20,40,41,21,26,4,204,9,11,11,10,22,16,9,11,26,133,214,610,485,601,741,751,427,553,75,4457
POA3301,0,3,3,0,5,3,0,0,0,12,0,0,0,0,3,4,4,4,3,14,22,64,69,83,84,85,50,165,13,643
POA3302,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,12,25,20,19,16,28,10,40,3,176
POA3303,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,3,8,7,12,17,18,21,22,15,49,3,163
POA3304,0,3,4,0,6,6,0,3,0,31,6,7,3,4,14,10,4,10,19,77,51,136,114,134,190,167,95,259,39,1185
POA3305,0,38,23,31,39,26,24,29,4,210,14,32,11,17,31,26,14,33,61,244,285,756,603,678,800,864,537,762,152,5454
POA3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,7,3,3,4,11,0,43
POA3310,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,21,17,16,15,24,0,32,0,127
POA3311,0,0,0,3,0,3,8,3,0,21,0,0,3,0,0,0,0,4,13,20,26,91,71,81,75,86,56,104,16,599
POA3312,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,4,0,8,19,56,50,43,45,100,32,152,0,488
POA3314,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,14,13,27,32,36,28,31,24,85,6,287
POA3315,0,0,0,4,0,3,0,3,0,17,3,0,3,0,3,5,0,3,5,20,28,78,86,80,85,116,55,186,22,725
POA3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,15,6,7,5,22,8,26,3,100
POA3318,0,3,3,3,4,3,0,4,0,16,3,0,0,0,0,3,0,0,4,14,31,75,46,75,64,90,32,126,15,559
POA3319,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,5,21,11,22,24,42,14,54,4,190
POA3321,3,0,3,0,7,5,5,5,0,30,0,3,0,3,4,6,6,4,9,29,35,90,83,84,127,139,65,145,23,793
POA3322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,15,11,3,14,5,13,3,77
POA3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,0,6,0,24,3,51
POA3324,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,3,7,11,10,31,14,25,24,33,16,57,12,217
POA3325,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,3,3,7,3,21,10,22,19,31,13,53,4,186
POA3328,0,3,0,3,10,12,0,6,0,38,3,0,0,3,8,9,3,3,6,29,28,101,84,115,163,146,63,128,17,846
POA3329,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,13,5,21,9,19,17,14,8,33,9,138
POA3330,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,9,4,7,9,16,11,15,3,89
POA3331,3,12,4,16,18,36,17,13,0,125,3,15,8,12,16,25,15,7,25,127,123,337,289,312,446,572,292,412,55,2831
POA3332,0,0,5,0,6,5,5,0,0,17,0,3,3,0,0,0,0,9,7,28,26,58,56,53,86,76,40,86,13,481
POA3333,0,4,0,0,3,0,3,0,0,10,0,0,0,0,3,5,0,0,3,14,15,40,49,39,48,67,31,84,10,379
POA3334,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,11,15,23,26,35,28,42,9,44,8,230
POA3335,4,10,4,11,25,16,5,16,3,94,11,0,11,10,36,23,4,13,38,148,115,238,213,281,711,632,271,322,78,2855
POA3337,11,62,43,60,132,139,61,103,9,629,23,61,42,69,161,175,53,66,165,825,563,1589,1367,1725,3306,3129,1359,1867,332,15248
POA3338,6,34,35,39,70,85,39,44,3,363,15,44,24,41,131,91,28,44,116,529,322,933,811,1042,2284,2024,907,1089,213,9618
POA3340,4,42,21,40,73,82,36,71,3,376,8,29,28,33,62,95,36,56,93,435,332,1164,907,1014,1654,1931,960,1509,199,9671
POA3341,0,3,0,3,11,5,3,7,0,34,0,3,0,0,7,7,6,0,6,34,38,107,73,90,133,175,79,146,14,852
POA3342,3,4,10,7,13,5,6,6,4,54,3,5,9,4,5,21,0,20,14,84,65,152,172,185,254,270,130,239,32,1494
POA3345,0,0,3,0,0,0,0,0,0,8,0,0,4,0,3,7,0,0,5,23,18,58,65,57,90,97,42,91,14,530
POA3350,31,139,100,119,169,123,85,95,10,873,37,99,40,62,119,121,38,96,185,791,1049,3831,2948,3395,4726,4597,2629,3508,444,27140
POA3351,10,21,12,18,29,34,10,19,0,151,21,10,6,10,27,25,8,25,36,180,169,464,404,471,665,633,352,543,73,3775
POA3352,10,41,25,25,49,48,25,52,4,279,16,30,28,22,34,38,27,30,59,286,323,983,844,930,1175,1284,699,1201,153,7604
POA3355,6,26,7,27,45,22,19,11,0,161,10,23,13,13,28,29,5,18,56,199,180,673,491,568,978,716,365,515,100,4590
POA3356,11,42,29,36,58,38,36,28,0,268,12,32,20,25,47,39,19,16,57,269,285,894,704,843,1440,1046,608,635,135,6586
POA3357,0,5,5,5,3,14,7,10,0,56,5,11,5,9,7,4,0,7,12,51,75,224,167,210,260,273,154,242,19,1623
POA3360,3,0,0,0,0,3,0,0,0,11,3,3,0,3,6,0,0,5,11,21,21,32,31,40,33,34,22,48,16,283
POA3361,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,5,15,34,28,31,16,34,24,61,10,240
POA3363,5,9,7,4,13,13,6,3,0,60,0,8,4,4,18,8,4,0,17,60,75,133,152,172,251,225,116,146,36,1298
POA3364,0,7,3,0,9,4,4,0,0,25,3,4,6,0,3,8,4,14,4,48,56,139,100,115,137,150,91,200,24,1018
POA3370,0,3,0,0,7,7,3,5,0,25,3,3,4,0,4,3,0,3,13,32,35,102,70,102,105,76,43,85,27,639
POA3371,0,3,3,0,0,0,0,3,0,13,3,4,5,3,0,3,0,5,4,26,25,41,59,30,52,52,20,48,6,336
POA3373,0,6,3,4,8,3,3,4,0,36,3,7,0,3,3,4,4,4,12,40,51,118,106,106,130,138,78,142,20,886
POA3374,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,9,18,23,25,33,38,11,36,3,189
POA3375,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,5,10,4,14,8,11,9,19,4,95
POA3377,5,23,12,23,27,26,9,22,3,149,3,22,14,4,20,18,4,23,34,143,176,485,369,502,685,699,280,517,74,3780
POA3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,0,15,3,28,0,74
POA3379,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,11,26,29,32,28,49,20,88,3,297
POA3380,3,12,8,10,6,19,4,9,3,69,7,11,9,5,10,22,4,4,15,88,118,275,249,312,388,502,209,317,56,2432
POA3381,0,0,3,0,4,3,0,0,0,15,3,0,3,0,0,3,0,3,3,13,50,89,53,75,83,98,30,112,3,591
POA3384,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,12,4,24,39,30,31,40,16,46,10,233
POA3385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,5,33,27,32,20,49,18,45,8,239
POA3387,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,10,15,24,10,30,6,49,5,152
POA3388,0,0,3,0,0,4,0,0,0,8,0,0,0,4,0,3,0,0,4,12,10,26,23,24,22,45,11,53,7,228
POA3390,3,0,0,0,0,3,0,0,0,12,0,3,0,3,3,5,0,3,5,18,16,55,46,42,43,76,30,56,7,374
POA3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,7,8,7,12,8,17,4,75
POA3392,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,3,15,6,21,23,26,27,38,10,42,5,199
POA3393,0,8,3,3,10,13,7,3,0,50,3,0,0,4,11,5,3,4,7,34,53,113,120,140,151,188,86,168,20,1048
POA3395,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,8,3,14,14,14,14,38,7,41,9,148
POA3396,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,5,8,17,34,30,31,27,63,27,70,7,301
POA3400,6,39,29,33,60,63,31,29,4,300,6,23,24,17,43,30,8,21,57,229,274,851,652,809,1293,1090,590,752,130,6443
POA3401,3,12,4,14,15,22,4,22,3,97,0,12,3,4,12,15,3,17,25,91,93,302,236,282,338,395,175,465,46,2326
POA3407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,13,16,33,23,18,17,28,20,49,16,218
POA3409,3,0,0,3,0,3,0,3,0,17,0,0,0,0,3,4,0,5,6,19,36,45,44,69,52,80,36,117,11,483
POA3412,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,4,13,12,17,16,18,5,27,4,117
POA3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,11,8,6,22,13,40,3,124
POA3414,3,0,0,0,10,0,0,0,0,18,3,3,4,3,7,3,0,3,9,29,27,64,63,78,125,125,50,106,14,646
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,3,0,8,0,19
POA3418,0,0,3,4,4,8,6,12,0,44,3,6,0,0,5,11,0,0,9,41,51,140,115,146,199,244,99,237,32,1271
POA3419,0,0,0,3,3,4,0,3,0,16,3,6,0,0,0,0,3,0,0,15,15,40,37,50,36,68,31,93,5,379
POA3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,8,18,15,8,16,13,59,3,143
POA3423,0,0,3,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,7,8,24,12,18,26,19,11,30,0,152
POA3424,0,0,4,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,6,31,31,38,35,49,24,78,6,296
POA3427,0,7,3,4,15,13,10,7,0,69,4,6,5,7,10,9,7,5,23,79,53,142,144,162,306,280,130,163,44,1420
POA3428,0,3,5,0,3,3,0,0,0,18,0,0,0,3,8,0,0,6,4,22,17,35,27,35,55,68,27,37,11,311
POA3429,23,91,73,68,137,145,77,110,5,738,24,58,41,46,125,145,44,66,120,675,591,2062,1823,2020,3530,3567,1732,2354,282,17959
POA3430,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,10,4,15,13,22,30,22,9,27,9,155
POA3431,0,5,13,8,14,16,7,23,0,95,0,8,3,5,14,21,3,15,8,80,83,238,256,238,336,396,193,291,33,2065
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12,7,12,18,3,26,3,88
POA3433,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,11,10,8,10,11,10,25,4,20,8,106
POA3434,3,14,12,7,17,16,16,22,0,106,3,4,7,3,18,21,6,7,16,91,104,287,232,274,397,474,247,355,44,2414
POA3435,3,3,8,9,8,11,10,12,0,62,4,4,4,8,11,14,5,5,14,70,63,149,138,161,212,237,130,219,30,1340
POA3437,3,26,26,23,20,25,20,30,0,175,7,28,20,14,24,41,19,24,28,210,184,666,539,551,739,926,518,880,77,5070
POA3438,0,10,6,5,0,6,4,5,0,34,0,3,8,3,3,5,0,8,3,34,49,162,121,126,159,197,107,187,12,1120
POA3440,0,0,3,7,3,5,3,3,0,30,3,0,7,4,0,6,3,7,5,45,37,121,114,106,119,182,94,147,17,935
POA3441,0,0,0,0,4,0,0,7,0,15,3,5,3,0,3,11,0,9,9,33,25,84,63,58,77,113,51,144,18,647
POA3442,0,13,8,26,14,14,12,20,0,106,9,12,13,16,15,21,11,15,23,131,147,478,396,426,469,626,320,523,40,3427
POA3444,5,24,8,22,23,36,12,27,0,160,4,26,14,12,20,17,14,17,38,168,155,546,477,553,528,729,346,608,86,4022
POA3446,0,3,0,0,3,3,0,0,0,21,0,7,3,3,3,8,0,0,0,28,8,88,66,74,82,69,38,62,8,489
POA3447,0,0,0,0,5,0,0,3,0,12,0,0,0,0,0,0,0,0,4,5,12,25,31,32,34,29,12,25,10,208
POA3448,0,0,3,0,3,3,0,4,0,10,3,0,0,0,0,0,3,3,0,12,22,57,49,51,53,69,33,73,3,401
POA3450,3,14,3,5,18,12,3,12,0,75,9,26,10,11,12,12,9,21,22,134,97,441,376,430,391,402,217,278,44,2675
POA3451,0,10,3,14,21,22,5,16,0,86,4,10,3,5,18,19,8,5,15,97,106,317,281,320,327,378,185,267,35,2212
POA3453,0,3,5,4,3,5,0,3,0,29,3,4,3,0,4,0,3,5,6,38,35,107,101,101,110,142,73,137,20,811
POA3458,0,3,0,3,3,4,0,3,0,21,3,3,4,4,5,6,3,4,5,49,47,113,97,123,114,143,47,132,11,836
POA3460,0,6,0,7,3,4,3,3,0,26,3,12,3,3,5,8,0,4,11,43,54,175,147,181,140,155,80,136,19,1078
POA3461,0,11,6,5,4,12,3,8,0,52,3,9,3,3,8,17,5,14,22,89,87,298,249,260,223,266,121,276,47,1824
POA3462,0,6,0,4,0,9,0,0,0,16,0,0,0,0,3,0,0,0,4,8,8,70,58,65,76,78,35,65,5,464
POA3463,0,3,4,3,3,7,0,4,0,26,0,7,0,4,10,10,3,3,11,45,41,142,134,118,133,148,66,156,23,970
POA3464,0,3,3,0,0,3,3,3,0,20,4,3,0,0,0,0,3,0,3,15,8,77,41,61,83,67,39,75,9,452
POA3465,7,18,18,15,28,20,10,11,3,125,4,14,15,13,23,23,11,15,26,154,138,468,415,460,624,500,246,390,75,3315
POA3467,0,4,0,0,5,3,6,0,0,15,0,0,0,0,3,3,3,0,8,26,18,58,41,43,51,78,19,71,12,402
POA3468,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,10,12,14,17,17,8,13,0,103
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,8,13,6,16,5,24,0,99
POA3472,0,0,0,0,3,3,3,0,0,6,0,3,0,3,5,3,8,0,7,32,15,43,60,52,66,59,40,57,16,412
POA3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16,13,12,16,10,6,28,5,109
POA3477,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,19,12,56,39,46,37,52,33,134,4,407
POA3478,0,7,3,6,7,4,0,8,0,40,4,8,0,7,12,4,3,3,8,47,47,135,122,117,186,125,81,131,31,975
POA3480,0,6,3,0,3,10,0,0,0,27,0,0,3,0,4,4,3,3,8,21,34,91,78,86,100,120,65,137,23,735
POA3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,7,7,6,4,15,3,19,0,54
POA3483,0,3,4,3,3,0,3,0,0,19,0,0,0,0,3,0,0,0,0,4,16,53,35,51,30,61,36,90,4,385
POA3485,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,21,17,12,9,14,12,34,0,120
POA3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,0,6,3,13,0,41
POA3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,7,3,18,0,46
POA3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,0,0,0,13,0,25
POA3490,0,9,0,0,5,3,3,0,0,20,0,3,0,0,0,3,0,0,3,12,28,76,57,48,62,104,44,118,9,547
POA3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,6,3,0,24,0,46
POA3494,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,4,0,3,4,26,9,16,36,24,73,59,39,72,7,334
POA3496,4,12,9,7,23,21,12,10,3,97,4,4,12,13,22,31,6,18,44,160,113,300,233,329,470,466,216,391,93,2611
POA3498,0,9,9,7,23,29,3,12,3,93,3,15,7,11,19,15,3,15,21,113,109,318,205,322,458,459,200,350,57,2493
POA3500,5,49,41,47,124,110,32,62,6,473,32,55,34,52,92,85,23,47,133,563,443,1595,1250,1605,2811,2245,1141,1717,278,13090
POA3501,3,0,4,0,8,3,3,5,0,33,0,3,7,7,8,15,0,5,8,44,46,110,88,116,158,196,89,177,16,991
POA3505,0,3,5,7,20,23,3,10,0,83,8,7,3,5,14,15,3,15,17,88,84,245,192,261,378,324,157,336,54,2030
POA3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,5,0,19
POA3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,11,3,6,3,16,0,54
POA3509,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,15,15,20,7,10,9,36,0,115
POA3512,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,10,4,16,9,29,9,35,17,58,4,185
POA3515,0,3,0,3,3,6,6,11,0,35,3,4,3,3,10,3,0,7,7,34,36,88,105,107,185,155,101,142,15,925
POA3516,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,3,11,11,47,24,31,28,60,26,72,10,315
POA3517,0,4,0,0,3,0,0,3,0,16,0,0,0,0,0,8,0,0,7,21,24,65,34,73,55,82,37,106,15,475
POA3518,0,0,0,0,0,0,0,3,0,3,3,3,3,6,0,3,0,0,6,30,22,62,39,43,60,46,23,96,12,401
POA3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,5,0,3,0,23
POA3521,0,0,0,0,0,3,3,0,0,10,0,0,0,6,4,3,0,3,6,16,16,38,30,31,43,69,30,41,9,305
POA3522,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,8,21,21,20,17,31,6,26,3,150
POA3523,3,3,5,3,7,4,3,13,0,43,0,11,3,0,15,11,4,3,21,62,58,146,145,134,189,198,84,174,35,1174
POA3525,0,3,3,0,4,3,4,4,0,17,5,0,0,3,7,6,0,3,7,37,23,58,61,69,68,90,31,116,13,528
POA3527,0,4,0,0,0,0,0,4,0,4,0,0,3,0,0,3,0,3,4,13,12,40,33,37,38,45,16,83,11,312
POA3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,5,3,17,4,18,0,58
POA3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,8,3,5,11,6,11,0,55
POA3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,4,9,4,4,25,0,72
POA3533,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,3,0,0,0,7,8,43,33,16,41,54,22,58,3,282
POA3537,0,5,0,0,0,4,0,0,0,15,0,0,0,0,0,3,0,4,7,16,28,55,34,51,42,73,30,85,11,405
POA3540,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,6,11,13,9,6,19,9,24,3,109
POA3542,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,7,14,9,12,3,21,3,71
