POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3241,6,0,12,3,4,10,0,7,0,46,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,12,7,3,5,0,0,0,3,4,0,21,129,145,146,88,55,48,48,61,12,730
POA3242,3,0,14,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,12,57,61,50,32,40,16,13,22,0,274
POA3243,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,42,27,16,14,5,3,5,9,3,126
POA3249,8,0,5,3,0,0,4,9,0,37,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,17,6,0,12,0,5,7,0,11,9,46,244,173,125,138,75,36,52,101,17,958
POA3250,22,9,80,33,18,22,14,61,0,258,0,0,0,0,0,0,0,4,0,6,3,3,3,4,6,4,3,6,5,36,17,7,23,17,7,9,10,35,18,145,341,569,554,526,277,186,169,397,44,3076
POA3251,0,0,5,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,12,38,18,22,14,6,7,7,18,0,130
POA3254,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,8,6,20,9,3,5,10,11,5,73
POA3260,13,8,37,9,9,3,0,10,0,91,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,3,0,0,20,17,7,9,6,8,3,8,13,0,75,259,273,201,155,97,49,64,115,15,1229
POA3264,3,0,16,0,0,3,0,3,0,29,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,5,3,0,3,4,5,9,27,77,109,112,84,42,35,27,45,10,532
POA3265,17,0,4,5,7,9,0,10,0,47,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,18,11,5,0,3,4,0,3,8,4,40,253,151,91,76,56,29,32,71,11,765
