POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3167,168,173,75,39,75,79,33,651,47,51,22,18,30,15,10,188,43,33,16,7,9,7,4,123,179,209,109,65,79,46,23,713,4,3,0,0,0,0,0,10,448,469,229,133,193,149,73,1683,12,17,9,14,12,11,3,82,15,16,8,5,3,6,3,50,3,8,4,7,5,6,0,35,11,19,18,11,18,10,4,92,3,0,0,0,0,0,0,12,44,64,37,30,42,34,13,273,495,527,265,160,239,187,84,1960
POA3168,688,371,171,72,111,87,43,1543,33,27,8,11,11,12,6,114,57,38,4,10,11,6,0,126,80,58,47,26,36,28,15,287,3,0,0,0,0,0,0,5,870,502,241,116,171,125,64,2083,43,51,21,17,25,47,22,230,3,12,6,6,6,7,3,40,0,5,3,3,6,4,4,19,10,16,9,8,12,6,5,73,4,4,0,0,0,0,0,9,60,80,46,33,49,58,39,369,931,586,285,149,221,190,103,2454
POA3169,757,553,262,171,272,215,140,2365,54,58,26,19,25,17,8,217,62,66,25,18,26,9,4,210,179,147,77,42,58,31,9,541,3,7,0,0,0,0,0,14,1061,829,392,251,378,268,162,3344,29,74,57,41,48,51,42,345,7,7,4,0,8,9,3,35,5,3,4,7,6,3,4,34,19,41,30,21,19,16,3,159,6,0,0,0,3,4,0,17,74,126,101,72,89,88,51,587,1132,958,495,323,472,357,205,3938
POA3170,518,478,240,145,218,174,118,1887,72,69,36,19,22,18,16,248,117,78,39,17,34,27,3,314,337,341,156,110,135,64,42,1190,4,3,0,3,0,0,0,10,1047,965,473,294,413,284,187,3656,39,58,27,26,45,30,24,257,12,13,11,11,13,7,3,69,0,11,20,3,4,8,0,47,32,48,48,20,42,26,9,235,5,4,4,0,5,0,0,22,90,135,106,71,109,72,38,624,1136,1102,586,358,520,356,221,4279
POA3171,951,752,398,248,405,269,176,3203,24,17,9,3,9,6,0,70,71,23,12,4,3,3,0,119,59,36,24,17,16,3,4,148,9,4,8,0,0,0,0,22,1110,830,449,273,441,284,178,3566,144,153,130,74,123,111,39,783,15,11,8,6,6,3,3,48,10,4,0,0,5,0,0,23,13,19,9,11,7,0,5,61,11,10,0,3,5,0,0,24,191,188,146,96,148,119,51,944,1301,1019,595,368,588,397,231,4504
POA3172,652,563,344,238,330,255,157,2529,65,88,37,26,31,10,10,274,92,87,46,30,44,27,11,327,274,391,185,128,178,106,45,1297,9,6,0,3,0,0,0,14,1088,1128,617,421,585,393,223,4451,102,116,93,65,104,89,40,615,12,23,9,11,12,7,0,83,10,12,8,14,8,3,3,58,29,63,58,35,53,21,12,271,11,16,9,4,7,3,0,52,176,227,179,123,178,126,62,1071,1259,1360,800,541,762,518,282,5524
POA3173,997,945,551,385,561,422,233,4095,111,114,49,30,21,22,3,344,126,97,49,18,35,18,9,357,260,210,113,89,91,38,12,816,7,3,4,8,0,4,3,35,1505,1368,771,532,710,504,261,5646,82,151,97,76,120,92,61,671,26,30,15,15,13,4,0,101,21,25,10,9,5,5,0,81,36,49,50,17,21,9,3,186,8,12,3,3,8,0,4,39,174,269,173,118,168,109,67,1080,1682,1639,939,648,875,612,331,6723
POA3174,1636,1166,591,395,525,385,215,4917,107,85,57,29,30,16,5,333,155,83,41,29,20,10,6,340,237,140,93,43,55,26,15,611,9,16,11,4,3,4,0,42,2146,1492,791,499,633,433,238,6238,216,282,177,142,209,133,87,1248,41,28,11,19,23,12,3,131,35,30,18,19,8,7,3,117,71,87,59,49,53,18,15,351,31,30,12,9,8,0,0,96,390,448,279,236,299,175,104,1941,2542,1938,1069,731,937,609,350,8180
POA3175,2392,2012,959,555,808,609,305,7639,160,130,58,34,57,27,16,478,198,128,48,30,49,25,7,485,335,262,155,73,108,59,29,1025,27,25,7,12,3,3,0,70,3118,2554,1219,705,1022,722,360,9701,232,276,236,158,248,174,112,1441,48,49,29,24,30,12,6,201,31,37,31,12,20,16,6,156,109,121,84,71,66,24,13,482,30,18,12,7,15,3,3,82,451,501,381,284,373,232,131,2356,3564,3055,1609,989,1394,958,495,12059
POA3177,472,401,192,110,169,99,38,1480,24,18,15,9,10,3,0,78,27,19,13,5,11,0,4,77,68,50,26,28,31,9,3,214,0,6,4,3,3,0,0,20,586,492,251,151,226,119,50,1870,51,78,48,28,52,35,17,306,18,14,9,8,5,0,0,62,5,14,8,7,11,5,0,45,65,73,42,20,24,9,0,235,11,14,6,3,3,0,0,39,155,186,113,70,95,48,15,689,744,679,367,217,325,159,68,2552
POA3178,607,542,358,249,390,399,223,2766,162,170,96,72,109,66,31,704,130,144,88,53,91,46,26,578,778,987,592,407,603,298,116,3783,4,11,4,0,3,3,3,30,1683,1853,1133,780,1192,812,399,7850,16,37,29,24,48,36,29,221,13,13,20,16,22,16,7,105,10,30,12,15,18,14,5,101,66,128,100,78,135,69,29,611,5,0,0,0,3,3,0,16,112,203,159,125,235,140,74,1051,1796,2055,1289,907,1427,951,474,8898
POA3179,100,149,85,71,93,79,45,619,25,26,10,5,12,3,0,81,28,21,12,11,11,3,3,89,114,133,100,46,61,34,11,503,0,0,0,0,0,0,0,5,275,330,209,134,180,119,65,1307,5,6,16,8,18,11,12,66,3,3,0,8,7,4,0,22,3,3,0,0,3,3,3,12,24,28,31,9,25,11,5,130,0,0,0,0,0,0,0,0,39,42,47,22,49,21,21,234,312,376,254,156,224,140,79,1536
POA3180,162,127,85,45,78,48,27,582,22,27,15,10,16,13,8,99,40,27,14,10,15,4,3,109,169,163,85,62,81,60,22,644,0,0,0,3,3,0,0,4,395,341,195,134,185,129,60,1445,5,13,4,11,15,8,3,60,0,7,4,5,4,0,0,25,4,8,8,3,12,0,0,30,23,37,44,23,34,14,9,180,0,0,4,0,0,0,0,3,37,61,55,37,69,24,19,305,436,405,257,172,251,155,78,1746
POA3181,135,68,34,23,19,18,6,308,73,52,24,19,21,12,9,203,57,46,25,7,13,15,3,162,330,201,104,65,78,32,21,831,3,0,0,0,0,0,0,3,601,362,183,117,128,76,42,1513,12,16,3,7,19,9,8,62,9,5,9,6,8,0,0,47,8,3,5,6,3,0,0,28,21,40,29,14,19,23,12,154,4,3,0,0,0,0,0,12,60,68,48,31,49,33,24,311,658,433,229,148,182,110,63,1823
POA3182,190,119,33,14,22,13,15,404,76,53,14,18,18,9,4,186,70,53,29,13,19,13,5,200,249,206,111,51,83,44,24,769,4,3,0,0,0,3,0,5,597,427,185,91,145,80,49,1571,7,23,6,3,6,9,3,61,8,16,3,3,14,9,5,63,8,11,12,4,8,3,9,53,20,41,19,26,35,17,19,175,0,0,0,0,0,0,0,9,44,96,48,35,57,41,34,359,641,519,233,133,204,116,88,1936
POA3183,216,160,74,47,54,25,7,577,225,172,71,38,55,15,10,583,160,133,60,47,48,21,17,483,431,347,176,99,118,52,23,1243,6,8,6,3,0,0,0,16,1040,820,389,231,270,102,59,2906,6,12,14,7,14,11,8,77,21,21,15,12,12,12,3,92,12,11,13,3,11,11,11,60,25,46,22,14,22,19,9,160,3,0,0,0,0,0,0,3,63,93,62,38,61,47,29,390,1100,908,454,265,331,153,86,3295
POA3184,137,91,38,17,16,17,7,320,112,80,35,18,14,9,8,277,100,72,23,15,22,13,3,244,331,312,161,95,131,66,40,1134,0,7,0,0,0,0,0,9,674,556,264,145,179,102,61,1985,4,14,4,11,8,0,0,51,18,18,8,10,11,8,3,70,13,12,4,4,11,3,0,45,37,55,33,23,29,17,12,203,0,0,0,3,0,0,0,5,72,104,56,47,59,32,13,381,749,659,321,192,240,140,69,2362
POA3185,135,110,52,27,31,29,14,400,147,143,65,40,46,23,15,480,91,83,43,23,39,17,8,300,347,396,226,119,165,82,43,1384,0,0,0,0,0,0,0,6,712,734,384,212,290,150,85,2561,3,16,10,9,8,10,3,61,9,14,8,5,6,9,5,52,4,3,9,5,3,3,3,32,19,33,28,27,24,14,4,144,0,0,0,0,0,0,0,3,38,68,59,35,50,31,19,298,751,800,444,254,337,183,105,2862
POA3186,183,219,156,85,136,98,56,935,134,140,81,58,67,43,39,562,106,152,87,45,61,41,28,518,499,638,459,313,415,251,156,2725,0,0,3,0,0,0,0,9,920,1145,786,504,679,432,282,4741,19,32,25,24,31,36,15,174,6,17,15,8,19,10,10,88,8,20,14,3,9,6,4,72,33,60,58,39,78,47,27,357,6,7,0,0,0,0,0,11,69,143,117,80,136,99,57,704,984,1283,900,586,815,528,344,5447
POA3187,149,236,151,68,141,71,51,867,109,117,72,47,58,41,17,457,94,133,71,49,50,21,15,437,367,529,339,198,259,150,82,1937,0,3,0,0,0,0,0,6,721,1017,631,367,507,287,171,3706,13,17,13,13,16,13,4,96,6,16,8,7,17,11,0,65,4,9,11,10,14,8,4,60,24,62,46,27,44,25,16,243,3,0,4,0,3,0,0,10,44,109,83,53,90,61,31,472,766,1126,720,421,598,350,200,4181
POA3188,209,249,114,79,117,65,40,880,105,135,84,48,59,36,25,486,132,151,83,55,97,42,28,595,452,548,344,219,331,206,117,2205,4,4,0,0,4,0,0,9,907,1083,624,410,608,350,206,4179,10,32,20,12,23,7,4,121,6,11,20,11,18,8,3,90,7,4,4,6,13,4,6,53,39,57,44,33,50,39,15,275,5,7,4,0,4,0,0,25,68,112,98,71,113,68,29,558,970,1193,723,478,721,413,230,4739
POA3189,91,69,21,22,32,28,10,278,46,45,11,7,10,3,3,134,33,28,14,13,12,7,3,99,182,151,72,55,46,27,8,543,0,3,0,0,0,0,0,4,355,293,120,97,98,64,23,1059,3,15,4,0,8,4,0,36,0,11,6,4,3,6,0,29,4,4,5,0,3,0,0,22,15,13,14,12,20,12,10,85,3,7,0,0,0,0,0,6,21,46,28,21,28,23,13,183,383,341,152,118,123,87,39,1238
POA3190,156,125,56,38,59,30,18,482,105,72,28,20,29,8,9,270,81,82,36,11,16,10,6,241,356,299,146,92,114,79,29,1115,4,3,3,0,0,0,0,13,688,583,276,158,220,128,58,2116,10,13,14,9,19,4,0,64,3,16,8,6,16,11,8,62,11,7,10,8,6,0,4,47,23,49,36,30,30,16,14,189,0,0,0,0,0,0,0,0,39,82,57,54,80,29,21,360,729,665,329,212,298,158,83,2474
POA3191,91,126,69,38,44,38,15,422,62,73,41,24,34,23,9,264,66,75,35,22,28,20,8,256,219,320,178,142,190,127,61,1234,3,0,0,0,0,0,0,4,440,588,324,229,298,203,95,2174,3,5,3,4,14,11,0,42,7,9,5,3,3,3,0,27,3,6,7,6,0,7,4,23,12,22,20,29,31,19,7,133,0,0,0,0,0,0,0,0,19,44,36,39,50,35,14,233,461,626,355,262,342,243,115,2405
POA3192,329,253,123,66,91,76,37,988,136,141,78,37,47,26,15,478,181,145,48,33,52,23,17,484,575,610,336,224,235,158,67,2209,5,4,0,0,0,0,0,11,1226,1159,593,360,424,286,134,4180,15,30,20,27,36,27,15,171,27,18,20,13,23,19,3,120,7,21,12,12,9,6,3,72,36,92,68,53,65,41,21,379,3,6,4,0,0,0,0,19,86,167,129,102,142,88,44,758,1314,1322,720,461,561,377,182,4933
POA3193,103,238,159,107,156,79,48,890,85,108,92,57,53,41,25,465,103,150,90,43,67,38,27,522,456,640,450,286,376,244,153,2609,0,0,0,0,0,0,0,8,745,1144,801,485,656,406,250,4484,0,16,14,7,15,12,11,73,3,13,14,10,17,6,10,75,3,6,11,9,12,0,7,44,18,55,40,32,46,29,13,237,0,0,0,0,3,0,0,3,33,86,75,58,89,54,41,437,778,1229,877,546,747,456,287,4921
POA3194,169,162,68,46,80,41,21,592,56,53,39,20,19,15,10,217,72,56,30,16,17,15,10,208,311,312,173,124,150,96,57,1226,0,4,6,3,0,0,0,16,610,589,317,212,271,165,90,2258,5,19,0,11,14,11,6,72,3,18,12,9,14,5,0,60,4,17,12,5,10,5,0,52,22,48,39,25,36,34,14,216,3,0,0,0,0,3,0,9,42,102,64,56,74,56,22,414,651,691,374,268,349,227,116,2674
POA3195,379,467,275,183,270,194,106,1869,221,243,129,84,106,43,21,849,199,236,121,79,114,63,33,854,1076,1258,706,426,564,322,149,4502,3,11,3,5,3,0,0,21,1878,2215,1239,780,1055,629,308,8098,19,42,31,18,42,33,24,199,20,32,27,20,26,21,7,152,14,17,18,12,17,10,7,85,78,132,89,87,131,63,32,609,6,3,3,0,0,3,0,20,135,232,162,136,209,116,64,1062,2010,2440,1398,923,1263,742,374,9156
POA3196,242,215,100,66,78,59,34,792,184,160,69,39,36,24,14,520,172,118,53,34,44,27,7,456,916,747,340,199,221,109,54,2582,3,10,3,0,0,0,0,18,1514,1244,562,338,380,218,108,4375,17,28,16,14,25,13,11,121,15,31,22,23,30,13,3,137,16,17,21,8,20,8,10,104,81,125,75,56,90,56,25,501,8,3,0,0,0,0,0,16,135,201,135,103,165,83,48,869,1652,1444,705,443,547,302,156,5245
POA3197,98,77,54,34,50,40,20,380,50,37,24,19,27,4,8,167,45,50,36,21,30,15,10,201,340,322,183,101,130,54,20,1146,0,3,0,0,0,0,0,5,528,486,293,175,234,118,64,1896,5,17,11,7,19,11,3,77,9,17,11,10,7,0,9,61,8,14,12,3,6,3,3,52,48,66,46,28,54,24,10,276,8,4,0,0,0,3,0,19,76,110,81,50,88,47,24,487,609,595,377,228,325,161,93,2386
POA3198,112,82,51,28,35,24,14,337,98,83,30,17,25,7,3,256,91,64,32,13,15,18,6,246,570,405,182,110,121,42,16,1447,5,4,0,3,0,0,0,12,866,635,294,171,199,88,33,2291,8,13,13,9,17,6,7,69,18,32,24,5,16,7,3,99,8,15,6,9,23,0,3,63,92,129,88,50,85,38,20,509,3,4,5,4,0,0,0,18,130,188,138,83,141,59,32,764,1002,822,432,249,344,145,65,3062
POA3199,355,375,237,157,221,107,57,1508,283,268,150,66,123,63,33,982,277,242,125,63,89,41,39,885,1610,1300,706,427,572,243,113,4969,9,9,8,0,8,0,3,32,2539,2194,1226,719,1014,450,241,8375,32,59,62,43,71,40,14,315,51,83,53,49,73,31,13,348,33,69,44,37,55,20,10,269,385,438,313,199,306,120,49,1823,20,11,7,12,5,0,0,67,527,669,478,334,511,215,89,2817,3064,2862,1700,1052,1522,668,333,11198
POA3200,55,43,24,11,12,3,4,150,8,7,3,0,0,0,0,20,19,11,11,3,0,0,0,43,115,109,58,26,26,8,3,342,4,0,0,0,0,0,0,3,197,168,91,46,46,13,4,561,16,18,18,7,11,7,3,75,6,18,14,5,8,0,0,48,6,16,5,0,3,0,0,31,99,114,55,25,42,13,5,359,9,16,7,0,0,0,0,28,137,173,95,48,63,19,5,539,333,341,183,91,107,35,14,1105
POA3201,277,251,145,79,118,79,38,979,95,87,46,37,34,12,0,315,109,91,46,15,38,18,3,311,689,541,287,154,219,78,19,1988,16,12,5,3,0,0,0,38,1186,989,520,280,409,185,66,3629,26,47,32,18,26,20,6,175,29,50,29,11,15,11,3,149,15,24,19,4,14,10,5,95,183,201,105,76,108,43,14,731,16,9,9,9,0,0,0,42,271,333,198,124,164,83,28,1195,1454,1316,716,406,572,270,90,4820
POA3202,64,85,48,32,30,23,12,294,14,35,7,8,5,3,4,81,6,22,6,3,5,9,0,54,64,91,43,26,27,9,3,262,0,0,0,0,0,3,0,4,151,236,107,71,72,42,22,694,0,0,3,0,10,4,3,24,3,3,6,3,0,0,0,17,0,6,3,3,4,0,0,16,6,11,12,3,10,0,0,43,0,0,0,0,0,0,0,3,14,19,30,12,19,9,3,100,165,248,132,85,94,53,23,803
POA3204,535,555,353,250,298,173,76,2243,160,210,128,82,109,69,33,792,172,188,117,75,97,64,25,729,695,798,500,329,436,246,154,3164,0,0,3,0,3,0,0,21,1570,1766,1100,732,945,544,295,6959,30,46,74,53,81,53,23,353,16,24,18,13,23,20,16,128,9,28,12,9,22,13,10,106,32,84,62,58,76,46,26,385,10,11,0,3,3,0,3,24,93,188,164,137,197,130,79,987,1662,1956,1269,867,1148,675,373,7944
POA3205,123,58,24,13,21,13,6,257,64,36,17,13,11,16,7,157,57,34,14,8,10,4,3,123,202,134,85,40,56,23,17,556,3,0,0,0,0,0,0,7,450,264,131,74,92,55,30,1102,22,21,10,14,24,14,9,110,6,8,8,7,4,3,0,36,7,7,8,0,4,0,0,29,17,32,16,15,20,9,7,122,6,4,0,3,0,0,0,14,52,81,41,43,51,31,19,312,504,348,171,114,139,84,53,1418
POA3206,110,84,35,31,23,10,15,308,40,59,40,12,22,14,7,189,77,65,38,13,24,8,3,218,304,311,171,123,123,62,39,1138,0,0,3,0,0,0,0,6,527,513,283,180,195,99,61,1863,0,10,4,3,10,11,3,33,3,13,7,5,6,3,0,44,4,12,7,7,7,3,4,35,6,26,23,14,20,10,4,112,0,3,0,0,0,0,0,5,20,55,43,30,45,28,12,230,542,569,328,211,245,126,71,2098
POA3207,190,87,50,28,31,20,11,410,119,67,34,26,23,10,4,281,120,60,40,19,15,11,4,258,381,278,134,74,98,65,23,1055,0,3,0,0,0,0,0,9,810,487,249,148,163,104,40,2015,23,38,24,6,20,11,7,121,6,12,10,9,9,0,3,51,13,10,13,3,7,8,0,41,36,41,27,25,37,16,9,196,3,3,3,3,0,0,0,14,76,102,83,52,71,36,13,432,883,597,335,197,236,140,59,2445
POA3211,3,3,0,0,3,0,4,18,7,3,5,0,0,0,0,20,0,3,9,3,4,7,0,30,35,46,27,15,32,10,3,172,0,0,0,0,0,0,0,5,50,61,40,24,43,21,11,243,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,15,0,0,0,0,0,0,0,3,6,16,4,0,4,3,0,40,0,0,0,0,0,0,0,0,7,18,6,4,11,8,0,56,59,80,46,31,50,22,10,300
POA3212,68,60,45,25,47,30,14,293,77,52,36,27,30,23,6,251,70,54,21,11,21,13,8,205,696,699,364,257,307,133,45,2500,3,0,0,0,0,0,0,3,920,865,469,323,407,196,68,3249,0,7,6,0,3,0,0,19,9,20,4,5,11,0,0,56,12,7,3,0,8,3,0,35,102,145,92,80,126,18,10,578,10,0,3,0,0,0,0,17,133,181,110,87,149,26,10,700,1046,1044,581,413,554,221,82,3949
POA3213,19,17,12,9,24,12,8,108,14,17,20,11,13,9,8,81,6,22,5,3,10,5,0,55,152,181,126,79,113,44,16,701,0,3,3,0,0,0,0,6,190,236,167,104,157,70,30,958,4,3,0,0,0,0,0,8,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,4,12,25,17,10,24,7,0,103,0,0,0,0,0,0,0,3,25,28,17,13,33,12,0,124,214,266,181,121,190,79,28,1080
POA3214,221,221,124,94,108,62,36,864,46,45,23,17,28,5,0,168,33,40,27,16,18,8,0,139,512,448,284,167,193,75,30,1708,16,13,3,0,0,0,0,29,826,760,466,288,348,154,65,2909,43,82,68,49,86,46,25,395,39,37,23,11,20,5,7,140,15,12,13,10,11,3,0,72,412,462,234,179,183,45,15,1524,26,30,29,12,14,8,3,113,537,630,370,258,302,103,55,2251,1366,1394,827,546,651,255,113,5160
POA3215,135,90,38,34,66,38,23,421,58,65,33,30,26,19,16,255,73,70,29,27,22,15,8,251,647,570,307,172,253,114,41,2116,8,3,3,3,0,0,0,22,921,803,414,267,372,190,93,3058,17,20,14,14,19,12,4,98,24,15,12,12,17,9,8,103,8,16,10,8,14,8,3,68,142,180,118,84,109,51,19,704,5,11,7,3,7,0,0,37,191,252,161,122,161,77,35,1007,1117,1052,579,390,532,262,129,4059
POA3216,352,332,162,147,172,93,43,1296,200,229,139,90,117,58,24,863,189,186,112,65,100,52,22,727,2166,1996,1084,657,908,423,201,7442,6,6,4,7,5,3,0,29,2915,2749,1503,969,1299,628,283,10347,15,19,18,6,23,22,12,114,39,45,30,38,43,17,5,217,25,28,15,14,21,8,3,113,236,363,277,222,307,135,52,1581,8,13,10,4,10,3,4,39,317,468,345,279,404,189,73,2073,3236,3212,1847,1247,1700,816,353,12422
POA3217,49,36,25,13,26,13,3,167,46,25,14,7,3,3,0,92,51,24,7,0,3,0,3,98,460,307,136,90,103,44,21,1167,4,0,0,0,0,0,0,9,615,394,183,110,142,64,28,1531,3,3,5,4,3,3,0,21,3,10,0,0,3,0,0,21,4,6,0,0,0,0,3,14,35,45,29,24,26,3,12,176,0,0,0,0,0,0,0,5,51,69,32,29,32,15,12,245,664,462,215,137,176,77,43,1773
POA3218,79,44,15,16,13,10,0,175,53,39,15,11,28,11,0,168,55,45,26,8,14,4,3,152,610,496,218,155,190,84,45,1796,7,6,0,0,0,0,0,11,800,635,282,188,242,108,48,2310,0,6,0,0,7,5,3,27,5,11,9,9,8,3,0,49,8,8,11,6,8,0,0,38,50,91,63,52,71,24,9,357,3,3,0,0,4,5,0,14,74,123,82,63,91,36,15,490,873,753,368,254,334,143,64,2796
POA3219,63,54,27,13,18,17,6,194,49,36,31,20,31,10,6,176,52,43,19,9,12,7,7,151,561,535,290,198,246,99,42,1973,7,3,3,3,0,0,0,19,732,676,370,234,299,128,58,2502,11,5,6,6,13,5,0,42,15,25,11,9,14,0,0,79,13,6,8,6,12,7,8,58,200,226,146,108,162,28,19,892,19,16,7,0,4,3,0,47,250,284,173,135,200,49,27,1117,986,959,542,370,502,173,79,3615
POA3220,93,72,31,21,18,16,5,248,59,52,34,27,52,16,5,241,61,47,17,17,26,11,3,180,547,556,334,227,311,146,66,2181,8,3,0,0,0,0,0,17,763,730,412,289,405,187,83,2868,0,0,3,3,9,0,0,20,9,12,8,3,11,7,9,54,8,14,7,0,4,7,6,41,43,72,54,44,80,26,15,333,3,0,0,0,4,0,0,8,64,100,67,52,106,38,31,460,826,825,480,345,512,228,112,3324
POA3221,0,0,0,0,0,0,0,0,5,3,0,0,3,3,0,12,0,0,3,0,0,0,0,8,43,38,27,19,19,10,0,164,0,0,0,0,0,0,0,3,46,38,31,22,26,14,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,13,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,13,50,48,33,27,27,11,3,199
POA3222,31,43,32,14,18,5,5,154,37,47,29,34,25,10,3,183,48,49,20,23,26,12,3,180,466,617,327,203,284,102,40,2035,3,0,5,0,0,0,0,10,580,757,411,272,358,129,54,2567,3,6,0,7,6,4,0,24,19,11,12,5,10,4,3,69,0,3,0,3,9,3,3,22,93,129,91,77,98,42,17,539,3,9,0,0,3,0,0,16,128,158,105,96,124,51,21,678,702,914,516,364,483,175,76,3237
POA3223,5,15,6,12,3,3,0,42,17,14,10,0,0,3,0,47,15,14,11,4,3,0,3,51,158,188,92,65,78,28,7,622,0,0,0,0,0,0,0,3,197,233,120,80,90,38,10,764,0,8,0,0,3,0,0,11,5,13,3,7,5,0,0,37,3,7,0,3,0,0,0,16,38,45,36,18,26,15,3,182,0,0,4,0,0,0,0,4,51,69,42,31,37,14,3,254,249,299,163,108,127,53,16,1021
POA3224,51,31,21,13,23,10,10,156,48,31,18,21,29,10,3,153,55,40,17,11,19,11,7,148,676,536,310,192,275,119,37,2143,0,6,3,3,3,0,0,13,823,639,372,237,338,149,50,2616,3,3,6,4,14,3,3,29,15,16,7,5,10,4,0,65,3,8,6,3,15,0,0,32,99,141,96,54,88,37,5,516,7,3,8,5,0,0,0,27,124,168,120,77,122,40,13,666,952,806,491,319,464,190,63,3287
POA3225,10,8,3,0,3,0,0,23,14,12,10,3,11,7,0,47,20,13,3,7,3,0,0,41,72,106,67,48,64,31,11,388,3,0,0,3,0,0,0,8,110,138,79,57,78,34,11,508,0,0,0,0,3,3,0,3,4,3,10,0,3,0,0,16,0,4,5,0,0,0,0,12,3,25,14,20,18,0,3,71,0,3,0,0,0,0,0,4,4,32,22,19,20,3,3,115,114,171,106,74,99,37,10,620
POA3226,24,51,24,16,23,4,3,143,71,77,39,30,37,14,3,269,53,81,25,18,14,9,3,199,614,672,338,203,277,100,49,2244,0,0,0,0,0,0,0,3,757,880,430,263,345,132,54,2857,9,8,3,0,3,0,0,23,14,18,13,3,8,0,0,62,4,14,10,5,3,3,0,41,54,118,62,62,68,25,12,404,8,0,3,0,0,0,0,12,89,167,96,75,88,31,12,537,843,1045,520,332,430,165,66,3400
POA3227,11,9,3,3,3,3,0,29,21,31,20,11,11,3,3,106,20,32,13,6,10,0,0,80,206,251,167,77,79,48,16,845,0,0,0,0,0,0,0,0,266,326,196,105,99,54,25,1063,0,0,0,0,0,0,0,4,0,3,3,3,7,0,0,18,0,0,0,4,4,0,0,10,10,30,36,17,23,14,7,131,0,0,0,0,0,0,0,0,14,33,39,24,28,11,8,155,277,362,237,124,133,61,29,1220
