POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3073,3,179,1229,868,634,388,110,36,30,3483,0,57,820,633,428,251,47,10,7,2259,3,15,572,589,351,156,43,4,3,1738,0,4,284,362,227,113,20,3,3,1022,0,6,289,443,318,129,24,8,3,1221,6,4,50,128,107,42,19,8,3,374,253,295,789,563,557,463,485,514,422,4330,2200,3345,9561,7348,6047,4807,3866,3323,1755,42261
POA3074,3,57,385,247,218,154,35,10,3,1112,0,18,195,162,100,83,20,0,0,583,3,3,107,110,62,57,10,0,0,353,0,3,51,60,45,30,9,0,0,187,0,0,57,66,36,25,3,4,0,202,0,5,19,17,14,21,8,4,0,84,102,113,265,160,156,185,223,172,50,1432,1037,1420,3323,2523,2364,2379,2241,1480,381,17149
POA3075,6,50,450,318,230,141,47,21,9,1269,3,7,246,215,139,82,14,3,3,713,0,14,143,164,83,48,11,9,0,476,0,0,73,82,58,27,3,4,0,258,0,6,76,115,55,21,3,3,0,283,0,0,25,22,34,7,12,3,0,104,139,116,269,218,196,199,217,163,50,1567,1315,1413,3673,3113,2630,2244,2135,1530,388,18445
POA3076,3,116,752,638,457,267,41,14,8,2299,0,40,418,449,289,167,31,4,3,1393,0,23,268,299,221,122,13,6,0,949,0,10,138,203,136,75,14,0,0,575,0,7,129,226,128,78,12,0,0,585,3,3,35,54,35,20,5,0,0,156,141,159,398,332,256,238,189,128,103,1945,1856,2233,5850,5039,3949,3149,1858,894,393,25212
POA3078,0,62,311,164,140,115,52,11,7,856,0,17,227,119,120,98,33,3,3,625,0,4,182,146,165,104,33,3,4,636,0,0,98,118,114,89,17,4,0,441,0,0,163,238,215,136,25,3,0,783,0,0,62,243,246,101,30,0,5,687,37,75,169,129,125,78,59,53,32,761,662,883,2121,1730,1773,1275,743,440,190,9832
POA3079,3,73,266,152,210,175,110,42,13,1042,0,22,264,152,189,139,81,25,18,880,0,5,185,193,206,180,68,27,8,875,0,4,128,140,170,116,40,13,5,610,0,0,151,330,307,230,78,16,3,1118,0,0,56,360,417,234,92,22,3,1187,73,64,123,132,135,107,118,87,104,936,1033,964,2065,2119,2421,2080,1423,750,448,13306
POA3081,0,45,306,200,153,122,38,10,3,875,0,16,234,148,82,66,17,3,0,569,0,6,159,126,88,64,4,4,0,454,0,0,83,92,62,29,0,4,0,272,0,0,99,139,86,45,12,0,0,381,0,0,24,50,33,18,3,4,0,135,107,106,240,198,202,172,126,83,67,1300,737,964,2504,1894,1671,1448,942,533,340,11042
POA3082,5,174,592,473,606,455,72,13,4,2392,0,44,422,284,399,246,48,0,3,1449,0,18,257,245,305,191,19,0,0,1041,0,9,135,168,199,143,18,3,0,673,0,7,116,200,248,136,12,0,0,718,0,0,20,40,83,39,9,0,0,193,166,130,266,237,242,244,150,93,37,1561,2037,2406,4367,3607,4596,4151,2131,1011,346,24647
POA3083,3,146,647,405,425,311,111,22,13,2073,0,52,388,332,296,176,53,6,3,1310,0,25,272,323,263,137,29,9,0,1069,0,5,109,202,172,99,17,3,0,609,0,13,131,301,248,129,24,5,0,848,0,3,35,116,123,65,26,5,0,373,161,266,402,201,199,193,249,219,195,2082,1915,3825,5554,3782,3706,3085,2685,1684,652,26892
POA3084,0,94,378,319,350,268,142,82,22,1655,0,34,327,274,272,239,95,38,19,1298,3,6,262,328,286,220,97,27,14,1237,0,4,161,288,273,187,39,23,3,979,0,3,234,506,412,285,93,20,9,1563,0,4,66,366,373,222,71,27,15,1131,89,75,189,186,163,148,181,214,205,1455,1384,1424,2979,3605,3430,2931,2440,1658,867,20716
POA3085,9,54,257,233,189,158,62,24,10,996,0,26,215,198,159,116,37,13,4,760,3,8,179,194,172,95,23,8,0,693,0,0,88,181,146,73,20,0,4,506,0,3,105,266,205,105,20,7,0,718,0,0,49,135,137,65,16,5,0,407,35,65,99,106,93,68,78,85,124,746,773,911,1844,2143,1872,1458,1107,712,421,11243
POA3086,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,7,6,4,0,0,0,0,97,341,434,70,28,4,3,0,0,0,885
POA3087,3,33,190,164,124,122,40,12,9,680,0,5,146,122,94,66,18,7,3,464,0,7,116,142,94,66,15,5,0,452,0,0,65,97,78,47,7,0,0,298,0,0,80,156,98,61,6,0,0,396,0,0,14,44,33,22,4,0,0,125,29,25,56,76,79,61,58,60,23,464,495,492,1236,1425,1119,1010,842,562,195,7378
POA3088,0,119,518,386,433,400,169,34,10,2071,0,47,423,389,353,270,105,17,5,1609,0,19,303,360,333,240,58,10,3,1325,0,3,193,318,229,174,49,7,0,974,0,5,203,465,358,279,33,10,0,1353,0,4,43,184,180,102,30,8,5,560,79,65,169,168,195,177,198,164,169,1374,1484,1490,3357,3853,3658,3502,2636,1272,574,21822
POA3089,0,67,204,161,225,168,41,6,3,882,0,22,147,181,165,129,26,3,4,667,0,7,114,161,182,126,19,5,0,618,0,6,65,128,133,88,12,0,0,433,0,5,86,180,225,141,18,0,0,653,0,0,19,93,131,74,9,0,0,334,60,41,71,83,94,70,63,30,13,522,944,833,1322,1612,1957,1524,814,287,101,9390
POA3090,0,19,18,22,48,35,11,4,0,153,0,5,29,16,32,24,11,3,0,117,0,3,19,25,39,28,10,0,0,131,0,0,6,14,36,12,3,0,0,72,0,0,9,31,63,37,5,0,0,156,0,0,4,37,52,22,9,0,0,125,15,14,19,14,17,11,12,4,0,105,231,174,191,293,451,282,184,70,11,1888
POA3091,0,9,16,16,31,19,12,0,0,109,0,6,11,5,30,17,17,0,0,77,0,3,5,10,29,32,8,3,0,86,0,0,8,9,21,9,4,3,0,53,0,0,0,19,27,20,6,0,0,79,0,0,5,16,20,15,9,0,0,71,20,14,13,18,18,16,18,3,0,118,138,127,124,155,299,224,179,52,16,1321
POA3093,0,18,67,52,43,48,38,17,3,288,0,8,56,57,60,46,16,10,3,256,0,3,43,45,37,53,11,0,0,201,0,0,27,37,37,22,11,4,0,137,0,0,26,54,66,48,19,9,5,221,0,0,12,49,70,39,14,0,3,185,10,15,23,26,25,31,25,16,9,179,221,226,433,505,516,522,436,256,154,3270
POA3094,0,29,194,161,138,108,67,7,6,703,4,11,126,130,98,87,43,5,3,514,0,8,103,140,105,79,23,3,0,461,0,0,51,111,97,86,13,0,0,368,0,0,79,200,140,83,13,10,0,535,0,0,11,67,71,37,3,0,0,199,37,19,47,53,75,60,55,37,21,395,489,421,1067,1395,1210,1190,949,383,132,7225
POA3095,3,132,296,306,404,431,200,41,4,1826,3,41,293,291,393,335,133,16,3,1512,0,13,220,341,422,322,93,10,3,1434,0,8,126,267,315,272,65,10,0,1069,0,5,158,539,559,398,110,11,3,1781,3,8,49,321,455,306,58,16,0,1208,120,93,124,152,245,212,157,93,76,1281,1980,1760,2412,3653,4435,4250,2582,911,317,22298
POA3096,0,9,29,26,40,24,8,0,0,142,0,0,16,24,30,29,9,0,0,114,0,0,16,15,22,16,5,0,0,74,0,0,13,22,21,19,3,0,0,77,0,0,9,15,29,19,3,0,0,73,0,0,4,8,10,12,0,0,0,34,11,9,10,11,16,17,11,6,0,94,178,137,194,204,296,271,192,87,58,1628
POA3097,0,10,10,14,24,16,12,3,0,91,0,3,8,9,14,13,6,4,0,57,0,0,8,17,28,8,9,5,0,73,0,0,4,12,15,9,3,0,0,47,0,0,6,22,27,19,3,0,0,87,0,0,3,20,42,20,10,0,0,96,20,5,5,9,22,18,17,3,0,96,119,84,88,178,261,195,177,42,10,1161
POA3099,0,18,50,61,104,84,26,3,0,352,0,3,53,75,74,50,23,8,0,287,0,3,34,63,79,45,7,0,0,230,0,0,16,43,31,62,7,3,0,168,0,0,14,51,58,55,20,8,0,209,0,0,0,25,45,24,6,3,0,108,30,9,21,42,46,47,35,11,6,246,367,272,403,669,740,810,455,158,46,3920
POA3101,4,123,430,247,255,216,154,76,45,1559,0,51,388,196,200,185,113,57,34,1233,3,24,326,207,232,201,133,36,36,1198,0,4,171,146,213,171,85,37,15,840,0,11,272,386,420,315,164,65,34,1668,0,11,111,565,836,513,240,82,70,2424,102,120,272,212,258,283,224,158,158,1786,1690,1907,3412,2979,3548,2946,2182,1215,763,20655
POA3102,0,24,107,54,90,55,45,20,7,395,0,14,69,71,83,44,24,8,3,311,0,0,52,50,70,49,31,11,6,263,0,0,40,48,77,55,18,4,3,243,0,3,57,119,132,87,34,12,5,454,0,3,21,155,194,77,23,8,3,486,34,26,44,56,76,40,40,36,15,370,466,420,674,861,1090,722,581,322,158,5294
POA3103,0,76,225,120,196,149,113,46,33,956,0,30,130,120,135,116,82,39,26,683,0,13,124,120,159,117,77,42,16,665,3,5,64,92,135,116,53,27,17,511,0,8,84,169,251,178,84,41,22,833,0,3,43,224,388,270,104,45,24,1107,86,43,85,79,118,110,110,106,139,870,1266,1105,1571,1652,2281,1948,1476,986,618,12898
POA3104,3,88,251,170,281,239,123,67,33,1253,0,29,174,147,219,185,75,44,25,896,0,21,142,172,248,169,89,36,22,896,0,4,71,137,187,149,49,17,15,631,0,6,76,289,398,242,100,35,27,1159,0,3,47,297,504,237,105,26,18,1240,84,63,85,130,163,119,104,100,65,923,1848,1452,1715,2268,3395,2483,1655,1097,678,16603
POA3105,0,47,177,103,156,102,58,24,6,671,0,16,143,105,115,70,29,13,3,487,0,4,94,116,116,58,34,19,6,455,0,3,52,81,112,51,19,6,0,334,0,5,67,178,144,76,23,14,4,515,3,3,33,93,128,66,23,11,0,363,41,36,87,95,81,69,84,106,40,641,606,627,1218,1335,1604,1219,1129,1108,384,9232
POA3106,3,76,232,155,193,210,128,36,9,1052,0,15,167,144,168,145,69,36,11,759,0,14,130,131,172,169,83,36,3,731,0,0,81,101,125,118,61,19,4,510,0,0,110,215,247,199,84,17,5,885,0,0,40,198,258,192,84,29,5,820,76,44,83,98,136,135,141,130,146,991,1048,1017,1715,1804,2384,2417,1952,1117,574,14028
POA3107,0,41,183,175,208,140,112,44,14,918,0,11,153,145,124,85,74,32,6,629,0,4,102,155,158,79,41,22,3,570,0,0,65,118,110,63,32,3,3,391,0,0,87,215,200,102,33,13,3,656,0,0,23,151,131,63,30,16,7,418,55,27,62,89,104,72,102,155,147,822,745,702,1359,1787,1884,1455,1557,1266,507,11266
POA3108,0,89,371,219,236,189,117,84,22,1328,0,34,282,185,174,149,72,50,18,962,0,12,210,197,186,136,58,27,8,835,0,6,110,150,158,101,38,20,13,582,0,3,143,252,225,123,50,33,15,843,0,4,59,171,156,89,44,30,13,570,61,76,212,88,143,127,150,183,146,1178,1218,1464,3152,2444,2659,2343,2169,1895,700,18052
POA3109,3,102,500,312,361,298,151,60,18,1809,0,41,302,311,269,192,91,25,18,1248,0,17,256,269,275,174,79,17,5,1085,0,9,142,233,203,145,44,11,3,789,0,4,191,416,333,218,51,17,7,1231,0,0,65,232,241,149,38,7,11,750,73,73,139,140,156,178,175,195,131,1262,1880,1722,3341,3705,3852,3434,2896,1977,829,23637
POA3111,0,54,153,152,146,151,90,35,17,797,0,13,140,120,142,122,45,24,6,604,0,11,98,125,136,113,41,20,3,542,0,0,54,82,114,77,36,4,0,376,0,0,57,183,173,118,34,10,6,589,0,0,26,142,199,120,57,19,3,564,60,42,77,98,102,89,82,114,119,783,808,713,1188,1478,1780,1559,1309,853,558,10235
POA3113,3,27,84,80,116,140,51,15,3,521,0,12,74,74,115,96,54,3,5,440,0,8,53,81,118,95,21,3,0,383,0,0,26,67,113,71,15,6,0,298,0,6,38,143,206,110,27,6,0,543,0,0,16,128,197,118,17,4,0,481,51,29,35,59,93,79,57,33,3,436,690,527,614,1038,1525,1240,765,288,66,6750
POA3114,0,14,29,19,65,49,24,4,0,208,0,12,24,35,58,47,20,8,0,198,0,7,22,29,55,36,7,7,3,159,0,0,10,29,34,24,11,0,0,116,0,0,6,64,79,50,21,3,0,224,3,0,4,69,133,84,15,8,0,313,13,17,8,16,49,37,26,10,5,173,378,280,190,402,741,533,343,161,38,3062
POA3115,3,32,31,35,62,46,31,7,0,246,0,4,18,32,53,44,10,0,0,155,0,3,25,45,59,51,13,5,0,194,0,3,10,39,47,37,16,3,0,163,0,0,15,49,74,54,14,7,0,209,0,0,5,42,89,61,14,4,0,228,28,19,10,25,39,37,15,11,3,204,370,314,254,408,706,590,347,124,24,3131
POA3116,4,44,208,149,174,141,73,9,4,808,0,13,127,110,117,94,32,11,0,502,0,4,107,95,122,69,25,5,0,431,0,7,45,69,83,52,17,0,0,261,0,0,68,112,118,62,17,3,0,380,3,0,18,32,51,37,11,4,3,165,40,49,65,50,81,83,69,67,21,529,683,651,1308,1197,1364,1236,1061,474,159,8127
POA3121,7,267,1407,365,251,176,96,24,3,2591,0,152,1358,419,213,134,68,7,3,2351,0,37,1203,476,234,173,69,12,4,2211,0,21,779,421,204,110,48,4,0,1588,0,15,1159,798,419,190,70,15,4,2677,4,11,465,716,485,245,77,15,4,2030,78,255,954,428,323,258,199,126,57,2671,896,2459,10133,4944,3384,2552,1735,983,349,27437
POA3122,4,181,787,225,175,153,123,48,18,1709,3,77,705,228,140,113,103,28,10,1412,0,26,600,284,166,144,76,37,11,1350,0,4,313,247,141,104,52,20,5,881,5,4,478,479,302,223,121,42,10,1663,0,18,152,578,645,376,169,47,17,1994,134,244,454,248,209,146,123,105,92,1766,1414,2827,5931,3223,2522,1890,1534,760,360,20455
POA3123,4,86,464,151,104,106,78,31,10,1037,0,41,353,145,96,84,68,29,15,818,0,21,262,175,132,106,54,25,11,785,0,6,165,153,104,72,44,14,3,570,0,8,255,322,204,153,54,17,4,1016,0,6,96,407,373,243,101,24,14,1267,60,78,238,120,112,110,84,59,37,891,759,1304,2997,2067,1640,1381,1037,556,299,12030
POA3124,4,107,327,166,229,184,156,71,40,1281,0,50,259,165,174,174,111,37,21,997,0,21,229,191,223,205,114,33,20,1044,0,0,132,151,190,145,81,28,14,743,0,3,187,390,441,327,117,45,28,1536,0,8,74,528,780,404,158,48,13,2018,70,96,143,131,178,123,147,160,233,1297,1562,1662,2391,2553,3239,2545,2034,1300,941,18224
POA3125,3,72,266,141,140,95,46,40,25,836,0,25,144,110,100,91,27,4,13,513,0,7,124,114,124,70,14,4,3,473,0,5,93,79,89,62,15,3,3,351,0,7,94,183,201,84,27,7,11,616,0,5,44,132,123,52,3,6,6,374,86,151,148,90,90,72,79,107,107,931,1292,2589,2561,1520,1584,1198,954,807,576,13071
POA3126,0,37,86,40,72,94,67,25,15,433,0,11,82,51,66,76,49,17,7,364,0,8,49,58,85,69,44,15,3,336,0,0,34,47,71,58,30,18,4,260,0,3,49,123,141,108,62,28,18,533,3,3,27,195,338,241,88,41,11,952,37,43,44,45,59,54,74,59,148,558,646,599,673,800,1206,1111,844,433,330,6654
POA3127,0,83,292,179,186,224,124,55,26,1176,0,31,249,167,171,166,83,32,13,910,0,22,175,160,219,187,89,31,20,888,0,4,105,159,167,143,43,12,10,643,0,4,165,375,386,287,96,24,14,1346,0,0,57,460,625,340,89,26,17,1617,65,76,92,102,141,101,92,69,45,781,1307,1312,1988,2348,2832,2414,1593,801,464,15049
POA3128,3,101,454,221,188,167,50,19,17,1224,3,35,272,183,160,122,28,11,5,816,4,14,184,173,177,107,27,7,3,680,3,12,108,147,131,89,12,6,5,505,3,9,134,266,253,137,22,6,3,835,0,12,47,163,196,72,21,3,6,514,92,177,239,126,177,134,102,97,131,1270,1335,2420,3955,2407,2380,1944,1191,911,540,17070
POA3129,0,76,297,219,248,184,92,33,11,1159,0,26,263,177,175,128,46,19,11,838,0,11,149,179,228,124,27,10,13,736,0,3,91,171,140,104,22,10,3,544,0,0,125,268,242,130,32,8,6,811,0,5,42,198,215,88,20,3,6,581,74,52,95,106,121,99,73,85,45,743,1124,1220,2404,2380,2459,1970,1343,929,437,14270
POA3130,0,139,533,429,400,282,182,67,41,2074,5,36,379,334,358,236,81,41,24,1493,3,19,280,338,391,227,71,27,18,1377,0,0,179,313,300,172,45,16,15,1041,0,0,230,592,559,308,72,18,3,1782,0,3,77,383,395,181,49,18,5,1111,110,68,191,210,205,194,183,324,334,1821,2032,1942,3854,4417,4489,3475,2571,2170,1262,26215
POA3131,3,70,451,342,282,206,79,41,14,1490,0,34,309,259,228,149,56,17,12,1060,0,12,237,290,209,122,33,12,3,909,0,0,133,233,169,84,24,7,4,655,0,6,160,396,279,115,30,13,7,1001,0,0,50,198,149,63,14,14,4,498,69,77,173,179,140,135,120,165,151,1209,1204,1329,3254,3371,2900,2293,1868,1474,831,18523
POA3132,3,64,340,250,205,193,79,15,6,1164,0,11,265,249,199,100,40,9,7,888,0,4,231,207,182,101,34,11,0,764,0,0,156,182,161,63,26,7,0,590,0,0,194,376,231,106,32,7,3,948,0,3,51,166,120,56,31,6,0,428,37,53,136,110,113,96,99,77,38,761,802,893,2546,2544,2175,1697,1347,847,299,13140
POA3133,0,80,308,273,276,280,134,68,18,1447,3,26,217,230,222,200,86,28,3,1016,0,13,149,254,233,160,83,27,5,919,3,0,103,215,188,126,52,8,10,711,0,3,108,364,330,221,54,21,3,1111,0,0,33,175,185,103,40,14,3,555,73,66,100,110,108,113,132,109,110,921,1480,1259,2190,2984,2978,2642,2631,1435,562,18158
POA3134,6,156,655,496,513,374,199,62,26,2477,0,36,473,388,405,271,101,10,10,1685,0,28,341,397,365,260,68,24,3,1481,0,9,193,305,313,210,40,6,3,1071,0,11,223,495,448,270,48,10,5,1502,0,0,70,244,301,157,39,7,4,828,130,88,195,220,237,188,194,153,120,1532,2063,1973,4403,4682,4567,3793,2814,1547,818,26651
POA3135,0,76,387,313,308,223,118,49,14,1482,0,27,284,276,268,172,52,12,5,1104,0,11,212,311,205,169,35,4,4,952,0,0,128,211,181,97,18,5,0,648,3,3,140,370,273,134,36,17,3,972,0,0,36,131,126,64,24,11,0,389,80,54,132,135,145,117,125,109,80,979,1166,1106,2600,3022,2793,2162,1814,1046,437,16147
POA3136,3,193,907,680,657,561,219,43,38,3318,0,77,711,541,533,364,125,27,6,2397,0,22,504,518,505,322,70,15,10,1974,0,11,273,351,332,238,51,8,5,1269,0,9,326,605,480,322,63,21,3,1828,0,9,63,209,251,150,40,5,6,734,174,150,366,323,324,297,293,299,218,2437,2656,2684,6208,6001,5936,5204,4046,2387,1088,36214
POA3137,0,91,301,224,219,191,55,21,11,1107,0,28,221,167,158,132,19,3,3,726,0,11,164,125,134,77,17,3,3,525,0,10,56,98,97,58,15,0,0,334,3,3,65,129,135,59,15,0,3,407,0,0,13,32,56,31,5,7,3,147,74,59,134,107,113,111,133,96,121,961,816,898,1943,1726,1852,1641,1279,697,446,11304
POA3138,0,131,495,391,345,281,93,13,8,1756,0,43,345,266,259,185,47,0,0,1146,0,15,274,222,219,163,24,3,3,927,0,0,114,183,167,99,12,3,0,577,0,5,142,227,210,133,26,0,0,735,0,0,23,66,79,44,13,3,0,238,92,85,177,123,167,140,170,132,82,1159,1460,1490,3332,2912,2861,2533,1892,847,299,17633
POA3139,8,68,213,231,254,210,68,6,5,1057,0,23,170,168,151,134,26,9,0,674,0,12,110,114,139,98,24,7,0,500,0,0,55,77,94,57,3,0,0,292,0,4,40,92,87,59,18,7,0,307,0,3,14,37,46,32,19,0,4,145,100,70,100,129,155,137,102,60,18,872,937,840,1629,1847,2037,1794,1189,483,146,10911
POA3140,0,87,317,256,282,215,82,20,15,1265,0,24,213,192,210,121,39,5,0,816,0,7,151,155,172,131,28,5,9,651,0,8,60,132,150,75,16,0,0,435,0,3,80,168,183,75,12,3,3,529,0,0,23,54,80,50,11,3,3,218,85,79,105,149,159,138,125,99,50,977,1139,1065,1993,2176,2439,1929,1513,857,348,13467
POA3141,10,279,1217,248,163,137,101,51,17,2231,3,145,1151,272,163,110,89,29,4,1975,3,56,976,345,178,117,83,20,9,1791,4,30,652,277,137,78,52,30,7,1266,3,24,936,576,268,181,127,47,16,2181,0,16,360,498,470,361,212,76,18,2008,123,308,974,410,283,247,194,123,48,2717,949,2870,8853,3533,2397,1981,1583,902,298,23359
POA3142,3,93,273,104,102,106,133,51,23,887,5,35,279,75,86,83,89,45,20,710,5,17,215,123,90,119,93,58,22,741,0,4,108,90,72,79,72,49,15,489,0,10,182,211,156,165,190,105,57,1081,0,13,96,266,491,487,437,167,100,2055,72,81,196,115,114,144,171,121,97,1109,621,949,2048,1374,1579,1675,1742,977,504,11480
POA3143,0,59,271,125,80,62,75,28,10,720,0,25,193,94,70,58,55,14,4,520,0,7,199,106,85,67,38,16,7,530,0,0,118,67,68,43,28,9,8,341,0,4,191,203,107,98,71,23,9,695,0,3,74,247,265,171,96,50,14,910,45,49,162,115,88,76,73,63,51,729,403,657,1888,1339,1096,890,833,483,237,7817
POA3144,0,46,213,87,103,107,82,49,18,700,6,22,185,83,81,61,65,44,18,558,3,10,133,110,91,97,70,41,25,579,0,5,97,75,71,72,61,34,10,424,0,0,139,179,172,155,94,60,19,821,0,0,61,377,415,273,128,90,30,1372,39,43,89,111,99,82,102,102,84,746,599,651,1488,1384,1417,1217,1091,769,378,8997
POA3145,7,135,443,214,239,221,137,48,15,1458,3,68,309,202,189,161,92,27,11,1065,3,25,248,234,231,186,65,30,16,1038,0,11,137,187,219,122,66,13,16,768,0,13,184,395,430,253,68,20,20,1387,6,9,89,601,705,299,102,36,6,1847,97,142,191,138,194,151,123,104,80,1218,1500,2688,3292,2911,3236,2445,1735,992,522,19311
POA3146,3,144,479,262,261,246,150,52,41,1638,0,41,452,219,259,189,124,50,15,1355,0,25,347,264,254,197,99,36,7,1223,0,7,214,226,220,181,61,11,12,928,0,4,327,513,504,350,109,36,20,1873,0,3,148,748,887,415,115,31,15,2355,100,103,240,187,205,179,115,113,66,1299,1662,1753,3582,3393,3729,2828,1952,1062,525,20484
POA3147,0,55,214,142,169,125,85,16,16,817,0,16,154,132,127,116,39,6,4,604,0,7,156,147,154,105,32,12,5,618,0,7,80,128,129,90,18,4,4,467,0,0,151,346,284,147,36,8,3,976,0,0,59,296,311,109,24,8,5,806,55,48,153,148,138,119,91,89,123,957,856,928,1842,2103,2142,1646,1082,665,464,11719
POA3148,0,42,269,132,108,62,26,11,4,654,0,22,173,112,63,42,10,3,0,422,0,0,131,86,72,37,11,5,0,336,0,6,81,81,42,38,0,3,0,259,0,3,108,153,89,29,9,4,0,397,0,0,32,95,42,12,4,4,0,194,26,60,172,88,55,55,50,59,15,588,395,817,1952,1282,959,772,571,417,128,7300
POA3149,7,135,549,373,441,319,190,103,38,2155,0,54,419,328,394,247,106,55,35,1648,0,21,279,356,387,232,72,42,10,1399,0,6,187,285,332,196,50,20,8,1092,0,3,233,542,547,341,95,38,18,1809,0,5,49,320,401,212,54,22,20,1084,119,142,212,211,247,199,203,213,126,1671,2221,2439,4012,4249,4880,3665,2889,2520,1034,27906
POA3150,4,247,876,728,833,587,393,162,67,3894,0,102,600,562,608,457,237,76,37,2692,0,38,401,559,608,422,184,71,15,2296,0,9,260,449,457,350,105,34,15,1681,0,9,312,881,874,568,170,58,17,2887,0,13,106,438,656,427,131,41,21,1830,210,191,282,312,346,315,344,409,350,2751,4307,4200,6383,7442,8362,7049,6358,4312,1818,50244
POA3151,0,42,172,139,119,107,53,34,6,663,0,8,128,96,105,68,32,16,4,452,0,9,64,105,80,52,25,5,0,342,0,0,46,80,92,47,15,4,0,287,0,3,47,114,100,68,10,5,7,361,0,0,19,58,46,47,15,3,0,190,33,35,62,49,72,56,84,91,30,511,573,971,1419,1259,1262,1092,1069,889,269,8808
POA3152,3,171,600,401,492,482,179,43,24,2387,0,55,484,340,360,339,80,20,10,1684,0,24,301,335,331,284,77,7,4,1371,0,3,159,264,240,248,43,7,4,961,3,9,188,384,413,313,53,7,3,1375,0,0,49,145,237,171,27,8,4,637,80,90,160,172,176,237,194,219,274,1611,2106,2243,4120,4041,4359,4880,3249,1711,1147,27857
POA3153,4,92,567,370,336,230,63,16,5,1682,0,44,380,294,224,168,53,0,0,1164,0,12,257,207,159,143,31,3,6,811,0,3,132,161,136,55,16,3,0,504,0,6,120,189,125,74,13,0,0,535,0,0,24,49,30,23,3,3,3,136,72,85,217,192,188,155,175,177,224,1483,1023,1258,3483,2924,2620,2252,1837,973,542,16918
POA3154,0,17,95,77,81,62,24,0,3,352,0,6,57,67,59,41,8,0,0,235,0,0,45,55,75,35,4,0,0,216,0,3,15,57,30,28,0,0,0,136,0,0,24,42,52,23,3,0,0,147,0,0,13,16,17,16,4,0,0,55,20,18,33,41,45,33,35,34,61,310,274,224,541,646,660,558,373,159,110,3541
POA3155,4,82,543,375,381,263,115,18,9,1786,0,26,423,284,206,177,40,12,6,1182,0,13,234,256,170,129,26,6,0,839,0,7,140,145,113,82,13,3,3,513,0,0,123,205,163,97,26,6,3,627,0,0,24,50,34,30,17,4,0,155,84,82,246,195,157,181,193,137,87,1366,1080,1336,3556,3137,2774,2718,2170,1199,434,18395
POA3156,12,182,666,589,712,563,158,34,9,2925,0,68,522,461,490,351,83,6,7,1980,0,22,373,479,437,271,49,10,4,1633,0,6,200,329,315,189,26,8,0,1078,0,5,206,442,406,273,35,10,6,1370,0,3,41,186,231,125,33,11,4,626,165,152,267,277,361,260,249,203,165,2099,2485,2453,4700,5161,5719,4734,3222,1540,635,30652
