POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3719,56,26,21,15,17,9,4,21,3,166
POA3720,48,19,39,28,28,17,11,36,4,231
POA3722,353,355,410,277,242,254,117,270,41,2334
POA3723,263,202,175,131,104,102,74,167,21,1238
POA3725,72,34,46,29,35,17,19,46,4,296
POA3726,75,15,17,11,22,5,11,18,7,178
POA3727,38,11,15,5,9,13,9,17,3,118
POA3728,67,24,31,17,25,29,31,44,7,270
POA3730,453,457,558,434,332,324,202,480,59,3294
POA3732,83,40,41,27,24,10,20,34,3,284
POA3733,24,24,10,13,13,3,0,19,3,105
POA3735,103,40,38,31,25,18,25,43,5,322
POA3737,256,257,303,212,167,200,196,251,34,1866
POA3738,18,11,11,12,13,11,19,16,0,116
POA3739,35,9,12,14,9,0,3,21,0,109
POA3740,119,73,89,64,51,40,22,60,6,526
POA3741,239,200,198,158,137,146,63,184,28,1349
POA3744,29,34,39,27,17,13,4,37,4,210
POA3746,16,25,37,21,15,13,13,16,0,158
POA3747,342,528,253,280,175,153,85,185,32,2033
POA3749,151,229,126,95,99,55,44,90,16,903
POA3750,391,757,585,465,589,401,502,423,67,4180
POA3751,16,7,18,7,10,16,10,16,3,108
POA3752,1287,2116,1702,1319,1909,1415,869,1008,193,11819
POA3753,138,155,192,125,193,96,93,87,29,1110
POA3754,2169,3257,3059,2223,2897,1892,1189,1469,303,18459
POA3755,24,12,24,5,16,13,6,13,5,122
POA3756,577,696,1061,588,884,564,598,541,95,5606
POA3757,489,595,879,465,565,368,282,369,74,4078
POA3758,124,135,262,107,148,85,105,102,17,1088
POA3759,87,135,112,55,71,48,17,41,14,577
POA3760,40,45,35,23,34,17,3,23,0,217
POA3761,72,146,121,62,92,45,27,45,10,617
POA3762,17,9,13,10,5,3,8,0,0,70
POA3763,85,97,174,113,89,43,60,77,16,748
POA3764,486,580,688,452,544,372,342,444,64,3966
POA3765,396,642,655,346,499,308,149,300,62,3360
POA3766,95,185,96,76,78,51,36,33,14,653
POA3767,84,203,88,70,49,52,11,46,10,614
POA3770,258,218,354,146,224,149,106,207,29,1698
POA3775,334,327,362,178,244,194,106,182,40,1965
POA3777,642,768,920,592,536,360,326,581,114,4841
POA3778,13,8,21,9,8,9,5,21,3,106
POA3779,34,22,21,24,15,27,3,23,0,168
POA3781,232,331,498,237,309,158,184,272,34,2256
POA3782,530,750,808,401,503,336,214,335,39,3921
POA3783,148,214,273,113,128,83,90,109,7,1168
POA3785,3,16,9,5,5,0,0,0,0,34
POA3786,131,249,105,81,81,59,16,52,15,782
POA3787,111,152,74,67,77,30,9,26,4,559
POA3788,187,233,127,98,96,58,19,56,16,875
POA3789,28,34,15,20,12,11,3,5,3,129
POA3791,117,240,108,75,77,47,16,55,9,753
POA3792,70,152,86,54,48,29,20,41,8,518
POA3793,261,274,339,203,203,148,98,178,30,1737
POA3795,129,81,115,60,83,46,35,62,14,635
POA3796,604,826,997,605,679,466,305,447,92,5023
POA3797,173,152,301,179,174,119,139,211,31,1483
POA3799,244,314,461,306,222,190,223,338,46,2334
POA3800,23,73,7,91,33,90,7,24,0,361
POA3802,1070,1960,1763,1111,1587,1139,961,1195,210,10991
POA3803,347,597,715,534,609,439,522,643,95,4496
POA3804,626,700,661,339,696,488,223,313,73,4125
POA3805,2660,3857,4490,2859,4121,3090,2479,2977,495,27030
POA3806,3231,4853,3434,2355,3749,2576,1257,1773,317,23535
POA3807,518,652,604,355,638,457,167,336,71,3802
POA3808,276,302,280,133,236,148,65,105,27,1565
POA3809,491,715,670,419,649,435,247,292,43,3959
POA3810,2101,2874,3738,2455,3023,2403,2026,2570,340,21530
POA3812,203,147,251,102,158,123,105,124,27,1237
POA3813,63,58,76,47,52,39,43,40,9,421
POA3814,164,140,219,103,135,83,98,103,22,1063
POA3815,203,178,275,141,196,102,120,135,27,1382
POA3816,198,117,214,124,116,107,110,194,19,1207
POA3818,793,895,1008,630,650,508,489,838,110,5920
POA3820,850,1398,1128,824,855,624,373,862,103,7009
POA3821,331,261,219,122,153,96,84,184,15,1471
POA3822,94,64,81,49,47,29,39,56,10,468
POA3823,122,126,126,105,98,87,63,107,10,848
POA3824,323,362,389,254,248,175,163,265,38,2211
POA3825,689,931,1466,1011,930,811,588,1018,170,7618
POA3831,150,136,119,67,83,50,59,85,14,753
POA3832,36,9,13,16,10,4,3,11,6,102
POA3833,37,8,19,11,14,5,13,13,0,126
POA3835,73,36,28,13,21,8,20,25,4,224
POA3840,517,727,992,678,782,690,521,789,112,5802
POA3842,124,259,288,230,212,204,128,230,36,1726
POA3844,1354,2356,2237,1438,1865,1258,895,1310,232,12947
POA3847,178,134,164,99,94,76,88,108,15,965
POA3850,708,1260,988,792,672,637,298,758,105,6220
POA3851,399,257,330,195,185,158,123,255,38,1939
POA3852,35,17,3,3,4,0,0,0,0,69
POA3854,112,104,124,63,97,50,76,82,15,709
POA3856,44,62,83,45,60,46,54,55,7,468
POA3857,26,29,32,15,18,21,19,31,0,192
POA3858,262,118,197,127,127,97,135,185,24,1274
POA3859,131,53,62,26,37,21,37,48,6,426
POA3860,421,478,558,382,340,206,271,390,45,3089
POA3862,264,177,264,162,137,125,116,172,21,1441
POA3864,37,10,12,15,6,3,6,16,0,107
POA3865,34,23,31,20,22,12,15,35,10,199
POA3869,109,105,155,83,102,56,79,65,16,777
POA3870,97,81,83,60,67,40,51,69,11,549
POA3871,228,205,196,124,118,101,81,121,25,1207
POA3873,38,23,12,8,9,9,13,27,3,138
POA3874,62,25,39,19,23,21,8,43,3,249
POA3875,953,1139,1130,926,844,828,490,1048,128,7474
POA3878,58,82,54,53,53,47,21,56,5,434
POA3880,140,209,192,182,126,127,56,126,21,1182
POA3882,64,44,74,59,63,47,32,65,3,460
POA3885,167,114,120,101,78,57,77,111,11,836
POA3886,28,23,22,19,11,10,13,21,7,151
POA3887,19,25,13,11,11,8,12,24,7,120
POA3888,259,171,134,163,126,97,84,161,21,1218
POA3889,19,3,11,5,4,0,0,10,0,48
POA3890,27,9,4,22,8,0,6,5,6,102
POA3891,15,3,7,0,3,0,0,13,0,44
POA3892,55,64,68,49,31,40,7,58,3,372
POA3893,7,0,0,0,0,0,0,3,0,15
POA3895,36,8,12,7,9,0,7,9,0,92
POA3896,48,27,20,16,7,4,19,25,6,168
POA3898,83,28,37,50,26,18,23,69,8,336
POA3900,34,5,7,3,5,4,3,13,3,75
POA3902,23,20,29,17,23,18,12,29,3,168
POA3903,45,39,49,39,36,20,14,26,7,286
POA3904,83,106,83,60,70,48,14,56,6,525
POA3909,363,365,408,393,296,301,124,401,52,2705
POA3910,1377,1675,2362,1399,1870,1377,687,1097,172,12025
POA3911,198,239,359,151,244,205,99,204,51,1756
POA3912,895,1039,1571,857,1094,828,500,829,133,7748
POA3913,227,281,344,193,227,175,110,182,18,1759
POA3915,387,392,806,510,403,444,303,507,56,3809
POA3916,76,111,78,25,44,17,5,24,12,388
POA3918,210,240,374,207,226,184,115,221,23,1803
POA3919,124,167,314,197,148,145,98,209,23,1435
POA3920,95,51,357,350,11,4,8,9,16,907
POA3921,23,7,0,3,3,0,5,6,0,50
POA3922,381,412,523,401,293,342,112,357,61,2886
POA3923,25,28,40,34,25,31,9,25,5,210
POA3925,192,297,295,168,155,148,47,137,15,1454
POA3926,247,372,226,140,169,118,52,136,23,1496
POA3927,111,189,107,86,74,62,23,55,8,719
POA3928,44,47,26,21,14,12,6,12,3,198
POA3929,103,92,49,30,29,39,9,32,10,384
POA3930,1682,2348,911,750,1077,879,142,377,119,8290
POA3931,1328,2043,1668,1285,1324,1118,393,874,148,10171
POA3933,124,101,96,42,79,49,14,67,14,591
POA3934,1406,2017,1275,938,1097,959,200,569,120,8583
POA3936,619,813,864,529,592,529,216,429,77,4666
POA3937,152,212,86,68,71,56,19,51,10,714
POA3938,149,232,223,117,117,162,36,115,18,1171
POA3939,660,791,1130,731,623,668,275,648,83,5609
POA3940,115,159,266,209,137,196,74,196,30,1384
POA3941,597,751,1099,631,515,521,179,528,85,4912
POA3942,135,180,141,83,102,121,22,62,17,854
POA3943,118,135,53,49,66,49,5,45,9,535
POA3944,58,51,7,5,17,20,0,3,11,177
POA3945,131,79,71,38,49,42,30,51,8,496
POA3946,31,12,16,8,3,3,10,20,3,107
POA3950,258,245,320,232,212,205,159,259,39,1927
POA3951,150,63,56,41,53,36,34,59,6,482
POA3953,645,499,527,337,378,326,235,422,30,3401
POA3954,47,32,22,14,24,21,12,15,4,205
POA3956,279,133,160,91,94,102,53,135,18,1061
POA3957,52,16,17,19,7,3,3,16,0,134
POA3958,55,12,12,14,11,8,7,11,4,138
POA3959,151,75,54,32,53,26,28,52,13,486
POA3960,230,150,127,94,86,77,51,147,7,970
POA3962,74,38,50,40,27,22,33,81,5,380
POA3964,0,5,17,8,14,0,6,12,4,61
POA3965,11,8,15,4,14,3,9,17,0,77
POA3966,87,13,20,16,12,4,24,56,3,239
POA3967,27,7,7,6,4,0,0,8,0,56
POA3971,326,194,216,169,144,138,124,229,22,1563
POA3975,748,1384,970,741,1057,682,701,756,133,7165
POA3976,605,974,1834,1300,1357,922,1565,1808,243,10605
POA3977,4466,5757,7286,5097,6242,4461,4607,5084,728,43718
POA3978,617,1007,831,593,818,508,410,500,100,5387
POA3979,57,23,21,14,9,11,7,13,0,164
POA3980,190,159,347,142,249,135,176,211,35,1651
POA3981,314,203,437,226,275,224,256,335,48,2309
POA3984,299,191,359,225,208,224,222,278,40,2042
POA3987,104,48,138,66,72,56,84,88,16,685
POA3988,139,46,52,35,53,25,52,76,10,488
POA3990,18,3,13,7,4,9,9,8,3,67
POA3991,32,5,27,17,8,21,15,30,6,162
POA3992,97,49,65,51,44,45,26,71,4,462
POA3995,425,472,637,499,388,483,214,550,59,3723
POA3996,366,488,295,213,205,205,69,178,46,2066
