POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA3717,52,1387,539,240,1289,0.7,1016,2.2
POA3718,56,2156,589,140,1062,0.7,1125,1.7
POA3719,55,1211,551,213,1312,0.6,1125,2.2
POA3720,52,1300,550,200,1134,0.7,937,2.2
POA3722,45,1411,616,260,1421,0.7,1096,2.3
POA3723,48,1252,536,166,1237,0.7,1003,2.1
POA3725,49,1300,572,150,1411,0.7,1284,2.5
POA3726,51,867,467,163,1213,0.7,916,2.3
POA3727,49,867,468,80,1187,0.7,1011,2.5
POA3728,50,1083,487,150,1145,0.7,1011,2.3
POA3730,49,1387,529,240,1268,0.7,994,2.3
POA3732,46,1196,555,150,1242,0.7,1005,2.3
POA3733,49,933,626,140,1375,0.7,900,2.3
POA3735,48,1500,615,170,1327,0.8,1150,2.4
POA3737,50,1300,526,200,1303,0.7,944,2.2
POA3738,46,1625,535,170,1271,0.8,982,2.3
POA3739,46,1400,610,155,1468,0.7,1075,2.1
POA3740,47,1300,587,250,1319,0.8,1125,2.5
POA3741,48,1393,586,228,1274,0.7,970,2.2
POA3744,46,1300,606,226,1375,0.8,1095,2.4
POA3746,51,1300,515,150,1273,0.8,949,2.3
POA3747,49,1428,614,245,1459,0.8,1170,2.3
POA3749,48,1560,669,270,1702,0.8,1383,2.5
POA3750,30,2000,708,346,1607,0.9,1612,3.2
POA3751,50,2080,582,277,1583,0.8,1392,2.9
POA3752,34,1852,703,351,1856,0.9,1739,3.1
POA3753,32,1997,783,350,1992,0.8,1940,3.2
POA3754,31,1950,786,350,1862,0.8,1742,3
POA3755,47,1950,606,200,1649,0.7,1312,2.7
POA3756,34,1733,709,320,1733,0.8,1594,2.9
POA3757,40,1733,643,300,1760,0.8,1452,2.8
POA3758,39,1733,693,250,1900,0.9,1752,3
POA3759,45,1950,806,271,2256,0.8,2012,2.9
POA3760,45,1950,795,165,2083,0.8,1854,2.9
POA3761,42,1950,685,245,1965,0.9,1790,2.8
POA3762,50,1425,637,200,2174,0.7,1468,2.6
POA3763,41,1500,638,285,1638,0.8,1353,2.5
POA3764,40,1585,614,280,1632,0.8,1374,2.6
POA3765,41,1761,689,335,1956,0.8,1707,2.8
POA3766,42,1733,762,333,1804,0.8,1553,2.5
POA3767,46,1989,687,355,1923,0.8,1603,2.5
POA3770,40,1649,687,311,1776,0.8,1646,2.9
POA3775,41,1950,697,310,1804,0.8,1543,2.7
POA3777,44,1517,593,300,1516,0.8,1226,2.5
POA3778,47,1088,554,125,1458,0.8,1149,2.2
POA3779,58,1127,514,267,1174,0.7,922,2
POA3781,36,1621,697,320,1779,0.9,1573,2.8
POA3782,42,1733,676,332,1917,0.8,1701,2.8
POA3783,40,1733,655,310,1791,0.9,1618,2.9
POA3785,44,1755,1017,390,2583,0.8,2187,2.1
POA3786,44,1879,733,351,2214,0.8,1971,2.7
POA3787,43,1794,746,350,2223,0.8,2005,2.7
POA3788,44,1800,732,350,1878,0.8,1518,2.5
POA3789,48,2045,687,277,1767,0.8,1547,2.4
POA3791,44,1800,727,309,2077,0.8,1734,2.7
POA3792,44,1733,712,328,1738,0.8,1583,2.8
POA3793,42,1608,612,325,1566,0.8,1377,2.7
POA3795,42,2000,671,296,1815,0.8,1698,3
POA3796,37,1733,678,310,1862,0.8,1655,2.9
POA3797,44,1485,514,270,1396,0.8,1097,2.5
POA3799,44,1300,503,263,1232,0.8,956,2.3
POA3800,20,0,44,208,2916,0.9,1875,1.3
POA3802,37,1625,565,338,1537,0.9,1454,3
POA3803,35,1560,489,324,1363,0.9,1301,3
POA3804,41,2000,676,357,2146,0.8,2165,3.4
POA3805,34,1700,623,342,1692,0.9,1624,3.2
POA3806,36,1842,708,361,1945,0.8,1752,3
POA3807,39,1983,728,303,2130,0.8,1928,3.1
POA3808,41,2100,807,350,2247,0.8,2144,3.1
POA3809,30,1900,852,361,1959,0.8,1864,2.9
POA3810,32,1700,661,320,1547,0.8,1383,2.8
POA3812,42,1986,671,270,1882,0.8,1703,2.9
POA3813,45,1550,605,250,1687,0.8,1429,2.9
POA3814,40,1733,632,250,1621,0.8,1403,2.8
POA3815,41,1733,608,251,1779,0.8,1475,2.8
POA3816,37,1550,578,266,1430,0.8,1261,2.6
POA3818,41,1500,561,265,1397,0.8,1159,2.5
POA3820,42,1447,596,254,1521,0.7,1196,2.4
POA3821,44,1612,636,200,1600,0.8,1397,2.7
POA3822,40,1500,617,210,1566,0.8,1363,2.9
POA3823,45,1309,604,263,1480,0.8,1189,2.4
POA3824,42,1387,607,250,1517,0.7,1244,2.5
POA3825,44,1083,488,170,1244,0.8,910,2.2
POA3831,48,1517,594,200,1446,0.8,1259,2.5
POA3832,55,1176,534,150,1212,0.8,1031,2.2
POA3833,54,950,447,150,937,0.8,807,1.9
POA3835,42,1040,519,200,1312,0.9,1133,2.7
POA3840,43,1066,489,180,1227,0.7,906,2.2
POA3842,37,975,471,200,1172,0.7,964,2.4
POA3844,38,1400,644,240,1681,0.8,1321,2.4
POA3847,42,1300,587,180,1457,0.8,1223,2.4
POA3850,40,1300,608,240,1547,0.7,1168,2.3
POA3851,45,1300,493,160,1362,0.7,988,2.3
POA3852,25,1625,1073,0,2750,0.5,1374,2.3
POA3854,40,1517,691,220,1939,0.8,1682,2.8
POA3856,35,1419,651,210,1838,0.8,1609,2.7
POA3857,44,1187,618,200,1671,0.7,1516,2.6
POA3858,44,1083,529,180,1313,0.8,986,2.4
POA3859,42,1200,576,150,1384,0.8,1293,2.5
POA3860,43,1213,577,203,1388,0.8,1117,2.4
POA3862,43,1317,581,225,1393,0.8,1159,2.5
POA3864,43,1300,551,70,1328,0.7,1174,2.4
POA3865,46,1296,582,220,1330,0.7,1111,2.4
POA3869,43,1300,621,220,1642,0.8,1369,2.5
POA3870,50,1114,505,135,1391,0.8,1089,2.3
POA3871,47,1289,506,230,1318,0.8,1093,2.4
POA3873,46,1300,535,115,1857,0.8,1403,2.4
POA3874,55,1083,483,170,1213,0.7,891,2.1
POA3875,45,1300,562,240,1276,0.8,1026,2.3
POA3878,56,1300,559,240,1257,0.7,1111,2.3
POA3880,60,1100,477,250,1105,0.7,838,2
POA3882,51,1300,491,170,1308,0.8,1073,2.4
POA3885,47,1192,486,155,1184,0.8,947,2.3
POA3886,46,1300,480,150,1149,0.8,892,2.4
POA3887,49,979,414,130,929,0.8,762,2.2
POA3888,53,1000,464,151,1107,0.7,767,2.1
POA3889,58,970,384,140,756,0.7,545,1.6
POA3890,51,650,432,100,891,0.6,749,2
POA3891,62,1400,408,0,1042,0.7,774,1.5
POA3892,58,1083,474,175,1099,0.7,774,2
POA3893,55,0,553,0,1156,0.6,1374,0
POA3895,52,867,504,95,1125,0.6,671,1.7
POA3896,48,975,545,100,1187,0.8,1011,2.2
POA3898,44,1100,536,180,1258,0.8,1025,2.3
POA3900,59,650,473,150,1062,0.7,756,1.9
POA3902,53,1300,483,255,1196,0.8,1008,2.4
POA3903,55,1300,486,180,1212,0.8,900,2.1
POA3904,58,1300,545,255,1149,0.7,1001,2.1
POA3909,52,1300,482,220,1123,0.7,869,2.2
POA3910,37,1700,720,320,1857,0.8,1579,2.7
POA3911,40,1528,655,300,1727,0.8,1492,2.7
POA3912,40,1691,656,330,1713,0.8,1485,2.8
POA3913,41,1571,686,320,1721,0.8,1523,2.7
POA3915,41,1600,531,270,1263,0.8,973,2.3
POA3916,56,1733,833,375,1963,0.7,1708,2.4
POA3918,41,1700,659,295,1657,0.8,1449,2.7
POA3919,38,1449,575,290,1438,0.8,1167,2.5
POA3920,22,0,825,250,1983,0.8,1952,2.7
POA3921,56,493,412,150,843,0.7,477,1.9
POA3922,51,1400,513,255,1173,0.7,903,2.2
POA3923,58,1509,537,267,1147,0.6,924,2
POA3925,46,1425,581,261,1347,0.7,1100,2.3
POA3926,48,1733,730,318,1858,0.8,1533,2.6
POA3927,52,1752,703,325,1823,0.7,1468,2.3
POA3928,52,2800,750,152,1906,0.7,1724,2.3
POA3929,58,2500,851,379,1968,0.7,1632,2.2
POA3930,44,2200,760,428,2353,0.8,2030,2.8
POA3931,47,1733,625,335,1584,0.8,1203,2.3
POA3933,45,2167,707,260,2104,0.8,2028,3
POA3934,43,2000,727,400,2036,0.8,1707,2.7
POA3936,50,1733,596,330,1426,0.7,1157,2.3
POA3937,50,1950,747,330,2011,0.8,1774,2.6
POA3938,54,1733,618,320,1496,0.7,1241,2.3
POA3939,49,1558,519,280,1280,0.7,973,2.2
POA3940,59,1400,481,289,1098,0.7,786,1.9
POA3941,46,1560,557,300,1332,0.7,1067,2.3
POA3942,57,1800,621,320,1379,0.6,1060,2
POA3943,65,1733,678,322,1579,0.6,1136,1.9
POA3944,67,2000,1147,519,2263,0.5,1863,1.8
POA3945,50,1500,608,180,1447,0.7,1226,2.3
POA3946,52,1517,568,185,1350,0.7,1137,2.3
POA3950,44,1300,512,220,1240,0.7,948,2.4
POA3951,47,1300,526,160,1360,0.7,1088,2.5
POA3953,43,1430,584,235,1419,0.8,1131,2.4
POA3954,46,1603,644,183,1642,0.8,1329,2.7
POA3956,51,1127,494,200,1139,0.7,881,2.2
POA3957,41,1187,631,178,1562,0.8,1402,2.9
POA3958,48,1509,636,226,1521,0.7,1375,2.6
POA3959,49,1114,559,135,1243,0.7,1029,2.3
POA3960,56,1247,486,185,1252,0.7,865,2.1
POA3962,52,1088,480,175,1170,0.7,844,2
POA3964,53,867,504,167,1036,0.7,819,2.2
POA3965,61,840,475,200,1291,0.6,830,1.8
POA3966,49,1300,483,110,1187,0.7,866,2.2
POA3967,49,1417,491,133,1291,0.7,939,2.1
POA3971,52,1083,480,180,1160,0.7,885,2.1
POA3975,32,2000,732,381,1893,0.9,1947,3.5
POA3976,33,1508,540,320,1358,1,1307,3.2
POA3977,32,1768,684,340,1664,0.9,1560,3
POA3978,30,2000,814,385,1906,0.8,1864,3.1
POA3979,43,1733,646,130,1567,0.9,1402,2.9
POA3980,39,1723,670,290,1746,0.8,1501,2.7
POA3981,37,1733,643,260,1612,0.8,1379,2.8
POA3984,49,1300,494,250,1188,0.7,943,2.2
POA3987,41,1517,586,240,1493,0.8,1404,2.9
POA3988,45,1300,593,200,1370,0.8,1184,2.6
POA3990,51,1467,641,275,1312,0.6,1075,2.2
POA3991,50,1355,428,200,1009,0.7,811,2.4
POA3992,42,1419,543,225,1256,0.7,1052,2.3
POA3995,48,1300,480,230,1129,0.7,840,2.2
POA3996,52,1723,557,261,1302,0.7,1042,2.2
