POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA3102,88,149,263,339,436,252,96,17,0,1648,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,5,3,5,9,14,11,3,0,0,0,51,0,0,0,3,6,0,0,0,0,8,0,0,4,7,6,0,6,0,0,26,0,5,0,13,12,3,0,0,0,35,23,33,34,22,36,14,3,0,0,163,30,27,15,13,14,5,3,0,0,114,0,3,4,7,6,5,0,0,0,29,0,0,4,5,17,3,0,0,0,36,0,5,17,33,18,10,3,0,0,85,0,3,9,9,12,0,3,0,0,37,0,11,28,42,45,21,15,0,0,163,0,3,4,9,7,9,7,0,0,37,0,3,11,14,34,14,3,0,0,76,4,12,39,42,72,61,13,0,0,247,0,23,46,83,99,60,21,0,0,331,9,9,3,6,10,8,3,0,0,42,4,3,6,13,12,5,0,0,0,46
POA3103,144,373,584,603,861,637,264,43,8,3516,0,0,0,0,0,0,3,0,0,8,0,0,0,0,3,0,0,0,0,3,7,9,11,28,27,19,4,0,0,101,0,0,0,4,3,0,0,0,0,11,0,3,14,16,19,5,3,0,0,56,5,3,13,20,28,12,5,0,0,98,52,84,68,54,80,50,10,4,0,398,49,37,46,36,47,15,5,0,0,221,0,5,12,14,13,3,0,0,0,43,5,5,12,13,9,13,0,0,0,56,0,12,31,35,43,22,13,0,0,156,3,5,24,20,20,20,5,0,0,95,4,55,82,73,112,63,24,5,0,416,0,12,13,20,18,16,6,0,0,88,0,9,25,36,39,25,7,0,0,140,16,39,69,49,139,118,35,4,0,458,6,50,124,123,192,144,38,8,0,686,9,10,4,9,8,6,3,4,0,57,4,0,20,11,23,23,5,0,0,86
POA3104,229,492,708,860,1331,907,270,47,11,4856,0,5,3,4,3,0,0,0,0,14,0,0,0,0,4,0,0,0,0,7,15,11,11,29,48,18,3,0,0,142,0,0,0,4,7,3,0,0,0,13,0,0,11,29,35,8,3,3,0,87,8,14,15,45,41,20,3,0,0,142,86,128,73,96,149,50,11,0,0,592,82,44,32,48,52,21,0,4,0,278,0,0,6,19,29,29,0,3,0,85,3,18,13,21,27,9,0,0,0,97,5,13,46,70,60,30,4,0,0,227,4,11,24,18,34,13,3,0,0,105,5,43,79,106,138,71,17,5,0,464,0,14,16,25,28,18,3,0,0,104,0,6,12,36,63,38,4,0,0,168,15,44,71,87,243,153,40,5,0,662,4,47,121,181,268,209,55,0,0,889,17,18,10,12,12,0,3,0,0,75,12,18,30,16,32,22,6,0,0,133
POA3105,95,228,496,530,640,409,139,24,3,2564,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,9,12,31,12,3,0,0,79,0,3,4,6,3,0,0,0,0,19,0,3,7,15,7,4,6,0,0,40,0,8,23,22,7,4,3,0,0,63,29,62,53,42,67,45,16,0,0,324,36,27,26,25,33,11,3,0,0,162,0,0,4,8,17,9,0,0,0,36,0,0,5,8,5,6,0,0,0,30,0,3,40,33,38,11,0,0,0,130,0,0,13,7,9,3,0,0,0,46,0,15,55,53,71,18,10,0,0,231,0,3,15,24,22,22,0,3,0,90,0,5,11,34,31,19,8,0,0,105,6,18,51,63,92,42,19,0,0,292,4,31,78,90,112,67,23,4,0,406,3,5,11,6,8,3,0,0,0,34,0,9,15,17,23,13,6,0,0,82
POA3106,148,349,686,711,884,809,317,61,0,3967,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,5,18,35,45,25,9,3,0,152,0,0,9,8,6,0,0,0,0,23,0,3,15,24,25,19,11,0,0,101,3,3,19,29,40,19,7,0,0,115,64,111,83,65,92,75,24,0,0,516,50,41,30,30,39,24,0,0,0,221,0,0,15,17,24,20,6,0,0,71,0,9,7,14,10,9,5,0,0,55,0,8,43,41,61,19,8,0,0,176,0,7,24,18,23,13,10,0,0,94,3,39,74,81,80,61,8,0,0,350,0,15,24,24,38,30,4,0,0,138,0,3,17,29,46,24,10,0,0,131,18,23,79,80,110,119,30,0,0,455,5,43,123,101,166,199,46,3,0,692,6,9,9,7,7,4,7,0,0,55,3,14,35,24,39,23,3,0,0,133
POA3107,100,242,546,732,774,469,194,35,0,3103,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,16,32,22,26,3,0,0,106,0,0,9,9,0,3,0,0,0,15,0,10,7,12,19,11,4,0,0,67,0,7,14,22,22,8,0,0,0,77,37,73,58,74,78,44,21,4,0,380,38,29,34,25,38,27,3,0,0,187,0,0,3,13,15,11,0,0,0,48,0,3,5,17,10,6,0,0,0,42,0,11,50,55,38,17,3,0,0,168,0,6,12,8,10,5,0,0,0,54,0,12,64,86,65,32,8,0,0,266,0,3,16,24,20,8,5,0,0,78,0,0,18,40,41,19,8,0,0,134,9,25,47,86,113,76,23,7,0,387,5,24,98,131,140,100,34,3,0,535,6,9,16,7,10,4,3,0,0,64,0,5,19,29,24,17,9,0,0,97
POA3108,138,395,1204,995,999,726,235,64,9,4759,0,4,0,0,4,0,3,0,0,11,0,0,0,3,0,0,0,0,0,3,8,9,31,25,40,17,6,3,0,136,0,0,3,6,3,3,0,0,0,23,0,8,16,18,20,12,3,0,0,81,0,11,35,23,42,20,4,0,0,139,76,111,140,75,102,64,17,0,0,593,62,43,61,54,61,40,9,0,0,331,0,3,8,14,15,11,0,0,0,58,0,3,20,13,15,7,0,0,0,65,3,16,65,60,54,28,5,0,0,228,0,5,35,20,17,10,3,0,0,95,3,38,135,88,70,32,14,4,0,388,0,9,42,35,43,29,11,0,0,169,0,9,37,37,54,25,5,3,0,169,13,31,88,104,146,108,23,3,0,520,6,53,201,170,192,153,46,3,0,833,4,9,19,6,9,3,3,0,0,54,4,11,48,26,37,14,6,0,0,151
POA3109,219,555,1320,1483,1467,1129,358,47,6,6583,0,3,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,10,9,31,47,67,32,10,0,0,209,0,0,12,5,3,0,0,0,0,29,4,8,15,26,22,21,3,0,0,103,4,16,54,59,66,26,6,3,0,224,117,168,116,119,130,95,31,3,0,782,96,65,62,68,83,56,8,0,0,444,0,7,19,36,28,13,0,0,0,109,0,17,20,36,18,12,0,0,0,99,0,17,110,96,74,38,0,0,0,343,0,16,57,33,30,19,6,0,0,155,12,41,145,135,145,79,26,3,0,572,0,10,30,53,56,35,11,0,0,203,0,7,36,48,79,49,14,0,0,229,9,36,126,131,229,145,33,3,0,719,11,72,266,247,310,247,71,3,0,1225,12,27,26,16,17,22,3,0,0,116,3,3,46,45,58,35,9,0,0,210
POA3111,119,277,489,583,724,549,207,36,9,2991,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,3,19,23,21,10,5,0,0,101,0,0,0,8,4,0,0,0,0,8,0,0,9,14,24,8,7,0,0,59,0,10,10,29,34,18,5,0,0,110,61,65,57,53,71,38,17,3,0,371,42,29,23,17,22,19,0,0,0,155,0,0,7,14,13,5,3,0,0,43,3,4,7,4,10,10,0,0,0,37,0,7,26,40,28,22,0,0,0,120,0,8,15,13,10,9,3,0,0,63,0,25,51,61,72,40,8,0,0,263,3,7,17,22,22,18,4,4,0,97,0,3,13,31,30,21,7,0,0,110,7,19,60,72,105,92,6,0,0,364,3,31,97,124,148,127,36,3,0,576,6,5,8,5,8,9,5,0,0,45,0,8,24,18,23,18,5,0,0,91
POA3113,131,198,283,419,663,453,124,26,0,2298,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,11,8,15,23,15,4,0,0,95,0,0,0,7,8,0,0,0,0,13,0,0,14,15,18,12,8,0,0,67,0,4,5,21,18,0,0,0,0,47,36,54,31,24,45,32,9,0,0,232,46,24,4,6,19,10,7,0,0,122,0,3,4,5,3,4,0,0,0,28,3,3,4,11,16,9,3,0,0,43,3,0,7,25,13,4,3,0,0,57,3,3,9,10,6,4,0,0,0,34,0,8,23,45,59,27,5,0,0,172,0,0,7,17,10,8,3,0,0,52,0,3,10,16,35,20,3,0,0,96,8,13,26,84,107,95,17,0,0,350,5,32,40,105,164,103,11,3,0,459,11,8,4,3,14,6,0,0,0,45,4,11,10,19,20,7,5,0,0,68
POA3114,68,121,80,162,327,213,60,10,0,1040,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,5,4,0,4,13,7,3,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,3,14,7,9,0,0,0,34,0,0,0,6,7,3,0,0,0,26,22,34,10,17,16,12,4,0,0,123,29,16,3,0,3,0,0,0,0,55,0,0,0,3,4,0,0,0,0,14,3,0,0,3,3,0,0,0,0,11,0,0,3,5,9,0,0,0,0,20,0,0,3,9,6,3,0,0,0,26,0,3,3,29,27,19,6,0,0,85,0,0,3,4,3,7,3,0,0,15,3,3,3,3,16,6,0,0,0,33,3,8,9,23,54,21,4,0,0,122,3,15,18,36,65,34,13,0,0,182,7,7,4,4,7,3,0,0,0,25,7,5,3,6,17,10,0,0,0,39
POA3115,90,127,113,155,310,240,68,17,0,1134,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,4,3,7,13,8,3,0,0,46,0,0,0,4,0,0,0,0,0,3,0,3,8,18,15,17,4,0,0,65,0,3,0,5,12,8,3,0,0,36,34,26,10,12,22,22,0,0,0,124,26,14,0,7,4,0,3,0,0,55,0,0,0,3,3,0,0,0,0,14,0,4,0,0,3,0,0,0,0,7,0,3,0,10,6,6,0,0,0,33,0,0,0,7,6,0,3,0,0,23,4,6,8,19,26,12,3,0,0,74,0,3,8,3,14,6,3,0,0,43,0,3,4,11,13,3,0,0,0,37,3,10,14,16,44,31,0,0,0,131,0,18,18,24,63,46,4,0,0,176,6,0,0,0,0,0,0,0,0,19,3,7,3,9,13,3,0,0,0,31
POA3116,158,257,585,526,575,415,146,12,0,2670,0,3,3,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,7,10,20,30,46,23,13,0,0,140,0,6,9,3,4,0,0,0,0,20,0,10,18,17,18,14,3,0,0,89,0,6,14,15,15,6,0,0,0,56,37,63,56,56,76,49,13,3,0,357,47,31,25,22,10,11,4,0,0,141,0,3,12,3,7,8,3,0,0,34,7,7,5,4,4,3,0,0,0,30,0,3,24,14,14,9,3,0,0,72,4,3,18,12,11,5,0,0,0,52,0,8,40,35,36,23,7,0,0,140,0,5,14,17,25,20,5,0,0,91,3,4,27,32,28,16,5,0,0,109,6,21,55,65,86,66,6,0,0,292,7,35,99,84,141,95,21,0,0,486,14,4,10,11,5,8,4,0,0,56,5,16,23,21,17,16,3,0,0,92
POA3121,127,767,4228,2064,1294,730,259,25,11,9507,0,3,4,4,3,0,0,0,0,21,0,0,9,7,7,0,0,0,0,22,9,21,137,62,57,21,3,0,0,307,0,0,24,14,9,3,0,0,0,55,0,13,73,27,19,9,0,0,0,143,0,8,91,57,32,17,3,0,0,210,49,193,376,138,82,57,16,0,0,910,100,181,261,81,43,22,9,0,0,696,0,12,48,31,20,16,3,0,0,134,6,35,152,72,42,15,6,0,0,326,0,43,288,159,76,42,3,0,0,611,3,15,108,37,15,7,3,0,0,193,3,126,771,276,167,68,28,0,0,1443,4,40,172,76,49,30,5,0,0,381,0,28,216,128,75,59,14,0,0,523,10,53,391,193,134,114,31,4,0,933,4,127,701,286,195,164,57,7,0,1527,8,23,120,61,21,17,5,0,0,244,0,20,144,57,31,29,4,0,0,290
POA3122,172,760,2302,1266,943,645,296,45,10,6446,0,0,9,3,3,0,0,0,0,20,0,0,4,10,0,0,0,0,0,20,10,20,67,44,23,19,6,0,0,200,0,6,30,17,5,3,3,0,0,56,0,10,37,25,17,13,3,0,0,100,0,23,54,31,34,16,12,0,0,154,58,175,202,95,75,30,15,0,0,644,64,161,155,45,22,9,8,0,0,470,0,9,31,19,18,6,0,0,0,81,15,22,86,43,17,10,3,0,0,196,0,26,148,125,82,31,7,4,0,424,0,15,54,35,21,5,5,0,0,142,3,86,380,182,146,72,27,0,0,901,3,19,103,32,30,20,15,0,0,225,0,19,86,83,54,41,19,3,0,301,9,69,285,155,149,104,37,3,0,819,10,86,405,230,217,178,60,4,0,1185,12,24,55,28,26,6,4,4,0,152,9,35,62,29,28,21,6,0,0,186
POA3123,88,413,1182,846,653,439,190,24,3,3833,0,0,0,3,0,0,3,0,0,8,0,0,3,3,0,0,0,0,0,8,7,4,36,40,26,12,3,0,0,128,0,0,10,4,5,0,0,0,0,22,0,4,23,18,4,3,5,0,0,55,3,15,21,23,27,6,3,0,0,101,30,93,95,52,54,29,7,3,0,364,46,79,84,21,26,3,4,0,0,256,0,3,19,13,11,9,0,0,0,55,3,8,41,26,16,3,0,0,0,92,3,12,96,72,42,18,3,0,0,257,4,8,26,21,15,6,4,0,0,85,0,62,186,131,108,63,11,3,0,567,0,10,46,30,26,8,8,0,0,127,0,8,60,48,31,30,6,0,0,181,15,37,149,105,101,110,22,8,0,553,6,56,212,123,109,106,31,3,0,643,3,16,19,13,7,3,3,0,0,77,6,19,38,22,12,14,4,0,0,116
POA3124,186,546,968,1013,1294,892,360,44,7,5312,0,0,0,0,6,3,3,0,0,14,0,0,3,8,0,0,0,0,0,15,16,10,21,47,47,22,9,0,0,175,0,0,10,12,9,3,0,0,0,37,3,3,12,26,25,11,3,0,0,83,0,19,31,38,42,21,8,0,0,153,59,134,87,76,79,55,21,0,0,514,99,79,40,29,29,7,3,0,0,293,3,3,8,26,16,8,3,0,0,64,8,11,35,28,26,6,0,0,0,113,0,15,57,73,92,39,12,0,0,283,3,14,19,25,32,13,3,4,0,116,4,60,141,149,164,113,23,0,0,653,0,21,33,30,40,21,13,0,0,162,0,13,39,61,68,41,17,0,0,233,23,61,107,124,219,197,59,0,0,789,13,79,189,191,295,192,51,4,0,1019,21,21,25,16,18,7,8,0,0,113,7,21,36,23,29,30,13,0,0,155
POA3125,126,475,867,590,589,371,83,14,3,3122,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,8,12,21,32,23,12,5,0,0,111,0,3,5,8,7,0,0,0,0,18,0,0,10,6,16,6,0,0,0,43,0,9,28,31,24,14,0,0,0,104,67,89,73,41,49,22,3,0,0,344,83,123,53,17,24,16,0,0,0,320,0,4,11,16,21,12,4,0,0,65,0,4,14,9,8,4,0,0,0,44,0,3,49,40,37,12,4,0,0,142,0,6,15,15,12,6,3,0,0,55,0,33,79,66,70,25,8,0,0,276,9,15,32,26,10,11,3,0,0,111,0,4,21,20,30,23,8,0,0,114,16,40,89,92,112,53,18,0,0,416,8,53,172,90,117,106,23,4,0,564,20,12,10,10,8,3,0,0,0,63,0,19,17,26,14,7,0,0,0,88
POA3126,79,191,258,304,465,413,158,27,6,1901,0,0,0,3,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,9,5,5,4,9,19,7,6,0,0,62,0,0,5,7,0,0,0,0,0,9,0,4,3,6,8,9,3,0,0,33,0,3,9,14,8,6,0,0,0,46,33,38,24,32,38,25,12,0,0,201,28,37,18,10,13,0,3,0,0,109,0,0,3,5,9,3,0,0,0,21,3,9,8,8,10,8,0,0,0,47,0,0,15,18,35,10,7,0,0,87,0,3,3,11,15,4,5,0,0,45,3,25,38,50,58,33,13,0,0,215,0,6,4,9,12,4,4,0,0,47,0,3,7,16,12,16,0,0,0,59,10,20,40,35,67,80,19,3,0,278,3,29,60,59,108,93,23,0,0,374,7,3,5,6,3,5,5,0,0,34,0,8,5,15,13,6,3,0,0,47
POA3127,188,449,802,975,1136,842,271,30,5,4702,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,16,12,28,35,13,6,0,0,127,0,3,6,10,7,0,3,0,0,25,0,5,17,15,22,15,0,0,0,73,0,8,23,30,25,15,3,0,0,106,58,110,48,58,88,55,7,0,0,424,77,55,29,28,34,10,3,0,0,236,3,3,8,12,18,11,3,0,0,62,8,6,31,25,18,15,4,0,0,105,0,16,63,88,76,40,4,3,0,295,0,4,15,18,27,11,10,0,0,86,3,37,114,156,147,64,22,0,0,551,3,10,26,24,33,22,3,0,0,124,4,6,38,49,69,56,14,0,0,242,31,45,121,125,211,206,38,4,0,787,5,69,145,195,255,221,63,4,0,960,20,26,17,12,14,12,3,0,0,99,6,18,14,15,39,21,10,0,0,131
POA3128,146,514,1357,955,862,584,126,12,0,4555,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,9,12,30,26,32,12,4,0,0,127,0,0,11,7,3,0,0,0,0,18,0,8,18,16,12,6,0,0,0,60,0,14,30,26,29,6,0,0,0,111,48,108,112,60,87,38,4,0,0,461,75,113,118,54,46,22,3,0,0,427,0,4,15,13,11,11,0,0,0,48,8,4,28,19,14,3,0,0,0,74,0,12,84,51,31,21,3,0,0,207,0,13,34,28,17,11,0,0,0,94,9,39,138,107,65,38,7,3,0,411,0,18,62,37,44,22,3,0,0,177,0,0,37,51,58,30,8,0,0,180,12,35,112,121,158,113,16,0,0,572,8,69,270,154,210,153,30,3,0,888,17,14,11,7,7,8,3,0,0,66,6,24,49,33,32,24,5,0,0,170
POA3129,161,323,943,967,957,615,168,18,0,4153,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,11,28,29,39,14,7,0,0,132,0,0,7,5,3,0,0,0,0,25,0,7,17,15,14,19,3,0,0,74,0,9,24,40,33,6,0,0,0,122,44,90,76,58,61,40,10,0,0,381,70,64,57,35,30,21,3,0,0,273,0,7,13,15,19,6,0,0,0,56,0,4,12,21,22,10,0,0,0,71,3,6,56,56,39,18,3,0,0,181,0,4,36,13,12,9,0,0,0,76,0,40,91,116,87,46,14,0,0,397,0,14,23,40,35,14,4,0,0,143,0,4,25,47,56,36,3,0,0,175,17,22,86,116,171,124,14,3,0,552,7,54,201,174,248,191,41,3,0,924,9,10,11,14,17,6,0,0,0,77,3,12,35,27,21,19,8,0,0,129
POA3130,326,644,1534,1793,1848,1120,318,49,9,7639,0,0,0,3,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,7,17,11,39,55,61,32,9,0,0,237,0,3,15,13,10,3,0,0,0,44,3,7,26,35,35,14,0,0,0,120,0,14,37,59,53,23,5,0,0,192,114,149,137,128,133,70,17,3,0,758,135,71,70,43,47,26,5,0,0,396,0,12,22,34,27,26,4,0,0,117,10,15,29,41,17,15,4,0,0,126,0,16,86,135,77,31,7,0,0,350,0,22,28,31,29,12,3,0,0,124,5,51,190,214,168,77,20,3,0,731,4,20,51,64,58,30,9,0,0,234,3,14,52,104,118,70,16,0,0,382,33,71,185,243,352,227,49,3,0,1162,18,90,315,363,451,289,65,4,0,1595,27,21,24,18,18,11,6,0,0,129,5,22,51,54,49,38,12,0,0,245
POA3131,195,450,1347,1402,1135,707,197,35,3,5462,0,0,0,0,0,6,0,0,0,9,0,0,0,4,0,0,0,0,0,4,7,9,44,54,39,35,3,0,0,195,0,0,5,5,9,0,0,0,0,28,0,9,13,31,17,6,0,0,0,83,0,7,42,43,36,12,0,0,0,144,79,103,113,96,108,69,11,3,0,581,75,54,60,44,39,20,3,0,0,298,0,5,17,23,18,9,5,0,0,81,6,4,27,24,16,17,0,0,0,91,0,5,86,91,41,22,3,0,0,258,0,3,34,17,22,4,3,0,0,80,3,19,146,141,86,37,11,0,0,450,4,14,52,42,30,25,11,0,0,179,0,8,46,65,75,49,10,4,0,251,17,31,141,185,179,98,24,0,0,675,6,69,238,254,263,182,45,6,0,1064,17,9,11,19,9,3,0,0,0,66,4,22,48,43,57,30,4,0,0,211
POA3132,149,318,1050,1074,884,557,178,13,0,4233,0,0,0,4,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,12,44,38,41,26,0,0,0,170,0,3,13,5,10,7,0,0,0,40,0,3,14,15,11,11,3,0,0,55,0,5,31,32,24,10,3,0,0,109,51,78,87,66,71,43,19,0,0,407,79,56,50,26,23,13,3,0,0,247,0,0,18,11,14,6,3,0,0,55,3,5,26,19,14,11,3,0,0,85,0,9,59,70,40,13,6,0,0,202,0,0,24,23,10,4,0,0,0,62,0,20,122,134,76,37,10,0,0,399,3,9,33,39,35,27,6,0,0,144,0,3,39,71,83,47,3,0,0,249,7,32,121,158,158,87,18,0,0,581,9,59,198,201,188,145,36,4,0,842,10,6,10,9,14,3,3,0,0,56,0,4,24,34,22,27,3,0,0,122
POA3133,249,460,895,1255,1223,863,326,46,0,5322,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,6,12,16,32,55,67,41,15,0,0,244,0,3,11,8,5,3,0,0,0,29,0,3,12,26,32,19,5,0,0,92,5,12,37,49,43,27,4,0,0,176,69,128,102,90,99,65,33,0,0,591,118,58,45,30,44,16,3,0,0,311,0,12,20,24,19,14,3,0,0,91,5,9,14,28,14,15,0,0,0,84,0,4,50,80,52,21,9,0,0,212,0,9,24,18,13,8,4,0,0,73,4,19,87,121,86,53,17,0,0,392,3,8,33,38,43,33,14,0,0,167,0,7,32,52,69,45,15,0,0,222,19,38,94,181,228,175,33,0,0,775,13,68,181,209,236,226,45,3,0,984,26,12,11,12,11,7,3,0,0,81,3,18,23,46,53,28,3,0,0,171
POA3134,399,760,1820,1984,1882,1317,333,46,0,8544,0,3,3,3,3,3,0,0,0,26,0,0,0,5,3,0,0,0,0,8,22,18,63,78,91,47,8,0,0,321,0,0,19,17,10,3,0,0,0,53,0,15,35,41,69,30,5,0,0,202,5,13,45,59,60,30,8,0,0,233,150,192,173,141,150,108,37,0,0,958,146,94,67,48,45,32,7,0,0,446,3,14,29,23,27,15,3,0,0,119,16,15,35,23,29,17,3,0,0,135,0,13,74,93,87,32,5,0,0,313,4,7,40,27,30,20,9,0,0,138,5,39,140,169,139,90,17,0,0,594,5,23,65,87,62,50,14,0,0,311,3,8,69,107,103,66,13,3,0,373,14,52,226,249,318,250,42,0,0,1156,24,124,391,382,425,289,75,0,0,1706,21,26,26,23,31,9,8,0,0,143,3,34,49,56,73,44,9,0,0,275
