POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3156,3,9,36,37,81,162,311,299,165,1101,0,9,14,12,20,24,28,23,13,143,86,94,210,218,267,224,278,227,169,1767,962,2446,4700,5161,5720,4732,3218,1533,631,29099
POA3158,0,0,0,6,12,12,28,31,9,93,0,0,0,3,3,0,0,0,0,13,11,25,27,44,53,38,25,14,4,234,168,430,718,1015,1098,957,521,149,45,5104
POA3159,0,0,4,0,0,9,0,9,3,31,0,0,0,0,3,0,0,0,0,3,9,12,29,30,24,38,22,8,5,163,74,163,264,385,438,395,204,62,16,1996
POA3160,3,6,15,5,15,25,51,38,16,176,0,0,0,0,3,7,3,0,0,12,27,24,54,52,67,80,56,33,10,395,222,507,1002,1358,1411,1304,720,249,67,6838
POA3161,0,4,6,7,15,15,42,62,109,258,0,0,3,9,0,3,9,5,23,47,25,81,199,107,101,112,114,111,145,987,269,1113,2783,1910,1662,1749,1370,756,664,12276
POA3162,3,0,3,14,12,29,82,137,155,437,0,3,7,4,3,9,10,26,25,95,37,55,127,131,132,117,131,118,108,965,337,1123,2228,2329,2391,2021,1743,935,699,13806
POA3163,6,18,28,26,40,85,225,286,213,916,3,3,23,18,17,20,24,44,10,172,44,151,440,220,190,171,132,146,99,1590,590,3030,7144,4849,3770,3107,2047,1302,742,26588
POA3165,4,0,9,16,34,86,259,375,251,1045,0,6,7,11,13,12,40,54,25,170,69,71,123,207,162,151,151,154,86,1172,585,1432,2947,4324,4165,2983,2034,1491,819,20776
POA3166,4,9,17,22,47,128,403,442,230,1298,3,4,11,10,24,45,82,109,39,312,56,113,235,179,147,119,105,149,148,1251,620,2155,4199,3518,3102,2178,1528,1195,633,19126
POA3167,0,3,4,12,28,86,213,194,80,630,0,3,3,3,7,35,45,54,14,158,22,26,83,57,64,81,78,53,31,495,210,616,1310,1309,1250,1122,865,545,225,7438
POA3168,0,20,35,25,36,83,172,250,159,771,3,12,14,15,17,23,38,62,29,214,80,198,346,150,100,75,75,105,109,1239,1236,4746,5274,2079,1351,1065,790,760,511,17813
POA3169,3,4,29,43,120,249,494,467,159,1575,3,3,33,24,75,122,117,150,39,576,51,80,205,147,115,141,151,150,51,1088,498,1711,3821,2550,2344,2115,1837,1214,418,16497
POA3170,3,4,14,21,51,117,339,331,116,1002,0,3,17,10,19,42,56,65,24,234,36,76,136,120,136,140,149,128,134,1055,410,1255,2857,2762,2414,2113,1958,1149,490,15408
POA3171,15,54,170,192,282,317,362,365,170,1928,3,59,152,149,232,252,181,162,102,1289,78,130,309,187,201,176,153,174,151,1556,589,2042,4127,2647,2522,2190,1555,1155,588,17421
POA3172,13,13,82,123,240,251,336,240,107,1389,3,21,66,78,170,201,124,61,30,762,49,76,131,129,148,133,173,144,120,1104,615,1627,2952,2938,3163,2846,2265,1130,441,17980
POA3173,5,7,72,142,253,312,338,215,130,1476,5,5,43,86,176,188,133,81,41,766,59,70,158,145,124,143,153,102,33,971,694,1793,3872,3795,3312,2816,2057,871,368,19581
POA3174,20,45,179,258,310,442,607,508,258,2617,5,41,162,191,243,257,176,142,55,1275,107,200,447,314,328,325,347,238,125,2432,936,2906,7315,5111,4388,4068,3142,1876,777,30510
POA3175,42,143,479,551,448,606,774,696,316,4069,11,227,524,522,351,264,225,179,80,2380,189,315,842,629,514,507,500,464,204,4156,1334,4165,9734,7471,5867,5283,4053,2579,1096,41581
POA3177,11,38,115,128,101,126,166,151,87,925,8,40,88,142,83,51,46,37,8,490,47,81,168,122,115,119,127,131,37,931,266,852,1973,1568,1236,1133,857,589,201,8678
POA3178,5,13,27,24,69,175,263,272,74,922,0,7,19,16,34,46,41,37,5,209,69,76,153,128,192,202,129,109,51,1104,970,2502,3909,4503,5529,4402,2297,1249,380,25744
POA3179,0,0,7,9,22,37,55,40,3,177,0,0,3,0,3,13,5,7,3,29,13,21,38,34,36,36,29,23,4,231,143,417,743,891,889,763,538,190,25,4606
POA3180,0,3,5,8,12,31,86,65,16,230,0,0,3,3,3,8,3,6,5,36,27,16,39,31,43,39,49,37,17,294,196,456,947,984,1022,892,827,418,92,5834
POA3181,3,3,10,17,28,54,132,242,147,630,0,0,8,3,3,11,29,69,27,147,45,152,744,337,205,189,137,175,120,2109,314,1786,6950,3161,1985,1567,1121,921,555,18366
POA3182,0,6,24,23,31,44,84,68,55,333,0,3,6,8,11,11,12,15,3,77,59,280,1138,605,429,338,260,136,58,3294,253,1882,7681,4158,3010,2256,1340,534,220,21344
POA3183,3,13,30,19,28,28,48,80,53,292,0,3,6,6,12,7,18,15,9,74,48,102,461,267,182,137,119,65,42,1417,271,1355,5113,3174,2037,1482,968,466,256,15127
POA3184,3,0,5,7,11,21,32,54,33,166,0,4,12,5,6,4,7,4,3,39,37,79,426,305,207,153,98,47,17,1368,181,848,3986,3051,2272,1527,780,330,132,13105
POA3185,3,0,7,4,14,24,51,77,94,266,0,0,3,10,3,11,3,22,11,56,20,50,171,139,94,84,72,43,35,718,226,716,2385,1945,1718,1359,928,510,321,10108
POA3186,4,0,3,11,14,14,61,103,148,360,0,0,8,10,5,12,3,6,13,57,79,67,161,148,229,191,193,159,145,1379,490,1194,1995,2686,3663,3157,2626,1441,953,18207
POA3187,0,0,13,6,11,17,57,113,109,336,0,0,5,10,10,3,12,14,6,57,22,41,41,96,107,112,94,146,172,839,305,761,1108,2009,2568,1974,1458,1039,866,12094
POA3188,8,3,13,15,27,55,96,125,82,420,0,0,0,7,11,14,14,24,9,80,52,51,127,158,194,142,144,87,71,1026,413,923,1631,2492,3114,2225,1579,846,412,13636
POA3189,0,0,3,7,14,25,54,69,44,210,0,0,3,3,9,15,13,8,8,58,13,34,59,67,55,48,53,51,23,398,126,375,807,930,789,633,485,364,178,4685
POA3190,3,3,8,10,16,31,91,117,95,375,0,0,4,8,3,13,3,10,3,44,32,37,82,93,91,67,62,59,45,564,189,482,1354,1775,1592,1096,769,480,310,8048
POA3191,0,0,3,5,8,7,29,43,92,187,0,0,0,0,0,3,3,10,7,24,8,21,82,61,86,84,86,79,91,594,201,489,934,1307,1626,1318,1039,549,558,8016
POA3192,0,0,12,26,45,78,273,310,227,978,3,3,13,18,19,23,27,40,12,149,42,48,130,138,122,110,137,182,201,1109,426,1176,2879,3365,3050,2409,1941,1394,909,17558
POA3193,0,3,5,3,6,27,60,68,80,249,0,0,0,0,5,3,6,4,3,23,40,48,54,114,165,167,130,116,100,950,369,1028,1128,2232,3277,2840,2240,1171,701,14988
POA3194,0,7,12,17,15,32,102,119,86,393,0,0,9,0,7,5,9,17,12,73,17,23,83,85,88,71,95,106,101,670,249,745,1757,1905,1874,1482,1198,771,436,10418
POA3195,5,7,15,32,76,110,228,277,193,955,3,4,13,16,28,29,21,35,15,163,68,92,201,243,281,234,213,218,149,1698,825,1998,3810,5500,5867,4193,2672,1645,773,27272
POA3196,5,12,13,29,37,79,221,246,157,796,0,4,4,14,10,12,19,20,9,87,47,72,253,240,211,228,273,283,313,1923,452,1230,3518,4093,3426,2912,2361,1403,747,20147
POA3197,5,8,8,10,23,42,104,103,75,381,0,0,4,6,6,9,15,6,0,46,30,36,77,93,102,135,116,111,47,753,260,584,1281,1637,1749,1638,1195,610,267,9231
POA3198,3,14,25,31,46,87,170,140,86,599,0,3,5,9,4,7,5,9,3,55,52,73,181,211,198,187,194,146,74,1319,322,879,2411,2546,2212,2098,1628,882,346,13319
POA3199,19,31,104,99,140,196,494,436,317,1841,6,9,23,28,27,21,35,29,6,175,211,257,575,489,548,554,544,549,348,4073,1334,3389,7135,7014,7258,6847,5500,3109,1469,43045
POA3200,7,17,20,31,39,53,99,82,55,410,0,0,0,4,4,3,4,12,8,35,28,58,97,84,118,101,87,77,37,695,156,415,807,647,791,655,507,391,201,4569
POA3201,13,11,36,36,72,124,196,146,87,724,4,4,13,14,23,20,9,12,0,100,70,82,215,207,201,221,197,195,191,1571,598,1356,3200,3034,2869,2244,1399,738,420,15862
POA3202,0,0,0,4,5,12,17,23,16,85,0,0,0,0,5,3,3,0,3,14,3,12,12,25,14,12,29,20,45,174,53,175,286,501,460,274,202,111,77,2133
POA3204,15,14,16,19,28,81,188,233,194,785,0,9,16,14,29,19,24,24,15,142,71,82,211,207,220,155,138,136,72,1298,707,1969,3887,4363,4866,3428,2062,1191,714,23188
POA3205,0,0,10,9,23,38,55,76,75,293,0,0,9,3,8,10,15,26,10,73,33,74,252,164,137,138,115,96,35,1049,169,727,2670,1906,1424,1101,807,449,236,9484
POA3206,0,0,6,4,10,23,99,151,56,345,0,0,3,3,7,6,10,24,5,61,16,33,112,119,106,98,108,69,37,702,108,385,1270,1635,1676,1274,1119,570,217,8253
POA3207,0,3,10,9,34,66,171,153,48,490,3,3,3,3,7,7,14,34,13,87,35,57,325,263,219,223,149,78,39,1390,171,656,3073,3099,2410,1977,1444,659,203,13679
POA3211,0,0,0,0,3,11,25,11,4,49,3,0,0,0,0,0,0,0,0,10,7,11,22,17,33,21,6,7,0,120,45,88,111,165,234,199,111,43,8,1016
POA3212,0,9,26,18,37,86,147,130,77,529,3,0,6,10,7,4,11,7,5,51,38,152,466,402,259,161,113,64,33,1685,430,1039,2379,2564,2319,1813,1312,585,257,12695
POA3213,3,3,4,12,11,25,47,44,11,156,0,0,0,0,0,6,0,4,0,13,17,7,23,33,55,50,33,22,0,231,126,271,359,521,683,530,304,165,30,2986
POA3214,46,53,143,194,190,358,505,365,137,1992,3,24,73,80,80,59,50,35,8,416,164,175,256,259,372,349,367,279,107,2332,844,1803,3064,2726,3026,2890,2165,1186,399,18101
POA3215,6,25,41,48,62,144,419,481,265,1497,0,4,12,12,22,18,47,69,25,203,35,72,223,144,181,214,266,304,304,1744,433,1327,2878,2466,2529,2436,2175,1492,852,16589
POA3216,22,22,52,68,73,147,438,582,505,1906,0,7,23,20,28,16,18,15,19,156,173,221,353,339,368,341,399,470,411,3067,1760,4582,7125,7046,6876,6298,5264,3262,1930,44145
POA3217,0,3,3,9,13,12,29,11,3,87,0,3,5,3,0,0,3,0,0,7,19,37,93,77,48,49,58,33,38,438,136,515,1473,995,641,510,373,117,49,4817
POA3218,5,4,25,15,29,58,104,147,92,478,0,0,6,3,6,3,10,15,7,51,23,47,159,116,141,118,106,93,50,842,254,997,2261,1945,1816,1523,991,605,268,10666
POA3219,15,24,33,46,111,193,327,309,227,1287,0,4,4,13,14,17,25,11,12,105,56,93,187,144,231,223,241,226,109,1507,505,1476,2505,2283,2795,2615,1971,1276,623,16050
POA3220,4,6,13,22,23,39,90,125,126,446,0,3,3,0,8,5,3,18,8,52,48,100,170,133,161,137,133,116,91,1085,369,1146,2242,2033,2217,2219,1486,813,466,12987
POA3221,0,0,0,0,3,0,5,3,0,11,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,7,5,0,0,47,12,40,54,95,123,104,82,30,6,546
POA3222,9,4,9,11,29,60,150,189,123,589,0,0,3,3,3,5,6,6,0,28,54,43,73,95,113,146,178,176,117,995,377,705,1348,1672,1961,2201,1865,1137,447,11712
POA3223,6,4,6,9,21,53,175,141,91,514,3,0,0,4,0,4,9,10,3,38,19,10,32,54,77,151,184,117,56,705,141,232,409,617,904,1390,1618,724,314,6345
POA3224,9,11,12,10,31,81,176,171,104,601,0,3,11,4,0,3,4,6,7,37,27,39,80,69,94,122,192,127,56,806,349,734,1871,1700,1762,1668,1630,888,319,10923
POA3225,0,0,0,3,3,8,28,42,49,125,0,0,4,0,0,0,0,7,0,13,8,5,15,20,32,55,91,72,39,344,60,101,201,320,453,668,856,530,234,3424
POA3226,11,4,9,8,17,28,95,113,105,393,3,0,0,0,0,0,4,0,0,14,16,28,59,80,75,94,128,67,51,605,258,561,1353,1991,1844,2015,1679,708,353,10759
POA3227,0,0,0,0,3,8,19,25,16,76,0,0,0,0,0,0,0,0,0,3,15,8,21,54,40,66,63,37,14,311,84,164,310,678,653,759,597,227,73,3557
POA3228,3,4,5,12,7,36,79,92,78,319,3,0,3,3,3,5,0,9,0,27,37,50,91,145,137,131,115,76,40,816,313,702,1989,2805,2508,2149,1681,708,267,13116
POA3230,0,0,3,0,5,3,18,15,24,74,0,0,0,0,0,0,0,0,0,0,5,0,19,16,27,28,34,27,19,169,32,81,212,253,362,417,425,190,107,2086
POA3231,0,4,0,0,0,4,0,3,8,17,0,0,0,0,0,0,0,0,0,0,8,0,3,12,18,16,18,10,3,87,24,46,66,115,206,270,188,90,29,1036
POA3232,0,0,0,0,0,0,8,6,10,27,0,0,0,0,0,0,0,0,0,5,0,3,20,11,17,28,19,19,13,123,13,37,130,114,117,215,175,93,47,945
POA3233,0,0,3,4,4,7,32,36,7,95,0,0,0,0,0,0,3,0,0,3,6,12,15,22,30,49,30,18,7,193,30,82,195,199,262,412,341,156,52,1718
POA3234,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,0,0,18,0,4,19,20,24,51,30,0,0,154
POA3235,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,8,8,4,4,0,0,0,27,14,21,24,67,57,92,43,7,3,305
POA3236,0,0,0,0,0,7,3,0,0,7,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,12,4,0,0,34,5,11,11,19,44,61,32,10,3,202
POA3237,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,0,15,6,12,14,25,34,52,36,10,0,185
POA3238,0,0,0,0,0,3,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,4,9,0,19,10,3,9,26,53,40,31,19,0,185
POA3239,0,0,3,3,3,0,10,3,3,26,0,0,0,0,0,0,0,0,0,0,5,0,4,3,8,6,6,6,3,42,8,23,34,42,75,69,60,18,11,343
POA3240,0,0,0,3,0,0,18,8,3,40,0,0,3,0,0,0,0,0,0,6,12,9,4,14,23,22,9,4,0,97,63,96,151,271,353,302,181,68,7,1493
POA3241,0,0,7,8,6,17,24,28,30,125,0,0,0,0,0,4,0,0,0,8,5,7,28,26,22,45,32,33,18,213,54,122,231,286,367,402,302,171,91,2032
POA3242,0,0,3,0,3,4,15,3,3,30,0,0,0,0,0,0,0,0,0,0,0,3,3,6,11,12,15,13,0,57,14,32,84,101,115,116,126,47,9,638
POA3243,0,0,0,0,5,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,3,17,11,11,25,41,53,66,55,10,5,277
POA3249,3,0,4,9,15,19,54,30,19,152,0,0,0,0,0,0,0,0,0,7,6,3,14,25,41,60,44,25,9,243,87,110,255,359,503,537,416,143,43,2466
POA3250,8,8,26,48,40,79,227,259,184,877,0,5,8,15,29,41,19,3,3,133,37,55,113,82,119,146,194,165,100,1021,296,744,1432,1318,1515,1603,1318,914,460,9602
POA3251,0,0,0,3,0,0,14,6,4,30,0,0,0,0,0,0,0,0,0,0,7,0,6,3,4,7,11,6,3,45,16,28,49,46,83,76,77,38,7,414
POA3254,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,15,5,18,35,37,47,33,25,9,0,214
POA3260,0,6,9,16,10,40,98,104,57,338,0,0,0,0,3,0,3,0,0,4,8,19,25,31,59,56,92,76,30,407,94,211,394,502,629,700,721,389,149,3795
POA3264,0,0,3,0,5,16,45,56,31,155,0,0,3,0,5,3,4,0,0,16,14,13,18,23,28,45,59,48,26,275,57,118,194,239,286,331,271,211,82,1800
POA3265,0,0,9,0,10,21,36,17,10,105,0,0,0,0,0,0,3,3,0,7,18,9,24,16,28,46,22,17,3,184,74,118,258,290,435,408,218,91,29,1908
POA3266,0,0,7,0,9,26,63,86,41,242,0,0,0,3,0,0,0,0,0,3,9,8,23,22,36,13,28,37,24,201,94,153,282,315,474,383,337,235,94,2370
POA3267,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,20,7,13,28,21,49,41,18,9,0,188
POA3268,0,0,7,0,6,14,29,33,19,104,0,0,0,0,0,0,3,3,0,3,6,19,24,25,33,47,43,22,5,224,67,121,256,281,387,399,256,151,55,1975
POA3269,0,0,3,0,0,0,8,4,0,23,0,0,0,0,0,0,0,0,0,0,7,0,15,14,19,19,3,6,0,89,12,41,85,81,109,116,55,30,4,526
POA3270,0,0,0,0,0,3,3,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,3,7,29,5,7,26,20,33,50,39,13,9,206
POA3271,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,15,6,15,15,16,32,47,20,4,0,155
POA3272,0,0,3,4,5,8,24,41,26,104,0,0,0,0,0,0,3,0,0,5,3,4,3,8,21,16,26,23,19,119,31,72,122,152,194,234,215,138,63,1211
POA3273,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,18,0,4,8,9,23,27,19,6,3,110
POA3274,0,0,0,0,3,3,3,3,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,3,0,26,4,11,25,21,35,39,27,8,8,182
POA3275,0,0,0,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,3,3,0,23,12,29,43,59,75,50,28,8,7,306
POA3276,0,0,0,0,0,3,4,3,3,15,0,0,0,0,0,0,0,0,0,0,3,4,0,7,5,10,3,10,3,44,12,17,33,53,93,79,43,23,5,357
POA3277,0,3,3,4,8,13,30,20,15,100,0,0,0,0,0,0,0,0,0,0,12,16,20,34,36,19,22,17,5,177,68,119,216,241,285,257,166,67,32,1447
POA3278,0,0,3,0,0,0,3,6,3,16,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,0,3,0,0,27,11,16,30,49,37,43,32,10,3,234
POA3279,0,0,0,0,0,0,6,3,0,15,0,0,0,0,0,0,0,0,0,0,4,0,3,7,7,3,3,3,0,30,14,10,26,37,47,27,22,12,0,191
POA3280,13,18,48,50,62,185,416,454,325,1575,0,3,24,16,16,11,17,0,0,95,138,150,251,260,345,348,405,386,225,2513,885,2106,3879,3637,4128,3988,3206,1937,950,24719
POA3281,0,0,0,3,4,6,10,12,3,39,0,0,0,0,0,0,0,0,0,0,6,3,9,17,16,23,26,8,0,113,46,77,141,253,267,228,152,37,11,1210
POA3282,0,0,3,3,8,13,46,23,13,100,0,0,0,0,3,0,0,0,0,3,8,14,18,28,33,32,29,23,5,193,56,114,263,321,338,322,234,108,31,1789
POA3283,0,0,0,0,3,12,23,5,3,42,0,0,0,0,0,0,0,0,0,0,9,5,9,11,20,11,20,0,7,93,41,66,100,167,233,229,139,24,12,1009
POA3284,3,0,5,4,5,15,51,54,53,192,0,0,0,0,5,3,0,0,0,9,15,5,22,34,35,62,46,49,39,311,51,86,297,404,394,547,518,294,150,2746
POA3285,0,0,0,0,6,9,19,14,3,51,0,0,0,0,0,0,0,0,0,0,3,4,3,13,19,19,20,15,7,101,26,44,63,163,214,208,170,43,14,949
POA3286,0,0,0,0,4,3,8,13,8,38,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,3,13,6,4,45,12,14,40,53,97,85,73,39,20,440
POA3287,0,0,0,0,0,3,0,9,3,14,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,7,3,0,0,23,9,24,45,59,85,48,33,21,3,317
POA3289,0,0,0,0,3,11,13,17,16,64,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,14,16,3,0,54,11,28,60,66,106,141,99,46,34,585
POA3292,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,4,14,3,3,10,19,18,37,57,16,4,170
POA3293,0,0,0,0,3,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,3,6,0,29,7,8,16,48,41,61,29,28,3,240
POA3294,3,0,0,3,3,4,7,4,6,39,0,0,0,0,0,0,0,0,0,0,3,3,9,19,13,11,11,10,0,83,19,29,72,127,142,155,123,46,30,738
POA3300,12,16,10,19,29,58,180,188,113,633,0,0,4,8,7,5,3,3,3,33,33,32,64,60,88,114,134,149,100,772,276,560,1000,1029,1296,1412,1266,777,406,8015
POA3301,0,0,0,0,3,5,11,12,7,38,0,0,0,0,0,0,0,0,0,0,3,7,10,3,13,17,12,8,3,79,22,40,86,134,209,193,150,49,16,902
POA3302,0,0,0,0,0,6,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,8,12,0,0,34,12,8,30,38,72,60,38,21,10,289
POA3303,0,0,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,0,0,3,3,5,8,3,4,7,5,0,35,7,13,32,47,64,38,32,14,3,249
POA3304,0,0,3,8,10,19,67,46,32,194,0,0,0,0,0,0,0,0,0,9,10,13,28,12,42,61,58,19,15,269,52,124,233,287,411,480,379,161,68,2194
POA3305,8,12,24,30,57,123,194,222,160,828,0,0,3,6,9,3,3,5,3,32,56,72,95,123,167,184,190,137,61,1078,350,644,1184,1471,1907,2034,1465,796,348,10203
POA3309,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,10,4,0,6,15,24,21,21,5,3,94
POA3310,0,0,0,0,4,6,12,3,5,26,0,0,0,0,0,0,0,0,0,0,3,0,9,3,6,3,0,5,4,34,13,0,20,17,61,55,38,21,8,233
POA3311,3,3,0,4,9,15,54,61,41,184,0,0,0,0,0,0,0,3,0,3,5,4,7,5,18,18,35,37,16,157,37,69,108,136,231,264,275,214,97,1425
POA3312,0,0,0,3,7,13,15,13,11,55,3,0,0,0,0,0,0,0,0,4,6,3,3,12,11,16,13,18,0,94,33,34,67,107,163,164,137,70,23,799
POA3314,0,0,0,0,0,3,9,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,6,0,0,28,5,16,60,59,68,98,70,24,3,404
POA3315,3,0,3,3,14,13,30,33,34,129,0,0,0,0,0,3,0,0,0,4,13,0,8,13,12,28,22,23,21,140,39,48,138,146,235,284,204,127,86,1307
POA3317,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,11,0,3,24,19,20,34,22,14,0,145
POA3318,0,0,3,0,6,10,23,22,15,79,0,0,0,0,0,0,0,0,0,0,4,5,3,10,13,17,34,17,22,121,21,52,110,101,184,193,191,112,62,1026
POA3319,0,0,0,0,0,3,9,3,8,26,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,5,0,3,0,14,9,11,17,43,58,80,46,30,7,296
POA3321,0,0,3,0,0,0,23,7,3,41,0,0,0,0,0,0,0,0,0,0,3,3,4,22,12,11,8,0,3,67,36,58,167,241,257,179,126,46,10,1115
POA3322,0,0,0,0,0,4,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,4,0,18,3,7,11,18,19,34,21,26,3,140
POA3323,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,3,6,11,14,21,17,5,5,76
POA3324,0,0,0,3,0,6,17,17,8,52,0,0,0,0,0,0,0,0,0,0,0,6,3,8,15,10,8,7,4,57,14,23,43,44,74,97,82,50,15,441
POA3325,0,0,0,0,0,4,11,14,6,39,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,14,9,10,3,49,14,15,30,45,56,88,70,48,21,378
POA3328,0,3,5,4,9,5,13,9,3,59,0,0,0,0,0,0,0,0,0,0,3,0,10,19,8,15,9,4,0,67,42,56,190,252,278,234,156,38,12,1261
POA3329,0,0,0,0,3,3,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,12,5,10,31,38,35,38,39,12,3,208
POA3330,3,0,0,6,0,3,11,3,3,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,0,0,16,7,6,19,28,30,24,28,18,3,167
POA3331,3,0,3,10,14,23,53,38,36,177,0,0,0,0,4,0,3,0,0,11,23,28,21,52,38,50,50,18,22,311,147,296,721,954,732,617,460,196,100,4226
POA3332,0,0,0,0,3,13,12,10,3,37,0,0,0,0,0,0,0,0,0,0,4,3,5,4,10,10,6,8,0,62,34,54,98,130,154,146,78,38,4,734
POA3333,0,0,4,3,4,3,11,3,3,36,0,0,0,0,3,0,0,0,0,3,6,3,4,5,10,10,15,3,0,65,25,27,69,116,129,130,99,29,5,631
POA3334,0,0,3,3,0,9,3,15,3,33,0,0,3,0,0,0,0,0,0,3,6,0,3,8,12,13,13,8,0,73,12,13,35,78,87,100,60,34,12,434
POA3335,0,5,14,14,21,58,91,23,4,225,0,0,3,0,9,9,7,14,3,47,24,29,121,93,84,53,53,19,3,480,122,365,1478,957,588,458,290,88,13,4368
POA3337,29,29,106,109,150,300,472,241,83,1514,7,7,33,57,57,39,52,27,6,282,142,202,450,367,372,337,311,155,51,2389,1073,2479,5620,5060,4411,4079,2759,925,268,26674
POA3338,18,21,89,77,110,182,292,127,70,982,0,9,32,29,47,27,28,17,7,192,84,109,298,263,195,208,195,131,69,1543,627,1477,3937,3487,2596,2386,1658,613,268,17058
POA3340,10,14,24,32,57,131,245,177,87,779,0,0,9,9,9,9,9,6,3,50,71,65,140,194,181,177,204,143,95,1271,559,1241,2593,2882,2897,2537,1996,819,345,15856
POA3341,0,0,3,0,0,9,18,15,0,46,0,0,0,0,3,0,0,0,0,0,7,9,7,12,23,16,24,3,0,103,50,82,144,235,307,219,180,32,11,1265
POA3342,0,3,7,5,12,21,69,42,19,170,0,0,0,0,3,3,3,0,0,7,14,7,30,25,50,51,48,29,21,275,95,142,325,434,570,460,392,189,72,2681
POA3345,0,0,3,3,3,13,21,3,3,52,0,0,0,0,0,0,0,0,3,3,5,3,12,17,24,10,18,4,4,89,27,39,97,158,210,172,132,30,12,884
POA3350,34,34,88,85,127,270,546,581,406,2171,4,9,18,27,22,19,11,16,3,133,197,316,501,459,502,529,588,442,296,3821,1702,4720,7929,7355,7522,7065,5324,2957,1353,45925
POA3351,8,8,11,14,19,70,102,66,26,318,0,0,0,3,0,0,5,3,0,14,38,13,65,67,75,115,88,37,14,514,242,380,738,1025,1298,1273,841,288,80,6161
POA3352,8,4,16,24,51,98,204,113,52,563,0,0,3,4,6,0,4,3,4,22,47,62,138,179,285,253,206,73,20,1276,415,712,1505,2168,2555,2300,1653,516,158,11983
