POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3851,45,569,650,311,199,1772,76,1846
POA3852,0,8,3,3,0,9,0,9
POA3854,6,82,190,103,77,460,15,481
POA3856,4,55,147,78,53,337,13,353
POA3857,4,20,40,38,29,135,4,136
POA3858,32,349,410,159,127,1077,51,1125
POA3859,10,58,104,57,53,286,11,296
POA3860,114,822,977,427,277,2619,108,2724
POA3862,32,294,414,222,135,1108,48,1154
POA3864,0,17,36,15,10,74,7,82
POA3865,3,46,72,29,14,162,12,168
POA3869,8,141,210,113,77,546,37,583
POA3870,14,118,210,93,47,482,15,499
POA3871,16,313,385,158,128,1002,42,1047
POA3873,3,17,48,25,26,114,3,117
POA3874,0,65,94,41,30,228,9,239
POA3875,361,2289,2581,878,488,6593,379,6973
POA3878,11,116,184,69,32,406,9,420
POA3880,60,706,621,169,59,1613,94,1710
POA3882,9,91,164,85,48,397,24,423
POA3885,13,180,303,115,85,693,32,728
POA3886,6,32,73,20,13,139,7,144
POA3887,15,44,31,29,14,128,8,141
POA3888,104,488,489,180,60,1320,75,1393
POA3889,3,28,24,4,7,70,0,68
POA3890,6,51,50,16,9,125,5,137
POA3891,0,19,15,7,3,48,3,53
POA3892,25,189,174,44,17,457,20,470
POA3893,0,0,0,4,3,4,0,4
POA3895,0,24,36,17,14,84,3,88
POA3896,7,49,57,33,11,156,3,157
POA3898,8,82,93,33,19,235,17,260
POA3900,0,18,19,15,12,58,3,60
POA3902,3,55,70,17,10,153,7,162
POA3903,16,81,117,37,26,276,12,289
POA3904,13,186,263,76,29,556,22,585
POA3909,161,1149,1116,325,152,2900,189,3092
POA3910,188,2170,3296,1279,797,7721,206,7929
POA3911,15,299,444,193,174,1124,41,1170
POA3912,156,1253,2021,885,705,5019,140,5157
POA3913,22,267,464,208,170,1137,26,1161
POA3915,296,1553,1224,392,226,3688,205,3898
POA3916,3,85,144,54,30,320,8,330
POA3918,27,310,540,189,183,1252,40,1294
POA3919,24,397,470,178,84,1150,32,1182
POA3920,0,17,54,3,0,81,3,85
POA3921,13,22,15,0,3,46,6,55
POA3922,162,1263,1090,253,120,2888,144,3032
POA3923,4,76,103,28,10,225,7,231
POA3925,53,497,538,136,47,1268,64,1332
POA3926,12,293,498,195,89,1101,53,1154
POA3927,13,182,273,81,47,591,24,612
POA3928,0,27,63,44,18,146,4,151
POA3929,4,105,160,42,27,336,5,345
POA3930,121,1338,2824,1008,516,5805,145,5951
POA3931,516,3680,3609,947,395,9145,364,9510
POA3933,5,29,102,83,90,305,15,317
POA3934,129,1725,3014,895,431,6207,186,6385
POA3936,134,1516,1865,478,215,4211,180,4389
POA3937,4,108,236,105,54,506,19,523
POA3938,22,330,518,147,57,1084,36,1124
POA3939,392,2230,2093,610,271,5597,340,5936
POA3940,188,1052,586,123,39,1989,141,2132
POA3941,189,1687,1904,496,225,4499,238,4737
POA3942,24,324,415,85,29,875,49,922
POA3943,27,269,251,58,26,625,40,668
POA3944,3,66,80,22,4,178,6,185
POA3945,3,94,166,63,54,371,13,383
POA3946,0,26,24,13,9,73,0,77
POA3950,96,637,651,227,130,1740,63,1806
POA3951,3,81,142,77,45,344,14,361
POA3953,141,924,1102,428,215,2804,102,2906
POA3954,3,37,59,23,19,137,3,139
POA3956,24,349,410,155,80,1010,47,1055
POA3957,0,10,40,14,20,90,7,95
POA3958,0,13,40,22,18,90,7,95
POA3959,12,128,173,63,36,409,14,425
POA3960,59,358,367,142,66,989,40,1023
POA3962,14,140,149,57,32,387,21,411
POA3964,3,21,25,7,7,62,0,58
POA3965,3,36,35,13,3,87,7,94
POA3966,10,62,75,35,26,207,9,216
POA3967,0,11,27,5,5,46,3,53
POA3971,87,558,586,210,146,1588,75,1663
POA3975,55,870,2109,644,299,3970,95,4067
POA3976,288,2305,2981,1084,527,7185,290,7481
POA3977,805,7848,13336,4136,2131,28253,929,29185
POA3978,28,757,1769,448,203,3199,92,3293
POA3979,0,15,40,27,25,102,0,103
POA3980,18,239,477,228,132,1090,60,1143
POA3981,48,371,636,279,207,1546,65,1608
POA3984,70,736,739,315,165,2026,103,2130
POA3987,3,105,180,98,104,494,8,505
POA3988,6,92,137,70,47,347,7,359
POA3990,0,6,18,10,5,41,0,47
POA3991,3,30,40,37,15,133,9,138
POA3992,4,106,160,73,25,373,14,391
POA3995,328,1661,1350,391,178,3899,234,4128
POA3996,104,811,916,204,63,2091,92,2181
