POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3616,..,537,537,652,49,698,268,7,271,265,0,267,121,0,121,50,0,50,1362,586,1951
POA3617,..,11,11,21,0,21,3,0,3,17,0,17,0,0,0,0,0,0,47,11,57
POA3618,..,64,64,89,7,97,44,0,48,27,0,27,17,0,17,10,0,10,184,72,256
POA3620,..,884,884,1058,56,1107,431,3,434,381,0,381,195,0,195,74,0,76,2134,944,3075
POA3621,..,239,239,285,16,301,90,0,93,119,0,118,55,0,55,39,0,39,595,256,848
POA3622,..,38,38,68,4,67,18,0,18,18,0,18,10,0,10,11,0,11,126,40,165
POA3623,..,86,86,152,12,161,43,0,43,29,0,29,16,0,16,7,0,7,254,100,352
POA3624,..,59,59,86,4,88,25,0,25,24,0,24,17,0,17,8,0,8,154,66,221
POA3629,..,1130,1130,1117,95,1212,451,8,456,397,3,398,198,6,203,87,0,89,2253,1240,3491
POA3630,..,3358,3358,3385,296,3683,1591,65,1652,1375,36,1406,683,14,690,429,9,434,7461,3776,11237
POA3631,..,632,632,1198,55,1257,588,17,606,750,7,753,339,0,335,156,0,156,3033,716,3754
POA3633,..,34,34,60,0,60,29,0,30,32,0,32,27,0,27,8,0,8,159,29,194
POA3634,..,130,130,212,11,225,80,0,80,112,0,112,54,0,54,13,0,13,478,143,623
POA3635,..,55,55,69,3,75,31,0,31,25,0,25,5,0,5,9,0,9,147,63,206
POA3636,..,627,627,703,41,745,270,0,274,227,0,227,124,0,124,50,0,52,1382,670,2055
POA3637,..,45,45,69,3,73,28,0,28,30,0,30,19,0,19,15,0,15,159,50,208
POA3638,..,246,246,286,19,299,89,0,89,78,0,78,49,0,49,31,0,31,531,263,794
POA3639,..,74,74,95,9,105,25,0,25,24,0,24,9,0,9,3,0,3,147,81,227
POA3640,..,67,67,103,11,108,47,0,47,46,0,45,32,0,35,23,0,23,257,79,336
POA3641,..,122,122,155,6,157,55,0,53,39,0,39,43,0,43,22,0,22,314,131,445
POA3644,..,1010,1010,1212,83,1289,414,7,428,386,7,386,199,0,199,108,0,104,2316,1106,3419
POA3646,..,42,42,76,6,82,36,0,36,30,0,30,7,0,7,5,0,5,159,48,207
