POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA3124,3,0,5,0,0,0,14,14,0,16,0,4,0,34,54,5,125,31,50,4,270,12,7,31,8,4,0,60,15,3,90,35,139,12,289,32,11,87,28,12,4,163,24,6,127,35,40,6,243,19,0,65,24,43,3,149,16,6,35,19,15,5,106,27,8,73,22,20,0,149,104,27,220,39,6,7,404,17,3,41,18,23,3,108,241,48,528,60,31,19,922,18,3,57,23,17,0,119,47,29,77,18,20,8,194,122,39,111,27,11,3,314,119,36,194,21,19,4,402,8,4,38,10,7,0,70,14,7,25,6,31,3,83,23,5,75,15,23,16,156,941,249,2024,437,506,105,4252,0,3,5,0,0,0,11,0,3,8,0,0,0,9,19,3,68,20,14,0,122,11,0,13,3,3,0,32,6,7,23,12,7,0,60,22,10,62,25,4,0,121,20,8,154,62,27,6,289,8,3,48,25
POA3125,0,0,3,3,0,0,10,5,0,3,0,0,0,10,26,6,60,25,30,3,156,3,0,5,3,5,0,13,15,3,53,28,111,8,210,19,0,39,17,17,3,95,41,4,88,27,33,3,195,19,3,54,44,34,3,160,15,0,30,17,22,5,91,17,3,39,13,10,0,88,38,17,56,20,4,3,133,6,3,28,4,12,3,61,104,22,168,34,11,3,340,14,0,29,19,24,5,92,15,14,35,18,7,0,97,62,15,63,16,7,6,164,36,7,97,15,17,4,168,3,0,13,4,8,0,34,7,3,17,14,34,4,82,23,3,40,18,29,16,125,469,108,930,338,403,66,2319,0,0,0,0,0,0,7,0,0,4,0,0,0,8,17,0,36,12,5,0,70,7,0,9,0,0,0,17,4,0,15,4,3,0,29,18,11,39,8,3,0,80,19,0,76,29,29,4,159,20,3,49,34
POA3126,3,0,3,0,0,0,9,4,0,6,0,0,0,10,20,0,46,15,11,3,95,6,0,12,3,3,0,26,3,3,27,18,38,0,93,14,0,24,10,3,0,55,6,4,43,14,13,4,85,7,0,18,5,11,0,44,13,3,9,6,10,3,39,16,7,22,5,4,3,56,42,8,90,18,6,4,165,15,3,13,8,6,0,46,90,16,180,18,9,3,319,6,0,9,0,10,0,29,21,0,25,5,0,0,59,32,12,38,4,0,0,88,71,8,108,6,5,6,198,5,0,13,0,3,0,25,4,0,6,6,6,3,28,16,5,34,4,6,4,71,397,64,732,143,139,43,1525,0,0,3,0,0,0,8,0,0,3,0,0,0,8,7,4,24,9,0,0,48,3,0,6,0,0,0,9,3,3,12,6,0,3,24,6,3,21,16,0,0,43,7,8,52,34,7,4,105,3,0,21,8
POA3127,3,3,8,3,3,0,14,7,0,15,0,0,0,18,38,9,101,27,52,4,244,10,6,21,5,4,0,54,16,5,76,41,132,9,272,36,5,69,19,21,8,152,24,7,92,27,40,8,192,8,4,46,38,39,0,133,9,5,46,15,8,3,96,31,10,84,0,11,3,143,95,36,180,39,13,4,368,13,0,59,17,26,0,123,173,50,451,54,30,9,776,15,3,42,17,9,3,88,51,22,67,30,17,0,190,103,27,100,10,9,0,250,92,20,174,27,20,3,336,11,5,38,10,5,0,69,18,5,16,12,29,3,91,26,10,66,5,15,11,126,783,240,1753,392,495,69,3731,3,3,3,0,0,0,11,0,0,0,0,0,0,0,9,0,50,10,11,0,85,0,3,16,0,0,0,25,5,3,21,15,7,3,54,17,3,38,15,4,0,76,20,15,123,55,34,9,254,10,3,46,18
POA3128,0,0,3,0,0,0,5,3,0,3,0,0,0,6,24,3,75,31,55,3,201,12,0,15,0,5,0,38,22,4,68,46,161,7,301,22,4,63,14,20,0,128,40,5,120,38,51,4,261,20,3,82,66,54,11,242,16,7,52,21,28,3,133,33,3,60,5,5,3,116,52,20,94,36,9,0,221,18,3,38,18,10,0,85,129,18,262,48,32,6,487,19,3,43,18,20,3,110,38,15,65,29,27,0,174,103,27,96,21,19,3,271,56,18,142,39,25,4,279,9,3,31,7,10,3,58,21,8,20,27,43,7,131,25,5,53,24,43,18,166,684,135,1382,498,622,77,3401,0,0,0,0,0,0,4,0,0,3,0,0,0,4,18,9,33,15,8,0,86,0,0,13,3,0,0,18,10,3,20,7,6,3,45,22,3,28,15,13,3,81,31,13,121,56,40,6,259,23,0,83,67
POA3129,0,0,7,0,0,0,10,3,0,0,0,0,0,5,31,10,79,27,46,9,209,11,3,17,3,8,0,51,13,0,55,36,178,12,293,24,9,40,23,17,3,112,26,0,96,32,41,10,202,15,0,44,37,53,3,158,9,7,43,27,32,5,126,26,12,48,17,8,3,108,43,16,92,31,11,6,197,14,3,26,10,15,5,72,124,28,263,52,26,10,498,14,3,39,23,37,4,122,25,6,47,20,25,3,127,92,33,98,16,17,3,262,58,20,125,28,29,6,275,7,3,25,6,10,0,52,8,3,32,13,52,3,109,17,0,45,24,27,8,124,566,159,1218,430,647,94,3108,0,0,4,0,0,0,4,0,0,0,0,0,0,0,16,4,40,18,11,4,87,5,0,14,0,0,0,18,4,0,21,9,7,0,45,12,0,43,20,10,0,94,16,7,86,38,29,8,189,7,3,44,25
POA3130,4,3,8,3,3,0,19,8,0,11,4,4,0,24,47,13,154,53,107,11,384,15,3,35,3,18,3,77,24,5,86,74,378,19,597,45,7,106,49,46,5,251,53,8,134,81,100,12,384,15,3,57,67,67,10,219,30,7,77,53,50,8,220,35,10,91,29,33,4,192,89,26,205,66,20,5,412,15,4,26,25,24,0,94,207,57,483,78,45,12,894,16,7,61,29,53,6,173,55,28,139,60,42,14,343,164,50,169,38,31,14,466,85,36,198,48,37,11,420,12,10,57,16,15,0,114,26,12,55,40,110,5,241,38,11,68,24,61,18,222,984,307,2210,830,1249,162,5739,3,0,4,0,3,0,13,0,0,3,0,0,0,3,18,4,79,24,23,0,156,8,3,18,4,0,0,33,8,0,36,21,10,4,87,21,10,64,23,15,4,146,29,14,165,83,81,20,392,16,0,64,39
POA3131,0,0,6,4,3,0,10,0,0,5,0,0,0,8,46,6,113,50,103,3,320,5,0,23,0,14,0,44,7,7,77,43,275,12,415,28,6,79,32,38,7,197,40,3,105,46,71,10,276,16,3,77,49,63,5,214,22,4,56,35,41,7,164,20,3,68,30,31,0,153,50,14,137,53,11,8,265,6,0,34,15,17,0,77,126,28,303,71,46,9,578,21,3,37,28,31,4,120,36,23,91,34,37,4,225,82,37,101,24,19,4,276,59,25,105,34,39,3,263,8,0,23,11,13,4,54,29,6,37,32,72,6,172,30,4,70,30,51,17,196,627,181,1543,605,987,91,4038,0,0,3,0,0,0,8,0,0,5,0,0,0,4,15,3,55,29,13,4,117,5,0,10,3,3,0,22,9,3,21,10,7,3,56,19,4,51,19,5,0,106,31,4,138,60,68,4,311,4,3,49,34
POA3132,0,0,3,0,0,0,3,0,0,4,0,4,0,6,26,7,66,44,92,8,252,13,3,25,10,19,0,65,7,0,51,38,252,6,358,22,8,52,28,30,3,150,24,8,75,32,45,3,183,7,0,30,27,39,0,101,9,10,40,20,39,3,118,31,3,61,22,11,0,136,40,19,110,33,17,3,223,9,0,22,0,18,0,54,109,22,242,58,35,12,473,9,3,25,22,27,3,86,25,18,77,30,43,4,194,73,41,81,29,16,0,231,29,16,91,25,26,3,187,3,3,11,14,10,0,47,20,3,42,18,48,3,136,16,0,37,21,47,10,129,484,165,1145,470,803,70,3131,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,4,50,18,16,0,101,0,4,14,8,3,0,28,6,0,13,5,9,0,40,10,0,50,10,7,0,82,19,6,100,40,38,7,214,3,3,34,22
POA3133,0,0,0,0,0,0,3,0,0,4,3,3,0,7,29,8,132,63,103,5,339,12,3,23,6,10,3,56,24,4,80,48,270,10,430,32,5,86,43,42,7,207,38,5,97,46,71,8,273,15,0,36,35,36,3,127,17,3,62,22,43,9,163,19,10,58,16,25,7,139,45,18,99,47,11,8,220,12,0,23,7,13,0,63,143,34,288,65,43,12,581,18,3,33,25,46,3,134,42,10,79,27,41,3,201,82,32,131,25,16,6,292,44,10,116,37,34,8,251,8,3,19,9,5,4,51,28,3,33,21,73,0,154,29,6,55,31,49,14,184,631,152,1462,581,944,109,3877,0,0,0,0,0,0,3,0,0,0,0,0,0,6,26,6,70,21,21,3,137,3,6,8,0,0,0,24,7,3,18,17,13,0,64,24,4,48,30,17,0,124,30,3,127,56,41,13,271,3,0,48,30
POA3134,4,0,6,9,11,0,31,0,0,10,0,4,0,12,50,11,161,80,257,18,572,18,3,24,18,21,0,83,18,3,89,89,775,13,996,28,7,72,46,82,0,230,34,12,122,75,147,14,399,19,3,48,54,79,4,208,16,5,72,48,85,10,243,20,6,78,41,32,0,177,41,12,136,65,19,0,279,10,0,22,24,34,5,95,125,45,368,117,95,18,766,21,10,58,34,84,6,212,39,26,104,88,92,11,356,110,61,161,49,33,6,423,48,37,145,64,76,7,377,5,7,25,13,25,3,78,23,8,41,42,170,5,290,24,5,62,50,93,40,276,641,255,1806,1006,2210,169,6091,0,0,12,5,5,0,16,0,0,9,0,0,0,8,24,12,67,45,51,6,211,4,0,21,3,5,0,27,11,3,42,28,41,4,126,19,7,54,32,29,3,148,19,9,149,99,139,19,438,13,0,46,34
POA3135,0,0,8,0,4,0,14,0,0,0,0,0,0,5,22,12,89,46,155,19,346,9,0,26,6,19,0,58,9,0,45,51,430,12,550,14,3,52,38,55,3,170,21,8,59,44,78,6,213,10,0,26,20,49,8,115,3,0,39,25,52,3,121,17,7,53,21,23,0,122,38,10,93,28,19,3,181,0,3,20,15,15,0,53,92,22,233,63,47,7,457,5,0,28,22,58,4,120,27,20,63,54,62,4,237,87,47,124,28,21,3,310,30,15,83,37,48,3,215,4,3,25,11,17,3,62,14,4,37,23,75,3,165,13,0,43,19,62,14,154,413,160,1152,554,1292,104,3670,0,0,3,0,0,0,5,0,0,0,0,0,0,4,13,7,43,24,19,3,107,3,0,9,4,4,0,14,4,4,21,12,10,3,57,7,4,31,18,20,0,76,14,3,61,61,77,7,215,6,0,34,27
POA3136,4,0,13,10,12,0,30,0,0,4,3,12,0,20,48,9,151,122,448,23,801,10,6,28,24,47,3,114,8,14,99,137,1207,39,1506,20,13,92,60,121,5,314,19,6,141,101,205,25,498,13,4,38,47,98,9,206,16,7,55,45,126,16,267,19,9,69,43,60,11,200,50,8,122,73,29,10,298,3,5,31,22,51,5,122,104,48,342,127,112,19,764,8,3,47,37,96,11,201,40,41,123,126,135,4,474,108,78,213,39,63,6,504,51,32,143,81,109,13,435,7,6,34,24,40,0,106,18,11,45,44,243,8,377,21,9,42,39,186,35,335,570,312,1825,1195,3410,253,7571,0,0,3,3,10,0,14,0,0,0,0,6,0,5,19,11,94,50,87,8,267,3,0,16,5,4,3,40,8,3,43,44,60,7,167,16,4,62,51,47,12,195,21,10,167,166,212,22,609,12,6,37,65
POA3137,0,0,0,0,5,0,10,0,0,0,0,3,0,14,3,3,47,41,240,8,340,0,0,12,8,14,0,36,3,3,22,44,495,23,581,0,4,23,11,53,0,95,4,4,29,24,83,6,142,0,0,0,9,32,3,46,3,0,10,12,62,3,88,3,0,5,11,12,0,37,4,4,18,29,11,0,65,0,0,0,5,20,0,27,14,0,49,30,34,4,135,0,0,4,14,39,4,62,6,0,24,35,62,7,128,17,11,50,10,28,4,123,9,3,28,12,30,0,90,0,0,4,5,11,0,28,3,0,9,11,106,8,134,3,0,10,10,81,13,123,77,41,358,318,1411,85,2292,0,0,3,0,0,0,3,0,0,0,0,0,0,0,8,3,20,25,44,0,100,0,0,4,5,3,0,14,0,0,8,13,27,0,56,0,3,10,22,29,0,62,3,0,26,47,84,15,174,6,0,19,22
POA3138,0,0,8,4,6,0,25,0,0,0,0,6,0,5,15,7,66,81,297,16,474,4,3,8,4,28,0,52,8,0,33,48,747,16,852,4,4,31,23,74,5,139,14,3,52,39,151,5,261,4,0,16,19,54,3,91,5,5,27,27,88,4,157,3,3,20,21,28,0,68,10,11,42,29,19,6,123,0,4,13,11,26,0,47,40,16,146,74,64,17,344,4,0,12,14,78,0,114,11,14,43,53,83,8,212,31,24,101,20,31,13,220,19,5,54,37,45,0,172,6,0,18,8,22,0,48,7,0,19,13,189,6,233,3,3,23,28,125,22,206,181,102,719,554,2150,136,3848,0,0,0,3,10,0,19,0,0,3,0,0,0,3,11,3,40,48,65,8,180,0,0,3,7,7,0,18,0,4,16,27,44,4,97,3,0,21,20,32,6,84,10,3,70,70,120,16,281,3,3,24,27
POA3139,3,3,12,14,53,9,94,0,0,0,0,11,0,12,3,0,20,29,227,9,284,0,0,0,0,25,0,27,3,0,15,25,618,20,686,3,3,13,11,53,4,85,0,0,11,18,102,8,143,0,0,8,12,18,3,38,0,0,5,13,78,3,94,0,0,4,9,14,0,26,4,0,10,6,5,0,22,0,0,3,8,10,0,20,9,5,47,29,27,3,117,0,3,5,7,53,3,68,0,3,14,34,48,0,104,13,12,29,12,17,10,88,11,6,24,24,30,3,98,0,0,4,11,9,0,31,8,0,10,7,158,8,191,0,0,16,18,125,30,185,51,42,248,273,1672,121,2414,0,3,19,18,19,6,70,0,0,0,0,0,0,0,0,0,18,16,37,7,82,0,0,3,0,0,0,6,0,0,6,16,36,0,63,0,0,11,18,27,4,59,3,5,35,46,96,10,203,0,0,13,19
POA3140,0,0,3,4,15,4,30,0,0,3,3,6,0,11,9,3,40,49,243,4,352,3,7,15,3,21,0,44,6,0,21,39,594,19,672,0,3,20,23,56,5,107,4,0,26,42,106,7,191,0,0,10,15,37,3,68,3,0,15,16,75,7,112,8,0,8,12,22,3,51,11,0,35,21,12,3,78,0,0,3,7,19,0,27,14,3,78,30,44,0,177,6,3,13,15,34,4,70,3,9,33,45,65,7,160,19,24,48,20,22,0,136,11,15,41,24,23,0,112,0,0,8,7,12,0,26,7,4,5,9,146,3,175,3,0,14,10,101,19,151,103,69,449,389,1653,89,2750,0,0,5,6,6,0,24,0,0,0,0,0,0,0,0,5,25,36,56,3,116,0,0,0,10,4,0,11,3,0,15,17,28,0,69,4,0,16,22,28,3,75,10,6,31,59,92,13,218,0,0,27,17
POA3141,4,0,16,4,3,0,25,10,0,17,0,0,0,33,37,5,134,27,35,9,251,20,3,33,0,7,3,69,26,3,131,34,159,4,361,27,6,103,22,18,10,188,40,10,165,44,59,7,328,32,5,149,92,102,22,399,28,5,81,27,27,3,169,46,17,150,27,27,5,269,116,29,335,59,26,17,578,31,3,89,32,31,7,193,325,65,863,97,49,26,1420,23,4,107,33,32,11,211,69,16,110,27,24,0,241,168,39,122,20,15,5,371,159,22,246,20,24,5,472,23,9,106,26,20,3,189,15,0,32,16,55,3,119,49,10,121,18,34,18,254,1256,249,3102,610,763,154,6136,3,0,11,4,4,0,22,3,0,10,0,0,0,12,30,9,102,11,8,4,167,12,3,29,0,3,0,50,11,4,47,15,7,3,89,25,7,100,21,10,5,175,51,7,329,80,55,24,551,31,0,142,77
POA3142,0,0,3,0,0,0,4,3,0,4,0,0,0,10,15,3,48,22,16,9,106,11,0,11,0,4,0,33,14,8,60,21,68,3,173,15,3,50,12,13,0,96,20,3,75,25,31,14,166,6,0,49,20,22,3,102,10,0,19,9,10,0,51,11,3,27,16,5,3,63,67,13,196,29,9,11,329,20,6,66,28,16,8,139,128,18,342,28,20,15,551,10,0,30,7,8,4,62,21,7,35,11,5,0,84,51,13,50,16,4,0,132,106,16,178,13,0,17,336,8,3,43,7,8,0,72,3,5,8,3,24,0,52,28,0,61,16,11,9,135,557,99,1367,288,278,96,2684,0,0,4,4,0,0,12,0,0,3,0,0,0,5,5,0,24,6,7,3,47,4,3,6,3,0,0,16,9,0,20,18,4,0,54,10,3,39,9,9,3,65,18,6,140,42,21,18,248,6,0,46,14
POA3143,3,0,6,0,0,0,5,4,0,3,0,0,0,5,19,4,39,9,17,3,89,3,0,8,0,5,0,25,7,3,57,9,55,3,131,9,0,26,8,6,0,51,23,5,55,28,14,3,140,6,0,43,22,20,0,98,3,0,17,11,5,0,40,12,0,31,3,4,4,51,45,17,122,20,6,7,216,9,3,44,10,20,5,91,96,11,261,33,7,10,418,10,4,27,8,8,0,54,15,7,40,10,4,0,75,46,17,38,10,5,4,115,60,10,93,13,3,4,179,10,0,22,8,6,0,45,4,0,12,7,13,3,29,11,0,46,15,11,3,87,374,91,998,215,220,54,1953,0,0,4,0,0,0,7,0,0,4,0,0,0,3,10,0,32,5,3,0,56,0,3,4,0,0,0,11,3,0,8,7,5,0,29,4,4,27,17,4,0,52,21,4,101,40,17,0,192,8,0,43,16
POA3144,5,0,8,3,0,3,18,7,3,5,3,0,0,19,17,3,55,6,15,0,102,3,3,8,0,0,0,21,14,3,61,22,49,6,148,6,3,37,8,12,0,71,16,0,70,18,23,0,139,9,0,17,14,16,3,59,16,3,27,5,14,0,65,16,3,40,12,3,3,70,60,16,130,26,14,3,247,8,0,57,21,14,0,97,101,32,263,41,11,7,459,8,0,22,7,6,0,46,27,7,40,11,9,0,96,51,11,43,9,3,0,113,80,13,143,14,3,11,257,3,4,26,9,6,0,49,3,0,20,3,15,0,43,14,0,48,11,10,9,96,469,104,1123,243,216,55,2210,0,0,3,0,0,3,7,0,0,0,0,0,0,5,12,7,28,10,3,0,62,8,3,5,0,0,0,12,8,0,17,4,3,0,34,10,3,36,9,5,0,58,17,11,98,39,14,5,180,4,0,22,13
POA3145,3,0,4,0,3,0,12,3,0,10,0,0,0,11,39,11,119,27,60,4,252,14,3,25,0,3,0,50,15,10,85,55,201,10,375,26,12,87,21,18,6,170,36,5,122,31,68,6,270,19,0,73,41,46,3,182,18,3,63,25,23,3,134,26,10,68,23,12,0,141,98,38,223,38,19,10,429,21,4,60,21,34,3,144,206,47,534,70,26,14,889,9,5,60,18,25,8,126,39,14,74,37,12,4,183,134,34,111,26,12,6,324,132,23,210,25,17,8,411,9,4,41,9,13,0,87,13,0,20,14,51,0,98,30,7,57,35,37,15,188,894,218,2055,517,679,114,4471,0,0,3,0,0,0,7,3,0,4,0,3,0,14,17,8,62,27,8,4,130,10,5,19,3,0,0,33,10,4,31,16,9,3,67,18,10,62,21,10,4,125,37,14,172,61,54,10,351,17,0,74,30
POA3146,4,3,18,5,3,0,30,3,6,11,0,0,0,32,58,14,145,35,57,3,308,11,5,47,7,7,3,81,23,6,120,50,181,10,388,36,15,99,32,18,3,207,52,16,165,48,40,11,323,16,3,77,47,55,9,207,22,3,77,23,22,4,154,47,6,114,21,20,3,221,119,43,320,61,15,12,569,13,12,67,26,29,0,148,261,59,618,65,37,24,1066,24,4,58,22,23,6,147,54,20,99,41,24,0,242,129,38,124,22,16,5,335,139,37,232,28,17,7,459,16,5,56,13,16,0,114,13,8,30,19,58,0,130,38,6,98,28,47,18,232,1067,307,2577,602,690,126,5372,5,3,9,0,3,0,17,0,0,4,0,0,0,6,28,12,82,17,13,0,162,11,3,23,3,3,3,45,5,3,35,19,12,6,77,14,10,83,25,7,0,135,41,20,186,70,56,15,380,8,4,67,28
POA3147,3,0,3,0,0,0,8,5,4,5,0,0,0,20,39,3,79,26,51,6,204,10,0,17,3,3,0,45,15,4,51,34,122,3,224,21,3,71,11,31,0,130,19,4,61,36,36,3,156,10,0,44,18,27,3,98,14,8,33,23,20,4,103,17,3,41,10,14,0,91,38,17,125,32,6,3,227,5,3,24,6,6,3,52,131,30,274,47,19,4,502,12,0,35,20,13,4,86,22,18,47,18,12,0,121,81,20,70,22,9,4,205,34,8,107,20,20,3,194,13,0,29,10,4,0,60,8,0,13,10,43,0,74,19,8,42,11,22,7,103,508,149,1167,357,461,57,2699,3,0,3,0,0,0,7,0,0,6,0,0,0,10,21,5,46,13,15,4,108,4,0,7,0,0,0,12,7,0,26,11,7,0,49,11,5,31,9,8,0,67,19,9,75,29,26,6,166,10,0,31,23
POA3148,0,0,3,0,0,0,4,0,0,0,0,0,0,0,15,5,52,13,32,0,125,3,0,8,3,3,0,22,5,0,27,20,98,12,168,11,3,31,9,11,3,59,22,7,60,27,35,7,156,8,4,25,25,25,4,88,7,0,27,9,24,3,71,13,0,24,7,5,0,52,23,5,54,20,5,3,111,4,0,22,3,0,4,30,51,10,122,20,11,7,223,7,3,24,12,20,3,72,12,3,30,21,5,0,77,25,5,41,12,16,5,101,18,3,56,10,13,0,95,6,0,22,3,12,0,40,3,0,3,16,27,3,45,13,0,36,10,25,10,96,254,49,661,242,360,69,1632,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,27,18,7,0,70,5,0,3,0,0,0,9,0,0,15,8,4,0,24,8,3,24,6,5,0,52,20,3,66,24,26,3,148,7,0,34,11
POA3149,0,0,18,0,3,0,26,3,0,6,0,3,0,17,58,13,210,70,129,17,495,26,10,47,8,14,0,104,44,9,132,80,313,14,590,62,13,117,40,44,7,289,46,18,185,80,72,19,411,28,3,85,58,46,5,231,39,4,82,31,43,14,219,56,13,102,25,19,4,228,106,26,189,35,16,8,375,28,5,51,25,14,9,130,324,45,505,68,46,22,1010,27,3,91,37,47,3,205,68,20,89,53,29,8,274,178,53,155,24,36,7,464,85,25,194,55,38,12,408,5,3,36,14,24,0,93,22,4,41,28,108,13,207,51,3,110,37,75,31,298,1250,272,2448,783,1124,197,6076,3,0,0,0,0,0,8,0,0,3,0,0,0,9,42,8,102,45,19,7,222,21,4,21,4,6,0,49,9,0,31,35,14,4,92,33,7,82,27,15,0,169,40,14,217,81,76,18,446,16,5,68,54
POA3150,5,0,9,6,4,0,34,11,3,4,4,5,0,25,144,34,373,160,234,29,971,43,3,61,14,20,3,151,58,9,182,92,466,19,830,148,7,250,97,70,10,576,94,16,327,130,130,33,738,34,3,169,111,112,20,454,67,18,147,80,103,11,421,95,7,192,37,37,15,392,178,26,331,78,40,10,664,41,7,96,33,38,10,222,513,79,812,128,65,45,1641,38,11,137,53,65,7,308,98,40,171,75,65,7,449,290,53,264,41,48,8,703,183,42,404,68,64,27,782,16,7,54,20,30,8,120,40,12,95,45,148,10,349,88,14,192,70,98,53,511,2176,379,4273,1361,1826,327,10346,3,0,11,3,0,0,14,4,0,5,0,0,0,7,72,6,174,69,48,15,392,11,4,24,5,3,0,53,21,7,63,28,16,7,149,71,11,182,65,33,9,371,73,15,332,164,128,36,750,29,7,120,93
