POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA3067,32,30,62,90,70,165,18,15,31,8,19,24,108,109,218,39,49,91,18,11,31,18,27,43,72,91,164,17,19,28,22,31,54,11,5,15,33,43,78,0,0,0,84,93,176,150,185,329,119,135,255,23,13,37,72,124,200,3,0,3,372,460,827,14,21,40,27,40,62,0,0,3,44,58,103,395,375,770,1101,1221,2321
POA3068,146,129,276,521,484,1010,49,58,110,42,54,100,613,602,1214,190,203,396,44,44,92,86,100,192,323,347,669,16,13,29,28,43,69,17,12,27,53,49,100,4,0,4,110,117,224,243,335,581,191,269,456,28,40,67,171,341,517,0,3,4,632,990,1623,9,21,34,41,77,121,0,3,3,51,105,152,707,781,1486,2585,3065,5653
POA3070,234,185,417,759,723,1482,127,132,256,32,59,97,920,912,1833,415,351,768,77,113,192,113,103,223,611,570,1183,35,30,65,51,66,119,31,12,41,69,78,148,0,3,3,186,185,369,317,486,800,186,325,512,27,47,71,205,350,557,0,3,4,733,1207,1941,13,26,37,36,93,128,0,0,0,50,122,168,787,862,1649,3527,4044,7567
POA3071,158,152,307,494,434,930,144,160,304,32,40,70,665,640,1304,278,207,484,77,108,184,49,51,100,403,359,766,34,40,78,37,45,77,29,11,39,58,60,124,0,0,3,160,166,323,259,324,576,169,209,377,24,31,51,147,289,430,3,0,3,599,847,1448,28,29,54,35,69,110,0,0,0,66,103,166,566,637,1208,2621,2904,5519
POA3072,232,240,472,838,754,1597,234,226,455,63,72,137,1134,1049,2185,469,429,898,197,235,434,79,79,155,742,740,1489,91,84,178,84,135,220,49,33,76,104,128,229,3,0,3,335,378,707,592,628,1219,343,387,736,49,67,115,217,289,504,4,4,4,1209,1373,2582,77,79,158,96,142,233,0,0,0,175,218,394,1324,1322,2640,5148,5319,10463
POA3073,348,334,679,1084,980,2070,436,405,844,127,99,228,1648,1488,3141,667,566,1231,367,385,753,84,87,180,1119,1045,2165,108,119,224,129,157,289,94,42,129,134,182,318,10,3,10,471,507,973,687,729,1422,546,447,994,69,76,148,195,292,494,3,9,15,1505,1562,3065,157,136,289,123,244,370,0,5,3,280,385,666,1988,2162,4150,7367,7478,14843
POA3074,130,112,241,446,448,892,154,189,341,32,40,76,629,677,1308,414,361,769,100,100,201,34,44,77,547,511,1053,74,66,139,46,62,109,34,15,48,50,59,115,4,4,7,207,205,414,251,290,548,106,115,220,24,20,39,46,54,101,0,3,5,429,484,910,60,64,124,56,82,139,4,3,10,120,151,268,707,718,1422,2769,2852,5618
POA3075,164,169,336,533,518,1053,245,246,491,49,53,100,826,814,1643,470,486,958,137,118,253,55,49,102,666,648,1314,67,61,123,49,57,109,34,25,58,49,61,105,5,0,9,203,205,405,256,296,550,81,125,203,26,34,60,64,60,119,5,3,6,433,509,945,53,80,135,56,120,168,4,0,8,112,199,306,780,817,1601,3183,3362,6549
POA3076,331,274,608,1078,929,2009,354,352,712,96,108,202,1530,1397,2927,662,607,1268,284,263,541,64,74,136,1014,939,1954,108,84,194,59,116,179,81,36,118,93,123,211,3,4,4,342,365,708,350,423,772,141,162,309,37,53,91,91,133,224,5,3,6,625,770,1402,84,109,188,86,128,215,0,7,9,166,241,409,932,1018,1949,4945,5014,9955
POA3078,98,91,187,322,313,634,75,78,145,32,39,71,421,430,857,146,140,282,83,76,154,110,104,213,334,317,653,30,23,56,30,23,50,17,12,26,52,42,91,3,0,3,125,103,226,213,285,497,91,109,194,19,39,55,78,157,234,0,3,0,399,582,985,15,16,32,23,35,64,0,0,0,40,60,95,370,379,751,1795,1963,3759
POA3079,127,120,243,390,406,801,132,126,260,94,107,206,618,646,1265,190,155,345,136,126,263,245,287,531,566,564,1133,23,28,51,15,26,41,26,9,37,25,38,60,0,0,0,92,99,186,288,362,644,102,123,220,37,32,73,96,121,216,3,0,3,525,632,1159,14,16,24,32,54,82,0,0,0,45,67,112,389,398,783,2367,2528,4891
POA3081,102,97,203,289,319,606,73,82,150,60,58,118,417,458,879,262,223,480,41,57,103,51,37,79,352,310,663,43,47,87,35,44,79,27,17,43,50,50,94,3,6,5,155,156,319,204,217,418,122,96,227,20,21,42,56,107,160,6,0,4,406,447,850,30,31,66,35,81,115,4,5,7,65,119,184,642,739,1383,2142,2330,4470
POA3082,215,170,385,801,713,1512,288,303,589,65,59,122,1143,1075,2220,558,552,1106,428,401,829,80,70,149,1067,1017,2087,70,76,147,44,70,112,106,48,147,79,76,153,3,0,3,300,266,566,477,574,1053,135,149,284,47,49,99,82,133,215,3,4,8,748,911,1657,40,49,91,56,104,157,5,3,5,100,153,251,724,810,1531,4293,4408,8701
POA3083,205,194,397,576,514,1087,407,348,756,68,78,147,1059,934,1992,411,361,775,387,367,760,84,99,180,883,824,1712,72,84,159,51,84,137,73,30,105,80,98,176,3,0,3,284,290,583,1361,1415,2779,627,516,1147,70,73,142,103,168,266,4,4,9,2166,2177,4346,85,82,166,62,110,176,3,3,9,153,194,348,916,975,1894,5669,5600,11265
POA3084,232,270,503,804,760,1565,289,257,547,65,80,147,1167,1095,2262,422,355,781,228,240,466,145,197,340,797,795,1585,36,29,68,20,32,46,36,26,65,42,62,98,0,0,0,134,146,279,407,454,863,122,161,278,40,46,87,118,195,313,0,3,5,685,856,1544,26,26,51,37,80,116,3,0,5,66,102,170,596,666,1266,3677,3934,7609
POA3085,148,141,289,419,384,796,146,166,318,39,36,77,602,591,1193,252,204,458,122,113,235,57,56,111,429,374,808,27,32,58,11,26,41,21,5,28,35,30,65,3,0,3,102,90,195,225,254,480,91,99,192,26,18,40,65,99,167,4,0,4,411,472,883,46,12,62,16,46,69,0,0,0,69,62,128,334,380,718,2095,2108,4207
POA3086,0,0,0,3,0,8,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,255,424,679,36,33,74,3,8,11,0,0,0,0,0,0,298,464,761,0,0,0,0,0,0,0,0,0,0,0,0,38,59,99,346,529,871
POA3087,72,90,161,259,261,517,124,94,218,8,9,18,390,359,751,163,140,303,93,93,189,10,18,25,269,260,525,10,13,25,12,20,26,29,10,34,30,27,62,0,0,0,82,62,145,100,102,199,31,39,71,17,10,30,27,59,85,0,0,0,171,216,386,19,12,27,15,33,50,0,0,0,36,46,78,199,201,400,1217,1237,2449
POA3088,267,277,541,859,801,1661,265,258,521,37,32,71,1156,1094,2251,549,506,1061,256,252,505,76,60,138,881,821,1704,57,43,102,14,20,33,84,31,111,78,72,147,0,0,0,224,165,393,281,370,657,62,114,178,40,35,78,113,172,288,0,3,9,503,703,1204,19,21,41,47,67,117,0,0,0,64,92,161,509,583,1096,3610,3732,7342
POA3089,115,97,211,392,398,792,114,105,225,33,29,63,541,538,1080,337,306,641,130,127,258,49,60,108,519,489,1007,31,14,46,3,7,10,80,20,96,26,34,60,0,0,0,134,80,215,155,196,351,32,44,74,15,21,34,37,82,112,0,0,0,230,345,577,13,6,21,17,32,45,0,0,0,23,38,66,229,214,439,1803,1796,3595
POA3090,20,12,27,77,88,164,56,35,85,16,14,28,142,131,279,48,45,92,41,66,103,30,19,47,117,131,246,3,7,10,0,0,0,13,8,23,6,6,12,0,0,0,28,18,40,48,54,93,7,5,13,3,9,10,6,12,18,0,0,0,59,80,140,0,0,0,3,3,3,0,0,0,3,0,5,53,48,98,421,417,835
POA3091,12,4,16,43,48,89,13,7,19,9,5,19,62,59,119,24,27,52,17,30,49,25,23,46,65,86,153,0,3,3,0,3,3,14,0,18,10,6,10,0,0,0,29,9,33,31,22,50,3,0,3,3,6,12,4,4,12,0,0,0,44,38,77,0,0,4,4,3,4,0,0,0,8,8,12,60,50,117,271,258,528
POA3093,27,33,61,92,87,177,38,41,72,8,7,19,139,133,274,53,29,81,39,51,88,40,39,77,130,124,252,3,7,6,0,6,3,5,3,16,8,8,17,0,0,0,26,27,48,47,59,105,12,21,34,4,4,5,15,23,41,0,0,0,76,110,187,3,0,9,3,11,19,0,0,0,8,13,23,65,93,156,474,532,1004
POA3094,99,85,185,315,269,580,83,97,183,8,10,18,407,371,781,161,181,347,70,74,139,32,24,53,263,278,541,14,11,27,4,9,15,35,8,46,17,15,36,0,0,0,77,46,127,89,86,175,21,36,58,3,10,18,39,73,113,0,0,0,157,206,363,5,10,16,7,34,43,4,0,4,12,42,58,149,188,339,1171,1216,2383
POA3095,267,260,527,1076,975,2049,233,226,463,83,87,172,1388,1292,2688,704,605,1312,268,322,586,186,178,365,1161,1103,2263,47,35,85,10,24,36,138,39,174,65,85,150,3,3,3,264,179,447,373,487,859,80,93,172,44,57,101,105,202,308,0,4,3,603,839,1436,27,32,61,42,87,128,0,0,0,70,115,185,525,564,1091,4285,4359,8640
POA3096,12,18,27,67,69,134,11,9,14,3,3,5,84,79,158,53,59,111,16,21,38,15,19,34,84,94,187,4,0,7,0,0,3,14,0,18,8,4,10,0,0,0,26,8,37,27,31,59,3,9,9,0,3,3,0,14,16,0,0,0,38,57,92,4,3,9,4,5,12,0,0,0,5,14,20,43,51,93,290,317,607
POA3097,9,14,24,38,53,90,4,11,17,16,20,43,61,84,147,32,22,50,24,17,34,33,29,61,89,62,147,3,3,3,0,0,0,8,0,9,3,0,8,0,0,0,9,7,18,23,19,41,0,3,4,3,0,0,10,13,23,0,0,0,33,40,74,0,0,3,0,8,9,0,0,0,0,10,8,49,46,95,258,260,525
POA3099,39,46,87,203,201,398,15,7,25,24,25,53,241,236,479,135,122,258,22,38,58,40,35,76,199,190,391,7,3,12,0,3,7,26,8,40,12,15,21,0,0,0,49,31,78,54,69,122,4,14,25,3,11,11,20,39,53,0,0,0,84,133,216,0,3,6,6,13,16,0,0,0,7,18,22,121,146,260,743,791,1532
POA3101,185,181,371,457,368,822,260,228,486,244,349,587,953,942,1898,163,199,360,295,202,494,468,568,1033,929,965,1895,34,33,69,33,48,73,19,12,30,49,69,119,0,0,0,131,160,291,651,663,1316,206,181,387,78,68,142,153,207,360,4,0,3,1092,1123,2215,28,38,65,56,75,135,0,3,3,83,120,205,777,791,1571,4159,4281,8437
POA3102,66,62,133,205,174,381,108,89,197,41,44,84,348,309,660,114,100,217,97,60,158,105,84,191,314,250,564,3,11,18,9,11,18,10,0,9,14,17,26,0,0,0,34,35,73,155,150,303,20,41,61,15,19,33,30,52,78,0,3,3,215,261,475,3,4,6,10,17,29,0,0,0,10,25,31,169,165,334,1159,1098,2261
POA3103,103,112,220,397,351,751,91,86,179,93,145,242,580,588,1161,318,255,577,114,122,240,283,271,551,715,650,1361,27,11,43,19,27,44,11,3,20,16,37,53,0,0,0,72,90,162,444,420,863,77,120,194,37,44,86,67,89,156,0,0,7,628,675,1303,16,28,44,32,64,93,0,0,0,53,92,143,300,360,664,2452,2562,5016
POA3104,157,170,328,706,605,1314,167,155,322,82,119,195,959,876,1833,739,610,1348,175,160,330,228,265,493,1139,1029,2173,29,20,52,28,26,57,29,3,37,35,41,76,0,0,0,123,92,221,596,553,1141,87,96,185,59,59,116,95,125,215,5,3,10,834,832,1669,14,21,39,34,81,115,0,0,3,51,106,163,426,441,869,3695,3556,7248
POA3105,85,84,172,190,169,356,167,141,311,21,30,55,385,339,720,149,142,293,118,100,216,64,70,131,325,312,646,10,14,22,5,22,25,7,3,15,15,15,37,0,0,3,45,59,105,222,205,430,40,39,80,25,16,41,35,69,100,3,5,6,325,339,663,16,11,25,15,35,56,0,0,0,33,43,80,286,295,580,1494,1477,2971
POA3106,129,109,236,439,404,842,128,134,268,65,56,124,640,591,1237,294,255,552,146,151,300,159,137,294,599,540,1139,29,23,54,16,17,39,38,15,55,33,44,75,0,0,3,117,108,219,335,327,660,57,81,138,28,23,57,64,77,138,0,5,11,482,514,1000,15,20,42,39,70,107,0,0,0,60,94,147,351,394,743,2373,2340,4714
POA3107,116,117,233,359,332,692,139,127,271,32,41,74,526,505,1034,234,230,463,106,109,210,76,84,156,412,416,829,25,15,39,20,21,37,27,5,35,18,29,48,0,0,3,85,71,155,221,234,449,49,63,114,33,19,48,38,57,98,0,6,3,340,373,713,18,14,31,37,62,100,0,0,0,50,72,126,312,331,646,1853,1891,3744
POA3108,127,127,249,494,420,919,94,100,199,41,42,88,636,570,1205,410,372,785,90,118,208,102,120,227,600,610,1214,59,53,115,53,63,114,35,20,50,53,75,128,0,3,3,203,212,410,452,498,957,148,152,303,28,36,61,88,118,208,3,7,8,718,816,1534,38,51,90,54,92,153,0,0,0,94,143,242,479,590,1068,2861,3066,5930
POA3109,247,208,453,890,806,1704,199,171,369,70,69,135,1160,1048,2207,766,654,1425,119,142,258,169,163,333,1051,961,2015,62,42,101,38,57,96,49,15,60,69,78,151,7,0,5,221,192,419,577,623,1203,139,140,274,46,52,97,114,121,241,0,3,3,877,943,1818,40,50,95,88,154,242,3,7,4,135,213,345,490,618,1115,4184,4181,8368
POA3111,100,102,207,310,302,616,111,100,210,89,85,171,515,479,996,205,203,408,132,117,243,134,144,277,470,456,935,18,19,35,5,8,15,25,15,40,20,25,46,0,0,0,68,72,141,233,201,432,45,62,101,26,23,45,36,60,93,3,8,7,335,351,684,8,17,21,24,40,60,0,0,0,30,54,85,271,318,592,1789,1840,3625
POA3113,80,70,153,318,304,621,45,53,100,77,62,139,440,422,854,140,184,331,90,63,156,156,145,301,385,395,782,16,16,29,3,10,14,19,13,32,15,21,38,0,0,0,58,59,111,142,161,302,21,26,49,24,22,41,34,66,103,0,0,0,215,279,495,4,4,6,17,20,34,0,0,0,18,24,44,219,189,413,1424,1438,2856
POA3114,41,28,72,134,108,240,60,46,103,30,23,58,228,175,405,46,45,89,105,57,164,100,84,189,250,186,439,9,8,16,3,0,3,17,6,18,8,8,11,0,0,0,26,19,45,91,106,199,9,10,16,12,5,16,3,27,33,0,0,0,108,153,260,4,4,3,6,15,23,0,0,0,14,16,22,69,58,125,736,636,1367
POA3115,26,25,48,116,112,227,15,16,28,44,25,68,175,157,326,68,60,127,34,37,74,95,92,185,195,185,383,14,5,19,0,4,3,25,4,26,8,5,11,0,0,0,47,15,63,67,72,137,5,9,17,10,11,24,7,16,19,0,0,0,94,101,192,0,4,4,7,7,19,0,0,0,12,11,21,85,81,164,619,583,1200
POA3116,92,64,162,274,271,550,56,48,107,44,60,99,379,377,755,217,175,394,75,61,140,80,97,183,373,343,711,16,16,34,12,7,16,49,17,70,29,26,53,0,0,0,110,62,176,88,129,217,19,29,44,6,24,31,31,55,90,0,0,0,147,228,377,14,7,19,17,30,49,0,0,3,29,40,67,233,229,462,1367,1349,2714
POA3121,129,163,292,390,417,804,111,115,225,40,74,112,544,605,1148,179,297,478,124,77,197,102,94,199,410,466,874,60,40,101,71,89,163,33,19,48,111,119,228,3,7,6,269,274,547,417,592,1014,273,307,579,45,73,121,352,426,769,0,0,3,1088,1400,2487,44,77,125,89,143,234,0,3,3,129,227,360,1260,1324,2582,3831,4455,8289
POA3122,155,138,290,357,360,714,140,138,277,198,173,369,703,659,1359,87,140,227,131,67,194,380,326,709,598,531,1126,91,48,140,49,47,102,16,17,37,56,56,109,0,0,3,209,181,388,1092,968,2061,472,443,915,48,76,120,213,280,498,3,9,6,1827,1769,3600,47,65,109,47,84,136,0,3,3,93,156,246,779,862,1644,4367,4300,8662
POA3123,149,103,253,371,383,757,52,44,95,104,101,209,531,533,1059,64,105,171,85,65,147,236,242,477,386,403,789,26,27,50,30,37,64,11,10,18,44,33,77,0,0,0,108,105,209,439,420,858,196,168,362,33,41,76,97,150,245,0,0,0,765,774,1540,21,27,49,29,54,88,0,0,0,53,84,136,387,418,808,2369,2428,4795
POA3124,187,174,356,662,625,1287,188,154,350,131,166,296,983,946,1929,247,278,525,166,182,349,405,509,915,825,973,1792,24,18,50,16,31,50,23,10,35,32,52,86,0,0,0,99,119,213,592,629,1220,111,156,266,49,53,97,131,183,315,0,10,11,884,1023,1908,18,19,38,34,83,111,0,0,0,49,99,152,456,525,982,3484,3854,7340
POA3125,104,108,212,290,258,546,94,91,179,38,92,133,425,439,866,168,169,336,83,93,174,74,230,308,325,489,812,87,66,152,39,33,73,24,12,39,41,44,83,0,0,0,193,153,346,1174,1218,2394,340,346,687,57,41,97,75,96,172,5,0,6,1645,1707,3353,36,34,72,39,53,86,0,3,3,76,87,164,380,440,822,3140,3435,6568
POA3126,76,48,124,226,210,436,56,30,85,88,99,191,364,345,710,81,116,198,61,51,113,203,217,421,348,375,725,11,8,15,7,9,17,3,4,8,18,25,40,0,0,0,42,43,80,237,233,473,44,45,87,13,18,33,38,68,109,0,0,0,329,370,699,7,14,19,12,22,32,3,0,3,21,32,58,166,194,361,1345,1414,2755
POA3127,159,170,335,622,519,1136,156,149,309,89,150,243,867,813,1682,181,250,429,172,128,300,367,399,766,722,771,1494,31,24,53,21,28,45,19,12,34,34,54,90,0,0,0,104,117,224,439,470,912,95,104,197,39,39,73,91,161,246,3,6,9,662,777,1442,25,17,39,31,68,102,0,0,0,56,86,137,340,380,718,2913,3124,6042
POA3128,141,154,291,436,385,822,112,136,247,56,78,138,611,598,1210,337,331,674,82,99,180,130,174,305,555,606,1158,120,68,189,119,113,235,53,21,73,78,94,170,0,3,8,371,298,670,786,824,1606,310,283,591,46,52,95,104,143,248,5,3,5,1251,1300,2548,83,76,160,92,116,210,3,0,7,179,197,373,612,675,1288,3717,3820,7536
POA3129,151,171,320,560,517,1084,102,96,200,53,52,108,721,661,1382,384,359,736,107,112,217,122,131,254,608,599,1210,51,28,80,35,49,83,30,18,47,41,49,88,0,0,0,153,148,306,414,396,804,144,139,283,30,25,55,82,107,185,0,3,4,668,664,1330,28,32,66,66,88,158,0,3,3,101,120,221,337,376,708,2741,2737,5477
POA3130,335,279,615,1119,978,2094,280,296,573,96,79,175,1495,1354,2848,680,557,1240,243,306,548,251,280,525,1169,1147,2313,80,40,118,41,48,93,75,23,95,64,84,147,0,0,0,258,195,454,622,610,1231,170,203,372,45,62,105,153,231,383,4,3,5,995,1107,2100,40,32,71,81,143,221,0,0,0,122,172,293,687,728,1418,5060,4980,10037
POA3131,228,200,428,630,642,1275,141,195,335,72,59,129,844,898,1745,472,377,847,134,165,302,132,119,249,738,662,1396,64,49,112,36,60,93,37,14,56,50,71,121,0,0,3,186,190,377,349,331,676,136,130,262,31,39,74,104,129,234,0,3,3,623,632,1252,35,38,68,49,108,155,0,0,0,85,146,224,508,670,1178,3213,3400,6611
POA3132,186,168,358,542,517,1059,99,91,191,32,44,77,672,651,1321,301,261,562,104,83,184,79,67,150,481,412,899,25,28,55,31,36,63,40,13,55,48,73,116,0,5,3,143,147,292,193,231,423,78,91,165,31,20,54,80,120,199,0,0,0,379,463,844,23,33,50,46,87,139,0,0,3,74,119,193,310,346,657,2239,2318,4560
POA3133,197,188,386,793,729,1525,133,155,290,62,58,114,991,942,1927,584,536,1121,150,150,292,129,139,266,855,825,1680,49,34,86,17,46,66,47,15,63,42,75,112,0,0,4,161,160,329,399,432,831,89,108,202,29,42,66,91,125,220,6,4,7,615,711,1328,25,26,50,40,81,116,0,3,3,60,111,171,329,369,702,3216,3308,6523
POA3134,305,314,613,1020,920,1941,282,253,533,177,150,329,1477,1318,2803,587,543,1128,243,220,464,348,297,646,1174,1062,2240,83,67,151,50,72,125,110,32,139,81,115,189,3,7,7,329,282,612,416,470,886,125,162,287,40,68,102,148,217,361,3,8,10,727,919,1642,67,69,136,72,146,218,0,3,0,147,214,355,670,697,1369,4832,4803,9633
POA3135,168,185,349,616,590,1208,135,135,270,83,84,168,837,813,1643,371,375,747,153,114,268,120,155,274,647,645,1288,46,35,81,32,32,62,63,23,77,59,87,143,0,0,0,195,174,367,213,224,439,58,83,133,30,35,67,86,138,224,0,3,3,387,483,872,32,30,65,49,92,143,0,3,5,80,131,212,448,458,908,2765,2878,5640
POA3136,417,372,788,1242,1222,2463,252,268,524,247,269,520,1742,1762,3500,811,727,1536,266,245,518,378,358,734,1456,1337,2790,84,89,179,60,73,135,179,70,244,130,156,287,3,3,6,454,391,849,406,499,905,117,156,272,64,77,146,135,293,430,0,7,9,730,1031,1762,55,76,129,94,189,281,4,3,5,155,268,423,990,1222,2210,5936,6383,12321
POA3137,127,115,242,433,412,847,103,81,178,38,37,75,578,527,1103,288,293,588,80,89,171,58,56,115,434,444,874,20,40,61,13,18,30,83,19,104,32,59,87,0,0,0,154,133,289,98,127,224,24,53,69,10,15,26,33,88,118,0,3,3,154,288,444,10,17,32,36,61,96,0,0,0,47,78,125,354,386,744,1854,1965,3816
POA3138,230,194,420,754,698,1455,161,150,313,82,60,146,999,906,1908,493,472,961,114,133,249,135,143,277,742,746,1490,58,62,120,27,39,63,103,42,146,84,76,162,0,0,0,274,214,487,191,247,436,34,63,103,25,28,58,69,112,176,0,3,4,316,458,774,28,42,66,51,81,133,3,3,7,80,121,201,479,562,1037,3112,3209,6319
POA3139,146,118,270,534,449,981,78,95,169,66,67,133,678,610,1285,315,296,612,89,100,182,71,85,157,477,482,956,30,42,70,4,17,23,90,33,120,36,50,81,3,0,6,161,147,301,67,94,160,19,27,44,10,13,19,15,54,71,0,0,0,113,180,291,5,11,21,21,39,59,0,0,4,29,56,82,379,397,774,1974,1993,3966
POA3140,162,171,331,470,499,969,147,149,297,58,77,136,680,723,1405,345,389,732,121,141,266,107,101,204,570,627,1199,24,31,58,16,25,38,88,39,127,54,59,113,0,3,3,184,160,342,108,161,265,21,48,69,23,24,44,39,86,126,0,3,3,195,318,512,13,10,23,24,55,86,0,4,3,40,71,106,382,408,795,2218,2478,4694
POA3141,95,106,205,184,153,341,28,24,56,92,109,200,303,291,599,65,96,165,29,36,70,200,231,429,299,365,664,57,54,115,58,69,123,22,19,44,65,89,150,0,3,5,202,231,439,602,854,1458,288,337,632,51,92,152,263,327,588,5,0,5,1223,1614,2832,33,55,85,76,125,196,0,0,4,106,176,280,1269,1372,2637,3495,4163,7654
POA3142,64,74,141,88,76,168,38,46,80,193,212,410,327,332,656,23,37,63,47,57,107,240,251,487,314,341,654,8,17,24,8,12,22,4,12,13,19,30,54,0,0,0,47,68,118,266,316,584,86,102,188,24,25,52,77,126,206,0,4,4,456,571,1034,11,9,22,20,60,71,0,0,0,28,70,93,464,563,1026,1695,2029,3723
POA3143,69,68,133,108,112,226,35,38,75,120,119,241,269,270,535,22,23,40,27,37,67,124,163,292,175,227,402,13,11,23,8,19,35,3,7,9,20,29,47,0,0,0,47,70,116,168,212,382,56,75,137,18,27,42,67,94,161,0,5,5,306,417,724,13,17,28,13,35,49,0,0,0,21,56,77,315,372,685,1200,1471,2670
POA3144,120,63,186,210,188,407,76,56,131,173,184,356,456,435,892,20,27,54,60,56,114,287,267,558,372,347,724,13,14,32,3,28,35,11,5,17,10,26,33,0,0,0,38,70,108,221,229,448,67,74,137,24,26,52,73,96,172,0,0,3,387,419,804,16,9,23,14,36,46,0,0,0,30,42,69,312,347,660,1713,1733,3448
POA3145,219,201,419,564,521,1086,224,241,463,200,195,396,987,959,1941,114,117,231,236,230,469,411,409,823,762,761,1520,53,43,93,31,53,88,22,10,40,39,54,90,0,0,0,150,157,311,909,1262,2171,294,310,611,43,49,97,113,139,252,3,3,7,1363,1772,3132,35,52,82,43,74,123,0,0,0,82,123,209,522,586,1109,4081,4564,8647
POA3146,256,234,482,743,658,1400,284,246,533,188,238,422,1209,1145,2351,184,209,397,306,264,567,481,534,1009,965,1011,1973,41,23,65,23,39,57,20,8,33,58,61,119,0,0,0,140,129,276,573,664,1232,140,158,298,57,59,112,136,239,378,0,3,4,906,1120,2027,28,16,43,40,75,116,0,0,0,66,94,161,562,567,1134,4110,4296,8405
POA3147,164,145,305,494,435,930,148,171,320,53,60,110,700,665,1362,174,176,352,155,141,291,157,191,353,484,511,991,45,25,70,32,36,67,29,8,35,44,55,96,0,0,0,142,125,267,291,281,574,75,88,162,32,27,61,68,117,182,4,0,6,474,517,986,13,19,30,31,52,82,3,0,0,45,72,114,406,425,829,2409,2452,4867
POA3148,69,76,142,165,146,308,79,80,161,27,38,62,271,256,531,88,82,174,72,64,136,30,39,75,190,192,382,59,32,89,42,48,88,21,7,24,29,35,63,0,0,0,148,117,267,229,221,451,108,94,203,13,20,37,31,60,87,3,0,3,383,390,778,24,22,47,17,32,48,0,0,0,37,58,90,281,284,562,1378,1374,2757
POA3149,235,227,461,984,1006,1991,239,216,452,119,146,264,1347,1368,2711,756,566,1327,225,235,465,305,312,609,1289,1112,2399,85,66,149,62,75,131,67,24,88,73,108,181,3,0,3,284,268,551,904,910,1816,217,232,444,68,59,121,141,193,331,8,3,11,1334,1395,2726,43,47,89,71,127,203,0,3,3,115,183,298,788,822,1613,5382,5373,10761
