POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3166,566,288,113,38,15,0,1820,21,114,155,124,97,19,4,0,537,492,1565,1136,688,347,129,37,12,4404,171,452,400,357,230,103,37,15,1764,207,358,362,453,301,136,94,31,1936,33,31,30,25,20,10,0,0,152,22,26,47,72,43,27,15,9,267,261,410,445,552,361,170,113,42,2350,15,37,43,32,31,13,7,9,183,202,246,202,182,144,143,180,219,1517,1193,3573,2939,2228,1318,617,402,294,12580
POA3167,148,81,45,20,4,0,518,10,34,47,51,27,12,6,0,173,121,418,371,227,153,46,19,8,1367,45,146,161,154,118,56,22,9,722,81,139,196,206,152,100,63,16,964,10,5,11,11,5,6,0,0,54,9,17,27,26,26,21,5,3,123,100,156,228,251,185,122,72,19,1143,5,18,4,4,7,9,3,0,54,71,83,72,84,87,89,71,36,593,367,1053,1036,856,632,365,195,72,4580
POA3168,490,141,69,33,17,3,2278,27,105,72,35,26,13,3,3,281,1199,1846,614,256,176,85,38,17,4239,455,453,211,145,105,46,42,16,1476,163,236,149,174,117,68,58,39,1001,24,10,12,5,8,0,0,0,63,36,20,24,21,12,10,16,3,147,223,264,188,205,136,81,68,43,1217,48,49,21,17,11,5,4,5,159,347,350,155,115,85,91,113,118,1372,2395,4508,1752,906,615,350,285,210,11019
POA3169,294,117,53,25,4,9,1116,6,76,53,37,27,14,0,0,224,332,1170,599,381,200,104,44,9,2829,163,500,313,233,157,88,20,6,1473,181,359,333,334,261,179,99,21,1772,27,24,33,19,16,12,3,0,134,13,43,51,47,39,33,9,0,239,226,423,415,404,321,222,106,22,2142,13,48,29,19,19,13,4,0,148,169,236,159,138,179,176,151,56,1254,948,3022,1852,1331,954,650,337,99,9184
POA3170,331,157,88,57,14,0,1034,11,74,88,68,46,29,10,0,322,277,1012,806,426,287,140,56,14,3023,98,328,339,305,245,126,57,14,1516,137,327,357,382,301,273,166,25,1975,14,14,20,28,9,11,3,0,88,13,29,42,49,47,40,15,10,253,161,368,424,462,357,330,189,37,2319,7,33,31,31,32,17,18,4,177,137,144,138,163,175,182,147,137,1224,702,2333,2153,1612,1230,882,494,210,9623
POA3171,168,64,32,16,8,4,660,5,45,36,19,9,14,4,0,143,326,1002,485,237,132,85,30,9,2314,223,573,266,191,117,61,24,15,1468,228,351,233,247,192,133,93,25,1497,38,32,24,29,19,9,0,0,151,16,49,28,53,40,9,18,7,217,280,430,280,333,247,153,107,27,1865,31,64,32,16,15,7,5,6,171,269,325,228,205,192,166,187,146,1720,1177,2783,1496,1066,753,503,361,201,8339
POA3172,154,74,53,26,3,0,536,5,60,70,60,64,39,3,0,295,253,688,559,342,243,134,50,15,2279,161,400,362,320,236,165,47,17,1698,221,393,424,477,376,341,151,26,2419,26,26,40,28,28,15,7,0,163,16,45,44,60,53,41,15,9,285,261,457,507,571,461,399,172,38,2869,14,30,24,27,25,16,15,0,148,155,165,153,188,166,205,176,138,1348,898,1990,1829,1572,1251,971,464,205,9179
POA3173,319,128,59,27,8,0,908,11,74,87,53,48,18,5,0,293,307,1133,830,413,237,100,36,14,3070,155,434,478,350,209,114,34,8,1790,241,462,457,454,334,271,85,26,2324,35,24,33,30,20,7,0,0,155,28,48,68,57,47,40,13,3,312,299,540,565,539,401,318,95,29,2786,11,34,48,21,29,28,8,3,181,200,191,196,140,179,180,113,43,1229,1004,2764,2515,1641,1158,783,297,93,10264
POA3174,349,128,67,39,11,0,1278,17,112,78,60,45,15,6,4,342,436,1676,827,387,302,151,66,9,3851,325,1123,610,385,284,164,66,27,2968,415,892,648,630,516,364,204,44,3708,62,64,56,47,39,20,7,0,288,52,89,97,101,95,47,41,7,524,533,1048,796,770,643,433,250,51,4528,20,83,58,43,33,37,18,3,289,402,492,380,355,384,383,263,147,2812,1764,5171,3100,2129,1767,1222,676,240,16066
POA3175,418,162,104,43,14,5,1392,19,132,97,68,59,37,12,5,429,376,1891,990,534,409,179,81,20,4479,372,1185,853,585,421,210,95,41,3756,666,1184,1084,887,736,468,235,64,5331,96,105,95,68,48,27,8,5,435,77,135,154,132,96,84,34,15,721,843,1415,1329,1085,886,579,272,84,6492,32,124,78,50,58,39,24,8,399,644,924,690,591,571,549,464,219,4649,2303,6286,4456,3078,2499,1640,957,374,21596
POA3177,54,24,4,3,0,0,173,3,27,15,4,12,0,0,0,55,43,285,158,72,44,14,20,0,639,61,226,179,91,78,41,18,5,698,153,276,245,212,165,97,51,25,1232,27,35,23,18,7,7,0,0,119,12,34,33,26,26,19,7,3,164,192,349,305,255,199,129,58,25,1512,10,15,16,7,7,8,6,0,65,171,208,137,126,131,145,125,44,1088,485,1190,855,573,477,343,225,73,4221
POA3178,382,288,191,55,17,3,1350,15,93,148,160,91,34,16,0,557,415,1202,1159,854,603,232,71,18,4551,222,471,662,743,532,215,80,26,2945,464,648,755,1074,757,339,177,35,4256,48,24,36,46,30,24,5,0,205,39,56,67,132,104,55,40,12,505,550,727,854,1250,896,417,222,47,4964,18,28,26,52,49,30,12,4,229,200,176,157,233,257,180,154,57,1415,1436,3093,3388,3582,2616,1162,576,157,16009
POA3179,85,44,36,8,0,0,225,3,19,36,19,29,8,0,0,113,81,200,216,144,101,35,16,0,792,36,82,123,119,81,56,13,0,511,64,129,148,178,130,87,27,4,769,8,13,16,7,9,9,0,0,53,7,14,16,26,20,7,7,0,105,80,160,178,206,159,102,34,4,928,3,0,5,9,5,4,3,0,35,40,39,49,41,45,37,20,9,276,244,555,685,578,456,259,90,10,2884
POA3180,79,55,35,13,8,0,272,0,26,41,33,18,15,4,0,139,64,288,256,190,119,70,22,4,1006,42,123,95,135,121,70,30,4,624,105,173,189,210,138,122,70,13,1021,11,10,10,3,9,5,0,0,53,9,6,15,14,19,23,15,0,101,132,196,215,228,165,151,86,14,1179,0,11,5,13,16,13,8,3,70,55,45,43,50,56,62,54,15,371,296,757,732,704,528,388,203,44,3652
POA3181,454,219,148,84,17,12,1767,10,242,162,112,87,39,10,0,655,520,2949,1097,558,359,186,103,52,5816,166,595,336,208,169,114,53,44,1682,192,546,238,145,120,52,61,23,1380,17,25,17,19,10,7,3,0,96,25,66,38,38,29,21,4,3,227,236,637,297,196,160,76,73,29,1699,12,36,19,12,10,15,7,9,120,225,785,345,213,193,159,172,110,2191,1194,6026,2717,1519,1124,671,433,254,13934
POA3182,585,323,265,136,24,10,2242,12,238,188,143,106,65,8,0,764,460,2607,1208,679,502,222,85,18,5780,153,708,452,328,231,105,45,13,2042,225,755,368,288,169,108,27,15,1949,27,32,28,9,19,6,3,0,133,28,80,60,58,53,25,19,4,316,277,869,454,354,240,138,44,22,2403,13,67,36,22,24,18,3,4,188,365,1190,619,465,350,262,142,56,3454,1305,6553,3544,2324,1716,949,357,123,16867
POA3183,428,264,171,91,10,4,1595,11,167,171,125,98,37,12,0,625,290,1940,1123,539,358,183,59,26,4517,147,521,353,211,165,102,46,15,1562,172,489,237,167,126,83,38,14,1319,28,33,15,5,7,4,0,0,90,24,37,51,42,26,19,4,5,207,216,555,298,218,157,105,49,21,1625,11,42,27,18,13,16,13,3,148,168,476,282,195,147,130,78,44,1514,875,4293,2682,1580,1112,665,260,115,11581
POA3184,412,270,202,85,9,5,1421,5,150,144,162,121,29,5,0,613,178,1524,1097,706,398,146,52,9,4110,96,403,337,238,157,102,28,10,1362,84,430,269,194,118,51,37,16,1197,19,21,24,20,6,5,0,0,91,8,36,42,43,31,13,5,0,172,110,486,329,255,157,72,44,16,1463,7,28,18,16,8,19,9,0,102,124,450,314,219,167,92,50,12,1434,532,3463,2646,1860,1204,548,189,57,10503
POA3185,274,238,153,76,29,4,1041,4,93,115,139,110,49,12,0,517,173,991,802,546,369,206,63,19,3168,48,243,172,160,165,114,40,17,965,83,218,129,136,106,70,42,25,811,12,14,10,15,5,8,3,0,60,6,38,21,29,19,30,14,6,166,105,268,160,184,129,98,62,34,1033,7,23,11,15,11,10,3,8,81,79,176,152,105,114,89,58,41,809,431,2041,1688,1369,1045,641,270,119,7614
POA3186,416,565,434,234,82,26,2029,4,53,143,206,175,109,32,10,734,297,845,1137,1274,1015,646,268,101,5590,72,180,233,359,379,335,196,90,1843,86,189,152,242,173,133,76,34,1086,17,11,11,16,15,15,4,0,89,13,20,32,62,77,79,33,23,334,116,221,189,318,265,223,118,56,1504,7,18,22,27,40,33,20,17,188,181,162,159,258,222,247,200,174,1595,704,1731,2301,3021,2523,1826,917,473,13484
POA3187,291,304,208,106,40,13,1119,7,25,102,152,132,64,15,6,509,184,442,819,874,583,290,141,85,3412,53,113,223,327,237,202,126,69,1339,67,121,133,193,188,127,81,52,959,6,5,12,12,6,5,4,0,60,14,14,19,49,37,36,27,28,230,83,135,170,252,233,172,112,88,1246,0,3,18,25,14,14,15,15,105,87,58,115,145,115,121,155,214,1014,422,916,1733,2071,1534,973,601,486,8743
POA3188,318,429,235,112,19,3,1316,3,56,118,191,123,64,16,3,569,176,553,968,961,547,260,95,33,3604,59,175,271,401,285,223,98,33,1543,94,174,178,268,200,145,78,30,1159,18,15,27,12,18,9,4,0,101,17,15,43,50,43,42,11,6,227,128,203,243,334,256,197,93,35,1487,0,12,23,25,21,20,12,3,124,131,138,169,195,171,152,101,79,1127,503,1331,2104,2538,1648,1028,433,188,9762
POA3189,77,43,31,9,4,0,280,0,22,54,24,19,8,0,0,129,70,247,305,165,118,52,23,3,981,42,106,124,102,79,46,22,11,528,47,109,115,128,75,64,31,14,586,10,3,5,13,0,0,0,0,31,3,10,9,13,13,19,5,4,82,60,124,130,154,92,86,41,16,698,3,9,10,13,5,8,3,3,53,52,58,64,53,51,57,57,29,422,232,665,769,550,396,266,149,59,3089
POA3190,193,122,46,43,0,4,551,6,55,83,72,41,23,0,0,284,92,454,611,362,192,65,34,6,1820,47,167,240,243,157,90,42,15,1001,56,158,194,222,142,95,67,37,963,8,9,14,13,13,3,0,0,59,11,18,39,42,28,14,5,6,159,71,180,243,273,186,110,70,43,1183,0,7,12,21,14,16,8,0,77,70,87,115,101,84,69,71,53,643,291,1088,1502,1196,733,411,226,127,5567
POA3191,173,239,146,77,20,11,775,3,27,75,89,91,38,19,3,346,102,346,541,537,350,221,77,39,2212,40,103,152,194,165,151,71,42,912,58,105,95,146,122,92,46,29,694,7,8,6,13,10,6,7,4,53,4,10,15,33,28,23,15,14,142,71,124,126,186,157,120,66,45,891,3,3,16,14,17,11,8,11,87,43,86,66,91,97,93,79,100,653,264,797,1144,1348,1028,724,328,258,5878
POA3192,372,187,100,53,17,8,1066,5,105,142,143,93,44,17,8,561,211,877,1077,624,413,184,72,34,3500,121,381,432,424,289,208,83,49,1984,201,445,444,496,369,210,150,70,2376,27,17,24,24,11,16,4,4,136,21,31,58,77,58,44,23,18,322,248,493,527,587,435,275,177,87,2835,9,15,20,23,22,17,22,9,141,112,157,165,161,133,182,226,206,1342,719,2350,2736,2146,1496,959,619,396,11428
POA3193,266,380,256,153,53,9,1226,3,32,99,172,185,77,21,4,602,240,467,873,1036,728,455,182,74,4061,69,120,277,429,377,328,162,66,1819,91,121,199,338,284,196,113,74,1415,11,4,18,19,19,16,3,4,99,11,13,32,60,84,58,36,21,313,115,144,246,420,385,272,147,91,1824,5,11,25,28,23,33,24,21,170,123,61,121,183,199,171,141,126,1123,569,935,1907,2652,2154,1493,725,396,10823
POA3194,195,124,102,59,15,4,660,7,69,93,93,80,45,11,3,397,125,623,589,416,259,163,82,35,2291,57,215,252,248,185,131,57,27,1177,119,243,231,293,211,136,92,24,1354,6,14,20,15,4,6,3,3,75,9,22,41,49,42,41,14,7,225,138,272,298,354,257,186,114,31,1652,9,11,14,12,22,17,8,13,109,61,90,98,115,101,105,122,97,788,408,1438,1538,1369,1007,699,417,208,7079
POA3195,523,392,237,103,28,3,1651,15,129,246,273,166,70,12,3,910,312,1204,1695,1206,680,261,115,27,5502,171,508,785,817,527,278,125,36,3246,316,613,735,981,652,340,190,71,3904,37,22,41,51,39,23,4,0,228,28,49,91,133,128,65,42,8,546,387,687,870,1165,820,431,236,84,4674,11,32,57,49,44,45,31,14,277,200,223,284,319,284,253,260,196,2027,1119,3115,4464,4224,2759,1428,814,368,18283
POA3196,285,163,92,55,12,0,838,17,104,164,113,92,24,14,0,524,183,959,970,504,333,165,49,11,3179,97,511,581,441,299,212,78,18,2243,267,731,772,729,587,328,181,48,3641,41,33,41,32,33,11,4,0,199,19,46,95,60,62,63,25,7,381,327,804,903,826,681,403,210,60,4219,9,23,32,25,31,20,21,9,162,141,275,267,261,239,315,328,298,2125,786,2884,3205,2336,1770,1203,713,403,13293
POA3197,86,66,44,28,16,3,317,6,35,35,51,40,30,5,0,202,92,322,351,260,192,72,29,10,1326,53,161,255,215,185,94,38,3,1008,116,274,370,392,326,187,76,28,1767,17,15,18,20,8,16,3,0,86,8,25,30,36,47,34,9,7,190,137,311,418,449,375,232,91,33,2045,3,10,9,22,10,13,5,0,73,89,93,115,118,134,144,124,49,872,390,1001,1267,1176,990,621,303,108,5850
POA3198,118,47,45,22,7,3,331,9,61,77,41,56,25,5,0,273,67,488,434,222,164,86,51,13,1524,83,331,349,266,195,122,55,12,1414,213,625,577,509,417,275,127,37,2772,28,25,24,23,18,8,3,0,137,20,36,48,57,58,43,9,7,275,263,680,652,587,491,328,140,45,3183,3,13,14,12,23,15,16,5,102,165,201,234,216,228,224,169,78,1507,587,1866,1875,1392,1205,821,447,153,8341
POA3199,303,274,212,114,34,6,1238,21,180,214,220,207,122,22,8,994,293,1289,1317,946,758,485,192,78,5359,308,916,992,952,818,534,202,65,4785,777,1795,1539,1510,1321,853,433,152,8393,116,101,94,83,62,37,12,3,504,72,117,149,184,183,126,70,32,922,971,2009,1782,1777,1568,1015,517,187,9823,20,32,42,41,63,71,45,19,329,569,640,572,610,649,648,596,360,4636,2201,5325,5214,4825,4267,2999,1599,724,27154
POA3200,13,6,5,3,3,0,52,0,7,7,4,3,3,0,0,35,16,62,51,36,30,14,10,3,211,28,86,59,65,42,18,3,8,313,108,201,141,163,130,66,48,16,868,17,11,16,11,5,4,0,0,68,15,12,15,26,11,7,6,3,90,140,227,170,197,141,78,55,18,1028,0,5,6,8,3,4,3,0,24,98,111,96,128,106,84,91,44,750,293,520,398,435,325,214,166,67,2416
POA3201,89,36,29,10,0,0,273,8,46,61,33,22,9,0,0,192,93,442,371,192,121,55,15,0,1286,151,449,381,272,175,78,24,10,1544,407,876,732,720,491,202,60,31,3513,45,52,60,34,25,6,5,0,229,27,46,79,59,63,27,14,11,326,482,976,867,815,583,237,77,41,4071,3,22,15,18,20,16,7,0,111,189,227,235,235,225,227,199,180,1708,927,2257,2025,1605,1177,636,330,229,9178
POA3202,49,38,9,8,0,0,128,0,13,23,13,9,3,0,0,58,28,87,150,108,40,14,12,3,438,6,35,57,68,30,11,0,0,215,24,31,64,68,47,28,6,4,274,3,0,3,8,4,0,0,0,15,0,6,11,12,7,10,3,0,45,28,38,81,88,57,35,9,4,331,0,3,6,3,3,4,0,0,22,25,17,26,14,14,28,22,46,188,87,217,392,322,162,102,51,51,1383
POA3204,695,595,288,114,20,8,2404,14,111,224,306,177,77,23,4,938,450,1423,1587,1419,829,311,128,46,6192,163,412,525,634,436,229,89,41,2534,210,369,332,505,400,210,105,62,2197,24,14,22,24,24,9,3,0,118,18,38,43,98,80,57,22,20,381,247,423,405,627,508,274,134,85,2697,13,30,35,54,25,32,14,11,225,188,215,229,248,201,192,144,92,1504,1118,3269,3701,3883,2464,1230,544,277,16491
POA3205,308,184,115,82,14,5,1156,0,95,93,86,59,27,3,0,369,200,1091,706,380,254,131,58,27,2846,66,228,171,141,104,89,40,15,849,67,168,117,107,77,52,20,15,625,12,8,8,5,6,3,0,0,48,7,32,25,21,20,19,8,11,139,83,206,157,133,108,66,28,20,805,0,30,16,12,9,11,6,5,91,132,252,172,147,145,122,97,37,1100,503,2331,1621,1084,785,529,241,109,7212
POA3206,291,280,168,130,29,6,1088,0,41,80,92,78,37,8,3,345,112,569,647,535,370,283,70,20,2606,22,111,130,152,145,109,34,16,714,22,83,94,101,65,47,27,18,452,4,0,7,12,4,5,0,0,42,3,11,20,30,26,19,6,0,126,34,93,123,143,98,72,33,22,610,0,7,15,13,7,16,3,0,62,67,105,117,135,112,124,79,43,780,243,1100,1414,1345,978,766,265,103,6216
POA3207,418,299,196,108,27,3,1399,3,124,167,114,103,45,3,0,558,143,1161,1104,571,399,244,73,23,3712,63,295,304,282,217,145,44,12,1374,86,300,227,267,185,116,47,8,1242,9,18,22,14,10,7,4,0,83,11,35,48,31,42,36,16,0,213,108,358,294,312,233,159,64,10,1542,4,20,18,14,17,23,9,3,112,95,357,282,234,237,152,88,50,1493,422,2654,2590,1817,1403,880,319,101,10193
POA3211,6,12,5,0,0,0,25,0,0,0,4,0,0,0,0,16,5,11,21,15,12,8,0,0,77,3,16,26,21,26,9,0,0,102,39,26,39,64,41,23,3,0,238,0,0,0,5,3,0,0,0,7,3,0,0,7,10,0,0,0,18,44,26,41,79,54,25,3,0,271,0,0,3,4,0,0,0,0,7,25,20,18,37,16,13,8,0,133,77,86,114,174,114,50,9,3,633
POA3212,70,43,45,16,9,0,237,3,43,58,52,29,17,3,0,202,78,376,380,212,138,72,19,7,1276,87,244,313,255,213,108,29,9,1259,299,561,549,587,391,228,78,14,2702,34,29,26,16,15,11,3,0,138,26,35,46,37,45,31,12,3,223,352,622,620,643,448,264,89,22,3065,0,3,23,16,18,13,7,3,85,215,477,419,275,180,141,87,45,1843,734,1831,1878,1495,1072,618,249,81,7958
POA3213,20,14,17,6,3,0,71,0,11,8,14,7,7,0,0,44,26,49,80,83,46,23,9,0,316,35,47,75,66,55,21,13,3,304,75,110,136,171,118,59,27,3,701,3,6,3,6,5,3,0,0,29,3,9,12,4,11,4,4,0,43,84,122,148,185,142,61,30,3,773,4,0,3,3,6,3,0,0,19,57,24,29,61,48,36,17,3,269,204,268,361,420,316,163,64,7,1802
POA3214,40,32,24,15,3,0,161,8,35,31,10,25,10,0,0,111,72,248,154,131,106,44,11,0,772,114,258,229,184,135,66,16,4,1015,499,758,532,569,454,295,123,34,3266,78,81,67,47,28,6,0,0,311,45,78,52,66,52,25,9,0,328,618,918,648,683,537,332,137,37,3900,16,20,10,23,11,8,12,3,106,490,289,299,389,393,374,278,93,2612,1317,1816,1416,1445,1233,854,458,138,8675
POA3215,101,68,47,29,3,0,370,5,68,75,69,59,26,7,0,312,144,605,426,302,229,112,36,14,1878,102,323,301,305,244,144,56,19,1492,342,753,558,545,442,306,171,54,3159,36,50,31,34,30,11,0,0,197,30,48,61,55,51,30,19,15,309,407,840,644,641,519,352,191,68,3664,4,21,17,11,21,25,5,0,107,172,230,162,190,252,265,314,310,1889,851,2204,1738,1584,1373,959,612,413,9722
POA3216,539,378,280,155,48,11,2025,21,256,286,266,238,121,38,14,1237,788,2049,1815,1130,904,562,206,71,7523,330,786,941,904,815,596,285,136,4800,965,1570,1388,1487,1186,738,400,160,7903,143,69,71,66,56,39,13,5,454,63,84,106,133,158,138,48,34,763,1179,1729,1558,1683,1405,912,460,200,9122,19,38,50,38,39,50,43,26,309,473,372,384,430,417,513,573,435,3608,2873,5789,5571,4833,4094,2917,1655,889,28625
POA3217,43,24,28,7,0,0,171,6,56,34,18,14,3,3,0,130,62,349,218,93,74,30,12,0,844,45,236,136,83,58,48,8,4,624,140,410,220,152,112,51,23,0,1104,3,16,12,8,11,3,0,0,53,9,13,23,21,9,8,0,0,82,151,446,258,183,130,62,21,0,1243,3,10,9,4,0,0,0,0,27,68,90,78,41,45,61,32,35,443,342,1247,782,441,351,204,79,41,3482
POA3218,141,104,87,29,3,0,532,3,98,106,75,73,21,3,0,377,177,722,531,302,205,86,35,3,2068,89,232,235,256,180,95,33,9,1138,200,417,343,338,268,146,55,18,1786,20,22,26,22,5,9,0,0,100,10,30,40,34,23,17,3,0,164,233,469,402,395,299,167,63,22,2049,0,24,8,10,16,12,6,0,69,93,163,130,154,123,113,105,49,925,611,1859,1551,1296,981,527,250,88,7160
POA3219,87,64,35,23,5,0,326,7,55,65,53,64,30,7,0,286,155,463,365,217,216,117,54,13,1599,114,270,264,272,234,108,61,20,1347,425,683,552,642,498,281,133,58,3266,46,43,32,33,26,6,3,0,197,35,38,47,58,45,36,17,3,278,510,763,633,732,567,320,154,56,3736,4,20,10,13,21,15,10,4,92,216,184,173,242,271,274,247,139,1738,1009,1871,1589,1592,1401,894,547,228,9130
POA3220,236,174,137,76,21,12,883,8,93,105,147,117,45,10,4,531,226,786,677,504,480,246,91,21,3032,62,218,223,275,317,203,59,34,1398,204,354,256,330,322,174,87,28,1755,30,16,7,19,15,10,0,0,93,13,22,29,38,39,39,17,5,203,247,398,286,387,376,216,110,36,2056,5,17,7,15,20,12,7,5,81,179,177,131,174,156,138,139,115,1219,746,1897,1673,1679,1605,944,436,228,9197
POA3221,5,6,3,9,3,0,33,0,4,3,8,8,7,3,0,25,8,11,34,31,29,8,6,0,138,3,8,12,12,8,13,0,0,57,15,10,16,25,18,12,5,0,108,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,6,15,10,18,26,21,19,5,0,113,0,3,0,3,4,0,0,0,6,10,3,7,7,12,5,5,0,53,38,41,86,101,83,58,25,0,429
POA3222,51,67,59,47,17,3,280,9,33,59,55,70,35,14,0,274,56,224,278,253,271,161,62,15,1326,67,149,195,254,276,206,95,15,1250,232,462,464,493,451,308,164,43,2605,30,27,22,19,25,15,7,0,146,11,30,32,43,63,51,20,5,259,268,523,519,559,528,372,191,44,3008,8,3,16,6,14,16,12,4,84,136,85,93,130,176,219,220,125,1180,545,1038,1215,1320,1397,1056,611,207,7386
POA3223,30,26,46,32,12,3,152,4,5,13,24,46,28,3,0,130,23,65,106,96,143,147,31,7,614,24,43,73,99,160,137,58,18,607,56,106,129,223,288,260,105,42,1213,5,20,6,8,13,18,6,0,77,5,13,14,18,39,31,14,6,144,69,137,154,251,347,305,121,45,1432,3,4,6,15,15,21,11,6,74,45,43,66,88,146,236,141,89,857,168,299,439,593,900,909,379,173,3870
POA3224,47,35,38,28,6,0,206,0,23,40,28,39,29,3,3,173,51,311,262,169,132,118,44,12,1094,70,238,263,220,183,162,53,12,1208,250,634,474,468,384,289,134,32,2669,16,25,26,20,17,14,3,0,120,20,25,44,35,39,41,27,3,235,291,694,538,521,436,345,163,35,3021,3,6,3,5,10,10,12,7,71,111,93,78,107,147,214,147,62,961,531,1411,1233,1095,994,901,429,135,6731
POA3225,31,40,61,57,17,3,209,0,5,18,25,39,38,9,0,145,11,80,111,99,155,156,88,26,729,4,22,31,59,108,152,69,23,458,21,38,45,68,71,84,33,11,376,0,0,0,3,8,13,3,0,30,0,0,10,10,14,24,9,7,75,22,40,54,83,92,122,43,15,475,0,0,0,4,3,10,12,7,37,29,18,22,34,66,98,87,43,390,77,176,264,340,520,618,325,129,2450
POA3226,133,99,74,71,7,3,446,7,65,110,103,112,74,8,0,472,48,382,532,386,339,208,63,19,1973,31,167,257,264,295,210,77,31,1333,171,363,446,359,377,251,84,30,2076,19,12,14,14,15,6,3,0,80,8,20,23,35,42,46,18,11,207,196,394,483,412,436,303,109,39,2366,0,3,5,9,19,16,10,9,70,70,73,90,95,128,166,83,57,767,349,1140,1604,1366,1395,1049,357,157,7421
POA3227,49,53,58,35,10,3,238,0,10,29,54,52,20,5,0,177,18,105,207,149,153,116,32,5,791,13,34,91,72,106,94,32,4,441,42,64,122,141,120,51,31,9,572,3,0,12,4,4,3,0,0,28,3,3,5,9,20,15,3,0,56,44,64,137,155,146,70,39,9,660,0,3,3,7,3,11,4,0,31,33,30,51,42,70,75,31,15,355,113,269,574,533,584,424,152,28,2682
POA3228,230,166,99,80,16,0,712,5,82,129,94,128,62,12,0,510,88,678,861,551,401,257,65,16,2920,49,245,367,364,303,241,76,29,1673,139,414,514,496,345,201,97,23,2229,12,7,23,23,27,17,0,0,113,4,33,48,48,38,45,18,3,232,157,455,579,563,410,262,115,23,2571,3,3,11,18,15,17,13,3,89,128,111,161,162,157,174,111,49,1049,434,1681,2341,1918,1519,1100,402,129,9523
POA3230,21,14,22,27,3,0,112,0,5,14,22,14,14,3,0,80,7,61,82,88,85,95,24,9,445,4,25,30,44,60,56,28,5,254,23,48,43,72,79,48,18,4,342,0,6,3,5,3,3,4,0,19,0,0,3,6,7,11,9,3,41,27,52,51,81,90,66,30,13,407,0,0,4,4,0,4,3,0,16,21,18,16,25,29,48,27,20,206,65,185,223,276,307,305,116,47,1519
