SA1_7DIGITCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2112224,0,0,0,280,216,31,18,271,250,1072
2112225,0,0,3,37,47,16,6,42,63,211
2112229,0,0,0,313,253,58,30,539,124,1308
2112230,0,0,3,120,80,22,14,76,59,368
2112231,5,3,16,112,94,22,14,105,178,526
2112232,3,3,6,157,87,16,7,290,71,624
2112233,3,0,3,141,101,19,16,119,35,436
2112234,0,0,0,134,78,14,7,118,44,388
2112235,0,0,0,197,142,38,9,227,63,685
2112236,0,0,0,131,62,8,12,240,24,482
2112237,0,0,0,94,78,18,16,264,53,528
2112238,0,0,0,221,129,23,13,424,85,897
2112239,0,0,0,450,277,52,40,817,154,1787
2112240,0,0,0,61,34,9,0,83,26,222
2112241,0,0,0,157,92,26,21,220,72,583
2112242,0,0,0,129,85,20,9,213,109,570
2112243,3,0,8,146,104,20,10,359,101,737
2112244,0,0,0,184,123,21,16,282,69,689
2112245,0,0,0,82,58,17,9,127,53,343
2112246,0,0,0,512,311,72,25,841,175,1939
2112247,0,0,0,222,130,21,19,317,88,803
2112248,0,0,0,709,509,88,50,1368,274,2996
2112249,0,0,4,304,177,28,15,651,53,1230
2112302,0,0,0,89,82,15,6,50,48,292
2112303,0,0,3,144,120,32,17,142,92,542
2112304,0,0,0,219,176,40,7,126,63,633
2112305,0,0,3,73,86,23,13,35,10,231
2112306,0,3,5,106,83,21,14,46,48,314
2112307,0,0,3,105,73,14,9,34,33,264
2112308,0,0,0,241,189,37,23,97,78,664
2112309,0,0,0,150,121,31,23,106,53,479
2112310,0,0,0,116,54,11,3,75,16,273
2112311,0,6,4,156,124,36,18,99,106,541
2112312,0,0,0,320,243,56,16,412,135,1184
2112313,0,0,0,0,0,0,0,0,285,288
2112314,0,0,0,246,154,26,17,282,88,810
2112315,0,0,0,0,0,0,0,0,0,3
2112316,3,0,5,218,171,39,26,69,58,590
2112317,0,0,0,0,0,0,0,0,0,0
2112318,3,0,9,156,141,34,32,64,44,469
2112319,0,0,7,121,110,21,12,71,26,369
2112320,0,0,0,159,118,15,14,137,57,499
2112321,0,0,0,48,54,14,26,140,135,419
2112322,8,4,18,39,44,27,22,182,122,431
2112323,0,0,5,61,50,17,9,30,10,177
2112324,0,0,3,118,102,32,22,90,50,406
2112325,0,3,3,151,133,32,29,71,70,490
2112326,0,0,0,40,35,14,10,76,47,224
2112327,0,0,0,250,155,38,13,368,128,952
2112328,0,0,0,172,112,29,13,100,76,505
2112329,3,0,4,176,157,41,16,78,71,545
2112330,3,0,5,297,179,23,24,94,46,667
2112331,0,0,3,228,137,34,20,159,70,654
2112332,0,0,3,276,179,34,11,99,67,670
2112333,0,0,0,28,27,3,0,38,36,129
2112334,0,0,0,190,114,23,17,125,48,518
2112335,5,0,9,130,157,51,23,102,60,515
2112336,0,0,0,185,101,13,9,163,51,513
2112337,8,3,11,131,94,30,22,181,101,565
2112338,0,0,0,92,78,32,14,36,19,269
2112339,0,0,3,158,134,33,17,257,86,693
2112340,0,0,0,268,207,37,20,289,74,890
2112401,0,17,17,0,0,0,0,3,25,27
2112402,0,3,3,149,79,14,8,123,32,397
2112403,0,3,3,14,10,4,3,0,41,76
2112404,0,0,0,113,121,9,9,61,50,356
2112406,0,0,3,78,75,19,8,55,13,250
2112407,0,0,0,763,99,3,4,637,79,1582
2112409,28,3,31,175,149,24,12,150,49,554
2112410,0,0,0,144,62,13,8,163,34,431
2112411,4,0,3,95,75,29,16,68,69,347
2112412,0,0,5,127,90,31,21,52,31,351
2112413,0,0,3,121,114,41,19,68,69,424
2112414,0,0,3,221,166,44,26,178,42,676
2112415,0,0,7,77,72,23,17,58,27,280
2112416,3,0,3,65,43,18,14,59,9,203
2112417,3,0,8,108,84,12,9,51,24,296
2112418,47,171,233,132,79,14,19,159,305,709
2112501,0,0,3,164,109,35,20,64,40,427
2112502,4,0,5,144,112,36,20,94,80,493
2112503,0,4,3,161,151,20,23,63,47,460
2112504,0,0,3,110,76,24,6,20,27,269
2112505,41,75,121,161,124,35,14,134,160,630
2112506,13,12,34,93,85,52,12,59,72,370
2112507,6,0,21,127,141,46,26,89,77,503
2112508,4,0,0,157,122,26,6,54,70,436
2112509,6,0,15,98,71,29,12,31,22,268
2112510,5,0,8,153,106,29,21,54,58,415
2112511,3,0,4,53,43,23,4,83,18,225
2112512,3,0,6,230,147,40,29,112,35,593
2112513,3,0,3,105,73,27,14,40,44,298
2112514,0,0,7,109,83,21,11,23,24,272
2112602,0,0,3,173,143,31,17,82,31,472
2112603,0,0,0,150,110,22,4,63,37,389
2112604,0,0,3,139,77,17,11,47,18,304
2112605,3,3,9,74,81,36,15,55,37,295
2112606,0,0,0,352,206,34,22,175,66,859
2112609,4,0,7,179,169,53,36,127,137,703
2112610,3,0,3,59,59,21,8,52,53,253
2112611,0,0,0,268,171,57,22,238,187,935
2112612,0,0,0,0,0,0,0,0,0,3
2112613,0,0,0,143,119,27,15,106,50,460
2112614,0,0,0,116,77,14,9,140,27,384
2112615,3,3,3,159,113,22,9,126,113,539
2112616,0,0,0,118,103,24,19,112,56,430
2112617,0,0,0,174,131,25,12,148,88,574
2112618,0,0,5,281,202,46,27,255,131,943
2112619,0,0,0,395,297,46,38,476,207,1452
2112620,0,0,0,96,47,15,3,83,17,265
2112622,0,0,0,16,7,0,0,19,58,102
2112623,0,0,0,118,99,14,5,153,145,527
2112624,0,0,0,3,0,0,0,0,0,3
2112625,0,0,0,53,55,21,9,29,8,172
2112626,0,0,0,445,288,57,31,559,248,1619
2112627,0,0,0,53,53,13,3,39,25,184
2112628,0,0,0,109,73,22,9,87,22,321
2112629,0,0,0,527,409,69,45,346,126,1518
2112630,0,0,0,88,51,15,7,92,34,284
2112631,0,0,0,177,134,27,15,178,52,580
2112632,0,3,8,254,218,40,32,309,131,985
2112633,0,0,0,298,180,34,20,299,65,902
2112634,4,3,5,152,136,34,18,98,158,599
2112635,0,0,3,220,140,26,25,227,100,735
2112701,0,0,0,0,0,0,0,0,0,0
2112702,0,0,0,0,0,0,0,0,0,3
2112801,3,3,5,70,57,29,10,40,27,228
2112802,0,0,0,93,90,27,20,46,15,295
2112803,3,0,4,117,141,47,24,61,41,431
2112804,3,0,8,109,118,42,21,71,34,398
2112805,0,0,3,70,90,20,17,45,18,259
2112806,0,0,0,129,96,37,16,72,68,416
2112807,0,0,7,112,97,26,21,86,27,383
2112808,8,6,14,124,126,36,30,88,44,445
2112809,0,0,3,105,112,46,21,57,31,368
2112810,8,3,17,55,87,22,16,62,14,254
2112811,0,0,3,103,74,38,13,37,16,287
2112812,3,5,13,99,121,44,20,46,12,337
2112813,0,0,11,157,166,62,46,69,31,525
2112814,3,0,7,88,94,41,37,56,18,338
2112815,3,3,7,102,93,26,26,47,23,305
2112816,11,4,20,97,87,27,19,116,61,411
2112817,7,0,9,81,92,54,39,41,40,346
2112818,3,0,3,59,80,23,23,26,17,224
2112819,0,0,4,117,120,38,23,57,41,396
2112820,3,0,7,134,121,38,28,63,38,426
2112821,3,0,6,70,90,23,9,42,30,261
2112822,4,0,12,102,101,39,17,50,35,348
2112823,3,0,10,89,79,22,14,32,30,265
2112824,4,0,9,79,86,29,27,46,29,302
2112825,0,0,8,85,102,49,22,43,11,306
2112826,3,9,20,105,129,36,36,65,27,392
2112827,0,0,3,210,207,46,35,155,97,750
2112828,3,4,13,173,173,39,19,95,71,570
2112830,0,0,3,256,183,25,35,147,36,681
2112831,0,0,10,195,159,34,24,153,61,624
2112832,0,0,0,0,0,0,0,0,0,0
2112833,0,0,4,202,143,40,13,89,73,565
2112834,10,3,16,151,124,42,21,114,114,565
2112835,0,0,3,187,135,31,20,98,34,511
2112901,3,0,3,102,101,20,6,68,29,333
2112902,0,0,3,205,130,41,12,65,47,495
2112903,0,0,5,130,116,32,21,67,60,432
2112904,0,3,7,153,110,34,15,52,64,432
2112905,5,3,8,183,178,48,23,62,36,523
2112906,0,0,0,90,72,13,8,38,15,242
2112907,4,0,4,217,158,46,25,84,57,585
2112908,7,0,10,174,125,23,16,80,42,455
2112909,0,0,0,137,94,37,7,36,25,342
2112910,0,0,0,99,86,33,17,49,42,329
2112911,3,0,3,93,76,20,12,53,13,268
2112912,0,0,0,80,75,14,6,26,14,212
2112913,0,0,5,124,109,41,19,44,54,380
2112914,0,0,0,118,97,18,13,37,17,303
2112915,0,0,0,64,64,21,13,25,21,201
2112916,0,0,0,133,137,45,20,46,37,417
2112917,0,0,0,0,0,0,0,0,0,3
2112918,0,0,0,0,0,0,0,0,0,0
2112919,0,0,0,0,0,0,0,0,0,0
2112920,0,0,0,0,0,0,0,0,0,0
2112921,0,0,0,137,113,26,11,44,55,393
2112922,8,0,13,165,124,54,24,74,35,475
2112923,0,0,7,149,117,21,10,83,51,437
2112924,0,0,0,128,116,31,16,45,31,373
2112925,0,0,0,175,137,55,16,61,37,476
2112926,3,0,3,136,112,24,19,68,41,399
2112927,0,0,3,135,84,26,8,58,43,346
2112928,0,0,0,97,97,28,15,36,30,313
2112929,5,0,9,87,80,19,10,45,19,258
2112930,4,0,6,127,97,32,9,63,26,352
2112931,3,0,3,170,130,29,19,70,68,496
2112932,0,0,7,114,103,20,8,37,47,327
2112933,0,0,0,120,97,30,13,44,63,362
2112934,0,0,3,109,85,18,20,34,26,294
2112935,3,0,8,126,91,25,14,48,10,310
2112936,0,0,3,124,142,34,12,54,41,409
2112937,0,0,3,49,61,18,9,23,15,175
2112938,0,4,4,75,66,21,13,36,29,234
2112939,3,0,0,135,109,47,23,56,48,411
2112940,0,0,4,105,93,21,20,43,24,309
2113001,3,0,4,268,187,35,12,104,70,679
2113002,6,0,11,119,137,51,20,100,34,455
2113003,3,0,10,145,149,28,31,54,28,433
2113004,6,0,9,85,68,24,19,87,18,300
2113005,3,0,8,82,102,30,20,43,17,288
2113006,0,0,8,102,90,31,20,54,33,330
2113007,0,0,6,113,153,46,12,61,13,392
2113008,3,0,3,71,85,17,8,39,16,245
2113009,3,0,3,79,69,31,17,75,16,292
2113010,0,0,3,193,150,42,22,62,57,527
2113011,4,0,7,106,95,45,13,90,63,416
2113012,0,0,5,93,74,19,15,36,22,265
2113013,0,9,11,56,71,28,23,85,59,327
2113014,3,3,16,61,63,22,24,56,30,254
2113015,7,0,6,57,60,34,18,54,16,238
2113016,0,0,4,182,142,30,17,92,46,506
2113017,0,0,8,142,168,46,22,85,66,537
2113019,3,0,4,106,107,23,23,35,13,308
2113020,0,4,8,137,176,58,34,113,34,550
2113021,3,0,7,62,85,22,11,25,27,233
2113022,0,0,3,229,168,21,13,83,93,609
2113023,5,0,6,69,67,33,21,42,11,244
2113024,3,0,11,88,117,46,36,90,21,396
2113025,4,0,3,134,137,30,13,59,44,423
2113026,0,3,4,154,146,45,16,75,71,503
2113027,6,4,20,66,76,22,19,98,47,331
2113028,0,0,5,76,74,33,27,52,19,285
2113029,0,3,3,90,89,47,25,104,26,389
2113032,0,0,4,65,74,15,14,31,13,207
2113033,0,0,5,81,73,20,11,55,17,246
2113034,0,3,8,339,279,44,23,166,143,989
2113035,0,3,3,257,154,40,20,98,114,680
2113036,0,0,10,135,110,58,34,73,38,439
2113037,0,0,0,58,54,17,7,22,15,168
2113038,0,0,0,47,49,19,8,29,7,153
2113039,0,0,0,91,87,41,32,48,12,313
2113101,0,0,0,3,8,0,0,0,0,8
2113102,0,0,0,0,3,0,0,0,0,0
2113201,0,0,8,95,106,37,17,60,38,351
2113202,4,5,14,29,33,14,12,81,81,248
2113203,20,10,40,106,91,30,40,163,118,546
2113204,0,3,3,83,80,20,17,42,29,265
2113206,0,0,0,79,76,28,14,41,25,259
2113207,0,0,3,91,88,40,11,29,23,279
2113208,0,0,5,119,137,46,34,31,31,394
2113209,3,0,3,87,130,36,26,45,26,357
2113210,3,0,6,69,75,22,25,89,55,330
2113211,0,0,5,69,51,20,10,29,14,195
2113212,5,3,6,92,80,38,13,49,33,303
2113213,96,5,117,115,154,46,22,217,46,597
2113214,0,0,0,101,75,32,22,64,36,329
2113215,0,0,3,226,185,50,16,90,76,658
2113217,3,0,3,128,122,38,30,93,52,461
2113218,0,0,0,88,86,16,14,63,13,283
2113219,0,0,0,155,92,15,11,63,28,372
2113220,0,0,3,107,74,14,9,62,9,269
2113221,0,0,0,101,49,10,10,50,14,231
2113222,0,0,0,186,106,14,7,79,37,432
2113223,0,0,6,134,125,19,19,49,31,371
2113224,0,0,0,101,95,36,21,38,51,341
2113225,3,0,9,50,50,9,15,65,62,247
2113226,0,0,0,82,79,26,5,31,22,247
2113227,0,0,0,186,148,28,8,87,33,495
2113228,0,0,3,62,60,8,8,26,15,188
2113229,0,0,0,81,69,12,0,39,27,233
2113230,0,0,6,344,275,53,11,188,99,966
2113301,4,0,3,237,174,44,19,174,129,774
2113302,0,0,0,76,66,15,5,52,33,242
2113303,0,0,0,105,52,11,3,46,18,243
2113304,0,0,0,106,86,13,14,59,29,309
2113305,0,0,3,118,96,26,15,85,32,376
2113306,0,0,0,0,0,0,0,0,0,0
2113307,3,0,3,169,112,23,22,83,60,462
2113308,12,0,23,211,153,27,14,111,101,620
2113309,0,0,0,0,3,0,0,0,0,3
2113310,0,0,0,54,54,22,15,17,17,185
2113311,0,0,0,110,93,22,9,62,12,321
2113312,0,0,4,103,92,29,7,79,45,356
2113313,0,0,0,123,88,20,12,56,95,390
2113314,3,0,5,174,140,17,21,94,54,498
2113315,0,0,0,142,110,26,11,60,74,419
2113316,3,0,3,236,162,24,21,137,120,702
2113317,3,0,3,199,174,34,16,113,169,706
2113318,0,3,3,325,207,49,14,174,173,940
2113319,0,0,0,0,0,0,0,0,0,3
2113320,0,0,4,93,98,25,11,48,28,296
2113321,0,0,3,78,55,29,11,31,27,226
2113322,0,7,8,158,135,45,25,99,121,583
2113323,0,0,5,142,131,47,22,80,50,466
2113324,3,0,3,98,90,23,10,42,19,281
2113325,0,0,0,3,0,0,0,0,0,3
2113326,0,0,6,177,130,17,26,82,46,480
2113327,0,0,0,181,126,27,11,135,107,584
2113328,0,0,3,190,152,26,15,81,65,528
2113329,0,0,0,138,113,19,25,85,79,460
2113330,0,0,3,120,91,27,12,93,86,424
2113331,0,0,4,225,157,32,14,128,119,677
2113332,4,0,13,241,178,56,30,112,125,736
2113333,0,0,3,137,111,23,11,53,21,360
2113334,0,0,0,240,181,31,14,135,88,690
2113335,0,0,3,108,91,28,3,51,63,350
2113336,0,3,0,204,132,14,10,93,66,522
2113337,0,0,0,212,170,31,26,116,80,634
2113338,15,3,35,102,100,32,18,105,71,423
2113339,7,0,10,187,152,30,22,78,53,518
2113340,0,0,0,171,111,19,10,68,45,422
2113341,51,0,51,108,57,13,10,201,66,452
2113342,125,6,136,47,52,10,8,225,51,397
2113343,0,0,6,156,119,22,10,79,63,452
2113344,0,0,0,166,135,22,10,62,72,471
2113345,0,0,0,135,106,27,6,95,73,444
2113346,5,0,6,110,108,29,3,142,49,433
2113347,4,0,0,105,68,18,11,42,25,276
2113348,0,0,0,136,97,13,5,77,155,483
2113349,7,0,6,154,144,29,12,79,41,458
2113350,0,0,8,114,102,26,10,85,87,423
2113351,7,3,13,128,120,31,10,77,111,483
2113352,7,0,3,207,131,29,8,121,110,610
2113353,3,0,5,163,131,25,12,64,39,435
2113354,3,3,3,130,84,16,10,72,109,418
2113355,0,0,3,168,120,26,16,73,100,496
2113356,0,4,4,69,67,13,8,50,32,230
2113401,4,0,8,141,114,30,19,77,47,429
2113402,4,0,3,110,91,17,14,52,19,299
2113403,3,0,3,119,85,18,12,62,40,329
2113404,0,0,0,73,67,5,8,23,18,198
2113405,0,0,0,135,116,28,13,70,39,392
2113406,0,0,3,185,135,31,15,80,70,517
2113407,0,0,0,135,112,22,12,78,35,388
2113408,0,3,5,105,109,15,15,46,33,316
2113409,0,0,0,114,93,8,4,62,20,314
2113410,0,0,0,75,45,19,4,44,32,216
2113411,0,0,0,133,108,19,3,44,58,367
2113412,0,0,3,185,138,41,14,54,26,460
2113413,7,3,12,149,145,34,21,92,55,497
2113414,0,0,10,108,97,25,16,54,21,324
2113415,0,0,0,136,103,19,22,60,37,380
2113416,4,0,10,133,137,41,26,82,40,455
2113417,3,0,6,176,125,25,9,46,51,439
2113418,0,0,4,117,66,18,14,37,37,294
2113419,0,0,0,142,112,29,9,55,56,398
2113420,3,0,7,165,137,17,10,85,34,449
2113421,3,0,0,113,75,14,21,48,33,298
2113422,12,0,21,125,96,21,13,117,29,393
2113423,3,0,5,127,96,20,7,60,28,344
2113424,0,0,7,81,66,28,14,40,15,250
2113425,11,5,16,120,125,32,19,70,50,417
2113426,0,0,0,88,93,31,9,57,21,302
2113427,3,3,7,156,106,31,14,67,41,412
2113428,0,0,0,138,103,24,16,58,32,376
2113429,0,0,0,142,82,12,8,38,40,332
2113430,0,0,0,111,100,39,12,54,37,345
2113431,0,0,4,95,91,14,10,48,29,291
2113432,0,0,3,170,148,58,28,62,40,503
2113433,0,0,3,96,103,27,16,48,41,326
2113434,0,0,3,152,115,31,24,84,40,447
2113435,0,0,3,108,99,17,23,57,22,327
2113436,4,0,4,33,41,11,4,37,25,155
2113437,6,0,4,119,121,46,19,75,38,412
2113438,4,0,9,170,132,39,26,98,53,518
2113439,0,0,5,142,85,31,16,67,48,386
2113501,38,10,52,142,115,40,26,130,44,487
2113502,3,0,5,89,108,55,30,45,23,353
2113503,12,4,30,189,164,88,58,123,71,692
2113504,4,3,11,118,100,61,34,65,23,403
2113505,0,0,4,76,81,43,27,56,31,302
2113506,0,0,0,166,116,48,29,67,42,464
2113507,4,3,9,180,144,55,36,96,63,577
2113508,0,0,3,85,73,32,27,55,19,298
2113509,0,3,4,114,77,16,20,44,33,314
2113510,3,0,4,108,106,26,31,64,38,374
2113511,0,0,4,85,92,26,25,48,29,307
2113512,0,0,11,101,106,34,19,41,24,327
2113513,0,0,12,138,102,45,28,80,21,419
2113514,0,0,6,134,93,24,8,64,28,356
2113515,9,8,29,152,101,28,17,74,57,432
2113516,8,0,17,209,136,30,15,92,27,509
2113517,10,4,18,181,170,21,34,106,35,552
2113518,3,0,3,84,55,11,4,28,23,211
2113519,3,0,11,127,124,43,12,40,28,381
2113602,0,0,3,355,205,29,10,165,166,925
2113603,5,0,5,138,91,21,19,69,33,364
2113604,4,0,7,90,102,19,12,43,26,287
2113605,3,3,3,151,123,26,13,76,55,445
2113606,8,4,28,83,53,31,13,125,52,366
2113607,0,3,6,180,135,46,19,80,70,532
2113608,0,0,8,198,116,27,14,82,47,479
2113609,0,0,4,71,78,27,12,43,24,258
2113610,0,0,0,189,115,29,6,79,52,482
2113611,0,0,0,142,99,28,11,80,18,378
2113612,24,4,34,84,73,20,5,82,15,284
2113613,3,0,7,118,112,26,15,63,47,381
2113614,3,4,6,150,105,19,15,98,153,541
2113615,0,0,0,289,174,28,9,128,78,704
2113616,6,8,26,139,74,15,9,162,91,504
2113617,3,0,8,133,103,32,16,58,27,370
2113618,32,3,37,117,102,23,13,116,45,421
2113619,0,0,0,142,111,27,16,80,36,409
2113620,0,0,0,166,112,22,7,45,15,372
2113621,0,0,3,95,94,27,15,61,40,333
2113622,0,0,0,184,102,26,19,73,59,471
2113623,22,6,29,200,110,33,12,140,49,551
2113624,5,0,5,198,144,33,15,85,47,525
2113625,5,0,6,155,107,24,18,92,27,416
2113626,0,0,3,190,141,46,30,86,42,535
2113627,0,0,3,213,116,14,13,59,39,460
2113628,4,0,9,209,185,53,23,93,66,627
2113629,19,14,44,171,113,21,13,98,65,486
2113630,0,0,3,125,121,30,11,65,21,376
2113631,15,4,20,119,91,24,9,66,22,339
2113632,3,0,6,109,88,36,21,57,51,364
2113633,0,3,7,164,162,44,27,67,42,512
2113634,4,0,7,124,109,33,27,76,30,394
2113635,3,0,5,148,119,23,21,64,39,421
2113636,0,0,3,61,81,20,12,36,14,212
2113637,0,3,3,128,96,12,4,46,47,334
2113638,0,0,4,84,78,20,8,46,27,263
2113639,3,0,6,192,141,20,16,69,46,492
2113640,0,0,4,88,64,15,7,33,15,224
2113641,0,0,3,121,85,22,17,58,32,331
2113642,0,0,0,94,81,3,3,69,49,305
2113643,0,0,0,240,150,28,9,96,61,583
2113701,0,0,0,0,0,0,0,0,0,0
2113702,3,0,0,329,228,40,14,189,171,973
2113703,0,0,0,124,79,20,15,40,19,302
2113704,3,0,11,333,212,49,27,155,93,863
2113705,0,0,5,132,87,33,14,74,50,387
2113706,0,0,3,144,126,37,19,72,28,428
2113707,4,3,12,192,142,26,14,82,60,511
2113708,0,0,3,124,117,32,14,45,32,364
2113709,0,3,13,199,163,36,21,88,81,589
2113710,3,3,11,232,167,42,16,96,54,615
2113711,5,0,3,146,108,30,15,60,25,381
2113712,0,0,3,127,70,26,7,40,30,304
2113713,0,0,7,134,101,30,18,51,44,371
2113714,3,0,3,140,97,17,25,76,39,391
2113715,4,0,4,203,124,33,24,55,34,483
2113716,3,0,3,133,92,25,18,48,38,352
2113718,0,3,7,161,92,26,9,79,33,393
2113719,0,0,0,312,204,33,21,140,89,798
2113720,3,0,11,211,130,41,27,83,89,580
2113721,0,0,3,114,90,25,10,29,8,277
2113722,0,0,0,170,128,31,13,60,49,446
2113723,0,0,3,219,163,29,18,76,66,567
2113724,0,0,0,198,128,35,21,76,86,535
2113725,0,0,4,275,177,50,21,128,78,733
2113726,0,0,0,131,97,26,8,65,35,360
2113727,23,21,44,101,99,40,33,237,153,659
2113728,23,3,38,93,67,31,30,204,112,545
2113730,0,4,9,209,174,38,19,119,41,602
2113731,0,0,0,152,111,20,12,77,54,426
2113732,0,0,3,103,58,13,3,60,14,254
2113733,3,0,10,834,549,98,45,643,264,2426
2113734,0,0,4,586,367,78,31,541,142,1749
2113735,5,0,6,254,170,40,23,110,48,645
2113801,5,0,16,92,97,36,11,47,37,328
2113802,0,0,0,152,96,27,13,73,24,381
2113803,0,0,3,108,82,20,26,35,30,299
2113804,4,3,8,78,66,29,29,83,25,307
2113805,0,0,6,110,98,34,18,87,24,367
2113806,0,0,0,56,62,28,21,38,8,213
2113807,11,6,23,66,67,25,15,51,25,260
2113808,7,3,13,101,96,36,18,91,48,394
2113809,3,4,14,65,59,44,27,67,10,270
2113810,5,0,12,103,95,42,34,80,16,365
2113811,3,0,8,106,76,32,21,79,15,328
2113812,9,9,38,189,142,47,41,116,58,594
2113813,7,0,16,104,119,41,30,74,26,395
2113814,13,7,34,178,131,44,24,125,112,611
2113815,8,5,29,95,104,42,20,59,47,368
2113816,14,7,39,86,105,20,25,81,41,356
2113817,3,0,5,94,85,38,15,59,27,322
2113818,3,3,8,96,98,48,36,77,26,375
2113819,6,8,30,98,90,34,29,82,58,395
2113820,0,0,7,143,126,51,33,88,24,463
2113821,3,0,9,91,63,27,16,62,12,270
2113822,19,20,42,105,94,31,22,84,40,367
2113823,8,4,20,148,152,46,36,104,36,522
2113824,8,3,16,131,91,42,34,86,34,411
2113825,4,0,11,140,107,36,14,70,44,416
2113826,7,3,14,99,83,33,24,69,32,336
2113827,3,3,8,125,107,28,27,81,75,449
2113828,4,0,12,59,52,23,23,50,22,221
2113829,7,0,16,102,100,27,20,68,49,365
2113830,9,0,19,107,76,29,26,75,21,339
2113831,7,6,14,70,76,30,21,87,20,300
2113832,3,0,3,47,34,21,10,70,9,188
2113901,0,0,3,91,75,13,12,62,30,286
2113902,39,0,43,120,91,19,7,117,42,396
2113903,0,0,3,222,191,35,21,77,83,613
2113904,4,4,12,928,681,116,62,520,263,2565
2113905,6,0,7,213,133,47,17,106,41,562
2113906,3,0,3,148,132,21,21,44,19,390
2113907,6,0,9,216,178,48,23,92,79,645
2113908,0,0,0,314,269,26,11,88,84,784
2113909,0,3,9,130,126,43,15,56,38,407
2113910,3,0,4,147,122,30,3,73,56,432
2113911,10,0,9,157,142,42,28,59,26,450
2114001,0,0,0,95,80,25,11,28,24,260
2114002,0,0,3,117,102,28,14,30,25,316
2114003,3,0,9,81,80,21,16,40,15,246
2114004,0,0,5,119,92,26,19,24,11,283
2114005,0,0,3,103,95,23,3,28,18,277
2114006,3,0,3,122,99,34,19,44,27,345
2114007,4,0,8,112,94,24,20,49,23,320
2114008,5,6,27,107,128,35,33,86,70,450
2114009,3,3,8,122,132,55,22,45,35,408
2114010,3,0,5,137,140,40,16,55,18,397
2114011,3,0,3,97,95,39,14,41,20,316
2114012,5,3,9,97,83,29,19,37,7,277
2114013,0,0,0,0,0,0,0,0,0,3
2114014,0,3,4,191,129,35,11,66,39,482
2114015,3,0,9,154,97,44,17,47,27,397
2114016,4,3,11,159,143,45,26,55,33,465
2114017,0,0,0,103,99,30,9,42,24,310
2114018,6,0,8,116,79,34,16,24,17,286
2114019,0,0,5,149,107,31,16,38,24,361
2114020,0,0,0,97,83,15,9,31,10,243
2114021,3,0,3,133,114,18,21,80,30,396
2114022,0,0,0,135,115,26,8,41,19,345
2114023,0,0,6,125,97,28,18,53,28,336
2114101,3,0,4,279,203,42,17,108,71,714
2114102,4,0,6,142,103,26,22,61,72,424
2114103,0,0,0,139,101,16,3,43,43,350
2114104,0,19,21,435,358,61,20,193,184,1246
2114105,0,0,0,417,295,46,16,127,90,988
2114106,3,3,7,71,84,42,34,200,119,551
2114107,3,0,4,27,29,12,19,97,73,264
2114108,3,4,5,30,21,23,4,90,60,230
2114109,0,0,3,364,251,46,17,110,82,860
2114110,3,0,8,98,72,11,9,62,37,295
2114111,0,0,0,159,123,25,13,69,48,427
2114112,3,0,10,205,199,53,14,43,54,570
2114113,0,0,0,98,63,20,5,21,32,242
2114114,4,0,4,41,41,21,32,137,115,376
2114201,0,0,0,16,7,7,0,33,66,125
2114202,0,0,0,138,110,19,15,33,46,359
2114203,7,0,11,94,84,42,50,218,84,569
2114204,10,0,11,85,67,45,30,172,110,512
2114205,9,0,9,52,55,22,31,139,80,368
2114206,0,0,0,166,110,20,13,71,72,452
2114207,3,4,8,86,64,29,9,22,18,226
2114208,3,3,8,215,125,31,10,41,60,478
2114209,0,0,0,239,168,28,16,71,110,635
2114210,3,0,3,177,106,31,16,55,49,426
2114211,0,0,3,123,84,16,12,35,57,328
2114212,3,0,10,157,151,27,9,81,60,483
2114213,4,3,9,116,56,17,11,75,23,297
2114214,18,3,24,103,59,11,14,98,86,364
2114215,9,4,12,36,41,17,5,85,90,275
2114216,3,0,4,148,110,23,14,31,31,355
2114217,0,0,0,263,203,37,24,45,93,659
2114218,6,0,5,87,66,9,5,31,17,216
2114219,0,0,3,133,102,20,7,28,39,329
2114220,3,0,9,176,119,26,16,58,59,464
2114221,0,0,3,175,109,54,18,65,67,487
2114222,0,0,0,93,80,20,4,20,24,241
2114223,0,0,0,249,195,37,12,68,67,621
2114301,0,0,3,153,113,26,19,61,22,393
2114302,0,0,3,88,75,41,20,43,13,284
2114303,3,0,6,116,125,49,13,28,23,357
2114304,0,0,0,89,93,31,8,38,29,277
2114305,7,0,14,152,117,45,16,74,53,454
2114306,5,0,9,153,137,29,20,84,29,459
2114307,0,0,8,149,154,48,20,51,48,465
2114308,3,3,8,158,164,48,21,111,44,548
2114309,3,0,3,167,145,35,15,44,37,448
2114310,3,0,4,105,104,32,12,24,41,321
2114311,0,0,3,151,121,25,23,45,33,399
2114312,0,0,3,278,219,48,15,49,74,679
2114313,0,0,4,65,79,16,10,25,21,222
2114314,3,0,11,132,102,28,33,122,63,492
2114315,3,6,10,147,133,32,15,64,38,422
2114316,0,0,3,195,163,25,17,63,51,522
2114317,3,0,7,178,141,56,20,55,31,477
2114318,0,0,3,115,108,36,11,42,23,333
2114319,9,12,38,60,74,30,9,56,40,273
