SA1_7DIGITCODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2104204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,3,0,0,3,4,4,0,0,11,7,5,0,0,16,3,3,0,0,12,3,8,0,0,11,0,3,0,0,6,4,5,0,0,11,0,0,0,0,3,0,0,0,0,0,43,34,3,0,86
2104205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,8,3,0,0,0,3,0,0,0,0,6,3,7,0,0,8,0,4,0,0,11,3,6,0,0,13,5,11,3,0,12,3,8,0,0,11,0,3,0,0,7,3,10,0,0,16,3,8,3,0,11,0,0,0,0,0,28,63,8,0,101
2104206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,9,3,3,0,14,6,0,3,0,10,3,0,0,0,5,6,0,3,0,11,4,0,0,0,10,9,13,0,0,15,13,10,0,0,22,5,6,0,0,16,8,11,0,0,16,4,7,0,0,7,4,11,0,0,23,9,10,0,0,14,3,0,0,0,3,86,76,10,0,177
2104207,3,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,0,0,3,3,0,0,0,4,4,0,4,0,7,3,3,0,0,9,4,7,0,0,9,4,11,4,0,19,3,7,3,0,17,3,16,4,0,17,4,14,3,0,25,20,47,9,0,74,16,46,0,0,58,9,44,0,0,55,6,22,0,0,28,10,71,3,0,86,3,24,0,0,30,0,0,0,0,3,99,319,33,0,453
2104208,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,0,0,0,0,0,4,0,4,0,10,3,8,0,0,11,6,3,0,0,8,14,3,0,3,16,7,3,0,0,12,0,5,0,0,9,5,4,0,0,10,5,9,0,0,16,4,0,0,0,5,0,0,0,0,4,0,0,0,0,3,3,8,4,0,16,0,0,0,0,3,72,49,15,5,140
2104209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,3,0,0,5,11,0,3,0,10,5,3,0,0,7,8,0,6,0,18,3,3,4,0,11,3,7,0,0,17,3,9,0,0,8,9,9,0,0,15,4,8,0,0,17,0,0,0,0,0,0,5,0,0,5,0,14,0,0,14,0,4,0,0,8,3,0,0,0,3,61,70,20,0,148
2104210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,5,0,9,4,0,0,0,4,9,3,3,0,13,4,0,0,0,5,4,0,0,0,5,5,3,0,0,7,3,9,0,0,9,7,3,0,0,14,0,3,0,0,7,5,7,0,0,9,5,5,0,0,13,3,3,0,0,11,0,0,0,0,0,59,45,9,0,115
2104211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,11,9,3,3,0,12,7,5,3,0,15,3,0,0,0,5,4,3,0,0,8,8,14,3,0,20,10,12,0,0,24,0,3,0,0,9,0,4,0,0,5,5,20,0,0,26,7,9,0,0,17,0,0,0,0,0,54,82,19,0,153
2104212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,3,0,4,0,0,0,0,6,0,7,0,0,8,0,3,0,0,4,3,0,0,0,5,4,6,0,0,15,3,6,0,0,7,0,3,0,0,3,0,0,0,0,0,0,11,0,0,13,4,9,0,0,8,3,0,0,0,3,33,54,10,3,94
2104213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,3,0,3,3,3,0,0,6,7,0,0,0,7,3,3,0,0,7,7,3,0,0,5,4,3,0,0,10,3,5,0,0,10,3,3,0,0,9,0,0,0,0,4,3,6,0,0,10,0,5,0,0,12,0,0,3,0,3,47,34,3,3,93
2104215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,3,0,3,8,0,3,0,17,4,0,3,0,8,3,4,0,0,10,14,3,3,0,16,4,3,0,0,13,6,4,0,0,16,0,11,0,0,19,8,7,0,0,17,0,4,0,0,4,0,4,0,0,4,0,3,0,0,3,5,6,0,0,12,0,0,0,0,0,58,61,25,3,143
2104216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,7,11,0,0,0,11,4,4,0,0,12,9,3,0,0,14,3,4,0,0,8,7,4,3,0,13,0,6,0,0,7,11,7,0,0,16,0,17,0,0,18,6,8,0,0,8,0,3,0,0,8,5,7,0,0,10,3,5,0,0,9,0,0,0,0,0,61,68,16,3,143
2104217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,3,3,0,6,3,0,0,0,11,4,5,3,0,13,3,5,4,0,10,4,4,0,0,9,6,13,0,0,19,5,6,0,0,13,3,5,0,0,10,0,3,0,0,7,0,12,0,0,12,0,6,0,0,6,0,0,0,0,0,47,54,16,0,115
2104218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,3,0,16,9,0,7,0,21,16,3,0,0,19,9,10,3,0,18,8,5,0,0,13,3,9,0,0,10,10,6,0,0,13,10,5,3,0,14,4,11,0,0,9,0,5,0,0,5,0,0,0,0,0,3,7,0,0,10,3,0,0,0,6,76,62,20,3,166
2104219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,3,0,0,0,3,9,0,3,0,9,0,0,0,0,3,3,0,3,0,8,3,9,0,0,14,8,3,0,0,13,0,3,0,0,3,9,9,0,0,15,3,4,0,0,5,0,0,0,0,4,4,0,0,0,4,3,4,0,0,4,3,3,0,0,6,5,0,0,0,4,54,44,14,0,115
2104220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,6,3,0,0,0,4,0,0,0,0,3,0,5,0,3,9,0,4,3,0,6,4,6,0,0,9,8,10,3,0,17,0,13,0,0,13,5,10,0,0,9,0,11,0,0,11,0,12,0,0,12,0,12,0,0,13,0,0,0,0,3,33,77,10,0,121
2104221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,7,4,0,0,0,4,0,0,0,0,3,0,3,0,0,8,0,5,0,0,6,3,8,0,0,7,0,8,0,0,13,0,10,0,0,11,0,5,0,0,4,3,14,0,0,17,3,0,0,0,3,0,3,0,0,4,25,52,5,0,81
2104222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,4,4,0,0,4,9,3,3,0,16,4,3,0,0,7,4,3,0,0,8,5,3,0,0,10,14,9,0,0,23,11,18,0,0,27,5,13,0,0,20,3,9,3,0,13,8,11,0,0,24,3,9,0,0,11,0,0,0,0,3,69,93,16,0,174
2104223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,0,0,3,0,3,11,0,6,0,15,7,8,3,0,16,4,0,9,0,14,7,3,0,0,12,0,8,0,0,12,7,4,0,0,10,8,16,3,0,27,3,8,0,0,12,3,5,0,0,13,0,0,0,0,0,0,8,0,0,8,3,7,0,0,12,0,0,0,0,0,69,59,27,4,154
2104224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,7,3,0,0,8,0,4,0,0,4,5,3,3,0,6,0,6,0,0,11,0,0,0,0,7,7,3,0,0,12,3,6,0,0,15,8,7,0,0,16,3,3,0,0,6,0,6,0,0,8,8,10,0,0,16,0,20,3,0,21,0,0,0,0,0,53,72,9,0,138
2104225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,0,0,10,3,3,0,0,4,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,6,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,3,0,0,3,0,12,0,0,12,0,9,0,0,5,0,0,0,0,0,17,37,5,0,58
2104228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,6,3,0,0,12,6,0,7,0,16,5,0,3,0,10,3,8,4,0,14,9,4,3,0,18,0,8,0,0,5,3,16,0,0,18,7,11,0,0,11,6,4,0,0,13,4,3,0,0,4,3,0,0,0,3,4,5,0,0,13,0,0,0,0,0,62,63,23,0,148
2104229,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,12,16,0,0,0,15,0,0,0,0,3,6,0,3,0,9,5,4,3,0,20,3,12,0,0,16,5,4,0,0,8,6,9,0,0,16,4,7,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,4,0,14,0,0,0,0,0,65,59,26,3,144
2104230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,6,0,0,0,6,4,0,0,0,4,7,0,3,0,11,4,3,4,0,9,3,3,0,0,11,5,5,0,0,8,4,17,0,0,20,3,12,0,0,18,0,13,0,0,13,0,7,0,0,7,9,13,0,0,19,0,8,0,0,15,0,0,0,0,0,47,85,10,0,141
2104231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,0,4,0,0,0,0,0,8,4,0,0,11,4,0,3,0,4,7,8,0,0,15,12,9,0,0,14,3,17,0,0,22,0,11,0,0,11,6,28,0,0,42,10,26,0,0,34,7,24,0,0,32,8,8,0,0,16,11,32,0,0,38,8,26,0,0,31,0,0,0,0,0,88,186,19,0,286
2104232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,7,8,0,0,0,4,8,0,0,0,6,3,3,0,0,8,4,3,0,0,9,8,8,0,0,17,4,4,0,0,7,0,3,0,0,3,0,0,0,0,0,0,3,0,0,8,4,6,0,0,13,0,0,0,0,0,36,44,4,4,88
2104233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,8,7,0,0,0,12,9,5,0,0,8,0,4,0,0,9,5,3,0,0,7,0,0,0,0,0,8,4,0,0,8,3,6,0,0,4,3,5,0,0,7,0,0,0,0,0,0,10,0,0,10,11,4,3,0,19,0,0,0,0,3,55,43,13,0,107
2104234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,3,3,0,3,8,0,0,0,14,0,7,5,0,8,3,4,0,0,11,3,13,0,0,20,10,9,0,0,15,3,12,0,0,15,0,10,0,0,11,5,27,3,0,39,4,20,0,0,26,0,0,0,0,0,41,107,11,0,165
2104235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,3,0,3,0,9,4,0,0,0,9,8,0,4,0,15,4,3,3,0,9,0,8,0,0,6,0,0,0,0,0,8,7,3,0,19,3,6,0,0,11,3,3,0,0,5,0,0,0,0,0,0,4,0,0,3,3,3,4,0,9,0,0,0,0,3,44,38,21,4,110
2104236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,7,0,0,0,7,0,3,3,0,4,6,3,0,0,13,0,0,0,0,0,3,8,0,0,7,3,4,0,0,10,8,7,0,0,13,3,3,0,0,5,4,0,0,0,3,3,7,0,0,16,0,4,0,0,6,3,0,0,0,3,48,43,6,0,90
2104237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,3,0,0,8,7,3,0,0,12,7,3,0,0,8,15,3,0,0,16,9,3,5,0,15,3,7,0,0,8,6,9,4,0,11,8,8,4,0,24,0,9,0,0,9,0,9,0,0,11,0,3,0,0,3,4,13,0,0,21,10,13,4,0,18,4,0,0,0,4,76,75,22,0,172
2104238,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,4,0,3,0,3,6,0,3,0,8,0,0,0,0,4,3,3,0,0,6,4,5,0,0,7,9,6,0,0,16,0,11,0,0,15,3,3,0,0,8,3,3,0,0,5,5,14,0,0,14,0,14,0,0,14,0,0,0,0,0,43,62,7,0,115
2104239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,9,0,0,0,0,7,8,3,3,0,9,4,0,3,0,12,0,0,0,0,3,4,0,0,0,9,0,8,3,0,16,4,4,0,0,12,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,39,37,15,3,93
2104240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,5,6,0,3,0,12,3,0,0,0,3,3,0,0,0,3,0,0,0,0,5,0,4,0,0,6,4,5,0,0,10,3,3,0,0,7,0,6,0,0,6,0,3,0,0,3,0,0,0,0,0,3,9,0,0,9,0,3,0,0,4,37,38,9,0,85
2104242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,0,3,4,0,3,0,3,5,0,0,0,5,7,3,0,0,11,3,0,0,0,7,0,6,0,0,10,5,0,0,0,3,7,11,0,0,16,3,9,0,0,10,0,0,0,0,0,40,30,0,0,74
2104243,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,5,5,0,0,0,8,3,0,0,0,5,3,3,0,0,8,7,0,0,0,7,0,3,0,0,11,7,12,3,0,20,0,13,0,0,12,8,6,0,0,12,3,4,0,0,9,8,21,0,0,32,3,18,0,0,16,0,0,0,0,0,49,91,13,0,154
2104244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,0,0,0,0,3,0,0,0,0,3,3,0,0,0,5,0,4,0,0,4,3,10,0,0,18,0,3,0,0,9,0,3,0,0,6,0,5,0,0,5,7,12,0,0,19,0,12,0,0,12,3,0,0,0,3,21,53,6,0,87
2104246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,9,8,0,0,14
2104247,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,3,0,3,5,3,0,0,8,0,0,0,0,3,3,0,3,0,3,3,3,0,0,8,0,12,0,0,16,0,10,0,0,7,0,5,0,0,4,0,3,0,0,3,0,6,0,0,4,0,3,0,0,4,0,0,0,0,0,24,44,10,3,87
2104248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,3,0,7,0,4,0,0,4,3,0,0,0,3,4,15,0,0,14,0,13,0,0,14,0,9,0,0,8,0,0,0,0,4,0,4,0,0,4,0,7,0,0,8,0,0,0,0,0,17,48,12,0,75
2104249,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,3,0,0,0,0,3,8,3,0,0,11,0,3,0,0,4,3,5,0,0,12,0,0,0,0,4,0,3,3,0,11,3,9,0,0,11,6,3,0,0,4,0,0,0,0,3,0,4,0,0,4,0,11,0,0,7,0,0,0,0,0,28,47,8,0,86
2104301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,9,3,0,3,0,6,7,0,3,0,7,3,5,4,0,11,3,3,3,0,11,0,8,0,0,5,3,6,3,0,11,3,7,0,0,14,7,12,0,0,16,9,7,0,0,11,0,3,0,0,3,0,5,0,0,8,3,3,0,0,9,0,0,0,0,0,44,60,22,0,130
2104302,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,0,0,0,9,0,3,0,0,3,0,3,0,0,8,0,3,0,0,6,0,4,0,0,3,4,8,3,0,13,4,0,0,0,3,0,5,0,0,6,0,3,0,0,3,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,28,38,14,0,77
2104303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,0,0,12,3,0,0,0,3,4,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,3,0,0,4,0,5,0,0,12,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,4,3,0,0,5,3,3,0,0,4,0,0,0,0,0,33,28,7,0,68
2104304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,3,0,0,0,3,5,0,0,0,9,3,0,0,0,8,3,0,0,0,6,4,3,0,0,9,7,7,0,0,19,0,3,0,0,3,9,5,0,0,15,3,3,0,0,3,0,6,0,0,9,3,4,0,0,9,3,0,0,0,0,51,39,4,0,98
2104305,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,9,3,3,0,14,0,4,0,0,7,3,0,0,0,3,3,3,0,0,10,3,5,0,0,8,4,7,0,0,15,4,10,0,0,15,3,5,0,0,10,0,0,0,0,0,0,7,0,0,6,4,9,0,0,15,0,0,0,0,0,46,60,13,0,113
2104306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,4,0,3,0,0,3,0,3,3,0,9,4,0,0,0,10,0,6,0,0,6,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,3,0,0,5,0,3,0,0,4,0,3,0,0,3,0,10,0,0,12,0,0,0,0,0,16,38,8,0,65
2104307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,3,0,8,0,0,3,0,9,5,0,3,0,11,5,9,0,0,13,3,3,0,0,6,0,5,0,0,5,8,12,0,0,20,9,10,0,0,18,0,3,0,0,7,0,5,0,0,6,0,10,0,0,6,7,8,4,0,19,0,0,0,0,0,45,72,17,0,138
2104308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,17
2104309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,10,3,0,19
2104310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,3,8,0,13,9,0,3,0,8,0,0,9,0,7,3,8,3,0,15,3,0,4,0,8,3,3,0,0,10,11,6,0,0,23,5,7,0,0,16,3,0,0,0,3,0,0,0,0,0,3,3,0,0,5,4,11,0,0,14,0,0,0,0,0,61,38,28,0,132
2104311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,3,0,0,0,4,4,0,0,0,4,3,3,0,0,7,3,3,0,0,9,0,3,0,0,3,0,3,0,0,7,3,9,0,0,15,0,3,0,0,3,0,3,0,0,3,3,3,0,0,8,0,0,0,0,3,0,9,0,0,10,0,0,0,0,0,32,45,9,0,79
2104312,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,0,3,3,3,0,0,5,3,3,0,0,3,3,3,0,0,5,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,9,0,0,9,0,3,0,0,6,0,0,0,0,0,21,37,3,0,62
2104313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,12,0,0,0,16,4,3,0,0,8,6,3,0,0,10,3,5,0,0,11,5,3,0,0,8,3,3,0,0,3,3,13,3,0,20,3,5,0,0,11,0,4,0,0,4,0,0,0,0,0,3,0,0,0,3,3,5,0,0,11,0,0,0,0,0,43,54,17,3,114
2104314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,0,6,3,0,0,0,7,4,3,0,0,8,3,3,0,0,13,0,0,3,0,5,3,3,0,0,7,3,4,0,0,8,3,5,0,0,11,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,3,0,12,0,0,0,0,0,31,31,20,0,81
2104315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,24
2104316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0,0,7,4,0,0,0,4,3,4,0,0,9,0,3,3,0,6,4,7,0,0,6,0,7,0,0,4,6,3,0,0,8,5,3,0,0,4,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,26,31,12,0,71
2104317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,0,3,0,3,3,3,0,0,5,3,3,0,0,3,5,7,0,0,10,4,0,0,0,5,0,8,0,0,8,5,3,0,0,11,0,6,0,0,4,3,0,0,0,4,0,3,0,0,3,0,4,0,0,4,0,5,0,0,10,0,0,0,0,3,36,38,8,0,85
2104318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,8,0,0,0,0,7,8,0,3,0,9,9,11,5,3,21,3,5,3,0,17,3,13,0,0,14,4,7,0,0,12,9,15,0,0,25,4,9,0,0,16,0,8,0,0,11,0,3,0,0,3,4,6,0,0,4,6,5,3,0,16,0,0,0,0,0,53,78,31,3,171
