SA1_7DIGITCODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2104225,0,4,4,8,8,9,3,0,3,0,0,0,11,9,13,4,8,7,4,0,3,3,8,10,7,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,3,7,10,0,3,3,4,3,3,0,0,0,7,15,27,0,0,0,0,3,4,0,0,0,0,5,9,8,0,12,34,51,88
2104228,9,6,14,32,18,52,0,3,3,0,0,0,32,23,50,11,12,21,0,0,0,3,3,3,9,14,25,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,3,10,0,3,5,0,0,3,0,3,3,4,9,11,0,0,0,11,14,17,0,0,0,3,3,6,0,0,0,5,3,9,11,9,14,74,65,140
2104229,7,6,19,23,25,43,5,4,11,3,0,4,25,27,52,8,8,16,4,3,5,3,0,3,15,16,29,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,6,3,14,8,4,6,3,3,6,3,0,6,0,0,0,22,9,33,0,0,0,0,0,0,0,0,0,0,0,0,6,10,21,85,74,159
2104230,7,3,6,17,14,28,9,3,12,6,0,6,25,18,45,3,3,4,7,15,25,8,10,12,18,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,12,25,3,0,3,3,0,0,3,3,3,0,0,0,24,18,36,0,0,0,0,0,3,0,0,0,0,0,3,8,5,15,80,74,153
2104231,11,17,27,35,35,73,17,15,34,21,8,30,67,59,131,15,12,28,27,19,49,24,14,33,66,43,111,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,14,20,31,6,5,16,0,0,0,12,10,17,0,0,0,30,32,63,0,0,0,5,3,9,0,0,0,8,3,5,16,26,40,200,181,380
2104232,0,0,3,10,3,10,12,0,12,3,3,4,18,5,27,4,0,4,3,8,10,7,7,14,14,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,11,17,0,3,3,0,0,0,0,0,4,0,0,0,5,15,24,0,0,0,0,3,3,0,0,0,0,3,3,9,16,26,59,62,118
2104233,3,0,3,4,8,10,0,0,3,6,7,15,9,9,22,0,3,3,0,3,5,4,6,9,5,14,22,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,3,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,3,3,7,0,0,0,0,0,0,3,3,7,10,19,28,45,57,98
2104234,10,8,16,16,17,31,10,14,23,8,9,17,39,35,79,5,5,9,8,17,25,9,13,22,21,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,15,21,3,4,7,0,0,6,3,3,5,0,0,0,10,25,36,0,0,0,0,0,0,0,0,0,0,0,0,7,17,27,92,119,212
2104235,3,5,8,16,15,26,0,0,0,0,0,0,15,12,28,6,3,13,0,6,6,4,0,4,11,8,16,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,4,5,8,0,15,8,8,15,0,0,0,0,3,3,0,0,0,15,13,32,0,0,0,0,0,0,0,0,0,4,0,3,9,14,32,59,65,120
2104236,4,5,9,10,5,18,4,0,4,0,0,0,11,6,26,4,3,9,3,0,3,3,0,4,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,13,0,3,3,0,0,0,3,8,8,0,0,0,9,17,24,0,0,0,0,0,0,0,0,0,0,4,4,5,3,9,46,36,80
2104237,7,7,11,21,17,41,5,4,7,4,7,12,32,34,60,4,9,12,3,13,16,6,11,17,19,28,44,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,3,3,11,4,10,13,0,0,3,0,0,0,0,4,6,0,0,0,12,13,23,0,0,0,0,0,0,0,0,0,0,0,0,14,13,31,86,94,178
2104238,6,0,6,11,10,19,0,0,0,3,9,7,13,16,28,5,0,4,6,3,11,10,11,18,21,16,31,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,7,6,8,11,9,23,0,0,3,0,3,3,0,0,0,0,0,0,17,14,29,0,0,0,3,3,3,0,0,0,3,3,3,15,15,29,78,62,141
2104239,0,6,8,3,15,19,4,5,10,0,3,4,7,22,27,6,6,13,3,3,3,0,0,0,10,9,19,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,3,6,15,0,14,4,3,6,0,0,0,0,7,4,0,0,0,23,11,32,0,0,0,0,0,0,0,0,0,0,0,0,11,9,22,49,54,108
2104240,0,0,6,8,3,9,3,3,5,0,0,0,9,7,14,3,3,7,9,7,16,3,5,3,10,12,23,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,7,7,4,0,8,0,0,0,0,3,3,0,0,0,11,7,18,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,37,35,69
2104242,3,0,4,4,13,19,5,3,5,4,0,6,10,15,25,3,3,3,7,0,8,7,7,11,16,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,3,0,3,3,0,0,0,0,0,0,4,13,20,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,39,38,78
2104243,3,3,9,13,6,25,4,3,10,3,9,11,23,18,43,16,11,24,8,11,18,5,12,15,25,25,50,3,0,3,0,0,0,4,0,6,0,3,3,0,0,0,9,3,16,7,16,23,3,0,3,3,0,3,3,3,8,0,0,0,15,19,40,0,0,0,0,0,4,0,0,0,0,0,5,15,8,17,100,83,179
2104244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104245,9,0,9,9,8,19,3,0,5,4,5,9,16,16,31,3,0,3,6,5,13,4,11,16,13,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,12,16,0,0,0,0,0,0,0,0,0,0,0,0,12,13,27,63,59,124
2104246,0,0,0,0,0,3,0,0,0,0,3,3,3,3,3,0,0,0,0,3,4,0,3,6,3,4,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,217,326,544,17,19,35,0,5,3,0,6,6,0,0,0,233,350,589,3,0,3,0,0,0,0,0,0,3,0,3,35,44,77,285,403,684
2104247,5,4,10,11,13,18,6,10,18,3,0,3,15,22,39,6,4,12,3,7,6,9,7,11,16,13,27,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,9,0,9,46,33,85,27,9,35,0,0,3,3,4,7,0,0,0,82,50,127,0,0,0,0,0,0,0,0,0,0,3,7,6,8,9,133,99,226
2104248,3,6,6,10,7,18,3,0,9,3,3,3,18,11,29,5,8,13,3,0,6,3,3,10,11,10,25,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,3,4,10,32,29,60,14,0,16,3,0,3,0,4,3,0,0,0,43,36,80,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,87,65,156
2104249,3,0,3,6,14,15,6,5,9,8,3,10,15,21,37,4,6,7,5,5,16,8,3,9,21,15,32,3,3,5,0,0,3,3,4,4,0,3,3,0,0,0,11,8,16,119,96,215,39,20,54,0,0,0,0,4,4,0,0,0,154,123,279,0,0,0,3,0,3,0,0,0,3,0,4,11,10,18,217,174,394
2104301,3,4,8,15,8,26,4,10,12,3,0,4,17,22,44,7,11,19,8,3,8,3,3,8,18,20,38,0,0,3,0,0,0,0,3,3,0,3,3,0,0,0,0,3,10,4,0,8,0,0,0,3,0,6,3,0,3,0,0,0,9,5,14,0,0,0,0,3,3,0,0,0,0,3,4,19,10,30,73,70,138
2104302,3,4,6,7,0,5,7,7,11,0,0,3,9,8,21,6,7,11,4,3,10,0,0,0,16,6,25,0,0,0,0,0,0,3,0,8,3,0,3,0,0,0,7,3,9,3,3,3,0,0,0,0,0,0,0,4,4,0,0,0,3,5,9,3,0,3,0,0,0,0,0,0,3,3,3,0,0,3,39,35,77
2104303,0,0,3,6,8,12,3,3,3,4,4,10,11,15,23,3,4,6,4,3,5,3,3,7,6,13,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,4,4,0,0,0,0,4,4,12,7,23,36,38,72
2104304,0,0,0,16,18,34,3,0,3,4,6,8,16,24,44,3,5,6,0,0,0,3,0,3,11,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,27,19,46,55,60,111
2104305,0,4,8,13,8,23,8,5,15,3,0,0,18,22,34,6,0,8,0,4,4,8,0,3,11,11,18,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,7,3,3,13,0,0,0,0,0,0,3,0,3,0,0,0,5,11,12,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,47,49,93
2104306,0,0,0,10,8,23,0,0,0,0,0,0,8,8,19,4,3,10,0,0,0,6,3,9,13,12,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,12,24,35,43,80
2104307,0,0,0,8,13,22,0,3,8,8,6,11,15,22,39,3,11,16,0,0,0,6,6,11,11,15,31,0,5,4,0,0,0,8,0,8,0,0,0,0,0,0,6,8,17,7,3,9,0,0,0,0,0,0,0,0,3,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,39,38,77,78,92,172
2104308,0,0,3,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,981,0,981,981,11,995
2104309,0,3,4,3,0,3,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,15,26
2104310,3,3,3,4,12,15,3,3,8,0,0,5,11,12,25,4,11,14,0,3,3,0,0,3,8,10,18,0,0,3,0,3,3,3,3,8,0,0,3,0,0,0,7,7,15,0,0,0,3,4,7,0,3,3,3,3,4,0,0,0,4,11,16,0,0,0,0,3,3,0,0,0,0,4,4,10,15,28,47,62,108
2104311,3,0,8,8,11,16,0,0,8,0,3,3,7,13,22,13,3,17,3,0,4,4,3,8,16,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,3,4,0,0,0,0,0,0,0,3,3,0,0,0,8,7,14,26,23,57,0,0,0,0,0,0,26,23,57,8,4,13,78,61,139
2104312,0,0,0,4,3,7,3,0,3,6,0,11,11,6,23,4,7,8,0,0,5,4,0,9,9,10,16,5,0,5,0,0,0,3,0,3,0,0,3,0,0,0,9,0,10,3,10,10,0,0,3,0,0,0,0,0,0,0,0,0,9,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,27,63
2104313,0,6,3,5,18,22,6,11,12,0,0,0,14,25,39,10,6,18,3,3,4,3,0,3,13,16,28,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,8,22,39,65,102
2104314,3,3,5,6,8,14,3,0,3,0,0,0,7,11,20,12,3,12,4,0,3,3,0,4,11,8,20,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,3,3,3,10,0,3,3,0,0,0,0,4,3,0,0,0,4,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,33,38,73
2104315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,27,8,21,27
2104316,3,4,7,6,0,11,0,4,5,0,0,0,7,5,12,5,0,3,0,0,3,4,0,4,10,7,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,9,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,17,36,30,64
2104317,4,3,6,4,7,9,3,5,9,0,0,4,11,15,25,4,5,6,3,3,9,0,3,3,5,13,20,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,26,42,71
2104318,0,3,7,24,8,32,10,3,15,0,0,0,36,12,53,17,11,27,0,6,5,4,6,10,20,21,45,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,4,3,8,0,0,0,0,0,0,0,0,3,0,0,0,6,6,10,0,0,0,3,3,5,0,0,0,3,3,5,12,13,21,77,69,145
2104319,5,8,9,19,11,28,8,5,8,4,5,8,28,21,54,16,3,18,3,19,22,11,4,17,26,30,52,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,3,14,0,0,0,3,0,4,0,3,3,0,0,0,10,6,19,0,0,0,3,3,3,0,0,0,3,3,3,22,16,35,91,87,183
2104320,0,6,6,13,16,26,5,0,5,4,7,5,15,19,36,14,3,20,9,8,13,0,9,8,24,20,40,0,0,0,0,0,3,3,0,3,0,3,6,0,0,0,3,4,9,0,3,6,3,0,0,0,0,0,3,4,9,0,0,0,5,6,17,0,0,0,0,0,0,0,0,0,0,0,3,11,21,35,64,79,147
2104321,3,3,8,5,10,22,8,0,8,0,6,4,14,20,33,17,13,26,7,0,7,0,3,3,22,15,32,0,0,3,0,8,8,0,0,0,3,5,8,0,0,0,4,15,17,3,8,9,3,0,5,0,3,3,0,3,3,0,0,0,4,13,23,0,0,0,0,8,8,0,0,0,0,10,8,9,15,21,57,82,139
2104322,3,0,6,14,9,18,3,3,10,0,3,3,18,12,35,13,9,20,5,3,7,3,4,6,18,11,24,5,0,5,0,0,0,0,0,4,0,3,8,0,0,0,8,4,15,5,3,8,0,0,0,0,0,0,3,0,3,0,0,0,8,3,17,0,0,0,3,0,3,0,0,0,3,0,3,7,8,15,58,51,111
2104324,4,7,7,17,14,31,4,7,11,0,0,0,19,21,38,4,8,14,3,4,7,0,0,0,12,11,21,0,0,3,0,0,0,0,0,0,3,3,6,0,0,0,3,3,11,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,44,57,99
2104325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2104326,3,4,7,15,7,28,0,0,0,3,0,3,20,10,29,6,8,20,0,0,0,0,0,0,6,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,3,0,0,0,0,0,0,3,3,4,4,5,14,47,36,88
2104327,0,4,6,12,12,25,0,3,5,0,3,3,18,15,33,13,5,16,3,4,5,3,4,9,20,16,29,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,8,4,6,9,0,0,0,0,0,3,0,0,0,0,0,0,3,9,11,3,0,3,0,0,0,0,0,0,4,0,7,21,20,41,67,59,124
2104329,9,0,7,14,14,28,6,4,13,0,0,0,24,21,46,11,7,21,6,7,18,6,3,7,23,21,43,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,0,6,8,0,0,0,0,0,0,0,3,3,3,0,3,4,11,12,0,0,0,3,0,3,0,0,0,3,0,3,8,10,14,79,60,138
2104330,3,4,5,19,6,25,6,0,4,0,0,0,20,10,33,9,11,24,8,5,13,6,3,10,20,18,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,9,16,0,0,0,0,3,3,0,0,0,0,0,0,6,10,19,0,0,0,0,0,0,0,0,0,0,0,3,11,10,21,67,53,123
2104331,12,6,19,21,30,50,4,9,15,3,3,8,32,44,76,18,9,24,7,10,14,9,3,8,28,16,46,0,0,4,0,0,0,3,0,3,3,0,4,0,0,0,3,0,11,5,7,8,0,11,11,0,0,0,0,4,4,0,0,0,5,19,25,0,0,0,0,3,3,0,0,0,0,3,3,22,20,43,103,109,217
2104332,6,7,11,27,14,41,4,3,12,0,3,3,35,22,58,16,16,30,4,13,16,3,3,10,25,32,51,0,3,0,0,3,4,7,0,6,0,0,3,0,0,0,7,8,17,9,10,14,0,0,0,0,0,3,3,3,4,0,0,0,12,14,27,3,3,3,3,0,3,0,0,0,6,0,6,19,25,48,113,102,216
2104333,6,0,5,12,13,21,0,3,3,3,0,3,12,15,25,9,3,14,3,0,4,3,0,6,14,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,0,3,0,0,0,0,0,3,10,15,29,52,46,99
2104334,5,0,5,17,13,30,9,7,20,0,0,3,26,26,46,7,14,22,4,6,12,5,0,5,17,18,36,3,0,0,0,0,0,5,3,5,0,0,0,0,0,0,3,4,14,3,5,9,0,0,0,0,3,3,0,0,5,0,0,0,4,6,16,0,5,4,0,0,0,0,0,0,0,5,3,5,10,14,64,67,136
2104335,8,3,5,16,21,33,3,5,4,0,0,0,17,24,40,16,17,30,0,0,3,3,0,4,16,19,41,0,3,4,0,0,0,3,0,3,0,3,4,0,0,0,4,4,10,0,4,6,0,6,6,0,0,0,0,0,0,0,0,0,3,9,10,3,0,3,0,0,0,0,0,0,3,0,3,12,17,24,66,71,136
2104337,7,6,11,21,7,26,3,3,10,0,0,0,22,13,33,8,12,25,3,3,9,3,4,5,18,18,34,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,7,3,10,0,5,5,0,0,0,0,3,4,8,3,6,0,0,0,6,11,14,0,0,0,0,5,5,0,0,0,0,5,5,8,10,19,61,74,132
2104338,6,3,11,27,19,50,3,10,7,3,3,3,33,30,64,25,17,46,0,8,8,3,0,3,26,24,54,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,3,5,3,3,12,0,0,0,3,0,3,7,5,4,0,0,0,12,9,19,0,0,0,0,0,0,0,0,0,0,0,3,6,7,13,96,78,172
2104339,9,15,24,37,40,72,21,26,45,3,0,7,54,60,123,18,9,32,9,12,21,3,6,13,28,27,58,0,3,0,0,4,4,0,0,3,3,3,6,0,0,0,5,7,17,5,9,13,0,4,8,3,0,3,6,5,8,0,0,0,15,23,35,0,3,3,0,3,3,0,0,0,0,8,8,27,26,56,148,169,314
2104340,0,5,5,8,11,16,3,7,11,3,0,3,16,16,29,5,8,15,0,3,0,3,3,5,11,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,3,0,3,0,0,0,0,0,0,0,0,0,7,8,18,0,0,0,3,0,3,0,0,0,3,0,3,19,27,42,57,61,119
2104341,3,0,3,9,9,19,3,0,0,0,0,0,11,11,19,9,4,12,0,0,3,0,3,3,12,10,19,0,0,0,0,5,5,0,0,0,0,3,6,0,0,0,0,6,9,0,0,0,3,0,3,0,3,3,0,4,4,0,0,0,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,26,44,70
2104342,3,0,3,4,3,11,0,0,0,0,0,0,4,3,11,3,3,7,0,0,0,3,0,6,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28,19,26,48
2104343,30,31,68,47,64,116,29,32,56,3,5,14,83,100,180,31,26,59,19,16,30,4,10,11,52,52,106,4,3,5,0,0,0,3,0,6,3,10,9,0,0,0,8,13,25,4,13,20,0,3,3,3,3,8,3,14,16,0,0,0,10,39,51,0,0,3,0,0,3,0,0,0,5,4,3,32,35,70,223,272,499
2104344,3,0,9,12,18,26,12,7,21,3,5,6,22,28,54,8,12,19,4,13,14,6,3,9,12,28,44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,5,10,0,0,0,0,0,0,0,3,3,0,0,0,0,7,16,0,0,0,0,3,5,0,0,0,0,3,7,4,4,9,53,85,131
2104401,0,0,0,14,7,28,0,0,0,0,0,0,17,7,25,3,0,8,5,6,14,0,0,0,14,9,25,0,3,3,0,0,0,3,0,3,0,3,3,0,0,0,3,5,8,3,5,6,0,0,0,0,0,0,3,3,6,0,0,0,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,17,10,33,62,42,108
2104402,4,3,6,13,7,21,0,0,0,0,0,4,13,10,29,3,5,9,0,0,0,0,0,3,5,10,18,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,6,3,0,5,3,0,3,0,0,0,3,0,3,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,3,3,24,13,31,58,48,101
2104403,3,5,10,14,12,25,0,0,3,0,0,0,15,15,29,3,0,4,0,7,7,0,3,3,3,12,13,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,4,3,9,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,3,3,0,0,0,0,3,3,3,11,12,31,42,77
2104404,6,3,11,19,17,33,3,0,3,0,0,0,21,16,39,9,5,19,0,0,0,3,0,3,8,8,19,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,3,3,8,0,4,6,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,5,5,0,0,0,0,5,5,7,11,17,47,56,97
2104405,3,0,8,13,10,22,0,0,0,0,3,5,14,12,32,8,8,15,3,3,6,3,3,5,15,12,27,3,4,4,0,0,3,5,0,5,0,3,3,0,0,0,8,5,14,0,3,3,0,0,0,0,0,0,3,3,5,0,0,0,4,4,8,0,0,0,5,0,4,0,0,0,5,0,4,10,9,18,57,53,116
2104406,3,4,8,27,21,48,8,8,17,0,3,3,29,31,64,14,14,35,16,14,35,4,3,3,37,32,70,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,4,6,3,3,8,0,0,0,0,0,0,0,6,9,0,0,0,3,10,15,0,0,0,0,0,0,0,0,0,0,4,6,14,8,17,95,98,189
2104407,7,3,9,27,19,49,3,6,8,4,3,7,31,29,59,5,9,13,0,13,16,0,0,0,7,20,32,0,3,5,3,0,4,0,0,0,0,3,3,0,0,0,4,8,14,0,0,3,0,0,5,0,0,0,0,3,3,0,0,0,3,4,9,0,0,0,0,3,7,0,0,0,0,4,5,17,17,33,80,90,164
2104408,0,0,0,10,4,16,0,0,0,0,0,0,10,4,16,9,6,9,0,3,5,0,0,0,8,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,27,27,56
2104409,13,3,12,22,17,35,3,0,4,3,0,3,31,15,48,13,7,23,3,3,12,0,4,4,21,21,36,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,3,3,10,3,9,16,0,0,0,0,0,0,3,0,4,0,0,0,10,10,17,0,0,0,0,0,0,0,0,0,0,0,0,10,9,13,79,59,141
2104410,0,7,7,9,11,22,3,3,9,0,0,3,16,18,34,3,11,14,0,3,3,0,0,5,6,16,17,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,7,8,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,3,3,7,0,0,0,3,3,5,11,6,20,39,54,95
2104411,3,0,3,12,9,22,6,3,9,4,4,5,15,20,35,5,9,17,14,10,23,8,6,9,26,25,49,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,3,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,0,0,0,0,0,0,0,0,0,0,0,0,5,13,21,58,67,123
