SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
2100816,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,10
2100818,0,0,0,0,0,0,0,0,0,3,6,0,7,0,0,0,10,3,0,15
2100820,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,0,12
2100821,0,0,0,0,0,0,0,0,3,6,3,0,12,0,0,0,10,10,0,27
2100822,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,0,19
2100823,0,0,0,0,0,0,8,0,8,4,5,3,16,0,0,0,14,12,0,34
2100824,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,9,7,0,19
2100825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
2100826,0,0,0,0,0,0,0,0,0,7,9,0,9,0,0,0,10,13,0,25
2100827,0,0,0,0,0,0,0,0,0,6,8,0,16,0,0,0,16,10,0,27
2100828,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,13,12,0,23
2100829,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,5,3,0,12
2100830,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,9,0,15
2100831,0,0,0,0,0,0,0,0,0,9,4,0,9,0,0,0,13,11,0,27
2100832,0,0,0,0,0,0,0,0,0,3,6,0,14,5,4,5,21,35,0,52
2100833,0,0,0,0,0,0,0,0,3,4,5,0,11,0,0,3,16,25,0,38
2100834,0,0,0,0,0,0,0,0,0,3,10,0,13,0,0,0,8,6,0,20
2100835,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,8,0,0,12
2100836,0,0,0,0,0,0,0,0,0,8,3,0,9,0,0,0,9,7,0,13
2100837,0,0,0,0,0,0,0,0,0,8,3,0,13,0,0,0,16,9,0,19
2100838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2100839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100840,0,0,0,0,0,0,0,0,0,8,4,0,15,0,0,0,15,4,0,18
2100841,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,4
2100842,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3
2100843,0,0,0,0,0,0,0,0,0,7,3,0,8,0,0,0,10,10,0,22
2100844,0,0,0,0,0,0,0,0,0,4,10,0,15,0,0,0,15,7,0,17
2100845,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,5
2100901,0,0,0,0,0,0,0,0,0,7,0,3,9,0,3,3,14,11,0,22
2100902,0,0,0,0,0,0,0,0,0,8,0,3,13,0,0,0,13,3,0,15
2100903,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,5,0,12
2100904,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,7,4,0,11
2100905,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,8,0,15
2100906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
2100907,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,0,0,5
2100908,0,0,0,0,0,0,0,0,0,3,5,0,7,0,0,0,7,0,0,12
2100909,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,3,0,5
2100910,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,9
2100911,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,0,0,6
2100912,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,9,3,0,13
2100913,0,0,0,0,0,0,0,0,0,3,5,0,13,0,0,0,13,8,0,16
2100914,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,6
2100915,0,0,0,0,0,0,0,0,0,4,6,0,11,0,0,0,12,11,0,20
2100916,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,6,9,0,20
2100917,0,0,0,0,0,0,0,0,0,3,3,0,5,0,3,3,9,3,0,15
2101001,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,6,7,0,11
2101002,0,0,0,0,0,0,0,0,0,6,9,0,12,0,0,0,15,12,0,27
2101003,0,0,0,0,0,0,0,0,0,3,0,3,7,0,4,3,9,11,3,23
2101004,0,0,0,0,0,0,0,0,0,5,7,0,9,0,0,0,9,9,0,18
2101005,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,3,0,10
2101006,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,3,12,5,0,13
2101007,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,10,0,0,14
2101008,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3
2101009,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4
2101010,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,8,8,0,17
2101011,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
2101012,0,0,0,0,0,0,0,0,3,0,6,0,8,0,3,3,10,13,0,25
2101013,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,9,13,0,24
2101014,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,15,0,18
2101015,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,0,0,6
2101016,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,7,3,0,11
2101017,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,5,0,0,9
2101018,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,3,0,6
2101021,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,0,10
2101022,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,7
2101023,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,5,0,0,10
2101024,0,0,3,0,3,3,0,0,3,5,3,0,5,3,0,3,12,5,0,15
2101025,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,11,0,22
2101101,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,4,0,8
2101102,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7
2101103,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,3,0,6
2101104,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,9
2101105,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,0,10
2101106,0,0,0,0,0,0,0,0,0,5,7,0,12,0,0,0,15,3,0,14
2101107,0,0,0,0,0,0,0,0,0,3,8,0,12,0,3,3,15,5,0,21
2101108,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,8,4,0,12
2101109,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,9,0,0,4
2101110,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,3
2101111,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,12,0,0,15
2101112,0,0,0,0,0,0,0,3,3,3,10,0,12,0,0,0,12,13,3,23
2101113,0,0,0,0,0,0,0,0,0,3,7,0,11,0,3,0,18,15,0,33
2101114,0,0,0,0,0,0,0,0,0,0,6,0,7,0,4,4,11,6,0,14
2101115,0,0,0,0,0,0,0,0,0,5,6,0,10,0,0,0,9,11,0,22
2101116,0,0,0,0,0,0,0,0,0,3,3,3,8,0,0,0,8,3,0,11
2101117,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,13,12,0,22
2101118,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,7,5,0,14
2101119,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,10,6,0,14
2101120,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,5
