SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
204011059,7,17,8,11,18,10,0,72,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,13,35,30,26,40,19,0,163,3,6,0,0,3,0,0,12,3,5,5,3,0,0,0,16,9,11,5,4,5,0,0,31,23,44,34,30,45,21,0,196,71,59,23,26,24,5,4,210,0,0,0,0,0,0,0,3,91,107,57,55,67,24,3,410
204011060,0,3,5,10,3,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,11,13,7,3,0,59,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,11,8,18,18,7,3,0,64,7,10,8,3,6,0,0,28,0,0,0,0,0,0,0,4,16,16,23,17,17,4,0,95
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204011062,4,15,8,6,8,0,0,39,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,25,17,11,18,7,0,77,0,7,3,0,3,0,0,11,0,3,3,0,0,0,0,10,0,11,5,3,3,0,0,24,7,40,19,15,16,4,0,105,7,16,5,6,3,4,0,43,0,0,0,0,0,0,0,0,9,57,28,19,20,10,0,145
204021063,25,39,30,24,45,4,0,163,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,4,34,68,52,55,68,9,3,287,0,8,0,5,0,0,0,13,5,8,5,0,0,0,0,20,8,14,7,5,4,0,0,34,37,85,63,52,76,9,3,327,96,89,33,26,24,12,0,281,0,0,0,0,0,0,0,0,134,172,91,84,97,19,3,606
204021064,0,10,14,3,5,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,14,20,5,7,3,0,49,0,0,6,0,0,0,0,5,0,0,0,0,3,0,0,5,0,0,6,0,3,0,0,11,4,13,21,4,6,3,0,54,13,6,7,0,3,0,0,33,0,0,0,0,3,0,0,5,22,20,29,10,14,6,0,93
204021065,3,22,15,10,17,0,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,36,28,15,39,3,0,128,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,3,0,0,4,0,0,6,7,41,28,16,38,3,0,132,15,12,6,3,6,0,0,42,0,0,0,0,0,0,0,0,24,49,34,20,43,6,0,180
204021066,41,98,47,44,59,16,4,301,8,15,4,0,4,0,0,26,0,0,0,3,0,0,0,3,63,141,83,82,102,30,7,512,4,12,12,3,6,0,0,38,10,20,12,3,3,0,0,43,14,32,23,8,5,0,0,78,77,174,99,89,114,29,7,586,120,99,67,42,54,7,3,387,9,4,6,3,0,0,0,16,196,284,172,135,166,37,7,999
204021067,13,23,17,17,12,0,0,81,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,18,34,28,24,25,4,0,137,0,3,0,0,0,0,0,4,0,3,3,4,0,0,0,15,0,5,0,4,0,0,0,14,19,44,30,29,29,4,0,148,21,16,13,4,7,3,0,61,0,0,0,0,0,0,0,0,40,59,41,35,36,4,0,214
204031068,11,16,17,12,10,3,0,64,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,3,20,32,22,15,24,3,0,113,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,6,6,0,0,0,3,0,0,13,27,32,22,16,29,5,0,127,12,6,3,3,9,0,0,34,0,0,0,0,0,0,0,0,36,37,21,16,33,5,0,156
204031069,18,44,29,16,26,7,0,140,0,4,6,0,3,0,0,9,0,0,3,0,0,0,0,5,22,69,56,24,43,5,0,226,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,7,0,0,3,0,3,0,0,10,28,70,57,24,46,10,0,231,12,12,13,7,7,4,0,50,0,0,0,0,0,0,0,0,35,80,67,32,47,11,0,278
204031070,7,8,7,0,7,0,3,31,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,6,8,22,13,7,16,3,3,62,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,7,8,24,9,3,19,3,3,71,8,6,4,4,3,0,0,34,0,0,0,0,0,0,0,0,22,32,17,9,24,3,3,104
204031071,3,19,15,12,10,3,3,62,3,0,0,0,0,0,0,8,0,0,0,3,0,0,0,4,10,27,20,19,24,8,3,103,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,28,20,19,25,8,3,110,18,25,7,9,3,3,0,69,5,0,0,0,0,0,0,5,35,54,31,26,30,7,4,183
204031072,6,15,7,0,14,0,0,46,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,6,26,26,13,28,4,3,102,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,22,26,13,32,4,3,110,18,23,3,4,6,0,0,51,0,0,0,0,0,0,0,3,27,45,37,12,43,4,3,164
204031073,49,88,53,27,48,5,0,269,8,5,0,0,0,0,0,16,3,4,4,0,3,0,0,10,78,149,94,67,106,27,5,523,5,14,6,3,6,0,0,29,8,16,5,4,0,0,0,37,14,25,15,5,7,0,0,69,93,178,107,74,118,27,10,592,111,105,64,29,19,15,0,346,3,0,3,0,0,0,0,5,207,279,171,102,138,35,8,946
204031074,61,118,85,53,53,21,3,394,6,7,0,0,3,0,0,20,4,0,3,3,3,0,0,13,94,207,146,111,148,46,9,753,13,14,11,12,9,0,0,61,20,17,8,4,5,3,3,53,32,27,19,21,12,4,3,117,130,230,168,129,160,43,14,870,157,173,75,55,49,10,3,518,4,3,0,0,0,0,0,14,294,405,239,185,204,60,16,1395
204031075,3,14,11,9,9,0,0,49,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,24,21,19,18,3,4,91,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,8,10,26,21,18,19,9,4,103,10,6,9,10,7,0,0,44,0,3,0,0,0,0,0,3,22,32,27,22,29,9,4,148
205011076,28,61,47,29,35,9,3,213,7,0,0,4,3,0,0,16,3,3,0,0,3,3,0,14,47,93,69,54,84,25,6,382,3,9,0,4,0,0,0,19,6,13,4,5,8,0,0,34,4,20,7,9,5,3,0,56,60,113,79,61,93,23,6,440,95,112,51,26,32,14,0,336,0,0,0,0,0,0,0,0,150,225,134,88,131,37,6,772
205011077,4,8,8,3,11,0,0,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,11,22,19,11,25,7,8,104,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,8,0,3,3,3,0,0,0,9,8,22,26,15,26,7,8,115,21,28,10,12,16,7,0,94,0,0,0,0,0,0,0,0,33,50,36,26,48,10,8,208
205011078,21,33,20,15,9,3,0,96,4,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,37,49,33,23,32,5,0,181,0,0,0,0,3,0,0,9,0,5,3,0,3,0,0,11,0,5,3,0,8,0,0,15,39,49,30,27,44,10,0,200,37,35,20,10,19,3,3,124,0,0,0,0,0,0,0,0,73,85,52,38,56,9,5,321
205011079,24,84,51,32,52,12,3,261,5,4,0,3,3,0,0,14,0,0,0,0,0,0,0,0,39,127,91,68,119,42,7,491,0,5,3,3,4,0,0,17,8,5,0,3,3,0,0,21,10,14,3,5,5,0,0,41,50,139,99,70,126,42,7,535,102,86,49,26,42,21,3,313,0,3,0,0,0,0,0,7,153,224,147,95,171,62,10,855
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,32,59,44,25,49,5,3,212,0,3,4,6,7,0,0,23,0,3,0,0,3,0,0,10,41,100,69,53,98,18,3,380,4,3,0,3,3,0,0,18,9,12,7,11,3,0,0,39,14,22,6,14,3,0,0,53,51,117,78,60,100,22,3,434,118,92,44,31,49,7,0,336,4,0,0,0,0,0,0,7,173,214,123,93,147,23,3,783
205021082,15,20,23,17,25,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,34,23,42,4,0,154,0,3,0,4,0,0,0,12,0,3,0,0,0,0,0,5,0,6,0,4,0,0,0,15,18,42,42,26,46,4,0,170,15,25,9,8,6,0,0,65,0,0,0,0,0,0,0,0,31,67,48,30,55,3,0,237
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,13,40,28,13,14,4,0,111,3,3,4,0,3,0,0,8,3,3,0,0,0,0,0,9,24,54,47,39,35,8,0,198,0,3,3,3,0,0,0,9,0,8,0,0,0,0,0,15,3,11,8,3,3,0,0,21,25,64,47,40,41,8,0,221,47,47,27,9,20,3,3,157,0,3,0,3,0,0,0,8,69,115,75,56,57,12,3,385
205021085,9,21,21,14,15,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,26,33,30,26,3,0,139,0,0,0,3,0,0,0,7,0,4,0,0,3,0,0,9,0,4,0,3,5,0,0,15,16,33,30,32,30,3,0,156,24,38,17,17,12,0,0,106,0,0,0,0,0,0,0,3,41,71,50,48,44,3,0,258
205021086,5,27,11,4,10,0,0,56,3,0,0,3,3,0,0,8,4,0,0,0,3,0,0,4,15,37,23,18,26,7,0,114,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,7,15,38,26,19,21,7,0,128,29,21,11,3,10,0,0,71,0,0,0,0,0,0,0,0,43,55,38,24,36,7,0,202
205031087,6,20,13,7,19,3,3,74,3,3,0,0,0,0,0,4,4,0,0,0,0,0,0,4,17,29,17,14,32,5,4,127,0,0,0,0,0,0,0,9,0,3,0,0,3,0,0,9,0,3,4,3,3,3,0,14,14,32,21,13,36,10,4,141,19,18,11,8,10,3,0,72,0,0,0,0,0,0,0,0,34,51,36,28,49,8,4,207
205031088,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
205031089,7,19,23,16,19,9,0,92,0,8,0,0,3,0,0,11,0,0,0,0,0,0,0,9,9,39,36,27,43,15,4,172,0,7,3,0,3,0,0,21,7,3,4,0,4,0,0,21,10,11,3,3,9,0,0,37,18,52,44,27,55,14,4,213,53,72,22,15,10,3,0,168,0,3,0,3,0,0,0,6,67,125,60,48,64,20,4,390
205031090,19,45,27,16,28,3,0,151,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,27,64,51,44,56,13,3,256,0,4,0,0,0,0,0,12,4,4,3,0,7,0,0,18,4,11,9,0,7,0,0,29,30,75,55,45,62,13,3,286,42,40,13,13,14,0,0,135,0,0,3,0,0,0,0,7,79,119,75,61,81,13,3,428
205031091,20,53,37,33,30,9,0,175,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,33,75,52,52,52,11,0,277,3,6,0,0,0,0,0,12,0,9,5,0,0,0,0,10,3,12,4,0,0,0,0,24,31,91,57,52,55,14,0,302,51,58,42,20,28,3,0,192,0,0,0,0,0,0,0,0,81,143,102,66,77,14,0,489
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205031093,43,88,45,36,58,21,4,301,8,4,4,7,7,0,0,36,0,5,0,0,0,0,0,9,71,139,88,69,110,33,3,517,4,12,6,7,8,0,0,41,8,27,13,13,5,0,0,65,8,34,22,23,13,3,0,103,82,178,112,93,123,34,3,622,129,119,61,34,40,12,4,400,9,5,0,0,3,0,0,16,218,296,175,130,160,47,5,1030
205041094,17,40,28,15,27,4,3,140,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,35,63,45,29,62,18,4,259,3,5,3,3,7,0,0,20,4,6,6,0,5,0,0,26,6,16,13,4,11,0,0,50,37,76,55,34,71,22,4,303,84,67,25,15,33,3,7,229,0,0,0,0,0,0,0,0,123,149,78,54,100,27,9,541
205041095,41,72,47,44,49,5,3,262,8,8,3,0,0,0,0,20,3,3,3,0,0,0,0,7,61,112,70,63,88,25,3,416,11,22,18,8,15,3,0,67,5,22,18,6,9,0,0,56,19,46,30,14,21,3,0,131,77,153,97,72,111,24,4,548,167,134,70,53,54,11,0,495,3,8,3,4,0,0,0,20,244,299,168,133,166,39,7,1059
205041096,27,52,38,32,43,3,4,192,0,8,0,4,0,0,0,10,3,0,3,0,0,0,0,10,44,80,58,55,77,12,9,334,9,17,9,13,10,5,0,61,16,31,26,6,10,3,0,90,24,50,37,14,18,12,0,151,63,127,95,72,95,21,9,478,213,151,74,55,38,8,0,541,8,3,3,0,0,0,0,11,282,281,172,123,130,29,9,1031
205041097,51,127,70,66,66,19,5,411,16,9,0,5,5,0,0,34,3,4,3,0,3,0,0,14,98,204,138,131,166,48,20,801,10,19,20,10,14,3,0,79,13,28,13,9,16,3,0,89,20,53,38,21,29,5,0,165,119,252,176,150,197,54,18,965,176,127,60,43,50,9,6,473,3,4,0,0,0,0,0,13,292,391,233,199,249,63,23,1448
205041098,7,16,10,6,4,3,0,54,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,29,13,10,16,8,4,94,0,4,0,0,3,0,0,10,3,3,0,0,0,0,0,3,3,7,0,0,3,0,0,13,13,41,16,10,19,8,4,108,29,27,8,10,4,3,3,77,0,0,0,0,0,0,0,0,42,65,28,19,27,6,8,193
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205051100,15,6,9,13,14,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,10,14,20,17,0,0,70,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,14,20,12,0,0,69,13,16,6,7,8,0,0,55,0,0,0,0,0,0,0,4,31,28,24,24,22,0,0,124
205051101,24,57,35,24,29,10,0,184,5,0,0,3,0,0,0,11,3,0,0,0,0,0,0,3,46,81,57,46,71,15,3,312,0,3,4,3,8,0,0,21,6,12,5,4,5,0,0,34,10,15,8,6,9,0,0,58,54,94,68,53,81,24,3,370,77,70,34,22,22,7,0,228,0,0,0,0,0,0,0,0,131,166,100,73,98,22,3,598
205051102,3,9,4,4,4,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,8,8,3,4,51,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,6,0,8,3,0,0,0,0,10,12,15,11,6,9,3,4,63,14,13,4,4,3,0,0,45,0,0,0,0,0,0,0,0,22,31,17,12,15,3,4,108
205051103,39,64,25,25,47,17,0,221,3,3,8,0,0,0,0,11,0,0,0,0,0,0,0,9,62,100,62,58,97,27,0,407,4,3,6,3,7,0,0,18,7,16,9,0,3,0,0,34,11,22,16,4,7,0,0,55,75,116,74,63,109,27,0,466,90,94,39,33,37,14,0,307,0,4,0,0,0,0,0,5,164,210,115,98,146,38,0,775
205051104,14,16,11,14,16,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,19,16,19,24,8,0,104,0,0,0,0,0,0,0,7,0,5,0,0,3,0,0,8,0,5,4,0,4,0,0,14,11,26,18,18,27,8,0,117,38,29,4,8,8,4,0,86,0,0,0,0,0,0,0,0,47,54,24,28,35,11,3,199
206011105,22,31,20,14,15,16,7,134,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37,63,41,39,52,41,19,289,0,0,3,0,4,0,0,9,0,5,0,0,3,0,0,20,4,7,3,0,8,3,0,25,37,72,42,38,57,39,23,315,35,13,15,12,13,10,7,102,0,0,0,0,0,0,0,0,73,87,56,51,72,53,28,417
206011106,12,22,10,10,19,5,8,78,4,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,22,39,36,20,37,11,12,166,0,3,3,0,0,0,0,4,0,5,3,0,0,0,0,4,0,5,4,0,0,0,0,14,24,40,35,20,32,11,8,178,10,6,6,3,5,5,3,42,0,0,0,0,0,0,0,0,34,51,48,26,46,19,11,226
206011107,16,32,26,9,14,9,4,115,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,56,42,25,33,22,7,217,0,0,0,0,0,0,0,4,4,3,3,5,0,0,0,14,7,3,3,5,3,3,0,21,34,60,49,28,31,26,9,244,22,20,18,11,14,11,3,94,0,0,0,0,0,0,0,0,56,74,62,37,42,36,14,333
206011108,24,43,25,18,21,27,8,170,4,3,3,0,0,3,0,15,0,0,0,0,0,0,3,5,39,76,73,49,57,56,20,379,4,9,4,0,3,0,0,18,0,16,7,0,0,3,0,27,3,21,9,6,5,7,0,47,49,96,81,56,66,63,27,425,45,29,35,15,21,11,10,169,0,0,0,0,0,0,0,7,90,127,110,71,85,73,36,596
206011109,11,20,15,12,12,12,7,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,27,25,36,23,14,180,0,0,0,0,3,3,0,6,3,3,4,0,0,0,0,14,3,4,3,0,3,4,0,17,13,41,33,25,42,29,14,205,16,12,5,8,18,9,10,72,0,0,0,0,0,0,0,0,29,58,35,37,60,36,18,279
206021110,8,20,12,7,19,5,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,35,27,9,39,16,17,165,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,37,27,9,46,16,15,169,15,3,7,0,0,0,6,28,0,0,0,0,0,0,0,7,34,41,26,9,48,14,21,204
206021111,32,46,35,29,23,13,12,192,3,0,0,0,4,0,3,18,0,4,0,0,0,0,0,3,47,99,80,55,65,44,25,421,0,4,4,3,4,0,0,21,0,8,3,0,3,0,0,20,4,6,10,5,6,0,3,37,54,109,85,61,69,47,32,459,21,31,25,11,13,13,3,125,0,0,0,0,0,0,0,0,69,140,110,77,86,55,37,578
206021112,28,37,26,20,31,16,0,153,6,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,47,67,47,46,66,39,11,323,0,3,0,3,3,0,3,17,0,4,3,3,0,0,0,7,0,7,4,7,4,0,3,24,52,79,54,47,67,39,20,348,36,32,16,21,16,7,7,140,0,0,0,0,0,0,0,4,86,107,65,64,88,43,29,490
206031113,17,29,22,13,20,13,8,116,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,8,32,49,39,21,40,32,26,244,9,3,5,0,0,3,0,18,3,5,3,4,0,3,0,21,11,10,8,7,3,5,0,39,38,64,45,26,44,40,29,283,83,73,31,20,22,9,6,252,3,3,3,3,3,0,0,17,121,139,80,52,68,50,38,546
206031114,18,55,40,26,37,17,15,209,3,4,0,0,0,0,0,12,0,3,4,0,3,3,0,14,39,111,83,60,99,68,51,508,6,6,0,0,8,3,0,23,0,9,0,3,3,0,0,18,4,16,3,4,11,3,3,40,45,128,84,60,104,73,55,543,38,40,25,14,23,13,3,147,0,0,0,0,0,0,0,3,82,165,107,78,130,86,55,698
206031115,17,25,14,10,20,14,4,112,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,15,31,41,31,19,35,21,9,194,0,0,0,3,0,4,3,16,3,11,3,3,4,5,4,31,5,12,4,5,3,11,7,45,35,51,34,30,44,32,19,239,77,72,52,36,35,28,13,314,0,0,0,0,0,0,0,3,111,124,93,59,73,58,35,559
206031116,7,27,14,9,14,8,6,92,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,3,13,50,44,24,34,27,15,208,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,3,0,0,0,6,0,0,11,17,54,44,27,39,28,12,213,11,14,9,3,11,5,3,53,0,0,0,0,0,0,0,0,32,64,51,30,44,27,15,270
206041117,5,16,13,4,15,10,10,67,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,18,28,20,19,32,24,12,146,0,5,3,3,5,3,0,20,4,12,8,7,6,3,0,37,4,21,7,7,13,5,4,61,21,49,32,28,39,24,18,202,60,70,30,22,25,38,17,259,5,7,3,0,0,0,0,11,84,120,61,50,67,59,28,469
206041118,0,5,0,0,3,4,0,21,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,22,12,6,9,15,13,12,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,12,6,9,15,16,15,100,11,7,4,6,12,11,6,50,0,0,0,0,0,0,0,0,27,17,4,15,26,31,26,151
206041119,0,3,4,0,0,3,3,19,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,16,4,0,3,7,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,4,0,3,7,4,36,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,12,5,3,3,7,5,44
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041121,9,19,4,9,15,12,5,71,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,20,37,20,16,25,11,21,152,3,0,0,0,0,6,0,7,3,3,0,0,0,0,0,9,6,3,0,3,0,6,3,22,26,40,21,18,25,18,21,165,25,23,16,15,15,7,3,110,0,0,0,0,0,0,0,4,53,71,33,38,37,28,29,280
206041122,8,3,10,4,8,19,6,56,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,22,22,9,9,24,44,19,144,0,0,0,3,0,0,0,6,3,3,0,0,0,3,3,11,3,3,0,3,0,3,3,18,23,21,9,7,20,41,19,159,34,22,10,12,40,43,25,193,0,0,0,0,0,4,0,3,61,48,18,24,67,91,47,355
206041123,11,32,16,7,18,12,9,111,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,30,55,43,26,38,21,23,245,0,5,0,3,3,0,6,16,3,13,4,0,5,3,0,31,3,14,10,3,12,6,6,51,35,70,47,35,46,27,28,289,72,62,31,15,30,20,17,249,4,5,0,3,0,0,0,11,117,137,77,55,80,52,42,554
206041124,3,3,4,0,3,0,5,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,4,0,7,9,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,0,7,9,8,39,9,8,4,0,4,12,4,44,0,0,0,0,0,0,0,0,16,17,9,6,11,17,13,77
206041125,0,5,0,3,3,7,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,4,6,9,14,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,4,6,9,14,9,67,6,8,3,6,4,3,7,30,0,0,0,0,0,0,0,0,15,24,6,8,13,14,16,101
206041126,9,8,6,7,10,7,5,52,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,25,15,6,17,28,34,19,143,3,4,3,0,0,3,0,10,0,3,0,0,0,4,0,8,3,5,3,0,0,3,0,20,25,23,11,17,27,37,19,160,13,16,6,6,13,15,11,82,0,0,0,0,0,0,0,0,41,42,17,24,43,53,30,249
