SA2_MAINCODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
206041117,1291,2506,4,37,52,291,11,40,316,1174,382,1540,15,61,46,148,68,198,127,411,510,1951,3,14,39,142,7,22,147,421,195,593,20,59,80,177,135,291,232,525,427,1117,314,641,2535,6217
206041118,1576,3091,0,4,17,76,3,17,489,1554,512,1652,16,46,38,119,77,243,130,410,645,2064,0,0,3,17,0,0,57,127,67,141,3,12,67,140,69,154,141,308,210,453,125,262,2556,5862
206041119,749,1450,0,0,18,70,0,5,141,480,156,553,9,29,24,81,67,212,102,324,262,875,0,0,3,6,0,0,23,55,23,59,0,6,13,23,26,56,38,78,62,140,29,59,1107,2532
206041120,3,7,0,0,0,0,0,0,4,13,4,13,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
206041121,1233,2426,0,4,67,302,3,27,713,2583,791,2912,26,115,70,247,67,225,168,588,955,3503,3,19,20,70,7,30,117,278,147,394,7,34,35,86,106,227,156,348,305,743,97,207,2590,6868
206041122,3614,7140,0,3,22,89,5,32,672,2155,698,2279,21,69,74,218,60,185,149,465,850,2739,0,3,18,65,3,15,111,249,136,335,10,39,141,322,114,239,267,600,404,929,878,1842,5743,12659
206041123,2027,3980,8,34,91,476,8,29,702,2562,812,3106,32,142,109,367,94,271,240,778,1045,3886,3,24,36,142,9,45,208,515,260,730,30,92,89,179,143,304,256,572,516,1303,214,450,3805,9621
206041124,526,1044,3,11,21,107,0,0,195,677,217,798,19,64,33,107,37,114,86,293,307,1089,5,7,4,11,0,0,28,68,30,84,0,9,24,55,34,70,65,129,95,221,43,91,968,2447
206041125,862,1673,0,8,21,79,0,7,200,689,220,786,22,77,54,169,36,110,109,357,329,1140,0,0,3,19,3,11,38,84,45,111,12,29,27,57,42,88,79,177,127,283,51,103,1366,3201
206041126,2640,5176,0,4,17,69,8,18,502,1613,526,1705,12,58,67,202,90,265,170,522,693,2230,0,0,15,43,0,0,97,218,108,255,15,51,89,185,97,186,200,422,312,683,283,605,3932,8695
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,1998,3893,4,9,112,471,6,22,959,3468,1076,3975,47,187,166,546,170,513,386,1245,1467,5221,0,6,27,81,4,12,122,279,158,374,12,37,71,156,139,287,228,481,384,860,94,198,3947,10163
206051129,1770,3454,0,6,87,396,3,23,898,3243,993,3667,38,167,127,428,100,304,267,899,1258,4565,0,4,21,61,3,4,208,455,232,526,13,41,72,138,126,241,206,426,443,956,100,204,3573,9173
206051130,2168,4206,0,18,79,346,10,50,971,3493,1061,3908,50,205,130,412,223,682,402,1300,1465,5205,0,4,29,93,10,17,195,478,232,589,14,51,68,142,213,430,291,618,526,1211,91,181,4248,10798
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
206051132,1553,3015,0,4,44,188,3,16,554,1965,599,2185,26,83,77,264,84,251,187,601,790,2782,0,3,23,84,5,18,131,331,160,438,13,38,61,119,127,263,195,423,353,856,106,225,2796,6884
206051133,3329,6472,0,13,73,324,13,50,880,3011,968,3399,44,166,126,398,107,311,271,875,1240,4275,0,0,17,50,6,11,198,426,217,492,15,39,114,242,197,395,326,679,541,1166,155,326,5260,12233
206051134,1817,3580,15,109,79,414,12,56,846,3137,955,3712,27,126,72,244,96,297,201,670,1157,4380,0,0,15,62,0,3,177,398,195,462,15,43,73,163,135,266,228,477,416,942,130,266,3520,9164
206061135,1025,2007,8,36,87,376,3,10,506,1861,598,2287,42,168,114,406,77,222,232,801,830,3082,0,3,12,45,0,0,89,223,110,270,12,33,40,102,85,175,141,313,244,584,70,143,2168,5824
206061136,2527,4910,6,27,75,323,8,39,754,2654,838,3040,38,161,94,300,150,460,279,917,1122,3952,0,6,16,55,10,17,133,326,161,406,12,42,66,140,186,391,271,574,431,980,177,359,4256,10200
206061137,2911,5691,5,11,67,272,12,46,597,2073,676,2407,32,120,129,406,116,349,274,887,953,3294,0,4,31,105,7,27,149,374,186,517,14,49,100,214,178,375,292,645,485,1154,198,426,4542,10569
206061138,1688,3300,9,27,137,618,14,52,539,2003,694,2702,91,379,229,764,215,656,536,1794,1235,4493,3,7,28,88,3,12,111,278,141,387,19,53,84,183,129,255,228,492,366,877,72,141,3360,8811
206071139,1164,2281,0,7,25,111,4,10,327,1148,353,1274,21,85,43,141,75,248,139,470,489,1742,0,6,9,27,0,3,43,99,58,135,5,12,30,66,66,134,104,208,154,342,81,171,1886,4539
206071140,932,1808,3,15,42,182,3,20,412,1480,467,1698,26,96,83,288,82,240,193,627,658,2322,0,0,13,40,3,9,82,190,95,232,12,25,42,93,77,166,134,291,228,522,51,111,1865,4767
206071141,1077,2094,5,18,28,117,3,16,280,1022,311,1177,5,31,15,59,33,115,64,202,375,1377,3,28,22,101,4,15,164,453,193,594,7,15,51,118,87,186,148,327,343,919,77,159,1863,4553
206071142,1160,2256,0,12,34,162,11,53,378,1380,425,1616,10,39,55,188,53,165,125,388,546,2002,6,22,20,73,9,31,156,446,193,568,14,47,48,103,113,248,173,396,363,963,70,147,2141,5373
206071143,1380,2685,0,3,88,388,8,36,647,2425,738,2852,39,150,103,341,109,346,257,840,998,3699,4,15,16,72,7,25,102,258,126,367,18,49,53,104,127,273,192,425,320,790,74,149,2767,7319
206071144,3782,7410,0,7,132,588,23,95,1318,4710,1473,5407,87,352,172,597,295,955,561,1907,2033,7311,8,24,66,217,10,46,291,742,372,1027,43,131,149,331,419,894,607,1356,983,2386,270,559,7071,17668
206071145,941,1823,3,25,75,336,6,19,598,2230,689,2615,28,117,93,319,102,318,231,762,914,3371,3,12,12,37,0,11,72,166,86,216,14,32,50,106,93,198,150,336,232,557,43,84,2128,5840
207011146,553,1094,16,88,117,533,9,47,675,2646,825,3316,59,235,158,540,163,506,376,1288,1203,4603,3,11,11,43,7,9,78,176,94,247,14,44,51,120,103,223,169,381,265,631,26,59,2043,6386
207011147,1345,2643,16,101,289,1266,22,82,903,3420,1225,4870,175,752,396,1399,343,1079,918,3229,2140,8093,4,18,64,210,6,27,207,528,285,785,23,80,149,347,208,433,375,861,658,1647,98,216,4243,12596
207011148,1449,2887,34,172,442,1970,32,132,1338,5235,1843,7511,251,1056,547,1956,537,1677,1330,4694,3182,12202,0,14,104,342,9,21,184,500,296,883,43,127,144,350,269,576,455,1058,753,1938,84,182,5471,17211
207011149,1838,3654,30,140,351,1605,22,95,1447,5670,1852,7509,195,829,470,1694,415,1274,1084,3789,2938,11304,6,27,55,179,7,32,170,432,240,664,54,172,127,283,224,467,406,917,644,1578,103,221,5524,16754
207011150,1376,2714,9,27,322,1420,19,90,1343,5267,1690,6815,147,598,405,1464,311,955,870,3015,2562,9827,3,16,29,104,4,13,113,290,154,426,22,80,78,177,180,368,289,627,441,1057,60,119,4436,13714
207011151,2432,4776,19,95,209,963,10,47,1261,4700,1503,5807,101,398,266,926,262,797,623,2116,2134,7926,4,13,22,79,3,11,134,339,167,442,23,76,103,243,172,336,303,655,467,1093,219,448,5248,14246
207011152,1608,3142,14,62,167,748,10,30,970,3666,1151,4502,77,319,220,763,179,553,475,1641,1626,6143,0,5,30,101,0,4,139,326,170,444,19,58,68,156,144,300,231,511,400,952,111,231,3750,10471
207011153,2196,4334,28,154,352,1609,14,46,1488,5715,1884,7531,240,988,465,1601,429,1318,1126,3900,3007,11433,4,7,66,217,7,18,233,576,313,822,47,153,161,359,279,598,488,1108,803,1934,160,334,6166,18036
207011154,518,1032,3,20,114,517,3,22,500,1945,621,2507,56,238,136,482,134,407,326,1133,947,3637,0,3,19,56,3,6,63,156,80,226,12,36,49,106,79,175,142,314,225,534,25,52,1714,5261
207011155,1411,2787,17,79,306,1349,25,110,1093,4335,1441,5872,181,735,410,1483,355,1081,947,3308,2384,9179,7,11,39,133,12,29,122,303,173,478,30,100,75,184,146,297,252,582,424,1066,69,139,4289,13169
207021156,1214,2427,10,58,133,612,15,66,661,2516,821,3248,109,461,208,746,362,1177,682,2388,1506,5633,4,19,15,53,10,25,88,242,121,344,23,62,52,122,203,440,278,628,394,969,49,99,3165,9128
207021157,2353,4693,13,77,228,996,25,117,1176,4378,1442,5568,172,716,340,1162,584,1841,1097,3725,2535,9286,5,24,62,186,3,12,221,520,288,741,47,137,139,329,376,816,563,1282,848,2028,129,279,5868,16288
207021159,1681,3367,27,131,227,1032,33,156,984,3859,1279,5183,230,956,314,1123,627,2013,1176,4097,2451,9281,6,39,35,116,10,40,140,369,194,564,30,84,79,180,216,472,324,740,516,1303,56,118,4709,14068
207021160,1352,2699,8,45,158,712,26,100,963,3657,1155,4505,117,480,213,772,422,1339,756,2588,1914,7098,0,4,33,120,7,20,136,360,180,502,27,95,69,170,235,514,335,774,521,1277,57,118,3835,11193
207021424,1366,2726,20,115,221,992,30,127,954,3718,1230,4953,204,838,359,1306,563,1788,1120,3927,2350,8882,5,16,27,102,3,13,131,332,160,466,27,92,92,223,181,393,303,708,466,1169,57,124,4240,12899
207021425,1371,2729,9,47,171,771,20,72,1070,3966,1269,4861,100,433,211,728,284,906,593,2067,1864,6922,6,19,37,130,9,21,172,415,219,593,34,95,91,220,280,590,404,914,623,1506,73,159,3935,11310
207031161,1893,3782,23,118,309,1390,34,141,1583,6155,1950,7801,176,748,371,1330,417,1334,967,3410,2915,11216,0,3,60,187,5,28,205,526,269,743,28,95,137,330,313,661,484,1091,759,1829,95,198,5669,17037
207031162,897,1781,13,53,137,618,13,81,810,3114,970,3864,82,327,176,643,241,756,497,1721,1474,5583,0,7,27,99,10,31,104,271,144,413,38,99,56,136,178,373,268,613,412,1022,38,89,2825,8474
207031163,1729,3461,10,56,227,1010,14,76,1160,4276,1410,5411,122,509,259,892,308,972,682,2375,2093,7790,3,16,40,134,4,24,217,523,272,696,36,116,155,355,288,609,478,1076,755,1775,163,347,4745,13372
207031164,1512,3038,18,81,228,997,17,90,1323,5004,1590,6165,121,490,287,1012,379,1205,787,2707,2369,8870,4,18,49,153,5,20,194,489,253,680,44,144,126,282,286,622,456,1043,710,1719,105,226,4702,13859
207031165,925,1856,8,56,96,421,16,56,563,2097,681,2631,56,223,154,544,186,569,399,1332,1083,3959,3,40,36,103,7,18,88,226,135,383,22,75,90,197,185,396,292,671,429,1045,96,206,2529,7077
207031166,1000,2013,11,66,120,546,15,76,627,2358,780,3049,84,347,156,557,303,950,548,1851,1325,4896,8,27,19,71,7,24,78,191,108,317,21,65,59,150,199,410,282,630,384,944,51,109,2765,7964
207031167,863,1713,9,35,164,745,9,37,724,2727,898,3543,103,430,230,816,216,684,547,1927,1444,5470,0,5,30,85,0,10,75,165,107,261,22,69,60,140,103,214,189,429,295,689,38,71,2639,7942
208011168,1337,2637,22,113,237,1069,18,76,946,3752,1223,5008,158,659,288,1034,325,1010,774,2700,2003,7703,0,0,41,119,4,11,86,215,125,342,17,64,52,125,170,344,242,526,361,867,37,89,3742,11296
208011169,2326,4543,34,160,341,1530,17,74,1477,5679,1874,7440,206,837,441,1526,401,1259,1048,3623,2920,11066,3,22,64,219,4,21,218,542,295,797,38,108,142,328,236,481,421,919,716,1718,68,148,6033,17475
208011170,1334,2632,12,57,267,1187,28,108,1243,4822,1544,6172,145,571,325,1120,308,968,778,2659,2324,8830,3,5,45,124,7,14,163,427,217,569,32,93,95,207,183,390,306,693,516,1268,43,89,4222,12828
208011171,941,1859,15,70,148,662,17,63,909,3438,1085,4233,68,269,143,499,199,627,409,1393,1494,5626,0,3,27,94,10,37,143,341,182,470,18,64,62,156,178,369,264,589,447,1051,36,82,2919,8625
208011172,1441,2826,22,101,280,1227,27,112,1328,5170,1652,6614,177,715,365,1295,312,987,857,2996,2511,9609,3,23,43,144,13,48,175,454,240,667,42,121,92,203,267,563,398,880,635,1546,51,109,4636,14082
208011173,1677,3286,17,69,244,1103,21,81,1160,4458,1438,5705,142,584,306,1051,329,1004,772,2650,2212,8355,5,13,32,100,0,10,150,355,190,473,22,59,85,191,180,369,287,624,472,1098,48,99,4412,12845
208021174,1716,3412,34,161,386,1680,32,141,1713,6586,2162,8577,182,734,430,1501,489,1531,1100,3766,3257,12340,6,20,68,210,10,28,243,597,327,855,46,134,168,374,269,571,476,1076,803,1935,94,198,5872,17880
208021176,1858,3701,7,46,144,639,21,85,1297,4719,1475,5483,87,368,205,713,227,712,512,1790,1987,7270,0,7,20,65,9,33,147,352,176,448,29,97,68,153,209,452,311,702,484,1144,117,250,4450,12367
208021177,2070,4080,45,299,267,1364,17,88,1288,5266,1614,7018,122,493,268,956,341,1059,735,2506,2348,9521,8,30,22,70,0,7,160,389,189,487,32,98,95,226,157,329,288,654,473,1138,85,174,4980,14920
208021178,1686,3349,15,83,225,1046,14,52,1241,4766,1497,5950,148,597,296,1031,327,1038,768,2666,2264,8616,7,27,36,123,6,19,140,360,190,526,40,102,94,207,192,383,320,699,512,1226,80,160,4537,13353
208021179,1158,2292,13,85,147,682,6,42,809,3119,970,3924,68,270,150,519,129,392,342,1178,1319,5104,0,4,20,70,4,15,105,240,132,336,10,34,49,106,114,235,177,369,306,707,54,116,2841,8221
208021180,664,1327,6,38,83,370,7,30,590,2178,688,2611,48,203,112,384,131,415,290,1008,974,3611,3,18,16,56,5,15,79,185,101,276,7,20,49,103,117,264,169,387,274,666,69,146,1979,5746
208021181,901,1801,7,42,91,426,6,19,720,2665,823,3154,75,301,131,472,169,533,370,1305,1199,4460,0,4,15,61,9,15,66,168,90,244,7,20,49,107,99,206,147,333,246,581,56,116,2399,6950
208021182,1246,2494,9,45,133,607,13,54,1052,3842,1202,4550,70,283,186,658,197,621,459,1553,1663,6101,0,0,26,82,3,9,139,337,165,420,16,39,71,156,153,322,236,521,399,948,85,176,3390,9711
208021426,1147,2294,23,107,224,985,24,114,1267,4882,1543,6087,111,457,232,808,331,1070,680,2331,2219,8419,3,11,53,170,7,29,188,486,249,700,34,109,87,209,235,495,362,812,614,1519,67,149,4051,12377
208021427,1141,2270,5,42,153,675,19,91,1072,4154,1255,4969,120,520,184,649,332,1052,636,2222,1890,7191,0,14,35,111,10,37,181,467,229,627,33,92,82,194,230,507,341,783,576,1409,58,118,3660,10988
208031183,652,1311,29,143,187,810,22,113,689,2697,926,3770,138,595,214,748,279,904,631,2248,1561,6017,3,14,20,63,0,0,78,212,97,284,32,94,29,72,89,189,147,363,244,650,18,37,2480,8012
208031184,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,6,18
208031185,1227,2427,15,75,109,504,33,145,719,2695,881,3419,79,328,132,427,297,918,506,1679,1385,5098,10,30,32,120,10,34,183,443,225,631,38,116,71,161,202,408,306,689,538,1317,46,94,3195,8935
208031186,1465,2907,8,50,80,357,19,83,1033,3822,1139,4307,42,171,79,269,238,729,358,1167,1493,5483,5,23,34,104,20,59,198,468,255,653,27,90,87,189,278,580,396,852,653,1508,64,127,3670,10025
208031187,474,959,9,44,55,246,20,81,412,1579,494,1951,52,200,67,228,147,477,260,900,760,2856,3,9,21,71,8,36,63,174,98,284,14,42,33,70,109,231,149,347,248,633,15,30,1499,4481
208031188,2129,4209,17,106,219,996,35,158,1632,6122,1903,7387,144,604,248,837,487,1509,885,2951,2792,10336,3,20,49,164,23,78,296,713,376,981,56,157,148,328,419,923,622,1406,1000,2383,115,240,6030,17172
208031189,1174,2346,23,125,137,612,27,117,1006,3901,1197,4759,103,436,156,561,246,804,513,1802,1709,6559,0,0,28,82,8,26,138,352,171,459,24,71,58,119,207,435,282,620,454,1077,55,109,3390,10086
208031190,1368,2700,17,69,137,634,17,69,847,3185,1019,3962,77,326,168,593,258,819,502,1738,1524,5700,0,0,37,120,8,28,156,371,200,509,27,71,86,184,211,438,329,700,526,1208,61,126,3473,9729
208031191,770,1530,10,45,109,479,13,62,695,2667,832,3258,53,213,89,317,187,596,333,1125,1168,4385,4,14,18,59,7,22,117,293,147,385,15,44,48,99,172,362,234,510,379,893,42,91,2361,6895
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,1789,3535,23,111,273,1214,37,154,1523,5840,1850,7319,147,604,264,924,382,1220,787,2749,2639,10069,4,17,51,179,9,31,234,573,296,805,42,135,120,266,298,633,459,1034,752,1839,75,147,5260,15593
208041194,2032,4000,21,93,266,1206,16,79,1302,5017,1608,6401,146,570,318,1140,288,887,755,2597,2359,8996,3,12,49,155,5,16,158,389,215,569,34,108,101,227,200,428,332,767,546,1329,127,261,5062,14590
208041195,1824,3577,16,90,335,1497,25,92,1476,5740,1848,7416,184,730,372,1343,381,1189,929,3263,2779,10682,4,17,36,124,8,21,152,384,203,554,32,88,90,209,267,563,385,865,588,1414,132,273,5323,15954
209011196,956,1922,16,99,123,563,27,108,629,2384,798,3157,68,286,126,453,259,836,451,1572,1246,4728,3,21,29,94,11,46,99,266,140,426,21,73,44,107,194,432,261,615,403,1038,46,100,2660,7798
209011197,1975,3927,27,155,238,1067,52,228,1461,5616,1777,7066,215,896,273,984,635,2024,1118,3907,2900,10971,7,25,59,197,16,56,260,680,344,962,48,151,107,235,313,669,469,1058,811,2017,77,161,5760,17076
209011198,1396,2764,14,80,158,694,14,60,1159,4451,1347,5283,99,410,198,715,270,838,567,1966,1917,7248,0,3,25,77,12,29,142,337,177,446,26,82,73,157,207,424,305,663,484,1109,83,168,3872,11284
209011199,1090,2184,25,160,101,558,23,106,811,3107,962,3924,48,208,108,374,226,731,386,1313,1345,5240,7,45,45,178,25,106,256,693,335,1013,35,115,96,214,340,755,470,1085,803,2098,132,274,3373,9800
209011200,1054,2097,5,39,167,740,13,55,777,2925,960,3761,96,394,221,776,266,830,577,1999,1538,5756,3,16,22,59,8,21,88,210,122,304,25,75,62,135,174,370,259,578,382,884,64,145,3038,8882
209011201,730,1419,7,36,125,573,13,63,514,2017,657,2688,94,383,198,715,221,687,508,1787,1165,4471,0,4,20,53,6,17,48,129,79,198,15,36,36,70,82,167,133,281,205,480,34,77,2137,6453
209011202,1662,3289,16,104,190,854,19,101,1162,4480,1395,5541,142,592,174,629,367,1184,683,2410,2081,7945,7,29,35,119,9,33,216,535,276,714,44,139,76,165,296,620,418,919,689,1640,64,137,4498,13008
209011203,1739,3462,22,112,187,853,30,123,1447,5553,1680,6635,153,619,260,887,452,1418,866,2926,2542,9565,8,31,57,186,13,50,210,534,287,797,34,97,105,218,305,655,443,976,727,1775,56,127,5067,14922
209011204,898,1790,20,112,97,432,20,72,663,2505,796,3124,67,281,88,324,243,778,399,1385,1191,4509,4,26,22,66,9,31,120,317,149,442,28,86,42,108,203,437,274,628,423,1067,50,101,2564,7467
209021205,830,1671,9,55,141,630,19,92,592,2248,756,3024,94,406,149,533,197,627,443,1566,1201,4588,3,4,10,31,11,29,88,241,111,306,18,46,53,127,101,215,164,387,280,697,57,125,2364,7081
209021207,2416,4856,29,170,208,1001,52,231,1650,6109,1942,7508,109,454,184,663,494,1609,787,2728,2731,10236,17,72,69,239,29,120,416,1100,526,1527,52,175,132,303,592,1283,770,1768,1299,3296,222,480,6676,18867
209021208,2235,4490,25,153,211,991,69,331,1619,6178,1932,7654,159,680,168,611,589,1951,916,3235,2840,10887,11,53,49,159,34,116,303,773,397,1099,49,150,113,246,505,1118,661,1514,1057,2616,160,329,6288,18317
209021428,1826,3662,22,141,178,811,28,116,1155,4293,1387,5363,88,364,141,505,342,1127,566,1994,1955,7355,12,48,40,136,19,75,231,595,304,857,46,149,98,213,392,885,530,1248,837,2103,153,324,4765,13443
209021429,1078,2144,14,87,121,564,24,99,925,3510,1086,4256,89,365,115,414,249,804,450,1582,1536,5841,0,7,11,47,5,19,144,343,169,418,19,63,49,99,197,429,261,589,432,1007,91,189,3129,9181
209031209,1993,3930,39,230,338,1545,56,260,1722,6742,2165,8781,305,1282,397,1427,768,2451,1466,5165,3629,13944,11,39,63,191,12,48,216,550,296,828,47,146,119,258,281,599,444,1006,741,1834,48,105,6412,19813
209031210,296,582,6,23,55,257,18,65,244,949,316,1296,38,160,58,196,114,357,210,708,525,2011,0,9,13,30,3,20,48,123,69,188,10,32,15,37,49,107,77,175,144,362,8,15,965,2972
209031211,392,769,5,35,54,252,20,94,246,978,328,1357,28,118,38,135,107,324,177,582,505,1938,3,14,10,37,0,4,43,113,55,160,5,23,5,18,49,113,69,159,120,315,13,20,1018,3036
209031212,498,1003,16,66,105,501,18,73,264,1068,401,1712,50,217,75,260,190,586,320,1069,720,2779,0,5,11,31,6,19,53,132,71,191,7,29,16,42,58,126,85,199,155,384,6,10,1381,4180
209031213,795,1587,20,97,183,851,31,149,682,2668,915,3762,132,553,153,565,361,1183,645,2306,1561,6066,3,23,19,53,10,41,63,167,93,284,17,44,22,53,91,214,132,308,221,594,26,56,2599,8307
209031214,611,1217,17,87,148,646,10,58,486,1923,660,2708,77,317,133,462,194,604,398,1377,1055,4085,0,0,15,58,3,20,44,105,68,176,13,35,25,58,65,141,101,233,171,416,16,34,1853,5744
209031215,1082,2129,29,175,248,1132,60,258,934,3681,1272,5241,195,824,219,815,474,1541,889,3178,2161,8419,8,30,27,107,14,47,158,401,202,577,42,133,69,157,206,462,320,754,525,1329,31,57,3797,11940
209041216,600,1190,14,61,103,469,16,77,505,1989,636,2596,78,313,88,317,187,607,355,1246,989,3840,0,0,16,45,0,10,55,144,70,200,9,19,21,67,82,184,113,274,182,471,42,83,1811,5580
209041217,643,1295,15,79,44,189,13,71,315,1200,389,1537,37,155,51,180,204,658,290,990,681,2524,5,22,11,37,8,21,56,151,81,224,11,34,23,56,142,312,174,404,257,627,46,88,1625,4540
209041219,2052,4169,71,427,266,1355,76,376,1424,5490,1836,7641,167,734,175,628,704,2307,1045,3669,2881,11313,10,52,71,299,46,172,341,956,472,1479,76,264,86,205,547,1226,704,1695,1175,3179,135,292,6249,18948
209041220,1361,2734,56,297,272,1217,57,244,1061,4122,1441,5873,261,1106,294,1055,747,2502,1303,4667,2742,10542,6,31,37,134,17,68,220,611,285,847,44,144,74,172,315,719,434,1036,715,1878,79,165,4898,15317
209041221,969,1957,19,95,145,702,42,205,682,2687,889,3684,150,644,152,558,491,1585,795,2792,1688,6474,7,30,33,139,13,57,162,448,221,671,44,146,52,121,257,578,359,847,579,1518,67,137,3293,10084
209041223,1905,3857,55,336,195,975,59,279,1100,4348,1415,5939,137,594,165,596,808,2665,1111,3858,2526,9792,11,69,67,254,47,176,313,893,446,1394,47,166,87,203,541,1209,678,1580,1119,2966,134,284,5682,16905
209041224,1332,2657,56,302,226,1059,75,367,1245,4929,1600,6657,132,570,152,524,389,1261,679,2351,2280,9007,17,72,49,157,31,104,271,768,360,1102,26,78,62,145,210,459,298,679,658,1782,34,79,4304,13521
209041225,731,1456,24,112,106,506,38,189,504,2051,669,2854,53,226,90,302,249,825,391,1352,1068,4205,6,40,30,116,7,31,96,260,143,442,11,40,36,75,124,282,170,402,320,845,22,46,2142,6550
209041430,1491,2973,31,174,293,1345,62,255,2294,8999,2676,10779,148,637,168,594,324,1037,644,2272,3321,13047,9,44,68,230,28,116,442,1221,547,1606,49,150,87,194,226,481,354,818,901,2429,44,101,5757,18550
209041431,939,1899,35,200,188,892,53,255,927,3653,1206,4999,133,580,137,507,436,1448,704,2536,1913,7540,10,49,33,120,20,75,191,519,247,764,41,130,47,114,232,544,323,790,574,1557,56,121,3485,11117
209041432,716,1435,10,57,77,397,38,178,538,2035,667,2664,68,288,75,257,263,863,402,1408,1074,4075,3,13,23,79,22,67,148,406,194,567,21,64,53,134,203,449,278,646,470,1208,36,73,2293,6799
209041433,618,1248,21,98,142,705,32,137,1250,4851,1449,5797,77,336,103,366,182,625,367,1329,1807,7128,4,15,33,119,10,43,179,495,224,673,19,64,32,76,120,278,171,421,399,1091,39,79,2861,9555
209041434,1239,2477,29,172,170,788,55,250,1775,6695,2027,7905,91,360,110,361,243,790,441,1513,2464,9417,10,45,59,211,27,102,355,1016,451,1384,35,112,65,155,217,502,319,763,771,2142,43,87,4521,14130
209041435,724,1460,29,161,210,937,51,235,1256,4945,1545,6277,124,528,141,532,272,897,538,1961,2081,8235,9,38,39,117,15,63,155,428,219,649,40,121,39,88,134,288,206,501,426,1147,31,69,3263,10907
209041436,855,1746,28,176,184,824,54,246,934,3595,1202,4838,131,567,136,494,327,1062,593,2119,1799,6956,6,28,38,125,30,101,178,487,244,741,33,103,47,108,182,412,265,629,512,1366,46,98,3209,10166
209041437,686,1384,16,116,82,386,25,125,1146,4298,1265,4929,38,164,51,184,125,427,219,776,1484,5709,8,46,18,60,9,32,131,352,167,496,14,54,22,49,74,167,104,271,273,764,29,69,2466,7924
210011226,775,1540,7,39,60,265,16,58,493,1845,576,2214,46,189,61,195,192,632,300,1019,870,3229,3,22,13,48,8,28,86,211,109,308,20,56,34,73,211,487,265,616,376,922,64,130,2089,5824
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,897,1797,20,126,102,473,20,93,505,1981,652,2677,86,372,128,454,293,932,504,1760,1160,4439,3,14,27,86,0,11,98,263,125,377,18,70,37,88,149,328,209,482,335,861,33,64,2430,7165
210011229,2633,5285,42,234,294,1322,62,258,1655,6404,2045,8220,203,895,327,1159,900,2932,1427,4988,3476,13208,3,12,70,219,20,77,286,749,377,1055,69,214,125,294,569,1239,760,1748,1140,2803,124,256,7370,21552
