SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
209041437,2249,109,49,0,15,2421,171,15,6,0,0,193,56,0,3,0,0,66,2477,128,56,0,19,2677
210011226,1525,756,43,9,11,2345,441,118,6,0,0,571,53,26,0,0,6,82,2022,903,53,10,20,3005
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,2151,245,6,27,4,2430,359,95,12,17,0,485,51,15,4,3,0,82,2563,364,20,45,5,2997
210011229,5676,1424,57,47,14,7215,1461,264,14,3,0,1740,201,40,0,0,0,243,7337,1729,75,46,12,9202
210011230,1412,633,54,7,3,2112,257,115,8,0,0,378,49,22,0,0,0,70,1716,775,67,7,7,2564
210011231,2206,519,19,14,4,2760,264,66,0,3,0,336,49,14,0,0,0,63,2521,596,19,12,10,3159
210021232,3462,271,5,0,10,3745,271,77,5,0,0,356,75,13,0,0,0,90,3816,362,7,3,9,4192
210021233,1020,0,0,10,0,1035,75,0,0,7,0,86,26,0,0,3,0,28,1118,0,0,22,0,1147
210021234,1166,46,0,3,3,1213,90,11,0,0,0,103,17,3,0,0,0,20,1275,56,0,3,3,1338
210021235,2600,32,48,10,15,2700,337,21,18,0,6,382,64,0,0,3,0,63,2996,51,66,8,17,3140
210031236,1586,484,95,23,6,2197,354,57,28,3,0,450,64,28,4,0,0,88,2004,569,130,22,7,2733
210031237,2665,441,41,10,11,3163,986,89,8,0,7,1092,140,24,4,0,0,172,3797,555,53,11,12,4423
210031239,3701,3051,346,26,19,7136,848,468,130,6,3,1451,102,85,27,7,0,211,4649,3603,498,37,18,8804
210031438,3629,1803,521,4,27,5982,1124,272,134,0,8,1536,159,79,27,0,0,266,4906,2158,679,10,36,7783
210031439,720,161,38,0,0,917,62,4,20,0,0,86,13,0,0,0,0,17,796,169,55,0,0,1022
210031440,1175,307,16,3,3,1504,415,92,3,3,0,509,53,23,0,0,0,76,1645,419,17,4,3,2094
210041240,3668,27,3,0,0,3704,360,7,4,0,3,369,72,0,0,0,0,71,4090,37,9,4,3,4142
210041241,7169,332,651,3,13,8166,769,127,212,0,3,1110,160,25,28,0,4,221,8096,488,897,3,17,9501
210051242,2030,413,397,80,17,2933,645,137,115,31,5,932,158,25,27,11,23,246,2835,576,539,127,44,4115
210051243,3031,135,243,39,16,3468,893,20,71,58,3,1045,195,12,18,10,4,243,4117,170,341,107,22,4749
210051245,4602,394,10,43,7,5063,726,92,13,29,0,855,142,18,3,5,0,171,5470,506,24,79,6,6088
210051246,4080,147,4,0,6,4234,358,22,0,0,0,382,71,0,0,0,0,76,4505,164,4,0,9,4687
210051247,2781,502,40,0,13,3332,495,112,3,0,0,611,140,36,0,0,4,180,3411,648,44,0,15,4119
210051248,15,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,23
210051249,4275,490,30,0,0,4797,383,66,6,0,0,453,131,26,4,0,0,169,4796,579,39,0,7,5419
210051250,1238,764,3,0,3,2010,328,184,3,0,0,513,47,22,0,0,0,67,1609,971,6,0,3,2589
210051441,2016,78,64,0,0,2160,264,23,24,0,4,313,68,3,3,0,0,74,2350,105,96,0,3,2549
210051442,2553,237,42,0,0,2837,171,41,9,0,0,221,58,7,0,3,0,71,2789,284,51,3,0,3133
210051443,3772,392,25,0,5,4197,370,67,8,0,0,449,95,9,0,0,0,109,4244,468,34,3,10,4752
210051444,3009,588,34,0,5,3636,224,120,4,0,3,354,96,17,0,0,0,116,3332,721,38,3,6,4106
210051445,881,55,0,0,3,936,76,3,0,0,0,74,20,0,0,0,0,22,973,56,0,0,3,1033
211011251,2562,957,321,4,20,3869,312,192,95,0,0,606,61,29,19,0,0,112,2935,1182,439,4,19,4586
211011254,4044,555,3,4,8,4607,367,51,3,0,0,423,89,7,0,0,0,98,4500,613,5,7,11,5133
211011255,1800,0,0,0,0,1807,84,0,0,0,0,86,32,0,0,0,0,32,1918,0,0,0,0,1925
211011256,4212,185,32,90,0,4531,312,92,9,8,0,418,67,21,0,4,0,95,4594,299,44,108,3,5043
211011257,2113,67,145,4,4,2330,94,3,60,0,0,153,37,0,6,0,0,45,2242,70,213,4,4,2534
211011258,2926,122,16,0,0,3067,164,28,0,0,0,190,53,5,0,0,0,57,3143,152,14,0,0,3312
211011259,3840,314,3,66,3,4233,309,104,0,50,0,462,77,16,0,5,0,100,4220,437,0,130,5,4792
211011260,4405,706,120,0,7,5241,343,276,26,3,0,641,83,55,13,0,3,151,4827,1036,158,3,9,6036
211011446,5487,1540,168,0,18,7212,729,268,70,0,3,1065,146,61,21,0,7,231,6360,1865,251,5,27,8510
211011447,3889,441,79,3,14,4427,517,114,75,0,3,707,76,15,17,0,0,110,4477,570,168,3,22,5242
211011448,4321,194,16,6,7,4536,416,31,3,0,0,450,101,3,0,0,0,101,4829,229,17,4,7,5088
211011449,1256,49,3,3,0,1312,113,3,0,0,0,118,34,0,0,0,0,35,1403,55,3,4,0,1466
211021261,4346,268,59,0,4,4679,315,67,58,0,0,440,79,11,9,0,0,101,4746,342,124,0,9,5221
211021262,2808,17,0,16,6,2843,139,7,0,0,0,144,51,0,0,0,0,51,2991,22,0,18,9,3041
211031263,2997,525,96,0,3,3629,291,104,20,0,0,415,67,17,5,0,3,90,3352,649,123,0,11,4127
211031265,5327,54,3,5,5,5389,328,7,0,0,0,336,83,0,0,0,0,82,5732,66,3,6,9,5807
211031266,4580,674,287,4,12,5557,584,227,47,0,6,866,103,45,7,0,3,161,5269,943,338,8,27,6579
211031267,5930,442,111,9,15,6508,632,58,13,0,0,709,129,18,4,0,0,150,6693,523,134,9,13,7367
211031268,2900,17,6,0,3,2920,195,3,0,0,0,204,48,0,0,0,3,55,3144,17,6,0,4,3175
211031450,4305,518,255,0,19,5100,573,144,42,0,3,760,120,24,11,0,4,151,5005,679,308,0,22,6015
211031451,3939,317,20,3,8,4282,581,44,13,0,3,641,109,10,0,0,4,127,4631,373,29,3,15,5051
211031452,1382,108,0,0,0,1494,154,14,0,0,0,164,31,3,0,0,0,33,1572,122,3,0,0,1696
211041269,2506,752,38,0,5,3299,332,189,33,0,0,547,60,21,7,0,3,94,2900,955,69,0,8,3939
211041270,3444,1602,286,3,13,5348,381,220,20,0,0,626,76,39,10,0,0,122,3903,1858,311,3,19,6088
211041271,2646,917,91,5,3,3662,295,188,19,0,0,500,68,47,9,0,9,129,3007,1157,121,5,9,4294
211041272,2658,585,16,10,4,3270,257,68,13,0,0,341,43,13,0,0,4,61,2956,667,35,10,8,3671
211041273,3210,252,40,0,5,3502,291,58,6,0,0,357,47,8,0,0,0,62,3548,316,46,0,3,3913
211051274,3019,13,7,3,11,3046,207,0,0,0,0,207,63,0,0,0,0,63,3293,15,7,4,11,3321
211051275,2873,48,0,0,13,2935,355,3,0,0,0,367,50,0,0,0,3,51,3284,56,0,0,11,3355
211051276,3880,258,13,36,19,4206,544,78,3,13,4,639,99,14,0,3,0,114,4521,343,13,54,27,4962
211051277,2562,251,22,3,11,2840,317,129,8,0,0,456,58,23,0,0,3,85,2938,405,29,7,12,3386
211051278,4827,770,51,30,21,5698,497,281,3,29,3,818,102,39,5,0,3,141,5432,1087,58,58,26,6663
211051279,1612,31,3,4,10,1656,182,3,3,0,0,192,45,0,0,0,0,45,1837,31,5,6,10,1891
211051280,1857,84,26,0,0,1972,161,48,3,0,0,218,24,4,0,0,0,30,2042,135,34,0,3,2218
211051281,6309,247,10,0,21,6596,653,65,0,0,0,724,135,7,0,0,0,146,7098,325,17,0,25,7463
211051282,3089,23,0,7,32,3151,230,5,0,0,6,234,64,0,0,0,4,68,3378,37,0,6,35,3460
211051283,2766,74,0,3,5,2849,248,22,0,0,0,276,52,6,0,0,0,59,3066,104,0,3,8,3186
211051284,3018,37,16,3,0,3080,230,22,4,0,0,256,62,4,0,0,0,72,3314,69,21,3,4,3408
211051285,2164,0,4,3,8,2188,225,3,3,0,0,226,53,0,0,3,3,53,2436,3,8,8,14,2472
211051286,4618,37,33,51,14,4747,873,12,11,57,5,960,158,0,3,5,5,172,5649,53,46,107,26,5876
212011287,3417,414,0,27,6,3865,214,48,0,23,3,292,57,7,0,3,0,75,3694,475,0,47,9,4231
212011288,2257,64,21,3,13,2363,345,25,18,0,0,394,57,0,4,0,0,64,2666,89,50,7,13,2822
212011289,5156,4,7,6,25,5195,461,0,3,4,0,465,106,0,0,0,4,109,5723,4,12,10,30,5774
212011290,1948,6,0,4,8,1965,403,32,0,0,0,441,78,3,0,0,3,85,2422,43,5,9,8,2487
212011291,4875,559,25,5,14,5471,522,145,28,0,0,697,110,25,4,0,3,145,5511,729,57,7,14,6318
212011292,7293,725,14,26,4,8063,872,217,3,26,3,1113,194,53,3,3,0,255,8358,992,17,50,7,9428
212021293,5867,1099,62,5,11,7038,496,355,83,0,0,929,102,54,7,0,4,171,6463,1507,151,4,12,8134
212021294,6897,188,34,0,4,7122,381,16,10,0,0,400,114,3,3,0,0,121,7390,206,39,0,4,7643
212021295,2225,419,30,44,11,2728,630,146,54,26,0,864,136,18,5,12,4,178,2991,591,88,82,18,3771
212021297,2344,484,3,0,0,2832,304,93,0,0,0,396,85,19,0,0,3,105,2735,593,3,0,3,3340
212021299,1932,19,0,0,3,1955,124,0,0,0,0,125,45,0,0,0,0,45,2099,19,0,0,8,2126
212021453,2938,299,3,0,0,3241,343,28,0,0,0,378,85,7,0,0,0,92,3365,336,5,0,5,3713
212021454,3300,441,0,4,0,3750,368,48,0,0,0,414,104,13,0,0,0,114,3772,500,0,4,3,4276
212021455,3626,81,15,0,0,3725,357,18,7,0,0,380,99,3,0,0,0,105,4085,100,25,0,0,4208
212021456,3606,140,131,57,11,3954,428,33,39,47,5,547,106,8,4,5,0,127,4141,189,180,108,11,4631
212031300,4466,810,214,0,6,5495,666,262,78,0,4,1009,168,45,22,0,3,231,5296,1113,310,0,13,6735
212031301,6423,575,14,3,4,7017,448,183,11,0,0,646,144,33,7,0,3,190,7012,797,38,3,9,7854
212031302,5010,290,10,0,4,5319,436,37,0,0,0,474,161,11,0,0,0,171,5606,332,10,0,5,5956
212031303,2334,109,6,3,3,2459,197,51,5,0,0,253,44,16,0,0,0,66,2574,184,6,3,3,2773
212031304,3629,522,3,3,8,4159,289,48,0,0,0,339,127,11,0,0,0,139,4037,578,4,4,8,4635
212031305,5909,326,16,15,9,6272,833,101,23,3,3,966,217,18,0,0,0,245,6963,442,44,20,15,7481
212031306,3562,194,19,0,3,3776,160,28,6,0,0,195,86,0,0,0,0,92,3803,222,26,0,9,4059
212031308,2180,8,13,10,4,2217,251,3,7,10,3,268,61,0,3,3,0,68,2486,12,23,26,7,2554
212031457,3254,138,0,0,0,3386,160,4,0,0,0,169,71,3,0,0,0,72,3483,145,4,0,0,3630
212031458,3763,410,0,0,4,4177,273,32,0,0,0,306,120,10,0,0,7,128,4156,445,5,0,5,4611
212041309,2897,260,14,0,3,3168,543,92,5,0,0,635,77,10,3,0,0,91,3519,358,21,0,3,3900
212041310,1841,1210,360,5,11,3425,534,166,35,0,0,734,84,39,10,0,0,133,2456,1407,402,8,17,4292
212041311,3166,2579,1411,61,22,7233,895,699,399,44,6,2041,195,197,95,11,13,514,4261,3467,1908,113,42,9789
212041312,5046,588,183,100,8,5927,924,206,52,26,0,1208,203,23,8,16,6,259,6177,818,247,143,11,7388
212041313,2654,480,0,18,3,3153,232,132,0,27,0,400,50,23,0,3,0,81,2934,635,0,43,10,3626
212041314,6171,513,89,11,3,6793,678,83,72,3,0,832,180,30,6,0,0,212,7027,627,171,14,6,7836
212041316,1915,21,154,0,3,2100,350,15,56,0,0,420,51,0,8,0,0,61,2314,42,215,0,3,2573
212041317,3686,1005,355,46,16,5113,771,218,193,41,3,1232,215,52,49,6,0,318,4677,1271,599,92,26,6662
212041318,2719,279,84,16,0,3097,416,68,14,15,3,513,102,7,3,0,0,119,3234,354,108,31,4,3731
212041459,2014,537,883,0,7,3434,461,148,257,3,3,876,103,46,46,0,0,200,2573,734,1186,3,10,4510
212041460,3577,600,595,3,26,4798,725,141,148,0,3,1018,168,45,38,0,3,251,4474,782,780,3,32,6070
212051319,3527,949,1013,3,26,5516,471,136,195,0,5,809,100,46,30,0,9,177,4094,1135,1235,3,32,6501
212051320,2145,2307,1467,3,42,5967,442,220,124,0,3,786,102,84,30,0,11,219,2679,2613,1620,3,58,6973
212051321,5810,409,83,3,3,6308,546,79,15,0,0,645,113,19,3,0,0,129,6470,504,105,3,7,7084
212051322,4179,781,713,0,13,5689,458,67,54,0,0,583,106,14,6,0,3,135,4745,863,774,3,20,6406
212051323,3494,246,997,4,13,4765,417,12,98,0,4,528,78,15,22,0,0,110,3988,271,1115,7,18,5401
212051324,3740,592,1203,3,14,5550,469,53,145,0,0,667,91,14,27,0,4,138,4306,657,1374,3,18,6361
212051325,4472,1074,31,7,6,5596,655,93,4,0,3,746,131,25,0,0,0,164,5261,1195,35,7,7,6504
212051326,4599,929,687,11,24,6255,812,113,121,3,4,1050,135,28,24,0,4,192,5546,1075,837,16,32,7502
212051327,5339,251,230,6,7,5829,542,122,81,0,3,750,103,27,16,0,0,151,5982,396,328,6,13,6727
213011328,1316,400,345,3,4,2066,412,89,146,0,3,649,81,28,30,23,3,157,1802,511,523,23,13,2867
213011329,2115,222,0,0,0,2341,139,14,0,0,0,153,62,6,0,0,0,68,2315,246,0,0,3,2564
213011330,5903,602,39,9,3,6555,917,114,18,0,3,1055,236,10,5,0,0,261,7056,730,60,13,7,7868
213011331,1736,406,44,0,5,2189,239,63,65,0,0,364,70,9,7,0,0,80,2043,474,114,0,5,2639
213011332,3169,399,30,0,4,3605,557,82,3,0,0,639,91,6,3,0,0,106,3819,494,39,0,5,4354
213011333,3273,90,26,3,3,3398,774,18,12,0,3,802,159,4,3,0,0,167,4206,113,42,3,8,4371
213011334,3337,829,512,21,11,4715,1195,206,207,3,4,1612,225,66,26,0,0,323,4758,1103,742,29,18,6652
213011335,3209,382,288,5,12,3904,891,164,98,0,0,1152,179,40,21,0,4,244,4279,580,405,10,17,5299
213011336,1713,579,205,0,6,2501,403,115,83,0,6,597,82,35,11,0,0,132,2196,724,297,3,9,3234
213011337,2271,303,101,7,7,2684,675,44,48,3,8,784,148,18,9,0,4,174,3089,365,153,15,15,3640
213011338,3620,647,136,3,5,4414,1226,100,57,0,8,1385,214,31,11,3,0,254,5058,771,200,6,17,6052
213011339,2131,956,83,0,3,3175,241,133,12,0,0,389,60,30,0,0,0,96,2433,1119,104,0,9,3659
213011340,4322,330,19,7,0,4683,445,113,24,0,0,580,101,15,0,0,0,115,4866,462,40,7,0,5379
213021341,2488,1286,288,11,6,4084,529,268,102,0,0,901,84,41,16,0,0,146,3103,1602,403,11,13,5129
213021342,4277,1122,255,3,11,5664,770,223,53,0,0,1049,121,29,11,0,0,164,5169,1375,323,4,12,6874
213021343,2440,1038,167,7,20,3674,954,204,69,3,0,1234,112,39,18,0,0,165,3512,1277,258,12,22,5079
213021344,3442,1725,369,34,26,5599,529,144,77,5,3,765,87,34,17,0,3,149,4061,1908,461,38,35,6507
213021345,1004,431,0,0,0,1438,115,55,0,0,0,168,17,9,0,0,0,29,1133,494,0,0,3,1631
213021346,2804,1425,505,35,15,4787,287,189,232,17,6,727,46,38,48,3,3,138,3133,1651,784,57,23,5643
213031347,2342,1915,529,18,25,4832,574,446,78,9,3,1111,124,97,17,0,3,244,3039,2455,624,32,29,6176
213031348,1819,908,2470,41,20,5254,310,123,482,4,10,931,93,40,110,0,13,253,2220,1078,3056,46,43,6441
213031349,1276,1531,1101,0,6,3917,181,84,130,0,3,399,32,29,28,0,0,86,1495,1639,1257,0,7,4403
213031350,2012,470,579,22,17,3103,235,62,125,5,11,435,41,15,15,0,3,75,2291,546,724,23,29,3617
213031351,2129,614,790,13,7,3555,347,115,171,0,3,631,58,20,35,0,6,117,2536,744,998,18,15,4309
213031352,3430,857,441,50,3,4786,495,75,74,8,0,647,70,23,5,0,3,102,3995,953,527,54,7,5534
213041353,5389,506,22,19,6,5949,721,179,43,8,0,959,145,31,0,0,14,188,6261,715,73,29,17,7099
213041355,4929,453,67,0,20,5459,345,54,13,0,3,417,124,8,0,0,0,134,5399,514,77,0,17,6007
213041356,4761,499,4,6,12,5281,810,203,4,0,0,1020,162,33,0,0,0,194,5728,738,10,6,14,6497
213041357,5994,431,28,9,22,6482,812,195,15,0,3,1033,205,35,0,0,3,240,7015,657,46,7,27,7755
213041358,3983,831,11,4,4,4834,439,147,3,0,0,589,145,17,0,0,0,164,4563,999,14,4,4,5582
213041359,358,7,0,44,8,418,87,0,0,59,0,142,22,0,0,5,0,32,475,7,0,105,8,596
213041360,4190,630,19,0,4,4837,246,106,20,0,0,375,107,25,6,0,0,133,4541,754,42,0,4,5349
213041461,1061,109,7,4,0,1182,127,100,18,0,0,244,33,17,4,0,0,51,1217,225,31,4,0,1478
213041462,1324,161,0,0,0,1491,81,9,0,0,0,87,42,3,0,0,0,43,1447,175,0,0,0,1625
213041463,4724,482,102,0,0,5314,413,62,14,0,0,495,118,21,3,0,0,140,5260,563,118,0,3,5942
213051361,4516,581,231,0,5,5339,455,75,75,0,3,603,99,9,5,0,3,118,5073,666,313,0,9,6060
213051362,4736,289,424,0,6,5455,611,42,142,0,0,792,130,9,15,0,0,153,5475,340,578,0,6,6398
213051363,1987,387,25,18,6,2425,272,37,8,22,0,339,69,14,7,0,3,89,2321,438,39,41,8,2849
213051365,7200,1594,47,0,7,8846,441,184,10,0,4,633,190,51,4,0,3,249,7830,1824,63,0,16,9733
213051366,4341,1435,21,4,5,5796,245,126,0,0,0,370,188,41,3,0,0,233,4769,1600,27,4,5,6399
213051368,2489,670,73,28,4,3274,505,202,19,31,0,754,85,21,4,3,0,110,3081,891,97,68,10,4134
213051369,6217,192,13,0,7,6424,606,39,0,0,0,652,162,3,3,0,3,165,6982,233,11,0,9,7237
213051464,2921,482,34,3,9,3440,125,27,3,0,0,160,52,11,0,0,0,70,3106,519,37,3,7,3670
213051465,5509,754,181,3,4,6446,281,80,38,0,0,399,90,18,10,0,0,120,5881,850,225,3,8,6962
213051466,3467,585,20,0,0,4072,107,30,0,0,0,141,75,8,0,0,0,78,3648,622,19,0,0,4291
213051467,4607,786,9,6,7,5414,844,215,7,0,3,1071,176,44,3,0,0,222,5621,1050,22,8,9,6707
213051468,3111,383,74,3,3,3574,337,109,17,3,0,469,78,14,3,0,0,98,3533,503,96,5,3,4141
214011370,4908,1132,31,103,8,6182,555,300,10,83,0,960,116,77,4,9,3,209,5583,1510,43,203,12,7347
214011371,5220,1652,507,15,16,7420,739,542,230,0,3,1513,175,77,37,0,5,297,6132,2277,781,20,26,9228
214011372,5262,517,64,11,5,5865,1040,182,34,4,0,1262,231,27,9,0,3,268,6532,732,114,11,12,7401
214011373,5044,574,21,20,8,5666,420,238,29,11,0,701,98,44,0,3,0,150,5565,855,46,37,10,6522
214011374,6403,906,65,67,0,7441,438,199,12,43,0,682,125,21,3,5,0,159,6967,1126,73,119,0,8285
214011375,4139,1094,177,22,0,5427,650,356,81,30,0,1123,132,49,17,7,0,210,4920,1496,276,53,6,6751
214011376,3341,476,0,0,0,3816,196,65,0,0,0,259,62,11,0,0,0,76,3596,551,3,0,0,4151
214021377,2907,558,28,60,19,3579,507,101,6,40,5,660,102,21,16,11,0,154,3513,682,57,116,23,4389
214021378,1662,4,9,9,3,1686,151,0,0,0,5,157,39,0,0,0,0,39,1846,4,9,8,8,1876
214021379,5687,792,29,27,14,6550,859,300,8,14,0,1178,189,49,0,3,0,234,6734,1140,30,49,11,7961
214021380,5751,571,1492,62,11,7894,709,130,469,49,5,1357,154,17,76,6,0,261,6614,721,2033,120,15,9510
214021381,5047,201,187,3,10,5446,310,48,52,0,4,409,73,7,9,0,0,92,5435,251,250,3,11,5951
214021382,5017,688,10,0,16,5730,389,119,12,0,0,521,104,19,8,0,3,135,5510,827,32,0,15,6385
214021383,5193,150,16,22,12,5396,983,79,3,18,3,1086,201,15,0,0,0,212,6378,239,20,43,15,6696
214021384,5577,631,131,43,23,6409,1440,343,118,42,12,1954,278,59,17,10,3,368,7293,1039,263,92,41,8727
214021385,4786,632,4,18,11,5453,448,214,0,20,3,692,113,30,0,0,7,146,5350,878,4,38,16,6288
215011386,2050,49,60,19,10,2187,658,61,39,13,5,781,92,4,10,3,3,112,2802,118,110,38,15,3076
215011387,853,4,3,3,6,868,235,0,3,7,0,245,32,0,0,0,3,33,1120,4,6,11,11,1144
215011388,4364,223,218,6,14,4829,1085,208,160,3,8,1461,154,19,19,0,3,192,5606,446,392,9,26,6481
215011389,971,0,4,10,5,986,218,0,4,9,0,234,25,0,0,0,0,26,1220,0,7,17,6,1246
215011390,1843,69,27,11,21,1971,631,32,42,0,4,716,68,6,5,0,3,82,2540,111,80,17,27,2769
215011391,973,17,9,11,9,1010,373,16,9,6,3,403,42,0,0,0,0,47,1383,32,15,23,7,1464
215011392,2225,17,71,20,30,2361,648,28,69,17,6,771,76,6,8,3,3,99,2954,58,150,36,38,3231
215011393,776,6,3,10,0,795,279,12,7,3,3,303,31,6,0,0,0,37,1081,23,10,13,4,1139
215011394,1831,3,15,22,21,1893,628,6,37,6,3,680,81,4,0,3,0,89,2538,15,50,29,32,2664
215021395,1809,0,29,14,9,1859,380,5,23,10,3,425,55,0,4,0,5,70,2243,7,62,25,12,2351
215021396,1197,11,11,7,10,1237,329,5,13,16,0,361,57,0,3,0,0,65,1579,22,32,22,13,1662
215021398,953,0,8,21,6,997,343,0,15,12,4,379,37,0,4,0,3,47,1335,0,27,42,17,1417
215021399,1443,5,39,15,7,1505,412,7,50,10,3,481,73,0,12,0,0,86,1931,7,100,23,13,2069
215021469,4014,645,266,18,21,4961,978,371,238,12,7,1609,167,65,30,3,4,268,5158,1076,539,27,27,6830
215021470,3495,359,185,40,17,4102,751,215,165,34,0,1174,141,17,35,6,5,209,4388,593,385,84,24,5481
215031400,1626,13,21,16,6,1688,627,15,28,10,0,679,76,6,10,0,3,95,2330,35,56,30,12,2455
215031401,1836,0,16,10,5,1869,646,3,36,4,0,693,76,0,4,3,0,88,2557,4,53,21,6,2649
215031402,1035,0,20,9,0,1072,388,0,32,9,0,431,57,0,5,0,0,61,1487,0,57,24,0,1572
215031403,604,3,6,16,3,637,278,7,14,19,4,327,53,3,5,4,0,63,933,20,30,42,3,1027
215031404,2499,149,211,17,35,2918,708,91,128,14,6,949,115,10,25,0,10,161,3326,259,360,26,54,4026
215031405,1509,3,4,28,35,1574,470,5,12,16,6,510,49,0,4,0,0,57,2034,7,21,41,40,2145
216011406,3696,387,18,12,16,4126,821,245,19,12,3,1102,156,45,3,0,0,212,4678,679,42,27,23,5442
216011407,2776,31,165,24,12,3008,713,25,154,18,0,905,99,3,14,0,0,118,3583,53,336,36,19,4031
216011408,1002,0,0,6,6,1013,237,4,6,0,0,254,26,0,0,0,0,30,1266,4,9,6,6,1296
216011409,1041,8,15,9,0,1072,311,19,30,18,0,378,36,4,0,3,0,48,1390,28,51,25,0,1497
216011410,1131,9,4,15,4,1158,382,5,7,12,0,409,62,0,0,3,0,66,1569,14,5,32,7,1634
216021411,1558,68,43,12,9,1689,506,37,71,3,0,618,91,12,8,0,3,116,2154,112,124,22,14,2425
216021412,702,0,3,8,3,710,172,0,4,0,4,184,25,0,0,0,0,32,902,0,9,4,9,924
216021413,3212,59,78,36,20,3407,879,53,94,24,4,1052,125,9,7,4,3,146,4217,121,175,68,27,4607
216021414,1978,47,80,9,34,2151,526,49,89,0,28,695,75,0,19,0,4,97,2578,100,191,4,61,2940
216031415,1921,232,19,72,3,2246,451,187,13,76,0,719,86,34,3,22,0,139,2457,447,29,165,4,3109
216031416,4556,668,11,18,13,5260,808,333,31,23,0,1187,155,60,4,3,0,221,5515,1059,46,36,9,6670
216031417,5744,333,33,19,5,6141,1332,134,22,7,3,1498,235,30,11,3,6,281,7313,492,69,35,16,7917
216031418,1052,0,0,11,0,1065,188,0,0,14,3,212,29,0,0,0,0,29,1271,0,0,24,3,1303
216031419,2578,90,11,27,11,2719,607,65,6,16,3,700,91,4,3,0,3,102,3279,156,23,43,17,3521
217011420,2389,3,17,20,15,2445,804,3,24,18,8,852,110,5,3,3,3,122,3296,16,40,39,20,3416
217011421,2854,82,55,15,12,3016,799,52,45,5,3,907,100,10,7,0,0,114,3757,140,103,20,20,4035
217011422,2947,104,116,21,16,3197,706,70,96,10,4,886,108,10,11,0,0,135,3761,192,225,27,19,4220
217011423,1692,24,0,9,35,1763,460,8,0,3,15,488,57,0,0,0,3,60,2211,33,3,12,55,2317
217031471,936,38,14,4,3,992,308,38,12,0,3,360,50,4,5,0,0,57,1286,79,30,7,10,1406
217031472,3086,249,9,24,6,3376,904,229,13,12,3,1160,123,25,0,3,3,156,4120,501,23,42,10,4697
217031473,1493,0,0,3,0,1501,402,0,0,0,5,414,53,0,0,0,4,56,1947,3,0,3,9,1965
217031474,1428,0,33,5,12,1473,443,0,37,3,3,480,58,0,10,0,3,77,1925,0,78,6,16,2031
217031475,1888,10,15,9,27,1949,524,17,14,3,0,556,65,3,0,0,8,78,2476,24,28,15,37,2582
217031476,931,39,26,21,18,1031,243,16,8,3,3,274,35,0,0,6,0,40,1205,58,31,30,26,1353
217041477,1768,7,0,13,15,1793,480,4,0,3,3,487,62,0,0,0,3,63,2309,11,0,14,15,2345
217041478,2603,46,13,30,21,2710,570,30,6,8,0,609,90,3,3,0,0,101,3266,78,26,34,26,3420
217041479,5551,540,74,3,19,6180,1069,254,49,0,4,1379,148,28,48,0,3,229,6768,824,172,3,26,7786
217041480,2990,449,256,47,32,3777,575,239,196,27,6,1041,89,23,28,0,3,146,3655,710,479,74,39,4963
297979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
