SA2_MAINCODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
209041430,14,100,0,30,9,0,0,0,0,158,3,31,0,6,0,0,0,0,0,40,82,576,22,89,136,46,0,13,13,983,0,0,0,6,3,0,0,0,0,9,43,58,7,69,85,29,0,5,0,300,56,85,24,168,152,57,4,5,3,553,42,39,124,270,194,96,12,26,15,817,3,4,0,9,32,16,0,4,0,77,5,6,5,36,34,14,0,6,0,106,0,3,0,8,5,4,0,0,0,24,3,14,3,17,22,15,0,0,12,96,276,1028,196,717,715,283,19,62,46,3347,0,12,0,0,0,0,0,0,0,12,4,20,0,0,0,0,0,0,0,24,52,173,9,13,35,9,4,6,7,313,5,19,0,0,0,0,0,0,0,29,16,130,5,29,14,0,0,0,0,201,3,39,0,5,4,0,0,3,4,57,235,868,63,133,201,74,21,30,16,1651,0,0,0,3,3,0,0,0,0,12
209041431,6,30,0,7,3,0,0,0,0,50,0,0,0,0,0,0,0,0,0,5,39,207,14,54,66,37,0,17,0,430,0,0,0,0,0,5,0,0,0,8,10,26,6,21,21,11,0,10,0,110,19,29,13,89,45,25,0,4,3,225,19,23,37,121,84,53,9,33,3,375,0,0,0,10,21,13,0,3,0,43,4,3,0,15,25,12,0,4,0,67,5,8,4,3,7,3,3,0,0,39,3,9,0,28,16,14,0,6,11,81,110,391,76,362,305,165,20,87,17,1535,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,4,0,22,32,92,9,16,34,4,12,12,3,220,0,13,0,0,4,0,0,0,0,15,8,38,3,7,3,0,0,0,0,71,0,6,0,0,0,0,0,0,0,14,87,349,54,82,123,67,44,36,5,840,0,0,0,0,0,5,0,0,0,8
209041432,0,19,0,6,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,3,11,109,8,46,46,30,0,10,7,276,0,0,0,0,0,0,0,0,0,0,7,10,5,17,20,5,4,10,3,80,7,18,9,57,29,11,0,7,6,132,12,3,15,71,41,16,0,15,0,187,0,0,3,10,10,5,3,5,0,38,3,3,0,20,17,8,0,7,0,63,0,0,3,0,4,0,0,3,0,18,3,3,3,11,14,8,0,7,4,49,54,195,58,246,180,102,18,71,17,938,0,0,0,0,3,0,0,0,0,3,0,12,3,0,0,0,0,0,0,12,20,45,8,10,23,12,16,13,3,152,0,4,0,0,0,0,3,0,0,11,6,19,0,8,7,0,0,0,0,44,0,3,0,0,0,0,0,0,0,9,58,207,35,62,74,46,27,36,14,559,0,0,0,0,0,0,0,0,0,0
209041433,4,27,0,10,3,0,0,0,0,51,3,11,0,0,0,0,0,0,0,12,33,240,14,82,114,41,6,23,6,549,0,0,0,3,0,0,0,0,0,6,14,15,4,28,22,15,0,4,0,104,14,25,15,98,50,22,4,14,6,250,17,10,27,92,59,34,4,19,5,260,0,0,0,6,14,3,3,3,0,33,3,3,4,9,16,7,3,3,0,43,3,7,3,3,3,3,0,3,0,22,4,6,3,18,11,3,0,4,3,54,101,435,70,377,331,137,25,72,23,1570,3,3,0,0,0,0,0,0,0,11,3,15,0,0,0,0,0,0,0,22,46,160,16,43,66,20,25,24,3,397,0,8,0,0,3,0,0,0,0,19,12,43,0,10,4,3,3,0,3,81,3,17,0,0,0,0,0,0,0,25,78,409,49,111,153,68,52,47,10,993,0,0,0,3,0,0,4,0,0,9
209041434,6,71,0,14,3,3,0,0,0,106,3,18,0,0,0,0,0,0,0,22,70,401,23,92,126,49,3,25,3,779,0,0,0,5,0,3,0,0,0,9,33,45,10,37,42,26,0,4,0,202,44,53,20,117,95,36,3,14,5,393,38,35,79,195,152,55,9,21,4,589,6,3,0,11,26,10,0,8,0,63,7,3,9,40,18,13,0,4,0,97,3,3,0,6,8,3,0,0,0,29,0,5,0,13,23,12,3,7,9,71,229,761,144,554,539,223,26,86,21,2580,0,0,0,0,0,0,0,0,0,3,5,49,0,3,0,0,0,0,0,54,69,189,13,29,63,34,15,20,7,431,0,17,0,0,0,0,0,0,0,22,22,100,3,20,10,4,0,3,0,156,3,24,0,0,0,3,0,0,0,37,160,616,57,128,189,80,35,54,6,1347,0,0,6,5,0,3,0,0,0,13
209041435,3,48,0,17,8,0,0,0,0,79,0,14,0,0,0,0,0,0,0,19,48,338,16,42,99,41,0,10,4,598,0,0,0,4,3,0,0,0,0,4,16,20,3,33,35,20,0,6,0,131,19,41,12,84,93,20,4,10,3,275,23,32,50,107,92,60,5,12,3,382,0,0,3,7,6,12,0,0,0,34,3,10,7,21,21,7,0,3,0,66,3,3,0,3,9,4,3,0,0,31,0,8,0,12,16,11,3,3,12,59,128,604,96,335,393,172,13,56,26,1835,0,7,0,0,3,0,0,0,0,15,3,17,0,0,3,0,0,0,0,29,49,164,20,29,42,7,6,13,3,327,0,7,0,0,3,0,0,0,0,15,5,58,0,16,11,0,0,4,0,102,0,19,0,5,3,0,0,0,0,26,149,572,44,69,135,66,38,23,10,1104,0,0,0,4,3,0,0,0,0,11
209041436,6,40,0,8,0,3,0,0,0,64,0,11,0,0,0,0,0,0,0,8,41,287,12,67,78,41,3,14,4,550,0,0,0,3,0,0,0,0,0,6,15,33,7,29,33,20,0,8,0,145,23,34,12,71,57,17,0,5,0,229,24,20,59,119,109,30,3,18,4,395,3,3,3,9,16,9,3,3,3,51,5,3,0,25,30,4,3,3,0,77,3,5,0,3,3,0,0,0,0,17,7,4,3,14,8,6,0,3,0,49,142,500,93,365,363,138,15,74,21,1712,0,5,0,0,0,0,0,0,0,7,0,37,0,0,3,0,0,0,0,48,47,96,12,13,35,15,9,9,0,243,3,3,0,0,4,0,0,0,0,13,15,53,6,11,8,3,0,0,0,96,0,13,3,4,0,0,0,0,0,18,102,451,43,91,120,80,24,32,8,967,0,0,0,3,3,4,0,0,0,10
209041437,8,25,0,4,3,0,0,0,0,39,0,3,0,0,0,0,0,0,0,6,39,228,18,54,76,32,4,18,9,473,0,0,3,0,0,0,0,0,0,3,13,16,4,18,29,8,0,0,0,90,12,26,15,76,46,11,3,9,0,197,13,14,30,67,44,40,8,15,4,226,4,3,3,3,12,3,0,4,0,30,0,4,5,6,19,7,0,3,0,39,0,3,0,0,3,7,0,0,0,8,3,7,0,10,3,11,0,5,0,43,98,397,82,267,265,130,17,67,22,1343,0,3,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,18,51,143,23,38,51,24,30,18,0,387,3,8,0,0,0,0,0,3,0,12,13,32,0,13,6,0,0,0,0,66,0,9,0,3,0,0,0,0,0,15,88,372,64,84,122,54,65,30,16,889,0,0,3,0,0,0,0,0,0,9
210011226,3,30,0,8,4,0,0,0,0,51,0,7,0,0,3,0,0,0,0,17,54,238,6,31,73,35,0,5,6,454,0,0,0,0,3,0,0,0,0,5,7,23,10,14,18,5,3,0,0,85,30,20,4,44,50,20,0,7,3,173,12,7,21,50,46,26,5,15,4,175,3,0,0,3,5,4,0,0,0,16,4,0,0,24,14,4,0,0,3,54,0,3,0,0,3,0,0,0,0,12,4,8,3,9,9,4,0,3,0,40,141,416,48,185,228,104,8,33,18,1180,0,4,0,0,0,0,0,0,0,8,3,20,0,0,3,0,0,0,0,28,20,98,9,5,8,3,0,3,3,158,3,6,0,0,0,0,0,0,0,9,8,41,3,4,4,0,0,0,0,68,0,10,0,0,3,0,0,0,0,20,119,365,28,48,96,56,6,5,8,743,0,0,0,0,3,0,0,0,0,4
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,3,42,0,3,4,0,0,0,0,57,0,4,0,0,0,0,0,0,0,4,54,244,9,32,61,30,0,0,4,433,0,0,0,0,0,0,0,0,0,0,13,22,3,12,34,7,3,0,0,91,26,21,3,21,63,21,0,4,0,161,12,9,28,35,60,34,3,3,0,179,5,0,0,0,6,4,0,0,0,21,3,4,0,11,13,12,0,0,0,40,0,0,0,3,8,4,0,0,0,15,4,8,0,8,9,12,0,0,8,49,119,416,44,126,264,121,8,16,17,1132,0,3,0,0,0,0,0,0,0,8,3,16,0,0,0,0,0,0,0,20,28,77,3,0,12,0,0,0,0,126,3,3,0,0,0,0,0,0,0,12,8,53,0,5,4,0,0,0,0,72,3,7,0,0,3,0,0,0,0,14,143,400,26,54,86,60,5,14,8,787,0,0,0,0,0,0,0,0,0,5
210011229,14,109,0,13,19,4,0,0,0,167,0,24,0,0,3,0,0,0,0,26,162,723,41,116,256,86,3,26,15,1427,0,3,0,3,3,0,0,0,0,11,26,67,12,39,71,27,3,0,3,258,49,64,27,102,119,51,4,11,3,423,30,28,63,135,127,57,8,20,9,491,3,7,3,13,31,7,0,5,0,70,9,10,5,27,53,19,0,3,4,132,3,13,0,10,11,3,0,0,3,50,9,15,10,16,25,16,3,7,4,106,350,1277,176,482,754,274,26,81,56,3477,3,22,0,0,0,0,0,0,0,28,11,76,3,0,3,0,0,0,0,100,92,299,12,13,57,17,7,3,11,508,4,20,0,0,3,0,0,0,3,35,27,174,3,25,25,3,5,0,0,260,7,26,0,3,5,0,0,0,0,44,425,1300,131,161,373,150,40,63,35,2668,0,8,3,5,3,0,0,0,0,19
210011230,8,50,0,11,4,3,0,0,0,75,3,7,0,0,0,0,0,0,0,7,65,262,9,30,71,29,0,6,7,484,0,0,0,0,3,0,0,0,0,6,13,24,8,11,24,3,0,7,0,89,23,22,11,36,46,8,0,6,4,157,11,10,12,41,48,22,0,7,0,154,0,0,0,5,10,4,0,0,0,24,0,0,0,4,9,6,0,0,0,24,0,5,0,3,3,0,0,0,0,18,3,15,0,3,5,0,0,0,3,32,154,486,47,146,246,84,3,27,20,1212,3,7,0,0,0,0,0,0,0,16,12,36,0,0,0,0,0,0,0,42,36,112,0,8,23,11,0,3,4,204,3,12,0,0,0,0,0,0,0,21,12,67,3,8,12,3,0,0,0,109,3,5,0,0,0,3,0,0,0,13,177,432,27,45,97,33,7,23,14,852,0,0,0,0,3,0,0,0,0,6
210011231,16,67,0,10,11,0,0,0,0,101,0,10,0,0,5,0,0,0,0,20,90,371,16,52,115,33,0,6,7,691,0,0,0,0,0,0,0,0,0,3,23,37,3,15,41,3,0,0,0,124,23,42,5,31,35,11,0,3,0,150,13,18,23,44,55,19,0,3,0,175,0,0,0,3,7,0,0,0,0,16,0,7,0,9,15,9,0,0,0,50,0,4,3,0,0,0,0,0,0,15,3,3,3,10,12,4,0,3,0,46,198,671,59,178,312,88,3,19,18,1549,3,4,0,0,0,0,0,0,0,15,4,44,0,0,0,0,0,0,0,45,69,153,0,12,18,3,0,5,4,269,10,13,0,0,0,0,0,0,0,27,34,94,3,10,13,3,0,0,0,167,5,15,0,0,3,0,0,0,0,28,261,688,46,68,165,61,12,19,14,1337,0,0,0,0,0,0,0,0,0,3
210021232,15,79,3,12,12,0,0,0,0,122,3,27,0,0,3,0,0,0,0,31,89,403,15,74,95,25,0,8,3,709,0,0,0,0,0,0,0,0,0,3,21,59,10,26,30,10,3,4,0,159,36,38,13,85,83,16,0,4,4,283,22,26,46,100,104,40,0,13,4,351,0,3,0,12,11,16,0,3,0,49,3,3,4,21,26,9,3,3,0,79,0,7,4,0,8,4,0,4,0,24,4,15,3,15,16,7,0,0,0,52,227,776,99,339,393,126,7,42,16,2027,0,3,0,3,0,0,0,0,0,8,5,36,0,3,0,0,0,0,0,43,70,148,3,4,13,3,0,3,3,253,10,17,0,0,0,0,0,0,3,29,37,120,4,15,22,0,3,0,0,193,4,35,3,4,6,0,0,0,0,50,220,655,41,107,124,40,12,16,11,1213,0,0,0,0,3,0,0,0,0,4
210021233,8,38,0,4,4,0,0,0,0,59,4,3,0,0,3,0,0,0,0,9,28,116,7,21,23,6,0,3,5,203,0,0,0,0,0,0,0,0,0,0,11,20,3,12,12,5,0,0,0,54,9,10,3,8,8,3,0,0,0,39,3,3,11,19,14,16,0,8,0,69,0,0,0,0,3,0,0,0,0,7,0,0,3,4,6,0,0,3,0,16,0,0,0,0,0,0,0,0,0,4,0,9,0,5,3,4,0,0,4,20,67,256,26,75,85,29,0,12,7,569,3,0,0,0,0,0,0,0,0,5,4,23,0,0,0,0,0,0,0,31,24,79,0,6,6,0,0,3,0,110,3,5,0,0,0,0,0,0,0,9,15,50,0,3,4,3,0,0,3,82,4,9,0,0,3,0,0,0,0,13,76,224,16,29,27,14,5,7,6,408,0,0,0,0,0,0,0,0,0,0
210021234,4,31,0,4,4,0,0,0,3,42,3,3,0,3,0,0,0,0,0,13,12,142,5,29,27,9,0,5,3,228,0,0,0,0,0,0,0,0,0,3,5,20,0,9,7,6,0,3,0,49,10,14,3,24,22,3,0,0,0,88,9,3,24,54,38,7,0,11,0,139,0,0,0,3,3,0,0,4,0,16,4,0,0,16,10,3,0,0,0,29,0,3,0,3,0,0,0,0,0,5,0,3,0,3,7,0,0,0,0,19,53,246,42,147,125,34,0,20,5,671,0,0,0,0,0,0,0,0,0,0,3,15,3,0,0,0,0,0,0,22,13,29,0,0,3,0,0,0,0,54,0,3,0,0,0,0,0,0,0,3,3,42,0,3,3,0,0,0,3,63,4,3,0,5,3,0,0,0,0,17,47,197,15,32,42,11,8,10,3,362,0,0,0,0,0,0,0,0,0,3
210021235,11,46,0,13,6,0,0,0,0,78,0,11,0,0,0,0,0,0,0,8,58,199,6,27,50,23,0,3,0,370,0,0,0,0,0,0,0,0,0,0,24,30,11,26,28,3,3,6,3,134,22,29,9,53,38,14,0,9,0,178,12,20,42,75,58,29,3,27,3,268,5,0,3,8,11,8,0,6,0,45,7,3,3,13,12,9,0,4,0,60,0,0,0,0,7,0,0,0,0,12,4,4,3,15,13,11,0,8,3,68,162,391,76,241,237,95,9,72,16,1300,0,3,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,21,30,50,3,6,5,0,0,0,0,98,3,8,0,0,0,0,0,0,0,9,22,60,0,13,5,3,3,3,0,111,4,10,0,0,0,0,0,0,0,18,118,305,23,40,57,27,0,8,8,589,0,3,0,0,0,0,0,0,0,3
210031236,12,78,0,4,4,0,0,0,0,106,3,11,0,0,4,0,0,0,0,20,47,255,18,53,72,29,0,9,7,501,0,0,0,0,0,0,0,0,0,0,19,18,0,9,23,6,0,4,0,83,8,21,10,34,31,6,0,6,0,130,7,14,10,40,41,13,0,9,0,132,3,0,0,0,10,0,0,0,0,10,0,3,3,11,10,0,0,3,0,27,0,4,3,3,3,0,0,0,0,13,3,0,0,7,4,4,0,0,4,20,122,547,48,168,223,71,0,39,24,1249,0,5,0,0,0,0,0,0,0,9,4,66,3,0,3,0,0,0,3,79,61,164,11,19,24,7,3,13,3,301,3,8,0,0,0,0,0,0,0,9,13,107,6,7,4,3,0,3,0,156,3,26,0,0,6,0,0,0,0,38,133,489,60,70,115,54,16,38,12,998,0,0,0,0,0,0,0,0,0,3
210031237,12,30,0,15,4,3,0,0,0,58,0,3,0,0,3,0,0,0,0,6,39,229,13,63,49,23,0,14,9,441,0,0,0,0,0,0,0,0,0,0,10,16,8,15,28,10,0,3,3,92,9,21,10,47,40,20,0,5,3,157,14,8,25,72,36,17,3,18,0,192,0,3,0,4,6,3,0,3,0,20,0,5,5,14,16,5,0,3,0,52,0,7,0,3,3,3,0,0,0,12,0,9,0,13,11,8,0,10,4,50,91,417,65,275,209,105,6,59,20,1240,0,4,0,0,0,0,0,0,0,4,0,41,3,0,0,0,0,0,3,51,36,189,21,49,24,24,25,26,13,402,3,5,4,0,3,0,0,0,0,22,15,46,0,18,5,3,0,0,0,91,3,10,3,0,3,0,0,0,0,16,97,411,82,107,95,62,61,73,23,1016,0,0,0,0,0,0,0,0,0,0
210031239,28,130,3,23,33,6,0,0,0,216,8,38,0,4,10,0,0,0,0,53,178,816,45,155,287,87,7,39,8,1624,0,0,0,0,0,3,0,4,0,6,32,58,22,47,59,28,0,4,0,265,35,82,34,115,123,43,0,18,4,450,38,41,66,133,118,48,6,22,8,476,5,4,0,6,19,16,0,7,0,59,5,6,7,19,35,18,3,3,3,102,4,11,0,13,6,3,0,0,0,40,6,12,4,22,23,12,0,3,13,100,399,1534,187,578,775,271,18,110,41,3921,3,15,0,0,0,0,0,0,0,15,4,114,0,0,8,0,0,3,0,130,146,470,28,42,104,39,24,33,11,899,3,28,0,0,8,0,0,3,0,45,46,201,3,33,42,10,0,0,3,340,14,52,3,4,14,0,0,0,0,81,455,1504,150,224,422,145,54,94,32,3086,0,0,3,0,0,5,0,3,0,6
210031438,3,80,0,20,14,3,0,0,0,124,0,20,0,0,3,0,0,0,0,29,72,483,40,116,161,57,3,64,10,1011,0,0,0,6,4,0,0,0,0,9,13,41,15,49,40,19,0,12,0,188,35,49,40,115,72,34,4,17,0,373,21,23,45,137,89,49,11,32,3,407,3,4,0,13,17,4,3,3,0,45,3,11,8,20,17,5,0,5,4,81,3,6,7,12,9,5,0,5,0,46,3,15,5,18,21,6,0,17,11,95,200,896,174,544,508,205,29,180,37,2766,0,9,3,0,0,0,0,0,0,6,7,51,3,0,5,0,0,0,0,65,94,297,43,63,82,42,46,72,11,747,3,23,3,5,3,0,0,5,0,47,15,103,3,26,13,3,3,9,0,188,5,27,3,0,3,0,0,0,0,41,185,889,167,182,254,112,91,180,23,2073,0,0,3,9,4,0,0,3,0,15
210031439,4,21,0,3,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,24,110,3,11,26,4,0,3,3,183,0,0,0,0,0,0,0,0,0,0,5,5,0,6,12,3,0,3,0,41,9,7,3,10,16,7,0,0,0,50,5,5,11,19,25,7,0,3,0,78,0,0,0,0,9,3,0,0,0,13,8,0,0,7,5,4,0,0,0,26,0,0,0,0,0,0,0,0,0,7,3,3,0,3,3,3,0,0,0,18,63,180,20,66,97,33,6,11,4,483,0,3,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,10,10,38,0,7,3,4,0,0,0,70,0,5,0,0,0,0,0,0,0,7,4,26,0,3,3,0,0,0,0,38,0,3,0,3,0,0,0,0,0,7,51,168,9,17,42,9,10,5,5,313,0,0,0,0,0,0,0,0,0,0
210031440,3,18,0,3,0,0,0,0,0,24,3,3,0,0,0,0,0,0,0,6,13,121,13,17,37,11,4,3,0,212,0,0,0,3,0,0,0,0,0,7,6,8,0,9,10,3,0,0,0,45,8,17,7,28,24,7,0,5,3,97,4,7,19,33,24,6,0,10,3,110,0,0,0,3,3,3,0,0,0,8,0,0,0,3,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,6,3,9,13,4,0,0,0,29,49,225,35,105,120,37,8,17,6,604,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,10,14,43,6,6,6,0,6,4,0,94,0,7,0,0,0,0,0,0,0,7,6,26,0,3,4,0,0,0,0,40,3,3,0,0,0,0,0,0,0,6,46,184,30,24,56,19,12,8,3,383,0,0,0,3,0,0,0,0,0,7
210041240,6,63,3,15,5,0,0,0,0,100,3,12,0,0,0,0,0,0,0,19,44,321,17,47,74,24,3,3,3,539,0,0,0,3,0,0,0,0,0,4,24,44,3,31,36,10,0,0,0,155,25,42,11,81,78,28,0,4,3,275,19,30,58,157,116,55,6,24,3,459,0,3,6,10,23,12,0,6,0,56,8,7,3,27,27,8,0,0,0,80,0,0,0,6,5,3,0,0,0,16,10,11,3,15,23,6,0,6,0,77,164,600,98,397,399,137,15,49,11,1867,0,3,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,29,44,84,0,3,12,3,0,0,0,144,0,12,0,0,0,0,0,0,0,8,13,84,4,19,9,0,0,0,0,129,3,17,0,0,3,0,0,0,0,22,110,494,34,69,99,37,18,15,6,891,0,0,0,3,0,0,0,0,0,7
