SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
203031050,84,105,191,1330,1614,2935,0,0,0,191,189,377,0,0,0,2534,2877,5420,26,23,52,68,45,109,18,24,43,3,5,11,68,85,150,0,0,0,19,26,43,64,64,125,243,285,528,22,22,37,4,5,8,523,723,1245,208,255,461,5,6,12,5315,6229,11546,37,25,59,12,25,38,3,0,6,0,0,0,9,13,20,12,25,39,23,31,57,4909,4568,9476,29,20,50,14,39,55,4950,4631,9576,981,962,1947,11406,12015,23421
203031051,21,37,58,497,602,1094,0,0,0,66,69,131,0,0,0,877,962,1838,7,12,17,89,73,157,4,5,8,0,0,0,13,22,32,0,0,0,8,8,13,3,17,19,123,140,268,8,4,12,0,4,7,188,262,444,66,64,134,3,4,7,1947,2256,4198,0,0,5,6,0,4,5,0,3,0,0,0,0,0,0,3,15,21,3,15,21,1196,1082,2279,7,3,11,4,7,18,1211,1095,2308,408,388,795,3611,3794,7397
203031052,8,11,21,301,408,705,0,0,0,22,23,47,0,0,0,385,474,860,4,0,3,9,11,15,0,0,0,0,0,0,3,10,12,0,0,0,0,3,3,23,23,42,57,66,123,3,0,5,0,0,4,151,220,364,26,35,58,0,0,4,985,1268,2257,7,5,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,705,1413,7,4,13,3,3,3,719,712,1432,203,223,419,1924,2222,4148
203031053,58,70,133,851,1052,1899,0,0,0,165,168,334,0,0,0,2074,2243,4312,4,13,13,57,72,133,33,47,86,4,5,15,61,65,123,0,3,3,12,18,29,37,48,79,151,180,335,19,24,44,0,0,3,360,508,869,155,181,343,4,8,11,3989,4641,8628,11,13,28,12,9,26,7,13,16,0,0,0,4,3,8,8,13,24,12,23,31,4128,3768,7900,23,32,57,13,26,40,4169,3829,7999,779,723,1499,9036,9328,18362
204011054,13,27,39,509,597,1106,0,0,0,54,56,111,0,0,0,467,504,977,7,4,8,9,6,16,14,12,22,0,0,4,10,14,24,3,0,3,5,5,14,18,28,43,122,101,219,3,7,9,15,26,42,147,218,362,69,79,146,0,0,3,1444,1665,3103,3,0,5,4,0,7,3,0,3,0,0,0,0,0,0,3,11,12,3,11,12,1307,1073,2382,16,9,23,13,13,26,1332,1091,2426,375,363,743,3178,3162,6337
204011055,29,31,56,415,513,921,0,0,0,42,48,89,0,0,0,648,720,1364,3,3,8,9,7,17,3,0,3,16,14,32,13,12,21,0,0,0,0,10,9,15,13,25,125,131,263,8,12,24,13,4,16,240,300,538,68,58,126,5,3,9,1625,1843,3470,7,5,9,7,3,17,0,4,4,0,0,0,0,0,0,9,12,19,9,12,19,1073,983,2056,14,11,20,0,8,13,1090,997,2089,312,301,614,3074,3197,6278
204011056,40,57,97,869,1086,1956,0,0,0,41,43,89,0,0,0,2010,2148,4162,3,3,8,63,58,115,3,0,3,15,12,25,21,19,40,0,0,0,9,22,32,19,12,32,206,228,431,40,39,82,4,8,9,214,300,513,112,112,222,0,0,0,3627,4092,7723,19,18,31,32,30,58,0,0,3,0,0,0,15,12,29,20,36,59,38,55,91,2412,2164,4574,14,18,33,10,6,16,2437,2192,4623,636,607,1242,6827,7049,13871
204011057,20,47,60,617,791,1403,0,0,0,23,21,47,0,0,0,915,969,1886,0,3,7,16,9,29,3,0,3,5,3,4,22,22,44,0,0,0,13,12,23,23,24,44,129,141,269,7,3,9,18,13,25,218,275,491,88,94,180,0,6,5,2087,2392,4482,5,9,12,11,6,11,3,9,13,0,0,0,9,5,17,8,14,22,15,26,44,1706,1465,3174,11,11,31,10,10,23,1730,1490,3220,538,457,1001,4418,4427,8848
204011058,15,18,31,349,361,710,0,0,0,16,11,31,0,0,0,483,534,1020,0,3,5,15,10,31,3,0,4,3,3,6,7,6,10,0,0,0,3,0,8,0,0,5,85,115,204,3,0,3,5,4,6,89,112,197,20,27,47,4,4,3,1091,1198,2286,5,5,10,0,0,4,0,0,0,0,0,0,3,3,5,0,4,4,3,12,10,653,550,1203,3,3,4,3,4,4,660,553,1217,218,222,440,1996,2008,4004
204011059,20,39,62,462,487,950,0,0,0,22,18,33,0,0,0,745,876,1626,3,3,7,13,17,31,9,11,20,4,15,14,9,15,28,3,0,5,14,13,18,20,22,36,121,138,259,5,8,16,4,5,10,101,148,245,38,36,71,0,0,0,1574,1806,3379,8,3,7,19,9,27,0,0,0,0,0,0,10,8,14,12,10,19,17,20,37,1072,911,1990,9,4,11,5,7,14,1092,923,2015,401,406,804,3119,3212,6327
204011060,13,13,23,350,353,699,0,0,0,25,14,37,0,0,0,611,505,1122,0,0,0,13,11,22,0,0,0,3,3,12,14,14,27,0,0,0,5,7,12,6,5,17,76,62,143,3,0,6,3,4,5,97,113,206,24,24,52,4,3,10,1237,1129,2365,0,0,0,9,3,11,3,3,3,0,0,0,0,0,0,14,17,32,14,17,32,850,582,1430,9,3,18,3,3,4,863,586,1450,297,256,553,2429,2003,4432
204011061,0,0,3,9,10,17,0,0,0,0,0,0,0,0,0,7,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,4,4,8,0,0,0,35,33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50,90,0,0,0,0,0,0,38,50,91,12,9,28,91,95,182
204011062,15,21,35,269,293,571,0,0,0,24,30,57,0,0,0,343,329,668,0,0,3,12,10,22,4,3,4,0,3,0,6,5,10,0,0,0,5,3,15,3,7,5,90,84,178,0,3,3,7,3,10,64,78,136,31,36,68,0,0,5,863,886,1749,0,6,8,4,0,4,0,3,0,0,0,0,0,0,0,4,5,9,4,12,14,709,609,1323,10,3,15,7,4,9,725,616,1342,204,200,404,1818,1742,3560
204021063,20,42,63,695,883,1575,0,0,0,51,66,114,0,0,0,1067,1244,2320,0,0,7,18,12,25,26,27,52,9,15,22,30,32,65,0,0,0,12,8,23,25,38,61,233,299,530,32,42,71,9,8,16,335,445,779,89,116,206,4,3,7,2622,3240,5864,32,19,45,12,10,23,0,0,0,0,0,0,12,6,15,6,10,15,10,19,32,1693,1520,3208,19,21,40,6,8,15,1713,1551,3264,489,541,1030,4909,5419,10330
204021064,6,7,16,255,305,554,0,0,0,30,36,68,0,0,0,310,318,631,0,0,0,8,3,12,11,7,16,0,0,0,9,3,12,0,0,0,19,9,30,23,24,52,89,78,165,5,11,15,8,10,14,138,129,266,54,45,99,0,0,3,951,981,1937,3,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,6,8,0,6,8,614,522,1136,3,6,5,0,0,0,619,527,1146,259,219,481,1838,1756,3595
204021065,16,11,25,398,458,857,0,0,0,19,8,26,0,0,3,522,519,1039,3,6,9,0,0,0,3,9,15,0,0,0,21,28,50,0,0,0,0,0,0,3,4,12,76,70,148,0,6,6,0,3,5,114,134,254,34,39,75,0,0,0,1209,1296,2498,4,3,8,3,4,11,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,526,504,1029,3,4,8,4,3,3,531,510,1041,144,132,274,1901,1964,3869
204021066,48,74,119,1231,1591,2821,0,0,0,76,81,157,46,36,85,2453,2872,5321,8,10,20,36,26,64,32,52,87,8,16,24,57,75,131,0,5,7,62,82,149,58,58,116,263,317,582,27,32,59,6,18,22,373,588,963,160,173,333,0,0,0,4901,6036,10938,45,37,77,29,24,57,6,5,7,0,0,3,13,9,26,17,19,32,30,32,61,2788,2650,5437,25,19,36,7,11,15,2814,2680,5494,908,1051,1958,8791,9922,18710
204021067,24,37,59,782,778,1562,0,0,0,35,39,81,0,0,0,1157,1160,2321,3,12,14,14,10,27,17,19,42,4,9,13,24,19,43,0,0,0,32,35,73,28,35,65,188,204,386,3,8,9,9,12,20,301,337,638,88,100,188,5,4,3,2705,2778,5476,4,3,10,0,0,3,0,8,10,0,0,0,0,0,0,10,14,23,10,14,23,1581,1406,2990,15,6,20,8,11,18,1602,1426,3021,513,480,991,4857,4737,9600
204031068,19,25,39,265,333,602,0,0,0,13,23,30,0,0,0,371,448,816,0,3,7,0,3,3,0,3,3,3,3,9,14,18,39,0,0,0,5,9,16,9,9,18,34,32,73,13,14,22,0,0,5,114,150,258,43,55,103,4,4,11,893,1114,2003,3,5,5,5,4,8,0,0,0,0,0,0,0,0,0,8,10,18,8,10,18,914,909,1825,9,3,14,5,11,17,925,928,1854,414,230,650,2261,2310,4569
204031069,26,32,61,464,554,1013,0,0,0,37,47,79,0,0,0,616,642,1259,10,28,41,30,25,54,6,8,19,3,9,12,22,26,50,0,0,0,14,12,30,33,29,65,84,86,171,3,3,9,7,10,15,227,288,519,82,98,179,3,3,12,1651,1872,3518,9,11,22,8,4,8,0,3,6,0,0,0,0,0,0,13,22,33,13,22,33,1737,1574,3314,16,14,35,10,10,19,1763,1603,3367,570,564,1132,4033,4119,8154
204031070,5,12,20,309,343,652,0,0,0,29,27,50,0,0,0,289,316,608,0,0,0,0,3,6,5,8,12,0,0,0,19,22,42,0,0,0,3,5,8,3,8,10,76,64,143,4,3,11,6,7,14,83,85,169,44,48,94,0,0,0,879,944,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,494,451,947,7,5,8,3,0,4,507,451,959,148,148,290,1536,1566,3100
204031071,10,17,22,281,307,588,0,0,0,9,7,17,0,0,0,812,859,1670,3,3,7,12,11,20,22,26,52,0,0,0,4,8,16,0,0,0,5,8,11,7,5,15,53,56,105,4,3,10,4,3,4,87,134,220,54,50,102,3,0,3,1355,1489,2841,9,13,18,0,3,4,0,0,0,0,0,0,0,0,0,3,8,12,3,8,12,657,572,1233,5,5,10,0,3,5,663,577,1242,238,260,493,2276,2358,4634
204031072,14,14,24,679,668,1343,0,0,0,65,63,125,0,0,0,534,560,1087,0,3,3,0,6,5,12,17,36,0,0,0,22,24,44,0,0,0,3,3,3,17,14,33,99,103,210,0,3,4,4,7,11,206,243,447,79,88,167,0,3,0,1728,1791,3521,4,0,6,4,0,6,0,0,0,0,0,0,0,0,0,4,4,13,4,9,12,947,763,1709,8,5,10,9,9,16,959,778,1736,345,298,643,3061,2892,5956
204031073,50,69,117,1127,1314,2445,0,0,0,112,157,274,0,0,0,1799,1984,3777,9,3,13,32,34,71,27,47,70,8,14,23,144,156,308,0,0,0,21,33,54,71,88,157,215,237,451,25,28,56,13,11,27,271,403,674,137,187,326,4,5,7,4019,4713,8737,27,37,67,20,11,37,3,4,12,0,0,0,29,17,46,14,24,37,37,43,84,2473,2229,4698,22,22,44,8,11,26,2499,2267,4767,589,557,1142,7250,7703,14955
204031074,88,108,198,1687,2017,3705,0,0,0,185,208,394,4,6,8,2819,3132,5953,16,19,30,50,51,98,67,84,156,15,22,33,163,196,359,8,9,19,29,37,68,159,176,332,266,320,587,27,36,63,24,21,42,464,601,1065,321,368,691,4,10,18,6326,7312,13637,155,146,298,65,33,100,4,0,3,3,3,9,41,37,72,35,44,84,78,82,165,4073,3463,7542,46,30,79,7,18,28,4124,3523,7647,1206,1147,2356,12045,12352,24398
204031075,16,17,30,406,463,869,0,0,0,44,46,94,0,0,0,421,420,842,0,0,0,0,0,0,6,13,15,0,0,6,9,35,42,0,0,0,24,14,45,16,25,38,64,61,127,3,3,6,4,4,6,152,198,350,66,81,145,0,0,0,1222,1367,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,14,17,781,734,1511,8,11,15,4,3,7,789,748,1534,172,153,317,2199,2290,4487
205011076,27,40,68,1110,1365,2473,0,0,0,130,144,276,3,7,9,1574,1716,3293,19,25,40,45,30,74,35,43,79,15,10,29,19,26,48,0,0,0,48,58,101,42,73,114,359,487,846,36,48,81,22,21,46,264,373,631,283,304,589,9,3,10,4008,4729,8739,13,14,25,7,9,15,7,5,6,0,0,0,3,3,6,17,34,52,24,36,57,2933,2684,5614,35,29,64,6,23,30,2970,2734,5704,790,801,1589,7849,8360,16207
205011077,11,30,36,501,544,1050,0,0,0,29,36,69,0,0,0,511,521,1034,0,0,4,4,12,18,26,19,47,3,4,9,3,12,15,0,0,0,20,24,45,20,21,34,118,115,234,6,9,8,9,11,22,137,153,286,61,65,123,3,3,8,1457,1556,3013,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,14,28,6,14,28,1236,1015,2250,8,8,18,3,3,4,1247,1028,2278,332,322,656,3061,2959,6019
205011078,17,22,35,559,660,1217,0,0,0,18,26,43,0,0,0,770,842,1612,0,9,5,5,9,18,8,17,23,0,9,6,6,15,21,5,0,5,12,14,28,21,17,37,118,157,280,6,12,19,6,8,17,206,243,448,95,123,221,0,3,3,1845,2164,4011,8,4,13,11,8,14,0,3,3,0,0,0,3,3,3,10,10,24,15,12,23,1438,1248,2687,11,8,17,4,13,13,1447,1270,2716,412,413,823,3752,3895,7641
205011079,70,88,161,1228,1538,2771,0,0,0,122,141,261,49,55,105,1767,2011,3781,36,35,66,41,43,85,31,40,70,25,11,36,29,38,68,0,0,0,116,125,237,65,61,128,315,390,706,43,68,114,23,31,56,488,618,1105,259,303,563,5,5,12,4650,5515,10170,32,34,69,22,31,53,0,4,3,0,0,3,19,25,40,11,37,50,33,62,90,3273,3159,6429,28,21,53,13,18,28,3316,3199,6513,843,867,1707,8965,9797,18758
205021080,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
205021081,34,53,85,1119,1416,2538,0,0,0,97,95,190,63,67,130,1274,1537,2808,7,9,16,12,3,18,26,34,58,7,7,14,13,21,36,3,0,7,11,10,23,67,101,166,179,235,412,24,49,77,20,24,42,300,440,741,136,150,287,3,3,4,3364,4207,7571,41,31,68,13,14,20,0,3,3,0,0,0,7,7,13,7,29,40,15,37,57,2562,2491,5052,14,28,38,8,11,12,2587,2524,5113,853,953,1809,6905,7819,14728
205021082,27,32,58,656,645,1302,0,0,0,40,48,90,0,0,0,635,662,1301,0,0,3,11,10,22,26,33,60,4,7,9,13,13,23,0,0,0,10,7,18,25,19,45,112,117,227,8,8,23,13,23,33,233,283,521,90,95,178,0,3,9,1874,1982,3859,5,0,5,3,4,6,0,3,3,0,0,0,0,0,0,12,23,36,12,23,36,1596,1313,2915,3,11,10,0,5,12,1604,1329,2936,442,397,836,3974,3767,7743
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,22,32,54,753,890,1644,0,0,0,64,85,147,0,0,0,880,998,1881,0,3,7,37,26,57,53,68,120,3,0,3,15,19,33,3,4,7,4,16,18,53,64,121,199,168,370,8,7,14,11,10,21,193,280,472,62,76,135,0,3,3,2338,2717,5058,8,4,7,3,3,3,4,4,10,0,0,0,5,0,3,15,12,20,16,13,27,1857,1660,3515,11,11,27,8,6,13,1874,1681,3554,604,605,1205,4867,5047,9916
205021085,20,24,41,546,607,1156,0,0,0,18,23,49,0,0,0,383,450,834,0,3,5,3,7,12,15,23,35,0,0,0,11,11,22,0,0,0,3,3,4,12,23,35,138,123,262,10,11,17,5,11,14,136,168,299,61,64,123,3,5,11,1352,1528,2883,8,3,11,3,3,4,0,0,0,3,0,3,0,0,0,11,15,28,11,15,24,1460,1217,2677,18,11,28,7,9,18,1481,1240,2723,401,351,756,3282,3164,6448
205021086,18,24,41,560,637,1203,0,0,0,44,50,94,0,0,0,426,481,906,3,3,7,13,12,19,3,12,15,0,5,5,19,19,43,0,0,0,5,6,16,22,28,54,120,142,268,6,7,10,3,10,18,193,194,387,83,87,170,8,5,16,1516,1695,3210,6,3,7,3,3,3,0,0,0,0,3,3,10,3,12,4,12,16,12,23,32,1228,1092,2318,16,10,25,3,7,13,1245,1111,2361,344,314,658,3141,3171,6313
205031087,23,27,53,606,698,1299,0,0,0,22,34,58,4,0,5,693,760,1449,3,3,7,17,8,23,15,19,29,3,5,7,19,22,40,0,3,3,3,10,10,9,16,25,123,126,251,3,9,11,0,0,3,244,305,547,80,90,171,3,4,9,1844,2111,3951,3,5,8,0,0,4,3,3,4,0,0,0,3,3,3,14,18,37,16,21,40,1850,1645,3492,24,18,37,4,7,15,1870,1671,3549,595,531,1126,4352,4376,8731
205031088,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,15,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,65,0,0,0,0,0,0,38,28,64,5,9,16,61,54,119
205031089,11,31,46,680,821,1498,0,0,0,53,57,108,0,0,0,746,811,1554,0,7,8,15,8,23,3,18,20,11,14,25,10,12,19,4,0,4,11,12,26,25,35,60,134,152,284,9,15,29,9,12,24,357,438,796,91,109,197,0,0,0,2161,2506,4667,4,8,8,7,5,4,0,0,0,0,0,0,3,0,3,11,27,39,14,29,41,1805,1621,3423,12,9,28,0,6,3,1821,1637,3454,443,451,895,4462,4659,9122
205031090,28,37,67,851,995,1846,0,0,0,29,35,63,0,0,0,950,1064,2018,5,7,8,12,13,32,20,28,52,6,5,9,23,9,34,0,5,4,3,9,10,54,57,108,186,207,392,28,35,72,16,18,37,308,454,765,94,119,211,3,3,3,2592,3063,5658,9,10,25,3,7,6,0,0,3,0,0,0,3,0,5,13,18,26,12,25,38,2141,1960,4104,14,13,21,7,8,16,2163,1977,4135,553,600,1150,5369,5707,11079
205031091,56,72,127,701,873,1567,0,0,0,100,140,238,0,0,0,831,937,1772,4,7,9,53,51,105,5,11,13,9,9,15,14,20,34,0,0,0,8,17,23,12,20,36,125,141,273,3,5,13,6,4,10,174,253,426,113,134,251,8,3,13,2174,2620,4795,20,16,33,8,10,17,11,5,14,0,0,0,19,13,26,18,15,27,35,24,56,2173,2080,4255,19,14,35,10,21,31,2201,2117,4318,506,516,1026,5008,5376,10387
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,4,3,11,3,0,3,8,3,13
205031093,91,120,213,1548,1854,3397,0,0,0,182,222,404,0,0,5,2077,2379,4459,12,18,31,49,55,99,39,51,88,3,12,17,30,30,60,5,3,9,18,24,45,65,71,136,290,326,611,40,69,108,10,4,14,430,603,1031,166,230,398,9,9,22,4969,5956,10932,37,32,64,12,17,32,8,12,18,0,0,0,3,0,9,33,44,70,38,45,84,4406,4074,8480,40,22,58,25,37,62,4472,4134,8602,1165,1125,2287,10786,11439,22228
205041094,36,37,75,750,847,1595,0,0,0,49,44,91,0,4,4,1042,1152,2196,3,7,10,24,24,43,26,34,60,11,15,32,20,30,51,0,0,0,16,16,27,35,44,82,175,186,362,32,21,52,3,7,17,213,263,475,139,177,315,0,4,8,2540,2876,5422,7,7,13,35,25,56,0,0,4,0,0,0,0,0,0,10,27,35,14,27,38,2364,2122,4486,24,26,49,6,9,15,2390,2159,4549,626,613,1241,5648,5751,11401
205041095,53,78,132,1141,1396,2539,0,0,0,65,84,151,44,61,100,1738,2004,3746,4,7,14,93,105,199,86,120,210,38,40,79,22,36,57,0,0,0,18,32,48,82,108,189,270,326,595,30,39,73,15,21,34,160,245,401,163,196,361,11,6,12,3976,4841,8813,8,7,13,27,18,42,0,0,4,0,0,0,3,4,7,29,40,65,32,44,69,3016,2672,5685,39,28,59,14,21,34,3061,2719,5780,865,820,1685,8022,8527,16551
205041096,58,56,119,865,1044,1906,0,0,0,45,53,101,0,0,0,1580,1782,3361,3,7,12,78,74,156,10,25,37,5,14,20,25,33,58,3,0,4,25,21,46,63,74,139,239,284,528,27,41,70,16,19,34,120,170,290,133,169,307,3,3,7,3251,3816,7068,20,14,38,54,47,103,3,0,3,5,4,10,10,5,17,10,24,38,30,39,66,2515,2195,4711,23,18,41,7,17,26,2543,2228,4773,837,804,1647,6801,7011,13808
205041097,91,140,227,1699,2160,3861,0,0,0,122,142,264,0,3,5,3053,3504,6555,3,7,12,145,151,303,28,33,60,24,22,48,53,73,124,8,12,18,34,37,70,125,147,272,368,440,809,18,34,53,12,12,30,447,639,1087,237,284,519,4,10,13,6399,7695,14097,98,90,190,57,44,104,0,6,9,0,0,0,13,8,26,23,30,52,38,42,76,4824,4332,9154,46,40,84,10,28,41,4881,4401,9276,1350,1457,2808,12910,13876,26785
205041098,10,12,23,394,399,789,0,0,0,31,36,66,0,0,0,464,477,944,0,0,0,14,3,14,4,7,12,0,3,3,6,7,12,0,0,0,0,3,3,6,8,19,62,76,135,11,6,20,4,7,8,104,121,223,43,40,81,7,8,14,1141,1194,2335,0,0,0,8,6,13,0,0,0,0,0,0,7,0,4,7,14,18,8,13,24,926,810,1732,13,7,13,3,4,12,937,818,1760,216,182,399,2325,2222,4550
205051099,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,14,0,0,0,0,0,0,11,9,14,0,0,0,16,6,25
205051100,12,19,28,439,458,895,0,0,0,24,29,58,0,0,0,410,391,797,0,0,0,13,14,31,3,3,4,5,3,12,9,4,16,0,0,0,7,12,19,13,8,23,95,59,154,0,6,9,3,3,7,97,100,201,47,51,91,0,0,0,1162,1146,2314,3,0,3,3,3,7,0,0,0,0,0,0,0,0,0,3,7,10,3,7,10,745,604,1355,0,9,10,0,0,0,750,614,1360,317,263,579,2250,2048,4299
205051101,23,45,73,1254,1531,2782,0,0,0,76,75,152,0,0,0,1449,1487,2935,3,0,4,5,6,16,18,25,48,3,3,11,22,23,47,0,0,0,15,7,25,12,21,32,159,167,325,5,6,12,10,11,21,447,512,957,116,134,248,3,0,4,3604,4016,7622,9,11,19,3,3,11,0,0,0,0,0,0,10,3,8,14,26,38,22,31,55,2449,2240,4690,15,25,45,6,12,16,2478,2281,4755,684,658,1345,6829,7038,13868
205051102,9,9,20,399,429,824,0,0,0,18,19,37,0,0,0,353,390,745,4,0,4,11,3,10,0,0,3,3,0,3,0,0,0,0,0,3,5,3,8,19,20,44,58,57,112,0,9,6,9,10,20,99,101,197,47,50,98,0,0,0,1020,1092,2113,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,5,7,15,7,7,11,737,610,1346,3,4,14,3,4,4,745,622,1367,1018,197,1210,2796,1926,4723
205051103,65,86,149,1179,1455,2634,0,0,0,106,147,255,23,32,56,1442,1751,3192,6,6,13,29,35,62,26,20,46,15,17,32,20,22,40,7,10,14,17,17,34,26,31,55,200,203,408,21,20,41,6,12,15,246,385,625,106,148,257,3,9,8,3478,4328,7804,65,40,105,32,39,71,3,3,4,0,0,0,24,21,41,16,25,39,36,42,78,2581,2279,4856,25,20,49,10,18,20,2614,2317,4925,755,751,1507,7041,7602,14646
205051104,13,29,44,514,521,1037,0,0,0,11,19,28,3,0,3,407,440,844,3,0,3,8,5,17,11,9,17,3,8,9,11,15,25,0,0,0,3,3,6,17,20,28,120,140,254,0,0,3,3,8,7,180,224,412,49,45,100,5,0,11,1350,1457,2806,4,5,9,0,3,3,0,0,3,0,0,0,0,0,0,8,9,16,12,9,20,998,822,1820,16,10,26,8,11,15,1019,845,1861,300,271,569,2692,2615,5305
206011105,225,314,538,333,409,744,7,14,23,42,57,100,0,0,0,2003,2288,4292,3,0,7,745,781,1524,5,14,18,3,3,9,26,22,51,21,21,42,25,28,57,39,49,86,74,79,152,10,8,14,0,3,5,93,151,249,117,128,246,5,11,11,3553,4077,7624,276,190,465,490,418,912,30,40,68,0,3,7,13,7,20,41,72,111,50,86,135,6331,6498,12829,106,82,197,32,42,73,6468,6626,13094,1317,1285,2595,12405,13030,25440
