SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
204031069,45,36,20,31,19,8,0,14,0,176,48,52,34,61,35,27,5,16,3,277,178,20,315,84,58,53,72,94,15,894,8,4,4,13,6,13,5,7,0,54,18,0,6,18,17,7,4,5,0,78,3,3,7,4,0,0,4,7,0,36,22,13,8,7,3,5,10,17,3,91,512,512,426,311,208,151,113,220,28,2478
204031070,21,10,4,14,9,3,0,0,0,66,19,18,10,22,16,6,4,11,5,114,37,12,149,47,42,24,43,45,8,402,3,0,4,3,0,3,4,3,0,24,0,4,0,14,8,5,3,3,0,36,0,3,3,0,3,0,3,0,0,13,5,5,5,3,6,4,8,3,3,51,125,209,185,124,109,61,63,72,20,973
204031071,19,19,3,16,13,7,4,3,0,91,21,23,10,30,13,21,0,7,3,126,63,13,205,70,25,17,59,56,8,519,3,0,3,8,5,0,4,3,0,30,4,0,4,6,9,9,11,10,0,57,3,0,0,0,3,0,0,0,0,7,11,5,5,3,15,11,5,4,7,65,175,257,242,164,108,69,90,93,23,1216
204031072,48,31,7,13,18,7,5,3,0,128,42,30,20,37,28,5,0,11,0,171,164,35,246,73,55,31,52,94,13,757,12,0,3,7,8,4,3,9,0,43,13,3,9,6,10,4,5,5,0,60,3,4,4,3,0,0,0,0,0,16,23,4,12,10,9,9,10,12,10,98,398,352,303,180,147,68,84,148,31,1717
204031073,48,64,16,62,49,12,3,12,3,266,90,82,51,168,93,46,12,21,3,568,196,97,638,284,222,136,164,203,35,1984,7,0,10,14,26,9,7,17,0,93,9,0,12,29,29,18,21,19,0,142,0,4,4,0,9,3,5,0,3,32,13,19,5,8,19,24,16,33,9,146,534,1010,775,658,546,292,240,322,72,4447
204031074,59,106,55,76,78,17,12,15,3,422,131,138,101,306,156,58,27,41,13,963,247,156,1166,414,343,239,267,258,34,3126,16,11,18,44,40,31,17,33,4,208,15,12,18,44,55,28,24,27,4,222,4,9,15,11,6,4,5,0,0,56,18,8,26,41,33,23,24,28,28,235,788,1718,1461,1112,876,464,394,435,106,7344
204031075,19,35,11,15,9,3,0,7,0,105,25,14,10,28,27,0,4,4,0,128,115,33,207,70,50,27,56,61,10,622,8,0,3,5,11,8,5,3,0,41,13,3,5,7,9,3,3,4,0,40,4,3,0,0,7,0,0,4,0,10,19,7,6,7,12,4,4,9,3,73,299,413,268,160,164,60,72,102,19,1563
205011076,51,65,23,39,39,16,7,16,4,259,77,72,34,123,71,36,11,29,3,454,229,73,748,234,168,125,205,261,23,2072,9,9,15,14,20,11,5,21,0,94,10,6,14,46,15,17,17,21,5,153,3,5,4,3,7,5,0,10,0,33,31,12,32,22,19,18,13,23,14,177,562,908,890,559,410,250,265,404,58,4318
205011077,39,33,5,18,16,3,0,9,0,120,28,26,16,43,25,4,10,11,3,164,154,20,281,76,62,30,74,91,7,793,12,0,6,3,11,4,3,4,0,48,9,6,8,7,3,3,7,5,0,48,0,0,0,0,0,0,3,0,0,7,12,8,10,10,8,6,5,19,6,85,372,384,335,193,175,57,104,153,26,1803
205011078,24,36,8,16,14,6,0,6,4,127,35,34,25,62,46,16,4,13,6,233,136,19,395,110,93,40,105,95,12,1000,9,0,0,14,8,3,3,10,0,54,8,0,10,16,9,9,3,6,0,58,6,0,0,4,6,3,0,0,0,23,27,6,7,5,9,14,9,8,4,91,335,493,463,274,237,100,131,152,27,2205
205011079,62,113,35,62,53,11,4,31,0,370,82,110,54,148,110,29,6,38,11,588,290,75,813,268,204,117,142,223,26,2148,8,3,8,20,19,17,5,19,0,106,23,5,25,28,24,24,14,13,0,147,7,9,6,5,8,5,0,9,3,48,23,17,15,19,22,17,14,32,21,181,763,1499,1020,683,570,260,196,412,74,5484
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,33,62,10,57,47,8,3,9,0,233,56,76,42,107,65,26,6,21,3,385,173,67,575,217,157,124,113,171,20,1605,11,6,5,26,10,13,3,11,0,95,14,4,10,38,16,19,11,29,0,130,4,9,4,6,5,3,3,4,0,31,26,13,13,21,15,30,13,45,24,194,400,832,689,547,375,247,157,319,50,3622
205021082,38,37,11,28,18,3,0,7,0,143,38,38,22,58,43,13,8,22,0,238,157,32,335,111,70,37,90,109,8,953,5,0,10,12,13,5,3,15,0,72,7,9,3,10,5,3,6,10,0,63,3,0,0,0,7,0,0,7,0,17,20,12,9,21,16,10,12,14,9,119,376,386,399,269,221,79,129,197,29,2098
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,25,38,12,25,15,4,3,6,3,140,44,44,19,55,40,13,8,6,3,230,128,42,325,153,78,81,66,121,19,1007,10,6,10,12,17,11,0,11,0,81,11,9,10,12,12,17,3,15,4,85,3,5,4,0,4,0,3,6,0,23,18,7,11,12,9,14,11,20,3,106,309,461,395,329,222,160,85,200,42,2208
205021085,18,24,4,20,6,0,0,9,0,86,36,28,11,33,17,6,3,10,5,146,108,16,147,76,37,29,42,75,5,533,8,0,0,7,11,8,0,0,0,33,18,0,6,12,9,8,3,8,0,64,3,3,3,4,3,0,0,3,0,19,21,7,9,6,6,4,8,23,8,96,288,306,197,198,114,54,59,133,20,1357
205021086,16,30,5,9,7,3,0,4,0,81,16,23,6,46,18,15,5,15,3,139,74,22,203,84,45,49,42,71,13,605,3,3,3,6,3,8,0,3,0,35,10,3,4,14,12,9,4,5,0,51,0,5,0,0,0,0,0,0,0,8,5,6,9,8,7,7,4,8,4,60,182,329,240,221,127,96,66,104,23,1391
205031087,53,32,12,36,20,14,4,10,0,171,55,29,15,46,29,5,0,17,0,204,214,14,306,75,53,36,72,148,11,929,8,5,0,9,10,3,3,12,3,49,15,3,3,16,10,9,8,12,0,70,3,3,4,0,0,0,0,0,0,18,28,4,10,7,5,13,12,21,7,109,531,411,372,229,176,93,101,239,31,2180
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,3,0,3,3,0,26
205031089,49,38,10,23,18,6,9,9,3,168,44,22,16,53,42,12,9,9,7,213,190,34,427,118,75,66,133,131,15,1191,7,5,8,13,8,8,0,10,0,58,20,3,0,19,14,12,12,11,0,89,7,0,5,3,3,3,3,3,0,28,25,8,17,17,13,16,10,24,16,142,445,430,499,301,211,149,186,215,51,2482
205031090,39,55,12,27,27,11,8,14,6,192,49,50,31,71,54,16,6,12,3,294,216,39,471,132,106,71,134,125,12,1317,7,0,4,5,15,13,3,9,0,63,17,8,7,27,16,14,4,8,0,102,7,3,0,8,0,4,0,3,0,24,31,13,18,17,11,14,11,25,6,145,516,680,572,336,289,165,176,210,32,2976
205031091,27,44,25,31,31,21,0,13,3,200,51,47,31,88,48,22,4,18,0,300,142,38,463,110,74,72,55,91,18,1053,5,0,13,12,5,6,3,8,0,59,15,4,11,19,11,16,6,16,0,99,3,0,5,8,0,3,0,7,0,30,11,10,23,20,11,16,13,20,17,135,379,600,607,381,226,203,84,196,46,2713
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12
205031093,56,87,24,49,53,30,7,12,4,323,78,75,55,149,83,55,11,35,3,528,296,80,837,301,160,150,165,256,37,2278,16,6,9,27,16,19,6,18,0,118,24,13,14,55,33,22,12,24,0,193,14,14,8,7,7,7,0,7,4,62,45,18,28,38,23,35,16,37,24,276,768,1169,1034,740,484,364,221,423,90,5277
205041094,32,45,29,23,28,9,4,12,4,195,31,53,35,94,71,19,12,6,4,331,135,41,601,146,112,66,159,131,16,1401,5,4,8,13,17,21,3,8,6,83,13,6,6,11,16,11,11,8,0,88,5,6,3,3,0,0,0,5,0,26,19,13,19,22,12,3,11,20,12,150,364,708,749,383,338,154,216,218,55,3183
205041095,18,64,28,47,22,3,0,14,3,196,44,57,40,123,80,21,10,15,9,404,125,71,806,276,196,110,141,216,34,1980,7,11,6,23,16,11,4,17,3,102,8,0,15,52,32,9,8,12,0,144,0,10,10,0,6,5,3,5,0,36,10,21,25,30,18,23,11,28,19,192,282,697,946,638,414,201,192,323,76,3788
205041096,13,28,15,30,17,11,4,11,0,133,26,46,30,86,43,23,16,5,4,284,98,47,457,163,141,90,142,128,18,1279,8,3,8,18,16,12,6,18,4,88,5,3,7,25,17,10,4,12,3,90,4,3,4,4,3,5,0,4,0,27,6,6,21,21,13,8,18,39,9,145,218,480,560,410,289,174,197,237,51,2622
205041097,57,112,62,62,70,22,12,8,9,414,120,172,88,202,159,57,7,22,13,843,293,106,1331,383,394,179,277,336,58,3348,17,3,14,25,31,24,12,24,0,152,21,5,23,53,39,21,12,30,5,220,7,15,8,9,9,3,3,6,3,59,24,39,28,48,32,18,24,39,23,277,847,2033,1643,950,942,376,368,492,132,7775
205041098,12,14,10,3,9,3,3,3,0,62,15,23,17,39,22,15,0,8,0,140,54,25,290,79,61,25,88,66,11,699,3,0,0,4,5,5,0,3,3,23,3,4,6,9,7,3,5,6,0,51,0,5,0,4,0,0,0,0,0,10,5,6,9,8,4,7,6,10,4,65,134,241,341,175,133,76,105,99,16,1306
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8
205051100,23,16,11,13,9,5,4,3,0,81,21,30,9,19,17,8,3,3,3,115,73,20,193,39,35,22,31,50,10,481,6,0,0,4,5,0,0,0,0,23,5,0,3,10,4,4,0,7,0,30,0,0,0,3,0,4,0,3,0,20,13,8,4,7,9,9,6,6,8,62,202,228,233,116,94,57,49,75,27,1089
205051101,50,50,16,37,18,10,5,4,0,199,72,56,49,83,60,11,7,23,3,357,253,62,718,220,124,72,189,162,30,1836,12,0,11,22,24,15,11,19,0,101,15,0,19,40,22,10,11,10,0,126,3,3,5,9,5,0,3,3,0,29,40,14,23,31,15,16,18,33,12,201,586,752,881,501,343,138,249,277,54,3777
205051102,36,20,7,16,12,3,0,0,0,86,24,24,9,26,13,3,3,3,0,112,101,22,195,51,44,24,64,58,4,565,5,3,3,6,3,3,0,4,0,30,8,0,5,4,3,5,3,0,0,32,7,3,0,0,0,3,3,0,0,14,9,7,7,0,3,0,6,12,4,51,249,212,229,126,88,53,79,87,15,1143
205051103,40,87,37,38,18,13,4,10,3,251,72,84,51,115,59,21,7,25,5,444,165,63,614,214,171,95,92,154,22,1590,3,4,5,7,18,12,4,17,0,71,9,11,17,28,14,14,6,11,0,114,11,4,4,8,7,4,3,15,3,54,10,19,13,24,7,12,9,16,16,124,484,1156,783,555,365,201,139,273,54,4017
205051104,22,21,4,8,3,5,0,3,0,62,20,20,9,31,18,9,0,8,0,112,116,23,190,74,31,33,37,76,5,589,4,0,3,3,3,5,0,7,0,32,10,3,0,19,3,0,0,11,0,50,3,3,0,0,3,0,0,3,0,18,17,7,3,5,3,5,7,8,7,56,257,239,220,158,86,65,58,126,17,1226
206011105,84,165,83,80,85,54,10,26,0,582,109,176,113,129,115,71,16,35,9,769,138,115,470,163,127,85,46,84,24,1254,6,8,7,21,11,9,5,6,3,79,18,36,17,33,29,21,0,14,0,169,6,47,12,6,16,3,4,4,5,103,21,47,13,22,23,8,3,15,30,180,1653,5771,1056,1011,1306,639,153,368,173,12134
206011106,43,72,29,40,24,21,4,10,3,252,52,80,50,56,50,36,4,6,3,340,69,51,186,79,66,45,23,41,7,570,3,5,9,14,15,3,0,3,0,46,5,7,3,5,18,8,0,3,0,59,3,10,4,3,3,3,0,0,0,39,5,24,4,3,11,3,3,3,13,66,785,2591,428,446,579,313,63,142,63,5423
206011107,44,78,40,44,46,33,8,18,10,319,53,81,66,79,62,33,11,27,7,417,81,52,295,102,83,34,30,40,12,743,0,3,6,12,15,3,3,4,0,53,12,8,18,14,15,5,3,9,0,86,6,22,9,7,3,3,3,4,0,56,12,17,13,8,11,12,3,10,21,112,731,2430,620,546,680,330,108,228,94,5767
206011108,82,165,80,75,69,49,14,31,6,570,118,164,127,129,161,57,17,56,10,834,163,119,586,192,159,98,87,112,17,1525,8,10,7,16,13,9,3,5,0,74,23,18,13,42,42,24,8,14,0,184,5,40,9,10,10,5,8,6,3,97,19,31,25,16,20,21,6,20,33,196,1344,4140,1087,919,1093,572,219,409,152,9931
206011109,35,56,29,22,42,28,10,7,0,221,48,68,44,62,59,34,0,8,3,326,77,31,278,82,81,36,29,45,6,667,0,3,0,4,7,0,0,3,0,20,8,6,12,7,28,8,4,9,0,84,4,13,3,0,5,3,3,0,0,28,4,7,8,15,8,6,3,3,14,61,506,1296,440,292,460,210,71,104,49,3427
206021110,30,53,31,26,34,19,4,3,0,209,46,56,40,43,48,19,4,13,4,269,68,29,167,53,49,31,15,36,7,452,0,0,0,5,3,5,4,0,0,27,8,4,3,9,11,13,0,10,0,63,3,11,3,0,4,0,0,0,0,27,9,7,6,3,6,5,0,0,11,54,691,1737,319,299,438,198,45,102,58,3887
206021111,77,177,69,65,86,45,5,17,5,552,98,162,89,121,112,66,8,19,5,690,123,95,414,157,133,73,39,71,12,1115,6,11,12,11,14,7,3,6,3,71,11,24,10,32,23,17,3,3,3,131,11,32,11,6,7,8,0,3,3,81,17,29,18,14,17,14,5,8,31,156,1810,5406,865,860,1120,518,118,216,158,11069
206021112,74,127,63,48,48,41,9,23,6,459,91,103,99,118,90,46,6,24,8,590,97,79,365,113,120,78,34,76,9,973,4,9,11,19,11,3,3,10,0,68,22,11,12,29,29,24,7,4,0,131,9,17,14,6,7,5,0,9,0,67,18,24,16,15,6,9,3,20,16,119,1131,3326,772,726,839,453,132,285,93,7754
206031113,56,105,30,46,59,25,4,12,5,341,85,83,45,105,84,41,8,19,8,465,106,55,267,119,111,50,38,70,13,830,8,8,11,7,11,5,3,8,0,59,18,11,11,21,29,20,4,9,0,126,7,16,0,11,4,3,4,0,3,51,10,25,13,11,12,4,7,12,13,101,1013,2519,477,533,668,292,104,187,77,5879
206031114,121,204,64,91,123,50,11,36,7,706,180,174,102,132,165,70,18,39,11,896,250,94,689,192,199,130,79,100,25,1766,11,9,0,23,27,18,3,11,0,110,27,28,7,45,55,37,9,10,4,223,9,38,10,14,25,10,0,3,4,111,19,43,26,14,19,18,4,14,29,182,1819,4141,1093,851,1369,642,192,369,182,10647
206031115,20,52,24,18,26,15,3,3,0,163,31,37,31,53,40,18,15,16,4,237,37,27,96,62,53,22,17,33,6,359,0,7,3,10,5,3,0,0,0,36,3,4,3,12,14,10,3,7,0,61,0,7,0,5,4,3,0,3,0,27,10,9,8,9,5,6,10,5,11,79,474,1639,242,345,453,200,89,155,57,3655
206031116,63,100,40,52,59,15,0,6,0,338,86,93,59,67,108,48,13,12,5,494,113,60,312,85,99,67,31,50,12,836,4,3,3,3,6,11,3,6,0,43,7,10,9,22,27,17,3,9,0,100,8,27,4,5,10,0,4,0,3,60,8,20,11,8,16,8,3,3,4,97,1063,2318,543,449,734,307,85,155,76,5720
206041117,30,30,18,29,26,19,3,8,0,165,35,60,55,71,35,27,10,16,3,313,24,33,103,59,33,39,12,27,3,333,0,3,0,9,6,8,0,3,0,27,4,4,9,16,13,11,4,10,0,67,8,18,3,6,3,9,3,3,0,53,13,15,3,13,9,10,3,12,15,80,590,2421,324,513,555,329,65,182,63,5041
206041118,63,61,16,28,27,26,4,9,7,246,64,68,43,47,59,26,3,23,8,344,83,50,85,26,44,39,13,16,8,374,8,5,0,9,3,6,3,0,0,32,17,18,9,10,20,12,3,6,0,91,17,30,4,16,10,6,0,0,5,86,17,21,14,10,14,5,0,8,4,88,906,2226,295,301,516,299,43,130,82,4794
206041119,34,48,7,19,12,10,0,6,3,133,23,32,10,33,18,4,0,3,0,122,28,15,32,13,19,11,0,7,3,124,0,3,0,0,3,3,0,0,0,13,8,10,0,7,11,3,0,0,0,35,3,11,6,0,0,3,0,0,0,26,13,12,3,0,5,8,0,4,0,48,480,1376,94,148,250,108,6,41,32,2541
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,3,4,0,4,0,28
206041121,46,66,17,18,38,20,0,4,0,217,56,81,40,68,62,32,4,15,3,372,51,47,136,78,73,43,26,23,14,499,3,0,0,5,12,4,0,7,0,38,8,15,11,8,9,4,0,3,0,57,7,17,4,3,4,0,3,3,3,48,4,14,9,6,10,0,0,8,12,62,802,2551,336,382,608,257,57,119,64,5175
206041122,83,85,80,92,59,50,3,41,14,511,118,110,232,213,70,82,12,103,17,950,72,47,240,137,80,89,12,55,13,741,3,0,14,12,6,13,0,9,0,67,21,14,19,25,19,10,3,18,3,140,26,38,16,28,17,13,3,19,5,168,26,32,21,40,15,13,6,30,22,203,1506,4882,1116,1532,1255,928,130,869,187,12389
206041123,50,94,58,35,58,36,8,7,4,350,72,80,84,108,71,53,13,33,3,526,59,50,171,109,69,42,25,44,9,586,5,3,0,16,13,3,3,5,0,51,14,23,7,18,15,10,0,13,0,107,6,26,9,8,8,5,3,7,0,66,11,36,10,17,9,12,3,14,15,128,1043,3846,559,699,866,492,106,291,115,8020
206041124,11,27,9,11,10,4,3,0,0,89,19,17,12,24,13,4,0,5,0,101,16,10,44,43,27,17,7,13,3,175,0,4,0,11,3,3,0,3,0,25,0,0,0,4,6,3,3,3,0,23,8,5,0,0,3,0,0,0,0,18,3,6,0,0,3,0,0,3,8,22,291,1311,117,223,252,132,26,90,42,2481
206041125,29,39,13,6,20,16,0,3,3,132,37,40,12,24,27,16,0,3,5,162,15,23,61,10,33,17,0,7,3,170,4,0,0,0,3,4,0,0,0,10,9,9,0,3,8,0,0,0,0,37,3,15,0,0,3,0,0,0,0,27,5,16,3,0,4,3,0,3,5,33,541,1443,151,129,287,154,8,46,42,2805
206041126,91,102,49,67,48,35,9,17,7,423,111,116,99,109,80,63,3,23,10,619,119,54,228,104,87,58,17,35,12,717,8,5,9,13,8,0,0,0,0,42,21,19,7,25,19,11,0,7,0,116,22,41,12,6,11,0,0,7,4,107,9,27,9,16,13,8,0,9,22,112,1504,3771,634,740,985,543,73,283,164,8685
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,103,107,17,33,58,41,0,3,4,367,102,99,32,49,64,40,6,11,7,409,104,58,142,49,71,43,19,26,11,509,11,3,0,7,8,3,0,0,3,32,23,24,8,18,18,19,3,3,3,124,15,35,3,3,3,10,0,0,0,78,22,27,11,6,13,11,3,0,14,114,1561,3021,314,331,703,370,46,108,108,6557
206051129,90,119,45,62,41,38,8,9,8,420,127,125,66,107,105,63,14,12,6,617,127,90,337,112,116,67,24,46,15,936,10,9,4,11,14,6,3,3,0,68,28,22,8,24,30,13,3,3,7,132,16,29,3,8,4,4,0,0,0,71,13,47,15,8,16,12,3,0,22,122,1455,3371,602,630,755,432,63,132,116,7561
206051130,114,140,38,49,79,34,8,11,3,472,153,132,33,64,105,42,8,11,4,551,172,72,289,84,110,78,34,56,8,910,9,6,0,7,13,11,0,3,0,48,30,27,13,17,22,21,0,3,0,139,9,21,6,3,9,8,3,0,0,65,30,29,13,13,23,7,5,7,23,149,1820,2897,493,392,750,407,82,125,96,7059
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6
206051132,63,78,20,28,37,22,3,3,4,262,75,70,38,52,52,25,0,9,4,322,69,49,144,47,63,21,15,26,5,432,3,4,0,3,5,5,5,3,0,30,20,23,4,10,19,7,0,0,6,90,11,18,3,3,8,7,0,3,3,57,9,26,6,9,6,7,0,3,9,69,1071,2280,311,311,586,238,37,102,66,5005
206051133,122,201,92,102,95,51,7,28,12,706,190,235,124,184,148,96,14,33,13,1044,187,132,606,217,206,133,42,94,21,1627,16,17,9,12,17,13,0,10,0,91,37,34,17,51,39,27,7,15,7,238,23,54,12,12,14,10,3,9,5,142,28,57,21,25,23,27,7,16,32,233,2071,5138,1177,1105,1382,773,128,361,196,12339
206051134,98,136,62,49,65,29,10,12,5,467,96,135,94,134,108,71,12,24,8,687,117,96,367,147,94,76,26,64,11,994,10,4,7,11,15,8,3,10,0,67,12,19,14,18,36,21,3,9,0,130,20,34,10,13,4,3,3,5,3,85,19,21,13,7,9,11,0,3,18,108,1248,3354,753,694,858,536,86,244,113,7887
206061135,44,65,13,23,35,31,3,3,3,225,35,52,36,40,51,38,0,6,3,254,48,22,84,31,36,32,6,12,4,288,7,5,0,0,7,8,0,0,0,26,8,10,0,13,16,15,0,7,5,65,12,22,3,3,3,0,0,0,0,43,6,21,4,12,4,8,0,9,4,66,763,1757,223,262,466,313,20,88,69,3958
206061136,128,161,47,60,69,61,4,5,8,533,128,171,76,124,115,63,10,14,9,714,143,81,397,145,119,85,18,46,16,1050,9,6,7,3,17,11,0,0,0,58,25,28,14,28,34,23,3,12,0,157,18,26,3,7,4,9,0,3,0,81,18,38,16,16,17,8,0,10,21,148,1794,4422,739,734,1021,656,63,190,133,9755
206061137,98,150,29,49,67,49,4,6,4,460,115,164,62,95,111,67,4,10,4,634,158,87,266,116,108,94,17,41,10,896,8,11,3,11,9,10,0,5,0,52,22,19,13,23,25,15,3,6,0,132,26,43,8,11,15,7,0,3,5,114,31,30,10,21,17,19,3,6,13,148,1916,4917,583,646,1091,715,66,174,143,10252
206061138,93,108,32,23,48,34,0,8,9,349,66,63,20,38,50,44,6,9,3,295,78,36,103,41,51,41,10,19,4,391,3,6,0,4,5,4,0,0,0,27,19,6,3,11,25,11,0,0,0,67,17,34,3,0,4,11,0,4,3,78,21,34,7,8,11,11,0,3,17,106,1139,2355,257,242,585,380,21,86,130,5197
206071139,50,72,19,16,24,13,4,7,3,207,62,59,32,58,49,25,3,12,0,305,56,34,135,63,43,28,7,20,3,392,5,4,0,4,4,4,0,3,0,27,3,8,5,14,8,8,3,3,0,53,8,12,3,3,7,3,0,4,0,41,11,13,11,7,3,3,0,8,5,56,712,2037,315,328,409,225,40,100,63,4240
206071140,32,54,9,22,27,18,6,5,0,176,33,59,16,25,24,20,4,8,0,187,31,19,92,35,28,27,9,13,4,260,0,0,3,3,9,6,0,3,0,22,8,8,3,14,8,4,0,4,0,51,3,11,4,3,3,4,0,0,0,28,3,17,3,9,11,0,0,0,5,43,594,2231,211,294,439,206,37,67,61,4145
206071141,38,59,22,17,20,14,0,12,0,181,46,74,28,33,30,25,4,11,3,259,63,34,132,58,43,29,4,24,6,396,3,3,0,10,10,3,0,6,0,28,4,7,6,14,10,8,0,0,0,59,3,11,0,3,0,0,0,0,0,23,5,9,4,8,3,8,3,3,9,58,608,1851,293,312,363,209,19,90,69,3814
206071142,40,63,9,21,25,15,4,3,5,196,30,69,31,41,27,32,7,17,0,252,52,35,95,64,36,23,13,26,4,356,4,3,0,6,4,0,6,3,0,29,6,5,8,16,10,8,0,0,0,53,7,14,3,3,7,0,0,0,0,30,9,11,6,10,6,4,3,9,6,73,746,2265,254,352,377,233,54,88,69,4444
206071143,44,84,27,30,38,18,0,6,5,244,44,77,36,39,41,28,4,12,4,290,53,34,173,61,59,24,14,19,7,436,3,3,3,12,0,3,0,0,0,25,12,12,3,9,9,4,0,0,4,62,10,15,3,7,11,3,0,4,0,48,9,15,9,8,6,3,3,0,4,54,982,3021,411,427,532,262,42,76,81,5842
206071144,154,206,58,96,94,84,6,25,3,720,176,220,115,177,181,105,18,42,10,1042,198,135,606,202,177,129,44,101,18,1609,10,6,10,20,14,11,3,5,0,87,33,31,24,32,39,38,12,12,4,222,14,55,11,10,9,14,0,6,3,121,30,44,9,23,19,12,5,17,30,194,2793,6882,1080,1064,1550,928,144,340,187,14968
