SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
204031071,0,0,0,0,0,0,0,0,6,39,43,8,88,3,3,7,99,69,7,175
204031072,0,0,0,0,0,0,0,0,3,46,52,4,98,6,3,8,106,50,3,161
204031073,0,6,0,0,0,6,3,3,11,218,201,22,438,21,24,41,486,262,4,756
204031074,6,15,0,0,3,15,9,0,25,319,283,25,632,44,28,75,705,449,14,1162
204031075,0,0,0,0,0,0,0,0,0,44,31,3,81,3,0,0,81,39,0,125
205011076,0,6,0,0,0,6,11,3,12,156,172,26,349,21,24,38,389,285,9,688
205011077,0,0,0,0,0,0,0,0,4,57,40,8,97,4,6,8,107,87,0,192
205011078,0,0,0,0,0,0,3,0,5,71,87,8,169,8,7,12,178,110,0,290
205011079,0,0,0,0,0,0,4,0,11,215,194,29,433,15,21,38,468,295,6,776
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,0,0,0,0,0,4,6,8,17,149,179,27,353,14,23,40,390,283,10,685
205021082,3,6,0,0,0,7,4,0,10,61,82,5,144,6,3,14,155,89,0,243
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,0,0,0,0,0,3,5,8,17,70,99,12,181,12,6,15,195,165,8,365
205021085,3,7,0,0,0,7,0,3,4,43,74,6,124,4,4,14,139,95,7,242
205021086,0,4,0,0,0,4,0,0,6,37,48,12,97,3,3,8,99,92,0,189
205031087,0,0,0,0,0,0,8,0,6,47,78,15,140,10,7,10,148,102,0,252
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205031089,3,7,0,0,0,7,3,0,5,66,80,19,161,19,15,26,190,158,3,355
205031090,0,3,0,0,0,3,4,0,12,93,128,10,226,10,9,23,249,142,10,400
205031091,0,3,3,0,3,3,4,0,9,78,156,9,242,15,9,22,269,187,3,456
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205031093,0,5,0,0,0,7,18,4,26,167,237,35,443,29,37,69,518,418,15,951
205041094,0,0,0,0,0,3,8,3,13,114,107,12,233,15,13,35,264,207,3,480
205041095,0,3,0,0,0,4,20,10,42,176,215,21,421,47,34,82,506,474,20,1000
205041096,3,5,3,3,3,10,14,7,34,122,173,19,311,53,50,98,407,445,13,873
205041097,0,3,0,0,0,3,11,8,24,330,315,42,686,54,56,111,794,417,13,1221
205041098,0,0,0,0,0,0,0,0,4,40,36,9,85,6,3,10,97,71,3,167
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205051100,0,0,0,0,0,0,0,0,0,27,31,7,54,0,0,0,57,44,3,110
205051101,0,0,0,0,0,3,3,0,6,123,139,18,277,15,17,30,306,194,4,508
205051102,0,0,0,0,0,0,0,0,3,25,22,0,55,0,4,10,63,50,3,116
205051103,0,12,0,0,0,11,5,12,24,157,172,16,345,23,15,35,386,258,8,653
205051104,0,0,0,0,0,0,3,0,5,30,52,3,92,3,4,11,100,83,0,184
206011105,0,0,0,0,0,0,3,3,9,180,126,5,311,16,13,24,340,295,3,639
206011106,0,0,0,0,0,0,4,0,4,95,63,11,170,3,9,11,181,120,3,306
206011107,0,0,0,0,0,0,3,3,9,123,100,6,227,8,16,19,248,191,4,448
206011108,0,3,0,0,0,3,9,0,14,226,161,17,408,19,18,40,446,420,11,879
206011109,0,5,0,0,0,5,0,0,3,98,76,7,175,7,10,21,195,143,0,340
206021110,0,0,0,0,0,0,3,0,4,80,72,7,161,3,4,5,173,97,3,272
206021111,3,4,0,0,0,4,3,0,5,220,185,22,424,19,12,31,460,295,3,758
206021112,3,5,0,0,0,5,0,3,7,160,140,11,318,12,3,20,330,248,8,586
206031113,0,3,0,0,0,3,13,4,24,130,106,11,257,21,13,28,284,270,13,565
206031114,0,8,0,0,0,8,12,4,22,303,180,23,508,20,20,39,548,279,14,842
206031115,0,3,0,0,0,3,19,5,30,66,84,9,161,13,24,41,205,258,8,473
206031116,0,0,0,0,0,0,7,0,6,120,85,12,215,4,8,13,231,166,0,401
206041117,0,3,0,0,3,3,13,4,25,69,58,4,136,16,20,36,168,248,7,427
206041118,0,0,0,0,0,0,3,0,3,87,31,7,125,0,4,6,130,78,0,210
206041119,0,0,0,0,0,0,0,0,3,29,8,0,38,0,0,0,39,26,0,62
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041121,0,0,0,0,0,0,3,3,7,74,64,4,146,8,8,16,164,138,3,305
206041122,0,0,0,0,0,0,0,6,11,99,56,5,162,9,7,15,180,212,6,404
206041123,0,6,0,0,0,7,4,4,14,129,94,12,231,14,22,37,271,240,11,516
206041124,0,0,0,0,0,0,0,0,0,23,21,5,52,0,4,3,57,39,0,95
206041125,0,0,0,0,0,0,0,0,0,55,28,0,77,0,0,3,85,46,0,127
206041126,0,0,0,0,0,0,0,0,0,122,56,12,187,10,3,16,198,107,0,312
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,0,0,0,0,0,0,3,0,5,132,94,8,233,12,16,25,259,122,0,384
206051129,0,4,0,0,0,4,3,3,7,168,131,8,309,12,10,24,329,107,6,443
206051130,0,3,0,0,0,3,5,7,14,172,96,12,271,8,15,21,296,225,8,526
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051132,0,0,0,0,0,0,3,3,4,82,58,6,143,11,11,27,170,179,9,353
206051133,0,3,0,0,0,0,3,3,7,191,126,20,339,13,13,29,367,170,0,541
206051134,0,0,0,0,0,0,3,0,3,152,106,11,262,14,9,22,284,132,3,416
206061135,0,0,0,0,0,0,3,0,5,81,61,3,149,0,8,10,161,86,0,244
206061136,0,3,0,0,0,3,10,0,13,132,86,7,231,5,5,13,242,181,3,431
206061137,0,0,0,0,0,0,3,0,9,140,78,7,230,12,20,28,255,227,4,485
206061138,0,4,0,0,0,4,0,0,4,125,85,4,220,5,7,16,233,139,0,366
206071139,0,0,0,0,0,0,0,0,0,53,27,6,87,0,5,7,90,64,0,154
206071140,0,3,0,0,0,3,0,0,4,81,44,9,133,3,7,8,142,80,0,228
206071141,0,3,0,0,0,3,7,9,22,54,43,4,107,19,11,27,134,196,9,343
206071142,3,3,0,0,0,3,8,4,18,62,51,6,120,21,29,47,165,196,4,363
206071143,0,0,0,0,0,0,3,0,7,87,67,3,157,5,10,10,175,145,3,320
206071144,0,0,0,0,0,0,12,8,22,226,155,13,398,20,26,52,450,524,9,983
206071145,0,0,0,0,0,0,3,3,4,88,51,4,152,3,5,3,155,80,3,232
207011146,0,0,0,0,0,0,4,3,9,77,49,5,131,3,10,11,145,117,4,265
207011147,0,0,3,0,3,4,0,0,3,207,140,11,359,16,12,27,393,271,3,658
207011148,0,0,0,0,0,3,3,5,13,236,166,18,418,19,8,26,451,299,7,753
207011149,3,5,0,0,0,5,3,3,13,214,166,11,394,4,19,29,424,220,8,644
207011150,0,4,0,0,0,7,3,0,6,154,104,15,276,6,7,10,287,149,7,441
207011151,0,3,0,0,0,3,3,3,7,162,114,13,289,12,10,20,315,156,3,467
207011152,0,3,0,0,0,3,0,0,4,140,81,15,233,10,6,12,247,150,3,400
207011153,0,3,0,0,0,3,3,3,14,290,188,17,485,13,14,25,511,285,8,803
207011154,0,0,0,0,0,3,3,0,4,78,60,8,140,8,4,8,154,71,0,225
207011155,3,3,0,0,0,3,0,0,3,157,108,8,271,10,9,19,291,134,3,424
207021156,0,0,0,0,0,0,0,3,7,106,73,10,185,11,4,14,202,191,4,394
207021157,0,0,0,0,0,3,4,5,13,236,163,19,418,6,32,36,459,383,13,848
207021159,0,0,0,0,0,0,3,3,5,173,114,3,293,10,20,26,323,193,3,516
207021160,0,0,0,0,0,0,3,4,6,151,111,16,276,4,5,10,288,227,7,521
207021424,0,0,0,0,0,0,3,0,3,126,122,6,253,9,8,18,272,188,0,466
207021425,0,3,0,0,0,3,12,3,19,168,136,12,315,8,17,25,344,271,10,623
207031161,3,4,0,0,0,4,3,3,9,229,188,6,428,14,10,25,454,293,10,759
207031162,0,0,0,0,0,0,7,0,9,122,96,6,230,12,0,12,243,167,3,412
207031163,0,3,0,0,0,3,0,6,8,226,166,14,406,18,9,28,434,312,10,755
207031164,0,3,0,0,0,3,4,0,6,191,170,21,387,17,16,29,417,286,4,710
207031165,0,0,0,0,0,0,8,0,8,119,92,8,219,11,9,18,233,190,3,429
207031166,0,0,0,0,0,0,4,3,7,99,77,12,190,5,5,16,204,181,3,384
207031167,0,3,0,0,0,3,0,3,3,105,80,10,192,4,0,8,199,88,6,295
208011168,0,0,0,0,0,3,3,0,3,125,85,9,219,3,6,8,229,135,0,361
208011169,3,10,0,0,0,10,6,0,15,246,168,22,427,9,13,22,449,259,0,716
208011170,0,3,0,0,0,3,0,5,7,182,134,17,337,11,12,24,360,149,3,516
208011171,3,9,0,0,0,9,0,0,9,162,110,8,276,8,5,12,294,151,0,447
208011172,0,6,0,0,0,6,3,4,15,198,157,15,363,15,10,21,385,245,9,635
208011173,0,3,0,0,0,3,3,0,3,156,121,14,287,14,9,24,311,159,0,472
208021174,0,5,0,0,0,5,0,0,7,277,202,20,496,25,15,44,536,260,5,803
208021176,0,7,0,0,0,7,3,0,5,155,113,22,279,13,9,24,303,180,3,484
208021177,0,0,0,0,0,3,7,0,8,159,129,9,296,14,6,18,316,155,0,473
208021178,3,6,0,0,0,6,3,0,9,181,128,11,327,8,3,15,339,168,3,512
208021179,0,3,0,0,0,3,0,0,4,115,82,0,204,0,7,5,208,97,3,306
