SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
212031302,37,15,88,3273,3724,1551,1356,3928,1094,14922
212031303,49,90,174,1655,1808,824,687,1424,641,7037
212031304,55,5,76,2575,2726,1085,953,3075,743,11158
212031305,80,25,166,3971,4013,1674,1640,6667,1806,19773
212031306,138,3,163,2413,2664,1120,990,3178,755,11124
212031308,15,23,75,1391,1638,781,649,1147,565,6169
212031457,25,3,51,2496,2530,1159,918,2434,450,9983
212031458,46,5,79,2810,2985,1216,1080,3658,771,12518
212041309,172,42,286,2219,2262,1001,826,3005,657,9971
212041310,87,23,199,2266,2290,923,792,3608,751,10626
212041311,313,131,638,4385,4268,1810,1710,9751,2952,24877
212041312,278,53,457,3597,3833,1760,1642,6149,1425,18405
212041313,77,62,257,2043,2297,1060,750,1778,520,8463
212041314,246,33,371,4655,4710,1976,1594,6769,1138,20839
212041316,51,12,106,1326,1364,577,544,1929,447,6192
212041317,327,86,589,3632,3197,1371,1334,7152,1595,18286
212041318,73,67,182,2116,2015,879,686,3928,735,10349
212041459,176,28,270,2084,2067,840,738,3668,938,10339
212041460,273,32,402,2989,2866,1254,1126,5829,1247,15311
212051319,244,46,442,3756,3806,1490,1023,3870,1212,15149
212051320,290,98,511,4841,3961,1268,898,8009,1354,20332
212051321,199,138,593,4105,4349,2324,1785,4119,805,17491
212051322,261,56,497,3794,3860,1816,1410,4393,816,16099
212051323,129,47,434,3081,3464,1641,1196,2727,639,12744
212051324,209,77,595,3663,4040,1862,1328,3314,953,15156
212051325,269,91,490,3558,3989,1814,1478,4124,1058,16027
212051326,267,131,627,4537,4520,1784,1346,4397,1227,17810
212051327,413,95,728,3762,4239,2214,1488,4115,829,16658
213011328,78,48,184,1343,1358,578,418,2064,792,6551
213011329,25,3,44,1631,1654,638,549,2556,441,7470
213011330,92,34,179,3997,4098,1794,1755,6557,1801,19998
213011331,94,4,105,1375,1441,571,510,2489,502,6884
213011332,115,11,171,2500,2445,1110,1034,3269,637,10993
213011333,55,13,103,2062,2097,917,939,4126,1087,11219
213011334,160,60,334,3076,2980,1211,1309,6106,1953,16637
213011335,169,50,287,2746,2498,1083,1017,5403,1584,14336
213011336,117,34,241,1629,1745,666,578,2691,813,8110
213011337,165,73,322,1828,1786,792,780,3509,930,9625
213011338,186,28,309,2963,2981,1299,1234,5474,1355,15305
213011339,115,120,259,2092,2152,871,777,2888,890,9671
213011340,76,23,174,3403,3549,1523,1270,3975,867,14585
213021341,140,71,373,2503,2915,1228,927,2169,848,10589
213021342,217,27,322,3588,3862,1603,1434,4381,1082,15956
213021343,260,124,532,2483,2595,1044,963,3237,1165,11491
213021344,172,37,321,3811,4377,1538,1043,2312,833,13917
213021345,10,4,32,873,1012,481,326,981,314,3981
213021346,128,53,330,3239,3632,1526,998,2236,893,12527
213031347,119,77,268,3394,3197,1118,977,4854,1557,15098
213031348,212,66,341,3818,3385,999,718,4055,1539,14513
213031349,62,19,130,2793,2651,888,631,2610,840,10421
213031350,81,30,163,2065,2360,743,479,1320,553,7513
213031351,64,24,165,2370,2575,913,629,2266,777,9526
213031352,126,69,315,3442,3704,1224,839,1951,858,12012
213041353,165,57,333,3572,4241,2013,1612,3440,1214,16082
213041355,37,3,50,3645,3747,1616,1402,3986,960,15356
213041356,98,34,196,2983,3344,1532,1576,4102,1372,14907
213041357,176,39,268,3695,4213,1857,1814,4577,1628,17784
213041358,34,20,72,2821,3170,1385,1298,3286,1139,13101
213041359,3,0,10,256,295,144,142,424,1475,2734
213041360,33,14,74,3097,3312,1382,1307,3742,747,13587
213041461,80,29,152,764,818,375,315,1228,238,3742
213041462,7,0,12,884,1006,390,446,1294,243,4259
213041463,18,3,42,3497,3622,1465,1306,3800,1015,14707
213051361,71,22,132,3435,3682,1643,1435,4196,1070,15461
213051362,85,38,193,3231,3681,1692,1511,4457,1104,15677
213051363,25,10,44,1516,1653,617,592,2106,637,7129
213051365,35,14,87,4989,6005,2609,2543,6651,1807,24600
213051366,14,4,27,3147,3812,1604,1604,4475,2165,16819
213051368,182,37,287,2076,2231,1015,873,2460,811,9473
213051369,51,12,96,3819,4369,1814,1713,3988,1193,16894
213051464,8,0,21,2200,2426,982,863,1929,584,8990
213051465,67,15,97,3913,4574,2020,1610,3712,926,16762
213051466,3,4,10,2273,2677,1207,1118,2274,527,10082
213051467,152,167,406,3233,3501,1553,1395,4518,1619,15815
213051468,41,14,91,2152,2530,1076,887,2237,718,9594
214011370,204,135,420,3848,4202,1662,1318,4011,1499,16537
214011371,171,105,456,4361,5075,2009,1470,4010,2001,18922
214011372,275,81,495,3405,3778,1570,1433,3900,1745,15837
214011373,406,101,719,3499,4131,1964,1359,2961,945,14863
214011374,79,38,219,4800,5292,2346,1701,3848,1195,19182
214011375,113,94,346,3167,3706,1548,1089,2791,1431,13738
214011376,27,7,50,2557,2878,1150,803,2085,570,10036
214021377,114,133,374,2076,2536,1226,843,1877,879,9434
214021378,68,17,145,917,1330,714,496,672,431,4563
214021379,164,72,378,3648,4662,2221,1831,3929,1699,17988
214021380,504,137,998,4404,5463,2602,1705,4389,1600,20165
214021381,202,57,443,3206,4041,2157,1489,2381,837,14109
214021382,260,69,535,3428,4231,2020,1448,2544,902,14578
214021383,169,121,501,2808,3845,1980,1523,2812,1548,14507
214021384,590,332,1350,3249,4374,2246,1785,4300,1992,17941
214021385,173,69,339,3472,3953,1834,1441,2998,1183,14880
215011386,129,49,285,1217,1643,805,652,1523,1256,7094
215011387,24,16,66,472,603,335,351,418,376,2558
215011388,231,89,543,2695,3442,1756,1310,2830,1149,13188
215011389,25,15,79,506,712,445,364,506,218,2742
215011390,145,67,333,1097,1363,797,778,1215,560,5817
215011391,55,27,126,484,701,399,376,640,258,2867
215011392,135,43,273,1202,1790,872,729,1490,785,6865
215011393,31,34,85,451,577,325,286,400,242,2284
215011394,140,87,332,958,1325,749,679,1202,667,5585
215021395,50,19,112,1037,1399,798,628,1056,541,5454
215021396,77,21,138,683,925,523,409,858,452,3861
215021398,47,25,125,595,713,399,362,640,368,3082
215021399,75,43,155,850,1153,568,520,1011,638,4735
215021469,243,89,481,2792,3577,1574,1301,3567,1877,14684
215021470,172,111,416,2337,2877,1379,1084,2844,1306,11827
215031400,153,88,336,895,1193,697,628,1088,703,5203
215031401,77,29,187,1063,1325,767,758,1105,563,5578
215031402,81,45,197,570,760,456,379,698,411,3280
215031403,18,34,64,399,492,220,196,749,579,2623
215031404,168,82,385,1747,2120,1031,824,1908,1222,8849
215031405,53,33,116,867,1087,636,608,1086,882,5179
216011406,239,103,460,2399,3131,1399,1133,2601,1294,11947
216011407,198,94,399,1731,2104,1118,987,1898,1061,8889
216011408,19,6,52,555,776,421,344,569,380,3043
216011409,51,45,148,576,771,437,425,665,367,3235
216011410,48,23,102,604,790,446,453,723,403,3426
216021411,102,40,216,1000,1143,572,531,1359,650,5254
216021412,16,7,44,426,541,278,272,397,261,2162
216021413,129,76,311,1959,2507,1275,1214,2003,1058,10007
216021414,186,99,363,1058,1581,780,686,1510,935,6558
216031415,99,27,188,1217,1547,700,553,1695,778,6496
216031416,210,125,480,3139,3648,1727,1242,3448,1632,14829
216031417,258,117,542,3563,4094,1977,1724,4891,2073,18326
216031418,10,3,37,625,853,441,346,534,264,3070
216031419,111,50,236,1523,1980,1026,840,1697,1202,8271
217011420,98,54,214,1256,1792,1032,937,1467,881,7363
217011421,148,112,404,1634,2204,1057,895,1738,810,8343
217011422,178,67,333,1506,2279,1157,955,2055,1041,8988
217011423,84,37,178,886,1274,691,676,910,493,4931
217031471,67,33,133,490,725,412,312,634,326,2906
217031472,230,82,460,1916,2473,1206,1014,2380,1040,10034
217031473,12,19,62,806,1188,640,546,673,416,4273
217031474,71,42,178,849,1023,541,546,919,571,4441
217031475,73,30,159,1164,1348,743,719,1166,634,5772
217031476,25,11,66,527,843,457,324,471,361,2990
217041477,45,36,135,1050,1250,709,650,958,611,5225
217041478,101,49,231,1409,2062,1133,875,1315,781,7575
217041479,187,92,443,3753,4435,2095,1667,3467,1524,16939
217041480,262,106,534,2325,2828,1265,930,2302,1241,10884
297979799,0,0,0,7,3,3,0,11,3,25
299999499,22,12,38,1281,954,324,278,1969,2020,6825
