SA2_MAINCODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
203021047,94,63,157,42,54,92,5,0,3,0,0,0,13,4,13,2304,1977,4285,140,205,340,33,0,35,22,0,19,38,17,53,23,3,28,63,48,115,2774,2375,5151,5,10,14,0,0,0,10,3,13,17,23,38,8,6,8,7,0,4,41,34,80,0,0,0,0,0,0,3,0,7,3,7,3,0,0,0,3,7,12,19,10,34,67,51,119,16,21,32,0,0,0,0,0,3,19,23,40,71,101,177,219,381,600,31,29,56,3186,2953,6139
203031048,28,18,47,34,32,64,0,0,3,3,0,4,0,0,0,2147,1947,4093,123,127,256,38,0,38,17,0,12,12,4,16,22,3,23,37,34,69,2451,2165,4618,5,0,4,0,0,0,0,0,0,26,15,42,0,0,0,3,0,3,34,23,59,0,0,0,0,0,0,3,7,15,0,7,5,0,0,0,6,14,21,17,13,29,54,46,106,6,9,22,0,0,0,0,0,0,6,11,21,90,156,246,230,395,628,30,27,63,2869,2810,5681
203031049,11,6,15,7,4,8,0,0,0,4,4,4,0,0,0,739,654,1391,46,37,75,16,0,16,4,0,4,8,12,20,10,7,21,68,72,138,907,788,1698,0,0,0,0,0,0,4,0,3,3,7,11,0,0,0,0,0,0,10,7,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,8,13,4,22,0,0,3,0,0,0,0,0,0,0,0,3,81,97,177,155,199,350,14,18,28,1174,1105,2277
203031050,97,58,156,31,33,69,0,0,0,5,6,10,0,3,3,4073,3570,7639,143,200,346,78,4,81,19,0,21,60,21,73,29,20,51,121,109,230,4655,4020,8674,3,0,6,0,0,0,3,4,7,85,35,125,7,8,12,0,0,0,98,50,147,0,0,0,0,0,0,0,9,16,6,9,11,0,0,0,5,19,25,30,29,63,137,99,234,39,18,56,0,0,0,7,0,7,40,18,61,297,378,676,433,806,1237,49,54,104,5620,5371,10989
203031051,8,10,14,11,10,26,0,0,0,0,0,0,0,0,0,863,721,1581,29,42,66,13,0,13,9,0,15,7,0,10,5,3,8,33,33,63,977,816,1797,3,0,4,0,0,0,0,0,0,11,19,27,0,0,0,0,0,0,22,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,13,26,20,50,9,9,15,0,0,0,0,0,0,8,9,16,82,101,178,119,184,306,10,12,27,1227,1145,2377
203031052,17,3,21,3,4,9,0,0,3,0,4,4,0,0,0,462,418,877,16,20,34,7,0,7,4,0,4,6,9,15,6,0,5,34,30,70,561,491,1056,0,0,0,0,0,0,0,0,0,5,3,7,0,3,3,0,0,0,9,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,3,9,16,12,23,10,3,16,0,0,0,0,0,0,11,3,16,81,79,165,88,134,227,3,6,16,769,735,1502
203031053,90,67,159,24,26,50,0,0,0,4,5,4,0,0,3,3234,2748,5980,153,175,333,42,0,42,11,0,18,47,16,63,26,15,43,92,107,193,3720,3164,6882,0,0,3,0,0,0,0,4,4,71,40,110,0,7,7,0,0,0,72,45,125,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,5,7,10,28,12,42,103,67,176,26,24,51,0,3,3,0,0,0,28,22,57,307,428,731,337,615,954,42,38,82,4542,4339,8877
204011054,0,0,0,14,14,24,0,0,0,0,0,3,0,0,0,885,741,1622,54,48,102,24,0,22,11,3,17,18,0,20,14,11,28,95,102,192,1118,911,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,125,122,246,127,193,318,20,18,32,1402,1246,2652
204011055,4,0,6,3,0,8,0,0,0,0,0,0,0,0,0,827,760,1590,51,44,97,38,0,38,9,0,4,9,9,12,14,7,18,79,75,153,1026,899,1927,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,21,20,13,28,0,0,3,0,0,0,0,0,0,0,0,3,185,171,358,105,158,263,22,16,39,1356,1258,2614
204011056,84,75,157,8,0,10,0,0,0,0,0,0,0,0,0,2354,1902,4257,131,125,261,63,3,65,10,0,7,9,0,9,14,13,24,51,56,112,2728,2170,4895,11,4,14,0,0,0,4,3,5,37,30,62,5,0,5,4,0,3,54,38,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,32,77,49,127,19,17,31,0,0,0,0,0,0,20,17,32,95,160,252,245,408,652,50,37,88,3209,2839,6047
204011057,3,3,6,28,20,42,0,0,0,0,3,3,0,3,3,1188,1069,2263,103,80,184,34,0,34,3,0,3,22,8,31,36,20,54,179,165,346,1595,1367,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,3,12,4,13,11,8,23,0,0,0,0,0,0,0,0,0,0,0,3,172,190,361,206,284,493,32,32,67,2025,1890,3911
204011058,3,3,7,4,0,4,0,0,0,3,0,3,0,0,0,613,501,1118,36,41,73,17,0,18,7,0,9,3,8,16,6,4,14,58,43,95,753,601,1355,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,6,4,16,0,3,3,0,0,0,0,0,0,0,7,7,95,76,176,69,118,192,19,10,25,938,823,1764
204011059,24,22,42,0,5,5,0,0,0,0,0,0,4,3,3,904,761,1666,72,63,129,22,0,22,5,0,5,19,0,19,7,0,8,61,70,129,1103,919,2025,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,20,23,13,33,3,0,3,0,0,0,0,0,0,3,0,3,22,40,62,114,172,290,31,18,46,1293,1166,2459
204011060,17,10,28,9,9,20,0,0,0,0,0,0,0,0,0,776,497,1273,50,24,76,27,0,27,9,0,9,19,0,19,10,5,14,173,35,204,1095,579,1669,0,0,0,0,0,0,0,0,0,12,10,16,5,0,3,0,0,0,14,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,13,25,13,43,0,5,4,0,0,0,3,0,3,0,5,6,82,81,159,102,137,235,22,8,30,1331,823,2151
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,53,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,0,0,0,37,33,67
204011062,0,5,8,0,0,3,0,0,0,0,0,0,0,0,0,517,390,910,22,27,47,20,0,16,4,0,4,3,0,3,14,3,12,43,35,74,621,465,1082,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,101,67,169,63,116,175,16,16,26,804,664,1465
204021063,0,3,3,4,8,12,3,4,3,0,3,3,6,0,6,1478,1288,2767,98,98,197,33,0,33,10,0,10,30,16,41,16,5,24,82,106,183,1774,1518,3289,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,9,4,15,16,11,22,0,0,0,0,0,0,0,0,0,4,0,4,75,89,161,159,303,465,21,29,50,2040,1951,3993
204021064,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,556,456,1012,27,35,59,30,7,31,8,0,10,3,0,3,16,0,18,35,32,66,668,528,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,150,129,272,80,112,185,12,19,29,910,791,1704
204021065,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,640,574,1215,35,34,70,11,0,11,3,0,3,8,0,13,3,0,3,42,36,74,751,646,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,68,58,127,76,122,200,15,14,26,917,839,1760
204021066,3,0,3,14,12,29,3,0,3,0,0,0,9,6,12,2912,2597,5512,185,207,394,37,0,37,16,6,16,89,37,133,21,8,27,168,206,372,3463,3090,6554,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,23,58,45,21,68,0,0,4,0,0,0,0,0,0,0,0,4,78,160,239,295,599,895,57,55,111,3936,3930,7862
204021067,3,0,3,11,4,12,0,0,0,0,4,4,3,4,7,1620,1404,3025,65,91,155,69,0,68,21,9,32,13,0,11,19,8,28,117,83,200,1944,1604,3549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,7,6,18,16,11,19,0,0,0,0,0,0,0,0,0,0,0,0,318,262,588,203,316,522,37,42,76,2518,2231,4756
204031068,4,0,5,7,5,9,0,0,0,0,0,0,0,0,0,637,619,1252,23,43,59,10,0,10,5,0,5,12,4,14,13,9,19,53,68,123,760,745,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,8,11,13,8,16,0,3,3,0,0,0,0,0,0,0,3,4,83,85,165,105,177,275,13,23,30,968,1030,1999
204031069,5,0,5,20,19,39,0,0,0,0,0,0,0,0,4,1016,919,1930,78,105,189,25,0,25,16,3,25,32,19,46,52,22,73,195,178,371,1447,1268,2715,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,15,12,28,22,11,36,0,0,0,0,0,0,0,0,0,3,0,3,182,182,370,225,286,512,22,20,48,1903,1778,3678
204031070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,524,1083,25,23,42,29,0,29,6,0,6,0,0,0,4,0,4,14,19,29,646,562,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,47,41,89,87,125,206,9,5,19,786,738,1526
204031071,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,715,620,1330,42,50,88,15,0,16,8,0,8,7,7,14,10,9,13,58,50,105,859,734,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,3,3,6,9,4,11,12,3,16,0,0,0,0,0,0,0,0,0,0,0,0,66,69,135,88,168,257,21,16,38,1048,996,2041
204031072,0,0,0,5,8,10,0,0,0,0,0,0,0,0,0,849,688,1532,37,51,86,27,5,27,29,5,35,7,6,7,20,10,27,96,92,189,1059,858,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,20,10,8,24,0,0,0,0,0,0,3,0,3,3,0,5,219,155,377,124,166,288,27,24,44,1443,1208,2649
204031073,0,3,3,10,21,27,3,3,6,0,0,0,0,7,11,2845,2482,5328,178,189,362,48,3,49,29,0,29,45,9,49,17,9,25,47,49,90,3217,2769,5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,18,14,32,24,13,37,0,0,0,0,0,0,3,0,3,4,0,4,56,135,199,220,450,675,27,31,62,3550,3407,6955
204031074,9,5,11,30,24,48,0,0,0,0,3,0,9,10,21,4452,3643,8092,268,291,557,68,3,77,36,0,41,83,17,102,52,22,70,401,192,594,5411,4203,9616,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,4,6,8,48,22,74,59,32,87,3,0,3,0,0,0,3,0,3,8,0,10,124,207,329,371,706,1082,71,46,112,6044,5195,11239
204031075,0,0,3,10,7,14,0,0,0,0,0,0,3,0,3,769,733,1501,32,44,76,28,0,30,12,3,17,4,0,3,11,9,16,64,40,99,931,826,1759,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,96,91,186,88,166,252,15,14,27,1144,1100,2248
205011076,68,49,110,13,7,17,0,0,3,0,0,3,6,3,5,2645,2137,4780,130,114,247,76,0,77,21,5,19,10,3,12,13,12,26,72,62,135,3046,2389,5436,9,4,13,0,0,0,3,0,3,14,9,22,4,4,9,3,3,4,33,22,50,0,0,0,0,0,0,0,3,7,0,3,4,0,0,0,5,7,11,24,5,29,60,34,91,14,9,25,0,0,0,0,0,0,12,9,24,206,209,412,256,482,742,36,39,75,3621,3164,6782
205011077,6,3,11,5,4,9,0,0,0,0,0,0,0,0,0,929,744,1673,34,56,88,31,0,31,9,3,13,8,0,8,21,12,27,71,39,115,1121,857,1978,0,0,0,0,0,0,0,0,0,7,6,18,3,0,3,0,0,0,11,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,18,3,16,25,16,43,3,7,9,0,0,0,0,0,0,4,7,8,188,171,358,131,191,324,25,23,49,1495,1255,2748
205011078,8,12,28,9,4,13,0,0,0,0,0,0,0,0,0,1209,1058,2264,63,68,131,35,0,36,3,0,3,4,0,4,16,9,22,72,53,118,1414,1203,2619,0,3,3,0,0,0,0,0,0,7,4,7,0,4,4,0,0,0,9,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,6,20,21,18,38,6,9,15,0,0,0,0,0,0,9,9,11,141,123,263,170,265,436,29,35,62,1787,1645,3434
205011079,75,55,129,20,8,30,0,0,0,3,0,3,11,3,17,3083,2661,5753,223,223,442,65,3,74,19,8,30,19,4,24,34,12,49,144,111,259,3706,3097,6801,3,0,11,0,0,0,3,4,10,16,9,28,3,3,8,9,5,5,42,17,59,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,31,11,45,70,35,111,16,5,25,0,0,0,0,0,0,15,5,27,216,254,472,307,569,874,39,45,81,4350,4005,8357
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
205021081,0,3,4,13,10,18,0,0,0,0,0,0,6,5,9,2129,1917,4044,141,155,295,44,0,44,12,0,14,48,18,66,19,5,27,78,99,182,2501,2216,4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,9,25,19,11,29,3,0,3,0,0,3,3,0,3,5,0,10,78,122,204,245,444,687,34,48,84,2888,2843,5729
205021082,3,0,6,16,9,19,0,0,0,0,0,0,0,0,0,1201,1011,2217,58,75,133,46,3,47,10,0,10,11,0,11,30,13,39,84,61,149,1454,1178,2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,18,9,7,18,0,0,0,0,0,0,0,0,0,3,0,3,172,163,343,180,256,431,26,27,48,1848,1630,3479
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,4,4,11,4,8,13,0,0,0,0,0,4,7,0,7,1169,1122,2295,82,91,174,35,0,33,0,0,0,7,4,13,33,13,43,60,63,127,1398,1307,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,21,17,7,25,0,0,0,0,0,0,0,0,0,0,0,0,97,115,205,185,282,464,28,27,50,1722,1734,3452
205021085,3,3,3,4,0,8,0,0,0,0,0,0,0,0,0,641,596,1239,41,32,74,28,0,28,9,0,9,18,17,29,23,7,27,119,99,218,881,755,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,9,5,12,3,0,3,0,0,0,3,0,3,3,0,3,154,134,283,113,197,310,28,21,47,1188,1117,2304
205021086,0,0,4,6,0,6,4,0,4,0,0,0,3,0,3,727,675,1403,39,45,86,20,0,20,3,0,3,4,0,4,11,0,17,33,25,63,863,752,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,48,24,27,50,0,0,0,0,0,0,0,0,3,3,0,5,61,68,125,105,156,254,14,18,40,1062,1022,2086
205031087,0,0,0,11,3,10,0,0,0,0,0,0,3,0,3,1060,899,1960,40,63,108,26,3,29,25,3,30,8,3,13,27,13,37,146,96,249,1345,1092,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,21,18,6,25,0,0,0,0,0,0,0,0,0,3,0,3,284,260,545,163,278,439,26,28,55,1842,1664,3508
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,15,5,19,0,3,0,0,0,0,29,25,50
205031089,0,3,3,3,6,14,0,0,0,0,0,0,0,0,0,1380,1182,2568,85,79,165,52,0,55,14,3,20,3,0,3,19,5,27,77,66,150,1649,1350,2998,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,18,6,22,27,12,37,3,0,3,0,0,0,0,0,0,3,3,7,216,203,422,192,300,491,26,32,65,2110,1896,4012
205031090,3,5,10,16,6,18,0,0,0,3,0,0,0,0,0,1656,1386,3041,92,92,183,34,0,36,23,3,28,18,3,16,20,13,33,152,127,282,2015,1644,3655,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,21,18,9,34,3,3,3,0,0,0,3,0,3,3,3,4,228,240,472,233,331,566,31,28,59,2530,2258,4781
205031091,13,3,17,17,9,20,0,0,0,3,0,3,3,0,3,1403,1245,2648,76,86,162,28,0,34,7,6,19,25,9,38,13,5,22,74,73,146,1660,1443,3103,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,7,17,24,7,27,0,0,0,0,0,0,3,0,3,4,0,4,118,138,257,223,382,601,32,23,59,2057,1988,4049
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,5,12
205031093,8,3,14,17,13,32,0,0,0,9,0,5,0,4,3,3017,2529,5550,170,163,330,63,0,61,14,0,14,46,12,59,32,18,50,164,166,331,3542,2916,6457,0,0,3,0,0,0,0,0,0,13,3,15,0,0,0,0,0,0,12,4,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,22,5,31,41,11,52,3,3,7,0,0,0,0,0,0,4,3,10,269,341,610,420,707,1128,86,57,145,4361,4030,8395
205041094,11,3,13,19,18,32,3,0,0,0,0,0,0,0,0,1851,1648,3501,90,109,201,37,0,37,15,3,16,4,0,9,14,8,22,53,36,94,2092,1822,3919,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,16,8,25,22,15,40,3,0,3,0,0,0,0,0,0,3,0,3,103,116,217,257,363,619,23,41,63,2506,2354,4857
205041095,33,19,51,34,16,50,0,4,4,0,0,0,11,3,15,2341,2041,4383,164,148,316,33,0,33,15,0,15,14,6,24,14,7,17,48,51,96,2703,2301,5003,7,0,9,0,0,0,0,0,0,3,3,10,3,3,8,8,0,8,15,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,27,9,29,44,18,64,9,8,11,0,0,0,0,0,0,9,8,11,49,68,125,308,482,790,51,45,98,3160,2920,6085
205041096,25,12,42,20,19,42,0,0,0,0,0,0,8,7,9,1710,1461,3171,126,120,253,32,0,32,11,0,11,11,9,21,20,7,24,63,53,116,2029,1688,3716,0,3,3,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,9,8,0,0,0,0,0,0,0,0,0,4,3,9,4,0,8,5,8,14,18,9,30,30,26,53,4,3,8,0,0,0,0,0,0,4,3,8,38,43,80,230,316,544,46,29,70,2365,2100,4472
205041097,21,17,37,49,38,83,3,0,3,3,0,4,13,18,26,4674,4161,8833,288,289,583,44,3,46,24,3,25,47,8,53,43,10,58,131,130,260,5344,4672,10018,3,5,3,0,0,0,0,0,0,9,8,10,0,3,6,7,0,7,17,17,29,0,0,0,0,0,0,4,3,3,5,8,11,0,0,0,8,7,16,35,16,55,56,40,102,12,3,14,0,4,4,0,0,0,9,5,13,104,174,280,543,843,1389,61,53,109,6118,5797,11911
205041098,0,4,3,3,0,6,0,0,0,0,0,0,0,0,0,865,699,1563,36,35,67,26,0,26,5,0,6,0,0,3,6,0,7,13,13,30,966,753,1716,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,9,6,11,0,0,3,0,0,0,0,0,0,0,0,3,33,37,74,116,151,268,13,8,18,1136,952,2088
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,5,17
205051100,0,3,5,8,0,8,0,0,0,0,0,0,0,0,0,561,467,1028,25,46,71,12,0,12,11,3,14,8,0,9,25,3,31,73,26,102,724,548,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,14,3,15,0,0,0,0,0,0,0,0,0,3,0,3,76,64,141,77,117,200,18,23,43,915,754,1670
