SA2_MAINCODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
203011036,11,3,3,0,4,0,24,3,0,6,0,0,0,14,3,5,3,0,6,0,16,5,3,0,3,3,0,14,15,10,3,0,4,0,32,8,16,5,3,8,0,43,13,17,7,3,8,3,49,19,38,7,0,0,0,64,12,20,8,3,3,0,47,10,35,12,4,0,0,64,11,25,8,3,0,0,46,29,30,8,3,0,0,71,10,6,5,3,0,0,23,0,12,6,3,0,0,23,11,22,8,0,0,0,37,13,38,8,0,0,0,62,5,6,0,0,0,0,19,6,9,4,0,0,0,24,15,13,3,0,0,0,38,205,319,108,40,33,4,709
203021037,4,16,11,3,6,0,41,3,3,3,0,3,0,16,12,12,11,3,3,0,40,5,11,12,3,7,0,33,15,20,6,3,11,0,56,25,31,22,6,7,0,90,23,47,13,5,8,0,98,38,62,9,13,14,0,140,46,74,18,14,16,5,177,44,92,22,14,10,0,177,22,61,9,3,5,0,104,32,78,14,5,8,0,137,19,16,5,0,0,0,40,10,27,3,0,0,0,37,13,30,3,3,0,0,54,15,34,4,3,0,0,53,4,3,3,0,0,0,16,9,4,3,0,0,0,12,12,19,3,3,5,0,45,335,650,177,83,104,10,1366
203021038,25,15,19,3,13,0,77,15,3,10,3,7,0,42,26,7,17,8,18,0,78,23,10,12,7,10,0,58,42,40,37,17,22,5,165,68,54,32,35,29,5,222,77,100,46,46,25,3,303,64,126,49,39,25,4,306,58,105,32,22,18,3,238,38,68,34,11,8,4,169,12,30,7,3,9,0,72,13,43,26,5,4,4,99,10,13,0,0,0,0,18,0,8,0,3,0,0,14,12,17,6,0,0,0,39,8,14,9,0,3,0,37,5,9,3,0,0,0,14,3,9,3,0,0,0,15,36,26,30,4,18,0,118,541,707,376,207,208,33,2068
203021039,12,12,6,4,0,0,33,11,0,3,0,0,0,14,12,10,3,3,6,0,31,14,10,0,0,0,0,27,12,10,14,3,5,0,51,22,19,9,4,12,0,59,27,34,17,7,9,0,91,38,37,14,9,4,0,100,25,36,8,9,11,0,93,39,49,6,4,4,0,107,26,28,4,4,0,0,63,35,59,13,3,0,7,126,26,24,0,0,0,0,49,13,24,3,0,0,0,42,23,33,7,3,3,0,72,23,35,14,3,0,0,81,8,11,0,0,0,0,22,9,11,3,0,0,0,22,9,12,3,3,3,0,28,383,441,142,56,71,13,1108
203021040,16,27,13,4,0,0,59,6,3,4,3,3,0,25,22,17,12,0,8,0,59,16,12,10,7,4,0,54,25,22,25,4,10,0,86,33,38,25,9,24,0,132,35,62,17,10,13,3,143,48,79,25,23,10,3,185,53,95,23,10,15,5,197,52,113,19,10,6,3,212,40,68,18,3,6,0,132,57,123,27,7,8,0,229,19,44,4,0,0,0,84,22,31,3,0,3,0,58,23,69,17,0,3,0,109,22,50,11,4,3,0,90,4,16,10,0,0,0,36,3,9,3,0,0,0,21,25,43,13,4,5,3,98,536,935,272,107,117,20,1998
203021041,24,19,18,3,3,3,67,8,4,8,0,0,0,22,22,17,13,3,7,3,67,12,20,13,3,7,0,62,23,43,31,6,8,0,116,39,49,30,14,23,0,164,48,83,39,16,30,0,215,85,126,42,20,23,3,291,68,163,34,24,15,3,299,107,228,47,15,13,0,415,84,143,24,11,9,3,279,90,173,52,7,7,0,327,24,75,12,0,0,0,112,20,34,8,0,3,0,60,32,46,14,0,0,0,98,24,49,13,0,3,4,95,8,15,3,0,0,0,29,7,6,3,0,0,0,13,23,41,22,3,9,3,103,755,1336,430,132,163,26,2840
203021042,20,32,22,3,7,0,89,13,11,6,0,4,0,27,12,21,10,4,5,0,56,13,22,14,0,0,0,43,21,37,26,7,9,0,96,24,39,29,4,5,0,99,26,52,38,8,13,3,135,47,113,29,7,3,0,207,43,107,35,13,15,0,214,48,134,35,11,5,0,231,34,92,25,3,11,0,167,71,183,44,14,15,3,330,33,82,9,3,4,0,135,34,74,24,3,3,0,131,40,117,31,0,3,0,197,45,143,34,7,7,0,235,16,42,6,3,0,0,65,11,15,4,0,0,0,33,26,42,29,3,0,0,100,579,1342,441,103,110,15,2592
203021043,28,20,19,0,3,0,70,6,3,9,0,0,0,20,14,13,10,7,8,0,41,16,13,9,3,4,0,47,21,31,17,3,4,0,68,39,43,24,4,11,0,125,37,48,31,6,13,0,138,62,93,43,16,23,0,235,56,104,31,9,9,3,219,61,140,33,23,19,0,275,47,114,25,8,7,0,194,71,148,35,6,10,3,281,39,74,17,4,0,0,135,13,28,10,3,0,0,60,47,73,21,3,7,0,153,37,62,32,0,3,0,137,11,14,8,0,0,0,35,3,8,0,0,3,0,16,28,45,24,7,16,0,117,628,1083,405,102,135,12,2367
203021044,19,17,9,4,4,0,49,5,5,3,0,7,0,17,15,6,10,4,3,0,41,8,6,10,3,3,0,26,31,16,10,0,3,0,67,35,38,18,10,16,0,118,19,42,17,9,18,0,118,42,83,36,18,16,0,199,48,75,16,13,17,0,172,61,121,24,14,17,3,244,37,115,15,10,0,0,179,53,117,33,13,8,0,226,6,36,9,0,0,0,49,7,21,0,0,0,0,28,23,30,14,0,3,0,71,22,29,14,5,0,0,62,3,9,6,0,0,0,14,0,6,3,0,3,0,12,19,31,21,3,5,3,75,465,795,268,109,120,14,1768
203021045,30,13,16,9,5,0,63,13,0,3,0,3,0,21,8,4,12,7,9,4,37,14,6,8,5,6,0,39,12,9,20,8,5,3,66,49,37,22,11,18,0,134,46,35,36,15,15,0,141,60,69,30,15,29,3,204,51,68,23,12,14,0,164,43,67,16,3,16,0,142,15,46,10,4,6,0,86,29,55,10,4,5,0,106,8,19,4,0,0,0,33,3,5,5,0,0,0,15,14,11,13,0,3,0,39,5,9,12,0,0,0,33,3,5,3,0,0,0,7,0,3,0,0,0,0,3,9,23,9,12,13,0,72,412,484,249,116,143,16,1413
203021046,20,15,10,9,3,0,50,3,9,3,0,0,0,13,9,7,3,0,3,0,22,8,5,0,4,0,0,18,3,10,7,0,3,0,25,10,17,10,0,7,0,43,22,16,8,3,3,0,58,18,28,15,3,3,0,61,14,29,9,7,4,0,65,11,36,12,3,10,0,62,14,36,4,3,3,0,66,17,74,30,4,4,0,126,10,21,8,3,0,0,40,10,20,3,0,0,0,31,15,41,3,4,5,0,69,27,86,19,0,7,0,136,14,35,6,7,0,0,61,7,32,3,0,0,0,46,10,31,12,3,0,0,55,227,546,170,48,58,3,1056
203021047,13,8,11,0,0,0,39,3,0,0,0,6,0,13,12,7,8,3,3,0,39,8,0,6,0,8,0,23,23,24,19,4,15,0,77,19,28,21,6,10,0,85,32,49,27,8,14,3,122,36,65,18,9,21,0,159,39,59,23,5,7,0,144,36,65,19,9,11,0,139,23,39,20,4,3,0,82,27,53,26,7,0,0,117,5,21,0,0,0,0,28,5,10,10,0,0,0,24,16,40,13,4,0,0,66,15,23,9,0,0,0,49,7,11,3,0,0,0,23,4,9,3,0,0,0,11,12,17,15,0,3,0,53,330,550,238,63,102,8,1296
203031048,23,14,16,0,0,0,51,8,3,3,0,3,0,17,20,7,12,0,0,0,46,16,9,13,0,13,0,48,32,11,22,13,9,0,91,26,30,14,4,12,0,90,31,40,42,10,15,0,134,48,55,25,11,13,0,161,49,96,31,13,12,0,206,46,89,30,11,6,0,188,38,79,15,4,5,0,142,35,71,26,4,7,0,139,16,27,10,0,0,0,50,8,15,4,0,0,0,33,11,32,13,4,3,0,60,23,25,8,3,3,0,56,7,14,3,0,0,0,25,11,13,7,0,0,0,25,18,26,14,3,3,0,63,471,641,295,91,105,7,1610
203031049,9,7,0,0,0,0,18,6,0,0,0,0,0,8,3,5,7,0,0,0,15,0,3,0,0,0,0,3,0,3,3,0,0,0,14,11,14,6,0,4,0,31,9,16,0,3,0,0,26,6,11,7,0,0,0,28,8,12,9,3,3,0,31,3,13,3,0,3,0,27,4,10,9,0,0,0,22,11,27,4,3,0,0,45,6,14,0,0,0,0,18,3,3,0,0,0,0,11,13,8,6,0,0,0,35,21,11,0,0,0,0,36,4,5,0,0,0,0,9,4,0,0,0,0,0,8,6,5,3,0,0,0,16,132,165,59,17,21,0,391
203031050,33,24,17,5,5,0,88,12,11,6,4,0,0,23,19,14,9,0,3,0,57,18,19,14,4,4,0,54,14,29,22,10,10,0,85,26,43,24,6,9,0,113,44,74,20,9,11,0,161,49,104,40,9,8,0,216,54,130,25,25,5,0,239,65,160,41,15,16,0,295,54,129,31,7,7,0,231,96,231,41,11,13,3,391,43,99,10,11,0,0,155,29,60,14,5,0,0,106,60,98,21,9,5,0,191,50,156,31,3,3,0,245,13,42,6,0,5,0,73,6,26,8,0,3,0,48,27,41,25,0,7,3,109,709,1500,401,142,119,11,2871
203031051,12,4,3,0,0,0,21,0,0,0,0,0,0,4,3,3,0,0,0,0,10,6,5,3,0,0,0,14,13,9,3,0,3,0,23,15,10,3,0,3,3,32,22,8,6,0,0,0,34,18,26,9,3,4,0,60,22,27,11,3,0,0,59,19,27,3,0,3,0,56,9,13,7,0,0,0,27,15,14,10,3,8,0,49,3,5,0,0,0,0,11,5,3,0,0,0,0,9,12,15,3,0,3,0,36,13,6,3,0,4,0,26,4,3,0,0,0,0,9,4,0,0,0,0,0,5,14,8,3,0,3,0,34,209,183,71,17,36,3,519
203031052,7,0,3,0,0,0,6,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,3,0,0,0,5,8,3,0,0,0,0,8,3,0,8,0,4,0,17,6,13,10,0,0,0,28,4,10,4,0,0,0,26,3,11,0,0,0,0,18,9,14,3,0,0,0,22,3,3,0,0,0,0,11,6,15,4,0,0,0,35,0,11,0,0,0,0,10,5,0,0,0,0,0,3,3,3,0,4,0,0,16,10,12,3,0,0,0,34,8,6,3,0,0,0,18,0,5,3,0,0,0,8,6,3,0,0,0,0,10,86,118,44,15,13,0,278
203031053,14,30,18,4,3,0,71,7,3,8,0,0,0,21,11,16,11,3,8,0,44,12,12,9,0,3,0,42,15,22,11,0,4,0,50,14,42,21,0,0,3,87,25,57,25,3,5,0,123,39,75,20,7,12,0,153,24,64,19,8,7,0,124,43,93,30,7,13,0,180,25,85,13,7,3,0,135,50,165,29,13,11,0,268,25,86,12,5,5,0,129,17,57,16,4,6,0,99,52,149,16,8,3,3,224,44,174,30,8,0,0,256,25,47,7,0,0,0,83,16,39,0,0,4,0,58,33,36,24,4,3,0,101,496,1246,312,84,92,15,2240
204011054,11,5,0,0,0,0,21,4,3,0,0,0,0,5,14,3,0,0,0,0,16,16,3,4,0,0,0,30,13,13,9,0,3,0,39,21,16,6,3,9,0,52,25,32,12,7,6,0,79,19,37,10,8,0,0,74,13,23,11,0,7,0,51,17,21,9,0,3,0,51,9,20,5,0,0,0,39,12,15,5,0,0,0,31,0,8,6,0,0,0,18,0,0,0,0,0,0,7,10,8,3,0,0,0,19,13,8,6,0,0,0,21,3,9,4,0,0,0,9,0,0,0,0,0,0,0,19,9,5,0,3,0,39,223,237,85,20,33,0,603
204011055,14,3,5,0,0,0,27,3,0,0,0,3,0,13,16,4,3,3,5,0,23,14,7,4,3,8,0,26,22,11,8,10,6,3,56,25,26,3,9,0,0,59,24,22,5,10,6,0,66,21,25,10,9,3,0,75,14,26,3,3,0,0,48,16,21,0,0,0,0,36,6,10,0,0,3,0,18,12,13,0,3,0,0,36,3,6,0,0,0,0,5,7,3,3,0,0,0,8,5,7,0,0,0,0,13,6,5,0,0,3,0,13,4,0,0,0,0,0,7,0,3,0,0,0,0,4,11,8,3,3,0,3,31,214,197,54,48,37,10,565
204011056,14,11,8,10,3,0,48,6,6,5,3,0,0,20,6,11,3,4,6,0,32,18,8,5,4,6,0,40,19,24,12,12,12,0,85,23,29,16,15,8,0,99,43,47,22,15,16,4,155,42,93,39,14,19,0,210,55,104,31,11,16,0,218,55,88,31,12,9,0,203,16,79,14,9,3,3,128,38,94,29,4,6,0,173,13,30,4,0,0,0,54,7,17,3,0,0,0,25,27,49,21,0,7,0,101,25,45,21,0,0,0,92,5,16,0,0,0,0,27,3,4,7,0,0,0,10,26,41,24,6,11,0,110,459,793,319,128,110,15,1827
204011057,11,7,6,0,3,0,23,5,3,3,0,0,0,13,15,6,3,3,4,0,29,8,3,3,0,6,0,15,16,8,6,3,3,0,27,24,29,11,4,3,0,76,26,37,5,8,6,0,84,24,44,11,4,3,0,87,23,46,11,0,3,0,88,27,26,12,9,7,0,69,17,29,3,4,0,0,50,22,30,19,3,0,0,73,6,11,0,0,0,0,16,7,4,4,0,0,0,18,8,14,3,0,3,0,27,13,15,3,0,3,0,37,0,11,0,0,0,0,10,0,3,0,0,0,0,6,13,20,11,3,3,0,46,264,330,111,43,45,0,798
204011058,3,3,3,0,0,0,11,5,0,0,0,0,0,5,11,0,3,3,0,0,17,3,4,0,4,3,0,12,15,3,0,0,0,0,23,16,4,10,0,5,0,31,13,12,6,4,0,0,31,19,24,4,3,0,0,49,11,18,9,0,0,0,34,11,21,12,0,0,0,37,5,10,0,3,0,0,21,9,5,4,0,0,0,20,0,6,0,0,0,0,9,4,0,0,0,0,0,3,3,3,0,0,3,0,8,6,4,4,0,0,0,10,0,4,0,0,0,0,5,0,0,0,0,0,0,3,6,9,3,0,0,3,22,144,131,61,15,13,3,374
204011059,14,4,4,0,4,0,25,0,0,7,0,0,0,6,6,3,3,0,3,0,18,4,0,5,0,0,0,8,20,15,3,4,8,0,44,23,22,11,7,11,0,70,16,29,16,6,8,0,79,19,29,13,8,5,3,76,13,17,14,3,6,0,53,12,29,6,3,3,0,53,3,7,0,0,0,0,19,10,17,5,0,3,0,30,3,5,0,0,0,0,6,0,0,0,0,0,0,4,5,3,0,0,0,0,11,4,3,0,0,0,0,9,5,0,0,0,0,0,7,3,4,0,0,0,0,4,4,9,9,4,0,0,20,156,189,87,40,64,3,535
204011060,10,7,0,0,3,0,23,3,4,0,0,3,0,6,9,0,3,3,0,0,14,3,3,3,0,0,0,13,6,0,5,4,3,0,19,7,12,3,0,0,0,27,9,15,3,0,0,0,26,13,23,11,3,4,0,51,7,9,4,0,0,0,21,11,21,8,0,0,0,46,7,17,3,0,0,0,30,10,16,6,0,3,0,44,7,3,7,0,0,0,14,3,6,0,0,0,0,11,8,9,3,3,0,0,25,5,14,3,0,0,0,24,0,3,0,0,0,0,3,3,0,0,0,0,0,10,13,10,6,0,4,0,28,138,171,72,20,23,0,424
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,13,3,3,0,0,24
204011062,12,0,0,0,0,0,12,4,0,0,0,0,0,4,3,0,0,0,0,0,6,9,0,4,0,0,0,14,6,7,0,0,0,0,16,9,6,5,5,3,0,28,7,15,3,3,3,0,31,16,16,10,3,3,0,48,8,17,3,0,0,0,35,10,19,3,0,0,0,35,3,7,6,0,0,0,16,13,17,4,0,0,0,37,3,3,0,0,0,0,6,3,0,0,0,0,0,4,5,5,0,0,0,0,9,3,3,3,0,0,0,11,4,3,0,0,0,0,9,3,0,0,0,0,0,5,7,3,0,0,3,0,12,135,137,43,22,14,0,343
204021063,17,3,0,0,3,0,23,8,0,0,0,0,0,11,17,3,4,0,3,0,32,11,4,3,3,3,0,23,32,22,7,8,14,0,78,45,28,11,8,10,0,106,47,57,25,7,7,3,143,39,44,19,9,7,3,111,29,27,16,3,3,0,79,13,29,15,3,0,0,70,13,28,12,0,3,0,51,13,24,11,0,9,0,50,6,8,3,0,0,0,17,0,3,0,0,0,0,4,15,16,3,0,0,0,32,3,11,5,0,0,0,24,4,3,0,0,0,0,11,8,4,0,0,0,0,9,24,8,5,6,3,0,49,339,314,154,58,72,10,929
204021064,11,9,0,0,0,0,19,3,0,0,0,0,0,9,4,4,3,0,0,0,16,6,5,3,0,4,0,20,6,11,9,0,0,0,27,20,15,8,3,3,0,45,19,16,7,3,0,0,43,12,13,9,3,0,0,37,10,14,3,0,0,0,36,11,15,4,3,0,0,38,10,7,3,0,0,0,21,8,13,6,0,3,0,29,3,3,0,0,0,0,8,0,0,0,0,0,0,0,9,10,3,0,0,0,18,4,6,0,0,0,0,11,0,4,0,0,0,0,4,3,3,0,0,0,0,5,10,6,10,0,3,0,33,159,140,69,20,18,0,409
204021065,9,4,3,0,3,0,19,3,0,0,0,0,0,6,4,3,0,3,0,0,6,11,4,4,0,0,0,19,16,11,3,4,0,0,25,17,13,3,7,4,0,46,12,21,13,11,4,0,51,14,33,9,6,3,0,65,15,23,4,0,3,0,53,7,24,3,3,0,0,45,4,13,3,3,0,0,25,9,7,0,3,0,0,24,0,4,3,0,0,0,7,0,4,0,0,0,0,6,7,6,3,0,0,0,19,3,0,5,0,0,0,12,0,3,0,0,0,0,4,0,0,0,0,0,0,0,10,8,3,0,0,0,25,135,187,65,36,22,3,448
204021066,26,5,13,3,7,0,49,12,6,0,0,3,0,21,24,12,4,4,10,5,60,17,9,15,4,5,0,47,29,29,20,12,16,0,104,51,68,23,28,18,0,187,59,97,24,30,19,0,230,78,129,29,26,10,0,274,61,105,16,15,8,4,208,47,93,33,10,4,3,190,17,57,17,3,0,3,94,36,68,21,0,4,0,133,19,14,8,0,0,0,43,13,9,0,0,0,0,27,10,28,12,3,0,0,52,11,23,5,0,0,0,37,0,11,0,0,0,0,11,3,3,0,0,0,0,10,21,28,11,11,3,0,71,529,799,250,141,116,17,1856
204021067,17,12,7,3,0,0,33,6,0,0,0,0,0,12,18,8,12,0,3,0,36,9,10,7,3,0,0,25,30,20,8,5,11,0,67,33,29,12,9,3,0,93,31,49,19,8,9,0,114,35,54,24,5,4,0,135,36,51,9,0,3,0,103,32,55,17,3,0,0,104,15,44,9,3,0,0,71,29,42,6,9,0,0,86,12,19,3,0,0,0,25,5,10,3,0,0,0,22,13,30,13,0,0,0,63,17,31,6,0,0,0,57,3,6,4,0,0,0,16,6,3,0,0,0,0,12,21,21,17,0,0,0,61,373,507,166,50,42,3,1133
204031068,9,0,0,0,0,0,13,0,0,0,0,0,0,0,3,10,0,0,3,0,16,9,4,0,0,0,0,17,13,3,4,0,7,0,24,13,15,7,3,3,0,39,15,16,5,3,4,0,37,12,23,8,3,0,0,48,24,18,5,4,3,0,51,23,19,13,3,3,0,52,3,9,3,0,3,0,21,15,18,6,0,0,0,40,0,3,3,0,0,0,8,3,4,0,0,0,0,5,4,10,4,0,0,0,19,0,6,0,0,0,0,16,0,4,0,0,0,0,3,3,0,0,0,0,0,3,3,4,0,0,3,0,11,155,164,60,19,37,3,439
204031069,11,3,3,0,0,0,27,8,0,0,0,0,0,17,12,5,4,0,0,0,18,4,11,8,3,3,0,26,21,13,4,4,3,0,40,24,24,11,10,3,0,73,30,29,14,5,0,0,78,16,34,10,3,0,0,69,30,31,5,3,7,0,78,19,27,15,3,3,0,74,5,15,3,3,0,0,29,13,22,13,3,0,0,47,4,0,3,0,0,0,13,4,6,0,0,0,0,12,10,13,6,4,0,0,31,13,14,4,0,0,0,33,3,8,0,0,0,0,9,3,5,3,0,0,0,9,17,11,4,0,0,0,36,242,288,117,49,28,0,722
204031070,6,3,0,0,3,0,10,0,0,0,0,0,0,3,9,0,0,0,3,0,11,4,4,0,3,3,0,10,11,7,6,0,0,0,29,9,12,3,0,3,0,35,13,24,12,3,4,0,50,18,30,7,3,0,0,65,9,14,0,3,0,0,32,17,18,11,6,0,0,49,6,11,8,0,0,0,20,17,10,3,0,0,0,34,3,4,0,0,0,0,10,0,0,0,0,0,0,3,5,9,4,0,0,0,21,7,11,0,0,0,0,26,3,0,0,0,0,0,9,3,3,0,0,0,0,7,5,9,6,3,3,0,27,147,186,66,26,28,0,448
204031071,9,3,0,0,0,0,12,5,0,0,0,0,0,9,4,0,0,0,0,0,12,3,3,0,0,0,0,11,13,3,9,3,3,0,29,10,10,9,6,3,0,38,12,17,4,3,0,0,47,25,31,10,0,3,0,74,15,11,6,0,3,0,39,16,19,12,3,4,3,52,9,15,0,0,0,0,28,13,17,9,0,0,0,33,6,5,3,0,0,0,11,0,3,0,0,0,0,4,4,5,7,0,0,0,19,3,9,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,20,156,167,71,24,24,6,441
204031072,14,4,3,0,0,0,27,3,3,0,0,0,0,10,17,9,3,4,0,0,26,17,7,4,0,0,0,20,32,14,6,3,3,0,58,32,26,9,7,3,0,70,25,36,11,4,4,0,81,19,20,7,0,3,0,46,10,23,4,3,0,0,44,19,14,7,0,0,0,40,0,16,7,0,0,0,24,12,8,11,0,0,0,29,4,3,0,0,0,0,11,4,3,0,0,0,0,6,3,6,0,0,0,0,14,10,9,0,0,0,0,26,0,3,0,0,0,0,3,3,3,0,0,0,0,6,12,10,8,0,3,0,31,231,210,83,29,29,0,575
204031073,23,10,5,0,0,0,44,12,3,3,0,0,0,21,15,9,7,6,4,0,37,16,7,8,0,3,0,39,24,23,10,5,7,0,75,33,28,17,5,7,0,99,49,65,23,11,16,3,166,68,98,39,13,17,0,230,57,92,28,6,10,0,195,53,107,28,14,13,0,221,11,55,19,6,7,0,101,34,63,13,0,4,0,120,18,20,3,4,0,0,36,8,8,0,0,3,0,26,16,32,8,0,0,0,63,17,35,9,0,3,0,57,6,8,0,0,0,0,19,0,3,0,0,0,0,3,14,13,11,7,4,0,50,469,694,237,87,98,11,1594
204031074,32,18,9,0,7,0,66,8,3,0,0,0,0,18,26,11,8,3,4,0,51,14,12,6,3,10,0,46,35,28,19,9,14,4,105,55,59,32,13,14,4,177,84,85,32,22,15,0,241,101,125,43,33,24,5,326,82,128,35,19,15,3,283,81,148,45,16,9,3,295,45,116,21,4,5,0,203,59,124,40,18,7,0,249,19,31,10,6,0,0,68,6,28,8,0,0,0,45,17,60,12,4,5,0,103,35,39,16,3,3,0,92,14,14,3,0,0,0,32,6,13,3,0,0,0,18,29,42,10,3,3,0,94,740,1086,364,162,144,20,2511
204031075,8,0,5,0,0,0,15,3,4,0,0,0,0,9,5,9,9,3,0,0,17,7,0,0,0,0,0,6,0,6,3,0,0,0,18,15,7,7,0,3,0,33,22,15,8,3,0,0,48,7,24,4,3,0,0,47,16,28,9,8,3,0,63,15,32,8,6,0,0,59,9,24,3,0,0,0,42,14,32,10,3,0,0,71,3,13,3,0,0,0,20,0,8,0,0,0,0,4,16,19,3,0,0,0,40,6,17,7,0,0,0,31,3,5,0,0,0,0,12,0,0,3,0,0,0,4,14,3,0,0,0,0,24,167,251,91,38,15,0,557
205011076,27,14,17,3,7,0,65,11,3,0,0,0,0,14,23,4,8,3,0,0,42,8,11,9,0,3,0,30,24,21,14,7,13,0,74,20,35,25,17,11,0,114,44,55,21,15,10,0,148,53,94,36,20,13,0,216,45,118,24,12,19,0,217,73,118,27,14,8,0,242,45,67,18,0,3,0,140,49,86,33,3,4,0,182,18,37,6,3,3,0,75,5,17,5,3,0,0,32,24,55,16,3,0,0,100,21,36,9,0,3,0,81,12,12,7,0,0,0,30,7,3,6,0,0,0,11,28,23,24,9,11,0,91,533,834,301,117,110,10,1903
205011077,19,5,6,3,0,0,35,3,5,0,3,3,0,11,7,3,4,3,8,0,30,6,0,4,4,3,0,21,13,15,11,0,6,0,45,23,16,8,7,3,0,62,25,12,9,4,0,0,57,18,33,10,0,4,0,57,19,30,3,3,7,0,68,16,31,14,0,6,0,65,18,14,4,3,0,0,34,17,40,5,0,3,0,61,6,11,4,0,0,0,24,0,9,0,0,0,0,15,7,13,4,0,0,0,29,16,17,8,0,3,0,41,3,4,0,0,0,0,10,8,11,0,0,0,0,15,13,17,15,0,3,0,40,241,294,106,40,46,0,721
