SED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED24904,111,38,34,4,184,72,23,25,0,126,44,33,94,3,172,37,17,133,0,182,331,82,242,18,666,176,102,343,14,638,1129,201,361,32,1725,584,339,366,33,1325,697,544,269,32,1544,687,610,190,21,1511,346,545,140,13,1044,435,530,71,3,1048,698,919,86,11,1712,313,590,26,6,933,162,303,9,3,477,73,162,11,0,246,148,302,16,0,465,455,868,255,16,1595,245,100,102,3,457,6750,6310,2762,223,16048
SED25003,147,59,60,9,279,41,23,31,3,102,50,52,68,3,180,21,33,80,0,134,269,94,151,14,522,131,166,258,15,573,680,300,279,17,1282,375,473,302,26,1173,432,778,298,22,1528,470,856,266,32,1627,316,877,208,13,1409,333,907,154,27,1418,642,1784,200,36,2662,379,1199,101,16,1696,197,701,48,0,948,85,401,28,0,508,96,624,24,0,742,253,1068,260,9,1588,107,116,63,3,283,5011,10512,2867,255,18645
SED25102,77,17,26,0,120,44,15,16,3,72,37,13,35,3,85,30,10,53,0,98,158,28,99,4,281,143,51,192,7,402,513,76,200,16,805,422,177,226,22,834,540,358,243,19,1163,478,508,186,20,1188,312,592,158,14,1072,364,607,120,5,1097,791,1313,166,22,2295,503,1051,91,9,1662,313,642,32,6,997,165,444,19,0,629,292,857,33,3,1180,321,974,247,15,1560,97,109,45,4,257,5604,7841,2190,168,15805
SED25205,80,25,27,4,144,39,9,12,3,65,32,20,41,5,101,21,16,54,3,86,196,26,108,11,339,110,52,156,14,332,609,95,215,12,931,376,171,277,17,850,486,312,267,35,1106,438,454,218,26,1139,297,478,219,12,1012,336,539,171,23,1064,729,1350,224,25,2326,561,1182,77,19,1840,332,878,32,7,1257,228,598,42,0,873,350,1305,30,4,1693,347,895,261,11,1519,101,70,29,12,211,5682,8474,2468,239,16872
SED25302,73,19,41,0,139,45,5,15,6,70,31,15,51,4,99,22,8,57,0,84,229,28,92,6,354,112,45,181,3,336,757,86,217,7,1059,593,133,225,23,970,749,277,265,16,1301,599,395,187,3,1187,336,499,163,9,1007,381,523,101,15,1017,687,1180,175,12,2050,484,948,46,6,1485,291,727,26,0,1050,178,528,38,0,740,496,1315,27,0,1840,455,992,247,7,1700,168,68,39,6,283,6687,7780,2178,123,16765
SED25402,78,28,36,4,148,59,11,21,3,96,40,23,103,3,170,30,9,176,3,212,352,73,272,13,704,199,72,472,15,753,1019,187,377,12,1591,547,281,348,31,1213,612,435,329,26,1400,596,509,174,19,1304,361,483,151,12,1003,403,535,109,11,1047,757,1011,125,24,1918,425,707,59,10,1198,267,431,14,0,713,157,274,23,0,456,251,545,24,3,825,432,836,289,16,1569,172,78,79,13,341,6755,6515,3173,208,16650
SED25501,237,86,191,22,534,86,29,56,15,190,57,44,72,22,195,37,36,57,4,130,282,79,94,16,469,138,119,158,12,417,649,182,172,15,1014,444,304,157,25,934,567,444,252,53,1322,449,474,163,31,1116,230,484,123,27,865,257,579,120,15,976,522,1175,190,26,1913,385,960,87,9,1444,217,687,32,10,951,152,658,53,4,863,346,1520,62,8,1932,349,1055,183,14,1610,100,54,40,3,186,5503,8965,2271,321,17056
SED25605,222,80,89,19,411,64,26,40,3,136,70,32,86,10,195,58,43,76,5,185,352,97,132,15,595,173,137,194,8,511,854,239,245,34,1373,482,359,231,41,1106,587,573,308,44,1515,519,557,222,27,1333,311,617,187,23,1139,300,574,120,19,1011,559,1231,183,31,2005,332,892,78,20,1318,196,589,38,14,833,123,385,29,3,535,234,874,44,4,1159,330,897,272,26,1523,118,74,37,12,236,5879,8260,2609,356,17112
SED25704,113,33,23,3,178,77,17,17,0,111,57,28,76,0,158,34,15,104,0,150,412,65,169,6,652,185,84,301,11,585,1228,196,291,28,1740,679,322,270,18,1289,814,534,269,23,1649,786,664,155,29,1630,362,512,104,20,1002,480,578,70,11,1144,680,943,79,16,1724,313,550,37,0,903,156,298,9,3,467,62,156,17,0,231,153,276,9,3,439,429,918,209,8,1567,239,79,69,5,397,7255,6272,2279,195,16006
SED25802,108,25,39,8,183,73,14,31,3,115,59,27,103,0,184,29,12,126,0,168,405,57,178,15,643,194,64,337,10,600,1177,145,325,27,1676,667,307,308,24,1304,769,545,304,25,1646,635,663,215,22,1534,398,629,164,7,1195,428,644,94,11,1183,750,1068,119,10,1947,436,795,47,13,1284,220,417,14,0,653,134,244,15,0,390,264,531,20,0,812,470,932,281,9,1695,198,102,65,3,368,7421,7205,2776,195,17590
SED25905,138,55,58,9,262,55,16,24,0,100,55,39,82,10,183,37,22,110,0,174,240,102,152,12,502,147,164,237,13,561,773,306,217,16,1318,407,462,289,17,1177,469,750,326,30,1568,445,860,247,26,1578,322,828,201,23,1370,341,802,150,22,1310,688,1474,205,25,2390,373,986,76,12,1447,145,548,46,11,750,97,377,27,5,498,125,602,27,4,751,308,1066,263,9,1648,116,118,70,3,302,5277,9573,2800,239,17893
SED26005,153,96,101,3,351,49,27,32,3,113,51,58,89,0,198,32,41,111,0,178,212,134,176,6,527,129,186,298,12,628,581,331,301,19,1236,364,621,331,20,1333,460,1007,369,35,1869,447,1103,297,28,1877,337,1130,193,15,1677,322,1102,176,26,1626,640,2213,232,30,3115,329,1499,120,9,1955,163,805,47,11,1018,73,522,30,0,630,120,812,31,5,970,290,1329,261,17,1897,97,122,59,5,282,4852,13148,3237,249,21483
SED26102,129,15,13,0,162,70,11,21,4,104,47,10,62,3,117,35,9,103,0,140,365,32,130,11,539,186,59,312,9,556,1208,109,286,12,1610,762,223,280,32,1296,914,356,281,24,1580,717,490,177,20,1401,406,463,143,12,1024,438,492,102,9,1046,687,832,114,9,1631,432,560,35,3,1024,185,344,12,0,538,136,181,11,0,335,376,396,17,0,794,488,736,298,10,1532,263,76,71,14,427,7853,5391,2457,164,15868
SED26207,118,33,45,6,198,67,11,21,6,108,48,26,46,3,125,23,13,50,0,88,368,46,93,14,517,123,69,168,8,380,903,136,180,24,1249,463,225,237,29,949,498,385,285,41,1202,406,499,229,25,1158,228,478,228,25,950,281,509,134,22,945,557,1153,223,33,1963,432,964,121,15,1536,233,688,40,12,979,176,569,43,4,793,268,1254,63,13,1596,338,896,255,17,1508,190,90,58,4,352,5718,8040,2517,291,16576
SED26303,82,22,37,7,142,48,11,19,4,82,32,13,66,6,117,12,10,54,10,85,244,35,94,10,375,96,53,145,10,305,528,100,173,35,832,241,153,214,25,632,349,269,236,38,885,385,327,174,50,941,291,332,133,31,790,352,362,128,31,868,811,878,159,46,1902,684,788,58,28,1559,461,664,37,20,1179,313,546,71,9,944,662,1718,38,16,2431,450,694,185,16,1336,71,56,33,5,169,6107,7035,2040,395,15571
SED26406,219,35,69,41,371,70,21,34,9,126,63,34,45,11,153,40,21,61,8,130,289,41,90,15,436,150,100,142,28,407,654,143,142,29,965,391,254,198,49,894,524,431,235,59,1248,515,448,190,59,1212,338,454,142,33,970,361,514,147,25,1046,800,1094,203,55,2149,550,864,79,32,1533,339,693,30,22,1084,261,530,27,12,822,376,1398,32,15,1824,362,798,204,10,1379,91,57,33,5,187,6393,7922,2100,518,16935
SED26504,85,22,19,3,131,58,10,31,0,97,43,19,71,6,135,30,11,87,0,130,386,43,192,9,631,192,83,274,3,559,1147,153,275,23,1595,703,237,279,17,1239,791,456,233,28,1503,678,567,153,28,1422,398,501,98,8,1005,431,464,69,5,967,636,863,77,18,1597,339,527,26,9,904,177,265,4,4,457,69,163,18,0,249,173,248,14,0,433,431,764,204,15,1415,208,73,66,5,352,6963,5471,2196,178,14809
SED26603,146,60,66,13,284,64,18,28,8,113,58,29,83,18,187,34,29,85,5,153,343,87,131,18,577,142,133,203,11,488,811,228,239,26,1300,396,352,319,61,1127,519,578,352,60,1506,522,635,256,49,1462,332,653,196,50,1235,387,647,159,51,1244,902,1299,236,44,2473,651,980,86,40,1753,390,741,24,17,1182,241,495,37,5,779,333,937,30,3,1302,409,899,264,25,1593,159,107,73,10,345,6835,8902,2863,494,19093
SED26708,104,38,18,7,166,80,25,19,4,123,55,20,67,5,153,29,14,96,3,140,345,63,155,6,569,190,79,243,6,519,925,143,234,17,1323,596,268,244,29,1142,785,549,224,16,1571,677,623,172,29,1497,361,548,99,16,1019,433,598,69,15,1107,697,987,96,13,1792,353,671,29,8,1060,188,349,18,0,555,80,178,14,0,277,227,372,19,9,631,447,851,235,5,1532,179,83,70,11,347,6747,6455,2114,201,15514
SED26806,135,24,63,30,253,24,18,30,4,74,36,19,62,14,137,23,7,46,8,79,148,37,84,18,288,99,30,89,19,242,338,45,121,34,539,273,92,118,39,522,443,133,145,60,782,536,172,117,57,878,443,162,90,43,741,523,182,81,38,825,1426,377,146,79,2032,1177,332,54,68,1634,813,256,19,34,1123,691,337,111,17,1164,1789,1222,71,36,3117,800,489,202,11,1502,78,37,22,6,144,9796,3970,1668,644,16077
SED26903,151,54,60,9,279,87,20,36,12,152,56,43,102,22,226,30,23,109,7,176,339,96,170,19,619,136,184,270,33,620,844,253,312,51,1458,379,422,339,71,1212,489,600,349,71,1505,477,664,249,48,1435,311,608,181,30,1126,347,549,138,34,1076,717,1072,185,52,2027,509,736,78,23,1346,263,447,40,7,759,165,295,35,3,497,188,483,24,7,700,363,682,268,16,1330,140,96,93,12,349,5996,7325,3028,529,16884
SED27003,76,27,72,13,190,36,9,50,9,116,54,38,148,19,252,29,8,115,6,160,181,87,155,32,453,86,70,188,14,362,321,97,192,33,646,207,106,187,51,551,324,155,175,57,716,381,161,125,58,722,345,162,112,30,647,459,168,99,33,756,1197,458,143,63,1863,1087,428,59,44,1624,900,381,26,35,1331,702,395,68,22,1191,1717,1429,51,32,3235,698,513,215,19,1438,75,45,64,11,194,8863,4739,2251,579,16431
SED27101,131,39,62,9,242,49,16,15,0,77,41,27,66,0,134,22,25,66,4,106,206,63,107,7,387,125,99,161,18,401,592,167,220,14,997,448,258,249,25,984,544,430,291,47,1313,517,489,230,27,1264,323,484,173,29,1011,370,595,137,26,1129,743,1239,200,46,2230,552,1030,96,20,1704,340,705,44,8,1092,210,535,37,3,788,332,983,33,7,1353,369,738,245,12,1367,102,56,45,9,211,6014,7974,2471,319,16777
SED27208,110,40,20,0,171,67,13,18,0,105,67,35,78,0,179,35,15,118,3,170,481,68,200,9,763,257,108,340,6,718,1466,193,350,30,2036,751,355,301,34,1445,821,583,254,25,1686,695,637,142,22,1503,348,549,98,7,1005,406,477,61,19,964,619,816,76,20,1534,343,484,26,0,848,159,257,3,3,425,56,120,20,0,190,119,214,12,3,345,510,788,202,8,1513,237,69,81,3,391,7557,5816,2394,197,15969
SED27305,107,26,41,3,177,52,9,16,0,74,29,24,41,6,99,17,13,45,3,78,171,47,83,7,308,111,80,132,4,324,519,136,145,5,811,311,227,197,16,753,455,445,176,18,1094,368,502,184,20,1072,276,550,149,18,993,245,647,104,19,1009,578,1430,178,25,2217,383,1173,68,15,1644,236,772,36,8,1049,109,554,26,3,695,198,1144,37,3,1375,258,1029,199,7,1497,96,99,36,3,236,4503,8920,1892,183,15502
SED27406,72,26,47,5,147,32,9,14,10,60,26,8,40,8,86,13,5,42,3,65,151,27,81,6,259,100,36,120,5,263,412,70,157,17,655,310,97,183,21,616,454,206,190,23,879,476,219,155,25,872,294,242,157,17,708,333,283,115,7,745,730,805,204,30,1768,568,795,83,16,1458,341,661,26,7,1037,302,734,55,5,1095,745,2478,54,3,3286,372,973,217,9,1570,119,51,28,0,203,5858,7731,1975,206,15775
SED27504,106,47,41,3,199,58,12,19,0,90,45,48,86,8,183,34,23,129,0,187,341,115,235,12,693,181,135,366,12,699,1089,195,389,25,1690,532,345,403,30,1308,755,592,336,27,1704,664,644,267,22,1593,396,641,138,11,1185,449,621,101,16,1189,731,1133,119,17,1997,416,727,45,3,1192,181,397,10,0,592,82,227,15,0,323,183,400,16,0,603,458,913,274,14,1655,195,111,102,10,417,6872,7322,3100,223,17519
SED27608,76,21,24,3,125,45,14,22,0,79,48,20,36,5,109,20,12,46,3,76,238,42,105,9,387,153,53,204,5,425,749,114,226,20,1105,545,208,244,20,1018,720,408,291,25,1434,633,566,203,29,1433,418,644,168,11,1239,423,738,102,25,1289,929,1541,152,17,2636,603,1167,52,14,1830,308,761,18,0,1096,163,499,18,3,690,338,962,22,0,1328,423,1045,216,9,1695,130,72,46,0,244,6973,8878,2186,205,18246
SED27708,67,29,24,4,124,57,7,19,3,89,57,15,67,3,142,32,12,116,4,161,318,51,165,14,542,186,53,320,9,572,974,144,312,19,1442,586,282,309,35,1208,732,494,257,24,1509,655,598,213,24,1485,369,601,111,9,1088,483,581,88,14,1164,797,1028,128,19,1968,442,742,38,11,1228,197,389,9,0,598,112,220,24,0,355,227,370,13,3,607,378,830,221,9,1445,185,57,71,10,322,6841,6499,2501,211,16053
SED27807,199,116,203,5,529,100,50,72,5,225,73,97,233,12,419,45,76,216,3,337,500,218,290,40,1045,242,277,360,32,902,1094,433,396,43,1964,480,660,445,73,1653,513,855,471,73,1905,478,851,349,79,1753,282,701,244,39,1259,290,611,173,36,1116,475,1003,202,44,1717,252,650,88,19,1013,115,361,51,9,535,56,196,29,3,285,74,286,35,14,405,327,891,367,33,1613,199,139,131,18,478,5791,8461,4348,577,19175
SED27907,102,28,31,4,167,51,17,19,5,94,31,26,73,6,135,25,12,79,3,122,263,46,146,11,468,125,65,255,13,453,683,129,287,13,1112,418,276,328,25,1049,535,444,319,29,1334,471,559,271,23,1325,338,629,206,28,1198,357,680,158,23,1218,768,1359,226,24,2373,464,938,118,9,1531,227,642,44,10,918,123,377,31,3,546,143,657,21,3,824,300,834,283,10,1431,135,92,55,7,284,5572,7805,2954,244,16572
SED28007,161,76,72,12,323,48,32,25,9,115,56,52,102,5,207,24,25,85,3,142,234,95,125,8,470,134,176,220,15,538,584,243,245,9,1077,324,496,287,20,1129,410,788,335,37,1570,346,933,240,24,1545,303,916,184,15,1423,321,988,132,24,1463,699,2061,228,27,3008,435,1456,97,19,2003,198,935,51,6,1193,102,603,18,9,729,139,936,37,8,1115,256,1302,290,10,1858,110,148,57,3,314,4889,12242,2817,263,20213
SED28107,287,89,110,10,496,61,47,36,5,150,61,81,119,3,258,45,57,136,3,241,192,172,193,12,571,142,271,346,10,774,618,468,316,21,1421,468,796,409,22,1699,576,1229,400,26,2237,564,1368,299,44,2268,418,1344,243,29,2033,497,1292,155,30,1977,1016,2509,218,44,3785,565,1517,111,23,2219,302,870,45,8,1225,154,550,27,8,734,162,772,38,7,977,377,1262,267,11,1923,100,147,72,8,331,6615,14847,3541,315,25308
SED28203,249,92,98,9,441,73,50,26,3,156,49,70,105,5,225,43,41,116,0,202,556,226,204,21,1013,163,260,279,20,722,1259,457,352,45,2116,444,641,361,44,1480,428,919,346,42,1741,487,921,306,40,1757,267,831,210,25,1324,285,710,142,31,1168,515,1315,189,31,2053,282,723,78,16,1103,106,413,17,12,551,65,229,24,3,316,83,289,26,3,411,339,965,301,14,1622,191,142,97,3,439,5890,9306,3276,374,18840
SED28301,172,67,105,7,356,83,30,41,9,153,35,27,48,4,124,19,38,53,3,118,233,59,59,11,358,121,75,113,15,322,556,161,144,17,882,426,238,182,20,865,500,384,209,19,1108,429,425,164,20,1043,275,484,113,10,882,300,537,104,12,952,511,1145,143,18,1822,363,950,74,9,1394,255,769,47,6,1077,214,657,42,5,923,451,1906,59,9,2423,365,1150,225,5,1741,119,94,38,0,255,5428,9213,1961,203,16798
SED28408,58,12,35,0,112,35,10,16,3,63,33,11,69,5,118,21,3,109,0,138,224,28,232,14,497,139,56,318,18,535,825,139,343,18,1326,459,247,337,26,1068,573,363,316,24,1281,533,475,224,30,1264,354,477,148,22,1004,362,459,115,7,950,635,910,98,21,1664,353,645,42,4,1041,179,409,12,0,607,110,236,24,0,370,233,552,23,3,813,308,644,264,5,1221,137,62,77,9,281,5564,5753,2801,216,14335
SED28507,133,59,86,9,281,39,23,29,3,102,30,52,105,3,187,20,38,150,4,207,243,142,223,12,614,139,145,393,15,694,661,277,378,24,1340,408,491,426,30,1355,510,731,437,27,1707,555,876,282,26,1742,400,841,199,25,1463,384,730,165,15,1297,770,1426,199,35,2433,413,904,88,4,1409,212,546,38,11,803,89,308,16,0,415,138,491,23,3,657,358,902,311,19,1588,138,106,94,4,346,5643,9093,3640,267,18641
SED28607,113,45,42,8,208,52,4,37,4,96,35,33,63,11,142,21,16,61,0,96,249,63,128,17,463,97,71,194,19,383,594,131,229,33,986,285,211,246,37,782,370,312,316,41,1045,354,417,214,35,1026,267,424,174,30,902,333,473,170,25,1003,813,1032,250,37,2135,693,1019,96,36,1844,538,903,38,15,1500,431,781,70,7,1294,864,2040,50,13,2964,459,936,235,21,1646,127,76,55,4,266,6704,9003,2667,403,18772
SED28704,124,36,52,7,219,35,20,20,4,77,48,26,75,3,151,26,11,88,0,120,188,62,161,0,415,133,79,358,0,570,531,176,344,12,1059,379,336,324,17,1056,511,682,374,15,1584,577,812,286,29,1702,348,1018,246,21,1633,451,1075,163,15,1712,1002,2135,218,36,3391,640,1564,88,12,2303,350,940,43,11,1338,148,595,41,3,779,252,1077,25,3,1362,359,1249,296,14,1910,117,145,71,0,332,6211,12032,3276,194,21713
SED28803,203,134,92,3,428,43,43,37,3,122,46,91,108,3,253,35,54,140,3,224,255,273,193,9,729,154,331,310,16,806,595,557,360,26,1540,348,812,382,25,1572,436,1174,381,39,2035,471,1265,307,23,2073,352,1139,206,29,1724,387,1123,140,19,1674,784,2148,236,26,3191,433,1318,118,25,1886,212,808,38,11,1060,129,521,29,0,684,145,775,41,0,964,297,1357,312,17,1978,111,162,75,4,349,5422,14089,3492,282,23294
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
