SED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED25704,444,418,866,1682,1490,3175,673,690,1370,175,168,341,2530,2347,4879,1321,1203,2523,565,596,1156,191,207,400,2077,2005,4085,54,72,125,26,55,82,191,132,323,133,226,361,9,4,18,407,490,895,103,205,310,29,93,121,18,39,58,61,229,287,3,0,6,214,571,779,33,51,88,46,142,192,3,7,5,82,203,281,3049,3111,6165,8813,9140,17951
SED25802,494,492,985,1987,1810,3800,586,631,1213,325,304,634,2897,2750,5643,1232,1235,2465,445,467,909,402,451,852,2071,2157,4233,118,131,247,32,108,140,237,120,351,117,263,378,3,3,5,503,618,1126,259,445,703,69,215,278,42,77,119,123,325,444,0,5,9,492,1070,1557,64,82,143,86,212,297,5,5,12,154,294,451,2595,2798,5387,9204,10176,19384
SED25905,507,420,922,2074,1857,3932,460,441,903,357,326,684,2893,2625,5516,1628,1470,3096,489,511,1000,412,445,862,2529,2423,4960,199,182,387,88,147,232,240,122,360,190,227,418,3,5,5,725,677,1402,851,1008,1856,161,233,398,103,138,236,164,291,456,4,14,16,1283,1676,2955,108,156,265,138,316,454,4,9,10,249,479,731,1665,1719,3387,9846,10026,19878
SED26005,768,720,1486,3226,2954,6174,881,868,1747,606,616,1224,4712,4433,9148,2258,2140,4399,763,771,1533,679,682,1360,3699,3592,7293,240,299,537,128,190,322,303,155,461,203,328,529,9,10,16,885,981,1864,1022,1101,2115,218,305,521,87,152,242,203,346,543,5,9,14,1527,1911,3440,183,244,426,190,394,583,3,6,16,378,647,1027,2357,2368,4727,14320,14662,28981
SED26102,417,397,815,1669,1632,3301,245,213,458,118,130,245,2029,1969,4004,913,855,1771,308,333,641,274,255,531,1498,1440,2944,59,90,148,40,72,111,155,57,211,94,180,275,4,8,17,357,402,762,203,319,513,49,140,187,21,36,63,112,278,390,0,4,7,386,779,1163,45,41,84,76,168,241,3,3,7,118,211,335,2300,2501,4803,7114,7703,14815
SED26207,456,409,864,944,823,1768,1179,1046,2230,239,256,499,2364,2126,4493,859,764,1624,707,732,1443,339,362,700,1908,1858,3771,81,61,140,38,52,89,148,38,184,97,108,206,3,7,6,369,261,632,836,931,1764,131,211,347,99,96,191,183,302,485,5,4,14,1250,1538,2791,59,68,122,127,188,310,7,3,14,185,259,445,1629,1801,3434,8170,8256,16428
SED26303,571,491,1059,1842,1717,3565,407,449,854,107,163,273,2359,2330,4687,1008,818,1831,286,352,633,296,290,588,1586,1466,3053,119,116,238,137,177,317,87,49,135,207,206,417,3,3,5,557,551,1111,958,1272,2230,551,779,1326,81,131,217,505,890,1396,3,3,12,2099,3080,5183,69,85,162,118,248,366,0,0,0,196,333,526,2123,2292,4416,9486,10545,20036
SED26406,552,512,1060,1588,1503,3091,547,556,1101,200,228,434,2330,2291,4621,693,637,1325,507,566,1079,348,365,717,1546,1564,3117,229,171,399,166,174,345,124,44,172,186,222,411,3,0,3,706,617,1325,3918,4332,8248,1251,1172,2427,151,137,291,354,475,826,17,12,30,5690,6137,11825,140,150,290,152,241,398,0,3,4,299,393,695,1918,1970,3895,13043,13488,26529
SED26504,421,393,810,1268,1106,2373,813,778,1590,196,232,432,2278,2114,4398,818,798,1621,684,706,1391,183,200,382,1692,1703,3394,66,75,144,24,89,112,177,109,290,113,213,328,3,12,12,393,500,888,96,197,294,38,90,124,18,42,63,86,237,322,0,8,4,233,571,802,46,42,88,51,143,195,3,0,3,104,189,292,2643,2851,5494,7758,8315,16077
SED26603,645,572,1221,1606,1483,3089,825,808,1630,206,219,424,2634,2513,5145,1050,1004,2049,569,553,1124,226,220,453,1846,1781,3630,202,149,347,150,181,324,142,63,204,211,230,438,5,9,19,707,622,1333,1129,1185,2319,636,635,1263,105,148,253,375,583,961,8,14,19,2256,2560,4813,201,186,387,211,299,505,4,4,12,416,488,904,2505,2517,5022,11013,11047,22058
SED26708,504,467,964,1912,1647,3564,660,638,1304,153,108,259,2732,2388,5120,1088,941,2028,700,734,1431,240,211,448,2024,1884,3911,51,76,127,17,54,73,179,98,276,117,234,355,10,3,15,376,468,852,142,267,411,36,113,149,31,65,92,116,242,358,4,0,4,326,683,1012,42,39,79,69,158,228,3,5,9,110,201,312,2505,2455,4958,8585,8552,17130
SED26806,340,328,665,563,531,1099,145,176,318,324,346,667,1030,1054,2081,193,248,444,122,152,274,484,517,1000,799,923,1722,120,129,251,176,211,386,66,70,138,236,259,496,3,4,8,594,676,1273,1331,1804,3131,751,939,1695,143,205,345,709,892,1604,13,9,17,2940,3851,6790,121,132,252,206,341,553,4,8,15,330,484,812,3730,3906,7635,9766,11217,20982
SED26903,477,475,952,1593,1427,3023,536,515,1053,151,133,282,2278,2077,4356,911,820,1726,440,477,919,129,120,247,1480,1415,2897,164,173,333,185,250,436,120,58,171,201,283,480,6,0,9,678,758,1436,1056,1116,2169,775,680,1456,103,112,220,325,462,794,4,6,11,2274,2378,4651,207,183,396,188,330,512,0,3,3,395,516,914,2743,2885,5620,10323,10505,20831
SED27003,355,375,730,1107,1078,2178,248,268,512,129,170,299,1481,1510,2989,496,646,1141,225,183,411,218,255,472,939,1081,2026,117,107,223,183,235,416,60,51,111,234,279,513,5,5,18,599,678,1279,1019,1419,2436,787,954,1743,121,160,285,773,1133,1904,7,9,18,2708,3677,6389,101,196,297,210,368,569,0,11,12,307,571,883,3551,3663,7219,9945,11560,21510
SED27101,628,615,1249,1939,1827,3771,425,429,856,223,195,419,2591,2460,5044,1191,1082,2272,382,337,715,342,343,679,1911,1761,3671,156,123,277,122,155,274,151,57,211,177,238,412,3,9,14,613,577,1189,755,794,1546,306,341,650,79,113,190,277,451,725,3,6,6,1416,1708,3126,128,132,254,147,306,458,5,4,9,272,441,716,1282,1431,2713,8722,8993,17714
SED27208,448,414,865,1746,1627,3374,498,536,1033,109,96,197,2357,2254,4606,1187,1165,2346,407,438,841,193,220,409,1778,1817,3600,43,56,99,21,37,60,117,63,184,91,145,235,3,5,12,276,307,578,119,223,345,58,135,197,23,52,82,105,245,345,5,7,11,315,657,975,90,71,156,80,150,227,4,4,5,166,222,387,3673,2688,6364,9004,8362,17371
SED27305,427,402,829,1769,1608,3381,518,459,979,218,198,422,2508,2271,4777,1224,1263,2490,755,652,1408,361,358,718,2335,2275,4613,140,141,287,49,73,120,208,96,299,135,168,303,9,3,10,540,474,1019,904,978,1878,139,190,332,98,133,226,159,268,429,0,7,7,1296,1575,2869,56,87,146,105,183,285,4,3,4,158,275,439,1107,1060,2167,8376,8339,16710
SED27406,501,535,1037,1526,1550,3077,564,527,1098,375,408,790,2469,2489,4961,582,728,1310,454,421,877,1004,896,1907,2042,2049,4088,77,69,140,43,60,101,114,42,153,102,152,253,5,0,7,339,321,656,836,907,1741,156,215,374,100,92,198,236,380,612,3,8,11,1335,1603,2933,46,37,85,94,224,314,3,5,11,139,266,407,1540,1701,3248,8371,8961,17326
SED27504,536,501,1030,2071,1861,3925,832,812,1640,160,145,306,3064,2814,5871,1297,1255,2548,848,805,1654,313,260,574,2457,2327,4779,99,173,270,79,162,238,220,128,351,152,326,472,3,3,7,551,791,1343,177,318,493,61,154,212,29,95,124,131,309,438,4,4,11,401,876,1280,102,107,205,99,221,324,6,0,11,212,333,547,3114,3197,6308,10332,10828,21156
SED27608,693,658,1349,2101,1931,4037,674,639,1314,433,407,837,3212,2978,6186,1195,985,2181,548,677,1222,622,628,1247,2370,2293,4659,131,116,250,46,76,118,215,87,297,178,225,402,0,4,5,569,512,1078,1318,1497,2815,386,382,769,95,128,223,239,476,714,3,13,16,2044,2494,4540,67,68,132,126,220,344,3,4,3,189,289,479,1792,1953,3749,10875,11174,22043
SED27708,472,390,863,1610,1450,3061,866,925,1790,147,121,270,2622,2497,5118,1302,1259,2561,541,649,1186,177,173,348,2014,2082,4094,92,122,212,20,99,121,187,129,311,145,319,466,0,9,7,444,669,1119,185,337,528,82,146,231,28,55,88,134,319,451,0,5,8,431,864,1299,33,49,84,90,187,273,6,11,11,120,245,368,2635,2730,5359,8743,9476,18220
SED27807,471,434,903,1611,1508,3123,695,713,1407,114,118,231,2421,2345,4762,1598,1446,3046,404,581,986,132,132,266,2140,2163,4301,298,259,558,177,286,460,147,77,227,167,194,364,16,8,25,806,817,1622,1293,1288,2585,507,501,1008,135,109,243,206,230,436,10,17,31,2155,2151,4305,358,405,769,260,492,753,13,20,28,634,917,1551,3306,3102,6405,11925,11931,23852
SED27907,463,456,922,1698,1543,3238,615,630,1242,151,148,295,2462,2321,4778,1256,1249,2502,481,458,942,206,180,381,1945,1882,3828,130,118,252,54,104,161,224,98,323,150,177,332,0,3,4,562,505,1069,503,705,1210,131,199,337,68,107,175,169,346,516,0,10,6,877,1365,2243,70,85,158,129,224,352,3,3,12,209,308,522,1829,1932,3763,8337,8783,17123
SED28007,657,634,1293,2426,2277,4706,957,999,1961,489,502,990,3878,3783,7653,1745,1732,3473,825,876,1706,503,486,992,3073,3099,6168,152,142,302,81,122,200,222,85,310,158,163,324,6,3,5,618,518,1138,1148,1303,2455,188,297,478,144,159,301,160,259,423,9,6,15,1647,2024,3674,159,156,314,184,318,506,5,13,16,351,479,831,2007,2144,4152,12231,12686,24917
SED28107,970,958,1923,3015,2684,5702,1102,1111,2213,881,892,1772,5004,4684,9686,1792,1729,3518,756,809,1559,520,564,1082,3063,3095,6163,229,185,416,168,274,441,218,85,305,223,345,565,11,8,19,842,908,1748,1123,1141,2258,511,516,1030,121,150,274,342,450,793,12,13,23,2102,2280,4380,242,311,554,259,553,815,5,6,18,505,875,1387,3963,2876,6835,16446,15682,32125
SED28203,611,528,1138,1762,1646,3405,735,723,1459,186,201,385,2683,2567,5251,1291,1227,2516,475,453,933,140,154,295,1909,1835,3742,218,178,396,142,205,348,107,58,167,172,198,373,8,7,19,655,649,1301,772,916,1683,310,375,684,76,85,155,196,209,406,13,16,24,1361,1597,2958,177,223,404,172,309,477,7,14,24,352,544,900,2306,2404,4708,9884,10117,19996
SED28301,523,458,979,1870,1755,3625,486,413,896,344,308,655,2695,2481,5176,1261,1193,2459,527,456,984,791,744,1537,2582,2397,4981,123,96,218,51,93,137,162,42,209,121,156,278,8,0,7,466,388,849,1181,1252,2433,218,252,474,124,128,256,208,323,527,3,11,14,1727,1970,3705,60,80,140,154,255,411,3,9,5,220,343,560,1192,1319,2511,9399,9355,18748
SED28408,483,475,957,1389,1339,2728,656,652,1306,313,319,635,2358,2313,4676,766,771,1539,718,602,1326,521,560,1080,2006,1935,3941,95,85,179,40,62,97,135,74,214,125,156,284,8,4,12,401,381,783,489,742,1230,222,299,519,66,93,159,244,442,682,6,3,7,1029,1571,2602,58,65,127,94,146,243,3,3,4,154,216,371,1792,2035,3825,8222,8923,17145
SED28507,583,556,1133,2278,2129,4404,706,678,1381,256,290,544,3240,3097,6334,1470,1369,2837,573,616,1187,226,224,449,2262,2209,4473,160,183,341,76,168,243,196,88,283,171,256,421,5,8,9,604,703,1303,572,713,1288,250,337,586,50,110,161,200,328,528,10,10,17,1086,1493,2573,213,246,454,169,386,562,6,9,19,390,643,1032,2317,2480,4796,10477,11175,21654
SED28607,706,658,1365,2200,2027,4225,531,585,1116,208,246,456,2940,2860,5801,1067,968,2030,511,474,985,332,332,665,1911,1769,3678,107,99,211,77,96,175,116,64,177,186,204,392,9,9,12,494,473,969,914,894,1807,331,435,768,81,128,204,392,708,1103,4,9,13,1722,2179,3897,85,133,217,153,286,437,0,4,8,244,420,663,2145,2263,4403,10159,10624,20781
SED28704,969,899,1863,3290,2996,6287,792,753,1545,282,283,560,4363,4029,8390,1791,1696,3479,706,671,1375,408,387,795,2909,2750,5659,137,155,289,59,123,179,327,121,445,220,295,516,6,3,7,743,698,1438,616,806,1422,158,278,431,64,122,190,233,486,725,3,3,9,1071,1701,2774,76,93,167,150,280,428,5,3,6,232,372,598,2262,2410,4673,12539,12853,25397
SED28803,884,818,1700,2901,2630,5533,1112,1097,2212,646,638,1288,4660,4365,9028,1924,1895,3821,770,830,1596,684,717,1401,3375,3445,6817,288,259,544,155,247,403,222,93,319,222,285,510,12,4,12,900,894,1788,1109,1363,2469,255,372,626,121,159,280,229,349,576,8,13,17,1721,2251,3970,223,298,527,219,465,685,12,5,10,459,766,1223,2473,2576,5050,14471,15115,29583
SED29494,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
