SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED24207,25,14,105,4,6,38,182,4,14,8,3,4,0,40,16,87,37,3,12,0,152,22,67,62,11,39,3,206,24,39,68,9,16,0,162,174,39,152,24,19,0,405,1366,43,358,11,59,14,1850,1551,12,189,3,32,11,1798,195,0,31,4,0,0,236,26,0,7,0,3,0,39,14,0,3,0,0,0,16,12,0,3,0,0,0,17,9,0,0,0,0,0,9,28,0,3,0,0,0,32,74,37,70,7,13,11,212,3549,356,1099,76,210,72,5360
SED24308,12,83,89,6,41,82,311,3,61,9,15,5,3,99,49,605,63,38,22,8,791,263,216,131,38,23,9,684,333,128,156,40,18,0,683,1253,159,322,29,25,12,1810,1567,57,266,10,30,10,1944,637,10,94,0,5,7,755,67,5,19,0,3,0,93,23,0,9,0,0,0,29,10,0,0,0,0,0,11,3,0,3,0,0,0,9,0,0,0,0,0,0,3,4,0,0,0,0,0,5,86,83,60,7,36,7,286,4323,1404,1220,195,225,141,7508
SED24408,11,42,287,11,142,202,699,21,94,60,10,18,3,200,230,187,279,54,69,14,831,631,88,328,21,35,11,1110,292,36,156,3,21,4,514,419,28,139,7,13,0,605,312,6,77,7,11,7,416,122,3,29,3,7,3,166,11,0,3,0,0,0,18,3,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,9,0,3,0,11,30,35,74,14,60,11,218,2079,517,1433,127,376,247,4791
SED24504,3,7,117,20,24,86,259,3,16,11,25,0,0,54,8,73,62,9,5,0,163,25,33,88,20,7,0,177,64,10,81,11,17,0,192,139,24,149,5,20,0,333,548,19,215,0,8,10,799,548,3,123,0,6,0,685,151,0,41,0,0,0,187,40,0,5,0,0,0,51,13,0,7,0,0,0,23,3,0,0,0,0,0,5,0,0,0,0,0,0,3,4,0,6,0,0,0,15,26,14,41,5,14,3,111,1586,205,951,97,113,105,3051
SED24606,13,8,135,11,7,65,240,5,13,8,8,0,0,32,15,79,41,50,10,8,203,50,25,70,46,4,3,211,42,12,37,8,8,0,103,401,11,101,18,4,0,546,1166,7,178,8,7,0,1362,1997,9,252,8,3,3,2273,876,0,129,0,13,3,1018,513,0,96,0,4,4,618,305,0,46,0,0,0,347,175,0,40,0,0,0,222,111,0,22,0,0,0,137,313,0,64,0,3,0,380,119,11,74,15,19,6,238,6102,186,1299,168,85,93,7918
SED24703,84,124,472,18,35,157,890,4,147,11,3,3,0,167,50,912,96,32,22,9,1115,155,396,178,84,38,5,859,146,175,142,56,9,4,527,726,254,285,86,64,4,1426,2492,247,569,117,112,17,3558,6364,118,866,78,150,24,7610,5845,43,800,41,106,18,6854,3521,26,520,21,73,9,4166,1400,11,243,9,28,14,1699,628,3,146,0,14,3,799,290,0,86,0,5,0,387,494,0,118,0,14,0,631,391,139,268,37,54,39,921,22591,2596,4806,584,720,306,31610
SED24808,16,32,82,4,10,50,200,0,27,5,4,0,0,43,19,188,49,14,9,3,275,73,93,94,48,14,3,322,173,45,142,41,13,3,424,1400,76,345,22,38,10,1881,2318,18,382,9,39,16,2774,491,8,98,8,13,4,616,29,0,20,3,0,0,56,14,0,4,0,0,0,16,7,0,0,0,0,0,6,3,0,3,0,3,0,10,0,0,0,0,0,0,0,15,0,8,0,0,0,19,85,41,60,7,9,9,216,4635,532,1285,157,143,99,6851
SED24904,17,64,203,18,118,152,576,24,52,45,18,25,5,163,132,345,230,44,103,20,865,683,233,359,59,63,9,1414,406,71,274,11,50,3,819,862,55,254,5,29,6,1211,881,16,151,14,25,4,1094,248,8,47,3,11,0,310,22,0,17,0,3,3,44,7,0,8,0,4,0,19,4,0,8,0,0,0,11,4,0,0,0,0,0,8,0,3,0,0,0,0,4,4,0,7,0,0,0,9,57,54,80,12,54,6,260,3355,901,1660,188,493,219,6803
SED25003,15,12,67,0,3,35,131,4,13,0,8,0,0,21,9,59,22,0,4,0,93,10,47,18,6,3,0,83,8,21,27,5,0,0,63,101,21,81,5,30,0,237,1785,28,263,12,17,9,2118,1374,29,136,0,25,7,1563,101,3,27,0,0,3,127,21,3,8,0,0,0,31,8,0,5,0,0,0,18,6,0,3,0,0,0,10,5,0,0,0,0,0,5,26,0,4,0,0,0,28,87,17,47,3,7,6,170,3575,235,707,33,92,53,4701
SED25102,3,9,64,3,3,45,134,0,3,3,13,0,0,22,5,45,39,3,0,0,96,21,11,51,6,9,0,97,30,7,57,0,0,0,92,74,6,71,10,7,3,168,306,7,174,8,11,3,512,578,3,137,3,3,8,730,140,0,24,0,3,0,174,39,0,10,0,0,0,46,7,0,0,0,0,0,9,6,0,4,0,0,0,8,3,0,0,0,0,0,3,3,0,4,0,0,0,3,20,3,41,3,6,3,91,1237,93,685,51,43,61,2178
SED25205,8,17,72,0,8,46,150,4,21,8,3,4,0,39,15,186,29,22,9,4,256,50,54,47,39,9,3,205,78,24,52,0,5,0,156,320,21,109,9,6,0,467,972,19,188,3,8,4,1191,1340,16,184,3,9,3,1556,638,5,87,0,4,0,730,240,0,26,0,0,0,261,98,0,7,0,0,0,104,36,0,5,0,0,0,45,17,0,3,0,0,0,23,42,0,8,0,0,0,46,75,27,47,0,10,3,163,3935,391,874,78,52,70,5397
SED25302,3,14,74,3,4,66,167,0,5,8,0,4,0,25,3,173,25,9,5,0,221,19,58,46,3,6,3,129,22,27,46,3,13,3,114,122,9,60,0,7,0,207,561,19,154,0,9,3,752,872,10,153,0,7,3,1043,486,0,55,0,3,0,546,162,0,23,0,3,0,186,98,0,9,0,0,0,102,42,0,3,0,0,0,49,23,0,3,0,0,0,24,35,0,8,0,0,0,45,42,22,43,5,6,0,123,2487,337,706,33,78,80,3721
SED25402,4,79,122,19,17,57,301,14,163,23,14,7,3,224,271,334,134,18,13,11,786,873,242,248,61,40,9,1466,559,50,226,18,14,7,873,854,22,224,9,10,7,1120,714,10,121,0,9,0,858,263,0,36,0,4,0,305,17,0,10,0,0,0,29,3,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,12,57,43,55,9,16,3,180,3635,949,1211,149,127,96,6173
SED25501,14,9,123,3,4,54,203,0,9,11,0,0,0,19,15,50,41,3,3,0,111,8,22,63,13,0,0,107,11,13,29,5,3,0,60,31,8,56,5,3,0,109,277,12,116,4,6,3,413,1563,9,241,5,10,3,1830,1105,3,161,3,12,4,1287,493,0,72,0,4,3,578,157,0,20,0,0,0,179,56,0,13,0,3,0,67,20,0,3,0,0,0,27,50,0,7,0,0,0,64,80,7,63,4,14,3,172,3881,139,1012,43,74,71,5224
SED25605,14,22,93,8,5,46,183,0,8,8,5,0,0,21,15,136,43,6,12,0,212,63,62,66,4,46,3,244,155,44,36,8,15,3,255,330,31,87,12,12,0,476,1155,36,238,4,35,6,1470,1252,19,153,0,13,4,1440,479,3,57,0,10,0,550,161,0,13,0,0,0,181,27,0,7,0,0,0,40,19,0,10,0,0,0,25,0,0,0,0,0,0,3,32,0,4,0,0,0,40,75,23,66,3,5,3,174,3786,383,869,40,158,76,5313
SED25704,9,58,250,14,113,138,570,15,67,40,20,19,0,162,221,345,250,42,68,12,928,529,179,376,24,62,16,1188,384,66,255,6,38,9,755,668,48,199,3,23,3,945,441,7,126,0,18,7,600,191,3,58,0,3,0,255,26,0,12,0,0,0,42,11,0,3,0,0,0,8,3,0,3,0,0,0,3,3,0,3,0,0,0,5,0,0,3,0,0,0,4,3,0,10,0,0,0,10,55,41,78,8,33,11,227,2543,814,1651,122,379,207,5714
SED25802,7,53,165,10,41,97,369,8,66,19,0,6,3,102,180,257,128,21,30,7,619,339,121,229,27,58,11,781,259,27,194,8,20,3,508,804,34,257,0,18,4,1118,928,7,182,4,10,11,1143,343,4,65,3,14,3,438,35,0,19,0,0,0,54,13,0,7,0,0,0,22,5,0,3,0,0,0,7,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,5,51,29,70,10,25,8,195,2973,600,1346,83,217,147,5362
SED25905,7,8,53,3,3,31,111,0,6,0,3,0,0,14,4,128,28,3,7,0,167,12,69,49,3,9,3,146,25,36,44,3,33,0,133,110,37,123,5,42,3,327,1409,57,286,8,26,8,1798,1114,32,149,0,26,4,1324,101,6,26,0,3,0,132,21,0,6,0,0,0,26,11,0,5,0,0,0,13,13,0,3,0,0,0,13,3,0,0,0,0,0,5,22,0,5,0,3,0,28,75,27,50,8,17,3,183,2917,410,830,37,172,54,4427
SED26005,8,7,48,0,6,41,102,5,3,0,0,0,0,15,10,71,22,0,0,6,107,12,46,37,9,0,0,108,16,27,38,3,4,0,84,52,19,87,0,14,0,175,1290,36,287,3,39,7,1654,1857,19,211,3,29,5,2124,294,0,37,0,0,0,331,46,0,6,0,4,0,55,10,3,3,0,0,0,14,3,0,4,0,3,0,13,4,0,3,0,0,0,5,21,0,3,0,3,0,28,69,14,59,0,10,4,159,3703,243,849,16,108,67,4985
SED26102,3,8,169,3,25,133,344,0,3,8,0,3,0,20,18,93,64,9,28,5,212,78,43,105,16,40,6,280,119,20,105,9,13,0,270,528,8,179,8,21,3,744,1407,23,263,3,17,9,1721,929,0,147,3,13,3,1088,248,0,48,0,6,0,302,80,0,10,0,0,0,92,35,0,6,0,0,0,43,17,0,6,0,0,0,20,8,0,0,0,0,0,8,19,0,5,0,0,0,28,57,14,80,10,12,6,178,3539,211,1189,62,187,167,5354
SED26207,5,3,104,4,5,66,184,0,3,5,0,0,0,12,11,60,20,0,0,0,97,29,24,41,8,3,0,108,27,25,35,0,0,0,89,125,11,69,0,5,3,216,862,14,212,3,14,0,1108,1347,6,195,0,12,7,1572,451,0,51,0,9,0,517,131,3,12,0,0,0,145,42,0,9,0,0,0,43,18,0,0,0,0,0,17,8,0,3,0,0,0,14,27,0,4,0,0,0,33,55,11,50,8,10,0,130,3133,160,806,26,56,86,4276
SED26303,18,71,111,9,6,88,297,0,46,5,17,3,3,72,23,341,42,10,10,3,434,92,95,77,20,3,0,291,181,74,53,14,5,0,327,845,39,106,14,6,4,1012,1586,46,239,15,14,4,1903,1915,22,294,9,11,5,2263,1407,4,221,0,9,3,1648,755,3,95,0,0,0,854,313,0,40,0,0,0,351,117,0,34,3,0,0,150,47,0,9,0,0,0,53,75,0,10,0,0,0,89,108,56,63,11,14,13,257,7476,804,1400,118,74,137,10011
SED26406,26,20,130,14,6,77,260,3,13,4,10,0,0,34,51,197,77,29,18,0,378,108,52,170,19,18,0,373,107,20,89,7,11,3,244,900,28,143,6,27,4,1109,1837,29,292,9,24,6,2202,2709,12,361,4,34,5,3125,1292,11,198,4,17,6,1524,484,0,88,3,7,4,588,193,0,51,0,3,0,247,74,0,22,0,0,0,98,37,0,12,0,0,0,47,83,0,28,0,5,0,114,153,28,109,16,9,17,330,8057,409,1779,124,177,125,10677
SED26504,5,34,160,6,63,126,398,0,29,24,8,6,7,79,98,312,162,21,41,8,639,427,157,293,24,30,9,943,325,47,219,5,16,4,624,695,43,227,5,28,7,1005,648,8,147,0,10,7,825,246,3,59,0,4,0,308,19,0,14,0,0,0,27,4,0,4,0,0,0,5,5,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,5,0,15,32,45,68,4,28,9,193,2509,697,1382,78,235,185,5077
SED26603,19,32,115,5,9,81,261,4,26,7,0,3,0,41,30,235,49,16,8,3,340,92,84,83,15,11,3,285,92,36,68,16,6,0,213,351,34,133,11,21,6,550,2022,42,396,3,51,5,2509,2699,7,334,3,14,10,3069,718,4,92,3,3,6,822,150,0,28,0,3,0,181,48,0,12,0,0,0,56,23,0,7,0,0,0,29,10,0,0,0,0,0,10,52,0,10,0,7,0,63,147,29,64,10,21,15,289,6446,534,1392,76,153,133,8733
SED26708,8,23,220,6,165,202,610,4,22,31,7,6,0,74,64,188,172,21,51,10,511,231,83,306,35,47,10,711,267,35,233,6,27,3,576,467,13,222,0,18,3,726,432,4,156,0,16,6,609,247,3,92,0,8,3,346,37,0,12,0,0,0,46,9,0,4,0,0,0,9,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,12,35,24,81,14,63,6,226,1803,395,1535,89,412,240,4471
SED26806,38,60,217,3,18,115,454,9,86,7,3,0,0,110,29,695,52,24,10,6,813,89,194,115,49,4,0,452,150,89,93,11,3,4,350,769,51,183,14,10,7,1041,2679,60,389,12,24,13,3172,5033,49,585,4,24,10,5701,3158,0,371,3,13,8,3562,1779,5,284,0,13,3,2081,800,0,101,0,3,0,907,377,0,49,0,4,0,433,197,0,30,0,0,0,235,430,0,77,0,6,0,512,246,92,115,12,19,14,504,15790,1390,2678,140,143,192,20325
SED26903,23,74,132,6,12,82,334,3,52,15,6,0,0,86,39,578,67,17,20,6,727,123,185,127,27,11,3,474,172,95,81,6,4,3,368,590,77,169,9,20,3,861,2582,101,427,0,53,7,3171,2280,61,314,6,21,6,2695,500,5,90,0,7,0,599,88,3,28,0,3,0,121,31,0,14,0,0,0,46,11,0,4,0,0,0,13,5,0,3,0,0,0,6,63,3,9,0,0,0,72,128,113,81,19,19,15,372,6641,1351,1550,104,166,141,9953
SED27003,23,134,129,14,14,71,388,10,199,11,11,0,0,226,25,1161,58,69,13,21,1349,62,557,68,68,9,5,770,61,294,44,71,0,0,470,325,259,112,41,8,3,752,1196,217,295,38,26,4,1786,2656,98,397,6,8,7,3172,2604,17,447,0,9,5,3085,1871,8,323,0,6,3,2203,971,3,152,3,3,3,1133,516,4,79,0,3,3,600,253,0,44,0,0,0,305,297,0,55,0,0,3,359,180,157,93,30,8,17,481,11044,3100,2312,353,131,151,17082
SED27101,7,24,89,6,3,58,187,5,19,5,0,0,3,33,20,216,56,17,0,3,316,32,70,80,88,11,3,278,30,37,45,7,0,3,127,215,26,120,17,4,3,379,1737,36,258,10,14,11,2068,2122,18,260,3,20,3,2425,558,4,66,0,8,3,636,133,0,16,4,0,0,160,27,0,11,0,3,0,47,10,0,3,0,0,0,13,4,0,0,0,0,0,4,23,0,4,0,0,0,27,100,43,53,7,13,6,219,5025,490,1078,161,76,99,6925
SED27208,7,56,197,20,61,178,519,6,40,41,9,12,0,114,149,253,265,45,52,14,773,485,95,372,25,59,16,1054,326,42,259,6,19,3,653,543,24,199,0,20,0,793,325,7,101,3,11,0,441,130,3,27,0,11,0,170,19,0,7,0,0,0,30,0,0,3,0,0,0,3,4,0,3,0,0,0,9,0,0,0,0,0,0,4,0,0,8,0,0,0,9,4,0,6,0,0,0,19,26,39,76,12,35,11,204,2036,564,1567,123,290,223,4799
SED27305,11,8,54,0,5,20,96,0,0,3,3,0,0,13,0,42,17,0,0,0,63,10,33,13,0,0,0,61,3,18,24,0,0,0,52,21,13,23,6,0,0,63,237,18,94,0,3,3,347,1042,22,125,0,4,3,1200,375,0,44,0,0,0,424,59,3,11,0,3,0,77,22,0,3,0,0,0,24,5,0,4,0,0,0,15,5,0,0,0,0,0,8,8,0,3,0,0,0,14,38,14,29,0,0,4,90,1840,176,451,17,22,33,2534
SED27406,6,7,99,0,3,60,184,0,10,8,3,3,0,30,10,167,27,8,10,3,224,18,64,35,10,7,0,134,53,22,39,3,0,3,129,252,18,73,12,4,3,361,756,22,155,0,5,3,936,1295,7,198,6,3,7,1513,651,0,125,0,0,3,781,350,0,63,0,0,0,413,200,0,26,0,3,0,226,169,0,29,0,0,0,205,107,0,13,0,3,0,121,187,0,39,0,4,0,232,68,28,29,7,9,11,151,4128,347,961,60,49,94,5643
SED27504,10,46,122,13,69,114,369,13,30,30,10,26,7,114,149,362,167,46,74,16,811,628,212,328,44,82,26,1319,602,143,259,21,59,9,1105,958,39,311,15,33,4,1360,930,21,195,9,37,3,1204,318,11,86,3,12,0,422,38,0,9,0,0,0,47,7,0,7,0,0,0,12,4,0,3,0,0,0,8,0,0,3,0,0,0,4,4,0,0,0,0,0,3,0,0,6,0,0,0,14,68,55,68,8,36,17,259,3731,929,1600,172,440,200,7064
SED27608,6,13,85,3,15,57,179,5,10,16,8,0,0,37,24,98,70,17,0,4,210,69,43,130,32,8,3,291,61,20,76,28,5,3,186,234,7,130,9,7,4,394,911,23,239,18,14,3,1211,1457,5,269,8,14,6,1751,486,0,96,0,4,0,584,118,0,18,0,0,0,135,30,0,16,0,0,0,42,11,0,15,0,0,0,25,3,0,10,0,0,0,17,19,0,17,0,0,0,35,39,21,48,21,10,12,151,3465,243,1222,146,77,87,5246
SED27708,5,51,162,9,80,105,412,7,46,20,4,8,0,86,131,389,144,27,35,4,728,418,165,273,46,43,3,942,429,78,203,10,20,6,738,808,82,246,15,25,7,1178,975,12,240,4,19,3,1260,482,3,96,3,13,0,599,64,0,15,0,4,3,84,14,0,0,0,0,0,14,0,0,3,0,0,0,4,0,0,3,0,0,0,5,0,0,0,0,0,0,3,3,0,10,0,0,0,11,52,49,55,13,27,11,216,3390,881,1469,133,271,142,6293
SED27807,25,26,168,10,8,87,324,13,15,17,0,4,0,48,29,212,78,16,17,0,352,154,124,143,26,27,3,481,279,63,139,23,32,3,543,736,35,332,13,89,13,1215,2299,74,685,9,175,30,3274,722,17,164,3,44,11,961,62,0,25,0,3,0,87,5,0,14,0,0,0,22,12,0,3,0,3,0,22,4,0,7,0,3,0,12,0,0,0,0,0,0,5,42,0,14,0,3,0,59,100,48,112,12,24,24,318,4483,630,1888,113,438,175,7724
SED27907,7,11,78,0,0,38,137,0,8,5,0,0,0,7,9,105,28,3,3,0,147,32,40,67,11,3,4,152,49,10,63,3,0,0,127,276,5,131,9,6,0,436,1647,18,297,3,19,4,1993,1052,13,164,0,4,3,1236,106,0,28,0,0,3,134,28,0,5,0,0,0,43,12,0,8,0,0,0,22,8,0,5,0,0,0,7,4,0,0,0,0,0,4,24,0,3,0,0,0,28,64,15,52,4,3,3,143,3311,233,933,34,47,56,4620
SED28007,3,3,73,6,5,33,120,0,0,6,0,3,0,12,11,14,15,0,0,0,41,7,70,32,22,3,0,133,13,3,34,0,0,0,55,58,3,87,0,6,0,158,1136,8,248,7,37,4,1435,1144,8,173,3,18,9,1350,182,0,23,0,4,0,216,19,0,8,0,0,0,26,10,0,3,0,0,0,12,7,0,4,0,0,0,11,4,0,0,0,0,0,7,18,0,3,0,0,0,24,75,15,46,3,10,5,157,2678,119,751,47,98,57,3752
SED28107,19,9,73,7,5,31,141,3,5,3,0,3,0,12,9,30,40,3,7,4,93,27,22,52,9,19,3,130,28,21,55,3,11,0,127,352,16,165,16,10,4,569,3576,7,487,5,53,13,4146,1686,3,181,3,21,6,1894,178,0,37,0,5,0,218,24,0,6,0,3,0,38,18,0,3,0,0,0,27,9,0,3,0,0,0,13,4,0,0,0,0,0,6,46,0,12,0,0,0,55,121,11,52,3,6,16,206,6089,123,1163,59,144,75,7656
SED28203,23,11,111,4,0,60,212,6,4,0,0,0,0,8,13,64,34,6,3,0,121,42,54,63,9,14,3,185,37,20,52,8,4,0,120,308,33,118,17,23,3,495,2151,37,396,16,92,13,2696,1203,14,148,0,29,6,1401,98,3,26,0,10,0,131,19,0,4,0,0,3,26,10,0,5,0,0,0,17,6,0,0,0,0,0,14,3,0,3,0,0,0,6,32,0,10,0,0,0,46,80,16,69,3,11,15,203,4028,259,1029,62,190,103,5675
SED28301,12,6,96,0,4,56,172,0,3,0,0,0,0,9,7,59,22,0,3,0,91,6,16,32,6,7,0,73,5,4,19,0,6,0,38,27,4,42,0,3,0,76,198,3,99,3,3,0,306,888,3,147,0,9,6,1049,566,0,78,0,6,0,656,265,0,26,0,0,0,299,77,0,5,0,0,0,84,24,0,3,0,0,0,34,12,0,0,0,0,0,9,44,0,8,0,0,0,52,50,15,52,5,9,5,138,2194,111,635,27,52,71,3086
SED28408,8,44,60,6,15,42,190,6,42,11,16,3,0,88,199,408,87,35,13,16,762,525,167,137,41,13,4,890,436,90,186,20,11,3,746,1470,90,263,21,17,4,1872,1472,18,168,3,15,8,1680,510,4,71,5,9,3,602,75,0,16,0,4,0,104,17,0,10,0,0,0,30,9,4,3,0,0,0,14,4,0,3,0,0,0,8,3,0,0,0,0,0,5,0,0,4,0,0,4,7,64,47,44,22,11,8,196,4811,921,1069,180,107,102,7181
SED28507,23,15,91,0,0,55,186,5,18,6,3,0,0,26,9,161,34,7,9,3,221,53,83,94,11,8,3,260,140,40,135,12,10,3,333,1135,39,275,23,23,3,1495,3024,56,416,3,42,5,3546,454,13,81,0,10,3,555,37,0,22,0,0,0,62,15,0,3,0,3,0,21,12,0,3,0,0,0,16,3,0,0,0,0,0,5,0,0,0,0,0,0,6,26,0,5,0,0,0,29,110,35,64,8,10,10,230,5031,457,1230,62,126,81,6990
SED28607,7,37,96,6,5,62,215,3,47,12,6,0,0,66,28,319,48,23,11,3,433,117,124,86,40,11,4,389,128,55,74,13,12,7,289,497,40,117,29,17,0,707,1091,20,259,17,35,8,1431,1697,20,250,8,25,3,2001,1292,3,161,0,11,4,1474,576,0,64,3,0,0,640,209,5,26,0,0,0,242,81,0,12,0,0,0,90,41,0,7,0,0,0,52,58,0,8,0,3,0,67,98,53,82,9,13,10,269,5932,744,1289,146,147,100,8365
SED28704,5,7,74,7,6,41,149,4,3,3,0,0,0,7,17,47,24,0,0,0,86,20,14,38,0,3,3,79,18,5,43,3,3,0,76,143,14,77,15,16,0,268,1517,16,222,6,12,9,1783,1631,3,148,0,6,9,1800,170,0,41,0,5,0,215,48,0,8,0,0,0,60,18,0,3,0,0,0,26,8,0,3,0,0,0,11,4,0,0,0,0,0,3,17,0,7,0,0,0,25,74,13,38,6,10,6,147,3700,125,737,34,72,67,4740
SED28803,20,7,69,4,11,41,142,3,9,3,3,3,0,13,8,32,17,3,3,0,64,8,28,24,7,15,4,79,9,36,38,3,6,0,92,56,30,86,5,8,5,193,1950,18,359,12,73,11,2429,1712,22,198,0,47,4,1986,120,0,32,0,6,4,161,21,0,6,0,0,0,31,12,0,3,0,0,0,23,11,0,3,0,0,0,10,10,0,0,0,0,0,7,43,0,7,0,0,0,51,73,16,47,7,15,19,168,4048,200,894,46,182,82,5460
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
