SED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED25003,19,35,191,174,59,789,43,308,31,1640,131,374,610,480,393,827,173,340,57,3395,719,1780,1358,835,1127,666,575,570,126,7756,967,1565,1057,783,1211,570,642,610,114,7528,905,977,998,769,1435,678,752,768,132,7419,452,548,574,547,799,379,550,611,60,4512,59,82,73,75,97,41,81,103,19,633,9,0,6,4,3,3,3,11,3,46,0,0,0,0,0,0,0,0,5,8,3255,5362,4869,3664,5133,3952,2821,3316,556,32927
SED25102,23,36,234,344,49,528,29,359,26,1632,116,247,605,504,227,427,96,311,34,2562,491,1214,1149,529,576,348,191,353,72,4925,1078,1825,1031,606,818,348,233,367,102,6404,1236,1556,1099,684,1152,396,347,443,116,7021,885,1332,780,537,866,333,289,415,67,5501,223,355,144,102,177,84,78,113,28,1306,25,26,7,6,9,4,5,15,3,114,0,3,7,0,0,0,0,4,0,16,4072,6595,5061,3313,3882,2466,1267,2385,445,29478
SED25205,12,34,137,310,46,642,35,246,17,1477,101,322,408,482,276,555,83,220,37,2490,731,1928,985,589,767,471,149,240,77,5941,1518,2530,958,623,1178,503,209,265,125,7911,1475,1932,927,703,1363,598,299,376,127,7802,692,1097,611,400,890,364,283,323,52,4728,130,225,115,82,237,98,65,101,11,1061,18,26,10,3,12,8,7,14,3,111,3,6,0,0,0,0,0,0,9,20,4687,8097,4156,3200,4776,3238,1133,1785,469,31541
SED25302,20,31,191,380,72,633,23,355,24,1725,97,196,427,396,160,417,55,212,30,1982,407,920,764,401,380,272,69,208,57,3471,1309,1769,888,598,769,522,136,263,82,6331,1477,1850,914,713,1092,602,216,395,107,7357,913,1255,600,413,821,387,200,330,57,4969,297,411,157,116,264,160,65,107,30,1593,37,58,12,7,24,15,3,24,11,199,3,8,3,0,0,0,0,0,9,25,4555,6500,3949,3021,3580,3008,753,1894,391,27652
SED25402,30,15,227,208,49,691,29,327,23,1594,117,265,617,448,295,422,85,292,49,2582,397,1136,1131,601,764,468,360,519,104,5479,581,903,862,544,807,413,439,564,85,5204,697,878,993,650,932,401,579,645,96,5873,542,756,694,512,677,275,508,553,99,4623,198,167,133,91,109,63,81,119,32,997,46,16,12,8,7,13,3,10,5,127,11,0,0,0,0,0,4,0,4,24,2622,4137,4666,3065,3643,2744,2095,3024,502,26503
SED25501,14,61,38,223,71,500,14,183,29,1131,99,495,241,445,347,598,67,240,51,2586,589,2068,538,404,746,463,123,317,93,5344,1120,2312,494,377,750,355,131,238,109,5872,1390,2188,638,502,986,414,218,368,106,6816,660,1395,439,260,667,278,176,267,56,4203,123,364,83,84,207,81,41,71,24,1068,23,48,12,14,30,18,4,18,16,189,11,8,0,0,3,0,0,0,6,34,4026,8932,2493,2306,3812,2707,777,1697,489,27241
SED25605,16,29,44,142,48,432,22,177,24,934,108,369,302,384,322,557,137,352,65,2598,631,1876,913,612,893,566,405,596,151,6638,886,1651,734,528,813,388,378,463,109,5942,884,1190,682,474,902,420,494,585,105,5731,549,843,505,364,645,272,373,468,64,4085,159,246,129,77,211,73,88,147,25,1156,26,31,15,0,24,11,3,13,5,133,0,0,3,0,4,0,0,0,3,18,3255,6244,3322,2581,3870,2707,1902,2805,551,27233
SED25704,57,20,252,241,57,623,30,382,29,1694,139,184,554,322,167,259,89,383,43,2142,648,899,820,467,367,350,230,601,43,4434,999,807,687,476,552,402,313,622,69,4933,1281,808,706,675,770,526,531,870,70,6242,1249,684,593,552,644,403,488,775,86,5477,539,155,108,106,131,81,129,173,34,1454,138,19,15,8,17,7,17,35,22,276,19,8,3,3,5,0,0,3,4,45,5074,3579,3749,2859,2705,2663,1826,3843,397,26699
SED25802,52,18,300,248,74,492,37,447,33,1703,135,209,646,410,212,370,109,382,32,2511,518,954,1166,569,587,404,325,613,86,5219,814,973,896,563,708,348,396,594,116,5408,1083,1050,1053,753,884,465,571,818,100,6772,914,996,735,513,675,327,515,652,98,5418,420,233,139,88,175,70,128,148,42,1441,152,19,12,8,22,8,8,20,15,253,24,0,3,3,0,0,0,3,4,44,4113,4462,4951,3159,3331,2474,2084,3673,521,28768
SED25905,15,33,188,234,73,690,33,292,33,1604,153,359,634,483,405,724,195,370,75,3385,634,1424,1230,623,959,581,482,598,149,6686,743,1210,1068,617,979,465,500,550,107,6245,854,959,1135,763,1200,520,813,799,113,7155,518,655,760,448,865,355,603,623,86,4912,99,127,121,55,136,72,85,119,17,832,9,9,8,3,6,0,6,10,6,59,0,0,0,0,0,0,0,3,4,7,3034,4780,5146,3235,4629,3400,2722,3361,588,30891
SED26005,28,40,272,305,98,957,53,454,32,2243,150,341,739,593,430,774,269,505,90,3887,687,1422,1361,767,1053,587,622,731,144,7372,1271,1995,1576,977,1563,668,857,892,175,9975,1107,1238,1352,960,1575,603,1082,1009,133,9065,468,622,644,469,789,292,647,645,88,4654,67,88,95,61,117,58,80,118,17,702,5,11,4,3,6,0,9,8,3,56,4,0,0,0,0,0,0,0,0,6,3796,5755,6048,4133,5629,3935,3612,4366,693,37964
SED26102,16,12,174,256,11,448,19,240,28,1202,86,108,459,334,120,292,39,241,34,1703,401,618,936,475,317,327,108,315,41,3524,699,861,900,471,501,414,172,391,62,4466,893,1028,993,614,659,445,251,539,87,5505,779,1061,755,470,710,454,266,481,83,5048,315,417,181,122,259,192,78,148,60,1764,54,62,8,8,28,13,9,20,15,219,9,3,3,0,8,3,0,0,10,39,3240,4177,4403,2742,2607,2590,937,2367,399,23464
SED26207,15,37,93,229,76,573,24,183,24,1250,105,349,381,447,342,619,90,176,49,2538,630,1775,864,510,783,442,201,294,94,5604,1167,1668,784,442,1087,451,277,337,123,6340,1219,1472,798,538,1280,512,363,371,130,6679,627,911,480,327,839,336,324,330,82,4251,132,223,136,64,231,81,84,106,40,1097,19,27,14,3,16,15,7,9,12,124,0,0,0,0,0,0,0,0,3,10,3919,6468,3548,2562,4646,3019,1371,1817,555,27902
SED26303,6,35,46,238,38,367,14,135,8,888,153,517,311,679,377,580,63,246,54,2983,1246,4386,1069,1099,1217,727,170,395,147,10445,1723,3992,651,569,985,399,166,233,118,8835,1373,2868,568,486,936,331,202,274,95,7128,575,1482,302,253,515,168,153,234,52,3741,96,263,51,54,91,35,29,65,14,702,4,15,9,10,5,4,3,11,11,82,3,3,0,0,0,0,0,0,0,18,5186,13570,3012,3373,4166,2618,810,1591,503,34822
SED26406,12,71,61,283,78,536,31,181,11,1246,127,611,345,684,386,761,106,352,43,3413,1054,3737,1122,873,1310,841,237,587,149,9913,1434,2969,766,440,993,456,200,315,121,7696,1184,1935,670,475,1032,417,241,332,86,6367,522,1077,426,314,644,252,188,267,62,3752,96,213,108,82,158,65,44,92,16,875,15,30,6,7,18,8,13,15,10,106,0,4,3,0,0,3,0,0,15,25,4442,10651,3503,3150,4615,3345,1052,2134,504,33396
SED26504,22,16,238,239,48,546,28,386,26,1536,106,159,427,313,120,219,93,318,36,1787,464,760,752,435,324,270,215,539,56,3816,768,900,743,496,543,379,284,532,92,4723,1003,904,736,676,725,438,502,766,77,5838,964,830,509,541,614,353,477,665,69,5014,456,162,92,85,123,99,97,141,33,1305,146,20,5,5,25,10,8,19,24,261,25,0,0,3,3,3,3,6,8,48,3947,3743,3505,2797,2517,2328,1713,3373,414,24335
SED26603,9,20,98,158,46,456,22,199,20,1029,126,412,460,548,406,709,137,475,59,3331,1096,3412,1504,1037,1375,742,473,860,203,10708,1411,2958,1046,678,1271,518,368,444,125,8817,970,1664,845,646,1195,426,393,519,99,6748,441,781,507,356,635,239,305,357,53,3665,74,111,89,73,92,51,72,87,18,668,7,16,5,8,13,4,0,19,3,78,3,4,0,0,3,0,0,0,3,12,4134,9370,4553,3498,5032,3148,1771,2970,585,35060
SED26708,64,12,264,215,37,471,29,451,33,1580,157,143,443,315,118,224,107,508,32,2044,676,721,831,432,373,303,273,695,73,4373,1101,863,805,485,552,346,400,677,83,5315,1480,922,816,747,695,411,493,826,109,6508,1347,861,618,547,551,351,425,714,98,5507,735,211,121,87,167,94,127,199,46,1778,184,24,13,6,15,12,7,27,21,305,26,6,3,4,0,5,3,4,13,67,5761,3752,3923,2849,2506,2208,1859,4100,503,27478
SED26806,22,44,37,196,39,191,3,85,12,630,312,1076,354,853,627,785,47,219,68,4333,2964,8644,1531,1539,2263,1494,184,495,314,19420,2052,3697,581,521,983,558,61,181,116,8747,1361,1987,312,333,708,322,77,160,102,5370,778,1386,180,208,488,229,67,128,61,3530,297,609,49,66,205,114,29,53,41,1466,58,108,7,3,31,14,4,8,8,235,15,18,3,0,6,3,0,0,11,52,7856,17561,3060,3721,5337,3711,466,1320,737,43777
SED26903,6,23,73,126,34,437,22,183,20,919,121,324,362,554,331,593,101,431,54,2874,822,2640,1396,1066,1116,704,434,854,151,9179,1006,2322,957,660,1078,451,354,557,116,7514,686,1236,752,561,990,402,414,565,116,5715,323,587,423,344,513,233,340,444,65,3274,64,76,79,59,85,49,60,99,25,582,6,9,6,0,7,0,0,13,3,50,0,3,0,0,3,3,0,3,3,20,3038,7224,4043,3368,4157,2868,1723,3148,558,30117
SED27003,12,29,25,175,36,265,11,97,7,658,240,935,292,884,485,635,51,209,57,3774,2726,8789,1426,1541,1936,1279,178,459,304,18640,2118,4027,595,489,934,424,133,241,178,9135,1252,2248,398,363,655,260,135,261,110,5699,731,1461,232,216,428,187,98,169,52,3565,186,494,65,55,153,45,21,54,30,1101,18,32,12,3,13,9,4,8,0,87,9,8,4,0,0,0,0,0,3,23,7296,18028,3052,3731,4642,3091,625,1491,739,42686
SED27101,19,30,112,228,62,526,27,253,15,1277,97,350,388,446,296,477,95,243,36,2426,813,2594,1097,702,940,577,234,425,110,7494,1322,2684,912,586,1071,435,206,347,110,7670,981,1720,782,612,1125,414,246,410,72,6368,501,1065,451,408,759,279,231,349,47,4096,134,280,87,91,176,105,53,91,20,1040,12,30,11,11,9,10,6,12,11,112,3,0,0,0,0,0,0,0,0,6,3891,8745,3849,3076,4448,2823,1105,2129,427,30488
SED27208,32,14,180,195,40,541,23,363,25,1411,128,145,420,277,111,243,62,409,23,1815,463,693,710,484,372,277,243,621,64,3917,748,715,718,587,544,331,352,606,77,4666,1007,782,683,812,748,397,473,830,88,5824,1063,742,636,641,521,307,448,747,93,5205,560,187,113,116,152,81,94,168,35,1496,130,10,14,9,17,8,3,29,22,246,25,4,7,3,3,9,4,5,7,63,4157,3290,3477,3127,2496,2182,1700,3786,425,24644
SED27305,21,43,199,297,81,809,46,315,20,1832,160,390,526,503,385,706,119,263,42,3095,540,1469,829,474,713,477,196,245,72,5011,1068,1575,862,450,1002,432,259,314,112,6072,1285,1413,1031,604,1507,626,436,467,104,7478,697,906,675,347,934,385,378,440,64,4830,97,158,105,63,148,72,79,79,12,816,14,13,4,4,3,5,0,9,11,68,3,0,0,0,3,0,0,0,0,6,3886,5970,4224,2739,4770,3522,1518,2146,433,29211
SED27406,20,31,66,349,62,505,16,211,12,1278,126,344,256,509,291,489,52,139,28,2221,667,1722,595,414,557,402,91,160,57,4663,1629,2362,500,410,802,401,78,127,93,6402,1993,2386,608,499,1114,519,125,191,90,7522,1080,1620,400,321,825,370,120,183,85,5003,269,481,114,103,284,145,38,72,26,1531,27,52,7,12,24,23,5,6,9,165,6,7,0,0,3,0,0,0,7,26,5809,9006,2542,2613,3970,2845,525,1092,399,28813
SED27504,48,34,228,232,106,783,26,415,54,1925,158,263,544,362,217,369,112,424,45,2497,674,1280,1027,564,573,425,307,813,85,5732,953,1125,761,591,700,414,387,728,98,5764,1114,1053,781,661,941,517,535,883,83,6567,903,862,528,541,668,345,514,745,74,5182,301,203,104,118,146,107,143,186,39,1351,72,15,13,7,19,9,11,15,12,178,10,3,3,3,5,0,0,4,8,39,4228,4832,3992,3084,3378,2977,2038,4213,498,29239
SED27608,15,28,183,378,71,853,34,404,29,2006,148,409,604,701,276,702,120,400,37,3400,710,2142,1261,816,679,511,228,406,79,6832,1232,2351,1061,750,1006,553,270,397,109,7729,1155,1831,905,832,1114,544,310,424,98,7213,704,1261,625,485,776,421,264,356,67,4965,225,281,80,104,198,87,68,98,29,1165,34,29,7,3,6,6,3,21,6,125,3,3,0,0,3,0,0,0,6,21,4239,8342,4726,4078,4125,3684,1286,2507,467,33450
SED27708,46,26,205,264,74,814,40,478,36,1973,152,231,510,395,162,406,143,451,37,2480,455,1044,991,547,432,394,333,710,58,4957,835,1208,855,589,663,361,412,614,74,5612,1073,1188,838,700,890,478,669,806,102,6748,932,936,546,555,655,370,533,695,76,5296,407,165,94,81,126,78,108,173,33,1271,126,13,7,5,16,15,9,25,22,240,19,0,3,3,3,3,0,3,6,31,4042,4808,4046,3130,3014,2923,2245,3957,451,28611
SED27807,18,25,99,146,47,416,22,237,31,1051,120,343,484,500,363,662,291,666,100,3544,566,1426,1361,960,1038,627,948,1213,229,8370,519,944,912,631,718,352,737,953,163,5939,422,552,746,566,620,345,885,1021,129,5285,249,390,501,383,511,207,610,825,88,3763,40,83,69,59,80,44,98,147,24,653,7,8,3,0,4,3,3,9,9,44,0,0,0,0,0,0,0,0,3,3,1953,3775,4187,3236,3388,2661,3597,5077,778,28639
SED27907,17,23,186,235,54,629,41,283,21,1488,115,250,607,457,339,527,160,325,56,2831,618,1307,1320,696,1020,513,417,435,105,6438,832,1164,979,676,1138,434,525,425,89,6270,860,942,845,745,1296,522,640,534,104,6494,560,756,563,505,911,363,474,402,73,4602,108,152,99,110,161,94,107,122,27,993,15,11,8,4,11,0,6,6,0,58,3,3,3,0,0,0,0,0,5,16,3127,4617,4620,3433,4920,3079,2369,2529,475,29178
SED28007,33,35,198,292,93,894,34,360,29,1972,157,449,585,503,490,808,206,393,71,3670,798,1744,1300,746,1350,677,689,570,173,8051,1306,1873,1306,779,1667,728,773,735,176,9337,1095,1120,1134,804,1610,703,948,844,140,8387,533,548,592,380,728,351,588,597,67,4387,72,78,63,45,77,65,69,108,12,595,0,0,4,0,6,4,3,4,3,27,0,0,0,0,0,0,0,0,0,8,3992,5849,5186,3556,6023,4222,3305,3615,677,36432
SED28107,18,25,198,201,77,749,63,350,30,1705,143,307,557,524,443,752,414,508,94,3739,1223,2952,1758,1690,2085,1154,1706,1145,309,14018,1322,2650,1420,1343,1822,724,1372,893,204,11758,848,1138,955,882,1327,475,1145,761,136,7662,405,560,478,449,764,276,661,507,61,4157,64,61,70,59,107,53,94,108,18,630,4,4,4,3,3,0,4,7,3,37,0,0,0,0,0,0,3,0,3,12,4018,7694,5438,5147,6624,4176,5456,4280,867,43703
SED28203,11,24,95,92,42,480,15,199,23,983,110,234,397,353,300,577,184,363,62,2587,675,1506,1416,915,1128,716,837,886,186,8274,665,1154,989,679,914,500,790,777,123,6580,381,452,681,516,677,354,692,794,95,4644,212,257,409,324,383,196,478,596,54,2913,47,50,93,41,70,31,98,115,18,554,10,3,8,3,3,4,3,13,5,51,0,0,0,0,0,0,0,0,3,13,2110,3683,4079,2928,3527,2856,3092,3748,581,26597
SED28301,16,52,110,331,93,632,27,289,22,1572,141,441,352,467,328,657,61,212,41,2700,594,1647,579,374,591,405,94,167,80,4526,1221,1966,587,401,794,381,100,177,81,5716,1595,2039,857,619,1216,509,191,329,105,7461,1013,1434,540,364,818,374,159,271,67,5047,256,423,124,90,266,105,52,79,30,1431,39,61,26,9,30,15,4,13,5,203,3,4,0,0,0,0,0,3,4,17,4885,8066,3186,2656,4140,3079,690,1534,445,28675
SED28408,16,22,176,286,46,649,18,318,27,1566,130,306,506,508,237,456,59,320,36,2555,439,1470,916,612,569,483,221,427,64,5207,668,1466,652,532,650,335,243,406,77,5031,831,1323,651,608,875,394,303,533,93,5611,521,1013,452,443,656,312,310,427,46,4174,114,201,98,70,125,82,77,96,28,899,28,26,4,6,16,4,12,12,5,117,4,0,0,3,0,0,0,4,3,16,2756,5833,3457,3080,3172,2712,1243,2544,377,25176
SED28507,21,30,175,183,65,549,51,270,17,1362,122,214,570,451,343,585,256,423,46,3000,669,1473,1267,907,1170,716,889,771,132,7997,807,1263,992,862,1159,497,842,651,140,7211,683,798,850,731,1183,431,841,701,105,6322,466,579,526,421,720,286,609,498,77,4182,99,121,94,62,140,61,114,108,18,822,9,9,9,3,3,3,3,15,4,51,0,3,0,0,0,0,0,0,0,13,2865,4498,4482,3620,4786,3132,3601,3448,531,30961
SED28607,11,34,68,243,52,484,20,203,19,1138,136,377,330,516,335,528,85,234,50,2593,1229,3081,1065,745,1111,593,285,437,134,8677,2282,3581,863,612,1258,521,258,324,137,9837,1715,2451,790,531,1206,447,348,369,152,8013,707,1316,448,338,709,230,284,342,71,4443,129,246,71,63,114,57,58,78,18,842,19,12,7,4,5,8,0,3,4,66,3,3,3,0,0,0,0,0,3,12,6228,11104,3660,3057,4794,2871,1340,1987,582,35618
SED28704,24,33,300,282,85,815,33,434,39,2038,150,313,784,604,364,606,145,358,55,3375,914,2007,2108,1128,1384,748,587,618,138,9634,1519,2096,1580,989,1633,689,623,546,166,9836,1310,1471,1289,917,1497,643,590,600,139,8457,742,930,676,518,965,389,409,389,84,5114,171,170,125,86,192,84,94,86,26,1033,20,24,13,4,9,8,4,11,4,100,3,0,0,0,3,3,0,0,0,17,4847,7050,6863,4528,6141,3989,2486,3048,642,39601
SED28803,27,36,189,225,96,833,51,417,50,1918,188,398,674,612,494,892,309,508,112,4184,1018,1944,1745,1189,1546,852,1100,907,208,10514,1101,1768,1371,1043,1434,594,1071,860,170,9409,994,924,1195,862,1363,592,1047,937,145,8068,487,466,556,401,764,311,597,536,73,4181,84,83,84,52,86,51,86,95,20,638,4,3,4,3,0,3,0,10,3,40,3,0,0,0,0,0,0,0,0,5,3907,5624,5810,4390,5792,4121,4264,4275,780,38954
SED29494,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
