SED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED22901,9372,6954,7288,7240,7446,7558,5310,2703,1519,55398,3,4,3,4,5,6,3,3,0,27,3,3,11,10,10,10,13,4,3,61,147,181,244,166,125,137,153,166,109,1416,4,7,13,11,9,7,8,0,0,58,0,3,0,9,3,0,10,3,0,35,0,0,0,5,5,8,6,0,3,32,0,0,3,3,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,152,196,272,207,148,167,184,176,116,1616,157,200,275,207,156,166,187,180,116,1645,9528,7154,7561,7444,7596,7729,5496,2882,1634,57038
SED23007,12443,11262,17799,11962,8935,7319,4754,2833,1260,78566,7,17,17,11,16,11,10,9,3,102,14,9,17,22,14,21,15,3,0,108,243,366,465,313,222,221,187,117,79,2215,10,28,13,16,29,17,9,3,0,122,16,6,12,14,10,17,10,0,0,87,0,0,8,3,3,5,14,0,0,43,0,4,3,0,5,19,11,3,0,43,0,0,0,0,3,0,0,0,0,3,0,3,6,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,289,418,523,373,285,299,250,123,79,2646,297,440,538,379,303,311,255,134,79,2750,12740,11703,18336,12346,9238,7632,5013,2968,1342,81315
SED23101,10002,7401,6492,7655,7615,6527,5947,4086,1750,57471,7,5,4,3,3,3,3,3,3,33,3,4,8,13,8,18,4,0,0,52,112,141,185,140,109,88,110,108,94,1086,0,0,13,3,10,7,3,0,0,47,0,3,0,0,7,3,8,3,0,31,0,0,5,3,0,3,4,0,0,17,0,3,3,0,4,5,0,0,0,12,0,0,0,0,4,0,0,0,0,6,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,114,155,206,162,149,125,136,118,97,1273,118,160,213,166,152,128,137,124,100,1300,10122,7557,6700,7819,7765,6653,6084,4213,1851,58774
SED23205,10326,7042,7764,7549,7871,7320,5712,3339,1602,58517,7,9,11,6,8,3,3,6,0,55,0,3,6,4,4,19,11,3,0,63,245,325,367,241,229,224,224,178,128,2159,3,3,12,6,3,14,13,0,0,63,0,0,6,4,7,0,5,0,0,20,0,3,3,0,7,4,3,3,4,26,0,0,0,0,6,5,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,251,338,399,264,259,273,250,188,137,2355,258,352,406,272,269,278,250,189,135,2412,10583,7394,8168,7818,8140,7593,5966,3526,1737,60925
SED23308,10118,7571,8637,7550,7941,7323,5257,3318,1832,59543,8,6,4,0,7,4,8,3,6,49,3,9,8,18,17,18,11,0,0,90,201,447,445,261,255,268,240,136,117,2363,4,4,12,17,11,23,19,0,0,92,6,0,12,9,15,6,7,0,0,44,4,3,4,4,7,9,5,0,0,38,0,0,3,3,8,10,3,0,0,28,3,0,0,0,0,0,0,0,0,5,0,0,8,8,5,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,223,465,489,309,321,333,288,140,117,2682,230,469,498,317,327,331,290,143,125,2730,10347,8047,9134,7867,8268,7654,5546,3456,1958,62277
SED23402,14149,8950,8708,8941,9319,7210,4731,2499,1045,65552,12,14,8,5,11,5,9,5,5,72,11,3,7,4,6,10,16,3,0,56,202,287,277,183,128,145,115,73,58,1461,0,3,4,0,7,8,4,3,0,37,0,3,4,0,3,3,0,0,0,16,0,0,7,0,3,5,0,0,0,17,3,0,0,0,0,0,5,0,0,13,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,215,298,301,192,151,174,141,84,56,1608,222,315,310,198,166,175,151,85,61,1681,14372,9264,9017,9139,9479,7385,4886,2579,1109,67231
SED23502,9535,5207,4948,5482,7062,8540,7933,4209,1583,54497,9,20,5,5,14,14,16,5,4,94,3,5,16,7,13,33,30,12,0,127,225,321,308,256,283,427,351,152,60,2384,4,4,15,7,5,25,16,3,0,86,0,0,0,0,9,15,14,0,0,46,6,4,7,3,9,13,13,0,0,56,7,4,0,3,8,7,17,3,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,6,3,0,21,0,0,0,0,0,0,0,0,0,0,242,348,351,288,334,529,437,174,67,2765,248,360,359,291,346,544,456,185,69,2862,9784,5572,5305,5777,7409,9077,8391,4394,1649,57352
SED23602,9710,5323,5463,5969,7308,7974,6504,3244,1430,52931,13,6,5,7,10,14,14,18,3,80,7,17,42,11,28,20,18,5,0,147,165,323,323,203,231,308,253,116,64,1986,6,16,39,16,11,16,5,0,0,117,3,3,6,4,4,5,7,0,0,38,4,4,18,3,5,14,3,5,0,55,0,3,3,4,9,5,4,0,0,31,0,0,4,0,0,0,3,0,0,15,0,0,11,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,185,372,448,243,288,380,300,135,66,2408,198,381,452,250,299,387,305,147,71,2489,9909,5707,5913,6219,7603,8362,6815,3393,1497,55417
SED23702,12549,8978,8077,8222,9705,8364,5760,2678,836,65159,10,18,12,11,8,13,9,7,0,79,3,36,49,19,9,3,15,3,0,141,240,326,273,185,137,144,116,58,40,1513,8,35,30,14,16,15,11,0,0,133,0,3,3,3,3,5,0,0,0,18,0,22,14,3,7,0,0,3,0,59,4,8,3,4,3,0,3,0,0,26,0,4,3,0,0,0,0,0,0,16,0,3,11,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,252,440,385,230,178,174,143,72,45,1915,265,459,394,236,187,186,150,78,45,1997,12812,9438,8470,8460,9894,8544,5909,2751,884,67158
SED23806,10147,9769,11337,8216,7920,6303,4806,2580,1339,62421,6,12,9,8,5,0,3,4,3,41,3,20,16,22,16,19,9,7,0,122,128,300,320,153,115,158,128,94,44,1453,6,11,17,12,18,11,8,0,0,93,6,5,8,3,5,6,6,0,0,40,0,4,3,12,6,7,17,4,0,53,3,0,0,4,3,7,6,0,0,25,5,6,0,0,0,0,0,0,0,12,0,4,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,156,358,379,208,168,209,172,115,46,1815,160,366,388,210,175,212,179,120,53,1861,10308,10137,11721,8424,8089,6519,4988,2699,1388,64281
SED23901,11286,7293,8469,8714,8349,7156,5204,3241,1899,61608,0,8,0,4,11,3,5,7,0,49,0,9,33,6,15,15,5,4,0,85,207,250,313,219,239,259,267,267,159,2178,3,27,29,8,19,15,9,3,3,110,0,0,4,7,3,5,4,0,0,26,3,0,7,9,3,8,6,0,0,30,0,0,0,6,8,4,8,5,0,31,0,3,7,0,0,0,0,0,0,18,0,3,4,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,221,298,390,248,287,300,303,281,166,2494,219,311,393,254,298,309,304,286,170,2539,11509,7600,8862,8968,8648,7464,5504,3528,2064,64151
SED24006,10653,9433,6501,6958,9452,7397,5130,3088,1884,60486,5,7,3,5,10,3,3,4,5,40,9,9,21,16,18,13,16,9,0,109,164,221,233,158,165,167,132,134,87,1459,0,12,16,13,18,9,11,0,0,84,0,4,3,0,10,9,9,0,0,38,0,3,8,3,6,0,3,3,0,29,0,0,3,0,0,14,0,0,0,23,0,5,0,0,0,0,0,0,0,5,0,3,3,0,0,3,3,3,0,17,0,0,0,0,0,0,0,0,0,0,175,253,290,198,218,217,173,147,93,1758,178,253,293,199,228,217,177,151,102,1801,10836,9686,6791,7161,9673,7618,5302,3246,1985,62291
SED24105,12927,9460,10205,9377,8777,7571,5685,2798,1211,68011,15,8,11,14,3,9,7,3,3,76,9,6,5,10,15,15,3,3,0,62,180,204,304,189,152,118,85,57,33,1313,7,4,9,7,5,4,0,0,3,45,0,0,8,0,0,3,0,0,0,19,5,8,5,3,9,3,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,206,229,332,213,181,139,91,55,38,1470,219,237,336,226,186,152,99,61,36,1552,13146,9697,10540,9601,8961,7720,5785,2858,1249,69557
SED24207,19039,10636,12638,13882,10231,7804,4816,1812,511,81371,11,21,10,14,8,9,9,3,5,89,3,5,14,11,19,3,8,0,0,65,257,237,331,240,157,163,103,63,25,1570,0,5,15,5,9,12,0,0,0,55,3,3,5,7,3,3,6,0,0,29,0,3,3,7,6,6,0,0,0,22,5,0,10,0,0,3,0,0,0,19,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,276,260,384,270,198,193,114,65,28,1769,284,277,393,280,208,200,117,65,28,1862,19321,10910,13040,14166,10438,8008,4936,1878,540,83231
SED24308,11723,8553,8338,7953,8260,7301,5598,3282,1470,62489,13,16,13,14,8,13,14,0,5,104,8,17,7,4,5,7,3,4,0,50,237,384,276,207,178,137,95,76,65,1655,0,11,3,11,7,15,5,3,0,49,0,3,3,3,3,4,5,0,0,18,0,0,0,0,0,4,0,0,0,7,0,0,0,5,0,3,3,0,0,9,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,240,415,293,219,200,170,116,82,65,1808,260,435,306,231,211,178,124,86,74,1911,11980,8995,8643,8182,8469,7483,5728,3368,1547,64394
SED24408,9554,5449,5128,5500,7174,7814,6131,3853,1948,52543,21,11,16,13,13,10,17,8,5,105,3,8,14,4,12,23,9,0,0,79,168,350,324,196,225,259,220,112,71,1929,3,9,11,3,16,8,10,0,0,64,26,38,28,21,35,71,49,9,3,278,4,0,10,4,3,13,8,0,0,42,6,0,0,3,4,3,6,0,0,27,0,0,3,0,3,3,0,0,0,8,0,0,3,0,0,6,3,0,0,7,0,0,0,0,0,0,0,0,0,0,209,411,388,237,305,385,306,120,74,2436,229,422,400,243,315,399,328,129,78,2541,9779,5874,5522,5746,7489,8212,6456,3980,2023,55084
SED24504,10929,5622,4387,7252,8637,7975,6158,2445,1046,54460,9,11,3,4,14,3,14,3,0,57,7,13,22,28,22,35,29,5,0,154,144,277,265,203,228,233,248,108,46,1756,0,6,6,3,17,13,12,0,3,65,3,3,5,3,12,14,13,4,3,54,3,0,0,9,7,6,8,0,3,39,0,0,0,3,0,3,3,0,3,16,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,159,304,304,253,290,303,310,117,60,2096,162,311,309,255,297,304,323,123,63,2154,11093,5940,4700,7508,8934,8282,6479,2570,1112,56617
SED24606,9026,8007,8928,7113,7380,6062,4937,2926,1566,55943,3,4,3,5,4,5,3,0,0,36,3,13,14,7,8,14,19,7,3,92,153,229,305,178,147,162,148,156,118,1595,0,3,13,3,5,13,6,0,0,40,0,3,4,5,6,3,3,0,0,23,3,3,0,0,3,0,3,3,0,20,0,0,0,0,0,0,5,0,0,9,3,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,162,251,339,192,172,200,194,165,126,1798,166,254,339,199,175,212,196,165,127,1839,9190,8264,9268,7309,7557,6270,5132,3094,1693,57778
SED24703,7745,34990,34926,12606,7793,6015,4070,1714,750,110609,10,77,39,15,9,3,3,0,3,163,97,385,908,1070,1244,936,356,65,14,5081,643,1718,1858,1173,1038,947,601,287,114,8390,98,238,440,438,641,487,214,38,3,2596,58,152,206,265,333,278,128,31,4,1464,45,170,244,288,348,287,156,27,3,1572,53,185,71,144,174,237,126,29,3,1017,3,35,27,20,20,25,7,0,0,140,6,39,94,89,101,66,24,0,0,426,0,6,0,0,0,0,0,0,0,10,1012,2932,3843,3491,3911,3260,1624,485,139,20694,1027,3008,3883,3507,3922,3263,1623,484,142,20860,8771,38001,38806,16114,11717,9285,5694,2200,886,131467
SED24808,17748,9575,11550,10813,9261,8226,5770,2153,790,75895,10,17,7,18,9,8,3,8,3,82,9,10,10,13,4,6,3,4,0,54,312,339,363,234,175,153,114,78,23,1791,3,6,4,6,14,6,10,3,0,49,0,0,0,3,6,5,0,0,0,7,3,6,9,3,0,7,3,0,0,28,3,0,0,3,5,0,0,0,0,15,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,329,357,384,259,205,179,124,85,23,1957,341,379,393,278,221,185,131,88,31,2042,18092,9948,11944,11093,9482,8408,5901,2240,818,77935
SED24904,11533,7032,7045,6707,7944,8045,6068,3545,1674,59599,17,17,7,11,6,13,7,16,5,99,21,52,44,40,70,72,47,16,15,376,224,364,372,226,257,328,266,142,60,2242,7,10,8,8,16,30,28,3,0,101,16,45,56,48,65,85,91,47,3,440,0,3,0,3,10,18,10,6,0,51,0,5,0,4,6,7,14,7,0,40,0,0,3,3,3,0,0,0,0,11,0,0,0,0,0,7,3,0,0,13,0,0,0,0,0,0,0,0,0,0,271,475,488,335,424,541,453,213,81,3283,288,490,500,347,432,552,460,231,82,3380,11822,7523,7547,7056,8380,8597,6533,3774,1755,62978
SED25003,13864,9259,10272,9760,9582,7278,3997,1999,853,66863,8,8,7,4,9,11,5,3,0,49,0,3,4,4,4,8,0,5,3,37,179,212,277,163,118,108,102,87,33,1269,4,6,3,0,0,0,3,3,0,21,0,0,0,0,0,0,3,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,183,219,286,174,131,116,114,98,32,1349,190,224,298,177,140,121,116,97,32,1394,14050,9486,10567,9934,9719,7403,4115,2101,886,68259
SED25102,10696,6728,5878,7673,8288,7577,4866,1845,823,54382,4,7,11,7,4,9,0,6,5,49,8,7,4,8,3,13,6,0,0,48,197,236,234,125,101,99,92,69,55,1207,3,0,6,0,14,15,0,0,0,36,0,3,0,0,0,3,3,3,0,18,0,0,4,4,8,5,0,4,0,21,6,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,211,245,252,140,128,138,104,77,59,1355,218,249,261,148,129,143,104,83,63,1404,10915,6975,6138,7821,8417,7719,4976,1927,892,55783
SED25205,11736,6638,7075,9357,9257,6947,4767,3064,1503,60352,9,5,9,5,8,4,4,9,3,53,3,3,6,3,8,3,8,3,4,42,124,186,216,137,118,113,98,69,51,1106,0,0,3,0,3,10,8,3,0,30,0,0,0,0,3,3,5,0,0,14,0,0,3,0,0,4,3,0,0,15,0,0,0,3,0,8,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,132,195,225,148,135,145,125,72,58,1242,142,205,233,150,136,154,127,77,65,1289,11881,6845,7303,9510,9395,7101,4899,3144,1573,61641
SED25302,11489,6182,4105,7462,8693,7064,6848,4129,1844,57812,16,3,0,4,7,9,12,6,4,67,4,3,8,10,6,18,17,0,3,67,143,196,216,154,134,179,154,126,90,1390,0,8,0,7,12,5,15,3,0,48,0,3,0,0,0,10,3,0,0,11,3,0,4,3,3,4,6,3,0,24,3,0,0,3,0,0,3,0,0,13,6,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,160,207,233,173,155,209,197,131,95,1571,174,211,230,183,157,223,214,137,103,1633,11668,6391,4341,7646,8846,7286,7058,4269,1947,59447
SED25402,11538,7557,7534,7039,8112,8182,5788,3333,1475,60557,15,14,6,6,13,8,9,6,3,82,6,6,15,10,22,13,13,3,0,85,269,507,413,257,230,245,158,152,93,2328,8,4,15,8,13,9,3,0,0,70,0,0,0,5,0,7,0,4,0,22,0,3,3,3,4,3,3,0,0,29,0,3,0,0,4,3,7,0,0,15,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,284,530,456,282,273,288,191,155,93,2555,302,546,464,293,287,293,201,161,101,2638,11843,8100,7996,7334,8398,8474,5986,3496,1571,63196
SED25501,10289,8866,6876,7715,8727,6571,5014,4197,1697,59940,7,5,3,6,4,3,9,0,0,36,6,17,30,29,29,43,3,8,3,163,143,235,317,155,179,118,102,73,60,1381,0,6,16,8,21,18,9,3,0,94,3,5,3,3,12,9,0,3,0,38,6,19,10,16,14,8,9,3,0,79,0,4,0,0,3,0,3,0,0,17,0,3,0,0,0,0,0,0,0,9,0,3,4,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,155,301,378,222,254,194,124,91,60,1787,164,310,383,226,258,199,132,96,60,1829,10449,9174,7258,7946,8981,6766,5142,4292,1763,61775
SED25605,10019,7538,8942,7755,7744,6946,6093,3639,1619,60291,0,8,7,7,13,6,7,5,4,61,0,3,9,0,11,6,3,3,0,45,165,164,270,150,130,107,104,120,66,1279,5,9,4,3,7,4,5,0,0,41,0,0,0,4,3,0,0,0,0,12,0,0,0,3,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,172,180,291,164,159,120,120,118,72,1397,173,187,302,171,168,130,126,129,72,1452,10197,7728,9244,7923,7910,7076,6218,3763,1692,61747
SED25704,11014,6469,5767,6346,7935,8179,6585,4220,1911,58439,18,12,20,11,9,13,7,7,7,102,16,60,37,34,33,56,48,15,3,298,202,369,341,234,262,271,264,143,64,2143,7,0,14,3,11,31,43,3,0,117,7,7,14,15,38,31,32,7,3,149,8,3,10,0,6,12,5,0,0,52,0,0,0,3,0,15,14,3,0,32,4,0,0,3,3,0,3,0,0,17,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,0,0,0,0,241,444,417,288,356,420,410,182,72,2831,257,456,434,299,367,431,421,191,78,2931,11275,6921,6207,6647,8304,8615,7007,4408,1987,61370
SED25802,12162,7389,6694,7165,8734,8709,6997,3610,1379,62843,9,22,12,3,6,10,22,7,3,94,0,0,5,3,7,0,16,0,0,36,234,400,353,161,233,185,152,98,49,1853,11,10,15,13,16,12,9,4,0,88,10,0,3,13,7,6,0,0,0,36,6,3,3,3,3,8,3,0,0,34,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,258,419,382,196,271,217,184,100,48,2076,269,435,394,199,275,229,202,105,50,2167,12426,7821,7089,7361,9009,8935,7206,3717,1431,65004
SED25905,12472,9602,8780,8328,9405,7912,4476,2249,1011,64231,10,6,14,10,5,3,3,8,0,63,0,6,5,3,0,7,3,0,0,27,148,226,262,148,115,108,86,72,43,1207,4,3,7,9,5,3,5,4,0,44,6,8,0,4,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,159,239,277,158,129,120,103,81,43,1312,172,248,288,171,134,126,106,85,42,1369,12637,9854,9068,8495,9539,8041,4578,2339,1047,65600
SED26005,20153,12286,10235,13059,11550,7375,3840,1543,430,80471,11,13,11,9,8,3,9,4,0,67,5,8,7,10,3,3,4,0,0,35,212,280,255,152,106,105,94,49,25,1295,3,4,6,0,4,3,3,3,0,29,3,0,5,0,3,3,3,0,0,18,3,4,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,226,299,279,161,125,123,109,51,29,1401,235,318,293,174,127,127,117,55,26,1470,20385,12603,10524,13232,11681,7505,3952,1596,453,81935
SED26102,8460,4620,4395,5722,7045,8050,8397,5101,2318,54109,0,13,11,9,11,15,10,6,4,82,8,3,16,11,10,16,30,10,0,101,255,294,309,257,315,385,449,216,76,2552,9,3,13,13,18,18,27,4,3,109,8,9,3,5,4,10,13,3,0,55,3,0,0,3,6,6,3,3,0,26,0,0,0,4,4,5,9,3,3,32,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,3,11,0,0,0,0,0,0,0,0,0,0,284,313,348,285,361,450,538,232,78,2890,285,324,361,293,371,461,555,240,85,2979,8741,4950,4758,6014,7417,8515,8947,5346,2404,57087
SED26207,9872,6673,6840,7740,8131,6449,5968,4079,1639,57390,3,0,7,7,8,0,5,3,4,39,0,3,9,3,13,5,6,3,0,44,158,174,224,187,151,105,107,94,44,1249,3,3,13,3,11,10,9,3,0,50,0,0,3,0,0,5,3,3,0,18,0,3,3,0,0,3,4,0,0,15,0,0,0,3,3,0,3,0,0,17,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,164,183,249,200,176,140,129,107,47,1398,168,186,260,204,186,143,134,109,45,1439,10044,6859,7099,7943,8321,6586,6103,4185,1686,58825
SED26303,10104,6859,12418,10602,8755,5736,3515,2749,1233,61981,3,9,13,3,5,12,6,4,7,64,4,9,19,9,8,16,25,4,0,95,155,248,392,215,182,156,100,73,31,1552,4,6,12,4,14,14,3,0,0,57,0,0,12,0,7,0,3,3,0,28,3,3,3,0,0,14,6,3,0,33,0,7,6,3,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,166,277,445,240,223,201,138,78,36,1799,171,283,455,243,228,214,143,87,36,1864,10270,7148,12879,10844,8980,5952,3661,2830,1275,63843
SED26406,10364,13544,13600,9472,7870,5863,4173,3040,1549,69468,4,17,9,9,3,4,3,6,0,56,3,41,10,18,15,20,22,0,0,123,103,407,290,176,106,106,95,56,34,1368,0,15,13,9,6,3,7,0,0,57,0,7,0,0,3,0,3,0,0,19,0,13,4,4,0,3,3,0,0,32,0,20,0,0,0,4,3,5,0,37,0,7,0,0,0,0,0,0,0,14,0,4,4,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,108,522,325,211,133,135,128,66,34,1665,105,538,330,220,140,142,136,70,34,1725,10472,14075,13930,9687,8012,6001,4305,3112,1582,71189
